[2026-08-15 22:20:20] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-14
正在获取论文...
[ACM] 2026-8-14 | Tools for Enhancing Active Learning Experience in an Online Environment
[NO] 580/1000 | Adaptive Feature Refined and Domain-Aware Reinforcement Learning based Predictive Maintenance for Smart Manufacturing and Industry 4.0
[NO] 581/1000 | Edge-Based Standing-Water Detection via FSM-Guided Tiering and Multi-Model Consensus
[NO] 582/1000 | MEMS on Fiber Sensor for Temperature and Pressure Sensing
[NO] 583/1000 | Efficient Classification of Pneumonia Abnormalities by EfficientNetB3 and Deep Learning Models
[NO] 584/1000 | Split Architecture for Limited Bandwidth and Storage Capacity
[NO] 585/1000 | Analysis on Voltage Instability Phenomena for the Simplified Load Center Power Grids with Large-Scale Renewable Energy Integration
[NO] 586/1000 | Cultivation and Evaluation of College Students’ Innovation and Entrepreneurship Ability based on Multi-Head Self-Attention Mamba Entrepreneurial Ability Network
[NO] 587/1000 | Continuous Avatar Impersonation Detection using Siamese Transformer Networks: A Behavioral Biometric Approach for Metaverse Security
[NO] 588/1000 | A Pattern Language for Resilient Visual Agents
[NO] 589/1000 | A TinyML-based Predictive Maintenance Framework for DC Motor Systems with Lightweight WebXR Digital Twin Visualization
[NO] 590/1000 | Intelligent Assessment Model for Digital Learning Behavior in Education based on Improved Back Propagation Neural Network Algorithm
[NO] 591/1000 | Diffusion Models in Recommendation Systems: A Survey
[NO] 592/1000 | Evaluating AI-based Mental Health Interventions
[NO] 593/1000 | Privacy Protection in Cross-System Data Exchange: A Comprehensive Review of Multi-Party Computation Approaches
[NO] 594/1000 | A Latency-Efficient NF Caching and Offloading Strategy for LEO Satellite Edge Computing
[NO] 595/1000 | Explainable Machine Learning Framework for Predictive Modelling of Formula-1 Podium Outcomes using Performance and Contextual
[NO] 596/1000 | An Intelligent Machine Learning-based Adaptive Security System for Cloud Threat Detection
[NO] 597/1000 | Canopy Closure Inversion in Complex Overhead Transmission Corridors Using UAV LiDAR
[NO] 598/1000 | Optimized Energy-Efficient Machine Learning-Based Clustering and Routing in Wireless Sensor Networks
[NO] 599/1000 | An Improved Genetic Algorithm-Assisted Audio Transformer with Knowledge Distillation for Firearm Shooting Recognition in Training Environments
[NO] 600/1000 | Adaptive Digital Twin-Driven Performance Prediction and Collaborative Model Updating for Intelligent Control Systems
[NO] 601/1000 | CAAD-Net: A Change-Aware Spatial–Temporal Fusion Framework for Intelligent Avalanche Detection and Real-Time Monitoring
[NO] 602/1000 | Leakage-Resistant Evaluation and Feature-Collapse Analysis for RVC Deepfake Speech Detection Using a Tri-Level Speaker-Aware Split
[NO] 603/1000 | An AI-Driven Voice-to-Image Generation Model for Assistive Applications
[NO] 604/1000 | Intelligent Computing for Smart Campus and Connected Education using Hybrid Retrieval-Augmented Generation and Knowledge Graph Reasoning
[NO] 605/1000 | Efficient Detection of Alzheimer’s Disease at an Early Stage using Handwriting Data
[NO] 606/1000 | Multiclass Classification of Gangrene and Ulcer using MaxViT with Grad-CAM++ Explainability
[NO] 607/1000 | Machine Learning based Traffic Flow Prediction and Congestion Management for Intelligent Transportation Systems
[NO] 608/1000 | Smart Vibe Cube - A Vibration Analysis System
[NO] 609/1000 | Adaptive Early Termination Algorithm for Gauss-Seidel Iterative Successive Interference Cancellation Detection in MIMO Systems
[NO] 610/1000 | Edge-AI Enabled Multimodal Vision-based Deep Learning Framework for Real-Time Mushroom Growth Monitoring, Disease Detection, and Predictive Yield Analytics in Smart Cultivation Systems
[NO] 611/1000 | A Hybrid CNN–EAR-based Real-Time Driver Drowsiness Detection System
[NO] 612/1000 | Robust Crop Yield Prediction via Convolutional Neural Networks: Benchmarking Against Classical Machine Learning Models
[NO] 613/1000 | Chaos Engineering and Observability Integration for Resilient Cloud Infrastructure
[NO] 614/1000 | Enhanced Image Encryption using Chaos Map– Driven Composite Cryptographic Framework
[NO] 615/1000 | Cognitive Cyber-Resilient C2 Link Management for Advanced Air Mobility Platforms
[NO] 616/1000 | ‘Follow the Money. Or Jail Time.’ Perspectives on the Role of Senior Management in Secure Software Development
[NO] 617/1000 | Client-Verifiable and Efficient Federated Unlearning in Low-Altitude Wireless Networks
[NO] 618/1000 | Generalized Iterative Learning Disturbance Observer for Multiple Periodic Disturbances Attenuation: Application to PMSM Speed Servo Systems
[NO] 619/1000 | A Context-Aware Digital Service Loop Orchestration Framework for Emotional Wellbeing Assessment in IoT-Enabled Smart English Education Healthcare Systems
[NO] 620/1000 | Heterogeneous Graph Attention Network Assisted Bi-Population Co-Evolution for Networked Cloud Manufacturing Scheduling_supp1-3723453.pdf
[NO] 621/1000 | A Scalable Stress Recovery Technique for Hybrid Bonding in Chiplet-Based Systems
[NO] 622/1000 | Physiological and biomechanical key performance indicators for frontal jab in boxing
[NO] 623/1000 | Constellation-Heterogeneity-Based Group Physical-Layer Authentication for Non-Coherent Massive MIMO Systems
[NO] 624/1000 | Wings-Embedded Through Polymer Via (WTPV) for Signal Integrity and Thermal Management in 3D Integrated Circuits_supp1-3720951.pdf
[NO] 625/1000 | A CMOS Pre-distortion Driver for 140-Gbps PAM-4 Optical Modulation with Commercial MZM and EML
[NO] 626/1000 | Aperiodic Sampled-Data Stabilization of Switched Systems Via an Extended Looped-Functional Approach
[NO] 627/1000 | The Sweeter Lesson
[NO] 628/1000 | MSTabVAE: Multi-Step Latent Conditional Variational Autoencoder for Imbalanced Tabular Data Synthesis
[NO] 629/1000 | Preface: Committee Member
[NO] 630/1000 | Velocity Information Geometry of Coherent Intra-CPI Waveform Agility
[NO] 631/1000 | SBCL-Net: Discrepancy-Guided Semantic–Boundary Interaction for Robust Agricultural Parcel Delineation from Remote Sensing Imagery
[NO] 632/1000 | XSPECT: An Explainable SHAP-Based Spectral Band Reduction Algorithm for Land Use and Land Cover Multispectral Image Classification
[NO] 633/1000 | Construction of an Ecological Garden Environment Monitoring and Early Warning Model based on CNN-LSTM Hybrid Algorithm
[NO] 634/1000 | DriveMind : A Vision and Physiological Sensor-based Driver Drowsiness Detection System using Machine Learning
[NO] 635/1000 | Design a Compact RFID Antenna with High Gain and Efficiency
[NO] 636/1000 | Physics-Consistent Retrieval-Augmented Cross-Condition Bearing Fault Diagnosis
[NO] 637/1000 | Machine Learning and Deep Learning Applications in E-Learning: A Systematic Literature Review of Research Trends and Predictive Techniques
[NO] 638/1000 | An Adaptive Financial Feature Enhancement Kolmogorov–Arnold Network for Early Warning of Corporate Bond Default
[NO] 639/1000 | Novel Wavefront-Splitting MEMS Fourier Transform Interferometer with Integrated MMI Combiner
[NO] 640/1000 | Online Identification of Transformer Impedance Parameters Based on Variable Forgetting Factor Recursive Least Squares Method
[NO] 641/1000 | TCN-DISPPO-Based Multi-Objective Energy Scheduling for PV-Storage-Charging Microgrids
[NO] 642/1000 | Explainable Student Stress Prediction using a Neuro-Symbolic Hybrid Learning Framework
[NO] 643/1000 | AI-based Digital Terrain Modeling and Automated Drainage Network Extraction using Point Cloud Data
[NO] 644/1000 | Biomechanics-Constrained Adaptive Optimization of Motion Performance via Music Emotion-Aware Computational Modeling
[NO] 645/1000 | Feature Calibration Module for Lightweight 3D U-Net Brain Tumor Segmentation
[NO] 646/1000 | Hardware Design and Implementation of Intelligent Panoramic Integrated Monitoring Terminal for Traffic Violations Safety Areas based on Location Services
[NO] 647/1000 | Aggregator-Based Models and Clearing Algorithms for Distributed PV-Storage Integration into Spot Markets
[NO] 648/1000 | Improved Feature Fusion and Detection Accuracy for Lung Cancer using Modified ELAN and RepNCSP Modules
[NO] 649/1000 | Smart Residential Parking: A Real-Time Smart Parking Marketplace for Efficient Urban Mobility
[NO] 650/1000 | A No-Code Composable Pipeline for Holistic Microservice Assurance
[NO] 651/1000 | Resilient Hands-Off Steering Wheel Systems with Real-Time Human Override Anticipation and Control Arbitration
[NO] 652/1000 | VGG16 &amp; DenseNet121 based Ensemble Deep Learning Approach for Traffic Sign Recognition
[NO] 653/1000 | Toward an Architectural Blueprint to Observe Sustainability in and by Software Systems
[NO] 654/1000 | AI-driven Demand Forecasting in ERP-based Supply Chain Systems using Backpropagation Neural Network
[NO] 655/1000 | Hybrid Deep Q-Network-Based Multilevel Access Controlled Task Scheduling and Load Balancing in Cloud Environment
[NO] 656/1000 | Communication-Efficient Distributed Training Framework for Large Language Models Based on Adaptive Parameter Synchronization
[NO] 657/1000 | A Low-Power High-Speed Three-Stage Dynamic Comparator for Asynchronous SAR ADC Applications
[NO] 658/1000 | An Entropy-Regularized Adaptive Decision Tree Learning Algorithm based on Structural Optimization (SO) and Split Criterion (SC)
[NO] 659/1000 | ICDCECE 2026 Cover Page
[NO] 660/1000 | A Passion for Applied Research and Innovation [Pathways]
[NO] 661/1000 | mRCS-GRL: A Lightweight High-Precision Multi-Target Radar Cross Section Prediction Algorithm for Canonical Targets with Graph Representation Learning
[NO] 662/1000 | A Novel Annular Receiving Coil with Grooved Ferrite Core and Multi-Segmented Windings for Wirelessly Powering Capsule Endoscope_supp2-3723426.pdf
[NO] 663/1000 | Probabilistic Modeling for E-Motor Efficiency Prediction Across Driving Cycles With Uncertainty
[NO] 664/1000 | Experimental Analysis of Upstream LDPC Options for 25 Gb/s Operation in 50G-PON
[NO] 665/1000 | Portable Non-Contact Device for Measuring Intraocular Pressure in Glaucoma Patients
[NO] 666/1000 | AI-Driven Fake News Detection for Real-World Misinformation
[NO] 667/1000 | A Physics-Guided Feature and Ensemble Learning Method for Prediction
[NO] 668/1000 | Reinforcement Learning Based AGV Path Planning
[NO] 669/1000 | An Automatic Modulation Recognition Method Based on a Compact Convolutional Vision Transformer Model in Complex Channel Environments
[NO] 670/1000 | Explainable Hybrid Optimized BP Neural Network for Engineering Machinery Marketing Customer Precision Identification
[NO] 671/1000 | Adaptive Collaborative Multi-Objective Optimization Framework for Efficient Engineering Project Construction Management
[NO] 672/1000 | Research on Improved Carrier Phase-Shifted Modulation Strategy for Arm-Multiplexed MMC
[NO] 673/1000 | AUFIA: Adaptive URL Feature Intelligence for Malicious Website Detection using Machine Learning
[NO] 674/1000 | Faster Region-based CNN for Accurate Student Facial Expression Classification
[NO] 675/1000 | Design of Eco-Friendly Robotics and Automation Systems using Open-Source Tools and Frameworks
[NO] 676/1000 | Extraction of 1-Fault Tolerant Metric Bases of Wrapped Butterfly Networks using Extended BIGS Algorithm for Fault-Resilient Localization
[NO] 677/1000 | Entropy-Aware Self-Optimizing Approximate Multiplier using Operand Distribution Learning
[NO] 678/1000 | Application of the Combination Model of Prophet and LSTM in Multi-Level Inventory Demand Prediction for Retail Supply Chain of CPG - Consumer Packaged Foods
[NO] 679/1000 | 2026 International Conference on Optical MEMS and Nanophotonics (OMN)
[NO] 680/1000 | Adversarial Purification by Consistency-aware Latent Space Optimization on Data Manifolds
[NO] 681/1000 | Transmission-Reflection Integrated Time-Domain Coding Metasurface for Full-Space 2D DOA Estimation
[NO] 682/1000 | A High-Throughput FPGA Accelerator for Real-Time Sort-Free 3-D Gaussian Splatting
[NO] 683/1000 | Flexible Cylindrical Array-Aided Secure Wireless Communications
[NO] 684/1000 | M3R++: Masked Token Mixup and Dual Cross-Modal Masking for Zero-Shot Learning
[NO] 685/1000 | A Multi-Scale Generative Adversarial Networks Framework with Attention-Guided Statistical Loss for Imbalanced Internet of Things Network Attack Detection
[NO] 686/1000 | DRIDNet: Diffusion Regularized Intrinsic Decomposition Network for Shadow Robust Hyperspectral and LiDAR Classification
[NO] 687/1000 | IEEE Vehicular Technology Society Publication Information
[NO] 688/1000 | ShadowNet for Data-Centric Quantum System Learning
[NO] 689/1000 | AI-Assisted Guidewire Tracking and Tactile Feedback for MRI-Guided Endovascular Procedures_supp2-3722332.mp4
[NO] 690/1000 | Conical Spiral Antenna with Integrated Feed Enabled by 3D Printing
[NO] 691/1000 | EcoReason: A Graph-Guided Evolutionary and Negative-Aware Reinforcement Learning Framework for LLM Commonsense Reasoning
[NO] 692/1000 | Table of Contents
[NO] 693/1000 | Table of Contents
[NO] 694/1000 | Fault Diagnosis Under Unseen Conditions via Suppressing Domain-Sensitive Feature
[NO] 695/1000 | Grassmann Manifold Trajectory Representation for Video Domain Adaptation
[NO] 696/1000 | Acknowledgments
[NO] 697/1000 | Analysis of Gender based Diabetic Retinopathy Detection and Grading Systems
[NO] 698/1000 | A Novel Control Method for Flexible AC Chopper Based on DC Voltage Characteristics During Fault Ride-Through
[NO] 699/1000 | A PINN-based Approach for Solving the 1D Diffusion Equation in Stokes’ Second Problem
[NO] 700/1000 | Knowledge-Guided Architecture Documentation Recovery with Evidence Grounding and Traceability: A Registered Report (Stage 1)
[NO] 701/1000 | A Computer Vision Framework for Synchronized Multi-View Pose Estimation and Biomechanical Analysis of Basketball Free Throws
[NO] 702/1000 | Sustainability Assessment of Green Hydrogen Production using LSTM-based Recursive Forecasting
[NO] 703/1000 | Design of a Circularly Polarized T-Square Fractal Microstrip Patch Antenna for RFID Systems
[NO] 704/1000 | Describing Agentic AI Systems with C4: Lessons from Industry Projects
[NO] 705/1000 | Energy-Efficient Resource Allocation for Satellite Communications Under Finite Blocklength
[NO] 706/1000 | Cross Grid Communication based GAN for Improving Structural Consistency in Text to Image Generation
[NO] 707/1000 | Tunable Fabry-Perot Cavity on Micro Scale Photonic Integrated Circuit
[NO] 708/1000 | Faithful Explainability in Clinical Neural Networks via Attention-SHAP Consistency for ICU Mortality Forecasting
[NO] 709/1000 | Design of a High-Gain Hybrid G-Shaped Antenna with Metamaterial and DGS for 5G Applications
[NO] 710/1000 | A Back-to-Back Half-Wave Shaping Modular Multilevel AC-AC Converter
[NO] 711/1000 | Evaluation of International Talent Cultivation Quality using an Aquila Optimizer-Enabled BP Neural Network
[NO] 712/1000 | An Efficiently Traceable Secure Data Sharing Scheme with Intelligence for Cloud Computing
[NO] 713/1000 | Robust LiDAR Scene Coordinate Regression in Highly Self-Similar Environments
[NO] 714/1000 | A Prediction-Assisted Scheduling Method for Waste Collection Vehicles
[NO] 715/1000 | Towards Interpretable Deep Learning for Colon Cancer Diagnosis in Healthcare System: A Comprehensive Review
[NO] 716/1000 | Multi-Model Evaluation of Semantic Segmentation Techniques for Building Footprint Extraction
[NO] 717/1000 | Generative AI-Enhanced EEG Signal Processing for Real-Time Sleep Apnea Detection
[NO] 718/1000 | Feedback Control of an Integrated MEMS-Tunable Silicon Photonic Ring-Resonator
[NO] 719/1000 | Sysmon Log Analysis for Proactive Cyber Threat Detection using Convolutional Neural Networks
[NO] 720/1000 | Edge–Cloud Intelligent Fusion for Digital Twin-based Predictive Maintenance in Smart Manufacturing Systems
[YES] 721/1000 | The Dependency Black Hole
[NO] 722/1000 | The Need for a Green ICT Reference Framework
[NO] 723/1000 | Design and Application of Online Teaching System for “Social Etiquette” based on Adaptive Feature-Calibrated Kolmogorov–Arnold Network
[NO] 724/1000 | Detection of Uterine Leiomyomas with Automated Ultrasound Image Analysis
[NO] 725/1000 | Droplet-Based Microfluidic 3D Printing Using Laser-Induced Dielectrophoresis
[NO] 726/1000 | Accurate Prediction of Parkinson's Disease using Inception-V3 CNN and XGBoost Classifier
[NO] 727/1000 | Modeling Sustainability for Autonomous Cyber-Physical Systems
[NO] 728/1000 | Human-Computer Interaction Assisted Decision-Making Optimization Algorithm Integrating Intent Recognition and Context Awareness
[NO] 729/1000 | Green Edge Computing Architectures for Real-Time Environmental Monitoring Systems
[NO] 730/1000 | An AI-Driven Smart Campus Entry Monitoring System for Real-Time Attendance Tracking and Dress Code Compliance
[NO] 731/1000 | Denoising and Enhancement Methods for Complex Image Signals based on Deep Learning and Convolutional Neural Networks
[YES] 732/1000 | Android Malware Detection using Machine Learning and Ensemble Techniques
[NO] 733/1000 | AI Driven Chaos Engineering for Stateful Financial Microservices
[NO] 734/1000 | A Novel Frequency Stability Assessment Method Based on Improved SFR Model for Power Systems
[NO] 735/1000 | Quantum Clustering Framework for Cybersecurity Vulnerability Prioritization and Risk Grouping
[NO] 736/1000 | A Secure Federated Reinforcement Learning–Driven Adaptive Gateway for Decoupling Deployment Velocity and Governance in Microservice Architectures
[NO] 737/1000 | Mining Architectural Decisions and Trade-Offs from ADRs with LLMs at Scale
[NO] 738/1000 | KonkaniFood 2.0: An Explainable Code-Mixed Marathi English Multilingual Transformer-Based Dataset for Sentiment Classification
[NO] 739/1000 | Anti-Interference and Secure Data Transmission Technology for Wireless Communication in Power Operation Sites
[NO] 740/1000 | VLGDNet:Vision-Language Guided Differential Feature Enhancement Network for Weak Change Detection
[NO] 741/1000 | Empowering Sericulture: A Deep Learning Approach to Silkworm Disease Detection and Crop Protection Insights
[NO] 742/1000 | Federated Context Tree Guided Genetic Algorithm based Energy and Latency Aware Optimisation for IIoT Network
[NO] 743/1000 | Multi-Agent Reinforcement Learning System for Autonomous Network Intrusion Response
[NO] 744/1000 | Low-Carbon Dispatch of Industrial Micro-Energy Networks Under Source-Load Uncertainty
[NO] 745/1000 | AI Driven Disease-Specific Adaptive Multimodal Medical Image Fusion with CNN
[NO] 746/1000 | AI-Driven Integrated Caregiving and Health Monitoring Framework for Elderly Well-Being
[NO] 747/1000 | A Unified Benchmarking of Modern Object Detection Architectures for Real-Time Automatic License Plate Detection
[NO] 748/1000 | A Multi-Layered Software Ecosystem for Precision Management of Livestock Farming
[NO] 749/1000 | YOLO-NAS based Intelligent Workplace Safety Monitoring System for Real-Time Personal Protective Equipment Compliance Detection
[NO] 750/1000 | Letters to the Editor
[NO] 751/1000 | AI based Predictive Analytics for Enhancing Employee Engagement Job Satisfaction and Retention
[NO] 752/1000 | Cardio Vision: An AI-Powered ECG Analyzer for Automated Cardiac Condition Classification using Deep Learning
[NO] 753/1000 | Design and Electrochemical Performance of WSe
                    <sub>2</sub>
                    based Sensor for Bio-molecular Detection and Hydrogen Energy Generation
[NO] 754/1000 | Examining the Influence of Chatbot Characteristics and Perceived Usefulness on Customer Satisfaction among Generation Z Marketplace X Users in Jambi Province
[YES] 755/1000 | Adaptive Rational Krylov Method With Domain Decomposition for Efficient Electromagnetic Field Analysis
[NO] 756/1000 | A 20.8–28.1-GHz Variable Gain Amplifier With Wide Gain Control Range and Low Phase Variation in 180-nm CMOS
[NO] 757/1000 | An 8–25 GHz High-Linearity I/Q Harmonic-Rejection Mixer Utilizing a Six-Way Unequal-Split Wilkinson Divider in 16-nm FinFET
[NO] 758/1000 | Frequency Decoupled and Collaborative Dehazing Network for Remote Sensing Images
[NO] 759/1000 | From Faithfulness to Validity: Explainable artificial intelligence in remote sensing
[NO] 760/1000 | Domain Generalized State of Health Estimation without Target Domain Data Based on Feature Disentanglement
[NO] 761/1000 | An empirical chlorophyll-a retrieval algorithm for sea ice contaminated pixels in the Polar Ocean
[NO] 762/1000 | Message from the General Chairs: ICSA-C 2026
[NO] 763/1000 | MAGENTA: Magnitude and Geometry-Enhanced Training Approach for Long-Tailed Sound Event Localization and Detection
[NO] 764/1000 | A Quantization Strategy for Communication-Efficient DNN Inference in Vehicular Edge Computing
[NO] 765/1000 | ICSCSS 2026 Author Index
[NO] 766/1000 | InLiER: Learning-Free Heterogeneous LiDAR Place Recognition via Intermediate Mixed-Radix Structural Keypoint Tokenization_supp1-3723737.mp4
[NO] 767/1000 | Rotation-Aware Adaptor via Equivariance-Constrained Consistency Regularization for Remote Sensing Detection
[NO] 768/1000 | A Two-Stage Coordination Channel Access Approach for Low-Latency Wi-Fi 7 Multi-Link Operation
[NO] 769/1000 | Human–AI Collaboration to Empower People Providing Support
[NO] 770/1000 | Conclusion
[NO] 771/1000 | Front and Back Cover Page
[NO] 772/1000 | Designing Multi-Agent Systems: From Classical to Modern Approaches
[NO] 773/1000 | Quality Evaluation of Flipped Classroom Teaching in Art Courses using Adaptive Educational Data Refinement and Optimized BP Neural Network
[NO] 774/1000 | Enhanced Gain Non-Isolated DC-DC Converter for EV-Charging Application
[YES] 775/1000 | Design and Verification of AXI Arbiter
[NO] 776/1000 | IoT-based Microclimate Monitoring and Temperature Forecasting using Machine Learning
[NO] 777/1000 | Adaptive Whale Optimization MPPT Technology for Shaded Sunlight-based DC Converter System
[NO] 778/1000 | Radio Map Construction Under Sparse Sampling Conditions: An Attention-Driven Deep Neural Network Method Guided by Target Space Priors
[NO] 779/1000 | Intelligent IoT based Load Management System with Real Time Monitoring in Renewable Energy System
[NO] 780/1000 | Physics-Constrained Conditional Generation for Electricity Theft Data Augmentation
[NO] 781/1000 | A Transparent and Explainable AI Framework for Risk-Aware Loan Approval Decision Support System Development
[NO] 782/1000 | Scalable Intelligent Orchestration for SFC: A GraphSAGE-driven Approach
[NO] 783/1000 | Toward Evidence-Based Architectural Decision Making Over Fragmented Knowledge
[NO] 784/1000 | Experimental Study on Hydrothermal Aging Characteristics of Electromagnetic Conductors in Dry-Type Reactor
[NO] 785/1000 | A Blockchain-based Crowdsourcing Framework to Solve Resource Procurement Problem
[NO] 786/1000 | Short-Term Wind Power Prediction Based on Hho Optimized CNN-BilSTM-Attention
[NO] 787/1000 | AI-Based Smart Communication for Digital Forensics and Crime Analysis
[NO] 788/1000 | Construction Method of Energy-Dissipation MMC Multi-Dimensional Evaluation Model
[NO] 789/1000 | Quantum Key Distribution based Secure Communication and File Encryption System using BB84 Protocol and AES-GC
[NO] 790/1000 | Resilience Engineering in Banking Platforms using Chaos Engineering and Al Feedback Loops Integrating Chaos Experiments with ML-Driven Analysis to Improve Fault Tolerance
[NO] 791/1000 | Long-Term Shoreline Change Analysis and Forecasting for the Visakhapatnam Coast
[NO] 792/1000 | ICSCSS 2026 TOC
[NO] 793/1000 | Enhanced Control Strategy for Hydrogen PEM Electrolyzers Providing Frequency Support in Low-Inertia Isolated Microgrids
[NO] 794/1000 | ICSA 2026 - Journal First Track Papers
[NO] 795/1000 | Vision-Based Skeleton–Shuttle–Court Fusion for Badminton Posture Recognition and Coaching-Oriented Performance Recommendation
[NO] 796/1000 | IEEE Vehicular Technology Society Information
[NO] 797/1000 | Controlling Electromagnetic Waves with Lossy Near-Unity-Index Media
[NO] 798/1000 | Blockchain Anti-Counterfeiting in Supply Chains: Implementation Leadership and Consumer Anticipated Regret_supp1-3723942.pdf
[NO] 799/1000 | A Novel Lookup Table Update Strategy for Dual Voltage Vector-Based Model-Free Predictive Current Control in PMSM Drives
[NO] 800/1000 | Fully Randomized Stepped-Carrier OFDM Radar for Integrated Sensing and Communication Systems
[NO] 801/1000 | Acoustic-based Vehicle Detection for Smart City Traffic Management using Stacking Ensemble Deep Learning
[NO] 802/1000 | Dance Movement Posture Recognition and Quantitative Evaluation based on CNN-LSTM Fusion Model
[NO] 803/1000 | Relative Position-Aware Attention Enhanced RoBERTa–BiLSTM Model for Social Media Sentiment Analysis
[NO] 804/1000 | Intelligent Passenger Flow Management in Smart Airports using MAPPO-ATCN Framework
[NO] 805/1000 | Low-Cost AI Agents for Cybersecurity and Data Governance in Small-Scale Manufacturing Industries
[NO] 806/1000 | Cross-Model Attention-based Vision–Language Fusion for Interpretable Multi-Label Chest Disease Diagnosis
[NO] 807/1000 | Graph Neural Network based Lateral Movement Detection in Enterprise Network Traffic
[NO] 808/1000 | Centralized Digital Twin-Driven Graph Neural Framework for Real-Time Streetlight Fault Detection and Localization
[NO] 809/1000 | Analysing Customer Behaviour based on AI-Enabled Neural Network and Spearman’s Rank Correlation Model
[NO] 810/1000 | Transfer Learning based Fire Prediction using MobileNetV2 and VGG16 Models
[NO] 811/1000 | Lightweight Transformer-Based Adaptive CPR Parameter Selection for Reservoir Simulation
[NO] 812/1000 | Deep-MPDR-MHSA: Interpretable Deep Unfolding with Multi-Head Self-Attention for Single-Snapshot DOA Estimation
[YES] 813/1000 | Approximation Friendliness: A New Metric for Smarter Hardware Design Approximation for High-Level Synthesis
[NO] 814/1000 | An LLM-Empowered Graph-Structured Collaborative Inference Framework for Logical Reading Comprehension
[NO] 815/1000 | Title Page
[NO] 816/1000 | Resilient Onion Messaging in the Lightning Network
[NO] 817/1000 | Compact Spectral Covariance and Directional Anchor Network for Hyperspectral Image Classification
[NO] 818/1000 | CARSS: Leveraging Online Arrival Forecasting and Co-Simulation for Adaptive Scheduling
[NO] 819/1000 | IEEE Sensors Journal Publication Information
[NO] 820/1000 | Low-Rate Voice Activity Detector Over Wireless Acoustic Sensor Networks
[NO] 821/1000 | Unified Gauss-Markov Modeling of Ionospheric Residuals for Spatio-temporal Cohesive Characterization
[NO] 822/1000 | Message from the Conference Chair
[NO] 823/1000 | Trap-Limited Switching Dynamics of Gallium Nitride Photoconductive Semiconductor Switches
[NO] 824/1000 | Sigma-Branch: Hierarchical Single-Path Network Reconstruction for Dynamic Inference with Reduced Active Parameters
[NO] 825/1000 | DMEF-Net: A Dual-Modal Enhancement Fusion Network for Motor Imagery Decoding Based on EEG-fNIRS
[NO] 826/1000 | Review on the Coupling Mechanism Between Carbon Flow and Power Flow in Power Systems and Calculation Methods for High Spatiotemporal Resolution Electricity Carbon Factors
[NO] 827/1000 | Using Budgets to Reduce Application Emissions
[NO] 828/1000 | Power Decoupling Control in Parallel DR-MMC HVDC Links Integrated with OWFs
[NO] 829/1000 | Underwater Wireless Communication and Ocean Monitoring Systems using Temporal Graph Memory and Dynamic Gateway Nodes
[NO] 830/1000 | Deformable Aluminum Wire Grid Polarizing Beam Splitter for a New Variable-Focus Lens
[NO] 831/1000 | Construction of Intelligent Machine Translation Model based on Multimodal Data
[YES] 832/1000 | Comparative TCAD Analysis of GAA FETs using InAs, Ge, Si, and GaN Channel Materials
[NO] 833/1000 | Research and Practice on ChatBI of SAP ERP Management Data of PowerEnterprise Based on OPEN CLAW
[NO] 834/1000 | Operationalize Self-Managing Machine Learning Systems with a Generalizable Knowledge-Driven Architecture
[NO] 835/1000 | A Framework for Secure NFT Metadata Updating using Decentralized Storage
[NO] 836/1000 | A UAV Aerial Small Object Detection Algorithm Fusing Multi-scale Attention and Lightweight Structure
[NO] 837/1000 | Towards Architectural Ontology Reuse Recommendation Service for Software Engineering
[NO] 838/1000 | Lung Cancer Detection from Histopathological Images using Custom CNN With XAI Techniques
[NO] 839/1000 | Reward Sensitivity Analysis for Spatial Reinforcement Learning in Water Hyacinth Management using GBIF and WorldClim Data
[NO] 840/1000 | An Explainable Federated GNN Approach for Cross-Institution Student Dropout Prediction in MOOCs
[NO] 841/1000 | Comprehensive Analysis of Secure and Optimized Drug Supply Chain Design using Block Chain and Deep Learning
[NO] 842/1000 | TransFAD: A Hybrid CNN–LSTM and Ensemble Learning Framework for Transmission Line Fault Detection and Classification
[NO] 843/1000 | A Pulse-Width and Phase-Shift Hybrid Modulation Method for Four-Switch Buck-Boost Converters
[NO] 844/1000 | Design and Implementation of PVT-based Built-In Self-Repair for TSV Delay Faults
[NO] 845/1000 | Knowledge-Distilled Multi-Model Intrusion Detection and Prevention System for IoT Networks
[NO] 846/1000 | Predictive Maintenance and Cooling Demand Forecasting in Data Centre Thermal Control Systems: A Hybrid Reinforcement Learning and AI Framework
[NO] 847/1000 | Hybrid Spatial and Frequency Feature Learning for Breast Cancer Analysis
[NO] 848/1000 | Deep Learning-based Automated Detection of Eye Diseases from Fundus Images
[NO] 849/1000 | Stochastically Enhanced Multi-Agent Federated Reinforcement Learning for Energy-Efficient and Quality-of-Service-Aware IoT Routing
[NO] 850/1000 | Adversarial Networks in Healthcare: A Survey of Diagnostic and Classification Application
[NO] 851/1000 | Intelligent Tutoring Algorithm for Advanced Mathematics via Knowledge Graph-Augmented Generative Language Model
[NO] 852/1000 | Feature-Level Data Fusion based Deep Learning for Soil Moisture Prediction using Multi-Source Satellite Data
[NO] 853/1000 | CAKE: Cloud Architecture Knowledge Evaluation of Large Language Models
[NO] 854/1000 | Adaptive Graph Transformer Uncertainty-Aware Soft Reinforcement Learning Framework for HVAC Systems Energy Consumption Optimization Control
