[2026-03-24 09:42:22] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-23
正在获取论文...
[arXiv] 2026-03-23 | Dark energy and accelerating cosmological evolution in a Universe with a Weylian boundary
[NO] 941/1834 | Evaluating Fuzzy Logic in Migraine Prediction
[NO] 942/1834 | PTRD: A Physical-Temporal Real-Time Detector Against False Data Injection Attacks on Wind Turbines
[NO] 943/1834 | Low-Complexity Federated Learning for Decentralized Air Quality Monitoring on 5G/6G Edge
[NO] 944/1834 | Creation and Evaluation of a Kannada Digit Speech Dataset using Crowdsourced Voice Samples
[NO] 945/1834 | Adaptive Perception Driven Traffic Sign Detection using Dynamic ROI Extraction and Hybrid Shape Intelligence
[NO] 946/1834 | Design and Implementation of a Containerized Multi-Platform Monitoring Framework Using Open-Source Technologies
[NO] 947/1834 | Smoke Quit APP PuffFree QS
[NO] 948/1834 | Solar PV-Fed Multilevel DC–DC Converter with Generalized TZCM based ZVS for DC Microgrid Applications
[NO] 949/1834 | Machine Learning based Prediction of Coronary Heart Disease using Clinical Data
[NO] 950/1834 | Adaptive Residual Learning for Real-Time Hyperspectral Anomaly Detection
[NO] 951/1834 | Cognition-Guided Coupled Learning for Camouflaged Object Detection
[NO] 952/1834 | Federated Aggregation of Polyhedral Demand Flexibility Sets
[NO] 953/1834 | LUT-Based Convolutional Tsetlin Machine Accelerator with Dynamic Clause Scaling for Resources Constrained FPGAs
[NO] 954/1834 | Fault Estimation and Isolation for Nonlinear Multi-Agent Systems Based on a Mixed Performance Observer: A Zonotopic Approach
[NO] 955/1834 | Aero-engine Life Prediction Based on ARIMA and LSTM with Multi-Head Attention Mechanism
[NO] 956/1834 | Analysis and Modeling of Frequency-Domain Compensation Techniques for High Bandwidth Shunt Resistors
[NO] 957/1834 | A Wireless Charging Alignment Strategy Under Complex Working Conditions Using Voltage Fingerprints and a Residual-Calibrated Ensemble Network
[NO] 958/1834 | A UAV Localization Method Based on Multiple Single Chip Radars and Velocity Optimization
[NO] 959/1834 | Distributed Online Optimization over Partially Free-In and Free-Out Networks
[NO] 960/1834 | Circuit and Operation of Multi-Pulse Auto-Transformer Rectifier Unit With Reduced Weight and Magnetics Requirement
[NO] 961/1834 | CLIP-ADA: CLIP-guided Artifact-invariant Generalizable Synthetic Image Detection
[NO] 962/1834 | RailS: Load Balancing for All-to-All Communication in Distributed Mixture-of-Experts Training
[NO] 963/1834 | TID Degradation Mechanisms in Gate-All-Around Silicon Nanowire FETs
[NO] 964/1834 | Dynamic Offloading for Deadline-Aware Dependent Tasks in UAV-Empowered Multi-Access Edge Computing
[NO] 965/1834 | Design Optimization of a MG-PMSM based on Torque Balance and Trust Region Boundary Surface
[NO] 966/1834 | Carbon-Aware Decision-Making for Data Centers in Intraday Electricity Markets Using Deep Reinforcement Learning
[NO] 967/1834 | A Physics-Constrained Graph Generative Adversarial Network for Augmenting Scarce Voltage Violation Scenarios in Distribution Networks
[NO] 968/1834 | A Multi-Time-Scale Regulation Potential Assessment Method for Virtual Power Plants Based on Physical-Information Dual-Driving
[NO] 969/1834 | Real-Time Corn Leaf Disease Classification Using MobileNetV2 and Streamlit
[NO] 970/1834 | Distributionally Robust Resilient Operation of Power System with Advanced Adiabatic Compressed Air Energy Storage
[YES] 971/1834 | Leveraging Large Language Models for Automated Domain Model Construction
[NO] 972/1834 | Construction and Application of Post evaluation System for Power Grid Projects Assisted by Artificial Intelligence
[NO] 973/1834 | Design and Optimization of Preamplifier based Comparator using 180nm Technology
[NO] 974/1834 | Blockchain and AI-Powered Tourist Safety System for Real-Time Risk Management
[NO] 975/1834 | Adaptive Control of Water Sprinkler Systems for Sustainable Agriculture
[NO] 976/1834 | Capacity Planning of Constant- and Variable-Speed Pumped Storage Under Renewable Resource Droughts
[NO] 977/1834 | Leveraging Outcome Metrics to Design Educational Hackathon: Setups for Sustainable Student Projects
[NO] 978/1834 | SignFlow: Multilingual ISL Paragraph Translator with Virtual Assistant
[NO] 979/1834 | Artificial Intelligence-Based Visual System for ABO and Rh Blood Group Prediction
[NO] 980/1834 | SDN-Enabled Intelligent Irrigation Framework with IoT Sensor Integration for Smart Agriculture
[NO] 981/1834 | Design and Kinematics of an Active Suspension Rover for Extreme Terrains
[NO] 982/1834 | EduHub: An AI-powered community-based system to enhance the quality of rural education in India
[NO] 983/1834 | QoS-Aware Adaptive Flow Rule Placement in Software Defined Internet of Vehicles
[NO] 984/1834 | Color Space Fusion for Semantic Segmentation in Indian Adverse Weather Driving Scenes
[NO] 985/1834 | Impact Analysis of Solar PV Penetration in Distribution Network on Power Loss and Reliability
[NO] 986/1834 | Study on Safety Boundaries of Sodium-Ion Batteries Under Typical Electrical Abuse Conditions
[NO] 987/1834 | Data-Driven Industrial Load Flexibility Classification and Dynamic Pricing Method Designation
[NO] 988/1834 | Cuckoo Search–Tuned ML models for Crop Prediction
[NO] 989/1834 | A Dissipation Energy Flow Method for Locating Forced Oscillation Sources Using FIF and MST
[NO] 990/1834 | Toward a UAF-Based Multi-View Territorial Architecture: An MBSoSE Approach to Model Critical Infrastructures
[NO] 991/1834 | Research on Multi-level Response Optimization and Control Technology of Virtual Power Plants Based on Spot Trading
[NO] 992/1834 | PLANTSHIELD AI: An Integrated Deep Learning And Predictive Analytics Framework For Smart Pest Management And Data-Driven Rice Crop Disease Optimization
[NO] 993/1834 | Mouse Movement Detection and Data Loss Analysis using Machine Learning
[NO] 994/1834 | Climate Risk Index for Extreme Load Event Prediction in Power Systems
[NO] 995/1834 | Designing Cognitive AI-Enhanced Machine Learning Architectures for Adaptive and Intelligent Network Optimization
[NO] 996/1834 | Comparison of Optimizers for LSTM Model to predict State of Charge Estimation of Electric Vehicle Batteries
[NO] 997/1834 | Machine Learning-based Plant Disease Severity and Progression Prediction System
[NO] 998/1834 | Emergency Network Reconfiguration and VAR Control for ADNs Based on Topology-Adaptive Dimension-Augmented Power Flow
[NO] 999/1834 | A Flexible Distribution Network Planning Approach Considering Coupling Static Voltage Stability
[NO] 1000/1834 | Design and Implementation of an Optimal Wave Energy Measurement System
[NO] 1001/1834 | Distributed Power Disaggregation for Heterogeneous Household Microgrids Based on Optimal Sensitivity
[NO] 1002/1834 | Rapid Evaluation of Frequency Nadir Considering Low Voltage Ride-Through Process of Renewable Energy Generators
[NO] 1003/1834 | Field-Scale Weed Classification in Rice Crops using AI-Driven Vision Models
[NO] 1004/1834 | Scalable OFDMA-Based Multi-User Channel Access for FANETs in Disaster Scenarios
[NO] 1005/1834 | Physical-Constrained Data-Driven Power Flow for Three-Phase Three-Wire Distribution Feeder
[NO] 1006/1834 | Scalable Pothole Detection System for Urban Road Networks
[NO] 1007/1834 | Real-Time Construction Site Accident Detection System with Siren Alert
[NO] 1008/1834 | Mode Switching-Induced Instability of Multi-source Feed DC Microgrid
[NO] 1009/1834 | A Multimodal Approach to Ergonomic Assessment Fusing an IMU-Based RULA and Surface EMG System
[NO] 1010/1834 | Low-Loss Millimeter-Wave Surface-Mounted Wideband Filtering Power Divider Based on MEFAB Process
[NO] 1011/1834 | High-Precision 6DOF Pose Estimation via Global Phase Retrieval in Fringe Projection Profilometry for 3D Mapping
[NO] 1012/1834 | Polar Finite-Difference-based Physics-Informed Neural Networks for Eddy Current Problems
[NO] 1013/1834 | Enhancing Torque Capability of Flux-Switching Electrically-Excited Machines by Dual-Armature Winding Configuration
[NO] 1014/1834 | How the Properties of Inter-Area Modes of Oscillation Vary with Operating Conditions: A Study in the US Eastern Interconnection
[NO] 1015/1834 | A Novel Control Strategy for Hydrogen Electrolyzer to Ride-Through Coupled Frequency and Voltage Disturbance Events
[NO] 1016/1834 | Enabling Computation and Communication Overlap in PIMs for on-device LLM Inference
[NO] 1017/1834 | Lab characterization of the soft X-ray transition edge spectrometer sensor array for the Advanced Photon Source
[NO] 1018/1834 | Gaussian Mixture Model Based Bayesian Learning for Sparse Channel Estimation in Orthogonal Time Frequency Space Modulated Systems
[NO] 1019/1834 | The Price of Optimal Fleet Selection
[NO] 1020/1834 | Idealization-Oriented Planning for Mixed Traffic at Highway Interchanges: Mitigating HDV-Induced Inefficiencies Under High CAV Penetration
[NO] 1021/1834 | A Video-Based Autism Detection In Children Using MLP Classifier and Computer Vision Technique
[NO] 1022/1834 | A novel modified circular shaped CPW antenna for 5g applications
[NO] 1023/1834 | Design and Implementation of an Automated PII Detection System using DeBERTaV2 and NLP
[NO] 1024/1834 | Incentive-Based Demand Response Strategy Optimization Considering External and Behavioral Uncertainties
[NO] 1025/1834 | Sustainable Energy Generation using Piezoelectric Footstep Mechanism
[NO] 1026/1834 | An Integrated Analysis of Traditional, Hybrid and AI-Driven Localization Strategies in Wireless Sensor Networks
[NO] 1027/1834 | An Efficient Signal Processing using EfficientNetB4-Lite Supported Deepfake Detection in Spectral Sensing TinyML Environment
[NO] 1028/1834 | Rice Leaf Disease Classification using EfficientNet and Transfer Learning
[NO] 1029/1834 | MD-LiViT:Multi-Domain Lightweight Vision Transformer for Assistive Lung Cancer Detection from CT Scans and Histopathological Images
[NO] 1030/1834 | Harnessing Quantum Computing for Precision Medicine: Quantum Approximate Optimization Algorithm (QAOA) for Drug Discovery, Genomic Analysis, and Healthcare Optimization
[NO] 1031/1834 | Multi Perspective Effect Analysis of Quantum Computing in the Rise of Artificial Intelligence
[NO] 1032/1834 | Data-Driven Identification of Electricity Market Supply Curves
[NO] 1033/1834 | A Curriculum-Grounded AI Tutoring System
[NO] 1034/1834 | Cluster-Based Hybrid MAC Protocol for FANET with Massive MIMO in 5G and Beyond
[NO] 1035/1834 | Investment Value Analysis and Strategy Research of New Energy Storage and Virtual Power Plant
[NO] 1036/1834 | Design and Development of Modular Limbs for Reconfigurable Robots on the Moon
[NO] 1037/1834 | NeuroVision : EEG based image reconstruction using Deep-Learning
[NO] 1038/1834 | Enhancing IoT Security Through Deep Learning Based Botnet Detection
[NO] 1039/1834 | Automating P-Card Reconciliation with UiPath and Microsoft Power Automate: A Transformational Approach to Streamlining Financial Operations
[NO] 1040/1834 | Reuse of Retired Wind Generators for Mechanical Inertia Enhancement in Inverter-Based Grids
[NO] 1041/1834 | Analytical analysis of the transient behavior of PLL-VSC converter
[NO] 1042/1834 | Predictive Energy Management of Large Public Buildings Based on Double DQN—Under the Background of Intelligent Health Monitoring
[NO] 1043/1834 | Construction and Analysis of System Operational Flexibility Demand Curves Based on Shadow Pricing Theory with the Participation of Source-Load Entities
[NO] 1044/1834 | A Synergistic Machine Learning Framework for Type 2 Diabetes Prediction using Ancestry-Specific Genomic and Lifestyle Data
[NO] 1045/1834 | Research on Voltage Support Methods for AC-DC Hybrid Distribution Networks Under Voltage Sag Conditions
[NO] 1046/1834 | NODA-MMH: Certified Learning-Aided Nonlinear Control for Magnetically-Actuated Swarm Experiment Toward On-Orbit Proof
[NO] 1047/1834 | Lightweight ECG Diagnosis on IoT Edge with FFT-Driven CNN Acceleration and Sparse Projection Learning
[NO] 1048/1834 | Akshara: Contextual Transliteration of Brahmi Script Using Deep Learning
[NO] 1049/1834 | NeRF-based Visualization of 3D Cues Supporting Data-Driven Spacecraft Pose Estimation
[NO] 1050/1834 | Designing for Distributed Heterogeneous Modularity: On Software Architecture and Deployment of the MoonBots
[NO] 1051/1834 | Active power fluctuation mechanism and support strategy of sending-end system under commutation failure
[NO] 1052/1834 | Quantum Approximate Optimization Algorithm for Reliable Diagnosis of Benign vs. Malignant Breast Tumors
[NO] 1053/1834 | A Fault Diagnosis Method With Temporal Constraints For Power System Based On Intuitionistic Fuzzy Colored Petri nets
[NO] 1054/1834 | Reliability Evaluation of Power Systems Considering State of Safety of Battery Energy Storage
[NO] 1055/1834 | Traffic Sign Detection and Classification using Deep Learning Algorithms with Advanced Preprocessing Techniques
[NO] 1056/1834 | Construction and Practice of a Payment Risk Early Warning System for Power Grid Engineering Based on Process Optimization
[NO] 1057/1834 | Non Invasive Blood Glucose Level Monitoring
[NO] 1058/1834 | Sequence Immittance Modeling and Stability Analysis for Hybrid Renewable Energy Station Consisting of GFL and GFM IBRs
[YES] 1059/1834 | Adaptive Self-Healing Security Framework for DevSecOps using Reinforcement Learning
[NO] 1060/1834 | Voiceprint Fault Identification Method of Transformer in New Energy Station Based on Feature Fusion and Improved Wave Search Algorithm
[NO] 1061/1834 | Comparative Performance Analysis of PI and PID Controllers for Linear and Nonlinear Conical Tank Systems with Enhanced Level Control Using I-PD Strategy
[NO] 1062/1834 | An Optimized Framework for Accurate Skin Cancer Classification
[NO] 1063/1834 | Economic Analysis of Compressed Air Energy Storage Power Plants Based on Electricity Market Mechanisms
[NO] 1064/1834 | Flexible Modeling and Acceleration for Power System Electromechanical Transient Simulation with Renewable Energy Sources and Hybrid HVDC Systems in STEPS
[NO] 1065/1834 | A model for reducing octane loss during gasoline refining process
[NO] 1066/1834 | Coordinated Soft Open Points and Switching Strategy for Enhancing the Dispatchable Region in Resilient Distribution Networks
[NO] 1067/1834 | On the Robust Unit Commitment under Renewable Uncertainty with Pairwise Convex Hull
[NO] 1068/1834 | Detection of Drug Resistant Tuberculosis in Chest Radiographs via Mediastinum Analysis
[NO] 1069/1834 | Research on Three-Phase Power Mutual Assistance Control Strategy for Grid-Connected Converter
[NO] 1070/1834 | Day-ahead Coordinated Interaction Method for Steel Clusters and Renewable Energy
[NO] 1071/1834 | State-space Variation Induced Instability During Mode Switching in Multi-source DC Microgrid
[NO] 1072/1834 | IConSCEPT 2025 TOC
[NO] 1073/1834 | Design of Conformal Reconfigurable Reflectarray Antenna Based on Flexible Material
[NO] 1074/1834 | Robust Seismic Denoising Framework: A GAN-Based Approach with Multi-Scale Feature Fusion and Signal Preservation
[NO] 1075/1834 | Investigating the Dual-Look Capability of WindSat for Passive Microwave Snow Mapping
[NO] 1076/1834 | Design and Optimization of a Compact Metacarpophalangeal Joint Angle Sensor For Robotic Finger
[NO] 1077/1834 | Possible Self-Arresting Screening Current Stress Damage in a REBCO Test Coil at 42.6 T in 31 T Background Field
[NO] 1078/1834 | Coupling Structural Descriptors with a Novel Semantic Graph Matching Approach for LiDAR Loop Detection
[NO] 1079/1834 | Avalanche Failure Mechanisms of 1200-V/40-A 4H-SiC Junction Barrier Schottky Diodes with Various Epilayer Defects
[NO] 1080/1834 | DFS-TSPML: Distribution Feature Screening and Three-Stage Physical Information Meta-Learning for Multi-Condition Tool Wear Monitoring
[NO] 1081/1834 | On the Service Provisioning and Reconfiguration for Asymmetric Traffic in Drop-and-Continue Optical Networks based on P2MP-TRXs
[NO] 1082/1834 | ETEP 2025 Author Information Page
[NO] 1083/1834 | Flexible and Privacy-Preserving Access Control Framework for Decentralized Identity Systems
[NO] 1084/1834 | ETEP 2025 Breaker Page
[NO] 1085/1834 | Effect of Incident Angle on Heavy-Ion Irradiation Damage in p-GaN Gate HEMTs
[NO] 1086/1834 | RIS-Assisted Extremely-High-Frequency Wireless Communication System: Joint Resource Optimization to Enhance Spectral Efficiency
[NO] 1087/1834 | ACSAM: Accuracy-configurable Segmentation-based Approximate Multiplier for Error-resilient Edge-AI Applications
[NO] 1088/1834 | Fractional Range Migration Compensation and Doppler Ambiguity Resolution for Pulse Doppler Radars Using Variable Chirp Rate Signals and Pulse Compression with Partial Reference Signals
[NO] 1089/1834 | ATC-FL: Adaptive Thompson Sampling for Efficient Clustering in Federated Learning
[NO] 1090/1834 | Dynamics and High-Dimensional Chaotic Signal Generation in a Dual-Loop Optoelectronic Oscillator
[NO] 1091/1834 | An Improved Shunt Capacitor-Commutated Converter and Control Methodology for HVDC Transmission System
[NO] 1092/1834 | Detecting Stable Cross-Impact Patterns in Bivariate Time Series
[NO] 1093/1834 | Magnetic Target Positioning Based on Differential Errors Compensation
[NO] 1094/1834 | Countermeasures for Ecological Environment Restoration of Pumped Storage Power Stations in Northern Stone Mountain Areas
[NO] 1095/1834 | A Joint Model-driven and Data-driven Distribution Network Line Fault Prediction Method under Typhoon
[NO] 1096/1834 | Efficient Quantisation with Improved Lightweight YOLO (v3 and v4) - MobileNetv3 Model Channel Pruning for IoT-based Edge Devices
[NO] 1097/1834 | Transient Instability Detection and Control of VSG Integrated Systems Considering Current Limits
[NO] 1098/1834 | Real-Time Security Assessment in Electric Vehicle-Integrated Distribution Networks via Multidimensional Holomorphic Embedding Method
[NO] 1099/1834 | HyFURE - Hybrid Fuzzy Reinforcement for Adaptive Class-based Traffic Control
[NO] 1100/1834 | Reinforcement Learning-Based Expansion Planning for AC/DC Hybrid Power Grids under Extreme Natural Disasters
[NO] 1101/1834 | Transient Performance Enhancement for the ITER Coil Power Supply System
[NO] 1102/1834 | A Hybrid LSTM-GRU-PSO Model for Inertial Energy Prediction in Renewable-Rich Power Systems
[NO] 1103/1834 | Research on Cloud-Edge Collaborative Management Technology for Core DC Setting Parameters of Converter Stations
[NO] 1104/1834 | A Game-Theoretic and Learning-Based Framework for Flexible Virtual Power Plant Operation under Dynamic Electricity Markets
[NO] 1105/1834 | Design of Spiral Slots Loaded Substrate Integrated Waveguide Antenna with Improved Circular Polarization
[NO] 1106/1834 | An Efficient Fog-Based System for Healthcare Data Analytics
[NO] 1107/1834 | Transfer Learning-Based Computer Vision Modeling Framework for Lumbar Vertebrae Localization in Sagittal Radiographs
[NO] 1108/1834 | PLUME: Procedural Layer Underground Modeling Engine
[NO] 1109/1834 | PQD Classification Method based on Iterative Filtering Kaiser Window S-Transform and NRBO-XGBOOST
[NO] 1110/1834 | Real-Time Traffic Violation Detection using YOLOv8 for Helmetless Riding and Overload Riding
[NO] 1111/1834 | Tanimoto Similarity-Based Pilot Protection for Offshore Wind Power AC Collection Lines Integrated with Negative-Sequence Current Injection
[NO] 1112/1834 | Hausdorff-Optimal Zonotope Construction for Characterizing Water-Energy Flexibility of Pelagic Island Micro-Energy Grid
[NO] 1113/1834 | Enhancing Fuel Station Operations: A User-Friendly Mobile-Integrated System for Accurate Dispensing and Payment
[NO] 1114/1834 | A Deep Learning-Based Detection and Severity Grading of Grape Downy Mildew: Architectural Evaluation and Deployment on Mobile Application
[NO] 1115/1834 | Advanced Adaptive Resource Management and Optimization in Smart Grids Through the Integration of 5G Network Slicing and Federated Learning Techniques
[NO] 1116/1834 | Short-Circuit Calculation for Renewable Energy-Integrated Power Systems Employing Wind Farm Equivalence Modeling and Equivalent Aggregation
[NO] 1117/1834 | Fedcure Approach for Secure Access of IoMT Data from Different IoMT Devices
[NO] 1118/1834 | Day-Ahead Multi-Layer Game and Capacity Allocation Optimization for Wind–PV–Storage Coalitions under Electricity Price Uncertainty
[NO] 1119/1834 | Development and Application of Digital Risk Database in Higher Education Institutions
[NO] 1120/1834 | Dynamic Photovoltaic Accommodation Capacity Assessment of Distribution Network Considering the Regulatory of Electric Vehicles
[NO] 1121/1834 | Classification and Detection of Skin Cancer using YOLOv11 and SHAP AI
[NO] 1122/1834 | Poultry Disease Classification Using Transfer Learning for Improved Farm Management
[NO] 1123/1834 | Multi-Type Energy Storage Capacity Optimization for Power Grids Under High-Proportion Renewable Energy Integration
[NO] 1124/1834 | Towards Self-Adaptive Cloud Security: Deep Learning Models for Privilege Escalation Detection
[NO] 1125/1834 | Topological Deep Learning for Hierarchical Asset Manifold Embedding in Non-Euclidean Financial Market
[NO] 1126/1834 | Dispatch-Embedded Long-Term Tail Risk Assessment and Mitigation via CVaR for Renewable Power Systems
[NO] 1127/1834 | Stress Detection Using Physiological Signals with CNN, LSTM and Attention on WESAD Dataset
[NO] 1128/1834 | Short-term power load forecasting model of Power stations based on federated learning
[NO] 1129/1834 | Transitioning from a Single-Model Baseline to a Multi-Stage Deep Learning Pipeline: A Head-to-Head Evaluation for Tooth Numbering in Intraoral Photographs
[NO] 1130/1834 | Reliability Analysis and Optimal Redundancy Configuration Scheme of All-DC Offshore Wind Power Centralized Booster Station
[NO] 1131/1834 | Design and Development of a Magnetorheological (MR) Damper for Smart Resistance Training Equipment
[NO] 1132/1834 | Voltage and Frequency Analysis of Offshore Wind Farms Following MMC DC-side Fault
[NO] 1133/1834 | Enhancing On-Board Orbit Prediction with Machine Learning
[NO] 1134/1834 | A Siamese Network-based Approach for Robust Offline Signature Verification Under Data Security
[NO] 1135/1834 | A Machine Learning-based System for Predicting Monogenic Genetic Disorders
[YES] 1136/1834 | Schema-Agnostic Fraud Detection System Using LLM-Based Schema Alignment and Explainability
[NO] 1137/1834 | Semantic Segmentation of Dog Hearts Using Vision Transformers for Accurate Vertebral Heart Score Computation
[NO] 1138/1834 | Monitoring algorithm of dust movement in valve hall based on improved particle swarm optimization
[NO] 1139/1834 | Integration Strategy of Sensorless and Current Reconstruction for PMSG in Offshore Wind Power Field
[NO] 1140/1834 | Forecasting Urban Cellular Traffic with Higher-Order Convolutional Neural Networks
[NO] 1141/1834 | An Integrated Identification–Analysis Workflow for Ultra-Low Frequency Oscillation Mechanism Elucidation in Power Systems
[NO] 1142/1834 | PQD Recording Triggered by the Composite Criterion
[NO] 1143/1834 | Performance Evaluation of Jakarta EE-Based Applications in Containerized Environments
[NO] 1144/1834 | On Inductive Characterization for Divergence-sensitive Probabilistic Branching Bisimilarity
[NO] 1145/1834 | Efficient Hardware Realization of Distributed Arithmetic-Based LMS Adaptive Filters Using VLSI Techniques
[NO] 1146/1834 | Instance Prompt Meets Dynamic Adapter: Continual Test-Time Adaptation for Urban Scene Images Segmentation
[NO] 1147/1834 | Mapping Present-Day Vertical Land Motion in the Alpine–Apennine System from GNSS Time Series: Uncertainty Reduction Using Hydrological Loading Corrections
[NO] 1148/1834 | SSFDiffusion: A Degradation-Aware Diffusion Model for Ocean Sound Speed Field Super-Resolution
[NO] 1149/1834 | Aggregating DER Uncertainty: Minkowski Sum Under Joint Chance Constraints
[NO] 1150/1834 | One-Step Image-Function Generation via Consistency Training_supp1-3676205.pdf
[NO] 1151/1834 | Improving Transferability of Data-Free Universal Adversarial Perturbations via Auxiliary Ensembles
[NO] 1152/1834 | BASL-IoD:A Blockchain-Assisted Secure and Lightweight Authentication Scheme for Internet of Drone
[NO] 1153/1834 | A Parasitic-Tolerated Design of Compact Inverse Class-F GaN HEMT Power Amplifier With Integrated Matching Network
[NO] 1154/1834 | Adaptive Cooperative Intra–Inter Domain Adversarial Network With Stage Division for RUL Prediction of Ship Electric Propulsion System
[NO] 1155/1834 | 2026 6th International Conference on Image Processing and Capsule Networks (ICIPCN)
[NO] 1156/1834 | ICAIQSA 2025 Preface
[NO] 1157/1834 | A Simple Analytical Design Approach for Small-Frequency-Ratio Dual-Band Rat-Race Couplers
[NO] 1158/1834 | Exploiting GANs Against IDSs: A Systematic Review, Meta-Analysis, and Case Study Evaluation
[NO] 1159/1834 | A Two-Stage Data-Driven Topology Identification in Three-Phase Distribution Networks
[NO] 1160/1834 | Research on Failure Determination of Switching Devices Coupling Indicators Based on Vibration Parameters and ESNIM
[NO] 1161/1834 | Robust Generalized Partial-to-Full Point Set Registration with Overlap-Guided Bidirectional Hybrid Mixture Models for Computer-Assisted Orthopedic Surgery
[NO] 1162/1834 | Adaptive Token Merging for Efficient Transformer Semantic Communication at the Edge
[NO] 1163/1834 | Hierarchical Federated Learning in Device-to-Device Networks with Learning-Topology Co-Optimization_supp1-3673393.pdf
[NO] 1164/1834 | Benchmarking the Time Cost of Adversarial Attacks on GANs
[NO] 1165/1834 | Knowledge Graph for Assessing Flooding Risks to Electricity Distribution Substations
[NO] 1166/1834 | Smart-Edge RF Harvesting and Reconfigurable Antenna Array for Sustainable IoT Communication
[NO] 1167/1834 | Research on Dynamic Regulation and Control Methods of Energy-Saving Speed Control Technology for Pumping Units During High Water Cut Period
[NO] 1168/1834 | An Explainable Deep Learning Framework for Breast Cancer Diagnosis using GAN-based Augmentation
[NO] 1169/1834 | Voltage Control Based on Load Partitioning and Virtual Active Power Injection in Low-Voltage Distribution Network
[NO] 1170/1834 | Multi-Disease AI-Bridging Diagnostics, Doctors, and Donors
[NO] 1171/1834 | LunaPolaris: A stereo camera, point cloud and IMU dataset for future lunar exploration in polar regions
[NO] 1172/1834 | A Transformer-Enhanced Neural Network for Multimodal Feature Fusion in AC Fault Line Selection
[NO] 1173/1834 | Two-layer Reactive Power Optimization Scheme for Power Grids Considering Reactive Potential of Wind Cluster
[NO] 1174/1834 | Automating P-Card Reconciliation with UiPath and Microsoft Power Automate: A Transformational Approach to Streamlining Financial Operations
[NO] 1175/1834 | Semi-Automatic Solar Panels Cleaning Rover
[NO] 1176/1834 | Deep Learning-Based Classroom Distraction Detection and Monitoring System
[NO] 1177/1834 | Stability Analysis and Suppression Strategy of Grid-Forming MMC-HVDC Systems with Dual-Loop Vector Voltage and Current Control
[NO] 1178/1834 | Quantitative Synthesis of Large Language Model Performance in Medical Reasoning Tasks
[NO] 1179/1834 | Histology-Aware Texture Encoding with Multi-Scale Attention for Uvular SCC and Dysplasia Classification
[NO] 1180/1834 | A Raspberry Pi-based Intelligent System for Detecting Vitamin Deficiencies using Image Analysis and Lightweight Deep Learning Models
[NO] 1181/1834 | A Deep Neural Network Based Filtered BiFPN object Detector using Scale Integrated Channel Attention
[NO] 1182/1834 | Improving Elbow Movements in Spinal Cord Injury Patients using Functional Electrical Stimulation (FES) Through Deep Reinforcement Learning Control
[NO] 1183/1834 | Exploring Asymmetrical Relationships in Predicting Postpartum Depression Using Theil's-U
[NO] 1184/1834 | Semi-Automated Brain Tumor Segmentation Using Thresholding and Morphological Processing with Real-Time OpenCV GUI Control
[NO] 1185/1834 | A Wearable Maternal Monitoring System for Fetal Kick Detection and Abdominal Temperature Tracking Using Accelerometer and Thermal Sensor
[NO] 1186/1834 | RICEVISION: An AI-Enabled Visual Intelligence-Driven Classification for Rice Varieties using Deep Learning and Computer Vision Approach
[NO] 1187/1834 | Real-Time Sky Image-Based Solar Power Forecasting for Ramp Rate Control in Solar Farms
[NO] 1188/1834 | Influence of Electric Vehicle's Participation in Power Grid Peak Regulation on Battery Health
[NO] 1189/1834 | Adaptive Hyper-Heuristic Svm Optimization for Scalable Intrusion Detection in Big Data
[NO] 1190/1834 | Enhancing Federated Learning Efficiency Through Minimal-Cluster Kubernetes Orchestration
[NO] 1191/1834 | Hybrid LLM-Vision Pipeline for Detection of Malicious QR Codes in Social Engineering Attacks
[NO] 1192/1834 | A GAN-Augmented Multi-Scale Feature Fusion Framework for Explainable Crop Disease Detection
[NO] 1193/1834 | A Deep Learning based Medical Image Analysis Framework for AIDS/HIV Prevention and Clinical Decision Support
[NO] 1194/1834 | Research on the Prediction of Separation and Purification Performance of Differential Pressure Thermally Coupled Distillation Process Based on LSTM-DQN Hybrid Model
[NO] 1195/1834 | Adaptive Speech Transcription for Medical Environments using Deep Neural Networks
[NO] 1196/1834 | Hybrid Machine Learning Models for Student-Centric Course Recommendations
[NO] 1197/1834 | Overcoming Barriers to Health Informatics Adoption: A Systematic Literature Review of Resistance and Integration in Telemedicine
[NO] 1198/1834 | Parameter Identification Method of Grid-Forming Wind Turbine for Wideband Oscillation Analysis
[NO] 1199/1834 | LightAttention-UNet: A Lightweight Model for Efficient Brain Tumor Segmentation on the BraTS 2024 Dataset
[NO] 1200/1834 | ForensicFaceGen: AI-Powered Suspect Sketch Generation Using Stable Diffusion for Criminal Investigations
[NO] 1201/1834 | See Where You Read: Reading Tracking via Eye Gaze Tracking and Large Language Model
[NO] 1202/1834 | Centralized Control for Paralleled VSCs with Grid-forming and Oscillation Suppression Capability
[NO] 1203/1834 | Prioritizing Gradient Sign Over Modulus: An Importance-Aware Framework for Wireless Federated Learning
[NO] 1204/1834 | Boosting Spectral Efficiency via Spatial Path Index Modulation in RIS-Aided mMIMO
[NO] 1205/1834 | Diffractive Neural Network-Based Intelligent Multiband Metasurface Antennas for Gain-Bandwidth Synthesis
[NO] 1206/1834 | Contact Plan Design for Cross-Linked GNSSs: An ILP Approach for Extended Applications
