[2026-05-26 23:10:01] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-25
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202605250000+TO+202605252359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[IEEE] 2026-5-25 | Nezha-FX: A Morphing HAUV Designed Based on Balanced Cross-Domain Performance Optimization
[NO] 546/1000 | Energy-aware Adaptive Topology Control for UOWSNs_supp1-3693790.pdf
[NO] 547/1000 | Sensor Data Quality Scoring for MEMS Accelerometers Via Spectral Anomaly Detection
[NO] 548/1000 | Cross-Center Surgical Step Recognition in Standardized Training Tasks: Dataset, Baselines, and Transfer Analysis
[NO] 549/1000 | Large Deviation Analysis for the Reverse Shannon Theorem
[NO] 550/1000 | Truncated Sparse Regularization Adjustment Method for Radar Forward-Looking Azimuth Super-Resolution Imaging
[NO] 551/1000 | Quantum Hardware-in-The-Loop for Optimal Power Flow in Renewable-Integrated Power Systems
[NO] 552/1000 | Metasurface-Assisted Ultra-Wideband Radar for High-Sensitivity Non-Contact Respiratory Detection
[NO] 553/1000 | A Lithium-Ion Battery SOC Estimation Method Based on an Attention-Residual Bidirectional LSTM Network
[NO] 554/1000 | An Improved Affine Optimization Method for Lowcarbon Dispatch in Multi-Energy Microgrids Considering Source-Load Correlation
[NO] 555/1000 | Physics-Informed BiLSTM with Adaptive Gated Fusion for Lithium-Ion Battery State-of-Health Estimation
[NO] 556/1000 | Finite Element Simulation Analysis of Tritium Transport in Lithium-Lead Droplets Inside Vacuum Sieve Tray
[NO] 557/1000 | Wasserstein Distributionally Robust Optimization for Park-Level Integrated Energy Systems
[NO] 558/1000 | Clinical XAI: A Tutorial on Concepts, Methods, and Modalities from Linear Models to LLMs
[NO] 559/1000 | Computation–Accuracy Trade-Off in Service-Oriented Model-Based Control
[NO] 560/1000 | Brain Tumor Detection and Classification from MRI Scans Using Deep Learning
[NO] 561/1000 | Secure-BSM: Blockchain-Assisted Collaborative Misbehavior Detection in Vehicular Networks
[NO] 562/1000 | Research Review on UAV-Based Air-Ground Small Target Detection and Tracking
[NO] 563/1000 | The On-Robot Computing Needs of Embodied AI
[NO] 564/1000 | Enhanced Methane Production and Real-Time Nutrient Assessment in Automated Biogas Systems
[NO] 565/1000 | CloudJump III: Optimizing Cloud Databases for Tiered Storage
[NO] 566/1000 | CLAPS: A Load-Aware Proxy Resource Pooling System for Reducing Resource Redundancy in Large-Scale Cloud Storage
[NO] 567/1000 | SAGE: Explainable Semantic-Aware Graph-Based Entity Integration for Heterogeneous Data Sources
[NO] 568/1000 | Modelling Predictive Uncertainty for Reliable Traffic Flow Forecasting Using UA-STTFF Framework
[NO] 569/1000 | FindTogether: AI-Powered Missing Person Detection and Collaboration System with Social Dashboard
[NO] 570/1000 | Dynamic Beam Position Partitioning and Layout Adjustment in LEO Beam Hopping Systems
[NO] 571/1000 | From Dual-Stream Manifold-Aligned Tokenizer to Latent Sensor-Invariant Consistency Model: Rapid Generative Super-Resolution for Cross-Sensor Remote Sensing Imagery
[NO] 572/1000 | Resolving the Buildup Dynamics of Noise-like Pulse in Mamyshev Oscillator
[NO] 573/1000 | A Novel INFORM Strategy Based on Bidirectional Voltage-Vector Injection for Low-Speed Sensorless PMSM Control Considering Armature Reaction
[NO] 574/1000 | Personalized Lattice Influence Maximization: Approximation Guarantees and Robustness
[NO] 575/1000 | Few-Shot Cross-Domain Indoor Localization via Multi-Modal Feature Refinement
[NO] 576/1000 | Temperature-Insensitive Pressure Sensor Based on Bending-Induced Strain Gradient in Fiber Bragg Gratings
[NO] 577/1000 | Enhancing Drug-Induced Liver Injury Prediction via Multi-Representation Molecular Images with Grad-CAM Explainability and Functional Group Attribution
[NO] 578/1000 | Predicting Student Performance in Architectural Visualization: A Random Forest Comparison of Core and Elective Student Groups
[NO] 579/1000 | ADD-Net-MRI: An Explainable Deep Learning Approach for Early Alzheimer’s Detection
[NO] 580/1000 | Uplink User Association and Resource Allocation in Integrated Terrestrial and Non-Terrestrial Networks
[NO] 581/1000 | Structural Damage Assessment and Repair Estimation Using Convolutional Neural Networks
[NO] 582/1000 | Characterization and Compensation of Deadband Nonlinearities in a Scaled Hydraulic Excavator for Human-Machine Interface Research
[NO] 583/1000 | Federated Contrastive Diffusion Prototypes for Robust Private Learning
[NO] 584/1000 | User-Guided Visual Analytics of Genome-wide DNA Methylation Data Based on Self-Organizing Maps
[NO] 585/1000 | Physics-Informed Neural Networks for Aerodynamic Shape Optimization: A Machine Learning Approach to Accelerating Aircraft Design
[NO] 586/1000 | Solar-Powered Blackspot Alert System
[NO] 587/1000 | An Effective Classification of Potato Leaf Diseases Using Hybrid Deep Learning Schemes
[NO] 588/1000 | PCB Board Defect Sorting System Based on Improved Detection Algorithm
[NO] 589/1000 | A Study on Digital Twin-Driven Predictive Maintenance Methods for High-Speed Winding and Baling Equipment
[NO] 590/1000 | Hybrid CNN–XGBoost Model for Endometrial Cancer Detection from Histopathological Images
[NO] 591/1000 | Adaptive Event-Driven Regime Modelling of Non-Stationary Rainfall Under Climate Variability
[NO] 592/1000 | An Ultra-Fast 3P0V Multi-Level Cell Programming Algorithm for Inference Context Memory Storage (ICMS)
[NO] 593/1000 | Degradation State Assessment of Rolling Bearings by Integrating Mechanism Knowledge with Multi-Scale Temporal Convolutional Networks
[NO] 594/1000 | AgroSSL-Net: A Self-Supervised Deep Learning Framework for Crop Health Monitoring
[NO] 595/1000 | An Effective CNN Multiresolution Framework for Covid-19 Diagnosis using Chest X-RAY
[YES] 596/1000 | Macro Block Optimization Floor Plan and Placement at Advanced 7nm Node Using Synopsys ICC2
[NO] 597/1000 | Resource Allocation for Multi-Domain Network Slicing: A Transfer Learning Approach
[NO] 598/1000 | Research on Gear Deviation Patterns Based on Rolling Inspection Technology
[NO] 599/1000 | Fake Review Detection Based on LOFD-EGCNN Model
[NO] 600/1000 | A Unified Perceptual-Physical Framework for Real-Time Underwater Motion Simulation of Immersive Agents and Large-Scale Crowds
[NO] 601/1000 | False Alarm Rate-Controllable Maritime Target Detection Via Cross-Attention Transformer Network
[NO] 602/1000 | PreSFC: Predictive SFC Migration via Multi-slot Mobility Forecasting in MEC Networks
[NO] 603/1000 | Probabilistic Sparse Attention and Adaptive Domain Modeling for External Defect Detection in Transformers
[NO] 604/1000 | Smart Farming: Eggplant Leaf Disease Detection through Fine-Tuned DenseNet201 Deep Learning Model
[NO] 605/1000 | A Non-Contact Volume Measurement System using a RGB-D Camera
[NO] 606/1000 | Heavy Ion-Induced Single-Event Effects in eGaN HEMTS
[NO] 607/1000 | A Multimodal Deep Learning Approach for Emotion-Aware Speech Recognition
[NO] 608/1000 | Deep Learning for Soil Type Detection: A CNN Approach to Agricultural Insights
[NO] 609/1000 | AI-Powered Cyber Defense Desktop Application with Real-Time Behavioral Analysis, Threat Intelligence
[NO] 610/1000 | How State Space Machines can help African Speech Language Identification
[NO] 611/1000 | Advancements in Brain Tumor Analysis and Early Detection through MRI Imaging and Explainable AI Techniques
[NO] 612/1000 | Comprehensive Voice-Based Pain Level Classification Utilizing Convolutional Neural Networks (CNNs)
[NO] 613/1000 | Moodify AI: An Intelligent Air-Drumming System Using Computer Vision and Artificial Intelligence for Real-Time Musical Interaction
[NO] 614/1000 | Revolutionizing Cloud Security through Federated Learning for Next-Gen Healthcare Systems in South Africa
[NO] 615/1000 | VTMedSeg: Geometry-guided Vision-Text Model with Concept-aware Fusion for Medical Ultrasound Image Segmentation
[NO] 616/1000 | Hearing Materials, Feeling Participation, Caring for Personhood: Situated Lessons from Participatory Design with Nonverbal Participants
[NO] 617/1000 | Enacting Utopias: A Participatory Design Approach to AI
[NO] 618/1000 | Participatory Design through the Lenses of Women Architects and Designers
[NO] 619/1000 | FedGDD: Defending Federated Learning Against Targeted Model Poisoning Sybil Attacks Based on Gradient Drift Detection
[NO] 620/1000 | Implicit Continuous Full-spectrum Response Network for Visible-to-Infrared Image Translation
[NO] 621/1000 | Integrated UAV and Satellite Observations for Antarctic Melt Pond Monitoring: Assessing the Melt-induced Risk for Transportation on Landfast Ice_supp1-3695914.docx
[NO] 622/1000 | An Accelerated Vectorized Discrete Ordinate Method With Forward and Jacobian Modules Developed Toward Advanced Satellite Data Assimilation
[NO] 623/1000 | Disk-Integrated Lunar Phase Curves from FY-4B/AGRI: Hapke Photometric Modeling from 470 nm to 2230 nm
[NO] 624/1000 | Point-RMAE: Reinforcement Masked Autoencoder for 3D Representation Learning_supp1-3694193.pdf
[NO] 625/1000 | High-Speed CMOS ADCs for 5G New Radio and AI-Edge Systems: Design Trends and Trade-Offs
[NO] 626/1000 | S-Edge: A Multi-Region Edge Computing Framework with Adaptive Data Compression and Dynamic Load Balancing
[NO] 627/1000 | Quantum Key Distribution For Optical Satellite Communications: An Engineering-Oriented Review
[NO] 628/1000 | Enhanced Sensing in Large-Scale Array PMCW Systems by Range-Angle Decoupling
[NO] 629/1000 | AC Power Flow-Based Demand Response for Multi-Energy Three-Phase Distribution Systems
[NO] 630/1000 | Optimizing Dropout in LLM Training: Performance Comparison of Fusion and Overlap
[NO] 631/1000 | Offline Local Search for Online Stochastic Bandits
[NO] 632/1000 | Multimodal Knowledge Distillation on MRI-based Alzheimer’s Disease Detection with Clinical-Guided Teacher Learning
[NO] 633/1000 | Linguistic Biomarkers for Dementia Detection: A Comparative Study of Machine Learning Models
[NO] 634/1000 | ChaosRetina: Chaos-theory Based Feature Extraction for Multi-Label Retinal Disease Classification
[NO] 635/1000 | AI in the Antenna Design Life Cycle: An AI-Assisted Systematic Review
[NO] 636/1000 | Design of Radix-4 Booth (Radix 256 booth encoding) Multiplication Algorithm
[NO] 637/1000 | Traffic Sign Detection Using CNN in Adverse Imaging Environments
[NO] 638/1000 | Descriptor:
                    <i>University of Rhode Island Photovoltaic Battery Energy Storage SOC Tracking Dataset</i>
                    (URI-PBEST)
[NO] 639/1000 | Hybrid CNN Architectures for Bengali Pitha Recognition: A Deep Learning Approach
[NO] 640/1000 | Hybrid Transformer Models for Multimodal Brain Tumor Detection and Grading
[NO] 641/1000 | AI-Vision: Deep Learning Based Facial Recognition System
[NO] 642/1000 | A Bandwidth-Enhanced Metasurface-Based RF Energy Harvester With Wide-Angle Reception
[NO] 643/1000 | Oil Temperature Estimation for Preheating Optimization in Air Conditioner Compressor Drives
[NO] 644/1000 | Heart Disease Prediction Using Hybrid Quantum-Classical Machine Learning Models
[NO] 645/1000 | Service Orchestration in the Computing Continuum: Structural Challenges and Vision
[NO] 646/1000 | Scene-adaptive Camera Network Construction for Efficient Nap-of-the-Object Photogrammetry
[NO] 647/1000 | Stochastic Computing Circuits for Nonlinear Functions Based on Multiplexers
[NO] 648/1000 | A High-Power
                    <i>Ku</i>
                    -Band PA Using Multi-Combiner Architecture
[NO] 649/1000 | A Bad Data Identification Method Based on Optimal Weight-Tuning for Power System State Estimation
[NO] 650/1000 | Research on the application of prior state vector and covariance matrix in GPS PPP time comparison
[NO] 651/1000 | Physics-Informed Prostate MR–US Registration by Biomechanical Fields Prediction Network
[NO] 652/1000 | Consistency-based Semi-supervised Evidential Active Learning Framework for Robust Classification of Radiology Images
[NO] 653/1000 | Development of a Novel Bistable Self-Holding Electromagnetic Actuator with Low Power Consumption for Electric Directional Valves
[NO] 654/1000 | Remaining Useful Life Prediction of Turbo Engine base on CNN-BiLSTM Model with Feature Enhancement Approaches
[NO] 655/1000 | Enhanced Traction Control on Irregular Roads through Preview-based Nonlinear Model Predictive Control
[NO] 656/1000 | Integrating Sentiment Analysis with Machine Learning for Cyberbullying Detection
[NO] 657/1000 | NeuroDL-Net: A Unified Deep Learning Framework for Multi-Disease Neurodegenerative Detection Using EEG Signals
[NO] 658/1000 | A Multi-Level Debiasing Framework for Mitigating Cultural Bias in Reviews Sentiment Analysis
[NO] 659/1000 | Intelligent IoT-Driven Predictive Indoor Air Quality Management Framework for Educational Environments using Multi-Sensor Integration and Cloud-based Machine Learning Analytics
[NO] 660/1000 | Sentinel: A Human-in-the-loop AI Framework for Electoral De-Duplication
[NO] 661/1000 | MechGNN: A Graph Neural Network Framework for Learning Nanoparticle-Tumor Mechanical Interactions in Targeted Drug Delivery
[NO] 662/1000 | Performance Evaluation of Reliability Indices in Islanded Microgrids Under Renewable Uncertainty
[NO] 663/1000 | AI -Driven Cloud Storage Latency Reduction
[NO] 664/1000 | Evaluating the Risk of Storing and Transporting the Hydrogen Energy in Oman Using Multi-Criteria Decision Making
[NO] 665/1000 | A Topology-Oriented Review of GaN-Based High-Frequency DC-DC Converters
[NO] 666/1000 | Ranking of Electrical Substation Sites using Simple Multi-Attribute Rating Technique (SMART)
[NO] 667/1000 | Novel Insights into the Role of Turbulent Fluxes and Diabatic Heating in Shaping the Spatiotemporal Structure of the Hadley Cell
[NO] 668/1000 | Improving Brain State Classification using Physics-Informed Convolutional Neural Networks
[NO] 669/1000 | Empowering Ambient IoT with Agentic UAVs: Reasoning, Learning, and Cooperation
[NO] 670/1000 | Cognitive GenAI-as-a-Service Orchestration in Edge Networks: A Value-Adaptive Multi-Agent Learning Framework
[NO] 671/1000 | Left2Right: Self-Supervised Training Framework for Low-Dose Computed Tomography Imaging
[NO] 672/1000 | Robust Filtering for Multi-Object Tracking Against Stealthy Measurement-Oriented Adversarial Attacks
[NO] 673/1000 | Global Localization of the Perseverance Rover via Orbiter–UAV–Rover Collaborative Matching
[NO] 674/1000 | Globally Consistent RGB-D SLAM with 2D Gaussian Splatting
[NO] 675/1000 | Author Index
[NO] 676/1000 | LightAD: A Lightweight Vision-Based Autonomous Driving System
[NO] 677/1000 | Exploratory Data Analysis(EDA) and Air Quality Forecasting for a City Using Random Forest
[NO] 678/1000 | Fault Analysis and Improvement of the Load Reducer for Bolter Miner
[NO] 679/1000 | An Intelligent and Efficient Framework for Brain Tumor Detection and Classification Leveraging Swin Vision Transformer and Quantum-Inspired Support Vector Machine
[NO] 680/1000 | Feature-guided non-normalized transformer optical image fusion
[NO] 681/1000 | Design and Implementation of an Intelligent Educational Chatbot using Natural Language Processing
[NO] 682/1000 | Author Index
[NO] 683/1000 | Correct Wrong Path Simulation
[NO] 684/1000 | Defect Detection of Photovoltaic Cells Based on Improved YOLO11n
[NO] 685/1000 | A Vision-Guided Bin-Picking Method for Asymmetric Metallic Tubes Based on Image Segmentation and Convolutional Template Matching
[NO] 686/1000 | Table of Contents
[NO] 687/1000 | LaViCoN: Language and Vision Cooperative Navigation for Assistive Mobile Robots
[NO] 688/1000 | Linearizability Alone Is Not Enough for Strict FIFO Semantics
[NO] 689/1000 | An IoT-Based Online Detection and Diagnosis System for Water Ingress Risks in Elbow-Type Cables
[NO] 690/1000 | Multi-Axis Vision Transformer with Optimised Temporal Convolution for Oral Diagnosis
[NO] 691/1000 | PPO-Based Dual-Layer Dual-Hole Pallet Insertion Without Inter-Layer Constraints Via Hierarchical Reinforcement Learning
[NO] 692/1000 | Error Suppression and High-Precision Inversion Model for Infrared Measurement of Semiconductor Epitaxial Layer Thickness under Multi-Beam Interference Disturbance
[NO] 693/1000 | Copyright and Reprint Permission
[NO] 694/1000 | A Structured Three-Stage Pipeline for Compositional Text-to-Image Generation with Editable Layouts and Object-Wise Attention
[NO] 695/1000 | Comprehensive Inspection Techniques for Evaluating Mg Activation Anneal in p-GaN of GaN Power Devices
[NO] 696/1000 | Exploring Interface State Density Variation in SiC MOSFETs Under Constant Voltage and Constant Current TDDB Stress Conditions
[NO] 697/1000 | Lithium-Ion Battery Capacity Degradation Prediction Based on Variational Mode Decomposition and Cross-Modal Attention Network
[NO] 698/1000 | A Survey on Computer Vision Framework for Joint Detection in Athletic Movements
[NO] 699/1000 | Study of Temporal Deixis on the Corpus of LDP and Its Application to The LDP Identity Construction Analysis
[NO] 700/1000 | Absolute Phase Refinement Network Based on Multi-Task Joint Learning
[NO] 701/1000 | Two-Way Co-Design: Learnings from the Solid Lines project
[NO] 702/1000 | Framing the conversation on Democracy and Participation along six structural gaps to reach democratic resilience
[NO] 703/1000 | Author Index
[NO] 704/1000 | Secure Optimization with Asynchronous Structured Skyline Predicates under Vertical Data Federation
[NO] 705/1000 | An Ultrawideband and Low-Profile Phased Array Design for Satellite-assisted Internet of Things Vehicular Communication
[NO] 706/1000 | Decoupled Seg Tokens Make Stronger Reasoning Video Segmenter and Grounder
[NO] 707/1000 | Front Cover
[NO] 708/1000 | Call for Papers - IEEE Computer Society
[NO] 709/1000 | A 210-GHz Planar Balanced Third-harmonic Mixer Based on Dual-band Rat-race Coupler
[NO] 710/1000 | Reinforcement Learning Neural Network Observer-Based Adaptive Optimal Time-Varying Formation Control for Uncertain Multi-agent Systems With External Disturbance
[NO] 711/1000 | Style Backdoor: A Robust Style-Decoupled Clean-Label Backdoor Attack
[NO] 712/1000 | Field Emission From Polymers Relevant to Anode-Initiated Flashover Development
[NO] 713/1000 | High Efficient and Near-Optimal Binary Computation Offloading Strategy Based on Game Theory and Greedy Optimization
[NO] 714/1000 | Edge-Based Vision-Language Assistive System for the Visually Impaired: A Quantized VLM Approach
[NO] 715/1000 | M2RU: Memristive Minion Recurrent Unit for On-Chip Continual Learning at the Edge
[NO] 716/1000 | NEMESI: 5G Non-invasive EMF Multi-user Exposure Surveillance and Inspection
[NO] 717/1000 | AURA: Agentic AI for Unified Reliability Modeling and Annotation Aggregation
[NO] 718/1000 | Author response for "A Physics-Informed Convolutional Neural Network for Global Ocean PAR Reconstruction from Satellite Observations"
[NO] 719/1000 | Current Stress Optimization Control of Dual Active Bridge DC-DC Converter Based on Dual Integral Sliding Mode Control
[NO] 720/1000 | A Multi-Objective Operational Management Approach for Photovoltaic Charging Stations Based on Reinforcement Learning
[NO] 721/1000 | Optimization Model of Investment Benefit for Power Grid Enterprises Based on Improved Genetic Algorithm
[NO] 722/1000 | Prototype Development of an Integrated Distributed Energy-Dissipating Modular Multi-Level Converter Based on 6.5kV IGBT
[NO] 723/1000 | WISP: Waste- and Interference-Suppressed Distributed Speculative LLM Serving at the Edge via Dynamic Drafting and SLO-Aware Batching
[NO] 724/1000 | BitBlender: Scalable, High-Throughput Bloom Filter Acceleration on FPGAs with Dynamic Scheduling
[YES] 725/1000 | Automatic Generation of Vectorizing Compilers for Customizable Digital Signal Processors
[NO] 726/1000 | First Workshop on Secure and Private Data Management (SeQureDB)
[NO] 727/1000 | Companion of the International Conference on Management of Data
[NO] 728/1000 | Learned Root-Cause SQL Prioritization and Diagnosis for Complex Database Performance Issues
[NO] 729/1000 | Teaching a New Dog Old Tricks: Reusing Data Management Principles in the Age of LLMs
[NO] 730/1000 | Panel on Building Practical Secure Databases: Challenges and Opportunities
[NO] 731/1000 | FeatInsight: An Online ML Feature Management System on 4Paradigm Sage-Studio Platform
[NO] 732/1000 | Precision-Aware Lightweight Deep Learning Framework for Automated Skin Cancer Classification from Dermoscopic Images
[NO] 733/1000 | Research on the Oscillation Mechanism of Induction Motor V/f System
[NO] 734/1000 | Emotion Detection From Facial Expressions using AI and ML
[NO] 735/1000 | Explainable AI Framework for Transparent and Fair Recruitment Decision-Making in Automated HR Systems
[NO] 736/1000 | An Ideal Approach to 3D NAND Flash Design for Ultra-High IOPS SSDs (&gt;100M) with Low-Latency (&lt;=us), Fine-Grained (Page Size=512B), and a Novel MB-level Embedded DRAM to support On-Chip NAND Managements
[NO] 737/1000 | Orientation–Frequency Fields and Periodic Prior Reranking for Robust Cross-Modal Tire Indentation Retrieval
[NO] 738/1000 | Multi-Path Regulation of Regenerative Braking Energy for Electric Drive Tracked Vehicles
[NO] 739/1000 | Communication System for the Deaf and Mute
[NO] 740/1000 | Enhancing Offline Maritime Translation Safety: A Retrieval-Gated Generation Approach with Entity Constraints
[NO] 741/1000 | Multi-level In-Memory Computing with 3D Flash Memory using Activation-Time-Modulated Sequential Multi-Block Access and Tightly Integrated Current Control Cell (CC Cell)
[NO] 742/1000 | MEMS-Based Gas Sensing via Broadband Dielectric Relaxation Spectroscopy
[NO] 743/1000 | Lightweight Pause Detector-Based ECG Sensing Device for Intelligent Cardiac Health Monitoring
[NO] 744/1000 | DT-MAEI: A Dual Timescale MARL-Embedded Embodied Intelligence Architecture to Enable AUV Cluster Network-Based Multi-Target Tracking
[NO] 745/1000 | Neighbor-Consistent Transformer for Domain Adaptation in Remote Sensing Scene Classification
[NO] 746/1000 | ZAP: Zoned Architecture and Performant Compiler for Field Programmable Atom Array
[NO] 747/1000 | The Flashover characteristics and arc development patterns of train roof insulator under ultra - high altitude
[NO] 748/1000 | TeleQNet: Defense-Grade Messaging with Quantum Teleportation
[NO] 749/1000 | Trajectory Design of Angular Displacement for Centrifugal Actuator Based on Model Predictive Control and Research on Vehicle Lateral Vibration Reduction
[YES] 750/1000 | HLS Driven Obfuscation of DSP Hardware IP Designs using Non-invertible Arbitrary Function and Reconfigurable Intertwined Obfuscation Logic
[NO] 751/1000 | Stepwise Dynamic Parameter Identification of Serial Robots with a Nonlinear Friction Model
[NO] 752/1000 | Analog In-Memory Computing for Large Language Model Inference: Opportunities and Challenges
[NO] 753/1000 | Identification of Position-Dependent Geometric Errors in Five-Axis Machine Tools Based on an Attention-Mechanism CNN-LSTM
[NO] 754/1000 | Multi-Model Deep Learning Computer Vision System for Brain Disorder Classification and Tumor Segmentation with Treatment Recommendations
[NO] 755/1000 | Non-Invasive Blood Group Classification using Fingerprint Images and Deep Residual Learning
[NO] 756/1000 | Infrared Thermal Bushing Fault Diagnosis Based on Adaptive Roi Extraction and Deep Learning Fusion Model
[NO] 757/1000 | A Control Method for Electronic Expansion Valves Based on Superheat Variations and its Application in Cold Storage Temperature Control
[NO] 758/1000 | Semantic Preservation in LLM-Based Cultural Narrative Generation for Marketing Communication Contexts
[NO] 759/1000 | A 1781 GOPS Compute-In-Memory CIM Macro with a Novel Dual-Port 8T SRAM for Implementing Multiple Logical Operations
[NO] 760/1000 | Research on the Pragmatic Functions and Phonetic Realization of Pause Signals in Natural Conversation in the Mongolian Khalkha Dialect
[NO] 761/1000 | Development of Nitrogen-polar GaN HEMTs
[NO] 762/1000 | Novel Full Ferroelectric-based Continuous-Time Ising Machine with Ultra-Low Hardware Cost for Real-Time Combinatorial Optimization
[NO] 763/1000 | ZnO/Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Heterojunction Based Optoelectronic Neuro-inspired Memristor
[NO] 764/1000 | Intelligent Fruit Detection Using Convolutional Neural Network
[NO] 765/1000 | Human centric conversational system in Tamil using Retrieval Augmented Generation
[NO] 766/1000 | Research of FastSLAM Based on Butterfly Optimization Algorithm with Hybrid Strategies
[NO] 767/1000 | Smart Disease Prediction and Medicine Recommendation System
[NO] 768/1000 | A TD3 Approach Based on Two-Sided Evolutionary Fusion for Robotic Arm Path Planning
[NO] 769/1000 | Smart Signal Booster for Cellular and Wi-Fi Communication
[NO] 770/1000 | CoDA: Color Distribution Probing for Efficient and Generalizable AI-Generated Image Detection
[NO] 771/1000 | MMA++: Effective Multi-Modal Adaptation for Vision-Language Models_supp1-3691448.pdf
[NO] 772/1000 | Beamforming Algorithm and System Optimization Based on True-Time-Delay and Phase Cooperative Control for Broadband Optically Controlled Phased Arrays
[NO] 773/1000 | Optical Remote Sensing Image Super-Resolution via Adaptive High-Pass Filtering and Window Attention Mechanism
[NO] 774/1000 | New Products
[NO] 775/1000 | UAV-Assisted-IRS-Aided-UE: Analysis of Ergodic Capacity, Outage Probability, and Diversity Order
[NO] 776/1000 | Innovation-Domain Decision-Directed Phase Tracking for Wiener Phase Noise in Fast Rayleigh Fading
[NO] 777/1000 | Performance of
                    <i>X</i>
                    -bar Control Chart Pattern Recognition Scheme with Regulated Monitoring and Ensemble Recognizers
[NO] 778/1000 | Adaptive Structured Proximal Policy Optimization-Based Compensation for PID control of Folding-Wing UAVs under Disturbances
[NO] 779/1000 | Ultra-low-power Monostatic Backscatter Platform with Phase-Aware Channel Estimation and System-Level Validation
[NO] 780/1000 | Structure from Noise: Confirmation Bias in Particle Picking in Structural Biology
[NO] 781/1000 | Using Transformer Encoders for Light Curve Classification in Telescope Pipelines
[NO] 782/1000 | 2026 IEEE 6th International Conference in Power Engineering Applications (ICPEA)
[NO] 783/1000 | 2026 Fourth International Conference on Augmented Intelligence and Sustainable Systems (ICAISS)
[NO] 784/1000 | Image Enhancement for Classifying the Diabetic Retinopathy in Retinal Fundus Images
[NO] 785/1000 | Secured Cloud Data Storage using Blockchain
[NO] 786/1000 | Joint Beam Scheduling and Passive Beamforming for IRS-Assisted Hybrid-Field SWIPT
[NO] 787/1000 | Author Index
[NO] 788/1000 | Optimized Recognition of Dermal Lesion Analysis Based on CNN and Vision Transformer
[NO] 789/1000 | Smart Kinetic Envelope: Modeling and Empirical Testing of IoT Systems for Tropical Climates : A Low-Cost Innovation Approach to Making the Global South More Energy Efficient
[NO] 790/1000 | Investigating the Suitability of High-Performance Linux-Based System-on-Modules for Lunar Applications
[NO] 791/1000 | Study and Analysis of Cyber Security Threats in Smart Home Technology
[NO] 792/1000 | ICPEA 2026 Cover Page
[NO] 793/1000 | Automated Screening of Diabetic Retinopathy from Retinal Images
[NO] 794/1000 | Thermoelectric Energy Generators for Harnessing Excess Thermal Energy: Thermoelectric Energy Sources for Sustainable Usage
[NO] 795/1000 | Reviving Ancient Immunity: Harnessing Molecular De-Extinction and Scalable Algal Biofactories of Computationally-Mined Antimicrobial Peptides to Eradicate Livestock Antibiotic Resistance
[NO] 796/1000 | KubeOrch: Visual Template-Based Kubernetes Configuration Management
[NO] 797/1000 | Woman-in-the-Loop: AI-Driven Mentorship Matching System
[NO] 798/1000 | Fourier-Denoising for Noisy Hamiltonian Systems: Enhancing Symplectic Dynamics Learning
[NO] 799/1000 | Melody-Centric Cryptography: A Human-Centered Framework for Symmetric Key Generation
[NO] 800/1000 | SPARE: Asymmetric Proof-of-Work–Based DoS Mitigation for IoT Devices
[NO] 801/1000 | Decoupled Cross-Modal Fusion and Knowledge Injection for Multimodal Sentiment Analysis
[NO] 802/1000 | Multi-Slot Distributed Frequency Control for Power Systems With Heterogeneous Devices
[NO] 803/1000 | Collision-Free Coordination of Heterogeneous Multiagent Systems Under Independent DoS Attacks
[NO] 804/1000 | Current Sensor Detection and Remedial Strategy for Repeated Faults in Dual Three-Phase PMSMs With Multiple-Branch Current Sampling
[NO] 805/1000 | Risk-Sensitive Stochastic Control for Robust UAV-Assisted Free-Space Quantum Key Distribution under Atmospheric Turbulence
[NO] 806/1000 | Smart Parking for Medical Cities via Passenger-Aware Allocation and Fast Grouping–Permutation Heuristics
[NO] 807/1000 | Resource Allocation Optimization in Process Petri Nets Based on Bottleneck Identification
[NO] 808/1000 | Hidden Markov Model Based Shared Autonomy for Grip Strength Regulation in sEMG Driven Robot Hand Control_supp1-3696049.mp4
[NO] 809/1000 | GaussianFusion_AI:Urban 3D Reconstruction and Label-Efficient Segmentation with Gaussian-Based Splatting
[NO] 810/1000 | Hardware-in-the-Loop Testbed for Advanced Distribution Management Systems
[NO] 811/1000 | Enhancing End-to-End Delay Satisfiability for IEEE 802.1Qav
[NO] 812/1000 | AMPGLDA: Predicting LncRNA-Disease Associations Based on Adaptive Meta-Path Generation and Multi-Layer Perceptron
[NO] 813/1000 | Insulator Defect Detection Algorithm Based on Optimized YOLOv8-Transformer
[NO] 814/1000 | Interactive Support of Frequency and DC Voltage for Receiving-End Network with Offshore Wind VSC-HVDC Integration
[YES] 815/1000 | Eight Myths on Software Engineering and GenAI
[NO] 816/1000 | <scp>Sumeru:</scp>
                    Towards Understanding and Achieving Cache-Optimal Inbound Network I/O
[NO] 817/1000 | Inclusive Citizen Science: Engaging Visually Impaired Students with Chatbots
