[2026-02-11 09:40:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-10
正在获取论文...
[arXiv] 2026-02-10 | Hecke curves in Frobenius strata of moduli space of rank 2 vector bundles
[NO] 723/1428 | Towards Training-free Multimodal Hate Localisation with Large Language Models
[NO] 724/1428 | Trade-Offs in Deploying Legal AI: Insights from a Public Opinion Study to Guide AI Risk Management
[NO] 725/1428 | ISO FastLane: Faster ISO 11783 with Dual Stack Approach as a Short Term Solution
[NO] 726/1428 | Macroscopic Spin-Orbit Interaction through Strong-Field Pumping of Inhomogeneously Aligned Molecular Ensemble
[NO] 727/1428 | Inter-Electrode Pulse Wave Velocity: A Direct Method for Maternal Arterial Stiffness Assessment During Pregnancy Using Multi-Channel ECG
[NO] 728/1428 | FLINGO -- Instilling ASP Expressiveness into Linear Integer Constraints
[NO] 729/1428 | Discrete-time, discrete-state multistate Markov models from the perspective of algebraic statistics
[NO] 730/1428 | Collaborative Spectrum Sensing in Cognitive and Intelligent Wireless Networks: An Artificial Intelligence Perspective
[NO] 731/1428 | Dynamic Bidirectional Coupling of Membrane Morphology and Rod Organization in Flexible Vesicles
[NO] 732/1428 | Tele-Omni: a Unified Multimodal Framework for Video Generation and Editing
[NO] 733/1428 | Designing a Token Economy: Incentives, Governance, and Tokenomics
[NO] 734/1428 | A mirror theorem for partial flag bundles
[NO] 735/1428 | Detecting radar targets swarms in range profiles with a partially complex-valued neural network
[NO] 736/1428 | Delving into Spectral Clustering with Vision-Language Representations
[NO] 737/1428 | Homogenization of nonlocal equations in randomly evolving media. Diffusion approximation
[NO] 738/1428 | Computational Explorations on Semifields
[NO] 739/1428 | Fidelity-Age-Aware Scheduling in Quantum Repeater Networks
[NO] 740/1428 | Fréchet Distance in the Imbalanced Case
[NO] 741/1428 | From Search to GenAI Queries: Global Trends in Physics Information-Seeking Across Topics and Regions
[YES] 742/1428 | SWE-Bench Mobile: Can Large Language Model Agents Develop Industry-Level Mobile Applications?
[NO] 743/1428 | AUHead: Realistic Emotional Talking Head Generation via Action Units Control
[NO] 744/1428 | RAD: Retrieval-Augmented Monocular Metric Depth Estimation for Underrepresented Classes
[NO] 745/1428 | DR.Experts: Differential Refinement of Distortion-Aware Experts for Blind Image Quality Assessment
[NO] 746/1428 | Rashomon Sets and Model Multiplicity in Federated Learning
[YES] 747/1428 | Knowledge Integration Decay in Search-Augmented Reasoning of Large Language Models
[NO] 748/1428 | A new strategy for achieving multiple continuous cooling stages in an adiabatic demagnetization refrigerator
[NO] 749/1428 | Robust Depth Super-Resolution via Adaptive Diffusion Sampling
[NO] 750/1428 | Towards Uniformity and Alignment for Multimodal Representation Learning
[NO] 751/1428 | Adaptive recurrent flow map operator learning for reaction diffusion dynamics
[NO] 752/1428 | Bridging Efficiency and Transparency: Explainable CoT Compression in Multimodal Large Reasoning Models
[NO] 753/1428 | Beyond Next-Token Alignment: Distilling Multimodal Large Language Models via Token Interactions
[NO] 754/1428 | Three-Body Barrier Dynamics of Double-Alpha Decay in Heavy Nuclei
[NO] 755/1428 | A deep MeerKAT view of associated HI absorption in radio AGNs at intermediate redshift: Role of absorber geometry and conditions of the gas
[NO] 756/1428 | Weakly Supervised Contrastive Learning for Histopathology Patch Embeddings
[NO] 757/1428 | Field-Dependent Qubit Flux Noise Simulated from Materials-Specific Disordered Exchange Interactions Between Paramagnetic Adsorbates
[NO] 758/1428 | It's not a lie if you don't get caught: simplifying reconfiguration in SMR through dirty logs
[NO] 759/1428 | Autonomous Action Runtime Management(AARM):A System Specification for Securing AI-Driven Actions at Runtime
[NO] 760/1428 | Reward-Guided Discrete Diffusion via Clean-Sample Markov Chain for Molecule and Biological Sequence Design
[NO] 761/1428 | The compositions of the HR 8799 planets reflect accretion of both solids and metal-enriched gas
[NO] 762/1428 | When Movable Antennas Meet RSMA and RIS: Robust Beamforming Design With Channel Uncertainty
[NO] 763/1428 | Ward-Takahashi Identity in Denominator Regularization at One Loop
[NO] 764/1428 | A theoretical one-dimensional model for variable-density Rayleigh-Taylor turbulence
[NO] 765/1428 | Optically locked low-noise photonic microwave oscillator
[NO] 766/1428 | Squeezing More from the Stream : Learning Representation Online for Streaming Reinforcement Learning
[NO] 767/1428 | SMES: Towards Scalable Multi-Task Recommendation via Expert Sparsity
[NO] 768/1428 | Surrogate-Guided Quantum Discovery in Black-Box Landscapes with Latent-Quadratic Interaction Embedding Transformers
[NO] 769/1428 | Unsupervised Cross-Lingual Part-of-Speech Tagging with Monolingual Corpora Only
[NO] 770/1428 | Compressing Quantum Fisher Information
[NO] 771/1428 | Impact of domain adaptation in deep learning for medical image classifications
[NO] 772/1428 | Hadronic decay branching ratio measurements of the Higgs boson at future colliders using the Holistic Approach
[NO] 773/1428 | Image Quality in the Era of Artificial Intelligence
[YES] 774/1428 | Auditing Multi-Agent LLM Reasoning Trees Outperforms Majority Vote and LLM-as-Judge
[NO] 775/1428 | Understanding Risk and Dependency in AI Chatbot Use from User Discourse
[NO] 776/1428 | In-Hospital Stroke Prediction from PPG-Derived Hemodynamic Features
[NO] 777/1428 | Priority-Aware Shapley Value
[NO] 778/1428 | A Deep Multi-Modal Method for Patient Wound Healing Assessment
[NO] 779/1428 | Impossible by Degrees: Cohomology & Bistable Visual Paradox
[NO] 780/1428 | A11y-CUA Dataset: Characterizing the Accessibility Gap in Computer Use Agents
[NO] 781/1428 | Selecting Post-Starburst Galaxies Based on Star Formation History
[NO] 782/1428 | Risk-sensitive reinforcement learning using expectiles, shortfall risk and optimized certainty equivalent risk
[NO] 783/1428 | Ions-electrons-states for the two-component Vlasov-Poisson equation
[NO] 784/1428 | Triggered: A Statistical Analysis of Environmental Influences on Extremist Groups
[NO] 785/1428 | Causality in Video Diffusers is Separable from Denoising
[NO] 786/1428 | 4RC: 4D Reconstruction via Conditional Querying Anytime and Anywhere
[NO] 787/1428 | Narrow absorption lines from intervening material in supernovae. IV. Type Ia supernovae: Na I D line strength relating to external material and intrinsic properties
[NO] 788/1428 | Orbital piezomagnetic polarizability of pure insulating altermagnets in two dimensions
[NO] 789/1428 | Features as Rewards: Scalable Supervision for Open-Ended Tasks via Interpretability
[NO] 790/1428 | AIDED: Augmenting Interior Design with Human Experience Data for Designer-AI Co-Design
[NO] 791/1428 | A lower bound for the Milnor number of vector fields
[NO] 792/1428 | Automata on Graph Alphabets
[NO] 793/1428 | Perception with Guarantees: Certified Pose Estimation via Reachability Analysis
[NO] 794/1428 | On the generalization of $g$-circulant MDS matrices
[NO] 795/1428 | SCORE: Specificity, Context Utilization, Robustness, and Relevance for Reference-Free LLM Evaluation
[NO] 796/1428 | Towards a topological view of blood pressure regulation
[NO] 797/1428 | Human-AI Synergy Supports Collective Creative Search
[NO] 798/1428 | Virtual double categories of split two-sided 2-fibrations
[NO] 799/1428 | Stability and bifurcation analysis in a mechanochemical model of pattern formation
[NO] 800/1428 | Information Theory of Action : Reconstructing Quantum Dynamics from Inference over Action Space
[NO] 801/1428 | Learning to Detect Baked Goods with Limited Supervision
[NO] 802/1428 | Corrigendum to "Higher Lorentzian polynomials,...in codimension two" [International Mathematics Research Notices, Volume 2025, Issue 13, July 2025, arXiv:2208.05653]
[NO] 803/1428 | RoboInter: A Holistic Intermediate Representation Suite Towards Robotic Manipulation
[NO] 804/1428 | ViMultiChoice: Toward a Method That Gives Explanation for Multiple-Choice Reading Comprehension in Vietnamese
[NO] 805/1428 | Physical properties of circumnuclear ionising clusters. IV. NGC 1097
[NO] 806/1428 | Non-Additive Discrepancy: Coverage Functions in a Beck-Fiala Setting
[YES] 807/1428 | Trustworthy Agentic AI Requires Deterministic Architectural Boundaries
[NO] 808/1428 | A Viscosity Framework for Dynamic Programming Principles and Applications
[NO] 809/1428 | Chromospheric Flashes in a Solar Pore: Insights from Multi-line Spectropolarimetric Diagnostics
[NO] 810/1428 | Long-Range Machine Learning of Electron Density for Twisted Bilayer Moiré Materials
[NO] 811/1428 | Efficient Learning of Sparse Representations from Interactions
[NO] 812/1428 | Unbalanced optimal transport for robust longitudinal lesion evolution with registration-aware and appearance-guided priors
[YES] 813/1428 | LLMs Encode Their Failures: Predicting Success from Pre-Generation Activations
[NO] 814/1428 | A polynomial upper bound on Reidemeister moves for each link type
[NO] 815/1428 | The chiral random walk: A quantum-inspired framework for odd diffusion
[NO] 816/1428 | Reference File Updates Following the Application of New Geometric Distortion and Walk Corrections I: Overview
[NO] 817/1428 | Liquid-gas phase transition of nuclear matter
[NO] 818/1428 | The Johnson homomorphism, embedding calculus and graph complexes
[NO] 819/1428 | Doubly Robust Machine Learning for Population Size Estimation with Missing Covariates: Application to Gaza Conflict Mortality
[NO] 820/1428 | Regularity for Doubly Nonlinear Equations in the Mixed Regime
[NO] 821/1428 | The Need for Standardized Evidence Sampling in CMMC Assessments: A Survey-Based Analysis of Assessor Practices
[NO] 822/1428 | Routing, Cascades, and User Choice for LLMs
[NO] 823/1428 | Gravitationally-induced Conversion of Local Coherence to Entanglement
[NO] 824/1428 | Logarithmically slow heat propagation in a clean Josephson-junction chain
[NO] 825/1428 | Spinel: A Post-Quantum Signature Scheme Based on SLn(Fp) Hashing
[NO] 826/1428 | Non-minimally Coupled Running Curvaton: A Unified Approach to Early-Universe Inflation and Phantom Dark Energy
[NO] 827/1428 | Conceptual Design of a Novel Highly Granular Crystal Electromagnetic Calorimeter for Future Higgs Factories
[NO] 828/1428 | Modeling bacterial flow field with regularized singularities
[YES] 829/1428 | Design and Evaluation of an Assisted Programming Interface for Behavior Trees in Robotics
[NO] 830/1428 | A Unified Assessment of the Poverty of the Stimulus Argument for Neural Language Models
[NO] 831/1428 | Learning to Discover Iterative Spectral Algorithms
[NO] 832/1428 | Separating Quantum and Classical Advice with Good Codes
[NO] 833/1428 | Error-mitigated quantum state tomography using neural networks
[NO] 834/1428 | Design of a Linear Optimal Controller for Mobile Robots Using Distance Normalization Factor
[NO] 835/1428 | Collaborative Control of Four-Level Hybrid Clamped Converter With CMV Suppression and Capacitor Voltage Fluctuation Reduction
[NO] 836/1428 | Early Fire-Warning Strategy for High Voltage Cables Based on Pyrolysis Characteristics of PE Outer Sheath at Different Temperatures
[NO] 837/1428 | Evanescent Mode Waveguide Resonator for High-Sensitive Nondestructive Testing Application
[NO] 838/1428 | Balancing Safety and Learning in IoT: A Risk-Aware Reinforcement Learning Approach
[NO] 839/1428 | Low complexity probability shaping scheme based on energy-tier template insertion
[NO] 840/1428 | Ninth IEEE RADIO International Conference, 27–30 October 2025, Mauritius [AP-S Committees &amp; Activities]_supp1-3638524.pdf
[NO] 841/1428 | Security-Based Practical Fixed-Time Adaptive Control for High-Power Nonlinear Cyber-Physical Systems
[NO] 842/1428 | A Stochastic Time-Dependent Optimization for Sustainable E-Grocery Chain with Cold-Storage Hubs and Perishability Constraints
[NO] 843/1428 | Evaluating airborne LiDAR data-Derived canopy geometry for 3D radiative transfer simulations_supp1-3662359.docx
[NO] 844/1428 | A DTC-based Snapshot ADPLL with Feedforward Fractional Spur Cancellation and Asynchronous Duty-Modulation Dithering DCO Achieving -71.6 dBc Fractional Spur in 65-nm CMOS Process
[NO] 845/1428 | Bayesian Tensor Interpolative Decomposition for IoT-based Healthcare Data Multi-way Analytics
[NO] 846/1428 | Sequential Hybrid Synthesis for Thinned Prephased Electronically Steered Phased Array Using Low-Resolution Phase Shifters and RF Switches
[NO] 847/1428 | A 4.25–8.45-GHz 67% Chirp-Fractional Bandwidth −121.5-dBc/Hz PN at 1-MHz 88-fs Jitter FMCW Synthesizer With Fractional-Bandwidth-Boosting and Phase-Noise-Cancellation Techniques
[NO] 848/1428 | Throughput Optimization of Receiver-limited Optical Wireless Communication System
[NO] 849/1428 | Applications of glutathione-capped gold nanoclusters in heterogeneous catalytic reduction of 4- nitrophenol and fluorescent sensing of mercury ions
[NO] 850/1428 | ESAChain: A Blockchain-Based Efficient Service Authentication Framework for Secure Metaverse Service Interactions
[NO] 851/1428 | Structure-Preserving EEG Augmentation via Riemannian Conditional Generative Adversarial Networks
[NO] 852/1428 | AquaticCLIP: A Vision-Language Foundation Model and Dataset for Underwater Scene Analysis_supp1-3657138.pdf
[NO] 853/1428 | Visibility of Domain Elements in the Elicitation Process Interviews: A Family of Empirical Studies
[NO] 854/1428 | Meta Guided-Graph Lightweight TimesNet for Traffic Prediction in the Internet of Vehicles
[NO] 855/1428 | Error Reconstruction Based Prescribed-Time Fault-Tolerant Control for QUAV
[NO] 856/1428 | VIS 2025 Conference Committee
[NO] 857/1428 | Dry Noncontact Microwave Breast Imaging Based on Variational ModeDecomposition
[NO] 858/1428 | User Intent Guided Query Reasoning over Knowledge Graph
[NO] 859/1428 | Underwater Acoustic Target Classification using Hybrid Temporal-Spectral Feature Learning Network
[NO] 860/1428 | A Novel Self-Activated Gate-Clamping SiC MOSFET Enhancing Short Circuit Capability With Merit of Multicell Combination
[NO] 861/1428 | A Vision-Based Framework for Safe Landing Zone Mapping of UAVs in Dynamic Environments
[NO] 862/1428 | Cryogenic Superconducting Current-Source Inverters Enabled Through
                    <i>J$_{c}$$(B)$</i>
                    Switches
[NO] 863/1428 | BiCaution: Bridging Forward&amp;#x2013;Backward Interventional and Counterfactual Causal Establishment for Event Graph-Based Abductive&amp;#x00A0;Reasoning_supp1-3656122.pdf
[NO] 864/1428 | Resource-Efficient Adaptive Tracking for Uncertain Multi-Agent Networks via Layered Event-Driven Architecture
[NO] 865/1428 | Kolmogorov Complexity Characterizes Statistical Zero Knowledge
[NO] 866/1428 | ZeroBot: Learning from Scratch in Minutes with Generative Real2Sim_supp1-3662595.mp4
[NO] 867/1428 | Stress Detection Using Heart Rate Variability and Respiratory Signals Derived From a Single-Lead ECG
[NO] 868/1428 | A Resource-Efficient Blockchain With Delegated Fault-Tolerance for Manufacturing Nodes
[NO] 869/1428 | Low-Overhead Sensing-Aided Communication with Frequency-Compensated Rainbow Beams
[NO] 870/1428 | Decentralized Optimization of Spectral Efficiency for Scalable CF-RAN with Network-Assisted Free-Duplex
[NO] 871/1428 | GNSS Positioning Based on 3D LiDAR Perception and Virtual Grid-Based Differential Correction in Urban Environments
[NO] 872/1428 | From Obstacles to Etiquette: Robot Social Navigation with VLM-Informed Path Selection_supp1-3662586.mp4
[NO] 873/1428 | Design and Optimization of MEMS Vacuum Gauge Circuits for Enhanced Leakage Suppression and Accurate Capacitance Conversion
[NO] 874/1428 | A 28-GHz Compact Phased-Array Beamformer With 21.3-dBm
                    <i>P</i>
                    <sub>SAT</sub>
                    and 5.2-dB Noise Figure in 40-nm CMOS
[NO] 875/1428 | DecentraBot: An Intent-Aware LLM-Powered Conversational Agent With What-Next Prompting for Decentraland Users_supp1-3656955.pdf
[NO] 876/1428 | A Kinesthetic Teaching Framework for Tasks With Contact Transitions and Time-Optimized Execution_supp1-3662532.mp4
[NO] 877/1428 | Development of a Life Enrichment Education Curriculum for Rural Women in India
[NO] 878/1428 | GNSS/SINS Tightly Coupled Integration Using a Rotating Antenna: Observability Analysis and Performance Evaluation
[NO] 879/1428 | Parallel variational quantum algorithms with gradient-informed restart to speed up optimization in the presence of barren plateaus
[NO] 880/1428 | TAFA: Blockchain-Based Integrating Genetic Algorithm and DQN for Secure File Allocation
[NO] 881/1428 | FORTE: Tactile Force and Slip Sensing on Compliant Fingers for Delicate Manipulation_supp1-3662618.mp4
[NO] 882/1428 | A 3D Correlated Blockage Model for Satellite Networks
[NO] 883/1428 | Optimal Receiving System Using Ground Electrode Arrays for Through-the-Earth Communication
[NO] 884/1428 | Disturbance-rejection Synchronization Control of USVs with Input Saturation and Communication Link Faults
[NO] 885/1428 | AVQACL++: Toward a Robust Framework and Benchmark for Audio-Visual Question Answering Continual Learning_supp1-3662386.pdf
[NO] 886/1428 | Design and Control of a Novel Hybrid Typed Outdoor Mobile Robot Platform: MobED_supp1-3662632.mp4
[NO] 887/1428 | A Memristor-Based Neural Network Circuit with Classical Conditioning and Fear Generalization
[NO] 888/1428 | Geometry-Aware Conditional GAN for Sub-THz Channel Generation and Modeling in IIoT
[NO] 889/1428 | Partial Discharge Anomaly Detection and Severity Assessment for HV Bushings Based on Self-Supervised Adversarial Encoder Network and Gaussian Mixture Model
[NO] 890/1428 | Robust IRS Beamforming for IoT-Enabled LEO Satellite Systems via Channel Decoupling under Ephemeris-Aided Statistical Modeling
[NO] 891/1428 | Autonomous Sensorless Control Strategy for FP-PMSM Considering Operation Uncertainties with DCEE
[NO] 892/1428 | Multi-Resolution Cross-Attention Transformer for Spatiotemporal Prediction of Permafrost Deformation in InSAR Time Series_supp1-3662345.docx
[NO] 893/1428 | Multi-Agent Reinforcement Learning Based on Hybrid Action Representation for UAV Swarms’ Integrated Communication and Control
[NO] 894/1428 | 3D-Printed Volume Adjustable Socket for Above-Knee Prostheses_supp1-3662558.mp4
[NO] 895/1428 | High-Temperature Performance of SiC NPN X-Ray Detector
[NO] 896/1428 | Preface
[NO] 897/1428 | A Compact Broadband Transition From Ground Coplanar Waveguide to Folded SIW
[NO] 898/1428 | Improving Semiconductor Defect Classification in SEM Images via Domain Adaptation
[NO] 899/1428 | LiveIndex: An Index-Driven Hybrid-Storage Blockchain Framework for Cross-Domain Data Governance
[NO] 900/1428 | Adaptive Shared Cascade Navigation Control of Magnetic Microrobots in Unstructured Dynamic Environments
[NO] 901/1428 | Enabling Population-Level Parallelism in Tree-Based Genetic Programming for GPU Acceleration
[NO] 902/1428 | A Cross-Domain Milk Freshness Detection Method Based on Transfer Learning
[NO] 903/1428 | Beyond Single-Scale: A Multi-Scale Approach to Semantic-Enhanced Crop Disease Recognition through Image-Text Fusion
[NO] 904/1428 | An Ultra-Fast AOT Buck Converter Using Capacitor Current Sensing Technique
[NO] 905/1428 | Single-Stage Lesion Identification in $^{68}$Ga-DOTATATE PET Images
[NO] 906/1428 | Observer-aided Adaptive Consensus Control of Cyber-physical Multi-Agent Systems with Hybrid Attacked Topology
[NO] 907/1428 | RRAM: A Reconfigurable Request-Rate-Aware Multi-DNN Accelerator Based on FPGA_supp1-3662511.pdf
[NO] 908/1428 | PHENet: Towards Robust Fog-Resilient Change Detection in Remote Sensing Imagery with a Physics-Guided Height-Enhanced Network
[NO] 909/1428 | Magnetic Electrochemical Nano-biosensors for Detection of Neuron-specific Enolase_supp1-3660638.docx
[NO] 910/1428 | FLARE: Agile Flights for Quadrotor Cable-Suspended Payload System via Reinforcement Learning_supp1-3662598.mp4
[NO] 911/1428 | A Simple Compliant Gripper That Reconfigures Between Sensing and Grasping Modes_supp2-3662656.mp4
[NO] 912/1428 | Application of the Born Approximation for Modeling EM Effects of Moving Materials in COMSOL Multiphysics
[NO] 913/1428 | A 20-Gb/s/pin 0.42-pJ/b Single-Ended Receiver with Ping-Pong Self-Referencing Technique
[NO] 914/1428 | Synthesis of SmFeAsO Polycrystalline Bulks with Improved Purity by High-Energy Milling
[NO] 915/1428 | Dynamic Convolutional Neural Network for Digital Predistortion in Multistate PA Modeling
[NO] 916/1428 | Shifting Maximum Efficiency Point Tracking and Battery Model to the Primary-Side Control of SS-Compensated Wireless Charging Systems
[NO] 917/1428 | Robust Physics-Informed Penalty-Free Machine Learning Method for Solving 3-D Maxwell’s Equations in the Frequency Domain
[NO] 918/1428 | Cascaded Optical Reconfigurable Intelligent Reflecting Surfaces for Multi-Hop Optical Wireless Communications
[NO] 919/1428 | A Method for Converting Satellite-observed Thermal Infrared Radiance to Nadir Radiance: A Case Study in Desert Regions
[NO] 920/1428 | A Synchronized Orthogonal Gait Phase Estimation Method Based on the Inter-Thigh Angle
[NO] 921/1428 | Rate-Distortion Analysis for Sampled Correlated Cyclostationary Gaussian Processes
[NO] 922/1428 | Understanding Over-Squashing in Dynamic Graphs
[NO] 923/1428 | MemAscend: System Memory Optimization for SSD-Offloaded LLM Fine-Tuning
[NO] 924/1428 | Adaptive Symbol and Power Loading for OFDM-based Underwater Wireless Optical Semantic Communications
[NO] 925/1428 | Microwave surface resistance of Tl-1223 films in a dc magnetic field
[NO] 926/1428 | UAV-Enabled Covert Communication With Movable Antenna Against Cooperative Detection
[NO] 927/1428 | Integration of Multiscale Simulations and AI Models for the Design of High-Performance Dielectric Polymers
[NO] 928/1428 | EED: Embodied Environment Description through Robotic Visual Exploration_supp1-3662652.mp4
[NO] 929/1428 | Corrections to “Scheduling and Aggregation Design for Asynchronous Federated Learning Over Wireless Networks”
[NO] 930/1428 | Distributed Real-Time Optimization for UAV-Based MIMO Communication System with Dynamic Cooperative Performance Adaptation
[YES] 931/1428 | DaVinci: Performance-Driven Analog Routing via Multi-modality Guidance Prediction
[NO] 932/1428 | Dynamic Performance of High-Temperature Superconducting Multi-Layer Spiral Cable for Airborne Transient Electromagnetic Transmitting Coil
[NO] 933/1428 | BHGraphAdapter: Parameter-Efficient VLMs Tuning Meets Hyper-Graph Learning
[NO] 934/1428 | DAMON: Difference-Aware Medical Visual Question Answering via Multimodal Large Language Model
[NO] 935/1428 | Joint Dynamic Computation Offloading and Resource Allocation in SCMA-Aided Space-Air-Ground Integrated Network_supp1-3662334.pdf
[NO] 936/1428 | Route Optimization Reimagined: Multi-Modal Large Language Models for Next-Gen Vehicle Routing
[NO] 937/1428 | Omni-LIVO: Robust RGB-Colored Multi-Camera Visual-Inertial-LiDAR Odometry via Photometric Migration and ESIKF Fusion_supp1-3662590.mp4
[NO] 938/1428 | Deep Learning&amp;#x2013;Based Correction of Decadal Predictions of the PDO and TAG Indices_supp1-3662257.pdf
[NO] 939/1428 | Fatigue Fragility Curves for Overhead Conductors Subjected to Varying Amplitude at Suspension Clamps
[NO] 940/1428 | Soft Error Analysis in NSFET and FSFET: From Device Physics to Circuit and Memory Impact
[NO] 941/1428 | Efficient Phase-Compensated Multi-Resonant Control for Inverter Applications
[NO] 942/1428 | Hierarchical Optimization Framework for Robust PCB Defect Detection via Adaptive YOLOv12 Architecture
[NO] 943/1428 | HiMRAG: Hierarchical Multimodal Retrieval-Augmented Generation for Robot Task Planning_supp1-3662582.mp4
[NO] 944/1428 | Inception-ResNet 1D CNN with Subject’s Physical Information for Reliable Real-Time FMCW Radar Fall Detection
[NO] 945/1428 | PCAP-SL: Pedestrian Crossing Action Prediction Based on Sequential Learning
[NO] 946/1428 | Usability Evaluation of Interaction Modalities for 3D Object Manipulation in Immersive Virtual Reality Systems
[NO] 947/1428 | Electro-Thermal Modeling of Quench-Back and CLIQ Protection for Multi-Strand Superconducting Magnets
[NO] 948/1428 | Mitigating Interturn Parasitic Losses in Underwater WPT Systems via Compensation Relocation and Electric Field Shaping
[NO] 949/1428 | Digital Demodulation of a Space Vector Modulated Three-Phase Pulse-Width Signal
[NO] 950/1428 | Integrating Hybrid Supercapacitors with Batteries: Unravelling the Mechanism in Zn-I/MnO Systems_supp1-3662625.pdf
[YES] 951/1428 | A Large-Scale Empirical Evaluation of LLMs for Automated Self-Admitted Technical Debt Repayment
[NO] 952/1428 | Pinching-Antenna-based Communications: Spectral Efficiency Analysis and Deployment Strategies
[NO] 953/1428 | : Autonomous Aerial Robot Navigation In Darkness Using Passive Computation_supp1-3653388.pdf
[NO] 954/1428 | Magnetic toroidal dipole resonances for efficient THz generation in dielectric metasurfaces
[NO] 955/1428 | Edge-Assisted Federated Learning for Large Language Models in IoT Sensor Systems
[NO] 956/1428 | Joint Semantics Embedding and Self-supervised Denoising Contrastive Learning for Multi-Function Radar Work Modes Recognition
[NO] 957/1428 | 2025 International Conference on Networking, Sensing and Control (ICNSC)
[NO] 958/1428 | Through-Silicon Via Coupled Inductors for Vertical Power Delivery
[NO] 959/1428 | A 60 V Chopper Amplifier Achieving 0.12 μV Ripple and 2 μV V
                    <sub>OS</sub>
                    over Full Temperature with Calibration
[NO] 960/1428 | Ferroelectric AlScN Field-Plated Vertical
                    <i>β</i>
                    -Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    SBD With Improved On-Resistance and Breakdown Voltage
[NO] 961/1428 | MP3: Mixed-Precision Pipeline Parallelism Framework for Heterogeneous Edge Devices
[NO] 962/1428 | Simplification of Robotic System Model Analysis by Petri Net Meta-Model Property Transfer
[YES] 963/1428 | [Front Cover]
[NO] 964/1428 | Contact-aware Path Planning for Autonomous Neuroendovascular Navigation_supp1-3662633.mp4
[NO] 965/1428 | Exploring the Use of Social Robots for Depression Screening Among Older Adults: An Expanded Feasibility Study
[NO] 966/1428 | High-
                    <i>κ</i>
                    Capping Layer Effects on Carrier Polarity and Reliability of SWNT Field Effect Transistors With Spin-on-Glass Buffer Layer
[NO] 967/1428 | Weight Puncturing for Reed-Muller Codes
[NO] 968/1428 | FreNTS: Neural Texture Synthesis in Frequency Domain
[NO] 969/1428 | Challenges and solutions on the road towards smart lighting with projected LED arrays_supp1-3661510.mp4
[NO] 970/1428 | GPIO-Based Predictive Control for Nonlinear Fully Actuated Systems Under Lumped Disturbances
[NO] 971/1428 | Federated Learning for 6G Security: A Survey on Threats, Solutions and Research Directions
[NO] 972/1428 | SPC-NeRF: Spatial Predictive Compression for Voxel-Based Radiance Field
[NO] 973/1428 | Resilient Semantic Pseudo-Text Embedding for Zero-Shot Video Moment Retrieval
[NO] 974/1428 | Network-Assisted Full-Duplex RIS-aided Cell-Free Massive MIMO for Integrated Sensing and Communication
[NO] 975/1428 | Implementation of a Digital Continuous Improvement Structure in a Biopharmaceutical Plant
[NO] 976/1428 | High Dynamic Range Imaging via Spatial-Frequency Interaction
[NO] 977/1428 | Enhanced Complex-valued CSK-OOFDM System for Visible Light Communication
[NO] 978/1428 | Towards Scalable Multi-Chip Wireless Networks With Near-Field Time Reversal
[NO] 979/1428 | Online Adaptive Slimmable Network for Source-free Unsupervised Domain Adaptation
[NO] 980/1428 | LiDAR Desnowing via Adaptive Snow-Candidate Generation and Confidence-based Label Correction
[NO] 981/1428 | A Lightweight Frequency-Selection-based Progressive Patch Transformer Network for Single Image Super-Resolution
[NO] 982/1428 | Complex-Valued Source-Free Domain Adaptation for PolSAR Image Classification
[NO] 983/1428 | MambaFlow: A Novel and Flow-Guided State Space Model for Scene Flow Estimation
[NO] 984/1428 | Multi-Mode Topology Reconfiguration for Five-Phase Open-End Winding PMSM Drive Under Inverter Short Circuit Fault
[NO] 985/1428 | GHD Net: Overlapping Green Tomato Instance Segmentation Under Facility Environments
[NO] 986/1428 | Dual-Band Dual-Polarized Shared-Aperture Metalens Empowered by a Rapid, Accurate Multi-Frequency Phase-Matching Algorithm
[NO] 987/1428 | CADiS: Causality-Driven Transformer for Anomaly Detection and Root Cause Diagnosis in Industrial Internet of Things
[NO] 988/1428 | DL-Enhanced Channel Parameter Prediction Scheme based on Adaptive Meta Mask R-CNN Model
[NO] 989/1428 | Revisiting Subspace Disentangling for Light Field Spatial Super-Resolution_supp1-3661516.pdf
[NO] 990/1428 | FORTE: Tactile Force and Slip Sensing on Compliant Fingers for Delicate Manipulation_supp4-3662618.mp4
[NO] 991/1428 | Cancellation Integration Scheme for the Evaluation of Strongly Singular Terms on Curved Triangles in Boundary Integral Equations
[NO] 992/1428 | DAR-SPUF: A Dynamically Adjustable Radiation-hardening Method for SRAM-Based Physical Unclonable Functions
[NO] 993/1428 | A Temperature Self-Compensated Dual-Channel SPR Fiber Sensor With Ion-Imprinted Polymers for Simultaneous Detection of Cu²⁺ and Ni²⁺
[NO] 994/1428 | Performance Superiority of Dual-pair Cartwheel/Pendulum over Bender-Type in Four-Satellite Gravity Constellations: An Equitable Evaluation
[NO] 995/1428 | A Coupled Cellular Automata-Deep Learning-XGBoost for Land Use and Land Cover Change Prediction in Yancheng
[NO] 996/1428 | Virtual-to-Real Motion Adaptation Using Genetic Algorithm for Multi-DOF Disaster Response Robots
[NO] 997/1428 | Toward Adaptive Tracking and Communication via an Airborne Maneuverable Bi-Static ISAC System
