[2026-04-03 22:34:19] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-02
正在获取论文...
[arXiv] 2026-04-02 | Sensitivity analysis for stopping criteria with application to organ transplantations
[NO] 953/1842 | Wireless Human Activity Recognition: A Survey of Recent Advances and a Novel Zero-Shot LLM-Based Inference Framework
[NO] 954/1842 | PunctVR: VR Training for Image-Guided Needle Puncture with a Scaffolded, Self-Directed Framework
[NO] 955/1842 | Heat Flow Characteristics of Segmented Laminar Plasma Torch Influenced by Interelectrode Structure Based on Numerical Simulation
[NO] 956/1842 | A Total Variation Regularizer with Partially Known Support for Pulse-Echo Speed-of-Sound Imaging
[NO] 957/1842 | UGFusion: Uncertainty-Guided LiDAR-Camera Fusion for 3-D object detection
[NO] 958/1842 | Equilibrium Contrastive Learning for Imbalanced Image Classification
[NO] 959/1842 | Impact of Attention Mechanisms and Focal Loss Tuning on RetinaNet Performance for Crop-Weed Detection: A Comparative Study with Anchor-Free Detectors
[NO] 960/1842 | Multilingual Deepfake Speech Dataset for Robust and Generalizable Detection
[NO] 961/1842 | AoI-Aware Privacy-Preserving Task Allocation in Vehicular Crowdsensing
[NO] 962/1842 | Event-Triggered Fault Tolerant Control for Unmanned Marine Vehicle System with Actuator Fault and Disturbance
[NO] 963/1842 | A Simplified Mathematical Guide to Cyber Assets, Value, and Risk for K–12 Students
[NO] 964/1842 | “Reflecting on Mark Weiser's Vision in 2026”
[NO] 965/1842 | Integrating a Degradation-Driven Methodology in Board Level Vibration Testing
[NO] 966/1842 | Dependency-Aware Microservice Deployment Optimization via Neural Heuristic Learning
[NO] 967/1842 | Unified Object Detector with Dynamic Switch Mechanism Based on Deep Learning Advances: A Paradigm-Aware Architecture for Adaptive Detection
[NO] 968/1842 | Excluded Volume Effect in GI/G/s Queues
[NO] 969/1842 | Semantic Similarity-Based AI RMF and NIST SP 800-53 Integrated Crosswalk Structured Process
[NO] 970/1842 | FD-SCU: Frequency Decomposition-based Spectrum Collaborative Upsampling for Point Cloud Color Attribute_supp1-3678090.pdf
[NO] 971/1842 | Real-Time Implementation and Experimental Validation of a Novel Vector Control Strategy for a PV-Fed Reduced-Structure Inverter–Driven Induction Motor Using dSPACE 1104
[NO] 972/1842 | Implicit Aspect-Based Sentiment Analysis: A Systematic Review
[NO] 973/1842 | ASRU 2025 Preface
[NO] 974/1842 | Comparison on Power Cycling Test Consistency Across Technical Routes: Core Stress-Relative Parameters Alignment as the Key to Equivalence
[NO] 975/1842 | Copyright Page
[NO] 976/1842 | Immersive VR for the Assessment of Spatial Skills in Adolescents: Performance, Gender Effects, and Links to Computational Thinking_supp1-3679088.pdf
[NO] 977/1842 | Terrain-Inspired Bumpiness Prediction for Off-Road Autonomous Driving
[NO] 978/1842 | Edge Extension for Missing Anatomical Features: A Mask-Guided Spatial Diffusion Framework for Ultrasound Scoliosis Image Outpainting
[NO] 979/1842 | IEEE Transactions on Terahertz Science and Technology Publication Information
[YES] 980/1842 | Leveraging AI Tools in Engineering Education: Promise and Pitfalls of AI in Software Development
[NO] 981/1842 | IEEE Industry Applications Society Information
[NO] 982/1842 | Table of Contents
[NO] 983/1842 | Semi-Supervised Regression via Hierarchical Confidence Screening and Neighbor-Guided Pseudo-Label Calibration
[NO] 984/1842 | A 230-GHz Wideband High-Efficiency Beam-Steering 1 × 2 Phased-Array Signal Source in 40-nm CMOS
[NO] 985/1842 | Witnessing 25 Years of Weiser's Legacy in Pervasive Computing
[NO] 986/1842 | Full
                    <i>V</i>
                    -band High-Efficiency Gap Waveguide-Based Single-Layer Corporate-Feed Slot Array Antenna
[NO] 987/1842 | Double Dynamic Event-Triggered Leader-Following Consensus for Nonlinear Multiagent Systems Under Directed Graphs
[NO] 988/1842 | Flat UP: A Converged RAN-Core Architecture for the 6G User Plane
[NO] 989/1842 | Masthead
[NO] 990/1842 | GL-MambaLite: A Lightweight Global-Local Feature Enhanced Network for Building Extraction
[NO] 991/1842 | Uniformity of Frequency Support Between Grid-Following and Grid-Forming Converters
[NO] 992/1842 | Overdriving Visual Depth Perception via Sound Modulation in VR_supp1-3679918.pdf
[NO] 993/1842 | Analysis of Coupling Mechanism and Research on Control Strategy for Rotorcraft Aerial Manipulators
[NO] 994/1842 | Interoperability Assessment Framework for IEC 61850 Multivendor Digital Substations: Challenges and Recommendations
[NO] 995/1842 | Safe School Water Initiative, A Comprehensive Study on Water Quality Testing Among Schools
[NO] 996/1842 | Advanced Encryption Techniques for Enhancing Data Security and Privacy in Cloud Environments
[NO] 997/1842 | Time-Series Analysis and Forecasting of Film Genres Emerging Globally
[NO] 998/1842 | AsymDrive: Fingertip-Free Force Illusions Induced by Asymmetric Vibrations on Dorsal-Palmar Tendons
[NO] 999/1842 | Record Replay Repeat: Improving Interactivity Between Non-Player Characters with Additive Record and Replay
[NO] 1000/1842 | ProtoCLAP – Prototypical Contrastive Language-Audio Pretraining
[NO] 1001/1842 | Voice Factor Control Using FIR-Based Fast Neural Vocoder for Speech Generation Applications
[NO] 1002/1842 | A Study of the Scale Invariant Signal to Distortion Ratio in Speech Separation with Noisy References
                    <sup>*</sup>
[NO] 1003/1842 | Multiple Distributed Wardens with Amplify-and-Forward Fusing Strategy in Covert Communications
[NO] 1004/1842 | Neuromorphic Adaptive Precision RISC-V Processor with Real-Time Precision Scaling and Neuronal State Management
[YES] 1005/1842 | GPU Kernel-Level Characterization and Optimization of Transformer Models: From Baseline to LoRA Fine-Tuning
[NO] 1006/1842 | Solving the Number Partitioning Problem with Hardware-Accelerated Probabilistic Computing
[NO] 1007/1842 | Linear Order Graph Sparsification for MCMC and Mean-Field Annealing
[NO] 1008/1842 | Multilingual Dataset Integration Strategies for Robust Audio Deepfake Detection: A SAFE Challenge System
[NO] 1009/1842 | ZipVoice: Fast and High-Quality Zero-Shot Text-to-Speech with Flow Matching
[NO] 1010/1842 | Full-Duplex-Bench: A Benchmark to Evaluate Full-Duplex Spoken Dialogue Models on Turn-taking Capabilities
[NO] 1011/1842 | Investigating Subjective and Physiological Effects of Color Temperature and Visual Thermal Cues in Virtual Reality
[YES] 1012/1842 | hls4ml: A Flexible, Open-Source Platform for Deep Learning Acceleration on Reconfigurable Hardware
[NO] 1013/1842 | An estimation methodology for car wheel forces in fully general ride and handling driving conditions
[NO] 1014/1842 | SLICE: An Efficient and Tuning-Free Keyframe Sampling Framework for Long-Form Video Understanding
[NO] 1015/1842 | Harmonizing Text-Guided Video Inpainting with Optical Flow Diffusion
[NO] 1016/1842 | Single-Source Cascaded Multilevel Inverter with Boosting and Cascade through Inductors for Magnetic Coupling Wireless Power Transfer Systems
[NO] 1017/1842 | A Hybrid Soft Asynchronous Actor-critic Framework for UAV-assisted IoV Task Offloading with Vehicle Trajectory Prediction
[NO] 1018/1842 | Title Page iii
[NO] 1019/1842 | IEEE VR 2026 International Program Supercommittee and International Program Committee
[NO] 1020/1842 | IEEE VR 2026 Paper Reviewers
[NO] 1021/1842 | Introduction to the 7th Workshop on Education for High Performance Computing (EduHiPC 2025)
[NO] 1022/1842 | A Novel Reconstruction Strategy for Terrestrial Water Storage During the GRACE(-FO) Gap Using Geographically Weighted-based Method_supp1-3671815.docx
[NO] 1023/1842 | Robotic Bin Packing via Hierarchical Reinforcement Learning_supp1-3678655.mp4
[NO] 1024/1842 | Unifying Model and Layer Fusion for Speech Foundation Models
[NO] 1025/1842 | A Neural Model for Contextual Biasing Score Learning and Filtering
[NO] 1026/1842 | Real-space finite-element methods and algorithms for DFT calculations in the exascale era using projector augmented wave method
[NO] 1027/1842 | On the Adversarial Robustness of Efficient KANs
[NO] 1028/1842 | Mobility and Deadline-Aware RL-based Task Offloading Scheme in FC-IoT Networks
[NO] 1029/1842 | Architectural Design and Performance Analysis of a CUDA-Accelerated Framework for Collective Flocking Simulation
[YES] 1030/1842 | Accelerating Triton convolutions by exposing Shared Memory to the Programmer
[NO] 1031/1842 | CASPER: A Large Scale Spontaneous Speech Dataset
[NO] 1032/1842 | Mitigating VR Motion Sickness Through Multi-sensory Simulation of Wind Sensation (MSSWS): A Vestibular-Visual Synchronization Approach
[NO] 1033/1842 | A Reconfigurable SPR-based D-shaped Dual-Sensing Photonic Crystal Fiber Biosensor Using Ge
                    <sub>2</sub>
                    Sb
                    <sub>2</sub>
                    Te
                    <sub>5</sub>
                    Phase Change Material for Cancer Cell Detection
[NO] 1034/1842 | Hybrid Generative Adversarial Network Assisted Oversampling for Credit Card Fraud Detection_supp1-3680136.docx
[NO] 1035/1842 | K-12 Education: Explaining Cyber Value at Risk Using Electrical K-Map and Truth Table
[NO] 1036/1842 | Reconstructing Resources for Breakthrough Innovation: The Role of Divestiture–Acquisition Configurations Under Windows of Opportunity
[NO] 1037/1842 | Multiobjective Optimization for Uncertain Integrated Energy Systems: Aggregating EVs in Demand Response via Photovoltaic-Energy Storage
[NO] 1038/1842 | Latent Danger Zone: Distilling Unified Attention for Cross-Architecture Black-box Attacks
[NO] 1039/1842 | NASTaR: A NovaSAR-Based Automated Ship Target Recognition Dataset_supp1-3679941.pdf
[NO] 1040/1842 | Robust Design Under Uncertainty in Quantum Error Mitigation
[NO] 1041/1842 | Robotic Non-Contact Three-Dimensional Micromanipulation by Acoustohydrodynamic Effects
[NO] 1042/1842 | A Wideband True Time Delay Microstrip Line Five-Port Coupler With Double Ring Star Link
[NO] 1043/1842 | Share Your Preprint Research with the World!
[NO] 1044/1842 | A Contrastive Free Energy-Enhanced Transformer Framework for Efficient Reinforcement Learning
[NO] 1045/1842 | Novel Single-Phase Converter with Reduced Common Mode EMI
[NO] 1046/1842 | MHD Flows in the Lower Expansion Chamber of a Generic Outboard Blanket Segment for DEMO
[NO] 1047/1842 | VRN-Back: an Immersive Music Rhythm Game for Working Memory Training in Virtual Reality
[NO] 1048/1842 | Global Communications Newsletter
[NO] 1049/1842 | Terminology Fragmentation of Infrastructure Calibration in Radio-Based Indoor Positioning: A Systematic Review
[NO] 1050/1842 | Evaluating Japanese Dialect Robustness Across Speech and Text-based Large Language Models
[NO] 1051/1842 | Deep Audio Zooming: Creating a Sound Barrier With Microphone Array Processing
[NO] 1052/1842 | Predictive ASR and Turn-taking Prediction at Once: Towards More Responsive Spoken Dialog System
[NO] 1053/1842 | EMO-Reasoning: Benchmarking Emotional Reasoning Capabilities in Spoken Dialogue Systems
[NO] 1054/1842 | Beam Split Aided Multi-User Near-Field Covert Communication under Wardens Collusion
[NO] 1055/1842 | Investigating Generative Workflows for Immersive Prototyping: A Study on Scene- and Object-Level Creation in VR
[NO] 1056/1842 | Software Vulnerabilities as Cognitive Blindspots; Assessing the Suitability of a Dual Processing Theory of Decision Making for Secure Coding
[YES] 1057/1842 | Challenges in Testing Large Language Model Based Software: A Faceted Taxonomy
[NO] 1058/1842 | Demonstration of an F-Band Heterogeneously Integrated Multichip Downconverter
[NO] 1059/1842 | The AudioMOS Challenge 2025
[NO] 1060/1842 | Neural Network Aided Information Filtering for Model Uncertainty
[NO] 1061/1842 | MicroSDF: Microfacet-Driven Hybrid Neural SDFs for Mixed-Reflectance Surface Reconstruction_supp1-3678096.pdf
[NO] 1062/1842 | Oxygen Vacancy-Mediated Switching in InO-Based Heterostructure Memristors: Effects of Interface Position and Material Composition_supp1-3676029.docx
[NO] 1063/1842 | Three-Mode MHz Wireless Power Transfer: Inductive, Capacitive, and Hybrid, with A Unified Coupling Architecture
[YES] 1064/1842 | Leveraging Key Source Code Metrics for Predicting Software Vulnerabilities with Machine Learning
[NO] 1065/1842 | The Impact of Multisensory Information Processing on Route Change Decisions: An Exploration of Visual and Auditory Effects
[NO] 1066/1842 | A MADRL Driven Optimization Framework for Grid Node Inertia and Grid-Forming Converter Damping Characteristics in Microgrids
[NO] 1067/1842 | In silico inhibitor analysis of ran binding protein 9 (RanBPM) in non-small cell lung cancer (NSCLC)
[NO] 1068/1842 | Spectral-Spatial Enhanced Local Contrast Strategy for Hyperspectral Small Air Target Detection
[NO] 1069/1842 | A Miniaturized, Self-Packaged Dual-Band Bandpass Filter Based on SIW Mixed-Mode Cavities
[NO] 1070/1842 | PRFCM: Poisson-Specific Residual-Driven Fuzzy $C$-Means Clustering for Image Segmentation
[NO] 1071/1842 | A Hybrid Long Short-Term Memory and Kalman Filter Model for MIMU Inertial Data Fusion
[NO] 1072/1842 | Improving the Retrieval Accuracy of Spaceborne GNSS-R Ocean Surface Altimetry Based on Novel Attention Mechanism Model
[NO] 1073/1842 | A Comparative Assessment of Power Converter Control Strategies: From Linear Control to Machine Learning Approaches
[NO] 1074/1842 | Leading Through Partnership: Translating Strategic Vision Into Operational Excellence
[NO] 1075/1842 | Clinical Metadata Guided Limited-Angle CT Image Reconstruction_supp1-3677586.pdf
[NO] 1076/1842 | DyCITO+: Scalable Deep Reinforcement Learning for Generating Class Integration Test Orders of Java Programs
[NO] 1077/1842 | Table of Contents
[NO] 1078/1842 | A Look Back
[NO] 1079/1842 | CFP: Quantum-Enabled AI for Future Communications
[NO] 1080/1842 | High Color Rendering Index Solution-Processed White OLEDs Based on Novel Exciplexes_supp1-3678242.docx
[NO] 1081/1842 | Carbon Footprint Reduction for Product Returns: Impacts of Return Freight Insurance_supp1-3680225.pdf
[NO] 1082/1842 | Generative AI-Enabled Transmission and Computing Integration for Cloud-Edge Collaborative IoT
[NO] 1083/1842 | Joint Tailoring of Electromagnetic Radiated Emission and Susceptibility Limits for Coexistence of Multiple Radio-Frequency Devices
[NO] 1084/1842 | Generative AI-Native Edge Sensors: Collaborative Data Reconstruction via Lightweight Federated Learning
[NO] 1085/1842 | RW-Net: Enhancing Few-Shot Point Cloud Classification With a Wavelet Transform Projection-Based Network
[NO] 1086/1842 | Image Captioning via Compact Bidirectional Architecture
[NO] 1087/1842 | PureRx: A Non-Fungible Token-Based Prescription Management for Efficient and Secure Healthcare System
[NO] 1088/1842 | Hybrid Late-Fusion Approach for Intelligent Fault Identification under Cross-Load Operating Conditions
[NO] 1089/1842 | Improved row hammer and passing gate effect properties with impurity reduction of TiN single metal word-line in modern DRAM
[NO] 1090/1842 | A Unified Trapezoidal Current Mode for Symmetric Three-Level Buck-Boost Converters Without Mode Switching
[NO] 1091/1842 | An Analytical Model of the SiC MOSFET Body Diode Over a Wide Range of Operating Conditions
[NO] 1092/1842 | GhostBackdoor: A Resistant Backdoor Attack
[NO] 1093/1842 | Robust Transducer-Reflector Distance Control in Acoustic Levitation
[NO] 1094/1842 | Title Page i
[NO] 1095/1842 | An Embedded Resolver-to-Digital Conversion Method Using Resonant Excitation and Quality-Driven Autotuning
[NO] 1096/1842 | CON-FC: A Channel Occupancy Notification-Based Fair Coexistence Method for NR-U and WiFi
[NO] 1097/1842 | On the Difficulty of Token-Level Modeling of Dysfluency and Fluency Shaping Artifacts
[NO] 1098/1842 | CLAIR
                    <sub>A</sub>
                    : Leveraging Large Language Models to Judge Audio Captions
[NO] 1099/1842 | SLM-S2ST: A multimodal language model for direct speech-to-speech translation
[NO] 1100/1842 | Joint Multimodal Contrastive Learning for Robust Spoken Term Detection and Keyword Spotting
[NO] 1101/1842 | Finite-element methods for noncollinear magnetism and spin-orbit coupling in real-space pseudopotential density functional theory
[NO] 1102/1842 | Bottleneck Transformer-Based Approach for Improved Automatic STOI Score Prediction
[NO] 1103/1842 | Communication-Centric UALink and NVLink Comparison for Large Scale AI Training
[NO] 1104/1842 | Finger Vein Spoof GANs: Are they really useful to enhance PAD training?
[NO] 1105/1842 | CLIP Feature Selection Mechanism via Sparse Autoencoder for Generalized Deepfake Detection
[NO] 1106/1842 | A Self-Refining Framework for Enhancing ASR Using TTS-Synthesized Data
[NO] 1107/1842 | R2H: Rowhammer attack in presence of randomized LLC
[NO] 1108/1842 | A correlation-permutation approach for speech-music encoders model merging
[NO] 1109/1842 | Detection of Out-of-Distribution Power Quality Disturbance using Dual-Channel Gramian Angular Field with Enhanced Mahalanobis Distance
[NO] 1110/1842 | USCNet: Transformer-Based Multimodal Fusion with Segmentation Guidance for Urolithiasis Classification
[NO] 1111/1842 | Low-cost Testing of 2.4GHz Receiver on Standard Digital ATE: Practical Implementation
[NO] 1112/1842 | Design of a Scalable Modular Bias Voltage Supply with Reduced Noise for Multi-Channel SiPM Readout
[NO] 1113/1842 | Scheduling Schemes for Mission-Critical IoT Healthcare Applications: A Systematic Review
[NO] 1114/1842 | Research on Fault Diagnosis Method Based on ERPM and the Sparse Dictionary Learning with Label Constrain Associated Fisher Criterion
[NO] 1115/1842 | Machine Learning to Secure Wheels: A Survey of Misbehaviour Detection for the Next Generation of Connected and Autonomous Vehicles
[NO] 1116/1842 | Use Case Matters: Comparing the User Experience and Task Performance across Tasks for Embodied Interaction in VR
[NO] 1117/1842 | Graph Neural Network-Based Hybrid Precoding for Intelligent Integrated mmWave MIMO Systems
[NO] 1118/1842 | Risk-Aware AIoT-Based Fault Detection for Power Line Monitoring in Consumer Energy Systems
[NO] 1119/1842 | Mirror Descent Safe Policy Optimization for Reinforcement Learning Agents_supp1-3674995.pdf
[NO] 1120/1842 | Cover 4
[NO] 1121/1842 | Toward Sustainable 6G: A Holistic View of Trade-Offs and Enablers
[NO] 1122/1842 | A Novel Measurement Method for GIS Mechanical Fault Diagnosis via Physics-Informed Inversion of Feature Vectors and Attention-Enhanced Shallow Neural Networks
[NO] 1123/1842 | Point Cloud Perception in Human-to-Robot Handover based on Semantic Segmentation and Shape Completion
[YES] 1124/1842 | Review of Superconducting Qubit Devices and Their Large-Scale Integration
[NO] 1125/1842 | Professors' Impact on Cybersecurity Students' Learning
[NO] 1126/1842 | NeuroViT-Net: A Study on Performance Improvement of a Transformer-Based Brain Tumor Classification Model
[NO] 1127/1842 | IEEE VR 2026 Sponsors
[NO] 1128/1842 | Table of Contents
[NO] 1129/1842 | Attribute-Guided Semantic Alignment With Pre-Trained Foundation Models for Vehicle Detection_supp1-3678244.pdf
[NO] 1130/1842 | Integrated Multi-Layer Security Framework for Water Distribution Digital Twins
[NO] 1131/1842 | Remote Sensing–Based Multi-Scale Analysis of Lake Cooling Drivers on the Mid-Elevation Yunnan Plateau
[NO] 1132/1842 | Relaxation-Free Pulse Dynamics in Self-Starting Fiber Lasers Enabled by a Hybrid All-Fiber Saturable Absorber
[NO] 1133/1842 | Efficient Generation of Mid-infrared Single Fundamental Solitons in ZBLAN Fibers Using a 2 μm Few-Cycle All-Fiber Pumping Mechanism
[NO] 1134/1842 | Author Index
[NO] 1135/1842 | Int3DNet: Scene-Motion Cross Attention Network for 3D Intention Prediction in Mixed Reality_supp1-3679899.mp4
[NO] 1136/1842 | In-Situ Suppression of Thermal-Magnetic Coupling Noise in Atomic Sensors
[NO] 1137/1842 | Neural Architecture Search based Global-local Vision Mamba for Palm-Vein Recognition
[NO] 1138/1842 | REF-VC: Robust, Expressive and Fast Zero-Shot Voice Conversion with Diffusion Transformers
[NO] 1139/1842 | Group Relative Policy Optimization for Speech Recognition
[NO] 1140/1842 | Efficient Scaling for LLM-based ASR
[NO] 1141/1842 | Image Patch-Question feature fusion model for HPC based Visual Question and Answering
[NO] 1142/1842 | Disentangling Moiré and Texture: Towards Robust Display-Recapture Detection for Document Images
[NO] 1143/1842 | Benchmarking WebAssembly on Edge Devices
[NO] 1144/1842 | A Robust Course Recommendation Model with Adversarial Training of Factorization Machines
[NO] 1145/1842 | Personalized Dance Synthesis Based on Physical and Cognitive Intensities
[NO] 1146/1842 | Seamless Dual Mode Control Strategy for Wide Soft Switching Range in Consumer-Centric Dual Active Bridge Converters
[NO] 1147/1842 | How Can State Space Models Enhance Machine Learning on Graphs?
[NO] 1148/1842 | Amyloid-Beta and RAGE Interactions in Alzheimer's Disease
[NO] 1149/1842 | Predicting Student Dropout: Evaluating Genetic Algorithm Optimization of Support Vector Machine Under Various Normalization Techniques
[NO] 1150/1842 | Machine Learning for Edge-Centric Indoor Visible Light Positioning: A Comprehensive Survey and Future Directions
[NO] 1151/1842 | TechRxiv
[NO] 1152/1842 | Optimized Non-Uniform Pilot Pattern for OFDM Sensing
[NO] 1153/1842 | SemiPoint: Generalizing Cross-Scene Point Cloud Video Streaming With Semi-Supervised Learning and Residual-Aware Adaptation
[NO] 1154/1842 | Dynamic Optimization Framework for Intelligent Maintenance of Offshore Wind Turbines with Competing Failure Modes
[NO] 1155/1842 | Society Members Named to IEEE Fellow Grade
[NO] 1156/1842 | Table of Contents
[NO] 1157/1842 | Optimal Dual-Polarized Signal Fusion for Remote Sensing of Space Targets with Passive Radar
[NO] 1158/1842 | GNSS Jamming and Spoofing Threats in UAV Navigation: Countermeasure Status and Challenges
[NO] 1159/1842 | Facilitating Non-Verbal Communication for People with Intellectual Disability through Intent Interpretation in Image-Based Interaction
[NO] 1160/1842 | Efficient Densest Flow Queries in Transaction Flow Networks
[NO] 1161/1842 | A Multimodal Deep Reinforcement Learning Framework for Dynamic Pricing Optimisation in E-Commerce
[NO] 1162/1842 | Dynamic Data Scheduling and Precoding for Heterogeneous GEO-LEO Satellite Communication Networks
[NO] 1163/1842 | Multimodal Zero-Shot Industrial Defect Segmentation via Visual-Textual-Geometry Fusion
[NO] 1164/1842 | Interactive CAD Reverse Modeling via Variational Curve Approximation_supp1-3679473.pdf
[NO] 1165/1842 | SPLOCIS – Extending SPLOMs to a Scatterplot Cube with Interactable Shadows for Immersive Analysis in Virtual Reality
[NO] 1166/1842 | Design and Validation of a Multimodal Immersive Virtual Environment for Cognitive Intervention in Patients with Alzheimer’s Disease
[NO] 1167/1842 | PointShopVR: Immersive Authoring of Large Point Clouds in Virtual Reality
[NO] 1168/1842 | Vision-Text Interactive Hybrid Granularity Proxy Representation Learning for AI-Generated Image Detection
[NO] 1169/1842 | Density–Hierarchical Clustering with PRI Transform for Robust Radar Signal Deinterleaving
[YES] 1170/1842 | Towards an Agentic AI Design across Edge and Cloud
[YES] 1171/1842 | PARISCV: A RISC-V Profiler for Application-Specific Hardware Optimization
[NO] 1172/1842 | Llasa+: Free Lunch for Accelerated and Streaming Llama-Based Speech Synthesis
[NO] 1173/1842 | Lightweight Prompt Biasing for Contextualized End-to-End ASR Systems
[NO] 1174/1842 | Robust Training of Singing Voice Synthesis Using Prior and Posterior Uncertainty
[NO] 1175/1842 | LCS-CTC: Leveraging Soft Alignments to Enhance Phonetic Transcription Robustness
[NO] 1176/1842 | ‘Impact of Consumer Analytics and AI on Inventory Management in UAE with reference to UN SDG 12: Sustainable Consumption and Production patterns" and SDG 2 Zero Hunger in UAE"
[NO] 1177/1842 | Design Method of Pixelated Electron Gun Based on CNN Model
[NO] 1178/1842 | Monodisperse CoFe2O4 Nanocubes: Influence of Particle Size on the Magnetic Properties
[NO] 1179/1842 | Homogenization of the Eddy Current Problem in Laminated Open-Type Cores Accounting for Perpendicular Flux
[NO] 1180/1842 | Quantitative Magneto-Acousto-Electric Computed Tomography (qMAE-CT): Imaging of Tissue Conductivity Distributions With High-Resolution
[NO] 1181/1842 | IEEE Transactions on Industrial Electronics Information for Authors
[NO] 1182/1842 | Modality-Mix Learning: Promoting Multimodal Learning Through Multilabel Objective
[NO] 1183/1842 | Table of Contents
[NO] 1184/1842 | Distribution-Aware Infrared Small Target Detection Based on Multi-Scale Convolutional Decoder and Hypergraph Attention
[NO] 1185/1842 | Unveiling the Multifaceted Landscape of Biohacking: Insights from a Machine Learning-Driven Systematic Review
[NO] 1186/1842 | MilleniaGuard: An Event-Driven Edge-AI and AIGC-Based IoT System for Ancient Mural Monitoring and Restoration
[NO] 1187/1842 | Heterogeneous Hypergraph Multi-Agent Learning for UAV Collaboration in Disaster Scenarios
[NO] 1188/1842 | DAC-MR: Data Augmentation Consistency Based Meta-Regularization for Meta-Learning
[NO] 1189/1842 | Sparse Grassmannian Design for Noncoherent Codes via Schubert Cell Decomposition
[NO] 1190/1842 | 6G-Bench: An Open Benchmark for Semantic Communication and Network-Level Reasoning with Foundation Models in AI-Native 6G Networks
[NO] 1191/1842 | Semi-amortized Encoder-Decoder Network for Beamforming over Sparse Large-Scale MIMO Channels
[NO] 1192/1842 | Fine-Tuning Lightweight LLM for Enhanced Network Understanding: A Rephrase and Contrast Approach
[NO] 1193/1842 | A 54.1–387.5-
                    <i>μ</i>
                    W 65-nm Multimodal SoC Integrating a Custom CISC Core for Edge IoT Applications
[NO] 1194/1842 | Towards AI-Mediated Bidirectional Communication Support for Cross-Neurotype Interactions
[NO] 1195/1842 | Optically-Transparent mmWave Metasurface Reflector with a Honeycomb-Meshed Ground Plane
[NO] 1196/1842 | Enhancing Seasonal Arctic Sea Ice Prediction for Late Summer by Transfer Learning of PIOMAS and CryoSat-2-Observed Sea Ice Thickness Data
[NO] 1197/1842 | Estimating the accuracy of NmF2 at low latitudes from COSMIC2, ionosonde and a neural network-based model by three-corner-hat method
[NO] 1198/1842 | Heavy-Duty Gas Turbine Compressor Health Monitoring by Improved Closed-Form Continuous-Time Neural Network
[NO] 1199/1842 | Acoustic Signal-Based Smart Attendance System for Preventing Fraudulent Attendees
[NO] 1200/1842 | An 8-bit 4.8-GS/s Four-Channel Time-Interleaved SAR ADC With Ping-Pong Comparators Using Global-Dither-Based Timing-Skew Calibration and Bit-Distribution-Based Offset Calibration
[NO] 1201/1842 | Training-Free Ultra Small Model for Universal Sparse Reconstruction in Compressed Sensing
[NO] 1202/1842 | DSP-Based Capacitor Voltage Estimation for Flying Capacitor Multilevel Inverters
[NO] 1203/1842 | Deep Spectral Feature Learning With Evolutionary Band Selection for Environmental Monitoring of Plastic Debris
[NO] 1204/1842 | Analysis of acoustic vibrational modes in Germanium quantum dot in Silicon systems for light-harvesting applications
[NO] 1205/1842 | Decoupled Measurement Method of Windage and Bearing Losses in High-Speed Electric Machines for Heavy-Duty Automotive Applications
[NO] 1206/1842 | Scalable machine learning-based approaches for energy saving in densely deployed Open RAN
[NO] 1207/1842 | Author Index
[NO] 1208/1842 | scMSAC Assigns Single-Cell Multi-Omics Data At the Multi-Modal Cluster Via Subgraph Attention Autoencoder
[NO] 1209/1842 | Introduction to the 1st International Workshop on RISC-V for HPC (RISCV-HPC)
[NO] 1210/1842 | Evaluating the Viability of Additive Models to Predict Task Completion Time for 3D Interactions in Augmented Reality
[NO] 1211/1842 | A Unified Hand and Gesture Tracking via Offloading Framework for Object-mediated Interaction in Wearable AR
[NO] 1212/1842 | Evaluation of Visual Feedback Techniques for Mid-Air Teleportation in an Immersive Environment
[NO] 1213/1842 | Protecting Personal Space in Social Virtual Worlds: The Impact of Proximity-Control Features on Adoption Intention
[NO] 1214/1842 | Unifying Diarization, Separation, and ASR with Multi-Speaker Encoder
[NO] 1215/1842 | Efficient Deployment of Large Speech Recognition Models on GPU
[YES] 1216/1842 | Hardware-Software Co-Design of Post-Quantum FALCON Digital Signature Scheme with RISC-V
[NO] 1217/1842 | Performance Evaluation of AI Inference on the Tenstorrent Wormhole RISC-V Accelerator
[NO] 1218/1842 | Integrating Research into High Performance Computing Education via Particle-in-Cell Simulations
[NO] 1219/1842 | FlexCTC: GPU-powered CTC Beam Decoding With Advanced Contextual Abilities
[NO] 1220/1842 | AdaBit-TasNet: Speech Separation with Inference Adaptable Precision
[NO] 1221/1842 | Non-Autoregressive Multi-Speaker ASR with Decoupled Speaker Change Detection
[NO] 1222/1842 | Speech in-context learning of paralinguistic tasks
[NO] 1223/1842 | Towards Efficient Speech-Text Jointly Decoding within One Speech Language Model
[NO] 1224/1842 | Multi-Distillation from Speech and Music Representation Models
[NO] 1225/1842 | Fault Diagnosis of Multi-loop Pneumatic Control Valve Systems Based on 1DCNN-BiLSTM Model
[NO] 1226/1842 | Contact Resistance Measurements in Two-Layer Spiral-Coated-Conductor Cable
[NO] 1227/1842 | SuperLink 150 m Demo and Large-Scale Perspective
