[2026-06-13 23:04:29] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-12
正在获取论文...
[ACM] 2026-6-12 | On the Node-Averaged Complexity of Locally Checkable Problems on Trees
[NO] 557/1000 | IEEE Transactions on Emerging Topics in Computing Publication Information
[NO] 558/1000 | Spatially-Constrained Unsupervised Anomaly Detection
[NO] 559/1000 | Churnnet: An Intelligent Machine Learning Framework for Sustainable Customer Retention in Telecommunication Systems
[NO] 560/1000 | Modification of the XGBoost Machine Learning Algorithm for Sales Forecasting
[NO] 561/1000 | Aegis-ASD: A Forensic Honeypot Framework for Impersonation Detection using ArcFace
[NO] 562/1000 | Digital Transformation of Higher Education: Comparative Analysis of International EdTech Implementation Models and Their Economic Effectiveness
[NO] 563/1000 | Time-Series Classification Using AI Models for Digital Twin Applications
[NO] 564/1000 | Integrating Digital Technologies and Sustainability in Logistics Monitoring Systems: A Systematic Review of Subsidized Commodity Distribution
[NO] 565/1000 | Smart Technology, Law, and Sustainable Development: Building Integrated Regulatory Frameworks for the Digital Era
[NO] 566/1000 | Research Noise Immunity of Message Reception in Radio Engineering Systems
[NO] 567/1000 | Deep Learning Enhanced Detection of Multiple Sclerosis
[NO] 568/1000 | AI-Driven Anomaly Detection for Industrial Control Systems: A Comparative Study
[NO] 569/1000 | Online Detection of Droplet Transfer Modes in CuCrZr Alloy WAAM Based on CNN-LSTM
[NO] 570/1000 | AI-Integrated Digital Twin Framework for Quality and Performance Management in Sustainable Buildings
[NO] 571/1000 | Water-Content-Aware Machine Learning for Screening Multiphysics Tissue Property Tables
[NO] 572/1000 | Design Features and Practical Implementation of Class-AB Differential Stages in High-Speed Gallium Arsenide Operational Amplifiers
[NO] 573/1000 | RIS-Assisted UAV Networks with Energy Harvesting and Data Collection
[NO] 574/1000 | A Systematic Review of AI in Leadership, Sales, and Management: Techniques, Use Cases, and Future Directions
[NO] 575/1000 | Intelligent Scheduling of Sensor Nodes Using Machine Learning Techniques in Wireless Sensor Networks
[NO] 576/1000 | Local Minima of Error Function in Neural Networks
[NO] 577/1000 | GridHarmony: Hybrid Metaheuristic-Driven Secondary Distributed Control for Stable and Optimal Power Sharing in DC Microgrids
[NO] 578/1000 | Optimized FPGA Architecture for DCT-based Harmonic Wavelet Transform with Reduced Latency and Power
[NO] 579/1000 | AI-Driven Smart EVM using GAN and Reinforcement Learning
[NO] 580/1000 | Does Anonymity Love the Chat Groups?
[YES] 581/1000 | SecRL-Prune: Structured Reinforcement Learning–Based Pruning of CodeLLMs for Preserving Adversarial Code Mutation
[NO] 582/1000 | AID: Lightweight Disassembly via Learning-Superset-Learning-Recursive Algorithm
[NO] 583/1000 | AR-FedKD: A Robust Federated Knowledge Distillation Framework with Performance-Aware Adaptive Differential Privacy
[NO] 584/1000 | Global and Local Attention Fusion Transformer for Robust Human Pose Estimation
[NO] 585/1000 | Fine-Tuning Effects of Low-Cost Object Detection Models for SNS Plush Toy Detection
[NO] 586/1000 | Adaptive Risk Classification in Microservice Architectures: A GMM-Based Approach with Historical Data Normalization
[NO] 587/1000 | A Survey of Threats and Defense Mechanisms in the Control Plane of Polymorphic Smart Network
[NO] 588/1000 | Ambient Material-Embodied Sensing: A Theoretical Framework for Interaction Design
[NO] 589/1000 | The Ambivalent Experience of Eye Contact for People with Visual Impairments: Mechanisms and Design Challenges
[NO] 590/1000 | Beyond Font: Dyslexic Writers Navigating the Dense Visual Landscape of LaTeX
[NO] 591/1000 | Advancing Arabic Reverse Dictionary Systems: A Transformer-Based Approach with Novel Dataset Construction
[YES] 592/1000 | Can Language Models Go Beyond Coding? Assessing the Capability of Language Models to Build Real-World Systems
[NO] 593/1000 | calBERT: Securing Routers Serving IoT Networks using Contrastive Augmented Learning
[NO] 594/1000 | Room-temperature Ferromagnetism and Magnetocaloric effect in Intermetallic compound TbNi
                    <sub>1.5</sub>
                    Fe
                    <sub>0.5</sub>
                    : Bulk magnetization and Neutron diffraction studies
[NO] 595/1000 | CURA: Size Isn’t All You Need – A Compact Underlying Architecture for On-Device Intelligence
[NO] 596/1000 | Causal Prior–Driven Visual Grounding for Remote Sensing
[NO] 597/1000 | Full-Trajectory Reconstruction for UHR-SAR Large-Scene Imaging via Joint Residual Motion Errors and Dominant Target Positions Estimation
[NO] 598/1000 | Evaluating Image Forgery Detection and Propaganda in Manipulated Images of the Russian Trolls Campaign_supp1-3702065.pdf
[NO] 599/1000 | Dual-Resonant Electromagnetic Reshaping for Wireless Charging of Drones
[NO] 600/1000 | Design and Evaluation of a Dual-HSA Compliant Wrist Module for Prosthetic Applications_supp1-3691678.mp4
[NO] 601/1000 | Impulsive-Noise-Aware EP Detector for Massive MIMO under a Bernoulli-Gaussian Model
[NO] 602/1000 | Calendar
[NO] 603/1000 | Photonic Spiking Graph Neural Network for Energy-Efficient Structured Data Processing
[NO] 604/1000 | Taming Generative Synthetic Data for X-ray Prohibited Item Detection
[NO] 605/1000 | NDPool: Correctness-Preserving Shared Execution for Efficient LLM Inference on CXL-NDP Systems
[NO] 606/1000 | ICICV 2026 Committees
[NO] 607/1000 | Table of Contents
[NO] 608/1000 | Front Cover
[NO] 609/1000 | A Transfer Learning-Based Framework for Real-Time Driver Distraction Detection on Edge Devices
[NO] 610/1000 | A Resonant DC-Link Converter with Wide-Range Soft-Switching and Enhanced Voltage Utilization for Wireless Power Transfer Applications
[NO] 611/1000 | Thermal and Electrical Stress Differences of SiC MOSFET Under Active/Reactive Loads in AC Power Cycling Test
[NO] 612/1000 | Semantic Optimization of Digital Service Delay and Response Speed in Edge Computing for 6G Networks
[NO] 613/1000 | FZKP: Alleviating Dataflow Complexity to Exploit Fine-Grained Parallelism for ZKP Acceleration
[NO] 614/1000 | Practical Multi-Model Dynamic Matrix Control for Power Plant Superheated Steam Temperature
[NO] 615/1000 | Masthead
[NO] 616/1000 | SAS: Semantic-aware Sampling for Generative Dataset Distillation
[NO] 617/1000 | Multispecies Response-ability in More-than-human Design Practice: Fabulation with Tides
[NO] 618/1000 | A Novel Healthcare Records Privacy-Preserving and Dynamic Error-Free Communication Medium based on Blockchain enabled IoT Technology
[NO] 619/1000 | Deep Learning-Based Protein Structure Pattern Recognition for Intelligent Cervical Cancer Diagnosisanalytics
[NO] 620/1000 | Productivity Improvement Analysis Using FlexSim Simulation: A Case Study at Electronics Company
[NO] 621/1000 | TeaRAG: A Token-Efficient Agentic Retrieval-Augmented Generation Framework
[NO] 622/1000 | Metaverse-Enabled Collaborative Platforms for Palm Oil Industry Stakeholders: A Review of Interdisciplinary Innovation and Challenges
[NO] 623/1000 | Potato Late Blight Disease Segmentation Based on Salient Object Detection
[NO] 624/1000 | Measuring Perceived Pedagogical Intelligence as a Predictor of ROI in AI-Enabled Distance Learning: A UTAUT Outcome Model
[NO] 625/1000 | The Influence of Artificial Intelligence on Management Effectiveness Through Transformational Leaders' Decision-Making
[NO] 626/1000 | NMPC-Based Optimal Momentum Distribution for Post-Capture Detumbling Control of Cable-Driven Space Robot
[NO] 627/1000 | Quantum Key Distribution Communication Channel with Unmanned Vehicles Under Various Atmosferic Conditions
[NO] 628/1000 | AMAC: An Adaptive Multimodal Framework for Dysarthric Speech Recognition and Interactive Rehabilitation
[NO] 629/1000 | High Power Supply and Control Management Technology Based on SiC Devices
[NO] 630/1000 | Hybrid User Profiling with TF-IDF and Cosine Similarity for Personalized Academic Book Recommendation
[NO] 631/1000 | Application of the Modified Prony Method to the Problem of Identification of a Noisy Signal
[NO] 632/1000 | A Real-Time Fire Detection System in Automobile Tunnels Based on the YOLO Architecture
[NO] 633/1000 | AIF-MFF: Adaptive Inference Framework for Multi-Focus Image Fusion Via Dynamic Receptive Field Modulation and Cross-Scale Contrastive Alignment
[NO] 634/1000 | The Impact of Influencer Marketing on Product Perception and Its Effect on Purchase Intention in Indonesia's Beauty Industry
[NO] 635/1000 | Comparative Analysis of Russian-Developed CAD Software in Engineering Education
[NO] 636/1000 | Forecasting Power Consumption By Extracting Features From A Time Series
[NO] 637/1000 | Lung Disease Detection with Hybrid CNN Models using only Chest X-Ray Images on the Basis of Deep Learning
[NO] 638/1000 | Smart Gloves for Sign Language Translation and Gesture Bot Control
[NO] 639/1000 | Optimal Orientation Design of Heat Flux Under Power Constraint During the Transfer Orbit
[NO] 640/1000 | AFSA: Autonomous Few-Shot Prototype Adaptation for Open-Set Deepfake Detection
[NO] 641/1000 | Experience in Implementing the SimInTech Dynamic Simulation Environment in Electrical Power Engineering Disciplines
[NO] 642/1000 | Fixed-Time Lag Formation Control for Second-Order Nonlinear Multiagent Systems With External Disturbances
[NO] 643/1000 | Laser Communication System with Adaptive Optics Implementation
[NO] 644/1000 | Puppet Prototyping: Exploring Puppetry as a Design Method for Relational Robots
[NO] 645/1000 | Making Sense of the Felt Experience of Controlling Autonomous Systems
[NO] 646/1000 | ElderPlay: Supporting Age-Inclusive Gameplay for Older Adults via Real-Time Gesture-to-Controller Translation
[NO] 647/1000 | MIRA: A Human-AI Co-Creation Agent for Self-reflection through Squiggle Game
[NO] 648/1000 | Compass vs Railway Tracks: Unpacking User Mental Models for Communicating Long-Horizon Work to Humans vs. AI
[NO] 649/1000 | Designing Character-Bound In-Public Companions: Interactional Insights from ACG Practices
[NO] 650/1000 | Who Owns the Robot Matters: How Robot Ownership Shapes Belonging and Social Roles in Human Groups
[NO] 651/1000 | DietCoach: Design, Development and Evaluation of a Dietitian Decision Support System with Patient Loyalty Card Data
[NO] 652/1000 | Co-designing Haptics for Deaf and Hard-of-Hearing Music Education with a Reconfigurable Prototyping System
[NO] 653/1000 | Designing with Tensions: Older Adults' Emotional Support-Seeking Under System-Level Constraints in Conversational AI
[NO] 654/1000 | Designing Worker-Led Documentation Practices: How Unionized Cleaners Articulate Harm Beyond Reporting
[NO] 655/1000 | Stepping Into the Black Box: Opening Up LLMs to Public Exploration Through Discursive Design
[NO] 656/1000 | Green Economy as a Strategic Direction to Support Economic and Ecological Transformation in MENA Region
[NO] 657/1000 | Acoustic Beam Structure Impact on Quasicollinear Acousto-Optic Cell Transmission Functions
[YES] 658/1000 | A Large Language Model Framework for Automatic PLC Control Logic Generation from Natural Language
[NO] 659/1000 | Modern Challenges of Integrating Artificial Intelligence into Educational Processes
[NO] 660/1000 | Parameter Optimization and Multi-Scheme Comparison of a Lunar Lifting Platform
[NO] 661/1000 | Development of the Hardware and Software Complex "Assistant Speech Therapist"
[NO] 662/1000 | Inverse design photonic couplers with machine learning tools
[NO] 663/1000 | Mapping Halal Integrity Risks in Halal Fashion Supply Chains: A Risk-Based Resilience Framework
[NO] 664/1000 | Virtual Reality (VR) Integration in Teaching English to Technical University Students
[NO] 665/1000 | Gated Cross-Attention Fusion: An Interpretable Multi-Modal Framework for Intelligent Healthcare Diagnostics
[NO] 666/1000 | EdgeFishCam: An Edge AI-based Fish Detection Through YOLO and Image Enhancement Techniques
[NO] 667/1000 | Voice-based Early Parkinson’s Disease Prediction using Multi-Modal Wavelet–Deep Learning Fusion
[NO] 668/1000 | Digital Transformation of Engineering Education as a Driver of the Regional Innovation System
[NO] 669/1000 | Deep Learning Framework for Predictive Smart Tourism Management with Multi-Stakeholder Decision Support
[NO] 670/1000 | Development of an Intelligent Robotic System for Automatic Assembly of Composite Structures within the Framework of Industry 4.0
[NO] 671/1000 | The Role of Augmented Reality in Fostering E-Buying Decision of Fashion Products of Gen Z in Vietnam
[NO] 672/1000 | Negation-Aware Test-Time Adaptation for Vision-Language Models
[NO] 673/1000 | Active Magnetic Bearing PID Implicit-Model Optimization Approach Based on a Biobjective UCB-Controlled Heuristic Algorithm
[NO] 674/1000 | ST-HMR: A Robust Collision Detection Framework for Collaborative Robots Based on Dual-Domain Interaction and Manifold Regularization
[NO] 675/1000 | SP-FSOD: Semantic-Visual Purification Guided Few-shot Object Detection on Remote Sensing Images
[NO] 676/1000 | Knowledge-Grounded Nut Inspection and Report Generation via Two-Stage Retrieval-Augmented Language Models
[NO] 677/1000 | Symbolic Formal Analysis of Quantum-Resistant Messaging Protocols Based on the Split KEM Mechanism
[NO] 678/1000 | Unnoticeable Community Deception Based on Comprehensive Modularity
[NO] 679/1000 | Edge-VisForeCast: Energy-Efficient Predictive Autoscaling for Containerized Crowd Analytics on Constrained IoT Edge Clusters
[NO] 680/1000 | A Multifunctional Grid Connected Electric Vehicle Charging Station with Photovoltaic System Support
[NO] 681/1000 | NormalMVS: Learning Efficient Geometry-Aware Multiview Stereo with Surface Normal Priors
[NO] 682/1000 | An Electromagnetic-Thermal Collaborative Design Framework for Patch Antennas
[NO] 683/1000 | Expanding Intra-modal and Compressing Inter-modal Embedding Space for Incomplete Multimodal Emotion Recognition
[NO] 684/1000 | Federated Unlearning Activated Backdoor Attacks
[NO] 685/1000 | Differential Random Fault Attack of Ultra-Lightweight Cipher ANU for Industrial Internet
[NO] 686/1000 | IEEE Standard for Local and Metropolitan Area Networks--Timing and Synchronization for Time-Sensitive Applications Amendment 2: Support for the IEEE Std 802.3 Clause 4 Media Access Control (MAC) operating in half-duplex
[NO] 687/1000 | PurifyFD: Mining Latent Domains for Trustworthy Single-Domain Fault Diagnosis Under Open-World Shifts
[NO] 688/1000 | Myths and Ironies of AI-Assisted Design
[NO] 689/1000 | Composing Informational Atmospheres: A Research-Through-Design Method Using Reduced Perceptual Cues
[NO] 690/1000 | Speculating the Impacts of Mediated Social Touch Technology
[NO] 691/1000 | Bridging Trans Community Knowledge with Verified Information: Design Considerations for Patient-Surgeon Digital Communication Platforms for Gender-Affirming Surgery
[NO] 692/1000 | "I Don’t Need to Know Everything—Just Tell Me What Happened": Perceived Quality and Reader Expectations for LLM-Generated News Event Digests
[NO] 693/1000 | Analyzing Adoption Factors for Humanoid Robot Communication Features in Industry Contexts
[NO] 694/1000 | Situating the Development of Conversational Artificial Intelligence in the Social and Structural Contexts of People with Visual Impairments
[NO] 695/1000 | Explainability-Driven Image Anonymization in Latent Space (EDIALS)
[NO] 696/1000 | AUTOMal: An LLM-Based Automated Feature Engineering Framework for Efficient Malware Detection at the Edge
[NO] 697/1000 | Tangible Co-Ideation: Designing Embodied Prompting for Creative Thinking with Large Language Models
[NO] 698/1000 | Exploring a Multimodal Chatbot as a Facilitator in Therapeutic Art Activity
[NO] 699/1000 | Supporting Speculative Design Thinking through User Journey Mapping Tools
[NO] 700/1000 | Development and Application of a Fuzzy Logic Toolbox for Teaching the Basics of Fuzzy System Design
[NO] 701/1000 | Development of a Prototype Ka-Band Aircraft Telemetry Transmission System
[NO] 702/1000 | Energy Efficiency Research in Variable Stiffness Actuator-Based Exoskeletons
[NO] 703/1000 | Comprehensive Review of Phishing Website Detection using Machine Learning and Deep Learning
[NO] 704/1000 | Comparative Analysis of Neural Network Architectures for Pulmonary Pathology Classification on X-Rays
[NO] 705/1000 | An Overview of Low-Rank Structures in the Training and Adaptation of Large Models: From Implicit Low-Dimensionality to Efficient Training and Fine-Tuning [Special Issue on the Mathematics of Deep Learning]
[NO] 706/1000 | An Intelligent and Scalable Machine Learning Approach for Food Recipe Rating Systems
[NO] 707/1000 | A Training-Free Approach to Long-Tail Object Detection for Autonomous Driving
[NO] 708/1000 | An Accuracy Compensation Method for Lightweight Pose Estimation
[YES] 709/1000 | AI Agent Case Study Generating High-Level Test Cases from Requirements
[NO] 710/1000 | EH-ZigBeeNet: An Energy-Harvesting ZigBee IoT Network Dataset to Develop Intelligent Energy-Aware Routing Protocols
[NO] 711/1000 | Dynamic Function Configuration and its Management in Serverless Computing: A Taxonomy and Future Directions
[NO] 712/1000 | Designing Attribution: Technical Disclosure in AI-Mediated Art
[NO] 713/1000 | The Power of "Being Seen": Exploring the Practice of Livestreaming Study Processes Among ADHD Users
[NO] 714/1000 | From Shuffle Cards to Puppets: Reimagining the Jungle Book as a Tangible Narrative
[NO] 715/1000 | Metaphors as Scaffolds: Spatial, Relational, and Embodied Thinking for Youth Usable Privacy Design
[NO] 716/1000 | Designing Transparent AI-Mediated Language Support for Intergenerational Family Communication
[NO] 717/1000 | The Unkillable Deathbot
[NO] 718/1000 | The Effects of AI-Based Product Recommendations and Targeted Ads on Impulse Buying Behavior on E-Commerce Platforms in Vietnam
[NO] 719/1000 | ASIoU: A Domain-Informed Frequency-Weighted IoU Loss for RF Spectrogram Drone Detection
[NO] 720/1000 | Fostering Sustainable Engineering Education Through e-Learning: Cognitive and Motivational Drivers of Conceptual Change
[NO] 721/1000 | Methodology for Automated Assessment of the Mentor Efficiency in an Educational Organization
[NO] 722/1000 | Research on Global Velocity Planning for Lunar Rover via Energy Consumption Optimization
[NO] 723/1000 | Meclib – A Tool for Efficient Authoring of Advanced Digital Questions in Moodle
[NO] 724/1000 | Design of In-orbit Communication Link-Setup Method for Multi-Module and Multi-Target Lunar Relay Missions
[NO] 725/1000 | Integrated Accident Risk Analysis: KDE-based Hotspot Detection and XGBoost Severity Classification for Safer Urban Mobility
[NO] 726/1000 | Cognitive Data Guardian: An Intelligent AI Framework for Secure and Automated Privacy Protection
[NO] 727/1000 | Debris Reentry Time Prediction with Information Learning from History Data
[NO] 728/1000 | Scalable Deep Learning Models for Automated Fish Species Classification in Real-World Aquatic Scenarios
[NO] 729/1000 | Elastic-Mode Conversion for Acousto-Optic Applications in Paratellurite
[NO] 730/1000 | A Tiered Patient-Centric Emergency Medical Access System using Dynamic QR-Codes
[NO] 731/1000 | A Privacy-Preserving Federated Averaging Framework with Homomorphic Encryption and Hybrid Convolutional Transformer for Secure Distributed Utility Data Analytics
[NO] 732/1000 | Design of Adaptive Multi-Band Frequency Reconfigurable Antenna for Next Generation Wireless Networks
[NO] 733/1000 | Federated, Real-Time AI Analytics for Vaccine Effectiveness and Variant Surveillance Across Distributed Healthcare Systems
[NO] 734/1000 | AI-Powered Crop Recommendation System using FT-Transformer for Precision Agriculture
[NO] 735/1000 | Enhancing Public Welfare Access Through an Intelligent AI-based Digital Assistant
[NO] 736/1000 | Bridging Accuracy and Interpretability in Deep Learning for Pancreatic Tumor Segmentation
[NO] 737/1000 | Reconfigurable Action Sequence Planning for Modular Robots Based on Contraction Hierarchy Graph Search Algorithm
[NO] 738/1000 | Adaptive PID Gain Tuning for Quadrotor Hover Control via Deep Reinforcement Learning
[NO] 739/1000 | Postgraduate Students' Initial Publication Background Impact on the Probability PhD Degree Within the Planned Time Obtaining
[NO] 740/1000 | Mechanical Performance Optimization of Eco-Friendly Rice Straw Nanocellulose Bioplastic
[NO] 741/1000 | Integration of Artificial Intelligence and Total Quality Management in Manufacturing Projects for Industry 5.0
[NO] 742/1000 | Enhancing Agricultural Productivity Through Deep Learning-Based Disease Detection
[NO] 743/1000 | Smart Parking Occupancy Prediction using Bidirectional LSTM and Real-Time Dashboard Visualization
[NO] 744/1000 | The Role of Artificial Intelligence in Enhancing Leadership, Decision-Making, and Sales Performance: Evidence from Jordanian Service Organizations
[NO] 745/1000 | Interpretable Neural Radiomics for Brain Tumor Mapping and Progression Analysis
[NO] 746/1000 | A Robust Hybrid Ensemble for Tri-Axial Vibration-Based Running Speed Estimation With Leakage-Free Stacking
[NO] 747/1000 | Brain Stroke Detection from Neuroimaging Data using XGBoost Algorithm
[NO] 748/1000 | Context-Aware and Confidence-Guided Recognition of Ancient Tamil Stone Inscriptions using Multimodal Graph Learning
[NO] 749/1000 | Cultural Heritage and Resilience in Immigrant Communities: Exploring Interactive Technology Opportunities for Mutual Acculturation
[NO] 750/1000 | Designing User-Defined Gestures for Tangible Interaction with Cubes for Smart Home Control
[NO] 751/1000 | Practicing Community-Led Design Justice: Rethinking Participation with At-Risk Communities
[NO] 752/1000 | How Designers Envision Value-Oriented AI Concepts with Generative AI
[NO] 753/1000 | (Re)thinking Sexual and Reproductive Health Education with Bloom’s Taxonomy
[NO] 754/1000 | Towards Real-World Validity in Generative AI Benchmarks: Understanding and Designing Domain-Centered Evaluations for Journalism Practitioners
[NO] 755/1000 | SARS: Selected Appropriate Representation for Sub-tasks in Human-Object Interaction Detection
[NO] 756/1000 | KnitFuzz: LLM-guided Kernel Fuzzing via Context-Sensitive Socket System Calls
[NO] 757/1000 | ICCSSE 2025 Content Announcement Page
[NO] 758/1000 | Quantitative Time-Resolved Imaging of Surface Acoustic Waves by Dual-Comb Interferometry with a Fiber-Based Sagnac Interferometer_supp3-3701200.mp4
[NO] 759/1000 | A Universal Framework for Remote Sensing Image Color Correction via Style Transfer_supp1-3702755.pdf
[NO] 760/1000 | Design Criteria for Torque Enhancement in Modular Permanent Magnet Machines with Two Wound Teeth per Module for EV Applications
[NO] 761/1000 | Sem-NaVAE: Semantically-Guided Outdoor Mapless Navigation via Generative Trajectory Priors
[NO] 762/1000 | Multi-Solution Inverse Kinematics for Robotic Manipulators via Permutation-Invariant Set Prediction
[NO] 763/1000 | Phase-Adaptive Sequential Convex Optimization for Array Synthesis with Bilateral Mask Constraints
[NO] 764/1000 | SPS CEP
[NO] 765/1000 | Neighbors help you best: Geographical Adjacent Perception for Remote Sensing Long-Tailed Semantic Segmentation
[NO] 766/1000 | Multidimensional Analysis of the Diagnostic Performance of Machine Learning Models in Disease Classification: Implications for Clinical Decision Support Systems
[NO] 767/1000 | Competitive Memory Editing: A Nash Bargaining Approach to MEMIT Interference Prediction
[NO] 768/1000 | Towards Online Collaborative Teaching of Software Engineering for Safety Critical Systems
[YES] 769/1000 | Directed or Undirected: Investigating Fuzzing Strategies in a CI/CD Setup — RCR Report
[NO] 770/1000 | Meta-Spectroscopy of the Rayleigh Wave Scattering on Topological Structures of a Surface Roughness
[NO] 771/1000 | A Novel Methodology Design to Predict Heart Disease with Risk Factor Evaluation using Hybrid Deep Learning
[NO] 772/1000 | A Collaborative Mission Planning Method for Mars Sampling
[NO] 773/1000 | Research the Error Probability of Decoding Quasicyclic Codes in Error Burst Correction
[NO] 774/1000 | Application of Engineering Parameter Measurement Technology in Mars Exploration
[NO] 775/1000 | An Intelligent Secure Financial Document Classification Framework Using CNN and OCR-Extracted Text
[NO] 776/1000 | An Intelligent Crop Selection using Machine Learning for Precision Agriculture
[NO] 777/1000 | The Role of Artificial Intelligence and Technology in Enhancing the Position of Middle States in the International System
[NO] 778/1000 | Mars Exploration Sensor Measurement System Design and Implementation
[NO] 779/1000 | Computer Modeling of Pulsed X-ray Sources in Industrial Radiography
[NO] 780/1000 | Transitive Priors for LLM Weight Initialization in Spatiotemporal Transport Analytics
[NO] 781/1000 | Crypto-Enhanced RPL: An AI-Assisted Intrusion Detection and Lightweight Cryptographic Framework for Securing IoT Networks
[NO] 782/1000 | Deep Feature Reuse for Monkeypox Skin Lesion Classification with DenseNet121
[NO] 783/1000 | Markerless Assessment of Rehabilitation Exercise Quality from Monocular Video
[NO] 784/1000 | Poverty Mapping in Zamboanga City using Geospatial Analysis and Ensemble Models
[NO] 785/1000 | Building Information Modeling-Enabled Safety Digital Twin for Proactive Construction Safety and Schedule Reliability
[NO] 786/1000 | A Multimodal Emotion-Aware AI Chatbot using SER and RAG-based LLMs for Real-Time Mental Health Support
[NO] 787/1000 | Advanced Machine Learning Models for Identification of Network Intrusion for Enhanced Cybersecurity
[NO] 788/1000 | AI-Driven Simulation and Prediction of Urban Microclimate Dynamics using GNNS and PINNS
[NO] 789/1000 | Development of the Computer Geometry course in the direction of graduate training Mathematics and Computer Science
[NO] 790/1000 | AI Enabled Upskilling and Work Engagement in Sustainable HRM: A Study of Education Employees in the Mekong Delta, Vietnam
[NO] 791/1000 | An Intelligent DDPG Framework for Cost-Efficient Task Scheduling in Multi-Cloud Environment
[NO] 792/1000 | Attention-Balanced Variational Autoencoder Framework for Credit Card Fraud Detection under Extreme Class Imbalance
[NO] 793/1000 | TRIDENT-NET: A Multi-Stream Attention-based Hybrid Intrusion Detection Framework for Securing IoMT Networks
[NO] 794/1000 | Transport Scene Image De-Noising with Generative Adversarial Networks
[NO] 795/1000 | FGSat: A New Dataset and Performance Benchmark for Fine-Grained Satellite Classification
[NO] 796/1000 | A Novel Privacy-Preserving Structure for Emergency Communication Systems: Homomorphic Encryption for Safe and Robust Edge-Cloud Computing Disaster Management
[NO] 797/1000 | Phishlyze: A Hybrid AI Framework Combining Gradient Boosting And LLM Analysis For Advanced Phishing Detection
[NO] 798/1000 | Heritage as a Basis for Predicting the Future Using the Example of Additional Professional Education at the National Research University "MPEI"
[NO] 799/1000 | PAF-DMAO: A Privacy-Aware Federated Diffusion Framework for Multi-Agent Resource Orchestration in 6G NTN-V2X Networks
[NO] 800/1000 | Parallel-Elastic Actuation with Reactive Latch Elevates Robotic Hopping Performance: Jump Height and Continuity_supp2-3701316.mp4
[NO] 801/1000 | Distributed Recursive State Estimation Over Sensor Networks Under the Push-Pull-Based Gossip Protocol: A Locally Minimum Variance Approach
[NO] 802/1000 | Low-Rank Representation Learning with Spectral-to-Spatial Aggregation Transformer for Hyperspectral Image Super-Resolution
[NO] 803/1000 | SC-LUFormer: A Scenario-Conditioned Transformer for Long-Term Land-Use Prediction from Remote Sensing Data in Mountainous Urban Agglomerations
[NO] 804/1000 | Extra Vascular-Implantable Cardiodefibrillators: The Best of Both Worlds
[NO] 805/1000 | A New Optimization Algorithm Integrated with Power Flow Analysis for Efficient Shunt Capacitor Bank Allocation in Radial Distribution Networks
[NO] 806/1000 | A Feasibility-Driven Anytime Hybrid Search for the 3L-CVRP with CoM-Aware Load Balancing
[NO] 807/1000 | Does Your AI Image Generator Know What a Software Engineer Looks Like? We Checked
[NO] 808/1000 | Efficient Mixture-of-Experts Training with Pipelining Optimization_supp1-3702749.pdf
[NO] 809/1000 | Uniaxially Compressively Strained Ge (100)-OI p-MOSFET for High-Performance CFET
[YES] 810/1000 | Analysis and Optimization of ESD-induced Soft Failure in a Microcontroller Unit
[NO] 811/1000 | A Highly Sensitive Dual-Band Metamaterial Sensor for Liquid Adulteration and Biomedical Detection
[NO] 812/1000 | A Lightweight Large-Model Security Framework for Consumer Electronics Based on Sentiment Analysis in Online Consumer Platforms
[NO] 813/1000 | Empowering Engagement: Designing for Sustainable and Playful Community Crowdsensing
[NO] 814/1000 | Designing for Collective Access: In Search of a Solution to Accessible Communication in a Mixed-Ability Non-Profit
[NO] 815/1000 | The Flâneur and Turtle on-a-leash: Exploring Flânerie as a Metaphorical Approach to Harmonizing Human-AI Interaction for Playful Placemaking
[NO] 816/1000 | Children's Creative Engagement in Hybrid Nature Crafting
[NO] 817/1000 | ClayScape: A GenAI-Supported Workflow for Designing Chinese Style Ceramics with Clay 3D Printing
[NO] 818/1000 | Navigating Social Structures: Interaction Modes and Power Dynamics in Extrafamilial Intergenerational Co-Design
[YES] 819/1000 | The Role of Software Engineering Knowledge in Shaping Effective AI-Driven Development
[NO] 820/1000 | Developing an AI Concept Envisioning Toolkit to Support Reflective Juxtaposition of Values and Harms
[NO] 821/1000 | Inforino 2026 Author Index
[NO] 822/1000 | RF-MAF-AttnGRU: A novel hybrid machine learning model for stock price prediction and algorithmic trading
[NO] 823/1000 | Bistatic SAR Target Recognition Using Transferred Monostatic Knowledge and Cross-Domain Feature Fusion
[NO] 824/1000 | Blank Page
[NO] 825/1000 | Multi-season Crop Type Mapping in Arid Agricultural Systems Using High-Resolution Planet Imagery_supp1-3702608.docx
[NO] 826/1000 | Front Cover
[NO] 827/1000 | Loss-Centric Cyber Resilience Evaluation and Automated Countermeasure Ranking Using Public Network Flow Data
[NO] 828/1000 | From Ops to Dev: A Dual-Layer Programmable Data Lake with Kubernetes and WebAssembly-based Offloading
[NO] 829/1000 | MSDiff: Multi-Strategy Diffusion Model for Social Behavior Modeling and Recommendation
[NO] 830/1000 | Token Expand-Merge: Training-Free Token Compression for Vision-Language-Action Models
[NO] 831/1000 | Toward Artificial Nociceptors Based on Memristor-Like MEMS Resonator
[NO] 832/1000 | PLL-Synchronized PWM Rectifier: Cascaded In-Loop Low-Pass Filtering Approaches
