[2026-09-12 23:46:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-11
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202609110000+TO+202609112359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-9-11 | Distance-Guided Search in Program Synthesis with Imperfect LLM Solutions
[NO] 572/1000 | Applications of FEM to Antennas – Early Days
[NO] 573/1000 | Handling Uncertainty, Imprecision, and Risk in Decision Support Systems: A Review of Machine Learning Approaches
[NO] 574/1000 | CAT-LDP: Cloud-Edge Adaptive Taxonomy Under Local Differential Privacy
[NO] 575/1000 | An AI-Driven Metaverse Learning Framework for Personalized Learning: A Learning Analytics Approach in Higher Education
[NO] 576/1000 | Research on the Anti-UAV Technical System Construction and System Design
[NO] 577/1000 | Dual Polarized Waveguide-Fed 1-Bit Dynamic Metasurface Antenna
[NO] 578/1000 | Surrogate-Assisted Sizing of CMOS Translinear Circuits for Full-Range Operation
[NO] 579/1000 | Frequency Selective Rasorber with Two Transmission Windows and Wide Absorption Band
[NO] 580/1000 | An Ultra-Low-Power Synthesizable Asynchronous AER Encoder for Neuromorphic Edge Devices
[NO] 581/1000 | Functional Block-Term Decomposition for Multi-Dimensional Time-Series Signal Recovery_supp1-3732864.pdf
[NO] 582/1000 | Design and Control of 2-DOF Differential Joint Driven by Soft Pneumatic Actuator for Versatile Soft Robotic Manipulator
[NO] 583/1000 | Feather: A Two-Phase Propose-and-Endorse Consensus Protocol for Asynchronous Blockchains
[NO] 584/1000 | A Low-Complexity Joint Fractional Delay and Doppler Frequency Estimator for AFDM-Enabled Vehicular LEO-ICAN Systems_supp1-3732687.pdf
[NO] 585/1000 | Microwave Heating System Using 2.5D Time-Frequency-Space Domain Synthesis Modulation
[NO] 586/1000 | Software Development using Low-Code Platforms or AI-Assistants: A Case Study-based Comparison
[NO] 587/1000 | Pulse-Based Electrochemical Impedance Spectroscopy: Analytical Noise Characterization, Simulation, and Benchmarking
[NO] 588/1000 | Committees
[NO] 589/1000 | Conference Speakers
[NO] 590/1000 | Vision-Based Tactile Sensing for the Perception of the Object's Compliance and Hardness_supp1-3732888.mp4
[NO] 591/1000 | Seamless Daily XCO Mapping across China from OCO-3 Observations via a Hybrid Framework of Transformer and Geo Implicit Neural Representation_supp1-3732466.docx
[NO] 592/1000 | Frequency-Guided Diffusion Model with Perturbation Training for Skeleton-Based Video Anomaly Detection
[NO] 593/1000 | TACoS:A Threshold‑Activated Compensation Scheme for Privacy‑Auditable IoT-Driven Smart Insurance_supp1-3732371.pdf
[NO] 594/1000 | A Novel Power Pylon Truss Modeler for LoD3 Reconstruction From ULS Data: Bridging the Gap Between Visualization and Simulation_supp1-3724516.docx
[NO] 595/1000 | Brillouin Frequency Shift Demodulation Algorithm for Concrete Microcracks Identification Based on Frequency Domain Sliding Window Accumulation
[NO] 596/1000 | Low-Loss Reflection-Type Phase Shifter Design Based on the Load Reflection Coefficient Theoretical Formulation
[NO] 597/1000 | Deep Bayesian Optimization for Constraint-Aware Multi-Objective Antenna Design
[NO] 598/1000 | From Phase Transition to Systemic Failure: A Decoupled Analytics Framework for GNN Robustness
[NO] 599/1000 | Transmitting Beyond Bode-Fano Limit Through Directly Modulating Ferromagnetic Resonance of Electrically Small E-Spin Patch Antenna
[NO] 600/1000 | Suppression of Surface-Wave Interference in Vehicle-Integrated V2X Antenna-on-Glass Using Mode-Symmetry Technique
[NO] 601/1000 | A 5.82μJ/Classification Shallow Neural Network SoC with Digital-DSL AFE for Wearable Stress and Anxiety Monitoring
[NO] 602/1000 | PDM-YOLO: A Human Fall Detection Algorithm Based on Improved YOLOv11n
[NO] 603/1000 | Analysis of Choked Horn Ridged Waveguide Apertures for LEO Ka-Band Satellite Downlink
[NO] 604/1000 | Reviewing digital twins coupled with generative AI to simplify human-computer interactions in complex environments
[NO] 605/1000 | High-Accuracy Frequency Estimation for Distributed Phased Array Coordination Using a Dual-Pulse Waveform
[NO] 606/1000 | A Reconfigurable CMOS Mixer with Adaptive Gain and Linearity for Native-AI RF Systems
[NO] 607/1000 | Modular Electronically Reconfigurable Pinching Antenna
[NO] 608/1000 | Approaches in Smart Grid Integration of Renewable Energy Resources
[NO] 609/1000 | Detectability of Tumor Locations in Breast Phantoms Using SSTDR Microwave Measurements
[NO] 610/1000 | Pentafilar Helix Design for Wideband Spectrum Sensing Applications
[NO] 611/1000 | An Efficient Parallel Schur Complement Preconditioner for the Self-Dual Integral Equations of Scattering from IBC Objects
[NO] 612/1000 | Accurate Solution of Volume-Surface Integral Equations Based on MoM-Nyström Hybrid Scheme
[NO] 613/1000 | Attention-Guided Phased Reinforcement Learning for High-Precision Dual-Arm Collaborative Manipulation
[NO] 614/1000 | Noninvasive Bone Fracture Diagnosis Using a Compact Vivaldi Antenna
[NO] 615/1000 | Performance of a Baud-Rate Clock Data Recovery with Analog Time Encoding
[NO] 616/1000 | A Wideband True-Time-Delay Network Using SIW-to-SIW Linear Tapered Transition
[NO] 617/1000 | Design of an FPGA and ARM Heterogeneous Collaborative Processing and AI Acceleration System for Multi-Channel Vision
[NO] 618/1000 | Mitigating Negative Transfer in Composite Bearing Fault Diagnosis Under Few-Shot Conditions: A Class-Aware Balanced Mix Strategy
[NO] 619/1000 | Biologically Realistic Dynamics for Nonlinear Classification in CMOS+X Neurons
[NO] 620/1000 | Reconfigurable EBG-Loaded Wideband Printed Monopole Antenna for Mutual Coupling Control
[NO] 621/1000 | Copula-Accelerated ADMM Consensus for Distributed Stochastic Microgrid Dispatch
[NO] 622/1000 | Double-Trench Superjunction IGBT with Asymmetric Gate
[NO] 623/1000 | Enabling Limited Null Formation Through the Use of an Actuated Cassegrain Antenna Sub-Reflector
[NO] 624/1000 | Poetry Generation System Based on Retrieval-Augmented Generation and Fact-Enhanced Decoding: Addressing Imagery-Emotion Hallucination
[NO] 625/1000 | A Differentiable Ray-Tracing Algorithm for Inhomogenous Unixial Anisotropic Lenses
[NO] 626/1000 | High-Sigma Read Current Estimation for 8T SRAM Based on a Stacked Model and Large-Scale Statistical Samples
[NO] 627/1000 | Compact Microstrip Patch Antenna for 60GHz Short Range Wireless Applications
[NO] 628/1000 | Stuart Long's Advocacy and Support of Women in Engineering: A 50-Year Legacy
[NO] 629/1000 | Tpc-Ad: Iot Time Series Anomaly Detection Via Prototype Memory and Contrastive Learning
[NO] 630/1000 | Functional Safety Redundant Monitoring Design Method for Automotive-Grade Brake Control Chip
[NO] 631/1000 | Automated AI-Driven Reduced-Latency Fraud Detection for Secure Smart Metering and Energy Billing Systems
[NO] 632/1000 | Rapid Inverse Design of Microstrip Antennas Via Physics-Driven Curriculum Learning and Closed-Loop Anchor Optimization
[NO] 633/1000 | High-Permittivity 3D Printing Filaments: Electromagnetic Behavior and Application in GRIN Lens Fabrication
[NO] 634/1000 | An Historical Overview of Microstrip and Dielectric Resonator Antennas: A Tribute to Stuart A. Long
[NO] 635/1000 | Multi-Scale Analysis of the Spatio-Temporal Complementarity of Solar and Wind Resources in West Africa: The Case of Guinea
[NO] 636/1000 | Wi-Fi 7 Full-Band-Coverage Under-Display MNZ Antenna for Full-Metal-Housing Mobile Devices
[NO] 637/1000 | Sensing-Assisted Reception for DCO-OFDM Based ISAC over Composite FSO Channels
[NO] 638/1000 | An Ultra-Wideband Reflective Metasurface for Cross-Polarization Conversion in X, Ku, and Lower-K Frequency Bands
[NO] 639/1000 | Antidote Reconstitution in Exceptional Health Situation: a pilot study of the contribution of Mixed-Reality training
[NO] 640/1000 | Solution of 2x2 Matrix Equation on NISQ Computer with QW-HHL Algorithm
[NO] 641/1000 | In-Context User Testing in Virtual Reality: Which Interaction Modality?
[NO] 642/1000 | Software-Defined Notch Bands Agility in DGS Based Microstrip-Line Via Manual Control of Pin Diode Matrix for Reconfigurable UWB Antennas
[NO] 643/1000 | SAR Disksat in Very Low Earth Orbit
[NO] 644/1000 | Optimization of Battery Energy Storage System Capacity for Peak Load Shaving in Distribution Networks Based on Real Data
[NO] 645/1000 | Long-term trend forecasting via adaptive multiple-time-step decomposition and ensemble
[NO] 646/1000 | CodeMapper: A Language-Agnostic Approach to Mapping Code Regions Across Commits
[NO] 647/1000 | Context-Free Property Oriented Fuzzing
[NO] 648/1000 | Depradar: Agentic Coordination for Context-Aware Defect Impact Analysis in Deep Learning Libraries
[NO] 649/1000 | Attention Pruning: Automated Fairness Repair of Language Models via Surrogate Simulated Annealing
[NO] 650/1000 | On Redundancy in Alloy Models
[YES] 651/1000 | From Unfinished to Done: Bridging the MDE Implementation Gap with Constrained LLMs
[NO] 652/1000 | Measure What Survives: When Model Vocabulary Outlives Generated Code
[NO] 653/1000 | Deeply Integrated Co-Creation in the Semiconductor Ecosystem: Strategic Symbiosis between NVIDIA and TSMC
[NO] 654/1000 | Analytical Modeling of On-Load Magnetic Fields in High-Speed SPM Machines Considering PM Overhang and Stator Saturation
[NO] 655/1000 | IPMML 2026 Cover Page
[NO] 656/1000 | Towards an Innovative User Experience Evaluation of Augmented Reality Applications: Validating the UXARclass Taxonomy based on an Experimental Study Approach
[YES] 657/1000 | Generating Energy-Efficient Code via Large-Language Models - Where are we now?
[YES] 658/1000 | FORGE: An LLM-driven Framework for Large-Scale Smart Contract Vulnerability Dataset Construction
[YES] 659/1000 | An Empirical Study on Static Application Security Testing (SAST) Tools for Python
[NO] 660/1000 | The Cost vs the Benefit of Adding an Extra Code Reviewer to Mitigate Developer Turnover through Reviewer Recommenders
[NO] 661/1000 | LMIAT 2026 Content Announcement Page
[NO] 662/1000 | 2026 IEEE 69th International Midwest Symposium on Circuits and Systems (MWSCAS)
[NO] 663/1000 | ICVARS 2026 Cover Page
[NO] 664/1000 | USIT 2026 Content Announcement Page
[NO] 665/1000 | 2026 5th International Joint Conference on Information and Communication Engineering (JCICE)
[NO] 666/1000 | A Decade of Hourly Electricity Generation in Türkiye (2016–2025): Separating Demand Inertia from Structural Correlates via Dual-Model XGBoost–SHAP
[NO] 667/1000 | Table of Contents
[NO] 668/1000 | Exactly or Approximately Wasserstein Distributionally Robust Estimation According to Wasserstein Radii Being Small or Large_supp1-3728071.pdf
[NO] 669/1000 | A Model-Driven Approach for Developing Families of Reinforcement Learning Environments
[NO] 670/1000 | Fuzzing Java Optimizing Compilers with Complex Inter-Class Structures Guided by Heterogeneous Program Graphs
[NO] 671/1000 | Learning without Forgetting: Towards Continual learning of Fault Localization Models in Industrial Software Systems
[NO] 672/1000 | Commission Mode vs. Data Monetization Mode: Choices of Online Competing Sellers_supp1-3732972.docx
[NO] 673/1000 | Motion Planning for Dual-Robot Coordination Based on Deep Reinforcement Learning_supp1-3730152.mp4
[NO] 674/1000 | A Coastal Power Grid Fog Discrimination Model Based on the VM-Unet++
[NO] 675/1000 | A Thin-Sheet Volume Integral Formulation for Anisotropic Dielectric Structures
[NO] 676/1000 | Two-Stage Stochastic Optimal Scheduling of an Integrated PV-Storage-Charging-Swapping Station Considering Multiple Uncertainties
[NO] 677/1000 | A Fully-Integrated NMOS LDO with Recycling Adaptive Biasing Featuring High PSRR
[NO] 678/1000 | Low-SAR On-Body Compact Metasurface Integrated Wearable Antenna for ISM-Band Applications
[NO] 679/1000 | STEG-Guard: A Self-Supervised Multi-Domain Graph Neural Network Framework for Zero-Day Malware Detection in Steganographic Images
[NO] 680/1000 | Statistical Analysis of the Nonlinearity Errors of Unary and Binary-Weighted DACs
[NO] 681/1000 | Compact Mm-Wave Antenna Arrays with Structurally Integrated Active Devices
[NO] 682/1000 | A Low-Cost Metal 3D Printed Multi-Feed Per Beam Antenna with All-Passive Beamforming Network for High-Throughput Satellite
[NO] 683/1000 | Generation of Asymmetric Terahertz Bessel Beams Using 3D Printed Spiral Zone Plates
[NO] 684/1000 | Integrated 0.18-μm CMOS Transimpedance Amplifier–Photodiode Front-End for Sulfhemoglobin Concentration Detection
[NO] 685/1000 | Evaluating the Viability of Smartphone Cameras for 3D Gaussian Splatting Operating Room Digital Twin Reconstruction
[NO] 686/1000 | Intelligent Recognition of Biological Genetic Variation Features Based on Improved YOLOv10
[NO] 687/1000 | Design and Experimental Validation of a Compact Quad-Band Slot-Loaded Microstrip Patch Antenna for Sub-6 GHz Wireless Applications
[NO] 688/1000 | A Lightweight Hybrid Architecture with Local-Buffer Reuse and Region-Based Interlock in a RISC-V SoC
[NO] 689/1000 | A Lightweight Hybrid Quantum Neural Network for Binary Intrusion Detection
[NO] 690/1000 | A Four-Element Groove Gap Waveguide Network for Adaptive Gain Enhancement of Dual Circularly Polarized Millimeter-Wave Antenna Arrays
[NO] 691/1000 | W-Band Circularly Polarized Antenna Array with Sequentially Coupled Feeding for LEO Satellite Communications
[NO] 692/1000 | Wideband Circularly-Polarized Sickle-Like Antenna Based on Gap Waveguide Technology
[NO] 693/1000 | Frequency Modulated Multiplexing for Repeater Aided Radar System
[NO] 694/1000 | Lightweight NSH Proxy for Heterogeneous Secure Service Chaining
[NO] 695/1000 | Multi-modal Surrogate Model for Transistor Metrics Predictions Based on Local Layout Dependent Effects in 22nm FDSOI
[NO] 696/1000 | Faithfulness-Guided Diffusion CoT (FG-DiffCoT) for Cue-Aware Error Recovery
[NO] 697/1000 | Ultra-Wideband Low-Profile Full-Metal Vivaldi Array Antenna with Large Element Spacing and High Efficiency
[NO] 698/1000 | OceanSkill: An Agentic Skill Framework for Evidence-Grounded Ocean Forecast Report Generation
[NO] 699/1000 | Adaptive Techniques in Surrogate Modeling for Uncertainty Quantification of Dielectric Sphere Radar Cross-Sections
[NO] 700/1000 | Development of a Compact Dual-Band Rectangular Microstrip Patch Antenna for LTE/5G Vehicular Communication Systems
[NO] 701/1000 | Corrections to “OptDevNet: A Optimized Deep Event-Based Network Framework for Credit Card Fraud Detection”
[NO] 702/1000 | An Ultrawideband Shared Aperture Array Lattice Design
[NO] 703/1000 | Enhancement of Axial-Ratio Bandwidth of a 900 MHz Printed Circular Loop Antenna Using a Concentric Parasitic Loop and Balanced Parallel-Stripline Feed
[NO] 704/1000 | Hierarchical Collaborative Adaptive Tutoring Agent for Educational Multi-source Time-series Big Data : Causal Reasoning of Learning Status and Dynamic Optimization of Personalized Learning Paths
[NO] 705/1000 | Design of a Compact Ka-Band Monopulse Cassegrain Antenna
[NO] 706/1000 | Extending MATLAB and Signal Processing Toolbox for Index-Aware Time-Shifting and Time-Reversal of Discrete-Time Signals
[NO] 707/1000 | Fast 3D Access Point Optimal Placement in Multi-Floor Buildings Using U-Net Deep Learning
[NO] 708/1000 | Development of Ka-Band Digital Beamforming Antenna and its Calibration Technique for ETS-9
[NO] 709/1000 | User-Space Network Stack with Legacy Compatibility
[NO] 710/1000 | LLM-Driven Abstractive Semantic Descriptions: An Approach for Multimodal Semantic Extraction
[NO] 711/1000 | The Role of Echo State and Fading Memory Properties in Reservoir Computing Systems
[NO] 712/1000 | DualSpecNet: Frequency-Prior Residual Fusion for Electric Load Forecasting
[YES] 713/1000 | MAI-EDA: Multi-Agent AI Co-Pilot for RTL-to-GDSII EDA Education at Scale
[NO] 714/1000 | Introduction to the Special Issue for the Symposium on Algorithmic Game Theory (SAGT) 2024
[NO] 715/1000 | VDBFuzz: Understanding and Detecting Crash Bugs in Vector Database Management Systems
[NO] 716/1000 | Configuration-Sensitive Linux Kernel Fuzzing
[NO] 717/1000 | Bayesian Multi-Level Performance Models for Multi-Factor Variability of Configurable Software Systems
[NO] 718/1000 | Verification of Multi-Model Stochastic Systems
[NO] 719/1000 | E-Test: E'er-Improving Test Suites
[YES] 720/1000 | INTENTFIX: Automated Logic Vulnerability Repair via LLM-Driven Intent Modeling
[NO] 721/1000 | Uncovering Failures in Cyber-Physical System State Transitions: A Fuzzing-Based Approach Applied to sUAS
[YES] 722/1000 | Improving Code Generation via Small Language Model-as-a-judge
[NO] 723/1000 | Can SAT Solvers Keep Up With the Linux Kernel's Feature Model?
[NO] 724/1000 | LikeThis! Empowering App Users to Submit UI Improvement Suggestions Instead of Complaints
[NO] 725/1000 | Checking Unsupervised Learning for Nondeterminism and Inconsistency via SMT Solving
[NO] 726/1000 | Small Changes, Big Trouble: Demystifying and Parsing License Variants for Incompatibility Detection in the PyPI Ecosystem
[NO] 727/1000 | What’s in a Software Engineering Job Posting?
[NO] 728/1000 | Tool-assisted Concretization of Object-oriented Reference Models and Design Patterns
[NO] 729/1000 | A Model-driven BIM2SIM Workflow for Surrogate Modeling
[NO] 730/1000 | A Novel Streamlined Adversarial Autoencoder Framework for Interpretable Gaussianized Data Transformation and Its Applications_supp1-3727473.docx
[NO] 731/1000 | ASER: Attribute-Serialized Emotion Recognition With Generative Multi-Task Learning
[NO] 732/1000 | Analytical Model for Electromagnetic-Vibration Prediction in Inverter-Fed Synchronous Reluctance Motor_supp1-3720690.pdf
[NO] 733/1000 | ICVARS 2026 Copyright Page
[NO] 734/1000 | Collision Detection With Analytical Derivatives of Contact Kinematics_supp1-3732913.pdf
[NO] 735/1000 | Variable-structure Soft Actuator for Multi-mode Grasping_supp2-3732887.mp4
[NO] 736/1000 | 2026 5th International Symposium on Semiconductor and Electronic Technology (ISSET)
[NO] 737/1000 | Editorial Staff
[NO] 738/1000 | Hilbert-Transform-Based Digital Beamforming for a Compact V2X Phased-Array Subsystem
[NO] 739/1000 | Multi-Modal, Multi-Harmonic Spatially-Discrete Traveling-Wave-Modulated Coupled-Line Couplers
[NO] 740/1000 | Modeling and Analysis of Second-Harmonic Spectrum Under Linear Frequency Sweeping Interference
[NO] 741/1000 | A Ka-Band Lightweight and Conformal Metasurface for Wideband Polarization Conversion
[NO] 742/1000 | Seasonal Generalization of Tree-Based Machine Learning for Multi-Horizon PV, Load, and Battery Forecasting in Tropical Island Microgrids
[NO] 743/1000 | Uncertainty-Aware Vision-Language Guidance for Camera-Based 3D Semantic Scene Completion
[NO] 744/1000 | Research on a Variable-Capacitance Active Drive Circuit for Series Voltage Equalization of SiC MOSFETs
[NO] 745/1000 | CNN-Based Hotspot Detection in Small-Scale Composting From Multistatic Microwave Time-Domain Responses
[NO] 746/1000 | A Generalized Complex Permittivity Retrieval Method for Waveguides with Arbitrary Cross-Sectional Filling
[NO] 747/1000 | Time-Varying RIS-Aided MUSIC: A Snapshot-Enhanced System for High-Resolution DOA Estimation
[NO] 748/1000 | Comparison of Methods for Extracting the Threshold Voltages of CNFETs
[NO] 749/1000 | Efficient Layered Media Inversion via Reduced Order Models
[NO] 750/1000 | A Method for Joint Thermal-Electrical Optimization and Dispatch of Energy Storage Systems in Cold Regions Considering the Coupling of Thermal Management and Lifespan Degradation
[NO] 751/1000 | Comprehensive Characteristic Surface Reconstruction of Hydraulic Turbines Using KAN with B-Spline Activation Functions
[NO] 752/1000 | A Polynomial Regression Model for FDTD Modeling of Nonlinear Dispersive Media
[NO] 753/1000 | An Empirical Investigation on a Posterior Version of $p$ value for Statistical Testing Against Small Sample Size
[NO] 754/1000 | Mitigating Multipath Reflections in Low-Cost Antenna Measurements via Time-Domain Filtering
[NO] 755/1000 | High-Power Folded Parallel-Plate Antenna for Wideband Applications
[NO] 756/1000 | A Novel Differential AC-AC Charge Pump Surpassing the Fibonacci Gain per Capacitor Limit
[NO] 757/1000 | A Dual-Band Circularly Polarized Aperture-Coupled Array for Integrated Ku-Band Satellite Transceivers
[NO] 758/1000 | Increasing the Gain of a $2 \lambda_{o}$-Long Horn Antenna Using a Near-Field Metasurface
[NO] 759/1000 | The Profiler-Agent: A Retrieval-Augmented and Latent-State Reasoning Framework for Complex Narrative Data
[NO] 760/1000 | Geometry Optimization of Amorphous In–Ga–Zn–O Thin-Film Transistors Based on Device Simulation and Multi-Indicator Weighted Evaluation
[NO] 761/1000 | A 0.03-4 GHz High-Dynamic-Range GaAs pHEMT Bypass Low-Noise Amplifier
[NO] 762/1000 | Transient Response Analysis of Electromagnetic Wave Propagation in Freshwater and Seawater
[NO] 763/1000 | Analysis and Modeling of Self-Cascode Transistors for Analog Circuit Design in Advanced CMOS Nodes
[NO] 764/1000 | Simulation of the Silicon Esaki tunnel Diode with the Prospect of Forming Cellular Neural Networks for Distributed Computing
[NO] 765/1000 | Dual-Band Graphene U-Slot Antenna with Defected Ground Structure for Wireless Power Transfer
[NO] 766/1000 | RLANet: A Real-Domain Lightweight Attention Network for CSI Feedback in Massive MIMO Systems
[NO] 767/1000 | A Non-Parametric Optimization Approach for 24.15 Ghz Microstrip Antennas in Automotive Short-Range Radar Arrays
[NO] 768/1000 | Implementation of a Directional Modulation Testbed for Reconfigurable Transmitters in Spatially Agile MIMO Systems
[NO] 769/1000 | State-Aware Rapid Design of 2-Bit Digital Coding Metasurfaces Using Deep Learning
[NO] 770/1000 | Characteristic Modes of Dense Chu Antenna Arrays
[NO] 771/1000 | Optimization of Coupling Characteristics in Racetrack Lithium Niobate Resonators
[NO] 772/1000 | A Study on Citation Characteristics and Dissemination Patterns of Scientific Data Policies within Core Journals: An Empirical Analysis Based on the “Scientific Data Management Measures”
[NO] 773/1000 | Max Production Recommendation Using Machine Learning Techniques
[NO] 774/1000 | Thermally Tunable and Polarization-Insensitive Triple-Band Metamaterial Absorber for Mid-to-Near Infrared Applications
[NO] 775/1000 | Normal-Only Few-Shot Industrial Anomaly Detection via Centralized Prompt Alignment
[NO] 776/1000 | Low-Cost Interferometric Phase Retrieval of Electromagnetic Fields
[NO] 777/1000 | A Software-Defined Radio Platform for the Generation of Structured Beams
[NO] 778/1000 | Revisiting Linear Logarithmic Pixels for Machine Learning Applications with sub-1V Supply
[NO] 779/1000 | Narrow Multi-Beam Formation Technology for Frequency Sharing Between Low Earth Orbit Satellite and Ground Terminals: A Study on the Acceptable Range of Positioning Errors for Non-Wired Phased Array Antennas
[NO] 780/1000 | Evaluating the effectiveness of LLM-based interoperability
[NO] 781/1000 | SAFE: Harnessing LLM for Scenario-Driven ADS Testing from Multimodal Crash Data
[YES] 782/1000 | CREME: Robustness Enhancement of Code LLMs via Layer-Aware Model Editing
[NO] 783/1000 | Weak Programmers Need Not Apply, LLMs Welcome! Survey Screening in the AI Era
[NO] 784/1000 | FrameShift: Resizing Fuzzer Inputs Without Breaking Them
[NO] 785/1000 | Online and Interactive Bayesian Inference Debugging
[NO] 786/1000 | Uplink Coverage of User-Centric Cell-Free Networks under Pilot Contamination and Spatial Correlation: A Tractable Stochastic Geometry Analysis
[NO] 787/1000 | A High-Voltage Symbol-Power-Tracking Supply Modulator for 5G GaN Power Amplifiers
[NO] 788/1000 | Graded Plating Diagnosis of Lithium-Ion Battery With Multifeatures Extraction and Label Weight Guided Clustering
[NO] 789/1000 | Secrecy Rate Optimization in Multi-User RIS-Assisted MIMO–NOMA IoT Networks
[NO] 790/1000 | LMIAT 2026 Copyright Page
[NO] 791/1000 | LMIAT 2026 Cover Page
[NO] 792/1000 | 2026 10th International Conference on Intelligent Computing and Virtual &amp; Augmented Reality Simulations (ICVARS)
[NO] 793/1000 | Author Index
[NO] 794/1000 | A Ringamp-Based DAC for Compute-in-Memory
[NO] 795/1000 | Thickness Discrimination of Metallic Layers Using Optical Readout of Microwave-Induced Thermo-Elastic Effects in a Glass Superstrate
[NO] 796/1000 | BioFlowAgent: A Registry-Constrained LLM Agent Separating Planning from Execution for Reproducible Bioinformatics Workflows
[NO] 797/1000 | Directional Multi-Band Planer Monopole Antenna with Parasitic Director
[NO] 798/1000 | Deployment of a Low-Power LoRa LPWAN Sensor Network for Environmental Monitoring in Antarctica
[NO] 799/1000 | Estimation of Equatorial Plasma Bubble Drift Velocities Using Dynamic Time Warping
[NO] 800/1000 | Measurement-Based Evaluation of Inhomogeneity Effects on PE Path-Loss Prediction
[NO] 801/1000 | Teaching Cryptography as a Bridge Between Mathematics and Computer Science in High School and Higher Education
[NO] 802/1000 | Accurate Wire Antenna Modeling with RWG-Based Macro Basis Functions
[NO] 803/1000 | A Dual-Frequency 2-D Leaky-Wave Corrugated Antenna
[NO] 804/1000 | Automated Design and Optimization Framework for Distributed Matching Networks in RFEH Systems
[NO] 805/1000 | MFF-AGRU: An Intelligent Risk Identification Method for Power Terminal Data Interaction in Distributed Business Scenarios
[NO] 806/1000 | The Evolution of Government Data Open Policy Architecture Based on Text Mining
[NO] 807/1000 | Alternative Formula for the Forward Voltage Coefficient in the Solutions to the Transmission Line Wave Equations
[NO] 808/1000 | Low-Cost Copper-Based Slot RFID Reader Antenna for Wearable Smart Spectacles
[NO] 809/1000 | A Simulation-based Evaluation of Smart Grid Applications for Resilient and Energy-Efficient Power Distribution Networks
[NO] 810/1000 | FPGA Acceleration of YOLOv8-Style Inference with an Instruction-Driven Convolution Datapath
[NO] 811/1000 | A Novel Feed-Forward Calibration Technique for Spur Reduction in Low-Noise Compact mmWave SSPLLs with Switched-Capacitor Loop Filters
[NO] 812/1000 | Parallel Simulation of Lithium-Ion Battery Modules Based on Physics-Informed Multi-Input Operator Networks
[NO] 813/1000 | Enhancing PCB Trojan Detection Using S-Parameter Measurements with a Heuristic Port Selection Strategy
[NO] 814/1000 | A Hardware-Aware System for Five-Class EEG IED Detection Using CWT Scalograms and Deep Learning
[NO] 815/1000 | Improving Convergence of Antenna Array S-parameter Extraction From Embedded Element Patterns Using Switched Generator Impedances
[NO] 816/1000 | Wireless Power for an Injectable Medical Device
[NO] 817/1000 | Metamaterial-Enhanced Sustainable Microwave Absorber for X-Band EMI Shielding
[NO] 818/1000 | Design of Dual-Feed Dual-Polarized Dual-Band Single-Layer Reflectarray Antenna Operating at 14.5/29-Ghz Bands
[NO] 819/1000 | A 360° Continuously Tunable Phase Shifter with Hybrid Architecture at 6 GHz
[NO] 820/1000 | Entropy-Density Joint Uncertainty Weighted Support Vector Machine
[NO] 821/1000 | The Athena Project – Energy-Sparing Agentic Microcomputer-Based Platform Advancing the Wheel of Reincarnation
[NO] 822/1000 | Three-Dimensional Mapping of Cloud-to-Ground Lightning Flashes Using a Two-Station VHF Broadband Interferometer
[NO] 823/1000 | Negative Phase Velocity of Left-Handed Transmission Lines- A Stroboscopic Effect
[NO] 824/1000 | Design of a Ku-Band GCPW-to-Stripline Vertical Transition Based on Multilayer PCBs
[NO] 825/1000 | ALOS-4: Design and Architecture of L-Band SAR for High-Resolution Wide-Swath Observations
[NO] 826/1000 | A New Integral LQR based Primary Feedback Controller Design with Improved Power Quality for Multi-DGs based Microgrid Operation
[NO] 827/1000 | A Sub-THz FMCW Radar Imager Using a Phased-Array-Fed Shaped-Reflector Antenna
[NO] 828/1000 | Ultra Wide-Band Linear-To-LHCP Converter Utilizing Dual DSRR and Superstrate Layer
[NO] 829/1000 | Maximizing Task Completion in Dynamic Maritime Edge Computing: A Hierarchical MARL Framework with Collaborative UAVs and Buoys
[NO] 830/1000 | Power Quality and Harmonic Analysis of Multi-pulse SCR-Based Rectifiers for Industrial-Scale Water Electrolyzers Under Partial-Load Conditions
[NO] 831/1000 | An Autonomous Agent for Closed-Loop Flight Procedure Execution and Verification in the X-Plane Simulator
[NO] 832/1000 | Distributed placement and routing for peer-to-peer chiplet-based microfluidic devices.
[NO] 833/1000 | Packaged Terahertz All-Dielectric Antenna Using Micromachined Silicon Slot Dipole Contact-Feed for 3D-Printed Quasi-Optic
[NO] 834/1000 | Large-Scale Path Loss Characterization in an Underground Mine at Millimeter-Wave Frequencies
[NO] 835/1000 | Machine Learning-Based Fertilizer NPK Grade Classification and Application Rate Estimation for Hybrid and Inbred Rice in Cebu, Philippines
[NO] 836/1000 | Conversion Technologies for Decentralized Generation and Their Payback Ratio
[NO] 837/1000 | Beyond Adoption: Examining the Evolution and Impact of Code of Conduct on Open Source Communities
[NO] 838/1000 | Modeling Like Peeling an Onion: Layerwise Analysis-Driven Automatic Behavioral Model Generation
