[2026-04-18 22:36:07] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-17
正在获取论文...
[ACM] 2026-4-17 | A Hybrid Chebyshev Chaotic Map-based Authentication Protocol for Industrial Internet of Things
[NO] 72/706 | Effects of Rain Rate With Various Integration Times on ITU-R P530-18 Attenuation Prediction
[YES] 73/706 | Case Study: The High-Level Synthesis-Based Firmware Upgrade for the Digital Trigger Back-End System of the ATLAS Liquid Argon Calorimeter
[NO] 74/706 | Case Study: A Uniform Benchmarking of RISC-V Cores on FPGA — Performance, Power, and Area Analysis
[NO] 75/706 | Design and Implementation of a Lightweight Simulation Testing Tool for Automatic Train Supervision (ATS) Systems in Intelligent Transportation Systems
[NO] 76/706 | Scatter Search, Ejection Chains, and Filter-and-Fan for Vehicle Routing: A Unified Framework
[NO] 77/706 | IEEE Photonics Technology Letters publication information
[NO] 78/706 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp4-3683863.mp4
[NO] 79/706 | TacMan-Turbo: Proactive Tactile Control for Robust and Efficient Articulated Object Manipulation_supp1-3683863.mp4
[NO] 80/706 | AI-Tuned Smart Potentiometric based Sensor for Chloride Concentration Assessment in Sweat
[NO] 81/706 | Rotation-symmetric bent functions outside the completed Maiorana-McFarland class
[NO] 82/706 | Spatial Distribution of Impulse Bandwidth of a Graphene/Silicon Schottky Photodetector_supp1-3684821.docx
[NO] 83/706 | IEEE Vehicular Technology Society Information
[NO] 84/706 | MFEFNet: An Efficient Network for Infrared Small Target Detection with Multi-View Feature Extraction and Multi-Scale Attention Fusion
[NO] 85/706 | Kinetic Energy Based Power Smoothing Method for High-Inertia Wind Turbines Using ESO-MFPCC
[NO] 86/706 | A Dual-Event-Driven Fusion Estimation Method for Road Friction Coefficient Based on Image and Vehicle Dynamics
[NO] 87/706 | Improved Prediction of Secondary Flows in a Square Duct for Blanket First Wall Using a Nonlinear Eddy-Viscosity Model
[NO] 88/706 | DECOR+: Energy-Balanced Representation Enhancement for Long-Tailed Remote Sensing Scene Recognition
[NO] 89/706 | Lateral Dynamics Modeling and Analysis in Electric Vehicles according to the Battery Pack Arrangement
[NO] 90/706 | Table of Contents
[NO] 91/706 | PrivTI: Efficient End-to-End Privacy-Preserving Inference for Transformer-based Models in MLaaS
[NO] 92/706 | Decentralized Real-Time Train-to-Grid Control by Smoothly Homotopic Trajectory Transition
[NO] 93/706 | Rep-MMB: Bridging Mobile CNN and Transformer for Sensor-Based Human Activity Recognition
[NO] 94/706 | An Electrolytic-Capacitorless Integrated LDC/V2L Converter for Hybrid Electric Vehicles
[NO] 95/706 | Forward-Secure Identity-Based Signcryption with Equality Test for Social Recommendation on Smart IoT Devices
[NO] 96/706 | Covert Communication in Federated Learning
[NO] 97/706 | Vegetation Health Prediction Using RGB Images from UAV with Deep Learning
[NO] 98/706 | 2026 IEEE 27th Latin American Test Symposium (LATS)
[NO] 99/706 | A Novel Design of Pulsed Magnet for Repetitive Magnetic Field
[NO] 100/706 | Supraharmonic Measurement Based on Windowed Compressive Sensing and Orthogonal Matching Pursuit
[NO] 101/706 | Enhancing Wireless Guitar Audio Signal Transmission Using a Flexible Metamaterial-Based Frequency Selective Surface
[NO] 102/706 | Self-Detection of Diabetic Foot Ulcer Using Thermography and Deep Learning
[NO] 103/706 | A Cryptographically-Linked Metadata Schema for Academic Credential Interoperability: The ILMEQ Model
[NO] 104/706 | Design and Performance Analysis of Energy-Efficient Atmospheric Water Generators for Standalone Applications
[NO] 105/706 | 5G-NR Resource Management in Multi-Orbit Non-Terrestrial Systems with Multi-Connectivity
[NO] 106/706 | On Addressing Bias and Fairness in Large Language Models for Responsible Innovation in Gender Contexts
[NO] 107/706 | A Lightweight Hybrid Deep Learning Model with Squeeze-And-Excitation for Big Energy Data Analytics in Smart Homes
[NO] 108/706 | Improving Patent Document Retrieval with Customized Large Language Model
[NO] 109/706 | Detection of Human Trafficking Risks Using Machine Learning
[NO] 110/706 | Corrigendum: One Model for All: Large Language Models Are Domain-Agnostic Recommendation Systems
[NO] 111/706 | AgentChain: Blockchain-empowered Multi-agent Coordination for Trustworthy LLM Question-answering Systems
[NO] 112/706 | Resource Optimization with Uplink RSMA for Multibeam LEO Satellite IoT Systems in the FBL Regime
[NO] 113/706 | Digital Transformation Readiness in University Operations: A Product-Service System Approach to Readiness-as-a-Service
[NO] 114/706 | Quality Diversity Time-Use Optimisation for Health
[NO] 115/706 | Design of a Low-Power High-Density Analog in-Memory Computing Accelerator Using 18 Nm FD-SOI Phase-Change Memory
[NO] 116/706 | Quantum Entanglement and Distance: A Performance Study of Long-Distance Networks
[NO] 117/706 | Object Detection and Localization Sight to Sound Framework for Visually Impaired Community
[NO] 118/706 | Copyright Page
[NO] 119/706 | Geometry Aware Meta-Learning Neural Network for Joint Phase and Precoder Optimization in RIS_supp1-3684280.pdf
[NO] 120/706 | Beyond Score Changes: Adversarial Attack on No-Reference Image Quality Assessment from Two Perspectives
[NO] 121/706 | PAHPA: Revolutionizing Kubernetes Autoscaling with Integrated Predictive Analytics and Real-Time Monitoring
[NO] 122/706 | MGMIN-FSA: A Multi-Granularity Multimodal Interaction Network for Sentiment Analysis of Financial Review Videos_supp1-3681783.pdf
[NO] 123/706 | A 16× Interleaved 32-GS/s 8b Hybrid ADC With Self-Tracking Inter-Stage Gain Achieving 44.3-dB SFDR at 20.9-GHz Input
[NO] 124/706 | Quantum-Driven Intelligent Controller Design for DC–DC Boost Converters
[NO] 125/706 | A Cloud-Native Alternative Correction for Landsat-8/9 Collection 2 Surface Reflectance over Inland Waters
[NO] 126/706 | Novel Three-Segment Steerable Continuum Needle Manipulator for Minimally Invasive Surgery_supp1-3679362.mp4
[NO] 127/706 | Development of an Insulation Lifetime Model under Varied Pressure and Voltage Conditions for More Electric Aircraft Applications
[NO] 128/706 | Analyzing the Impact of TiO
                    <sub>2</sub>
                    Nanoparticles in Transformer Oil-Based Nanofluids Through Dissolved Gas Analysis
[NO] 129/706 | A Graph-Enhanced Defense Framework for Explainable Fake News Detection with LLM
[NO] 130/706 | Hierarchical Power Flow Control Strategy for CHB-based APQC-ESS of Railway System Under Unbalanced Grid
[NO] 131/706 | IEEE Photonics Technology Letters Information for Authors
[NO] 132/706 | A Latin American Institution&amp;#x2019;s Journey in Digital Systems Education: From Breadboards to FPGA and RISC-V Design_supp1-3684367.pdf
[NO] 133/706 | A Compact Frequency Comb Generator Implementation on RFSoC for MKIDs
[NO] 134/706 | High-Efficiency 1-D Scanning Solar Arrays with High SCs Coverage Ratio Based on a Hybrid Transparent Dielectric Resonator Antenna
[NO] 135/706 | Indirect and Direct Multiuser Hybrid Beamforming for Far-Field and Near-Field Communications: A Deep Learning Approach
[NO] 136/706 | Prior-Embedded Policy Optimization for Multipoint Weak Leakage Localization in Energy Transportation Systems
[NO] 137/706 | IoT-Oriented Uplink Multi-User Digital Semantic Communication System Based on Model Division Multiple Access
[NO] 138/706 | Half Title Page: Table of Contents
[NO] 139/706 | Deep Learning-Based Recommendation System to Address Challenges in Providing Electronic Services
[NO] 140/706 | Global Trends in Digital Financial Inclusion for Women: A Decade-Long Bibliometric Review (2014-2024)
[NO] 141/706 | Energy Efficient Power Control in 6G Networks for Smart Grid Wide Area Network Using Deep Reinforcement Learning
[NO] 142/706 | Efficient Design of Fronthaul-Constrained Uplink Reception for Cell-Free XL-MIMO
[NO] 143/706 | Digital Gender Divide Among Teenagers: Analysing Disparities in Access to Technology and Internet Connectivity
[NO] 144/706 | DRAR: Diffusion-Based Relation Augmentation for Knowledge-aware Recommendation
[NO] 145/706 | Efficient Addition-Based Sparse GEMM for Fast Ternary Large Language Model Inference on Edge Devices
[NO] 146/706 | TCSS: Traceable Contributory Secret Sharing for Secure Multi-Tenant AI Model Serving
[NO] 147/706 | Proceedings
[NO] 148/706 | Nonlinear Adaptive Distortion-Free Denoising of Position Signal for Real-Time High-Dynamic Position Control in Manufacturing
[NO] 149/706 | MSDCN-LSTF: A Multiscale and Multidimensional Collaboration Network for Land Surface Temperature Spatiotemporal Fusion Based on Transformer and Convolution
[NO] 150/706 | Weakly Supervised Composed Object Re-Identification With Large Models
[NO] 151/706 | PromptReg: Interactive Registration by “Corresponding Prompts” for Segment Anything Model (SAM)
[NO] 152/706 | Meet Some Girls: Encoding Heteronormativity into the History of Computing
[NO] 153/706 | An Emulated LEO Satellite Laser Communication with Four 10-cm Triplet-Lens Receivers and a Maximum Ratio Combining Scheme
[NO] 154/706 | Study of Optimization for Traffic Information Estimation using LiDAR Data Under Mixed Traffic Flow with Human Driven and Automated Vehicle
[YES] 155/706 | Enhancing Cross-Project Defect Prediction for Automated Software Fault Detection
[NO] 156/706 | A Markov-Augmented CNN-LSTM-Attention Model for Exchange Rate Forecasting
[NO] 157/706 | Bridging MLOps and Infrastructure: A Workflow-Agnostic Reference Architecture for Reusable, On-Premises AI Platforms
[NO] 158/706 | Enhancing Swine Farm Profitability with PINILI-PIG: A Digital Swine Inventory and Sales Management System
[NO] 159/706 | Soft Error Mitigation in a Real-Time Control System Through Hardware Protection on an SRAM-Based FPGA
[NO] 160/706 | Can Multimodal Large Language Models Understand Graphic Design? A Comparative Study
[NO] 161/706 | IEEE Open Access Publishing
[NO] 162/706 | Dust Acoustic Waves With Arbitrary Dust Polarity and Regularized Kappa Distributed Electrons
[NO] 163/706 | Design and Vibration Resistance Performance Analysis of Gallium–Indium Liquid Metal Interconnect Structures at Board Level
[NO] 164/706 | WRNN and CAT based few-shot learning fault diagnosis for bearing
[NO] 165/706 | Study on Pulse-taking Pressure Sensor based on Surface Acoustic Wave
[NO] 166/706 | Multi-View Stereo with Holistic Guidance of Collaborative Geometric Priors
[NO] 167/706 | Message from the Program Chair
[NO] 168/706 | IEEE IWCIA2025 Author Index
[NO] 169/706 | Analyzing Sustainability Messaging in Large-Scale Corporate Social Media
[NO] 170/706 | Spectral Vs. Spatial Pruning: Fault Resilience Analysis for Extremely Sparse DNNs
[NO] 171/706 | Emulating SDC-1 Hardware Faults Through Application Level Bit-Flip Injections in QNNs
[NO] 172/706 | M-EL2N: Data-Efficient Fault Injection Through Sample Difficulty Analysis
[NO] 173/706 | Thermoelectric Generator Optimisation for Electrical Oven Waste Heat Recovery at Low Temperatures
[NO] 174/706 | Facial Images Dataset for Early Screening of Autism Children Using Convolutional Neural Network
[NO] 175/706 | Uplink Rate Splitting Multiple Access Based Multi-AUV Data Transmission Strategy for Advanced Underwater Acoustic Communication
[NO] 176/706 | Digital Technologies in Diagnosing Maternal and Child Nutrition Deficiencies for Improved Health Outcome
[NO] 177/706 | Empowering Rural Women Through Technology: The Voice Rozgar Sakhi Fellowship Program
[NO] 178/706 | An Interpretable CNN-Attention Model for Student Performance Prediction and Factor Analysis in Cloud-Based Digital Reading Systems
[NO] 179/706 | Understanding Visual Saliency of Outlier Items in Product Search
[NO] 180/706 | A Cross-Domain Authentication and Key Agreement Scheme for Industrial IoT
[NO] 181/706 | IEEE Photonics Technology Letters Information for Authors
[NO] 182/706 | A Constant-Gain Equation-Error Framework for Airliner Aerodynamic Monitoring Using QAR Data
[NO] 183/706 | A Wireless Microwave Monitoring System for Measuring the Pollutants of Triclosan and Glyphosate in Water
[NO] 184/706 | A Piezoelectric MFC Enabled Active Micro-Force Sensor with High Range-to-Resolution Ratio for Cross-Scale Robotic Cell Micromanipulation
[NO] 185/706 | Oscillation Mechanism and Cooperative Optimization Control Strategy for MMC-HVDC and DC Voltage Divider
[NO] 186/706 | PCS-UNETR: A Physically Constrained SwinUNETR Model for Robust Seismic First Arrival Picking
[NO] 187/706 | Benchmarking Multimodal Large Language Models for Forensic Sciences: A Comprehensive Dataset and Evaluation Framework
[NO] 188/706 | Preface: ICCBDCS 2025
[NO] 189/706 | Message from the Chairman
[NO] 190/706 | LOOL: Low-Overhead, Optimization-Log-Guided Compiler Fuzzing
[NO] 191/706 | The Influence of Financial Performance on Women Representation in Films: A Supervised Machine Learning Approach to Analyzing Bechdel Test Outcomes
[NO] 192/706 | Empowering Women Through Next-Generation Connectivity: Analyzing the Impact of 5G Networks on Women's Economic and Social Development in Kerala
[NO] 193/706 | Empirical Insights into Female Gen Z's Perception and the Factors Influencing the Adoption of AI-Powered Customer Service Chatbots
[NO] 194/706 | Empowering Rural Women Through Sustainable Cooking Solutions: A Human-Centric Approach to Clean Energy in Kalakrai, India
[NO] 195/706 | A Low Profile S-Band Antenna for 1U CubeSat Communication Systems
[NO] 196/706 | Minimax-Type Band-Pass Filters with Full-Band Center-Frequency Tuning and Narrow Transition-Band
[NO] 197/706 | Satellite Reliability Analysis Using Mathematical Prediction Models: A Case Study of Satellite Anomalies
[NO] 198/706 | Visual Consistency in Formal Modeling: An Empirical Evaluation
[NO] 199/706 | A Dual-Band Antenna System Based on Decoupling Structure Reuse Strategy
[NO] 200/706 | BiDepNet: A Bidirectional Enhancement Network for Depression Detection via Facial Expression Analysis
[NO] 201/706 | Privacy-Preserving Task Offloading Scheme Based on Blockchain Federated Learning in End-Edge-Cloud Computing Environments
[NO] 202/706 | Smooth Collision Avoidance Decision-Making Method for Unmanned Surface Vehicles Under Marine Environmental Disturbances
[NO] 203/706 | Susceptibility Evaluation of Layout-Based 2:1 Multiplexer Topologies
[NO] 204/706 | Comparison of Efficientnet B3 and Inception V3 Architecture Performance in Heart Disease Arrhythmia Image Classification
[NO] 205/706 | An Intelligent Movie Recommender System Based on Deep Reinforcement Learning
[NO] 206/706 | Integrating Large Language Models and Vector Databases for Podcast Semantic Search
[NO] 207/706 | Reliability Assessment of Deep Neural Networks and Accelerators Across Design Stages
[NO] 208/706 | A Descriptive Mixed-Methods Approach to Activity Evaluation Using Natural Language Processing
[NO] 209/706 | Design and Evaluation of Uniform and Nonuniform Planar Arrays Geometries Using Rectangular Patch Antennas
[NO] 210/706 | The Intersection of Fintech and Homebased Women Entrepreneurship: Opportunities and Challenges
[NO] 211/706 | Women Versus Men: Comparative Analysis of Physical Activity and Mobile Phone Usage on Cognitive Performance
[NO] 212/706 | List of Reviewers
[NO] 213/706 | Integrated Stereo Vision and Compliance Control With an Underwater Manipulator for Hydraulic Structure Inspection and Maintenance
[YES] 214/706 | LLM-based User-Customizable Economic MPC for Consumer Unmanned Surface Vehicle Path Planning
[NO] 215/706 | Sensorless Sequential Model Predictive Direct Speed Control for Induction Motor Drives
[NO] 216/706 | Generic and Flexible Digital Model of DAB Converters With Various Topologies and Control for Efficient Optimal Design
[NO] 217/706 | Fabrication of VS/MXene heterostructure electrode-based micro-supercapacitor for on-chip energy source applications_supp1-3684739.docx
[NO] 218/706 | Conference Committee: ICCBDCS 2025
[NO] 219/706 | Publication Contact
[NO] 220/706 | Vehicle Dynamics Learning from Physics Priors with Model-Structured Neural Networks
[NO] 221/706 | Front Cover
[NO] 222/706 | TIG-IM: a Two-Stage Inductive GNN with Multi-Task Learning for Influential Node Identification in Complex Networks_supp1-3681944.pdf
[NO] 223/706 | Asymptotic Information-Theoretic Optimality of Channel Model Substitution by Monte Carlo Sampling
[NO] 224/706 | G2-SDF: Geometry-Guided Neural Signed Distance Field for Space Target Reconstruction
[NO] 225/706 | Multi-View Images Suffice 3D Reasoning Through Chain-of-Thought Selection and Question-Guided Fusion
[NO] 226/706 | DFLBN: A Dynamic Fuzzy Learnable Brain Network for Brain Age Estimation
[NO] 227/706 | Wafer-Level Micromachined All-Glass Atomic Vapor Cells
[NO] 228/706 | LLM-Enhanced Multi-Agent Reinforcement Learning with Expert Workflow for Real-Time P2P Energy Trading
[NO] 229/706 | Constraint-Adaptive Reinforcement Learning for Large-Scale Power System Planning
[NO] 230/706 | HybridSphere: Enhancing Hybrid Meetings with Avatar-Based VR Environments_supp1-3679908.mp4
[NO] 231/706 | Zero-Shot Open Circuit Fault Diagnosis of Converter Based on Prior-Knowledge Injected Dual Bayesian Network With Attention Mechanism
[NO] 232/706 | Malware Image Classification Based on Lightweight VisionTransformer and Progressive FocalLoss
[NO] 233/706 | DLKD-FL: Dynamic Layer-wise Aggregation with Knowledge Distillation for Personalized Federated Learning
[NO] 234/706 | Energy-Efficient Resource Management in Microservices-Based Fog and Edge Computing: State-of-the-Art and Future Directions
[NO] 235/706 | Influence of Dust Storm Cell Size on the Microwave Attenuation Prediction Method
[NO] 236/706 | Photonic Crystal Based Biosensor for Early Detection of Breast Cancer Using Genetic Approach: A Review
[NO] 237/706 | Bridging the Gap: Exploring Gender Differences in eSanjeevani Adoption in Kerala
[NO] 238/706 | Inventory Control Using a Drifted Poisson Process: Applicability to Actual Intermittent Demand Data
[NO] 239/706 | FHE-MENNs: Opportunities and Pitfalls for Accelerating Fully Homomorphic Private Inference with Multi-Exit Neural Networks
[NO] 240/706 | Adaptive Quantum-Based Least Mean Fourth Control for Multisource Isolated Three-Phase Microgrids: Experimental Analysis and Performance Evaluation
[NO] 241/706 | Heterogeneous Privacy-Preserving Federated Learning for Edge Intelligence
[NO] 242/706 | Toward Multi-Dimensional Quality Assessment of AI-Generated Images via Prompt-Guided Relational Learning
[NO] 243/706 | Exploring MLLMs Perception of Network Visualization Principles_supp1-3681983.pdf
[NO] 244/706 | Reduced Maximum Curvature-Based Linear Path Smoothing Method with Enhanced Kinematic Performance for 6R Robot Manipulators
[NO] 245/706 | Reducing annotation effort in patient-ventilator asynchrony detection with distance-based clustering
[NO] 246/706 | Design and Analysis of a Novel In-Wheel Machine-Based Powertrain for HTS Maglev Systems
[NO] 247/706 | Beam Squint Mitigation in Wideband Hybrid Beamformers: Full-TTD, Sparse-TTD, or Non-TTD?
[NO] 248/706 | Design and Performance of a 10 GHz HTS He-FIB JJ Mixer on LSAT Substrate
[YES] 249/706 | eXAI-CodeDebug: Towards Reliable, Trustworthy, and Explainable LLM-Based Coding for Production Systems
[NO] 250/706 | A Cost-Efficient LDO Regulator Using a Dual-Loop Low-Impedance Buffer and a PT-Compensated Bias based on the Current-Subtraction Technique
[NO] 251/706 | Investigating Cryptocurrency-Enabled Illicit Activities on the Arabic Deep/Dark Web
[YES] 252/706 | Error-Driven Prompt Optimization for Arithmetic Reasoning
                    <i>A Code Generation Approach Using On-Premises Small Language Models on Tabular Data</i>
[NO] 253/706 | Multiple Depot Split Delivery Vehicle Routing Problem with Separate Backhaul and Linehaul Customers
[NO] 254/706 | Power to Women: Leveraging Blockchain Technology for Sustainable Livelihood Enhancements in Fishing Communities
[NO] 255/706 | Barriers to Meta AI Adoption Among Gen Z Women: A Study Based on Innovation Resistance Theory
[NO] 256/706 | Revolutionizing Women's Healthcare: Early UTI Prediction Using Machine Learning
[NO] 257/706 | Case Study: RISC-V Cores for Resource-Constrained Computing Systems Facing Neutrons
[NO] 258/706 | Explainable AI for Autonomous Systems: A Framework for Trustworthy Decision-Making
[NO] 259/706 | A Hybrid Deep Learning Framework for IoT Network Attack Classification Using Multi-Head CNN and GNN
[NO] 260/706 | Fault Prediction for Power Information Systems Based on Hierarchical Vertical Federated Contrastive Learning
[NO] 261/706 | Symptom-Aware Adaptation of CLIP for Few-Shot Medical Image Classification
[NO] 262/706 | A Study on Improving Superconducting Machine Performance by Focusing on End Windings
[NO] 263/706 | Boosting Instance Awareness Via Cross-View Correlation With 4D Radar and Camera for 3D Object Detection
[NO] 264/706 | A Radially Outward Extended Permanent Magnet Overhang Technique for Electromagnetic Performance Enhancement in Permanent Magnet Machines
[NO] 265/706 | Optimization-Based Robust Control for Momentum Wheel Systems Subject to Large-Scale Power Supply Fluctuations
[NO] 266/706 | Holo-Code: A Robust and Statistically Lossless Holographic Watermarking Framework for AIGC in Cloud-Edge IoT
[NO] 267/706 | From Uncertainty to Decision: An Intelligent Predictive Maintenance Approach Leveraging Fuzzy Bayesian Networks for Critical IT Components
[NO] 268/706 | Energy- and Area-Efficient MTJ-Based Nonvolatile Register with a Differential Information Storing Scheme
[NO] 269/706 | Statistical Diagnostics and Forecast Accuracy: Comparing Time-Series, Machine-Learning, and Hybrid Models for Drug Sales
[NO] 270/706 | Ensemble Image and Text for Unsupervised Domain Adaptation Using Vision Language Models
[NO] 271/706 | A Novel Doppler Resilient Waveform Design for MIMO Radar Based on Complete Complementary Codes and Zero Correlation Zone Sequence Sets
[NO] 272/706 | Linear-Exponential Decay Frequency Curve for Unit-Specific Response in Frequency-Constrained Unit Commitment
[NO] 273/706 | Fast Algorithm for Zernike Moments Invariants in Scene Matching
[NO] 274/706 | Hidden-Uncertainty Assessment via Non-Verbalized Signatures for LLM Medical QA_supp1-3682338.mp4
[NO] 275/706 | An Analysis of Time-Domain Period Jitter due to Random Telegraph Noise in Phase-Locked Loops
[NO] 276/706 | A Systematic Literature Review on Digital Activism: Empowering Women Through Technology in Developing Countries
[NO] 277/706 | Trade-Space Exploration Analysis for a System Incorporating Parametric Cost Mathematical Models: A Case Study of Satellite Anomalies
[NO] 278/706 | Empowering Women Entrepreneurs Through Blockchain-Enabled Credit Guarantee Schemes: A Bibliometric Analysis
[NO] 279/706 | MicroMaps: Ontology-Driven Semantic Geospatial Data Fusion Approach for IoT Integration and Decision Making in Smart
[NO] 280/706 | Handover Algorithm for UAV-BS 5G Network
[NO] 281/706 | Towards Smart Farming an IoT Based Optimized Agriculture System
[YES] 282/706 | Evaluating an Analog Test Pattern Generation Tool by Means of Hardware-Emulated Fault Injection
[NO] 283/706 | Case Study: A Robust Bootloader System with Support for Over-the-Air Firmware Updates in CubeSat Payloads
[NO] 284/706 | Hypothesis Testing on the 3D-DFT of Backward Compatible FMCW-OFDM for V2X ISAC
[NO] 285/706 | Phase Laser Ranging Radar Based on IoT Communication
[NO] 286/706 | SDN Based Firewall Using RYU Controller
[NO] 287/706 | Digital Conservation and Gender Dynamics: Exploring Technological Interventions in the Preservation of Paraya Art-Form 'Karinkali'
[NO] 288/706 | AI-Based TEL Tools in Classroom: Exploring Challenges of Secondary School Teachers
[NO] 289/706 | LHR-SN: A SuperNet-Aware Layered Hybrid Routing Protocol with Bordercasting
[NO] 290/706 | A Mobile Crowdsourced Perception Method for Dynamic User Selection Based on UKF- LSTM Parallel Fusion
[NO] 291/706 | 2025 IEEE 14th International Workshop on Computational Intelligence and Applications (IWCIA)
[NO] 292/706 | Enhancing Project Portfolio Risk Response Decision: A Distributed Approach Considering Inter-Project Failure Correlation_supp1-3684828.docx
[NO] 293/706 | A Compact PCB-Integrated Inductive Six-Axis Force/Torque Sensor
[NO] 294/706 | Biogenic synthesis of Ag/AgCl nanoparticles from Schinus molle ethanolic extracts: evaluation of their antibacterial and antifungal activity against broccoli pathogens
[NO] 295/706 | Front Cover Page
[NO] 296/706 | The New Era of Sensory Augmentation
[NO] 297/706 | Functional Integration of Power Electronics and Electric Machines Enabling High-Power Density Electric Drives
[NO] 298/706 | SUA-YOLO: A Novel YOLO-based Algorithm for Detecting Dense Small Objects from a Low-altitude UAV Perspective
[NO] 299/706 | On Graph Design for GNN-based Network Anomaly Detection
[NO] 300/706 | Quantifying Power Disturbance Tolerance to Guarantee Voltage Security in DC Microgrids
[NO] 301/706 | RWKV4Rec: RWKV-Based Personalized Sequential Recommendation Model
[NO] 302/706 | Ideology-Based LLMs for Content Moderation
[NO] 303/706 | Guidestar-Free Adaptive Optics with Asymmetric Apertures
[NO] 304/706 | Dispersion Compensated and Multimode Dielectric Waveguide Interconnects
[NO] 305/706 | QFL-SecEdge: A Quantum Federated Learning Framework with Post-Quantum Cryptographic Task Distribution for Ultra-Reliable Mission-Critical 6G-IoT Networks
[NO] 306/706 | TechRxiv: Share Your Preprint Research with the World!
[NO] 307/706 | IEEE Collabratec
[NO] 308/706 | Experimental Topological Analysis in Next-Generation Data Center Networks: STRAT and Clos Topologies
[NO] 309/706 | Characterization of a Fault-Tolerant RISC-V SoC in an SRAM-based FPGA Under Proton Irradiation
[YES] 310/706 | Towards Reliable and Scalable Firmware Testing in Communication-Constrained Environments
[NO] 311/706 | Reinforced Learning Algorithm for Efficient Energy Tracking in Peer-to-Peer Energy Trading
[NO] 312/706 | Developing SMARThealth Pregnancy (SHP)GPT: Addressing Gender Bias in LLM for Community Health Workers in Rural India
[NO] 313/706 | AI-Enabled Applications for Disaster Management: Revisiting the Social Construction of Gender Norms in Disasters
[NO] 314/706 | Ethical Implications of Technology: Gender and AI use in Brazilian Education
[NO] 315/706 | A Semi-Markov Decision Process Approach to American Option Pricing with Sojourn Time Dependence
[NO] 316/706 | Preventive Maintenance Policies for Linear Connected-(1,2)-or-(2,1)-out-of-(n
                    <sub>1</sub>
                    , n
                    <sub>2</sub>
                    : F Systems
[NO] 317/706 | Performance Analysis of PIN and APD Photodetectors in an Optical Communication System under Adverse Conditions
[NO] 318/706 | A Critical Study of Soft Pseudo-Labels for Semi-Supervised Medical Image Segmentation
[NO] 319/706 | System Construction of Application-Layer Defense and Risk Traceability Driven by RASP
[NO] 320/706 | Deepfake Face Image Detection With Enhanced Generalization: An Optimized VGG16 Approach Using Diverse Datasets
[NO] 321/706 | Low-Cost Solar PV Data Logger for Off-Grid Monocrystalline Panels: Design and Performance Analysis
[NO] 322/706 | PID-Controlled Temperature System Using Arduino for Portable Virus Detection Application
[NO] 323/706 | Optimization of Tactical Microgrid via Integrated LSTM-Q-Learning Models
[NO] 324/706 | The Classroom Mob Programming Game
[NO] 325/706 | An Integrated Control Framework for Chemically Coupled HR Neural Network and Its Application
[NO] 326/706 | Hidden-Uncertainty Assessment via Non-Verbalized Signatures for LLM Medical QA_supp2-3682338.pdf
[NO] 327/706 | A Multi-Sensor Fusion System for Rail Side Detection Using LiDAR , Inertial Measurement Unit and GPS Data based on Two-Stage Machine Learning Framework
[NO] 328/706 | Density-Based Adaptive Protection for HVDC Transmission Lines Using Statistical Learning and Proactive Control
[NO] 329/706 | Topological Prior-Embedded Spatial-Temporal Tensor Approximation Model for Infrared Small-Target Detection
[NO] 330/706 | Orthogonal Time-Frequency Space Modulation with DFT Precoded Filter Bank Multicarrier
[NO] 331/706 | ESCM: A Toolkit for Efficient and Secure Outsourced Computation with Multiple Keys
[NO] 332/706 | A Quantum-Resistant Authentication and Key Agreement Protocol for UAV Networks
[NO] 333/706 | Load Balancing Routing Technique for LEO Satellite Networks Based on Regional Partitioning
[NO] 334/706 | Testing Cluster Structure of Graphs
[NO] 335/706 | Temporal Data and Short-Time Averages Improve Multiphase Mass Flow Metering
[NO] 336/706 | CGFMamba-PCR: Color-Geometric Fusion Mamba based Color Point Cloud Registration
[NO] 337/706 | Multi-Port Thévenin–Norton Equivalents With Internal Complex Power: A Circuit-Theoretic Framework
[NO] 338/706 | Integrated Fault-Tolerant Strategy of Brushless Doubly-Fed Induction Generator-DC System Under Control Winding Open-Phase Fault
[NO] 339/706 | An Efficient
                    <i>K</i>
                    -way Constrained Normalized Cut and its Connection to Algebraic Multigrid Method
[NO] 340/706 | Teaching software testing with role-play games
[NO] 341/706 | Descriptor: Parasitoid Wasps and Associated Hymenoptera Dataset (DAPWH)
[NO] 342/706 | Completely Split-KalmanNet: A Novel Hybrid Model-Based and Data-Driven Method for GNSS/IMU Integration
[NO] 343/706 | GPU-accelerated high-resolution geostationary-satellite-based atmospheric motion vector retrieval
[NO] 344/706 | Bootstrap Wayfinding Questions to Elicit Emotion Shift Reasoning with Large Language Models_supp1-3684445.pdf
[NO] 345/706 | Addressing the Gender Digital Divide to Improve Income Generation in Ransai Village, Maharashtra
[NO] 346/706 | Heartbeat Sound Analysis for Heart Disease Diagnosis Using Long Short-Term Memory Networks
[NO] 347/706 | AI-Empowered mm-Wave Antenna Design
[NO] 348/706 | Blockchain-Enabled Cybersecurity Framework for Industrial Supply Chains Using Machine Learning
[NO] 349/706 | The Future of Gender Data: Navigating Ethical Frontiers in the Age of AI and Big Data
[YES] 350/706 | Deep Learning-Based Power Side-Channel Evaluation from RTL Switching-Activity Proxies
