[2026-03-03 09:29:17] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-02
正在获取论文...
[arXiv] 2026-03-02 | Bimanual XR Specification of Relative and Absolute Assembly Hierarchies for Teleoperation
[NO] 1292/1882 | Optimization of Scenario-Adaptive Vectorization for Cholesky Decomposition on DSP
[YES] 1293/1882 | User Requirement Understanding Based on Large Language Models for Large Constellations
[NO] 1294/1882 | A Comprehensive Review of AI-Driven Emotional Companions in Digital Reading
[NO] 1295/1882 | A Blockchain-based Decentralized Low-carbon Electric Vehicle Charging System
[NO] 1296/1882 | AquaTera: Sub-Terahertz Wireless to Enable Air-Water Communication
[NO] 1297/1882 | Application and Evaluation of Stable Diffusion-Based Generative AI in the Digital Reconstruction of Cultural Heritage Patterns
[NO] 1298/1882 | Sponsors
[NO] 1299/1882 | Diversity-Aware Attention Transformer for Text Anomaly Detection in Suicidal Ideation
[NO] 1300/1882 | A Novel Detection Approach for Quasi-Convex Quadrilateral Aircraft Covers
[NO] 1301/1882 | MLCIPR 2025 Preface
[NO] 1302/1882 | Delay-Aware Cross-Modal Knowledge Distillation for Driver Vigilance Estimation: Toward Practical Edge Deployment
[NO] 1303/1882 | In-depth Understanding of Partial Discharge Performance of High Voltage Power Modules with Chain-equivalent Circuit Model
[NO] 1304/1882 | From Policy to Practice: A Sector-Agnostic Operational Framework for Post-Quantum Cryptography Transition
[NO] 1305/1882 | Multi-source Unsupervised Domain Adaptation Fundus Lesion Segmentation of Various OCT Devices with Moment Consistency
[NO] 1306/1882 | Whole-Process Evolutionary Heterogeneity Analysis for Glioblastoma Radiotherapy Response Prediction
[NO] 1307/1882 | Jamming Exploitation-Enabled Covert Transmission in Satellite-Aerial-Terrestrial Networks: Countering Adversaries With Their Own Methods
[NO] 1308/1882 | Multi-Domain Supervised Contrastive Learning for UAV Radio-Frequency Open-Set Recognition
[NO] 1309/1882 | STARDIS: Strategic Scheduling and Deceptive Signaling for Satellite Intrusion Detection System Deployment
[NO] 1310/1882 | Performance Comparison of Aerial RIS and STAR-RIS in 3D Wireless Environments
[NO] 1311/1882 | Hailo-8L-Accelerated Embedded Framework for Bladder Carcinoma Detection Using Distilled YOLO Models
[NO] 1312/1882 | Towards a Secure Future: An Integrated Framework for PII Detection Using NLP and Visual Analysis
[NO] 1313/1882 | A Partial-Winding-Excited Shunt Based Integrated Transformer with Single-Side Independent and Primary-Secondary Interleaved Hybrid Winding Structure
[NO] 1314/1882 | A Unified Multi-Task Architecture for Suicide Risk Detection via Attention-Based Decision and Cause Sentence Extraction
[NO] 1315/1882 | Multi-Switched-Bus Buck Converter for High-Peak-Current 48-V VRM Applications: Theory and Design Methodology
[NO] 1316/1882 | Exhaustive Structure Learning of R-Vine Copula Models for Analyzing Multiband Spectrum Utilization in Mobile Communications
[NO] 1317/1882 | A Diffusion Model and Few-Shot Learning Framework for EEG Abnormality Classification and Cerebral Infarction Assessment
[NO] 1318/1882 | Sandwich Jamming-Based Variable Stiffness Structures With User-Defined Degrees of Freedom for Soft Wearable Devices
[NO] 1319/1882 | A combined network model-based abnormal data compensation method for enhanced electrical impedance tomography
[NO] 1320/1882 | Conducted Common Mode Emission Analysis of a Three-Port Modular Multiactive Bridge System
[NO] 1321/1882 | ICATEI 2025 Cover Page
[NO] 1322/1882 | ICATEI 2025 Author Index
[NO] 1323/1882 | Demo: MUFASA - Localized Flood Sensing and Alerting via Autonomous Millimeter-wave Wireless
[NO] 1324/1882 | Deep Learning Approaches for Alzheimer's Disease Diagnosis: a Comprehensive Review
[NO] 1325/1882 | Improving Generalization in MRI-Based Deep Learning Models for Total Knee Replacement Prediction
[NO] 1326/1882 | A Multimodal Ensemble Learning Framework for Parkinson’s Disease Detection &amp; Staging in Neurodegenerative Disorder
[NO] 1327/1882 | Sentiment Analysis for Brand Reputation Using ML and Fuzzy Systems
[NO] 1328/1882 | Scalable Noise-Resilient Hybrid Quantum–Classical Generative Models for Advanced AI Applications
[NO] 1329/1882 | Design and Simulation of a CubeSat for Natural Disaster Detection Using Environmental Sensors
[NO] 1330/1882 | Effective Connectivity Alterations within the Cortico–Basal Ganglia Circuit Associated with Motor Skill Learning
[NO] 1331/1882 | MobMetrics: A Modular Architecture for Computing and Visualizing Mobility Metrics
[NO] 1332/1882 | IoT Smart Door Lock with Wireless Key Sharing for Short Term Multi-Level Building Access
[NO] 1333/1882 | An X-Band CMOS Class-F
                    <sub>23</sub>
                    QVCO-Based PLL Using Drain-Capacitor-Coupled Technique
[NO] 1334/1882 | Integrating FusionNet-4 and WWGWO: A Novel UAV-Based Approach to Multi-Class Natural Disaster Classification
[NO] 1335/1882 | Comparative Evaluation of Deep Learning Architectures and Ensemble Strategies for Accurate Brain Tumor Segmentation
[NO] 1336/1882 | GCT-LICalib: Targetless Online LiDAR–IMU Calibration via Ground Plane Motion Constraints and Continuous-Time Optimization
[NO] 1337/1882 | Data driven approach for the electric vehicle charging using supervised machine learning
[NO] 1338/1882 | Virtual Modeling and Simulation of DC Motor Dynamics
[NO] 1339/1882 | A Privacy-Preserving Blockchain and Federated Learning Model with Cryptographic Enhancements for IoT Security
[NO] 1340/1882 | Early Detection of Atrial Fibrillation using Real-Time Healthcare Analytics
[NO] 1341/1882 | Smart Assistive System for Pothole Screening using Lightweight CNN with Alert Generation
[NO] 1342/1882 | Enhancing Smart Grid Stability Using Adaptive Nonlinear PID Control
[NO] 1343/1882 | Sentiment Classification of Gofood Reviews with IndoBert: A Case Study of Food Ordering Apps in Indonesia
[NO] 1344/1882 | Generation of Synthetic Data of Barley Grass Growth using Generative Adversarial Network
[NO] 1345/1882 | Improving the Accuracy and Reliability of Autonomous Vehicle Navigation Through Deep Learning Innovations
[NO] 1346/1882 | Multi-Variable Genetic Algorithm Optimization of Algal Bioethanol Production: A Dual-Strain Simulation Approach
[NO] 1347/1882 | An AI-Assisted Approach to Patient-Specific 3D Modeling and Stress Analysis of the Temporomandibular Joint from CBCT Images
[NO] 1348/1882 | Force-Length Behavior in Dynamic Exercise
[NO] 1349/1882 | Multi-Objective Deep Reinforcement Learning for Personalized Autonomous Driving: Advances, Challenges, and Future Directions
[NO] 1350/1882 | Comprehensive Design and Analysis of Overcurrent Relay Protection and Coordination for a 220 MW Grid-Connected Power Plant
[NO] 1351/1882 | Bridging the Gap: Patient Education and Self-Management in Knee Osteoarthritis
[NO] 1352/1882 | Generalized Class-X Power Amplifier Operating Under Inverse Class-E Harmonic Constraints
[NO] 1353/1882 | A Peer-to-Peer Blockchain Protocol for Secure and Anonymous V2G Energy Trading
[NO] 1354/1882 | Implementation of RAFT Algorithm and BadgerDB to Improve Data Transactions in Multi Group Sharded Cluster
[NO] 1355/1882 | Improved Efficiency of Selective Active Filtering of the Dominant Harmonic Currents Using a Robust PQ Technique-Based Single-Phase APF
[NO] 1356/1882 | Quantifying the Impact of Data Scale and Quality on Neural Machine Translation for Low-Resource Language Pair
[NO] 1357/1882 | Breast Cancer Classification Using Digitized Mammograms with Deep Convolutional Neural Networks
[NO] 1358/1882 | Addressing Class Imbalance Using Difficulty-based Oversampling with Variance Control
[NO] 1359/1882 | Modeling method for multi hazard coupling in power distribution system
[NO] 1360/1882 | Mesoscopic Behavior of Single-Carrier Avalanche in Narrow-Bandgap Semiconductors
[NO] 1361/1882 | SDS 2025 Copyright
[NO] 1362/1882 | EMPC-RIS: Failure Diagnosis Method for Reconfigurable Intelligent Surfaces Based On Electromagnetic Physical Constraints
[NO] 1363/1882 | Conference Calendar
[NO] 1364/1882 | Speech Recognition for Access Control: A Comparative Analysis of MFCC and PLP Features using CNN-Based Classification
[NO] 1365/1882 | 3D Construction and Realignment of Object for Interaction in Metaverse Space
[NO] 1366/1882 | Designing Iot-Enabled Automatic Inventory Management System for Business Purposes
[NO] 1367/1882 | Finite Element Study on Bone Quality and Boundary Conditions
[NO] 1368/1882 | Physics-Guided BiLSTM-Attn Network for RCS Prediction of Non-Standard Road Targets
[NO] 1369/1882 | Efficiency Assessment of Human Motion Detection with Multi-Class SVM Approach
[NO] 1370/1882 | A Holistic Survey of IoMT Security: Integrating Machine Learning, Federated Learning, and Explainable AI
[NO] 1371/1882 | ACP-Net: A Steel Defect Detection Network Based on Multi-Scale Fusion and Precise Localization
[NO] 1372/1882 | MEDCOM 2025 Title Page
[NO] 1373/1882 | GazeSummary: Exploring Gaze as an Implicit Prompt for Personalization in Text-based LLM Tasks
[NO] 1374/1882 | Mirror in the Sky: Democratizing Continent-Scale IoT Connectivity via Amateur Satellites
[NO] 1375/1882 | Energy Efficient and Conflict-Free Path Planning for Autonomous Mobile Robot Fleets via Obstacle Persistence Evaluation and Smart Zoning
[NO] 1376/1882 | Multivariate Fractal Autoencoder (MFAE): Sparse Sensor Placement via Cross-Variable Synergy for Ocean Data Reconstruction
[NO] 1377/1882 | P
                    <sup>2</sup>
                    DNet: A Physics-Constrained Dual-Branch Network for Underwater Polarimetric Image Restoration
[NO] 1378/1882 | Scalable UAV Multi-Hop Networking via Multi-Agent Reinforcement Learning with Large Language Models
[NO] 1379/1882 | Distributionally Robust Kalman Filter under Likelihood Model Mismatch from an Optimization Perspective - Part II : Extension and Application to Cooperative Localization
[NO] 1380/1882 | IEEE Transactions on Fuzzy Systems Publication Information
[NO] 1381/1882 | Zero DC-Bus Voltage Occupation Variable Amplitude Signal Injection Method for IPMSM Sensorless Control Through Maintaining Current Sampling Noise Stationarity
[NO] 1382/1882 | Enhanced SIRRT*: Structure-Aware RRT* with Hybrid Smoothing and Bidirectional Rewiring
[NO] 1383/1882 | 2025 International Conference on Mechatronic Engineering and Artificial Intelligence (MEAI)
[NO] 1384/1882 | FasterEEG: Adaptive Channel and Model Size Optimization for Efficient Brain Decoding
[NO] 1385/1882 | Export Controls and Strategic Adaptation in Global Supply Chains
[NO] 1386/1882 | Collaborative Feedback Discriminative Propagation for Video Super-Resolution_supp1-3668757.mp4
[NO] 1387/1882 | Towards Generating Realistic 3D Semantic Training Data for Autonomous Driving
[NO] 1388/1882 | Graph Contrastive Learning with High-Order Relations for Hyperspectral Image Clustering
[NO] 1389/1882 | Privacy-Aware Resource Collaboration for Secure UAV-Assisted Federated Edge Learning Systems
[NO] 1390/1882 | MA-Aided Integrated Sensing and Covert Communication Systems
[NO] 1391/1882 | SiaTalker: Siamese Emotion Injection for Coarse-to-Fine Speech-Driven 3D Facial Animation_supp1-3663586.mp4
[NO] 1392/1882 | Evaluating Irradiated TRISO Fuel’s Impact on Detector Signal During X-ray Computed Tomography Scans
[NO] 1393/1882 | IEEE EPICS
[NO] 1394/1882 | HeadRouter: A Training-free Image Editing Framework for MM-DiTs by Adaptively Routing Attention Heads
[NO] 1395/1882 | Hybrid Wavelet Bi-LSTM Model for Stable Short-Term Wind Power Forecasting
[NO] 1396/1882 | Zero-Shot Knowledge Graphs from Handwritten Notes with LLMs and OCR
[NO] 1397/1882 | An Ensemble Based Predictive Analysis for Chronic Kidney Disease with Quantum Neural Networks
[NO] 1398/1882 | Feature-Conditioned WGAN for Generating Alzheimer's EEG: Enabling GAN-Based Synthesis Under Data Scarcity
[NO] 1399/1882 | An Efficient Path Planning Approach with Improved A* Algorithm based on DEM
[NO] 1400/1882 | Estimating Ground-Level Air Quality Index from Satellite Imagery: A Data-Driven Approach
[NO] 1401/1882 | Comparative Analysis of Preictal–ictal Synchronization Techniques for EEG-Based Seizure Classification
[NO] 1402/1882 | Quantitative Assessment of Data Analytics Applications in Remote Patient Monitoring and Management: A Case-Based Experimental Framework
[NO] 1403/1882 | Sentiment Analysis in Finance: Predicting Market Trends with Artificial Intelligence
[NO] 1404/1882 | Experimental Investigation of Mass Removal Methods for High-Performance Cantilever Sensors
[NO] 1405/1882 | LLMs Powered Storytelling Frameworks Using Text Generation and Image Generation Models
[NO] 1406/1882 | Multiband Terahertz MIMO Antenna with Enhanced Isolation for IoT and 6G Wireless Communication
[NO] 1407/1882 | Energy-Efficient Motion Detection Algorithm for Intelligent Security and Surveillance Applications
[NO] 1408/1882 | A Memory-Augmented Regression System for Concept Drift Adaptation
[NO] 1409/1882 | Enhancing Brain Tumor Classification Accuracy through Multi-Modal MRI Analysis and Advanced Ensemble Deep Learning
[NO] 1410/1882 | Improving Clinical Trust via SHAP-Based Interpretability in Early Polycystic Ovary Syndrome Detection
[NO] 1411/1882 | MAGA, Trump, and Tweets: Analyzing Public Opinion Ahead of the 2024 U.S. Presidential Election Using LDA and Dendrogram Analysis
[NO] 1412/1882 | An Optimized SVD-Based Spread Spectrum Audio Watermarking Scheme for Enhanced Robustness and Imperceptibility
[NO] 1413/1882 | A Freezing Transfer and Coordinate Attention Based Method for PCB Defect Detection
[NO] 1414/1882 | Evaluating Communication Models for Scalable IoT-Cloud Integration
[NO] 1415/1882 | 26.6-33.6 GHz CMOS Up-Conversion Mixer for Ka-Band LEO SATCOM UT Transmitter
[NO] 1416/1882 | A Decentralized and Secure IoT Access Control Model Using Blockchain, Federated Learning, and Cryptography
[NO] 1417/1882 | Recent Breast Cancer Categories, Detection Techniques, and Recommended Treatments
[NO] 1418/1882 | Data-Driven Classification and Spatial Clustering of Stunting Cases in Rural Indonesia
[NO] 1419/1882 | Designing Hyperchaotic Robust 2D Chaotic Map Using 1D Sine Map for Image Encryption
[NO] 1420/1882 | A Comparative Study on QPSK, 8QAM, and 16QAM Modulation Schemes for Optical Fiber Communication
[NO] 1421/1882 | DMLLNet: A Structural Complexity-Driven Registration Network for High-Resolution SAR-Optical Images
[NO] 1422/1882 | Skin Thermomechanical Modeling: Assessing the Influence of Water and Ambient Air
[NO] 1423/1882 | Biomechanical Analysis and Comparison of Lumbar Spine Fixation: A Finite Element Analysis
[NO] 1424/1882 | Construction of an indoor natural light target position illuminance prediction model based on machine learning
[NO] 1425/1882 | Evaluating the Challenge of RE Integration in Small Power Grid by Optimizing Unit Commitment
[NO] 1426/1882 | Research on Attention-enhanced Pavement Pothole Instance Segmentation
[NO] 1427/1882 | Guided Perception and Adaptive Dual-IMM Filtering for Robust Extended Object Tracking
[NO] 1428/1882 | A Pretraining-Based Deep Learning Framework for Protein Mutation Effect Prediction
[NO] 1429/1882 | Deep Learning and Fuzzy Entropy in Parkinson's Diagnosis: A Framework Based on Task-Based EEG Signals
[NO] 1430/1882 | A study of inertial navigation road detection by unmanned multi-source heterogeneous sensors
[NO] 1431/1882 | Tomography Versus Conventional Pulse-Echo Technique
[NO] 1432/1882 | AI Powered Multiagent Workflow for Vernacular Technical Short Film Production
[NO] 1433/1882 | Evaluation of DDoS Attack Detection in IoT Systems using Machine Learning Techniques
[NO] 1434/1882 | Dempster-Shafer combination rule for multi-sensor data fusion driven by Zero Trust Security over IIoT (DS-MSDF)
[NO] 1435/1882 | A Fine-Tuned GoogleNet and ShuffleNet V2 for Non-Invasive Diabetes Detection Using Photoplethysmography Signals
[NO] 1436/1882 | A Novel AR-Based Kalman Filtering Framework for ECG Enhancement
[NO] 1437/1882 | Design of Multi-Source Data Fusion Target Recognition System Based on Deep Learning
[NO] 1438/1882 | S-PPR: A Semantic-aware Personalized PageRank Framework for Academic Author Recommendation
[NO] 1439/1882 | Optimized Hybrid Framework of DenseNet121 and MPCNN for Early Gastric Cancer Detection in Histopathological Imaging
[NO] 1440/1882 | A Robust Feature Selection Model for Adaptive E-Learning Recommender Systems
[NO] 1441/1882 | Touchless Control Interface Using Mediapipe and Kalman Filter
[NO] 1442/1882 | Design of High-Speed Communication Simulation Interface System Based on FPGA
[NO] 1443/1882 | Comparative Analysis of Dataset Balancing and Augmentation Techniques for Pedestrian Action Recognition Using the JAAD Dataset
[NO] 1444/1882 | Vision Transformer with Mixture-of-Head Attention and Memory Bank for Industrial Anomaly Detection
[NO] 1445/1882 | Who Knows What? Semantic Negotiation for Human-Supervised RAN Agentic Coordination
[NO] 1446/1882 | Towards Smart Wireless Power Transfer Through a Localizing and Beam-Focusing Magnetic Metasurface
[NO] 1447/1882 | DEMO: CellWatch
[NO] 1448/1882 | Infinite Families of Optimal Codes Over Non-unital Non-commutative Rings From Simplicial Complexes
[NO] 1449/1882 | UAV-Based Jamming Detection for Large Language Model-Enabled Wireless Networks
[NO] 1450/1882 | IAS ESTMP
[NO] 1451/1882 | Congratulations to the Class of 2026 IEEE IAS Fellow Members [Awards]
[NO] 1452/1882 | Program Book
[NO] 1453/1882 | A 1.16 e-rms Temporal Random Noise, 123-dB High Dynamic Range, 2.988-
                    <i>μ</i>
                    m Pitch 3-Mpixel Three-Stacked Digital Pixel Sensor for Versatile Applications
[NO] 1454/1882 | AI-Empowered Multivariate Probabilistic Forecasting: A Key Enabler for Sustainability in Open RAN
[NO] 1455/1882 | AEZGO: A novel approach for mapping mangrove canopy height using UAV lidar data and Sentinel-2 images
[NO] 1456/1882 | YOLO-AUG: Enhancing Wildlife Monitoring on Far-Edge Devices with Dynamic Color-Space Augmentation and Efficient Learning
[NO] 1457/1882 | <i>SEC</i>
                    : Enabling MLLMs for Low-Latency IoT Video Analysis via Semantic-Aware Edge-Cloud Collaboration
[NO] 1458/1882 | APULSE: A Scalable Hybrid Algorithm for the RCSPP on Large-Scale Dense Graphs
[NO] 1459/1882 | PalmRachis-BiLSTM-Attn: An Anatomically Guided Explainable Deep Learning Framework for Spatial–Temporal Progression Modeling of Date-Palm Leaf Diseases
[NO] 1460/1882 | BioFPT: Biosignal Feature Pyramid Transformer for self-supervised representation learning from ECGsignals
[NO] 1461/1882 | Risk-Constrained Learning of Personalized Driving Behaviors for Autonomous Vehicles
[NO] 1462/1882 | Towards Sports Betting as a Financial Asset: An Investigative Analysis of Risk, Investment Potential, and Future Perspectives
[NO] 1463/1882 | Evaluating Critical Barriers to Industry 4.0 Adoption in the Thai Automotive Sector Using an Integrated Fuzzy BWM-PROMETHEE II-DEMATEL Framework
[NO] 1464/1882 | Table of Contents
[NO] 1465/1882 | Automated Load Forecasting in Power Systems Using Deep Learning Models with LSTM Networks
[NO] 1466/1882 | Advancing Autoencoders and Non-Local Means with Particle Swarm Optimization
[NO] 1467/1882 | Hybrid Fuzzy Density-Based Clustering and SARIMANARNet Model for Accurate Solar Irradiance Forecasting in Solar Energy Systems
[NO] 1468/1882 | An LSTM-XGB Feature Fusion Model Based on Dynamic Degradation Trends for Remaining Useful Life Prediction of Aero-Engines
[NO] 1469/1882 | Efficient 3D Reconstruction from Dual-View Perspective Images via Tri-Level Geometric Attention and Lightweight Channel Upsampling
[NO] 1470/1882 | Three-Phase LCL-filtered Quasi-Z Source Inverter with MIMO Sliding Mode Controller
[NO] 1471/1882 | Machine Learning Prediction of Properties across U Values and Phases: A Case Study on TiO
                    <sub>2</sub>
[NO] 1472/1882 | MSMTAN: A Multi-Scale Multi-Task Attention Network for Stock Trend Forecasting
[NO] 1473/1882 | Comparative Analysis of CFAR Algorithms using 77GHz Radar Sensor Data in FPGA Driven Implementation
[NO] 1474/1882 | Adaptive UAV Swarm Leader Selection Using a Fuzzy Logic Multi-Index Framework
[NO] 1475/1882 | Analysis on Utilizing Human-Centered Networks, an Experimental Verification of The Reserve Allocation Movement Process on Order Systems
[NO] 1476/1882 | An IoT Low-Cost Optical Sensor to Detect the Presence of Diluted Drugs in Water
[NO] 1477/1882 | Resonant Surface Acoustic Wave Sensors for in-Situ Monitoring of Cutting Forces in Turning Processes
[NO] 1478/1882 | An Ensemble Machine Learning and LLM-Augmented Framework for Real-Time Diabetes Risk Prediction and Lifestyle Guidance
[NO] 1479/1882 | High-performance diabetic retinopathy detection using MobileNetV3-Large with RGB and CLAHE fundus images
[NO] 1480/1882 | ADC-DSP-Based Wireline Receiver Datapath for Modern High-Speed SerDes
[NO] 1481/1882 | Iot Based Avoid Fire Accident EV Vehicle with Multiple Fault detection Using AI
[NO] 1482/1882 | AI-Assisted Design of a Reusable Piezoelectric Shoe Sole for Wearable Energy Harvesting
[NO] 1483/1882 | Energy-Efficient Comparator Architecture for Flash ADC using FinFET Technology in Radar Applications
[NO] 1484/1882 | Comparative Analysis A CNN-LSTM Deep Learning Model for Assessment and Remedial Placement of School Students
[NO] 1485/1882 | A Review of Visual Perception and Generation Technologies in Intelligent Transportation Scenarios
[NO] 1486/1882 | Hybrid 3D Dual-Path Transformer and Residual Attention U-Net for Efficient Brain Tumor Segmentation from MRI Scans
[NO] 1487/1882 | Wearable Biosensors for Continuous Monitoring of Physiological Signals: A Review and Future Perspectives
[NO] 1488/1882 | Productive Sentiment Analysis with Various Feature Extraction Techniques Using Machine Learning Classifiers
[NO] 1489/1882 | Navigating the New Frontier: Security Vulnerabilities in Social IoT Compared to Conventional IoT
[NO] 1490/1882 | Research on Visible-Infrared image fusion method based on deep learning
[NO] 1491/1882 | Bus Odyssey: The Intelligent College Bus Tracking Companion
[NO] 1492/1882 | A Channel-Selective, Bandwidth-Reconfigurable Wideband Low Noise Amplifier with Dual-Frequency N-Path Filters
[NO] 1493/1882 | Building 3D Images from 2D CT Slices: Insights into Pulmonary Diseases
[NO] 1494/1882 | Comparative Evaluation of Extractive Summarization Algorithms on Multi-Topic News Articles in Portuguese
[NO] 1495/1882 | Heart Rate Extraction of Moving Target with mm-Wave FMCW Radar and Depth Camera
[NO] 1496/1882 | The Impact of Custom Layer in CNN with GlobalAveragePooling2D and Dropout for Tomato Leaf Disease Classification
[NO] 1497/1882 | A Compact K-Band Power Amplifier Employing Transformer-Based Load Optimization for High PAE and Output Power Over a Wide Bandwidth
[NO] 1498/1882 | SmartECushion: Design of a solution to detect remote working postures based on sensors and Deep Learning models
[NO] 1499/1882 | Added Value of Synthetic T1/T2-Weighted MR Images in the Segmentation and Staging of Meningioma
[NO] 1500/1882 | Welcome Messages
[NO] 1501/1882 | A Real-Time Textile Defect Inspection System for Industrial Polyester Reinforcement Layers Based on YOLO and PLC-Driven Closed-Loop Control
[NO] 1502/1882 | Privacy-Preserving Multi-Class Skin Lesion Classification using Single-Shot Machine Unlearning and Noise Maximization
[NO] 1503/1882 | On-Line Distributed Model Predictive Scheduling for Multi-Vehicle Routing Problems With Lane-Change and Platoon Maneuvers
[NO] 1504/1882 | Short-Term Photovoltaic Power Prediction Based on Continuous Conditional Random Field
[NO] 1505/1882 | 2025 12th International Conference on Internet of Things: Systems, Management and Security (IOTSMS)
[NO] 1506/1882 | In-Memory-Computing For Machine Cognition at the Edge
[NO] 1507/1882 | Sustainable Edge Deployment of Consumer-Centric Digital Twins for Healthcare 5.0: A Resource-Efficient Optimization Framework
[NO] 1508/1882 | ECroA: Efficient Cross-Domain Authentication in Dynamic Digital Twins of Wireless Industrial IoT
[NO] 1509/1882 | MEDCOM 2025 Author Index
[NO] 1510/1882 | Preparation and Performance Optimization of ZnO Nanorod/PVDF-TrFE Composite Material and Its Application in Flexible Piezoelectric Sensors
[NO] 1511/1882 | Table of Contents
[NO] 1512/1882 | Mask Reconstruction via Kernel-Based Surrogate Modeling for Automated Circulator Design
[NO] 1513/1882 | Robust and Efficient Cooperative Perception Under Vehicle-to-Vehicle Communication Impairments
[NO] 1514/1882 | Encoder Circuit Optimization for Non-Binary Quantum Error Correction Codes in Prime Dimensions: An Algorithmic Framework
[NO] 1515/1882 | Uncertainty Propagation in GaN HEMT Small-Signal Models for Millimeter-Wave Circuit Design Applications
[NO] 1516/1882 | An Accurate Conformal Weakly Conditionally Stable FDTD Scheme and its Application on Electromagnetic Shielding Effectiveness Analysis
[NO] 1517/1882 | Poster: Bridging the Gap: E2SM-SENS for ISAC-Native O-RAN Architectures
[NO] 1518/1882 | Machine Learning Models for Optimizing Industrial Defect Prediction: Enhancing Accuracy and Computational Efficiency
[NO] 1519/1882 | A Modular Architecture for Inter-Fog Environments
[NO] 1520/1882 | Multi-Objective Adaptive MPC for Integrated Path Tracking and Obstacle Avoidance in Mobile Robots
[NO] 1521/1882 | Gravity-Directed Growth of ZnO Nanorods: Morphological Control via Chemical Bath Deposition
[NO] 1522/1882 | Ensemble Learning Framework for Predicting Medication Effectiveness based on Drug-Disease Association
[NO] 1523/1882 | LDAF-Net: A Lightweight Dual-Stream Attention Fusion Network for Ore Image Segmentation in Harsh Mining Environments
[NO] 1524/1882 | Network for Predicting Neoadjuvant Chemotherapy Response in Breast Cancer Patients
[NO] 1525/1882 | Mapping Epileptic Networks: IED-Triggered Hemodynamic Changes Identified via Simultaneous EEG-fMRI Recordings
[NO] 1526/1882 | Depression and Psychosis Using EEG-Based Machine Learning Models
[NO] 1527/1882 | Vision Transformer-Based Framework for Automated Melting Point Determination from Chemical Substance Images
[NO] 1528/1882 | Efficient Vector Search for RAG and Document Classification Using Principal Vectors
[NO] 1529/1882 | State of the Art an Hybrid Fast Deep Learning Approach:h-QGAN for Healthcare Image Data
[NO] 1530/1882 | Communication Security: Quantify Clock Jitter-Based Countermeasures Against Deep Learning Side-Channel Attacks
[NO] 1531/1882 | MediDT: Digital TwinBased Predictive Analytics for Personalized Patient Recovery
[NO] 1532/1882 | Computational Aspects of Nonlinear, Stochastic and Complex Pandemic Models with Vaccination
[NO] 1533/1882 | Role of Big Data Analytics in the Business Arena
[NO] 1534/1882 | A Novel Wideband Circular Microstrip Antenna Employing Slots and Parasitic Elements for 0.1 THz 6G Applications
[NO] 1535/1882 | Automated Text-to-Video Integration with Audio and Question Answer Generation
[NO] 1536/1882 | A Survey on Machine Learning-Based Fault Detection and Correction in Lithium-Ion Batteries using CatBoost Algorithm
[NO] 1537/1882 | Crisp Attention: Regularizing Transformers via Structured Sparsity
[NO] 1538/1882 | Multi-Objective Deep Reinforcement Learning with Fuzzy Evolutionary Reward Shaping for Pareto-Optimal Policy Optimization
[NO] 1539/1882 | YOLOv8 Optimization and Implementation for Small-Scale Object Detection in Drone Aerial Images
[NO] 1540/1882 | Enhanced YOLOv11 for small object detection in UAV images
[NO] 1541/1882 | Postural Responses to Mediolateral Rotations: Contributions of Surface, Vision, and Cognitive Load
[NO] 1542/1882 | Task Allocation for Dual-Robot Cooperative Disassembly of Retired Power Battery Modules Using an Improved Genetic Algorithm
[NO] 1543/1882 | Efficient Hydroporation in Immunotherapy Applications
[NO] 1544/1882 | An 8-Way E-Band GaAs Power Amplifier Utilizing Shared-Ground Vias
[NO] 1545/1882 | Performance Assessment of Diverse Artificial Intelligence Driven Water Quality Prediction Procedures
[NO] 1546/1882 | Analysis and Designing of a Novel Compact 2-Port MIMO Antenna for n260 band 5G Applications
[NO] 1547/1882 | A multimodal biometric system based on multi-level fine-tuning using score fusion
[NO] 1548/1882 | Multi-Organ Plant Disease Detection Using CNN and Machine Learning: A Root-to-Leaf Approaches
[NO] 1549/1882 | Exploring Sentiment Dynamics in the Bhagavad Gita Using Zero-Shot Learning and BART
[NO] 1550/1882 | Development of a 3D Simultaneous Localization and Mapping System for Unmanned Aerial Vehicle Navigation
[NO] 1551/1882 | The Right to See and Be Heard: Assessing the Legal and Technological Framework of AI Driven Visual and Sign Language Assistants in India for Independent Living
[NO] 1552/1882 | Research on Improved YOLOv11s for Aerial Drone Recognition and Detection
[NO] 1553/1882 | Human Resource Demand Prediction Based on Particle Swarm Optimization and Convolutional Neural Network Model
[NO] 1554/1882 | A Reverse Firewall &amp; Re-Encryption Model Supported Peks Model for Security in Health Based Applications
[NO] 1555/1882 | Universal, Topological Approach to Black Hole Phase Transitions
[NO] 1556/1882 | Analysis of Soft Tissue Tumors Using CNN Classifier
[NO] 1557/1882 | Development of an Arabic voice control system using convolutional neural networks CNN
[NO] 1558/1882 | Hybrid AE-LSTM-CNN Model for Intelligent Intrusion Detection in IoT Networks
[NO] 1559/1882 | Risk Analysis of Employment Agreements Using a BERT-Based Fusion Model
[NO] 1560/1882 | Smart Electronic Voting Machine with Biometric Authentication and Accessible Features
[NO] 1561/1882 | Compact High Isolation Narrow-Band 120 GHz Travelling-Wave SPST with λ/4 Transformer
