[2026-03-05 09:30:38] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-04
正在获取论文...
[arXiv] 2026-03-04 | Strong Approximation for the Character Variety of the Four-Times Punctured Sphere
[NO] 1205/1807 | IoT-Integrated Geospatial Analytics for Automated Farmland Area Estimation Using Machine Learning
[NO] 1206/1807 | Application of Vision Transformers for Automated Textile Defect Detection on Edge Devices
[NO] 1207/1807 | Integrating Convolutional Neural Network and Vision Transformer Models:A hybrid Approach For Gender Classification using Hand Biometrics
[NO] 1208/1807 | Development of Smart Prosthetics with Neural Control Using AI
[NO] 1209/1807 | Machine Learning and Deep Learning for Osteoporosis: A Review of Imaging-Based and Clinical Data Applications
[NO] 1210/1807 | Hybrid Transformer-LSTM Solar &amp; Renewable Energy Forecasting for Resilient Microgrid Management
[NO] 1211/1807 | A Hybrid Islanding Detection Approach for Inverter-Interfaced Distributed Generation
[NO] 1212/1807 | Adversarial Machine Learning for Robustness in Federated Learning Environments
[NO] 1213/1807 | High-Performance Feature Extraction for Dimensionality Reduction and Enhanced Accuracy in Diabetic Retinopathy Detection
[NO] 1214/1807 | Innovative Thermal Design: How Nature is Redefining Heat Management in Supercomputing
[NO] 1215/1807 | Ultra-Low-Power Wearable ECG Model with Cost-Effective Wireless Sensing System Through Convolutional Neural Network
[NO] 1216/1807 | FocusCam: A Real-Time Deep Learning System for Detecting User Distraction Using Webcam Video
[NO] 1217/1807 | A Ringing Effect Mitigation Strategy using Double Pulse Test for SiC based DAB Converter
[NO] 1218/1807 | Intelligent Energy Management System of Electric Vehicles using Botox Optimization based Fuzzy Logic Algorithm
[NO] 1219/1807 | Impact of Virtual-Inertia-Based Grid-Forming Inverters on Power System Oscillations
[NO] 1220/1807 | Fuzzy–Logistic Regression Approach for Analysing Consumer Behaviour and Shopping Preferences in E-Commerce
[NO] 1221/1807 | A Row-level Energy Assisted Current Transfer Approach for Power Recovery from PV Arrays During Partial Shading
[NO] 1222/1807 | A Comparative Study on a Multi-Source Hybrid Machine Learning Framework Integrating Deep Learning and Swarm Intelligence for Intelligent IoT Forensics and Threat Classification
[NO] 1223/1807 | Leukocytes Classification Using ViT From Blood Smear Image
[NO] 1224/1807 | Hybrid Generative Adversarial Networks (GAN)BiLSTM Framework for Enhanced Short-Term EV Load Forecasting
[NO] 1225/1807 | Advanced Dispatchable Virtual Oscillator Grid-Forming Control
[NO] 1226/1807 | Crop Recommendation and its Optimal Pricing using CATBOOST
[NO] 1227/1807 | Cascaded Active Disturbance Rejection Control of Islanded Microgrid with Plug and Play Capability
[NO] 1228/1807 | SUFS: IoT Based Urban Crop Health and Irrigation System
[NO] 1229/1807 | Explainable Artificial Intelligence for Ransomware Detection
[NO] 1230/1807 | Active Wake Optimization Control for Offshore Wind Farms Based on Model Predictive Control and Kalman Filter
[NO] 1231/1807 | Optimal Dispatch for Transmission and Distribution Collaboration with Massive Electric Vehicles
[NO] 1232/1807 | Triple-Active-Bridge Power Conversion in Hydrogen-Based DC Microgrids: Topology Design and Coordinated Control
[NO] 1233/1807 | Enhancement of Cross-Differential Protection Schemes for Detecting Broken Conductor Faults in High-Voltage Transmission Lines
[NO] 1234/1807 | SFD: Towards Segment Fusion Dataflow for Spatial Accelerators
[NO] 1235/1807 | Robust Dual-Loop Nonlinear Control for a Two-Phase Interleaved Boost Converter in Fuel Cell Electric Vehicle Applications
[NO] 1236/1807 | Implementation of Residual Dense Attention Net for Wildlife Species Detection and Identification using Multimodal Data Sources
[NO] 1237/1807 | Smart Shopping Trolley Using RFID Technology: An Iot-Based Approach for Enhancing Retail Checkout Efficiency
[NO] 1238/1807 | Performance Evaluation of AI-Based Algorithms for 5G RAN Slicing
[NO] 1239/1807 | Skin Cancer Classification Using a Transfer Learning—Enhanced Hybrid Architecture with Multi-Scale Attention
[NO] 1240/1807 | Zero-Knowledge Proof–Enabled Privacy Preservation for Secure Digital Payments in FinTech Blockchain
[NO] 1241/1807 | Fault Detection in AC Microgrid Using CNN, GRU and Attention Mechanism
[NO] 1242/1807 | Deep learning-Based Fault Detection and Classification in Multi-Bus Power Systems Using MATLAB Diagnostic Feature Designer and Bidirectional LSTM Networks
[NO] 1243/1807 | A User -Centric Interactive System for Multi-model Communication Using Face Gestures, Hand Signs and Voice Commands
[NO] 1244/1807 | Enhanced Substations’ Earthing System Design Using Multi-Layer Soil Modeling for Reclaimed Ash Ponds
[NO] 1245/1807 | Game-Theoretic based Double Auction Framework for Optimal Allocation of Electric Vehicles and Charging Station Scheduling
[NO] 1246/1807 | Enhancing Pothole Detection: A Deep Learning-Based Investigation comparing YOLO Variants with Validation on multi-weather pothole images
[NO] 1247/1807 | A Lightweight Detection Architecture for Real-Time Medical Pill Recognition
[NO] 1248/1807 | Secure Key Exchange and Wormhole Attack Prevention in Wireless Ad-Hoc Networks
[NO] 1249/1807 | Robust Storage Sizing and Adaptive Power Flow Control for Renewable-Powered Residential Systems
[NO] 1250/1807 | Adaptive Reconstruction-Based Model Predictive Control for Networked Stochastic Systems Under False Data Injection Attacks
[NO] 1251/1807 | User Sentiment Analysis of Solar Energy Monitoring Apps: Insights from Google Play Reviews
[NO] 1252/1807 | Pyramid Vision Transformer-Based Multi-Scale Feature Fusion and CNN Decoder for Accurate Colon Polyp Segmentation
[NO] 1253/1807 | Evaluation of Magnetometer-less Inertial Sensors for Static and Dynamic Spatial Orientation Estimation
[NO] 1254/1807 | The Human Bridge: How the Human Factor mediates the impact of Industry 4.0 technologies on supply chain resilience in the Industry 5.0 era
[NO] 1255/1807 | Robust Smoothing of Wireless Ranging Errors using Tensor Fibered Rank in IoT-Enabled Positioning
[NO] 1256/1807 | Performance Analysis of a Rare-Earth-Free Axial Flux Permanent Magnet Motor Using a PCB Stator_supp1-3669789.mp4
[NO] 1257/1807 | Sequential Convex Approximation Approach for Chance-Constrained AC Optimal Power Flow under Arbitrary Random Distribution with Mild Conditions
[NO] 1258/1807 | ICPEE 2025 Cover Page
[NO] 1259/1807 | Organizing, Program and Steering Committees: NISS 2025
[NO] 1260/1807 | Development of 2 km-class Carbon-doped MgB
                    <sub>2</sub>
                    Wire with Uniform Critical Current Property
[NO] 1261/1807 | Automated Microwave Interferometric Sensor for Detecting Extracellular Vesicle-Mimicking Particles
[NO] 1262/1807 | Clinically Oriented CNN–Transformer Architectures for Reliable Bronchoscopic Recognition of Lung Lesions and Anatomical Structures
[NO] 1263/1807 | Lightweight High-Throughput Portable Multi-Mode Reconfigurable Integrated PUF-TRNG
[NO] 1264/1807 | AnoDS: A Blockchain-Based Anonymous Small Donation System for IoT Devices_supp1-3665329.pdf
[NO] 1265/1807 | Engineering a Robust Social Media Bot Detection Model Using Roberta, Time Series Patterns, and Graph Neural Networks
[NO] 1266/1807 | Fuel Cell/Supercapacitor Hybrid Power Systems in Small Scale Unmanned Aerial Vehicles using Optimized Energy Management Strategy
[NO] 1267/1807 | GyRot: Leveraging Hidden Synergy Between Rotation and Fine-Grained Group Quantization for Low-Bit LLM Inference
[NO] 1268/1807 | Automated Cardiomegaly Detection Using Deep Learning: A DenseNet121-Based Approach for Chest X-Ray Classification
[NO] 1269/1807 | Effects of Harmonics on Distribution Transformer Loss and Its Mitigation: Bangladesh Grid Perspective
[NO] 1270/1807 | Research on Multi-Objective Optimization Method of Integrated Energy System Considering Time-of-Use Electricity Price
[NO] 1271/1807 | State of Health Estimation of Lithium-Ion Batteries Using the Least Squares Method for Accurate Performance Assessment
[NO] 1272/1807 | A Deep Quantized Softmax Network-Based Pseudomeasurement Generation Model in Active Distribution Networks
[NO] 1273/1807 | Explainable AI for Chemotherapy Response: A SHAP-Integrated Random Forest Approach
[NO] 1274/1807 | A Three-Port DC-DC Converter-Based EV Charger for Light-Duty Electric Vehicles
[NO] 1275/1807 | A Performance and Applicability Assessment of Consensus Algorithms for Modern Blockchain Architectures
[NO] 1276/1807 | Hybrid Transformer-Driven Healthcare: BERT—T5 Model for Precision Diagnosis and Adaptive Care Recommendations
[NO] 1277/1807 | State-Space Modeling and Verification of Open-Loop Dynamics of Grid-Tied Inverters with Dual Sequence Current Control
[NO] 1278/1807 | A Novel Framework for Intrusion Recognition in Optimal Linear Kalman Filter Based FASE
[NO] 1279/1807 | CORE: Data Augmentation for Link Prediction via Information Bottleneck
[NO] 1280/1807 | Att-CNN-BiLSTM: An Interpretable Multi-task Learning Framework for Multimodal Stroke Functional Assessment
[NO] 1281/1807 | Artificial Intelligence Applications in X-ray Coronary Angiography: A Comprehensive Review of Image Analysis Techniques
[NO] 1282/1807 | Dual Band Microstrip Patch Antenna Using Compact Structural Tuning for Smart Wireless Applications
[NO] 1283/1807 | FaceTrace: Leveraging Motion Patterns for Deepfake Video Authentication
[NO] 1284/1807 | Adaptive AI-KM Readiness in India’s Defense Ecosystem: A Multidimensional Benchmark and Roadmap
[NO] 1285/1807 | Enhanced Paddy Yield Prediction Utilizing a Hybrid Convolution Transform Framework Integrated with Soil-Weather Interaction Analysis for Precision Agriculture
[NO] 1286/1807 | Development of a Geospatial Strategy in Identifying the Optimal Electric Vehicle Charging Stations in Colombo, Sri Lanka
[NO] 1287/1807 | VeloxGNN: Efficient Out-of-Core GNN Training with Delayed Gradient Propagation
[NO] 1288/1807 | DSAssassin: Cross-VM Side-Channel Attacks by Exploiting Intel Data Streaming Accelerator
[NO] 1289/1807 | Decentralized Autonomous Organizations in the Pharmaceutical Sector: A Paradigm Shift in Research, Development, and Governance
[NO] 1290/1807 | State of Walk-Through Weapons Detectors for Public Screening
[NO] 1291/1807 | Day-Ahead Scheduling Method of Offshore Wind Power System Considering Typhoon Uncertainty
[NO] 1292/1807 | Half-Bridge Configured 7L Inverter Topology with Triple Voltage Gain and Equal Voltage Rating of Components
[NO] 1293/1807 | Data-Enabled Optimal Tracking (DeeOT) Control Approach for Grid-Connected Inverters
[NO] 1294/1807 | A Compact Common Grounded 9-Level Switched Capacitor Multilevel Inverter for Grid Integration
[NO] 1295/1807 | Early Prediction of Student Dropout in Higher Education Using Machine Learning Models
[NO] 1296/1807 | DALA-XGBoost: An AI-ML Framework for Cross-Domain Maternal-Fetal Risk Assessment
[NO] 1297/1807 | Fast Output Sampling Based Sliding Mode Controller with Disturbance Observer for Buck Converter
[NO] 1298/1807 | HELPR: Helmet Enforcement and License Plate Reconnaissance Using YOLOv8 and EasyOCR for Real-Time Traffic Surveillance
[NO] 1299/1807 | Design and Development of Real-Time Microgrid Control Simulation with IEC 61850-Enabled Substation Automation System
[NO] 1300/1807 | Intelligent Question Paper Generation System for Academic Assessments
[NO] 1301/1807 | Reconfigurable CLLC Converter Design and Optimization for Wide-Voltage Battery Charging from Universal Grid–Derived High-Voltage DC Link
[NO] 1302/1807 | SimuCare: Intelligent Health and Performance Simulation
[NO] 1303/1807 | Modeling of 4H-SiC MESFET by Including Thermal Effect, Surface and Substrate Trappings Using Botox Optimization Method
[NO] 1304/1807 | Challenges and Mitigation Technique in Overcurrent Relay Coordination for Low Voltage Radial Systems
[NO] 1305/1807 | Comparative Analysis of Deep Learning Models to Identify Skin Cancer
[NO] 1306/1807 | An Explainable Federated Learning Framework for Privacy-Preserving Medical Diagnosis on Edge Devices
[NO] 1307/1807 | Cross-Dataset Transferability Analysis of Neural Networks for Battery SOH Prediction Using Synthetic and Experimental Data
[NO] 1308/1807 | Data-Driven HRM: Using AI to Improve Strategic Workforce Allocation in the Healthcare Industry
[NO] 1309/1807 | Integrating Artificial Intelligence with Conventional Yoga for Posture Recognition and Wellness Improvement
[NO] 1310/1807 | Adaptive Deep Learning Frameworks for Intelligent Fraud Prevention Strategies in Dynamic Digital Ecosystems
[NO] 1311/1807 | Analysis of Series Reactive Power Compensation Results Under Hybrid Operation of Cross-Linked Polyethylene (XLPE) and Oil-Filled Submarine Cables
[NO] 1312/1807 | Hyperlocal Temperature and Humidity Prediction Using Supervised Machine Learning
[NO] 1313/1807 | Efficient Classification of Fish Diseases from Skin Images Using ResNet50 and Transfer Learning
[NO] 1314/1807 | RLHF-Driven Household Appliance Scheduling with Dynamic Comfort Windows
[NO] 1315/1807 | A High Gain Restructured DC-DC Quadratic Boost Converter (RDQBC) Applicable for Fuel Cell
[NO] 1316/1807 | Cross-domain Sentimental Analysis in Healthcare using Explainable AI
[NO] 1317/1807 | A LightGBM-SHAP Framework for Accurate and Interpretable Crop Yield Prediction
[NO] 1318/1807 | Energy-Efficient Target Coverage in Wireless Visual Sensor Networks Using LSTM-Based Trajectory Prediction and Grey Wolf Optimization
[NO] 1319/1807 | A Hybrid Feature Selection and Ensemble Learning Framework with Optimized Preprocessing for High-Accuracy Lung Cancer Detection
[NO] 1320/1807 | AI-Driven Innovations in Autonomous Drones: A Thorough Review of Security, Navigation, and Multi-Sensor Technologies
[NO] 1321/1807 | Secure Convergence Model for Distributed Interactions
[NO] 1322/1807 | Real-Time Fault Detection in Ocean Observing Platforms
[NO] 1323/1807 | The Role of Artificial Intelligence in Shaping Human Life
[NO] 1324/1807 | The Silent Threat: A Deep Dive into Audio Deepfakes and Detection Techniques
[NO] 1325/1807 | AI-Driven Brain Tumor Detection: Optimizing PHOGF and SCHF Features with Bayesian, Gaussian, and Boosting Classifiers
[NO] 1326/1807 | Frequency Nadir and RoCOF Prediction Using Predisturbance Data and Artificial Neural Networks
[NO] 1327/1807 | Synergistic Integration of Agrivoltaics and Electric Vehicle Charging: A Sustainable Energy Framework
[NO] 1328/1807 | CNN-Based Rice Leaf Disease Classification Applying Augmentation Techniques for Improved Accuracy: A Deep Learning Approach
[NO] 1329/1807 | Artificial Intelligence in Social Media: A Comprehensive Review of Models, Applications, and Ethical Issues
[NO] 1330/1807 | BISen: A Robust Framework for Efficient CNN Inference on
                    <u>B</u>
                    attery-Free
                    <u>I</u>
                    ntelligent
                    <u>S</u>
                    ensory Nodes
[NO] 1331/1807 | Retraining Gastrocnemius Muscle Coordination Reduces Late-Stance Knee Contact Force in Individuals with Knee Osteoarthritis_supp1-3669842.pdf
[NO] 1332/1807 | An Interference Suppression Method Incorporating Sound Field Characteristics for Depth Estimation
[NO] 1333/1807 | Some classes of punctured codes
[NO] 1334/1807 | Hi-CIoTNet: A CNN-Based Hierarchical Model for IoT and Critical IoT Traffic Classification
[NO] 1335/1807 | STAND-Net: A Spiking Temporal Attention autoeNcoDer Network for Efficient EEG Artifact Removal
[NO] 1336/1807 | Improving Counting Accuracy of Post-Disaster Visual Question Answering for Remote Sensing
[NO] 1337/1807 | Information Bottleneck Theory-Guided Dimension Reduction for Large-Scale Multi-Objective Optimization_supp1-3669468.pdf
[NO] 1338/1807 | SIGS: A Synergistic Information-Guided Sparse Framework for Battery SOH Estimation
[NO] 1339/1807 | Spatial Multiple Importance Sampling for Real-time Irradiance Probes_supp1-3669877.mp4
[NO] 1340/1807 | Performance Analysis of a Rare-Earth-Free Axial Flux Permanent Magnet Motor Using a PCB Stator_supp2-3669789.mp4
[NO] 1341/1807 | Kalman Filter–Based Power Management for Railway Wireless Power Transfer Systems with EDLC Integration
[NO] 1342/1807 | IEEE ComSoc Publications
[NO] 1343/1807 | Realization of an In-Band Reconfigurable Metasurface for Nonreciprocal/Reciprocal Transmission
[NO] 1344/1807 | Rubato: Efficient Post-Quantum Asynchronous Distributed Randomness Beacon with Integrated Consensus
[NO] 1345/1807 | Report on the 1st Workshop on Human-Centered Recommender Systems (HCRS 2025) at TheWebConf 2025
[NO] 1346/1807 | Towards Detection of Deep Fake Videos
[NO] 1347/1807 | PSO-Tuned Predefined-Time Sliding-Mode Control of a Grid-Forming Inverter
[YES] 1348/1807 | TEMP: A Memory Efficient Physical-Aware Tensor Partition-Mapping Framework on Wafer-Scale Chips
[NO] 1349/1807 | Investigating Video Impression of Real Time Conversational Agent for Remote Sessions Using LLM
[NO] 1350/1807 | Compression-Aware Gradient Splitting for Collective Communications in Distributed Training
[NO] 1351/1807 | An Innovative Framework Combining CNN and BiGRU for Monitoring and Forecasting Water Stress in Smart Farming Systems
[NO] 1352/1807 | Severity Detection of Chronic Fatigue Syndrome Using XGBoost and Graph Neural Networks
[NO] 1353/1807 | Smart Attendance and Emotion Monitoring System using Face Detection with CCTV Integration
[NO] 1354/1807 | A Decoupled Optimization Framework for Battery Energy Storage System Scheduling with Non-Linear Electrothermal Dynamics
[NO] 1355/1807 | Real-Time Sentiment analysis of Multimodal Data streams – A Deep learning-based framework in Social Media Platforms
[NO] 1356/1807 | Operational Analysis of Multi-Carrier Energy Systems Under Uncertainty and Integration of Renewable Energy and Storage
[NO] 1357/1807 | Reliability Assessment of Integrated Energy Systems Accounting for the Uncertainties in Energy Sources and Loads
[NO] 1358/1807 | Automated Thyroid Ultrasound Classification Using Cnn
[YES] 1359/1807 | Experimental Analysis of LFENCE-Based Mitigation Against Speculative Execution Side Channels
[NO] 1360/1807 | Sensor-Minimized-FCS-MPC-Controlled Transmitter Architecture for Misalignment-Tolerant Wireless EV Charging
[NO] 1361/1807 | Estimating ESS Revenue from Multiple Market Services in Finland's Electricity Market
[NO] 1362/1807 | RATM: Reinforcement Learning for Co-Optimized CPU Scheduling and NUMA Memory Management in Compiler Design
[NO] 1363/1807 | An Interpretable Hybrid CNN Framework for Severity Classification of Cardiovascular Diseases Using ECG Data
[NO] 1364/1807 | Tempranillo: Non-Speculative Early Register Release
[NO] 1365/1807 | XGBoost-Based Detection and Localization of Electricity Pilferage in Low-Voltage Distribution Networks With Rooftop PV and Net-Metering
[NO] 1366/1807 | A Statistically-Grounded Attention Mechanism for Early Detection of Alzheimer’s Disease Using Pattern Recognition on Clinical Data
[NO] 1367/1807 | Conversion of Indian Sign Language into Text and Multiple Languages Using Machine Learning
[NO] 1368/1807 | Fork vs Pthreads: A Quantitative Microarchitectural Comparison for Real-Time CPU-Based ML Inference
[NO] 1369/1807 | IoT and ML Based Smart Irrigation System for Crop Prediction and Water Usage Optimization
[NO] 1370/1807 | Spatio-Temporal Land Cover Change Detection using Machine Learning and Google Earth Engine
[NO] 1371/1807 | Fire Hazard Analysis of Faults in LVAC Enclosures: Experimental Comparison
[YES] 1372/1807 | Verilog-Enabled Simulation and RTL Synthesis of SPECK Algorithm for Robust and High-Speed Cryptographic Operations in VLSI
[NO] 1373/1807 | ZK-AVS: Zero-Knowledge Address and Spend-Limit Proofs for Real-Time Payment Systems
[NO] 1374/1807 | LF-SA Based Solar Cell Parameter Extraction for Floating Photovoltaic Systems
[NO] 1375/1807 | AI-Driven Behavioral and Motion Based Control of Electrical Appliances for Physically Challenged Individuals
[NO] 1376/1807 | Quantum Cryptographic Techniques for Secure Genetic Data Sharing: Mutual Information Feature Ranking vs PCA and LASSO
[NO] 1377/1807 | MIRZA: Efficiently Mitigating Rowhammer with Randomization and ALERT
[NO] 1378/1807 | Predicting Mental Health Conditions from Survey Data
[NO] 1379/1807 | Evolutionary State and Dual Sub-Swarm Assisted Particle Swarm Optimization for Image Thresholding Problem
[NO] 1380/1807 | Noise Reduction in Underwater Acoustic Signals Using a Hybrid Wavelet Transform and Graph Neural Network (GNN) Model
[NO] 1381/1807 | Co-Optimization of Electricity and Gas in Islanded Hybrid Systems Through an Adaptive Risk-Cost Frontier Analysis
[NO] 1382/1807 | Evaluating the Effectiveness of Voice-Search and Conversational AI Marketing on Consumer Purchase Decisions in Smart-Home Device Segments
[NO] 1383/1807 | Analysis of Undamped Oscillations and Blackout Risk in Inverter-Driven Energy Grids with Key Control Strategies
[NO] 1384/1807 | Comparative Analysis of Transformer Models in Disaster Tweet Classification for Public Safety
[NO] 1385/1807 | An Adaptive Compensation Strategy for Concurrent Current Harmonic Suppression and Power Ripple Mitigation for Grid- Tied Solar PV System
[NO] 1386/1807 | SEADGAT: A Heterogeneous Graph Attention Network with Cross Distillation for Encrypted Traffic Classification
[NO] 1387/1807 | Spectral Feature Gating Adapter for Hyperspectral Object Tracking
[NO] 1388/1807 | High-Performance 3D Liquid-Metal Tactile Sensing System with Data-Driven Signal Decoding for Dynamic Force Estimation
[NO] 1389/1807 | Visual-in-Visual: A Unified and Efficient Baseline for Image Restoration_supp1-3669720.pdf
[NO] 1390/1807 | SASG-DA: Sparse-Aware Semantic-Guided Diffusion Augmentation For Myoelectric Gesture Recognition
[NO] 1391/1807 | Performance of
                    <i>M</i>
                    -ary Pulse Position Modulated Underwater OWC Links with Turbulence and Path Loss Effects
[NO] 1392/1807 | SPEX: A Vision-Language Model for Land Cover Extraction on Spectral Remote Sensing Images
[NO] 1393/1807 | Suppression Method for Stochastic Line Errors in Grating Interferometers Based on Spatial Wavefront Phase Analysis Theory
[NO] 1394/1807 | Handling Traffic Uncertainty in Failure-Tolerant Traffic Engineering_supp1-3670142.pdf
[NO] 1395/1807 | 2026 Index IEEE Transactions on Instrumentation and Measurement Vol. 74
[NO] 1396/1807 | Accelerating Inter-App Communications for Time-Critical O-RAN Control Loops
[NO] 1397/1807 | A 55 MHz Bandwidth and Sub-
                    <i>μ</i>
                    V Offset Precision Amplifier With Two-Step Dynamic Offset Calibration and Noise Suppression Techniques
[NO] 1398/1807 | IEEE Xplore Digital Library
[NO] 1399/1807 | An Ecosystemic Approach for the Seamless Integration of Terrestrial and Non-Terrestrial Network Connections
[NO] 1400/1807 | Message from the General Chairs: NISS 2025
[NO] 1401/1807 | Proceedings
[NO] 1402/1807 | Contextual Embedding Fusion for Quick-Commerce Reviews: Rating, 5-Class Classification, and Sentiment Analysis Across Classical ML, DL, and Transformer Models
[NO] 1403/1807 | A framework for personalized treatment and symptom-based diagnosis of neurological and cardiovascular disorders using machine learning
[NO] 1404/1807 | A Comprehensive comparative study of Supervised Machine Learning Models for Network Threat Detection
[NO] 1405/1807 | Self-Supplied Power Type and Capacity Calibration Technique Based on CNN-TCN Algorith
[NO] 1406/1807 | A Unified Control Scheme to Facilitate Grid-Forming and Grid-Following Services in Microgrids with Hydrogen Energy Storage and Electric Vehicles
[NO] 1407/1807 | Capacity Optimisation in Renewable-Rich Power Grid Using Grid Enhancing Technologies
[NO] 1408/1807 | Topology-Aware vs Topology-Agnostic Deep RL for Microgrid SoC Balancing
[NO] 1409/1807 | Rescue in the Rubble: A Smart Detection Approach for Disaster Victims Using Decision Trees and Deep Learning
[NO] 1410/1807 | A Modular Machine Learning Framework for Personalized Health Monitoring and Risk Prediction
[NO] 1411/1807 | Harnessing Computing Power for Machine Learning and Deep Learning: An In-Depth Review of Hardware, CUDA Core Architectures and their Impact on Performance
[NO] 1412/1807 | The Linear Algebra Foundations of Artificial Intelligence: A survey from Theory to Applications
[NO] 1413/1807 | AI-Based Real-Time Stress Monitoring in Autism Students: Instant Caregiver Alerts and Support Recommendations
[NO] 1414/1807 | Early Detection of Sepsis Using Grid Search-Tuned XGBoost on ICU Clinical Data
[NO] 1415/1807 | Real-Time Energy Optimization in IoT Microgrids Using AI-Based Prediction Models for Solar Power Integration
[NO] 1416/1807 | Coordinated Control of a Data Center for Demand Response Participation
[NO] 1417/1807 | A Novel Improvement of Wind Power Supply by Using the RBFN Algorithm
[NO] 1418/1807 | PV-assisted EV Charging Station with G2V/V2G/V2V Features Utilizing Fuzzy Controller
[NO] 1419/1807 | Performance Optimization of Big Data Analytics through Machine Learning
[NO] 1420/1807 | Prediction of Lithium-Battery State of Charge Under Dynamic Maritime Environmental Conditions Using Machine Learning
[NO] 1421/1807 | Smart IoT- Enabled Portable Health Monitoring System for Real-Time Medical Applications
[NO] 1422/1807 | Predictive Modeling of Body Fat Percentage with Machine Learning Techniques
[NO] 1423/1807 | SpotCC: Facilitating Coded Computation for Prediction Serving Systems on Spot Instances
[NO] 1424/1807 | Coordinated Optimal Scheduling of Source-Grid-Load-Storage Considering Joint Electricity-Carbon Operation in Distribution Networks
[NO] 1425/1807 | A Scientometric Review of Machine Learning and Deep Learning Applications in Breast Cancer Detection: Trends, Challenges, and Future Directions
[NO] 1426/1807 | AutoHAAP: Automated Heterogeneity-Aware Asymmetric Partitioning for LLM Training
[NO] 1427/1807 | A Comprehensive Study on Driving Cycle for Electric Vehicle Application
[NO] 1428/1807 | Enhancing Federated Learning Security Using Homomorphic Encryption and Zero-Knowledge Proofs
[NO] 1429/1807 | Leveraging AI/ML for Self-Optimizing 5G RAN: A Cloud-Integrated Framework
[NO] 1430/1807 | Multi-Stage Wide Frequency Range Optimization of High-Frequency Magnetic Links for IGBT, SiC MOSFET, and GaN-Based Isolated Power Converters
[NO] 1431/1807 | GeoViTMamba: A Hybrid Vision Transformer and Transformer Decoder for Semantic Remote Sensing Image Captioning
[NO] 1432/1807 | Federated Learning and Blockchain Integration for Secure IoT Intrusion Detection
[NO] 1433/1807 | Medipath: An Intelligent Emergency Medical Service System with NLP and Real-Time Coordination
[NO] 1434/1807 | XAI-Based Document Verification System for Government Services and Job Applications
[NO] 1435/1807 | Multimodal Emotion Recognition from Face, Body Posture, and Text Using a Self-Guided Single-Head Quantum Attention GAN with Snow Ablation Optimization
[NO] 1436/1807 | A SRCVE-TCT Voltage Equalizer for Power Recovery in PV Arrays under Partial Shading
[NO] 1437/1807 | Design and Simulative Testing of High-Gain Zeta Converters with an Adaptive P&amp;O Algorithm
[NO] 1438/1807 | Power Quality Enhancement Using Deep Learning Technique Based Dynamic Voltage Restorer
[NO] 1439/1807 | Boosting Texture-Guided Deep Network Accuracy for Brain Tumor MRI Classification via EB0-Bor-RF Framework
[NO] 1440/1807 | BotInferAttack: An LSTM-Based Framework for Membership Inference Attack on Bot Dataset
[NO] 1441/1807 | Deep Learning-Based YOLO Framework for Accurate Detection and Coordination of Autonomous Vehicles
[NO] 1442/1807 | Deep Learning with Vision Transformers for Classifying Intracerebral Hemorrhage in CT Images
[NO] 1443/1807 | Advancing Health Care Systems with AI Supported by Cloud and Wireless Networks
[NO] 1444/1807 | A Robust PLL Technique for Grid Synchronization Under DC Offset and Harmonics
[NO] 1445/1807 | Coordinated Energy Management and Reactive Power Control for Enhancing Microgrid Voltage Stability Using Electric Vehicles
[NO] 1446/1807 | Transforming Healthcare Through Data Analytics: Toward a Safer, Smarter, and More Secure Health System
[NO] 1447/1807 | A Data-Driven Digital Twin Formation with TCN for State Prediction of Grid-Tied PV Systems
[NO] 1448/1807 | A Framework for Automated Web Service Discovery and Selection in Service-Oriented Architectures
[NO] 1449/1807 | Impact of an Optimal SoC-Aware EV Charging Strategy on the Voltage Regulation of Distribution Networks
[NO] 1450/1807 | Performance Analysis of Synchronous Machine and Grid-Forming Converter Configurations in Low-Inertia Power Systems
[NO] 1451/1807 | Real-Time Hardware Implementation and FFT Analysis Approach of Different PWM Techniques for Five-Phase Two-Level VSI using F28335 DSP
[NO] 1452/1807 | Blockchain Enhanced Explainable Artificial Intelligence (XAI) for Real Time Credit Card Fraud Detection
[NO] 1453/1807 | A Portfolio-Level Optimization Framework for Coordinated Market Participation and Operational Scheduling of Hydrogen-Centric Companies
[NO] 1454/1807 | Project-based study program graduates’ perceptions of acquired competences
[NO] 1455/1807 | The State of GenAI at a Top-Tier Computer Science Conference
[NO] 1456/1807 | Fairness-Aware Question Answering for Intelligent Assistants
[NO] 1457/1807 | ICPEE 2025 Cover Page
[NO] 1458/1807 | Deep Learning for Spectral Processing in Microbottle Resonator Humidity Sensors
[NO] 1459/1807 | ComSoc Technical and Emerging Technologies Committees
[NO] 1460/1807 | A Novel Optimization and Yield Analysis Method for MEMS Devices Combining Bi-Fidelity Deep Neural Network and Active Subspace
[NO] 1461/1807 | Novel Configuration of an Elliptic Waveguide Filter Using
                    <i>TE</i>
                    <sub>103</sub>
                    Mode for the Q-Band OMUX
[NO] 1462/1807 | Comparative Study of Deep Learning Models for Nail Disease Classification
[NO] 1463/1807 | The Sedpgram: A Novel Optimal Demodulation Frequency Band Selection Framework for Multi-type Gearbox Early Fault diagnosis
[NO] 1464/1807 | Joint Registration and Fusion Network for Dual-Frequency SAR Images Based on Semantic Information
