[2026-08-13 22:40:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-12
正在获取论文...
[arXiv] 2026-08-12 | Direct Acceleration of Stochastic Root-Finding Without Variance Reduction and Regularization
[NO] 811/1805 | Sustaining Digital Lending Adoption: Empirical Evidence from Indonesian State-Owned Bank
[NO] 812/1805 | A Comparative Study of Cyanide and Sulfite—Thiosulfate Gold Electrolytes for Au/n-GaAs Schottky Diode Fabrication
[NO] 813/1805 | IoT Network Cyberattack Detection Performance Using Ensemble Machine Learning Based Intrusion Detection System
[NO] 814/1805 | Security Acceptance Criteria for FPGA Device Adoption in Nuclear Safety-Critical Systems
[NO] 815/1805 | Home Energy Management Systems: Architectures, AI-Enabled Services and Open Challenges
[NO] 816/1805 | Strengthening Crisis Management Through Human-AI Collaboration in Incident Response
[NO] 817/1805 | Sinhala-English Multilingual AI Call Center Bot with Sentiment-Aware Dialogue and Multimodal CSAT Prediction
[NO] 818/1805 | Comparative Analysis of Context-Extension and Question-Matching RAG Architectures: A Case Study on German Regulatory Documentation
[NO] 819/1805 | Implicit Framing in Obstetric Counseling Notes: A Grounded LLM Pipeline on a VBAC-Eligible Cohort
[NO] 820/1805 | Definite Integral Area Problems in Mathematics as A(GA)A-Type Graphical Problems with AI
[NO] 821/1805 | Prompt-Guided Community Search Under Extreme Few-Shot Supervision
[NO] 822/1805 | Ontology-Based Integration and Structural Design of Heterogeneous Data Warehouses for Power Equipment Diagnostics
[YES] 823/1805 | Knapsack Optimization-Based Schema Linking for LLM-Based Text-to-SQL Generation
[NO] 824/1805 | Enhanced Academic Certificate Management System Using Steganography and Dual Blockchain
[NO] 825/1805 | Design Research on Generating a Sense of Life and Emotion in Robots Through Application of Bunraku Puppet Structures
[NO] 826/1805 | Approximate Butterfly Counting in Sublinear Time
[NO] 827/1805 | GalaxyRAG: Graph Retrieval-Augmented Generation for Enterprise Knowledge Systems
[NO] 828/1805 | F5: A Robust SIMD-Accelerated MSD Radix Sort
[NO] 829/1805 | More Than Pivot for Maximal Clique Enumeration
[NO] 830/1805 | The Impact of the Intention to Use E-Payment on E-Wallet Applications in Vietnam: A Case Study of Vinh Long Province
[NO] 831/1805 | YAGIT: An Eco-Dystopian Motion Comic as Supplementary Material for Earth and Life Science Course
[NO] 832/1805 | Performance Benchmarking of YOLOV26 and YOLOv8 (n/s) Across Raspberry Pi Generations
[NO] 833/1805 | RaSE-KGC: A Relation-Aware Segment Encoding Approach for Knowledge Graph Completion
[YES] 834/1805 | TORepair: Diffusion-Based Task-Oriented Error Repair Via Differentiable Bi-Level Optimization
[NO] 835/1805 | High-Bandwidth Interconnects Fabricated by Electrohydrodynamic Printing on Glass
[NO] 836/1805 | Implementation of a Gamified Web-Based One-to- One Mathematics E-Learning Platform for High School Students
[NO] 837/1805 | Hybrid PMI Selection for Codebook-Based MIMO in 5G NR Under CSI Feedback Delay and High Mobility
[NO] 838/1805 | Design of Highly Selective Hairpin Filter on Al
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Substrate for Ku-band Applications
[NO] 839/1805 | Video Brightness-Aware Encoding to Optimize Energy Consumption in HTTP Adaptive Streaming
[NO] 840/1805 | Research Methodology for Analyzing Fluid Flow Parameters in Electric Boiler Heat Exchangers within Heating Systems
[NO] 841/1805 | Power efficient Flash ADC using optimized dynamic comparator
[NO] 842/1805 | A Trustworthy Adaptive $h$-Refinement Method for High-Resolution Scattering Centers Imaging
[NO] 843/1805 | Solving Electromagnetic Scattering Problem of Multi Targets by MoM and Vector Spherical Wave Transition Matrix
[NO] 844/1805 | Review of the Challenges with High Solar Photovoltaic Penetration in Power System
[NO] 845/1805 | A Hybrid Human–AI Assessment Pipeline for Proof-Based Mathematics Courses: A Cross-Domain Design in Real Analysis, Abstract Algebra, and Number Theory
[NO] 846/1805 | A Passive Vector Modulator for 28-Ghz Applications
[NO] 847/1805 | Low-Noise Microwave Amplifier Design Using Ideal Matching Two-Ports
[NO] 848/1805 | Developing an Immersive Application of Therapeutic Art for Emotional Regulation
[NO] 849/1805 | An AI-Enhanced Extended Reality Framework for Probabilistic Thermal Comfort Assessment in Sustainable Building Design
[NO] 850/1805 | Semantic Node Similarity in Graphs Using Transformer-Based Embeddings
[YES] 851/1805 | Development and Analysis of a Parser for Program Models in the SimInTech PL Language
[NO] 852/1805 | Unified Heterogeneous Event Sequence Modeling for Remission-Stage Risk Prediction among Cancer Survivors with Multiple Chronic Conditions
[NO] 853/1805 | Simulation-Based Evaluation of Thermal Image Degradation Techniques for Power Substation Diagnostics
[NO] 854/1805 | Soft Wireless Wearable Bioelectronics for Continuous Monitoring of Brain Water Dynamics Across Sleep Stages
[NO] 855/1805 | Flexible multimodal sensor-integrated upper-limb prostheses simulator to monitor functional engagement
[NO] 856/1805 | Immersive Environments in Medical Education: A Virtual Reality Approach to Angioplasty Training
[NO] 857/1805 | Configuration and Testing of a Feeder Protection-Based Power Redirection Technique with IEC 61850 Standard GOOSE Control Model Using Hardware-in-the-Loop for an Electrical Distribution System
[NO] 858/1805 | MOR-GPCCA for Clinically Anchored Longitudinal MRI Biomarkers and SuStaIn Subtype–Stage Modeling in Alzheimer’s Disease
[NO] 859/1805 | Implementation of a Powered Visual Perception System for Real-Time Obstacle Classification and Spatial Navigation for People with Visual Impairments
[NO] 860/1805 | Techno-Economic Assessment of Green Hydrogen Production via Grid-Connected Electrolysis in Uruguay
[NO] 861/1805 | Research on Characteristic Mode Analysis Method Based on Partially Overlapping Basis Functions
[NO] 862/1805 | Beyond Accuracy: A Cost Aware Evaluation of Mobile Typing-Based Authentication
[NO] 863/1805 | Assessing Audit-Readiness in IDS and SIEM Alert Triage via Semantic Evidence Hooks
[NO] 864/1805 | Temperature-Tunable Microwave Absorption in Bamboo-Derived Porous Carbon: A Physics-Based Parametric Framework
[NO] 865/1805 | Effect of the SiO
                    <sub>2</sub>
                    Layer on the Diffusion of Al Atoms from the Sapphire Substrate into the Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Thin Film Used as a Lambda-Probe
[NO] 866/1805 | SmartFuse-LLM: Fusing Computation into Collectives for Efficient Tensor-Parallel LLM Systems
[NO] 867/1805 | YOPOv2-Tracker: An End-to-End Agile Tracking and Navigation Framework_supp1-3721689.mp4
[NO] 868/1805 | Enhancing Remote Sensing Semantic Change Detection via Transferring and Adapting Binary Change Detection Strategies_supp1-3722510.pdf
[NO] 869/1805 | An Effective Ensemble Algorithm with Improved DLinear Model for Power Generation Prediction
[NO] 870/1805 | Forecasting Distribution Transformer Parameters Using Machine Learning Algorithm and Advanced Metering Infrastructure (AMI) Data
[NO] 871/1805 | Analytical Investigation of the Humidity Effects on Repetitive Partial Discharge Inception Voltage in Inverter-Fed Motor Windings
[NO] 872/1805 | REC-RL: Referring Expression Counting via Gaussian and Range-Based Reward Optimization
[NO] 873/1805 | HQFL-Net: A Hybrid Quantum-Classical Federated Learning Framework for Explainable Cardiovascular Disease Prediction on Edge Devices
[NO] 874/1805 | GPT-2 Pre-trained Model and Prompt Learning Based Zero-shot Opinion Classification for Modern Chinese Newspapers
[NO] 875/1805 | A Time-Domain Approach with Adaptive Parameter Identification
[NO] 876/1805 | Analysis and Evaluation of Endodontic Instrument Wear
[NO] 877/1805 | Pixel to Geocoordinate Mapping in Oblique and Nadir UAV Imagery
[NO] 878/1805 | An Adaptive Distance-Velocity Weighted Force Field for Real Time Obstacle Avoidance in Unmanned Ground Vehicles
[NO] 879/1805 | Optimization of Queue Management to Improve Patient Wait Times at the HRDCQ DAC-Huancayo Outpatient Clinic
[NO] 880/1805 | Design and Experimental Validation of an Integrated Electronic Control System for Nuclear Magnetic Resonance Gyroscope
[NO] 881/1805 | LMI-Driven $\mathcal{L}_{2}$-Robust Design for State-Space Takagi-Sugeno Fuzzy Systems
[NO] 882/1805 | Topology-Prompted Spatio-Temporal Transunet: A Geometry-Aware Framework for Consistent Dental Plaque Assessment
[NO] 883/1805 | Design, Analysis, and Simulation of a Modular Frame-Based Gravity Energy Storage Test Platform
[NO] 884/1805 | Multi-Task Transformer-Based Surrogate Modeling for Torque Performance Prediction in IPM Machines
[NO] 885/1805 | HMS-BERT: Hybrid Multi-Task Self-Training for Multilingual and Multi-Label Cyberbullying Detection
[NO] 886/1805 | How to Train Your Generative Diffusion Model, When all Training Images are Degraded, to Model a Distribution on High-Quality Images
[NO] 887/1805 | Index
[NO] 888/1805 | Stiffness Analysis of a Cable-Driven Compliant Leg with Rolling Contact Joints
[NO] 889/1805 | Predictive Handover Control with Mobility and Future Signal Quality Awareness for 5G Vehicular Networks
[NO] 890/1805 | Evaluation of Transformer and Gradient Boosting Models for Indonesian Mental Health Text Classification
[NO] 891/1805 | Distribution Operating Security Space-based Power Decoupling Mechanism of Multiple Virtual Power Plants
[NO] 892/1805 | Development of a Visual-Based Medication Packaging Recognition System Supported by Generative AI for the Visually Impaired
[NO] 893/1805 | SCIPS: Single-Shot Photometric Stereo from a Snapshot Compressed Multispectral Image
[NO] 894/1805 | Dual-Level Scheduling Optimization of Micro-Grid with Electric Vehicles
[NO] 895/1805 | On the Feasibility of Passive Bistatic ISAC Based on Unmodified Lora
[NO] 896/1805 | Least Significant Bit Steganography Detection and Analysis Using Large Language Models for Digital Forensics
[NO] 897/1805 | Test-Time Image Adaptation for Semantic Segmentation from Noisy Images Via Logit Refinement and Region-Constrained Activation Maximization
[NO] 898/1805 | TSD-NMT: A Three-Stage Decoding Neural Model for Machine Translation
[NO] 899/1805 | Implicit Subblock Transform for Versatile Video Coding
[NO] 900/1805 | Improving Similarity-Based Knowledge Transfer Using Prototype Representations
[NO] 901/1805 | Table of Contents
[NO] 902/1805 | Depth from Defocus via Direct Optimization
[NO] 903/1805 | Design of a Composite Phase-Locked Loop System Based on Cascaded Adaptive Notching and Dynamic Decoupling
[NO] 904/1805 | MoE-Driven Modality-Invariant Feature Learning for Visible-Infrared Person Re-Identification
[NO] 905/1805 | Social Group Activity Recognition from Still Images Using Conditional Token Sequence Generation
[NO] 906/1805 | Sensorless Control of Permanent Magnet Synchronous Motor Based on Adaptive-Bandwidth Linear Active Disturbance Rejection Controller
[NO] 907/1805 | Coated Measuring Artefact for Measurement Noise Metrological Characteristic Determination
[NO] 908/1805 | Uncertainty-Aware DualU-Net: Integrating Calibration and Uncertainty Fusion from Dual Decoders for Cell Analysis
[NO] 909/1805 | GeoScaffold: Implicit Geometric Scaffolding and Directional Distillation for Missing-Modality Multi-Modal MRI Segmentation
[NO] 910/1805 | Time-Reversal-Based Iterative Identification of Chipless Tags Using a Multi-Antenna Reader
[NO] 911/1805 | Technical Program Committee
[NO] 912/1805 | A KG-LLM Pipeline for Automated Regulatory Alignment in CPS-IoT Systems
[NO] 913/1805 | Performance Evaluation of API Gateways in Microservices System: No Gateway, Kong, and Native
[NO] 914/1805 | AI Agent-Driven Personalized Health Management Using Wearable Devices
[NO] 915/1805 | Non-Contact Partial Discharge Localization in Aged Epoxy-Molded Busbars Using Multi-Loop Magnetic Sensors
[NO] 916/1805 | Enhancing Transformer Protection Coordination Using IEC 61850 GOOSE-Based Non-Cascade Scheme Under Breaker Failure Conditions
[NO] 917/1805 | Learning Dual-Attribute Prompts with Progressive Tuning for AI-Generated Image Quality Assessment
[NO] 918/1805 | Deep Reinforcement Learning for Dynamic Resource Allocation in Contested Electro-Optic Warfare
[NO] 919/1805 | Hierarchical Integrated Sliding Mode Control for Civil Aircraft Wiper Synchronization Under Compound Disturbances
[NO] 920/1805 | FORGE-3R: Inference-Time State Management for Long-Sequence 3D Reconstruction
[NO] 921/1805 | An Overview of Screen-Content Coding Tools in AV2
[NO] 922/1805 | A Network-Aware Multi-Agent System for Intelligent ADR Detection Using Pagerank-Based Agent Ranking
[NO] 923/1805 | A Robust Multi-Metric Approach for Social Assistance Targeting Using Machine Learning Techniques
[NO] 924/1805 | Use of Electrical Capacitance Tomography in Robot Embedded Sensing
[NO] 925/1805 | Foldable Pouch Motor for Wearable Upper Limb Assistance and Rehabilitation
[NO] 926/1805 | Characterization of Compound Conditional Diagnosability for Interconnection Networks
[YES] 927/1805 | An LLM Based Framework for Automated MILP Modeling in Dynamic Multi-Robot Task Scheduling
[NO] 928/1805 | Multi-State Recognition Method for Coal Mine Ventilation Systems via Abductive Learning
[NO] 929/1805 | Leveraging Enhanced Cardiopulmonary Coupling in a Multi-Stream Deep Learning Framework to Improve Obstructive Sleep Apnea Detection
[YES] 930/1805 | Treat LLM-Generated Terraform as Untrusted: An Exploratory Security Study and a Practitioner’s Verification Workflow
[NO] 931/1805 | Accelerating Deep Learning for Medical Image Analysis: A GPU Approach Integrating Mixed Precision, Data Pipelining and XLA Compilation
[NO] 932/1805 | Uncrewed Aerial Vehicle Remote Sensing for Meteorology: A review of current status, applications, and opportunities
[NO] 933/1805 | Heterogeneous Graph Attention Network Assisted Bi-Population Co-Evolution for Networked Cloud Manufacturing Scheduling
[NO] 934/1805 | Large-Scale Crowd Counting by Hierarchical Context Guided Aggregation Network
[NO] 935/1805 | An Asynchronous Gradient Fusion Framework for Distributed Deep Learning in Tuberculosis Chest X-ray Diagnosis
[NO] 936/1805 | A Compact Low-Power D-Band Receiver With Integrated LO Generation and Phase Shifting for Beamforming Applications
[NO] 937/1805 | Understanding and Addressing Reliability Challenges in MoS₂-Based Circuits Under Static and Transient Stress Conditions
[NO] 938/1805 | Joint Pulse-Amplitude and Transmission-Instant Optimization in Non-Uniform PRF Radar for Moving Target Detection
[NO] 939/1805 | Anatomical Prior-Guided Black-Box Attack Optimization for Prostate Tumor mpMRI Classification Models
[NO] 940/1805 | MobileBiHap: Real-time Bi-manual Interaction and Haptic Feedback Using Smartphones and Unity3D
[NO] 941/1805 | Sustainable Collaborative Computing Empowered by the Synergy of Mobile Vehicles and UAV
[NO] 942/1805 | Drift-Robust Differential Processing for Improved Measurement Fidelity and Stability in Distributed Acoustic Sensing_supp1-3720467.docx
[NO] 943/1805 | Quantum Optimized Crossover for the Travelling Salesman and Minimization of Makespan with Setup Times
[NO] 944/1805 | Constraint-Handling Techniques used with Evolutionary Algorithms
[NO] 945/1805 | Beyond a Single Plan: Genetic Algorithms for Flexible Maritime Search and Rescue
[NO] 946/1805 | Self-Evolving Graph Neural Network Design Inspired by Neural Cellular Automata
[NO] 947/1805 | Associative Constructive Evolution: Enhancing Metaheuristics through Hebbian-Learned Generative Guidance
[NO] 948/1805 | Optimizing Appliance Scheduling for Solar Energy Management Using Metaheuristic Algorithms
[NO] 949/1805 | Evolutionary Algorithm For Reservoir Learning And Yielding
[NO] 950/1805 | Web Meta-ERM: An Application to Compare Optimization Algorithms in Smart Grid Environments
[NO] 951/1805 | TopFGL: A Topology-Aware and Distributionagnostic Federated Learning Framework Tackling Topological Heterogeneity on Graph Data
[NO] 952/1805 | Security-Aware Geometrically Robust 3D Watermarking: Threat Models, Games, and Evaluation Protocols
[NO] 953/1805 | Study on Uncertainty of Electromagnetic Scattering from Dusty Plasma Based on S-FDTD Method
[NO] 954/1805 | A Set-Theoretic Approach to Detecting Logic Bugs in DBMS Inner Join Optimizations
[NO] 955/1805 | [Experiment, Analysis, and Benchmark] Systematic Evaluation of Plan-Based Adaptive Query Processing
[NO] 956/1805 | Reconfiguring Scalable Hashing with Persistent CPU Caches
[NO] 957/1805 | CADMAS: Development of a Centralized Academic Data Management and Analytics System for Data- Driven Education
[NO] 958/1805 | Non-toxic Screen Printed Supercapacitors
[NO] 959/1805 | OEPO: Online Experience-based Preference Optimization for CTR Prediction
[NO] 960/1805 | Real-Time Solar Power Forecasting for Off-Grid PV Systems Using CNN
[NO] 961/1805 | Parameter Identification of Lithium-Ion Battery Thevenin Model via PSO, HHO, and GA Optimization
[NO] 962/1805 | DBdoctor: A Fine-Grained and Non-Intrusive Performance Diagnosis Platform for Databases
[YES] 963/1805 | Text2sql-Flow: a Robust Sql-Aware Data Augmentation Framework for Text-To-Sql
[NO] 964/1805 | Pre-Service Teachers' Integration of Gender and Development Concepts in the Hybrid Classroom
[NO] 965/1805 | Explainable Kidney Stone Detection and Localization in CT with U-Net, EfficientNet, and Multi-Method XAI
[NO] 966/1805 | Real-Time Wind Speed Interpolation for Optimized Irrigation and Crop Yield Prediction in Smart Farming
[NO] 967/1805 | IOT Based smart parking system solution for detection of random Located spaces in parking area
[NO] 968/1805 | The Surface Current Reconstruction Method Based on EFIO and Multibranch RWG Basis Function
[NO] 969/1805 | Effectiveness of 5E's E-Workbook in the Conceptual Comprehension Skills in Thermodynamics for Marine Biology Freshmen Students
[NO] 970/1805 | An Intelligent Multi-Factor Student Attendance Management System
[NO] 971/1805 | Polymer Ferroelectric-Based Active Element for Needle Hydrophones
[NO] 972/1805 | High-Stakes AI Chatbot Systems in Mental Health Care: A Systematic Literature Review from a Critical Safety Perspective
[NO] 973/1805 | Ontology-Driven Identification of SNOMED CT Relations for Clinical Terms
[NO] 974/1805 | Investigation of the Electrochemical Deposition of a Copper-Germanium Alloy from a Cyanide Electrolyte
[NO] 975/1805 | Incremental GNN Embedding Computation on Streaming Graphs
[NO] 976/1805 | Early Anomaly Detection in Second-Life Battery Modules via Contextual–Temporal Local Outlier Factor (CT–LOF)
[NO] 977/1805 | Charge-storage evolution of TiO
                    <sub>2</sub>
                    ALD-coated AC flexible supercapacitors over long-term cycling
[NO] 978/1805 | Reliability, MTTF and Sensitivity Analysis of a Non-Repairable Series-Parallel System via Continuous-Time Markov Modeling
[NO] 979/1805 | Human-AI Collaborative Modeling for Healthcare Prediction Tasks in AgentDS
[NO] 980/1805 | Agent-Based Clinical AI System for Personalized Survival Risk Prediction
[NO] 981/1805 | Integration of UAV-Enabled Surveillance and GEOINT Fusion for Military Decision Support
[NO] 982/1805 | Energy Consumption Modeling of Heterogeneous Multicore Processor Systems under Diverse Workload Scenarios
[NO] 983/1805 | Performance Evaluation of Machine Learning Approaches for Automated Osteoporosis Detection
[NO] 984/1805 | Software Automation and Integration for a Synchrotron Radiation Beamline: From the “Technological Station” at VEPP-4M to Station 1-7 at SKIF
[NO] 985/1805 | On the Development of Collaborative Turtlebots
[NO] 986/1805 | Voices from Reddit: Users’ Experiences and Opinions with Generative AI for Health Problems
[NO] 987/1805 | Coarse-to-Fine Reconstruction for Tunnel Propagation via Axial Recurrent Upsampling
[NO] 988/1805 | Implicit-Explicit Wave Equation-Based Hybrid Element-Level and Subdomain-Level DGTD Method
[NO] 989/1805 | A Framework for Stakeholder Complaint Analysis in Higher Education Using Data Analytics and Natural Language Processing: Design and Ethical Considerations
[NO] 990/1805 | A Dovetail-Based Reinforcement Learning Architecture for Energy-Efficient and Fault-Tolerant Kubernetes Clusters
[NO] 991/1805 | Representative Functional Dependencies
[NO] 992/1805 | PURmgmt: A Culturally Tailored Digital Intervention for High-Purine Diet Management in China
[NO] 993/1805 | Formation of Hexagonal Pedestals in Si-doped GaN Layers Grown on AlN/Si(111) Templates
[NO] 994/1805 | Experimental Characterization of Minimal-Setup UWB Ranging for Tracking-Oriented Applications
[NO] 995/1805 | Utility-Maximizing Control of Battery Thermal Management Systems in Electric Vehicles Based on Actuarial Expected Loss: Gradient-Ascent Optimization with a Degradation-Hazard Sigmoid Risk Model
[NO] 996/1805 | Mechanically Resilient 3D-Microdome Electrode Array Based on Liquid Metal for Stable Signal Acquisition under Dynamic Deformation
[NO] 997/1805 | Patient Portal Enrollment Before and During the COVID-19 Pandemic
[NO] 998/1805 | E-Presence and Pilgrimage: the Influence of Digital Engagement on Tourist Motivation and Behavioral Intention in Visiting Religious Tourism Destinations
[NO] 999/1805 | A Stellar Oscillation Optimizer–Based Global MPPT Method for PV Systems Under Partial Shading
[NO] 1000/1805 | Greenhouse Environment and Plant Monitoring
[NO] 1001/1805 | Comparative Analysis of Transforming SAR GrayScale Images into Colorized Visuals Using Deep Learning Techniques
[NO] 1002/1805 | Public Perception and Sentiment toward Rupiah Redenomination on Social Media Using IndoBERT
[NO] 1003/1805 | Emotion Recognition Using CNN with Context Aware Music Recommendation
[NO] 1004/1805 | DJGen: Data &amp; Conjunctive Join Plan Generator
[NO] 1005/1805 | An Amortized O(1) Lower Bound for Dynamic Time Warping in Motif Discovery (Extended Abstract)
[NO] 1006/1805 | Mobile Robot Path Planning Based on the Hesitant Neutrosophic Set
[NO] 1007/1805 | ADS-B Signals as a Tool for Characterization of Tropospheric Propagation Effects in the UHF Band
[NO] 1008/1805 | The Initial Stage of the Method and the Software Package for Synchronous Interaction of Robots When Solving Problems Using UML
[NO] 1009/1805 | A Higher-Order CNTD-SGBC Method for Accurate Simulation of Dispersive Thin Layers
[NO] 1010/1805 | LAMP: A Dual-Mode Framework for Database Workload Memory Prediction
[NO] 1011/1805 | Transient Electromagnetic-Thermal Coupling Analysis for Eddy Current Thermal Effect
[NO] 1012/1805 | When Stress Meets System: A Preliminary PLS SEM Validation of Technostress Integration into IS Success Model in SAP ERP Environments
[NO] 1013/1805 | Augmenting College Students' Experience in Reading Philippine Literature Using Generative AI: A Quantitative Analysis of Attitudes and Intentions
[NO] 1014/1805 | SMQTT: An End-to-End Security Framework for MQTT-Based Industrial IoT Communications
[NO] 1015/1805 | Localized Strain Isolation for Rigid Component Integration in Stretchable Liquid-Metal Circuits
[NO] 1016/1805 | Development of a Geometric and Mathematical Model of The Cardiac Vascular System Based on Fractal Analysis
[NO] 1017/1805 | Evaluating Customer Experience on Digital Banking Loan Platforms: The Case of the Joint Stock Commercial Bank for Investment and Development of Vietnam
[NO] 1018/1805 | Fluid Simulation with the Lattice Boltzmann Method
[NO] 1019/1805 | Dreaming in 4 dimensions: generating media with Gemini, Genie, and Veo
[YES] 1020/1805 | Systematic Function Approximation on FPGAs to Address Accuracy and Throughput Issues in oneAPI and Vitis HLS Math Libraries
[NO] 1021/1805 | 2026 6th International Conference on Electrical, Computer and Energy Technologies (ICECET)
[NO] 1022/1805 | ICSETI 2026 TOC
[NO] 1023/1805 | Continuous Monitoring in Implantable Cardiac Devices: Electro-Quasistatic Human Body Communication– Challenges and Opportunities_supp1-3722470.pdf
[NO] 1024/1805 | A Quaternion Rotation-Enhanced Differential Privacy Framework for Image Privacy Protection_supp1-3707866.pdf
[NO] 1025/1805 | AI-Driven Synthesis of Training Environments for Scalable Reinforcement Learning
[NO] 1026/1805 | Template-dependent textural and magnetic properties of mesoporous silica-coated iron oxide nanoparticles_supp1-3723006.pdf
[NO] 1027/1805 | Real-Time Dual-Array Differential Magnetic Tracking for Active Capsule Robots
[NO] 1028/1805 | Drift-Diffusion Based Numerical Investigation of Two-Photon Absorption in Broad-Area High-Power Diode Lasers
[NO] 1029/1805 | Multireceiver SAS Image Improvement Using Refined Omega-k Algorithm
[NO] 1030/1805 | Interleaved Transceiver Design for a Continuous-Transmission MIMO-OFDM ISAC System_supp1-3722759.pdf
[NO] 1031/1805 | PlanGuard: Planning-Feasible Graph Diffusion with Goal Guidance for Multi-Objective Geospatial Planning
[NO] 1032/1805 | Impact of Electrode Material on Transient Current and Conduction Mechanisms in Oil Impregnated Pressboard Insulation
[NO] 1033/1805 | GNSS precise point positioning enhanced mobile laser scanning railway point cloud registration
[NO] 1034/1805 | IEEE CTSoc Technical Activities and Technical Committees
[NO] 1035/1805 | Good Begets Good: ESG Diffusion in a Supply Chain_supp1-3722908.docx
[NO] 1036/1805 | QuikDel: A Scalable Hierarchical Multi-agent System for Urban Delivery Using Q-Learning
[NO] 1037/1805 | FER20E: An Extended Facial Expression Recognition Dataset with 20 Discrete Emotions
[NO] 1038/1805 | Airborne Hyperspectral Lidar Detection of Clear Air Turbulence Via Fabry–Perot Etalon Four-Edge Frequency Discrimination: Method and Simulation-Based Performance
[NO] 1039/1805 | Modal-based Prediction of Power System Frequency Response and Frequency Nadir
[NO] 1040/1805 | A Singularity-Free Vector-Field-Based Framework for Safe Distributed Motion Coordination of Multi-Robot Systems_supp2-3723179.mp4
[NO] 1041/1805 | Modulating Multimodal Emotional and Social Perception of Huggable Robot Expressions Through Chest Haptics
[NO] 1042/1805 | DiEL: Disentangled Evolutionary Learning for Identity-Preserving Face Enhancement and Recognition
[NO] 1043/1805 | Ultrathin Transmissive Silicon Photodiodes for Beam Position and Monitor Applications
[NO] 1044/1805 | Adaptive Vibration and Consensus Control for Networked Mobile Vehicle-Mounted Manipulator With Actuator Faults and Output Constraints
[NO] 1045/1805 | Tensile Properties of an Aramid Insulating Paper
[NO] 1046/1805 | Objective Quality Assessment of Point Clouds Using Multi-scale Implicit Structural Similarity
[NO] 1047/1805 | PeCE: A Visual Analytics Paradigm for Enhancing Counterfactual Explanations_supp2-3722507.pdf
[NO] 1048/1805 | PeCE: A Visual Analytics Paradigm for Enhancing Counterfactual Explanations_supp4-3722507.pdf
[NO] 1049/1805 | DiBSNet: Disentangling Beam Squint for Robust Near-Field Localization
[NO] 1050/1805 | MolPACL: Molecular Property Prediction Based on Prompt Augmentation and Contrastive Learning
[NO] 1051/1805 | ISGM: An Illumination-Aware Semantic-Guided Mamba Network for RGB-Infrared Vehicle Detection in UAV Imagery
[NO] 1052/1805 | SE-Transformer Rolling Bearing Fault Diagnosis Method Based on Envelope Demodulation and VMD Feature Enhancement
[NO] 1053/1805 | Electric and Thermal Stress Analysis of a HV Insulation System Acc. to IEC 60034-18-42 for a Hydro Generator with Different Inverter Technologies
[NO] 1054/1805 | Energy Consumption Analysis of FPGA-Accelerated 2D HEVC Encoding in a Practical V-PCC Encoder
[NO] 1055/1805 | Denoising of Two-Phase Optically Sectioned Structured Illumination Reconstructions Using Encoder-Decoder Networks
[NO] 1056/1805 | Lifespan Prediction of Varnish-Impregnated Corona Armor Tape in Form-Wound Stator Coils
[NO] 1057/1805 | Towards reconstructing experimental sparse-view X-ray CT data with diffusion models
[NO] 1058/1805 | MDF: A Triple-Module Enhanced YOLO11n for Efficient Agricultural Disease Detection
[NO] 1059/1805 | Tuning-Free Instruction-Based Video Editing Via Structural Noise Initialization and Guidance
[NO] 1060/1805 | Using Identity Data to Reduce Security Risk
[NO] 1061/1805 | A Non-Invasive Approach for Stator End-Winding Insulation Repair
[NO] 1062/1805 | Refining Acoustic-Based 3D Human Pose Estimation via Vision Pretraining
[NO] 1063/1805 | Self-Supervised Perceptually Interpretable Monocular Depth Estimation
[NO] 1064/1805 | Joint Optimization of Eavesdropping and Energy Efficiency in UAV-Assisted Communication Systems Utilizing Deep Reinforcement Learning
[NO] 1065/1805 | Perceptually Optimized Lop in-Loop Filter for VVC Based on Multi-Scale Head Alignment
[NO] 1066/1805 | Density-Adaptive Lidar Point Cloud Compression
[NO] 1067/1805 | HGS: Head-of-Queue Slack-Aware Generation Scheduling for Generative Real-Time Interaction Systems
[NO] 1068/1805 | Hand Pose Recognition with Deep Learning Based on Edge Computing for DJI Ryze Tello Drone Control
[NO] 1069/1805 | STRIDE: Bidirectional Soft-Token Propagation for Faster Diffusion Language Models
[NO] 1070/1805 | A Study on Hybrid Damping and Optimal Control Strategies for Compensators to Ensure the Stability of Grid-Connected Photovoltaic Systems in Extremely Weak Grid Environments
[NO] 1071/1805 | Preface
[NO] 1072/1805 | Meaningful Level Sets for Small Spot Detection
[NO] 1073/1805 | Preprocessor-Enhanced Image Compression for Joint Machine and Human Vision
[NO] 1074/1805 | Author Index
[NO] 1075/1805 | RACG-Ground: Ring-Adaptive Confidence Gating for LiDAR Ground Segmentation
[NO] 1076/1805 | Blank Page
[NO] 1077/1805 | CMOS-Based Integrated Circuits Above 0.2 THz: Circuit Techniques and System Demonstrations
[NO] 1078/1805 | <i>CA3D:</i>
                    Computing Accessibility-Aware Cooperative 3D Deployment of Multiple UAVs
[NO] 1079/1805 | Semantic Consistent Memory Hashing with Incremental Regularization for Incomplete Cross-Modal Retrieval
[NO] 1080/1805 | IEEE CTSoc World Newsletter
