[2026-09-23 00:02:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-22
正在获取论文...
[ACM] 2026-9-22 | I/O-Cool: Using I/Os for Temperature Regulation When Training on the Edge
[NO] 598/1000 | Leveraging Artificial Intelligence and Machine Learning for Robust Intrusion Detection in Software-Defined Networks
[NO] 599/1000 | BiLSTM with Transfer Learning for Detection of Alzheimer's Disease from Brain MRI
[NO] 600/1000 | A Meta-Learning-Based Clustering Algorithm Recommendation Method
[NO] 601/1000 | Anomaly Detection of Power Grid Measurement Data Based on Feature Fusion and Lof
[NO] 602/1000 | A Novel Single-Ended Protection Based on the Difference of Current Mode Component for DC Lines in MMC-MTDC System
[NO] 603/1000 | An Intelligent ETL–NLP Framework for Automated Node-to-Node Business Analytics and Decision Support
[NO] 604/1000 | Gen-ACSAC: A Maneuver Control Strategy via Generative Automatic Curriculum Reinforcement Learning
[NO] 605/1000 | SoK: On the Survivability of Backdoor Attacks on Unconstrained Face Recognition Systems
[NO] 606/1000 | Research on SOH Estimation Method for Lithium Batteries Based on Charging Characteristics and TMR Algorithm
[NO] 607/1000 | Safety-Aware Multi-Objective Motion Control with Online Hand-Eye Coordination for Robotic Laser Manipulation in Laparoscopic Surgery
[NO] 608/1000 | Design of a Cylindrical Linear Generator Based on PWM-Segmented Magnets
[NO] 609/1000 | LLM-Based NPCs in Video Games: A Systematic Mapping Study
[NO] 610/1000 | Power Prediction-Based Intelligent Health Assessment for Wind Turbines Using SCADA Data: A Case Study of a Wind Farm in Guangxi
[NO] 611/1000 | Comparison of Different Winding Configurations for Dual Three-Phase Winding Permanent Magnet Synchronous Machine
[NO] 612/1000 | Enhancing Lunar Landing PVT Performance using LCNS Signals and Vision-Based Navigation
[NO] 613/1000 | A Novel Design of a Triaxial Electrostatic-capacitive MEMS Force Sensor with In-plane Differential Readout
[NO] 614/1000 | Quantum Walk-Based Sliding Window Image Edge Detection Framework
[NO] 615/1000 | An Optic-Acoustic Fusion Method Based on Directional Angle for Underwater 3-D Reconstruction
[NO] 616/1000 | Message from the Program Chairs
[NO] 617/1000 | Cooperative Scheduling and Benefit Settlement of a Data Center and an Electricity Aggregator Under Time-Of-Use Pricing
[NO] 618/1000 | A Voltage-Coupling Partition-Based Configuration Strategy of Grid-Forming Energy Storage for Power System Strength Enhancement
[NO] 619/1000 | Position-Robust 2-D Waveguide Power Transfer Using a Passive Reflection Coil
[NO] 620/1000 | Research and Application of Key Technologies for Mine Tunnel Flame Recognition
[NO] 621/1000 | Real-Time Temperature Estimation of a PMSM Using ANN-Assisted Transient Low-Order LPTN Model
[NO] 622/1000 | Damping Analysis of Ultra-Low Frequency Oscillation in Hydropower-Dominated Complementary Systems with Wind Power and Energy Storage Integration
[NO] 623/1000 | Tibetan Medicine Named Entity Recognition Combining Domain Dictionaries and Multi-Granularity Representations
[NO] 624/1000 | MiTHras: Task-specific Hierarchical Semi-supervised Contrastive Masked Autoencoder for Mitotic Figure Analysis
[NO] 625/1000 | Automatic Visual Measurement of Small Apertures in Woven-Wire Test Sieves Using Periodic Topology Constraints and Robust Subpixel Boundary Extraction
[NO] 626/1000 | Automated Terminal-to-Housing Assembly System for Flat Ribbon Cable Harness
[NO] 627/1000 | TrajGuard: A Synthetic Trajectory Privacy Protection Method for Sensitive Locations
[NO] 628/1000 | Efficient and Effective Federated Unlearning via Adaptive Data Partitioning
[NO] 629/1000 | Compensation Effect Amplification Control (CEAC): A movement-based approach for coordinated position and velocity control of the elbow of upper-limb prostheses_supp1-3735419.mp4
[NO] 630/1000 | Multi-Objective Optimization of Electro-Hydrogen-Ammonia Systems for PV Accommodation and Carbon Reduction in Zero-Carbon Parks
[NO] 631/1000 | Interpolation-Free Multi-PRF Spectral Uniformization for Spaceborne SAR Terrain Matching Curved Imaging
[NO] 632/1000 | Neural Motion Blur Rendering with Deformable Kernel Prediction_supp1-3735888.mp4
[NO] 633/1000 | MIMIC: Motion-Imitating Marionette Interactive Controller
[NO] 634/1000 | Memory-efficient High-ratio Model Compression for Image Super-resolution via Hybrid Hashing
[NO] 635/1000 | A Stage-Adaptive Evaluation and Screening Method for Technical Solutions in New-Type Power Systems
[NO] 636/1000 | Advanced Energy Optimization in Photovoltaic Systems Using Max-Gain Converter and RNN Based MPPT for Smart Grid Applications
[NO] 637/1000 | TOMIRQA: Tomato Image Recognition and Quality Assessment Using MobileNetV2
[NO] 638/1000 | Preface
[NO] 639/1000 | Carbon Footprint Context Cards: A Metadata Framework for Software Carbon Accounting
[NO] 640/1000 | io.stream: cgroup-Granular FDP for Unmodified Workloads
[NO] 641/1000 | Hybrid Tree Based Models for GNSS Position Error Estimation
[NO] 642/1000 | Capacity Planning of a Wind-PV-Battery-Hydrogen Supplementary Backup System for Long-Duration Loop Support in Nuclear Power Plants
[NO] 643/1000 | Instruction-Tuned LLMs via Bayesian Mixture Model Preference Priors
[NO] 644/1000 | Foliease-Detective: A ResNet-50 Inspired Deep Learning Framework Integrated System for Plant Disease Identification with Personalized Care Recommendation
[NO] 645/1000 | Automated Terminal-to-Housing Assembly System for Flat Ribbon Cable Harness_supp1-3735421.mp4
[NO] 646/1000 | GDPR and Asset Management: Governance, Compliance, and Strategic Implications
[NO] 647/1000 | Deep Learning-Based Legal Contract Summarization and Risk Detection Using NLP and Domain-Specific Transformers
[NO] 648/1000 | Miniaturized Magnetoelectric Antennas for Efficient Wireless Power Transfer to Implantable Medical Devices
[NO] 649/1000 | Overhead Millimeter-Wave Single-Antenna Architecture for Wireless VR/AR Head-Mounted Display Tethering
[NO] 650/1000 | Table of Contents
[NO] 651/1000 | Large-Swing Modeling and RF Characterization of High-Voltage AlGaN/GaN Schottky Diode Toward Wireless Power Transfer Applications
[NO] 652/1000 | Multi-Objective Cooperative Control Method for Energy Storage Systems Based on Deep Reinforcement Learning
[NO] 653/1000 | Sonomyography-Based Decoding of Attempted Hand Movements in Individuals with Spinal Cord Injury
[NO] 654/1000 | Analytical Kernel Kalman Filter with RKHS-Based Measurement Model Approximation
[NO] 655/1000 | Object-Oriented Design for C++ Algorithm Visualization Teaching Tool
[NO] 656/1000 | Chance-Constrained Multi-Timescale Voltage Control in Active Distribution Networks Using DNN-Enhanced Surrogate Control
[NO] 657/1000 | 2026 IEEE/IAS Industrial and Commercial Power System Asia (I&amp;CPS Asia)
[NO] 658/1000 | Attn-LoadNet: A Spatio-Temporal Attention Network for Multivariate Electricity Load Forecasting
[NO] 659/1000 | DGGM: Statistical Quality Assessment for Surveillance Camera Sensors
[NO] 660/1000 | Design of Electric Vehicle Wireless Charging System Based on Magnetic Coupling Resonance
[NO] 661/1000 | Lightweight Pilot Estimation on LEO Satellite Signals for Enhanced SOP Navigation
[NO] 662/1000 | GNSS Synthetic Aperture for Direction-Finding of Signal Sources in a Jamming Scenario
[NO] 663/1000 | Flared-Shape Omnidirectional Antenna for 5G ORAN Indoor Communication Systems
[NO] 664/1000 | An AI-Driven Dialogue System for Ideological and Moral Education in Higher Education
[NO] 665/1000 | Stability Margin Quantification and Optimal Configuration of Hybrid GFL and GFM DFIG Systems
[NO] 666/1000 | Integrating EEG Signal Analysis, Machine Learning, and Traditional Chinese Medicine: A Novel Approach for PD-Associated Anxiety Diagnosis and Brain Network Modulation
[NO] 667/1000 | Design of a Three-Phase Wireless Power Transfer System for Electric Vehicles Based on Hybrid Models
[NO] 668/1000 | dBBR: Enhance BBR Performance with Delay Information
[NO] 669/1000 | Agentic FinOps: An Autonomous Framework for Real-Time Cost Governance in AI-Infused Cloud Architectures
[NO] 670/1000 | IIR-Net: Illumination Inconsistency Representation with Relighting-Guided Enhancement for Generalizable Deepfake Detection
[NO] 671/1000 | Causal Regularization AMLSTM Based Remaining Useful Lifetime Prediction Model for IGBT Modules in Maglev Train Levitation Choppers
[NO] 672/1000 | Adaptive Robust Fractional-Order Graph Attention Network Based Noise Prediction for Train Traction Motor*
[NO] 673/1000 | Grid-Forming Converter Control Architectures, Stability Mechanisms, and Grid-Integration Requirements: A Critical Review With Unified Benchmark Validation Toward a Technology Roadmap for High-Renewable Power Systems
[NO] 674/1000 | CIML 2026 Copyright Page
[NO] 675/1000 | Green MEC-Enabled Cell-Free Massive MIMO: Co-Design of Power Allocation, Computation Offloading, and NOMA User Clustering
[NO] 676/1000 | Multi-Task Multi-Emotion Joint Representation and LLM-Based Posterior Calibration for Mental Health Risk Assessment
[NO] 677/1000 | RobustBlack: Challenging Black-Box Adversarial Attacks on State-of-the-Art Defenses
[NO] 678/1000 | Research On Airport Runway Damage Assessment Method Based On CPSO-BP Neural Network Model
[NO] 679/1000 | Homophily-aware Supervised Contrastive Counterfactual Augmented Fair Graph Neural Network
[NO] 680/1000 | Depth Operator Identification and Low-Rank Dynamic Pattern Mining of Time-Varying Hysteresis Effect of Thermal Inertia in Heating System Under Variable Working Conditions
[NO] 681/1000 | Research and Practice of Psychological Assessment System Based on AI Large Models
[NO] 682/1000 | Voltage-Security-Constrained Demand Response at DC Fast-Charging Stations: Separating Deferral Value from Storage Value
[NO] 683/1000 | Graph-Based Anomaly Detection in LTE Networks: Effects of Temporal Aggregation and Window Alignment
[NO] 684/1000 | A CubeSat-Compatible Optothermal Sensing Platform for Biofilm Fluorescence Monitoring
[NO] 685/1000 | Multi-Scale Feature Fusion SNN with Temporal Self Attention for UAV RF Signal Classification
[NO] 686/1000 | YOND: Practical Blind Raw Image Denoising Free from Camera-Specific Data Dependency
[NO] 687/1000 | An Enhanced l
                    <sub>q</sub>
                    Iterative Reweighted Norm for MIMO Radar DOA Estimation
[NO] 688/1000 | Mechanism Analysis of Cross-Time-Scale Oscillations in Grid-Forming Converters Based on Interaction Energy Elements
[NO] 689/1000 | Bilevel Multiobjective Learning Model for Kolmogorov-Arnold Networks
[NO] 690/1000 | Privacy Risks in Time Series Forecasting: User- and Record-Level Membership Inference
[NO] 691/1000 | Important Dates
[NO] 692/1000 | Health-Aware Optimal Power Flow
[NO] 693/1000 | CARINA: Carbon-Aware Execution of Recurrent Industrial Analytics
[NO] 694/1000 | Characterizing Communication Compression on NVIDIA BlueField-3 DPU for Distributed Training
[NO] 695/1000 | Investigating the Effects of Different Levels of User Control in an Interactive Educational Recommender System
[NO] 696/1000 | Deep Learning Enabled Fruit Quality Assessment With Spatial-Spectral Feature Fusion
[NO] 697/1000 | Configuration of Distributed Synchronous Condensers for Suppressing Transient Overvoltage in Low-SCR UHVDC Sending-End Grids
[NO] 698/1000 | Simulation Optimization on Epitaxial Structure of 940 NM Edge-emitting Laser for HVDC Thyristor Valve Light-Triggered Driving
[NO] 699/1000 | Conference Committee
[NO] 700/1000 | Evaluation of HTS-YBCO Coils for Efficient HighFrequency Wireless Power Transfer
[NO] 701/1000 | IEEE Vehicular Technology Society Information
[NO] 702/1000 | Optimal Capacity Configuration of Electricity-Hydrogen Microgrids Considering Extreme-Week Off-Grid Reliability Validation
[NO] 703/1000 | A Fully Integrated 2-bit CMOS RF Transceiver for Multi-Band Wireless Communication Applications
[NO] 704/1000 | A Fractional-Order Model for Lithium-Ion Batteries Based on Multi-Source Data Fusion
[NO] 705/1000 | Efficient Numerical Approach and Experimental Validation for MAPOD in Eddy Current Nondestructive Testing
[NO] 706/1000 | Research on Temperature Decoupling for Adjacent Temperature Regions Based on Feature Combination with RDTS System
[NO] 707/1000 | Static and Dynamic Electric Vehicle Charging Scheduling Based on Multi-Source Human–Vehicle–Charger–Grid Data Fusion
[NO] 708/1000 | Maneuver-Attitude-Occlusion Coupled Modeling and LCR Analysis for UAV-to-UAV Channels
[NO] 709/1000 | Multi-Source Forward-Transmission Vibration Sensing With Simultaneous Communication Using Modified DUET
[NO] 710/1000 | Tibetan Handwritten Digit Recognition via Weighted Temperature Softmax with Class-Balanced Cross-Entropy
[NO] 711/1000 | A Delay-Insensitive ZVS Monitoring Method for 13.56 MHz WPT Systems Based on the Peak-toAverage Current Ratio
[NO] 712/1000 | YOLOv7-Based Monocular Indoor Planar Localization for Intelligent Mobile Robots
[NO] 713/1000 | Collision-Free Channel Access Using Transmission Queues with Fast Queue Joining
[NO] 714/1000 | Design of Improved Ant Colony Optimization Algorithm for Agricultural UAV Path Planning and Energy Consumption Optimization
[NO] 715/1000 | Author Index
[NO] 716/1000 | Coordinated Control Method for Renewable Energy Power Systems in Smart Grid Environments
[NO] 717/1000 | Autonomous Financial Close Systems Using Intent-Based AI Orchestration
[NO] 718/1000 | Load-Normalized Transient Features for Bipolar DC Line Fault Diagnosis
[NO] 719/1000 | Histopathology Nuclei Segmentation Using Fuzzy Logic-Based Preprocessing
[NO] 720/1000 | Preface
[NO] 721/1000 | Enhancing Collaborative Filtering With Large Language Model Embeddings for User Cold-Start Recommendation
[NO] 722/1000 | Design of a Passive, Reactively Loaded Coil Array for Inductive WPT Range Extension
[NO] 723/1000 | Covertness-Oriented Water-to-Air Optical Wireless Semantic Communications
[NO] 724/1000 | ICSSIP 2025 Copyright Page
[NO] 725/1000 | A Fuzzy Neural Network Model With Histogram-Based Fuzzification for Crop Recommendation
[NO] 726/1000 | Application and Optimization of Electric Vehicle Energy Storage Synergy in Joint Microscopic Simulation of Transportation and Distribution Networks
[NO] 727/1000 | Gated Graph Convolution-Integrated Topic-Aware Model for Cyberbullying Identification
[NO] 728/1000 | Reinforcement Learning empowered Dynamic Task Scheduling in UAV Networks
[NO] 729/1000 | TSOR-Constrained Coordinated Voltage Control for Active Distribution Networks Considering Transformer Aging Under Bidirectional Power Flow
[NO] 730/1000 | Two-Stage Stochastic Capacity Configuration of Integrated Energy Production Unit Considering Ladder-Type Carbon Trading
[NO] 731/1000 | Power Forecasting for Multi-Source Energy Systems of Ocean Buoys Based on a VMD Hybrid Model
[NO] 732/1000 | LLM-Inspired Fine-Grained Financial Sentiment for Short-Term Stock Prediction
[NO] 733/1000 | Optimal Economic Scheduling for Industrial Park Integrated Energy Systems Incorporating Electric Vehicles and Flexible Loads
[NO] 734/1000 | Drive Cycle Loss Reduction of an Inductive Excitation System for an Electrically Excited Synchronous Machine by a Multi-Inverter Topology
[NO] 735/1000 | MI-GridNet Model for Myocardial Infarction Detection from ECG Signal: A Deep Learning Approach
[NO] 736/1000 | Research on Photovoltaic Access Traction Power Supply System Based on Single-Phase to Three-Phase Topology
[NO] 737/1000 | Transparent Internet Protocol Communication Over X-Band/S-Band Links for High-Altitude Platforms
[NO] 738/1000 | Super-Twisting Sliding Mode Control Based Split-Phase Power Regulation of the Three-Phase Voltage Source Converter
[NO] 739/1000 | BGTH-ADRLS: A Blockchain-Enabled Deep Reinforcement Learning for Cloud Resource Allocation and Adaptive Task Scheduling
[NO] 740/1000 | The Book Review Column
[NO] 741/1000 | Product Forms in Closed Order Independent Queues
[NO] 742/1000 | Deep Learning Method for Stationary Distribution of RBM
[NO] 743/1000 | Disaggregated LLM KV-Cache Storage Requires Coordination-Free Consistency Abstractions
[NO] 744/1000 | The Multimodal Agent Interfaces Paradigm Shift
[NO] 745/1000 | Coordinated Control Strategy of Forward Active Power Transmission for VSC-HVDC Offshore Wind Farms Under AC Collection Line Faults
[NO] 746/1000 | Policy-Guided Retrieval-Augmented Generation for Low-Carbon Dispatch of Park-Level Source-Grid-Load-Storage Integrated Regions
[NO] 747/1000 | A Fully Distributed Cooperative Control Strategy for AC Microgrid Clusters in Peer-to-Peer Based Flexible Multi-Terminal DC Interconnection
[NO] 748/1000 | New Synthesized Electric Field Focusing Technique for TMS by Two Differential O-O Coils
[NO] 749/1000 | Balancing Detection Efficacy and Robustness: A Weighted Sign-Energy Detector for Spectrum Sensing
[NO] 750/1000 | Chance-Constrained Bi-Level Look-Ahead Dispatch Model Considering Photovoltaic Uncertainty
[NO] 751/1000 | TSAE-MCS:A Data Quality Assurance Framework Based on Trustworthy Seed Guidance and Adaptive Exploration
[NO] 752/1000 | Comparative Energy Efficiency Analysis of Advanced OFDM-IM Schemes for 6G IoT
[NO] 753/1000 | Energy Harvesting from Low-Voltage and Low-Current Mains Power Lines for IoT
[NO] 754/1000 | A Multi-Device Coordinated Voltage Control Method Considering the Characteristics of Dynamic and Static Reactive Power Resources
[NO] 755/1000 | Graph Neural Networks for Groundwater Storage Prediction: A Comparative Analysis of Spatio-Temporal Modeling Approaches
[NO] 756/1000 | Lessons Learned from Campus Microgrids in the World
[NO] 757/1000 | Tibetan-English Neural Machine Translation Method Based on Ner Tags
[NO] 758/1000 | Predefined-Time Barrier Function Super-Twisting SMC with Extended State Observer for Performance Enhancement of Grid-Connected PV-ESS Systems
[NO] 759/1000 | A Fundamental Study on Leakage Magnetic Field Reduction Using Adjacent Coils in Dynamic Wireless Power Transfer
[NO] 760/1000 | Misalignment Robustness in Industrial Inductive Charging Systems
[NO] 761/1000 | Automatic Construction and Recognition of an International Phonetic Alphabet Image Dataset from Linguistic Documents
[NO] 762/1000 | Study of Thermal Effects in a 4H-SiC Laser Power Converter Aimed for Space Applications
[NO] 763/1000 | Title Page
[NO] 764/1000 | A Gradient-Free Approximate Posterior Inference Framework Based on Simplified Swarm Optimization for Bearing Remaining Useful Life Prediction With Uncertainty Quantification
[NO] 765/1000 | Multi-Flow Cross-Seasonal Optimal Scheduling of Coal Mine Integrated Energy System Under Carbon Constraints
[NO] 766/1000 | Explainable Attention-Based Deep Learning Model for Pneumonia Detection from Chest X-Ray Images
[NO] 767/1000 | Accurate Traffic Load Properties Verification in Data Center Networks
[NO] 768/1000 | Optimal Configuration of Energy Storage in Township Distribution Networks Considering Renewable Energy Accommodation and Supply Reliability
[NO] 769/1000 | AI-Assisted Cost Project Screening and Budget Allocation for High-Quality Development of Power Grid Enterprises
[NO] 770/1000 | Application Status, Core Challenges, and Future Trends of Artificial Intelligence in River and Lake Health Monitoring
[NO] 771/1000 | From Scroll to Evidence: An Android Forensics Investigation of UpScrolled App
[NO] 772/1000 | Tracking of ground jammers from Low Earth Orbit: experimental results from cubesat OPS-SAT PRETTY during Jammertest 2025
[NO] 773/1000 | A Dynamic Fine-Tuning Framework with Unbounded Data Augmentation for Probabilistic Net-Load Forecasting Under Extreme Weather
[NO] 774/1000 | Impedance Modeling and Stability Assessment of Magnet Power Supplies in Fusion Devices Under Weak Grid
[NO] 775/1000 | First-Principles Study of Zr-Doped CuCr Contacts for Arc Erosion Resistance
[NO] 776/1000 | Co-Optimization of Line Upgrading and Switch Configuration in Distribution Networks Considering Aggregated Regulation of Integrated Energy Systems
[NO] 777/1000 | Ensemble Learning Technique for Identification of Cervical Cancer Using PapSmear Images
[NO] 778/1000 | RobPI: Robust Private Inference against Malicious Client
[NO] 779/1000 | Tea Leaf Disease Detection Using a Prototypical Network-Based Few-Shot Metric Learning Framework
[NO] 780/1000 | Repeated-Token Diagnostics for Transformer Cache Traces
[NO] 781/1000 | Helios: Exposing Context Lifecycles for Memory-Efficient Agentic LLM Serving
[NO] 782/1000 | RLSM: A Disaggregated LSM-Based Key-Value Store with Resource-Aware Compaction
[NO] 783/1000 | A Compact MOSFET Only High Frequency Meminductor Circuit
[NO] 784/1000 | Construction of Long Text Japanese Machine Translation Model Introducing Context-Aware Mechanism
[NO] 785/1000 | Integrated Chemiresistor Arrays for VOC Identification in Air through Machine Learning and Image Analysis_supp1-3733986.pdf
[NO] 786/1000 | Fault-tolerant output feedback tracking control for stochastic multi-agent systems using intermediate observers
[NO] 787/1000 | Robust Damping Compensation Strategy for Ultra-Low Frequency Oscillation Suppression in Hydropower Units
[NO] 788/1000 | Pedestrian Re-Identification Under Occlusion Based on Bidirectional Semantic Interaction and Explicit Pose Guidance
[NO] 789/1000 | State Trajectory Optimization-Based Frequency-Reduced Startup Control for Series-Compensated IPT Systems
[NO] 790/1000 | A Two-Stage Region-of-Attraction Determination Method for Grid-Forming Heterogeneous Systems Using a Path-Independent Lyapunov Function
[NO] 791/1000 | Design of a Waveguide Slot Array Antenna with Uniform Near-Field Distribution for Microwave Heating and WPT Applications
[NO] 792/1000 | AutoM3D: Multimodal Transformer-Based Disease Diagnosis from X-ray, Text, and EHR Data
[NO] 793/1000 | EventDiff: A Unified and Efficient Diffusion Model Framework for Event-based Video Frame Interpolation
[NO] 794/1000 | Assessing the Forensic Impact of Riot Vanguard: Artifact Visibility, Completeness, and Integrity
[NO] 795/1000 | Detection and Classification of Multi-Hop Frequency Hopping Signals in Complex Electromagnetic Environments
[NO] 796/1000 | EEG-Based Driver Fatigue Detection Using MS-CNN and CBAM Attention Mechanism
[NO] 797/1000 | State Perception and Real-Time Control of Distribution Automation Systems Based on Digital Twin and Edge Intelligence
[NO] 798/1000 | Commutation Failure Risk Assessment for LCC-HVDC Transmission Systems Based on Extinction Angle Margin
[NO] 799/1000 | Research on Fault Ride-Through of Flexible DC System at the Receiving End Based on DC-Side Hybrid Energy Storage
[NO] 800/1000 | BinaryShield: Cross-Service Threat Intelligence in LLM Services using Privacy-Preserving Fingerprints
[NO] 801/1000 | Table of Contents
[NO] 802/1000 | Path-Following Control of Unmanned Surface Vehicles Based on Finite-Time Disturbance Compensation
[NO] 803/1000 | Hybrid Genetic Algorithm and Neural Network Based PI Control for Dual-Active-Bridge Series-Resonant DC-DC Converter
[NO] 804/1000 | Micro-Scale Wireless Power Transfer by Resonant Tunneling Diodes at 300 GHz
[NO] 805/1000 | 2026 IEEE Conference on Secure and Trustworthy Machine Learning (SaTML)
[NO] 806/1000 | Balancing Productivity and Flexibility in Lean Manufacturing for Complex Production Systems_supp1-3720381.docx
[NO] 807/1000 | AuNF: Adaptive Micro-Network Functions with Runtime Per-VNF Granularity Control for IIoT Edge Security Chains
[NO] 808/1000 | Performance Comparison of PI and Model Predictive Control for Wireless Charging in EVs Employing an Asymmetric Magnetic Coupler
[NO] 809/1000 | 2026 12th Workshop on Satellite Navigation Technologies (NAVITEC)
[NO] 810/1000 | Thermal Modeling and Insulation Optimization for Autonomous Detection Systems in Extreme Cold Environments
[NO] 811/1000 | Analysis of Fast Frequency Regulation Characteristics of Grid-Forming Converters in Future Power Systems
[NO] 812/1000 | CTF-SRNet: A Cross-Modal Text and Feature Modulation Network for Remote Sensing Image Super-Resolution
[NO] 813/1000 | Electric Field Grading of PCB Planar Coils in Medium-Voltage IPT Auxiliary Power Supplies Using Reflow-Soldered Meniscus Rings
[NO] 814/1000 | An Agile Management Framework for IoT Projects: Lessons from Architecture-Centered Case Studies
[NO] 815/1000 | A Two-Stage Optimization Model for Capacity Configuration of Renewable Energy Bases Based on Latin Hypercube Sampling
[NO] 816/1000 | Advances in Biometric Authentication and Emerging Ethical Challenges
[NO] 817/1000 | Active Power-Voltage Coupling Mechanism of MMC-HVDC System at Sending End and Quantification of its Power Regulation Capacity
[NO] 818/1000 | Research on Power Prediction Methods for Renewable Energy Stations Considering Fluctuation Pattern Matching
[NO] 819/1000 | DAFF: Deployment-Aware Feature Fusion for Efficient TinyML-Based Intrusion Detection in IoT
[NO] 820/1000 | Risk-Sensitive Peak-Aware Energy Scheduling: Competitive and Learning-Augmented Algorithms
[NO] 821/1000 | Multi-task Learning with Active Learning for Arabic Offensive Speech Detection
[NO] 822/1000 | Evaluating Domain Adaptation Techniques for GNSS-Based Machine Learning: From Vehicle to Soft Mobility Applications
[NO] 823/1000 | Certifiably Robust RAG against Retrieval Corruption
[NO] 824/1000 | Research on Energy Management Strategy for Hybrid Electric Ships Based on Adaptive Neuro-Fuzzy Inference System
[NO] 825/1000 | Electrification Pathways for Heavy Equipment in Thermal Power Plant Operations
[NO] 826/1000 | Towards Region-Level No-Reference Image Quality Assessment
[NO] 827/1000 | A Heterogeneous Ensemble Framework Combining Gradient Boosting and SVM for Robust Parkinson’s Disease Diagnosis
[NO] 828/1000 | Performance Evaluation of Class I Multilayer Ceramic Capacitors in Multi-MHz Resonant Networks
[NO] 829/1000 | Counterfactual Training: Teaching Models Plausible and Actionable Explanations
[NO] 830/1000 | Spatio-Temporal Dispatch of Mobile Energy Storage Systems for Resilient Off-Grid Microgrids
[NO] 831/1000 | Cluster-Based Coordinated Voltage Control of Active Distribution Networks Using Tabu Search and Multiagent Reinforcement Learning
[NO] 832/1000 | Conquering the Dark: LuxRA-Net for EBAPS Image Denoising from Full Moonlight to Overcast Starlight
[NO] 833/1000 | Stability Analysis of Offshore Wind Farms with Distributed-Parameter Cables Using an Enhanced Grey Wolf Optimizer with Lévy Flight Strategy
[NO] 834/1000 | Passive RC Wireless Sensors with Multiplexing for Multi-Point Temperature Monitoring in Beehives
[NO] 835/1000 | GNSS Interference Classification Using Optimized CNNs
[NO] 836/1000 | Coupled Access-Fronthaul Feasibility Analysis for Wireless-Fronthauled Cell-Free Massive MIMO Under an Option-8 Functional Split
[NO] 837/1000 | WPTCE 2026 TOC
[NO] 838/1000 | AC Resistance Modeling of Edgewise Coils for Wireless Power Transfer in the 85 kHz Band
[NO] 839/1000 | Optimal Scheduling of Low-Altitude and Ground-Based Transportation Vehicles for Flexibility Enhancement of Power Network
[NO] 840/1000 | Energy Consumption Optimization and Intelligent Control Strategy for Converter Station Valve Cooling Water Systems
[NO] 841/1000 | Intelligent Adaptive PID Control for Optical Image Stabilization Using Backpropagation Neural Networks and EKF-Based State Estimation
[NO] 842/1000 | MambaIA: A Unified Framework for Pedestrian Crossing Intention and Action Prediction
[NO] 843/1000 | Decompose to Aggregate: A Novel End-to-End Time Series Model for Multiple Wind Turbine Power Forecasting
[NO] 844/1000 | Low-Complexity Acoustic Denoising for High-Voltage Shunt Reactors via Efficient Generative Adversarial Networks
[NO] 845/1000 | MS-EfficientNet: Hierarchical Multi-Scale Feature Fusion for Land Cover Classification
[NO] 846/1000 | Explainability-Driven Uterine Contraction Classification Using Multi-Scale Time-Frequency and Nonlinear Features From EHG Signals
[NO] 847/1000 | 2025 2nd International Conference on Software System and Information Processing (ICSSIP)
[NO] 848/1000 | Position: Mind the Gap—AI Security and the Limits of Current Reporting Standards
[NO] 849/1000 | Design of a Data-Driven WADC for VSG in Inverter- Dominated Power System
[NO] 850/1000 | The Resource-Access Paradox: Electricity, Inequality, and Rural Exclusion in Africa
[NO] 851/1000 | Near-Exceptional-Point Operation via PWM Load Switching in a PT-Symmetry-Based Wearable WPT
[NO] 852/1000 | A Software Framework for Multi-Robot Path Optimization in Agricultural Systems
[NO] 853/1000 | Information Supplementary Distillation based on Separate Reconstruction for Continual Self-Supervised Learning
[NO] 854/1000 | The Solar System Internet Navigation System: A New Paradigm for Interplanetary Navigation
[NO] 855/1000 | Research on Intelligent Operation and Maintenance Decision-Making for Wind-Solar-Storage Integrated Power Stations Based on Digital Twin and Artificial Intelligence
[NO] 856/1000 | An Investigative Study of Linear Arrays: Classification and Cartan Matrix Properties
[NO] 857/1000 | Portable Multispectral Optical Reader for Paper Based Phosphate Detection in Saliva
[NO] 858/1000 | Proposal of Electric Disconnection Method with Boost Converter in Dynamic Wireless Power Transfer
[NO] 859/1000 | Risk-Level Multi-Prototype Contrastive Learning for Financial Fraud Detection
[NO] 860/1000 | Day-Ahead Cluster-Level PV Power Forecasting Based on Local–Global Collaborative Modeling and Constrained Residual Correction
[NO] 861/1000 | Non-preemptive Datacenter Scheduling via Scaling Cycles
[NO] 862/1000 | Impact of VDCOL and LVRT Controls on Rotor Angle Stability of an LCC-HVDC Receiving-End System
[NO] 863/1000 | A Cloud-Edge Hybrid Intelligent Scheduling Method for Pumping Stations Integrating RAG and Multi-Agent Collaboration
[NO] 864/1000 | A Multi-Objective Optimization Model for Active Distribution Grids Considering Energy Storage System and Soft-Open Point Configurations
[NO] 865/1000 | End-to-End Speech-to-Speech Translation for Low-Resource Languages Based on Discrete Units
[NO] 866/1000 | Open-Set SEI via Multi-Anchor Complex-Valued Variational Autoencoder
[NO] 867/1000 | A Chromaticity Baseline Height Index and Sliding Window Iterative Thresholding for Automatic Harmful Algal Bloom Extraction
