[2026-02-18 09:33:59] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-17
正在获取论文...
[arXiv] 2026-02-17 | A Content-Based Framework for Cybersecurity Refusal Decisions in Large Language Models
[NO] 1098/1561 | Stabilization-Triggered Reinforcement Relearning Control for Virtually Coupled Train Sets
[NO] 1099/1561 | SRR-Loaded Metamaterial UWB Antenna for Selective Dual-Band Rejection
[NO] 1100/1561 | Analysis of Anchor and Fairlead Forces on Offshore Floating Wind Platforms
[NO] 1101/1561 | Adopting AI-Automated Feedback in Academic Writing: Insights from English Majors Using Grammarly
[NO] 1102/1561 | A Blockchain-Based Framework for Secure Management of Government and Law Enforcement Records
[NO] 1103/1561 | Three-Level Diagnostic Process for Early Bearing Failure Based on EES-Modified GFD
[NO] 1104/1561 | IoT-based Real-Time Energy Routing Algorithm in The Energy Internet
[NO] 1105/1561 | Real-Time Public Transport Tracking for Small Cities: An IoT and AI-based Approach
[NO] 1106/1561 | Freedrape: Free-Form Garment Transfer Via Pose-Aware Bidirectional Warping
[NO] 1107/1561 | The k-index: a fairer assessment of research quality and its societal and environmental impact
[NO] 1108/1561 | Hybrid Intrusion Detection Framework for IoT Applications Enhancing Cybersecurity with AI-Driven Threat Mitigation
[NO] 1109/1561 | Smart Solar Tracking System
[NO] 1110/1561 | Adaptive Business Continuity Planning Using Self-Organizing Maps and Scenario-Based Generative AI Models
[NO] 1111/1561 | Inverse Estimation of Thermophysical Properties in Semitransparent Materials via Particle Filter and Photothermal Radiometry
[NO] 1112/1561 | Blockchain-Enabled Customer Data Privacy for Trust-Centric Digital Marketing: A Framework for Transparency and Consent Management
[NO] 1113/1561 | Research on Bird Detection Algorithm in Farmland Based on Convolutional Neural Network
[NO] 1114/1561 | AI Fiesta - A Platform that Compares LLM Models
[NO] 1115/1561 | Research on Absolute Distance Measurement Technology
[NO] 1116/1561 | Optimizing Rice Quality through Image Processing And Machine Learning Techniques
[NO] 1117/1561 | Design and Simulation of a Smart Public Distribution System with Stock Monitoring and Lighting Optimization
[NO] 1118/1561 | Edge-AI Medical Imaging Framework Using Residual Neural Networks for Enhanced Diagnostic Precision
[NO] 1119/1561 | PLM-Net: Physics and Large-Model Guided Network for Single Image Dehazing
[NO] 1120/1561 | Single-Snapshot Direction Finding Method Based on Quantum Artificial Hummingbird Algorithm
[NO] 1121/1561 | Project Synapse: Building the Neural Network of Your Enterprise
[NO] 1122/1561 | A Design and Development of Enhanced Solid Biofuel Classification and Optimized Grid Management Using ML Approaches
[NO] 1123/1561 | Integrating Hybrid Cryptography with Role-Based Access Management in Multi-Tier Cloud File Encryption
[NO] 1124/1561 | IoT based Hybrid EV Charger with Mobile Monitoring
[NO] 1125/1561 | Transformer Acoustic Fingerprint Fault Diagnosis Method Based on Adaptive Wavelet Denoising of Fault-Sensitive Frequency Bands and XGBoost
[NO] 1126/1561 | Optimizing Construction Safety: Multimodal Prompts For Automated Image Descriptions In Daily Construction Reports
[NO] 1127/1561 | Multi-Task Learning for Fine-Grained Emotion and Sentiment Classification: A Comparative Study of Recurrent and Transformer Architectures
[NO] 1128/1561 | Optimization Model for Microgrid Considering Time-of-Use Electricity Pricing
[NO] 1129/1561 | AI-Enhanced Agent-Based Simulation for Urban Mobility Policy Evaluation: Driving Restriction Zones in the Paris Region
[NO] 1130/1561 | Privacy-Preserving Medical Image Classification Using Homomorphic Encryption
[NO] 1131/1561 | Harnessing Large Language Models for Personalized Education: Opportunities, Challenges, and Implications for SDG 4
[NO] 1132/1561 | Stacked Deep Convolutional Neural Networks for Accurate Colorectal Cancer Classification from Endoscopic Images
[NO] 1133/1561 | AskDB: AI-Assisted Natural Language Interface for Database Querying and Visualization
[NO] 1134/1561 | A Brief Study on Point Cloud Optimization Algorithm Based on Graph Convolutional Network
[NO] 1135/1561 | An XGBoost Machine Learning Model to Detect Fraudulent Transactions in Real-Time Applications
[NO] 1136/1561 | MerkleDoc: A Privacy-Preserving Blockchain-Based Document Verification System
[NO] 1137/1561 | Multi-Objective Improved Differential Evolution Algorithm Based Smart Home Energy Management System Considering Energy Storage System, Photovoltaic, Electric Vehicle
[NO] 1138/1561 | Domain Translation of a Soft Robotic Arm using Conditional Cycle Generative Adversarial Network
[NO] 1139/1561 | Build-A-Volcap: Automated Synthetic Validation of Real-World Volumetric Capture Quality
[NO] 1140/1561 | Convergence of Iterative Learning Control for Stochastic Generalized Systems
[NO] 1141/1561 | Educational Application of RAG-based LLMs
[NO] 1142/1561 | The Art Of Ai: how a Multimodal Model Reveals the Secrets of Human Creativity in Paintings
[NO] 1143/1561 | Location-Information-Based Beamforming for Multi-IRS-Aided Systems
[NO] 1144/1561 | A Genetic Algorithm based on Edge Assembly Crossover for Slide Stainer scheduling Standard
[NO] 1145/1561 | Data Transformer - AI Driven Multimodal Fusion Network for Cardiovascular Risk Prediction using Multimodal Data
[NO] 1146/1561 | 2D Multiphysics Transient Modelling of a Molten Carbonate Electrolyser Under Step-Change Current Inputs
[NO] 1147/1561 | Machine Learning for Big Data Analytics: Challenges, Trends, and Future Research Directions
[NO] 1148/1561 | An Algorithm for Performance Evaluation of Prediction Models
[YES] 1149/1561 | SLIM: A Simplified LLVM IR Abstraction for Pointer Analysis
[NO] 1150/1561 | OncoMouth: Deep Learning-Based Efficient Oral Cancer Detection
[NO] 1151/1561 | SCR Argo Farms: Integrating Emerging Technologies for Transparent and Intelligent Dairy Operations
[NO] 1152/1561 | Next-Generation Turf Booking and Sports Management Using Modern Web Technologies
[NO] 1153/1561 | Understanding of Statistical Descriptors and Accelerated Calculation Methods through CNN
[NO] 1154/1561 | FAIRM-WSN: A Fault-Aware Intelligent Routing and Maintenance Framework for Enhanced Wireless Sensor Network Performance
[NO] 1155/1561 | WAIE 2025 TOC
[NO] 1156/1561 | AIIA 2025 Panel Discussion
[NO] 1157/1561 | Learning to Predict Constraints: Hybrid Neural-MPC Control Architectures for Real-Time Vehicle Path Tracking
[NO] 1158/1561 | Distributed Coverage Control for Air-Ground Robot Systems with Heterogeneous Sensing Capabilities
[NO] 1159/1561 | AHLLNS: An Automated Algorithm for Multi-Objective Heterogeneous Agricultural Robot Operation Scheduling Problems
[NO] 1160/1561 | Large Improvements of Uniformity and Sensitivity from Reshaped Detection Coil for a Magnetometer_supp1-3662621.docx
[NO] 1161/1561 | Distributed and Autonomous Group Management Supporting Group Fusion for UAVs
[NO] 1162/1561 | Optimizing Local-Global Fused Feature Space with Category-Center-Aware Supervised Contrastive Learning for Urban 3D Mesh Segmentation
[NO] 1163/1561 | Tidal Flat Elevation Inversion Model Based on Moisture-sensitive Features (TFEIM-MSF)
[NO] 1164/1561 | On the Convergence Club Nature of Competitiveness and Efficiency across Firms by Technological Complexity and Size_supp1-3664073.docx
[NO] 1165/1561 | Waveform Design for MIMO Covert Sensing and Communications
[NO] 1166/1561 | Diffusion-Based Dynamic Contract for Federated AI Agent Construction in Mobile Metaverses
[NO] 1167/1561 | A Switching Event-Triggered Communication Method for DC-DC Converters
[NO] 1168/1561 | Shielding Effectiveness of Naval Waveguide-Below-Cutoff Ventilation Arrays: Full-Wave Simulation and Experimental Validation
[NO] 1169/1561 | 2025 IEEE International Conference on Blockchain and Distributed Systems Security (ICBDS)
[NO] 1170/1561 | 2025 2nd International Conference on Intelligent Systems for Cybersecurity (ISCS)
[NO] 1171/1561 | Development of a Real-Time Vehicle Silencer Gas Detection and Monitoring System Using IoT and Machine Learning for Environmental Protection
[NO] 1172/1561 | Task-Oriented Adaptive Wireless Communication Optimization Based on Reinforcement Learning
[NO] 1173/1561 | Design of IGBT Life Prediction Method Based on Particle Filter Algorithm
[NO] 1174/1561 | Power System State Classification Based on Kolmogorov-Arnold Networks
[NO] 1175/1561 | Big Data, Cloud Computing, and Internet-Enabled Infrastructures for Sustainable Development
[NO] 1176/1561 | Hybrid CNN-RF Framework for Accurate Lemon Leaf Disease Classification
[NO] 1177/1561 | Web-based application for 3D printing visualization of mathematical surfaces in education
[NO] 1178/1561 | Nonlinear Control-Oriented Modelling and Real-Time Simulation of a DAB Resonant Converter for Data Centre Applications
[NO] 1179/1561 | Dynamic Command Structure Adjustment Method Based on Online Simulation and Hierarchical Modeling
[NO] 1180/1561 | Cloud-based XGBoost Framework: Enhancing Scalability and Performance in Machine Learning
[NO] 1181/1561 | Plug-And-Play Diffusion Models For Image Compressive Sensing With Data Consistency Projection
[NO] 1182/1561 | A Software Compensation Scheme for Sampling Clock Mismatch Error in Heterodyne Laser Interferometers
[NO] 1183/1561 | Weighted Confidence Scoring for Context-Aware Emotion Recognition using Fine-Tuned DeBERTa
[NO] 1184/1561 | Intelligent Real Time Fault Diagnosis Framework for Cyber Physical Electronic Systems Using Adaptive Learning Techniques
[NO] 1185/1561 | Traffic Flow Prediction with Spatio-Temporal Graph Convolutional Networks Based on Edge Computing
[NO] 1186/1561 | Advancements and Challenges in 3D Mesh Data Hiding: A Survey of Traditional and ML Techniques
[NO] 1187/1561 | A Parallel Dual Straight-Tube VTD with DSP-Based Digital Driving System: Design for Online Cement Slurry Density Measurement
[NO] 1188/1561 | DeepLSTMDefense: A Recurrent Learning Framework for DDoS Detection using Network Traffic Sequences
[NO] 1189/1561 | Closing the Modality Gap: Integrating LLMs With Lidar For 3D Object Detection and Object-Level Understanding
[NO] 1190/1561 | Transient Frequency Stabilizing Mechanism of Renewable-dominated Power System and its Application in Droop Control
[NO] 1191/1561 | Design and Implementation of a LightGBM-based Poaching Hotspot Prediction Framework for Optimized Ranger Patrol Scheduling
[NO] 1192/1561 | Context-Aware Ensemble for Stock Market Prediction using Sentiment and Volatility Signals
[NO] 1193/1561 | Emulating Pain Perception Using a Cation Migration-Induced Threshold Switching Ag/TaOx/Pt Memristor
[NO] 1194/1561 | Architecting an AI System for Automated, Human-Like Lead Engagement on WhatsApp
[NO] 1195/1561 | Design of Error-Tolerant VLSI Adders and Multipliers for High-Performance Approximate Computing
[NO] 1196/1561 | Advanced Neuro-Fuzzy Decision-Making for Gold Price Prediction Using Sentiment Cues
[NO] 1197/1561 | Impact of Lesion Masking on Skin Cancer Detection Using Deep Learning: A Comparative Study of CNN, Xception, and EfficientNetB0
[NO] 1198/1561 | Enhancing Handwritten Answer Sheet Evaluation Through Large Language Models and Multi-Agent Reasoning
[NO] 1199/1561 | Hybrid CNN-LSTM Architecture for Early Detection of Ransomware Attacks in Enterprise Network
[NO] 1200/1561 | TinyML based monitoring and diagnosis system to enable the European battery digital passport
[NO] 1201/1561 | Design of a Multi-Degree-of-Freedom Assembly Robot in a Strong Magnetic Environment
[NO] 1202/1561 | Design and Implementation of a Three-Dimensional Precision Motion Stage Control System Based on Qt Framework
[NO] 1203/1561 | Automated Urine Color Analysis using MTCNN for Rapid and Non-Invasive UTI Detection
[NO] 1204/1561 | GAN-based Framework for Robust Network Intrusion Detection
[NO] 1205/1561 | Analyzing Factors Influencing Students’ Intention to Use AI Chatbots for Learning: The Role of Task-Technology Fit and Perceived Usefulness
[NO] 1206/1561 | Optimal Design of Rural Off-Grid Power Systems in Japan with Green hydrogen Production and Sales
[NO] 1207/1561 | Cardiovascular Abnormalities Prediction using CNN and EfficientNetB3 model
[NO] 1208/1561 | Object Detection for Total Station using Deep Learning
[NO] 1209/1561 | Hybrid AI-Driven Predictive Analytics Framework for Real-Time Patient Monitoring and Adaptive Early Warning Systems in Smart Hospitals
[NO] 1210/1561 | AI-based Adaptive Overcurrent Protection for Load-side Relays in Offshore DC Microgrids
[NO] 1211/1561 | DeepSeaEdge: Federated Intelligence and Edge Learning for Autonomous Underwater IoT Systems
[NO] 1212/1561 | Multidimensional Indicators Construction and Optimization for Solar-Driven Polygeneration Systems
[NO] 1213/1561 | The Application of Artificial Intelligence Technology in Early Childhood Numeracy: Systematic Literature Review
[NO] 1214/1561 | An Ensemble Machine Learning Framework for Intelligent Farm Input Optimization using Multi-Source Agricultural Data
[NO] 1215/1561 | Optimization-Driven IC Architectures for Beamforming Efficiency in Massive MIMO Systems
[NO] 1216/1561 | A Novel Wireless Covert Pulse Waveform Signal by Using Artificial Noise
[NO] 1217/1561 | YOLOv9 Meets CBAM: A Real-Time Smart Traffic Signal System for Emergency Response Optimization
[NO] 1218/1561 | Machine Learning vs. Agentic AI: Benchmarking RNA-Seq Disease Prediction with Candidate Biomarker Identification
[NO] 1219/1561 | Research on a Fusion Algorithm for Boundary Violation Detection in Power Transmission and Transformation Construction Scenarios Based on Attention-Gated Recurrent Units
[NO] 1220/1561 | High-Accuracy Classification of Pancreatic Cancer Subtypes Using Feature Selection and Optimized Machine Learning on High-Throughput Gene Expression Data
[NO] 1221/1561 | Assessing the Emotional Impact of Fake News on Social Media: An Ensemble Approach to Sentiment Analysis
[NO] 1222/1561 | A Computationally Enhanced STL-WD-Informer Framework for Short-Term Electricity Load Forecasting
[NO] 1223/1561 | Smart Diagnostics of Sugarcane Nutrient Deficiency: Integrating UAV, RGB Imaging, and AI Models
[NO] 1224/1561 | Green Computing and Big Data Analytics: Towards Sustainable and Eco-Efficient Systems
[NO] 1225/1561 | Integrating Clinical and Demographic Data for Precision Drug Recommendation: A Machine Learning Perspective
[NO] 1226/1561 | A Multi-Energy Load Forecasting Method Based on VMD and Iterative GRU Training
[NO] 1227/1561 | MAGNet: A Multi-scale Attention and Gated-skip Network for Multimodal Brain Tumor Segmentation
[NO] 1228/1561 | IPAN: IP-Adapter Attention Modulation with Noun-aware Mask Refinement for Diffusion-based Object Removal
[NO] 1229/1561 | Power Grid Fault Diagnosis Method Based on Wavelet Entropy Weight and Improved Hybrid Kernel Extreme Learning Machine
[NO] 1230/1561 | NFC-based Contactless Food Ordering Ecosystem with Dynamic Health Scoring and Subscriber Meal Automation
[NO] 1231/1561 | OCR and NLP-Powered Text-To-Speech System for Mathematical Documents
[NO] 1232/1561 | Vision-Based 3D Occupancy Perception with Mixed-Resolution
[NO] 1233/1561 | Adaptive Urban Traffic Control Using Camera Vision and Emergency Vehicle Mobile Interface
[NO] 1234/1561 | Interpretable Machine Learning Approaches for Balanced Credit Card Fraud Detection
[NO] 1235/1561 | Weather Forecasting Using CNN and Image Streams
[NO] 1236/1561 | Performance Analysis of 112 Gbps Polarization Division Multiplexed 16-PSK Based Inter-Satellite Optical Wireless Communication
[NO] 1237/1561 | Grassman Optimized Convolution Neural Network Towards Student Activity Recognition and Classification in E-Classes using Facial Emotional Features
[NO] 1238/1561 | A Pathway to Net-zero Power Generation in Barbados Using Hybrid Renewable Energy Systems and Hydrogen
[NO] 1239/1561 | Interpretable Research Impact Clustering via Spectral Graph Theory and Explainable AI: A Unified Framework Using Citation Networks and Altmetric Signals
[NO] 1240/1561 | Smart Legal Advisor Mobile Application: A AI-Powered Legal Assistant
[NO] 1241/1561 | Revolutionizing Wearables with Energy Efficient Smart Clothing
[NO] 1242/1561 | Explainable Federated AI Framework for Privacy-Aware Medical Image Processing and Diagnostic Decision Support Systems
[NO] 1243/1561 | Data-Driven Pipeline Integrity Optimization in Oil and Gas Infrastructure Using Ensemble Learning and Interpretable AI
[NO] 1244/1561 | Dual-Band Antennas for AI-Enabled Autonomous Vehicle-to-Infrastructure Communication
[NO] 1245/1561 | Design and Implementation of an Indigenous Semi-Anechoic Chamber for Military Applications
[NO] 1246/1561 | WAIE 2025 TOC
[NO] 1247/1561 | Table of Contents
[NO] 1248/1561 | Author Index
[NO] 1249/1561 | TDMRP: A Transparent and Decentralized Management of Reputation and Pseudonym in IoV
[NO] 1250/1561 | ML-Stereo: Multi-range Lookup for Stereo Matching
[NO] 1251/1561 | Cybersecurity Framework for Proactive Detection of Image-Based Malware in Healthcare Networks Using Explainable Deep Ensemble Learning and Edge Analytics
[NO] 1252/1561 | Time-Reversal Metasurface with Intensity-Controlled Multi-Focusing in Scattering-Embedded Channels
[NO] 1253/1561 | Towards Robust Stance Detection: A Hybrid Architecture for Target-Specific Stance Detection in Roman Urdu
[YES] 1254/1561 | A Threat Modeling Approach for Securing Blockchain Framework
[NO] 1255/1561 | A Comprehensive Framework for Disaster Recovery of SAP Environments in Microsoft Azure: Multi-Sector Analysis and Implementation Strategies
[NO] 1256/1561 | Perfumer Optimization - Enhanced Graph Neural Networks for Efficient and Accurate COVID-19 Risk Prediction in IoT/IoMT Healthcare
[NO] 1257/1561 | Hybrid DL Models for Stock Market Analysis: A Comparative Survey of Feature Engineering, Ensemble Strategies, and Risk Metrics
[NO] 1258/1561 | Decentralized Payment Optimization for Scalable Microservice Transactions
[NO] 1259/1561 | AI-Enabled Visual Assistance with Integrated Reading for People with Total Blindness: A Review
[NO] 1260/1561 | Contextualizing AI Literacy: Developing a Competency Framework for K-12 Teachers in the Thai Education System
[NO] 1261/1561 | High-Gain Ultra-Wideband Monopole Antenna Enabled by Metasurface-Inspired Engineering
[NO] 1262/1561 | Comprehensive Deepfake Detection: A Comparative Study on Image and Video Forgery
[NO] 1263/1561 | ZNS-RPS: A Read-Priority Scheduler for Mitigating I/O Interference in Zoned Namespace SSDs
[YES] 1264/1561 | A Comparative Study of Bug Triage Classification Approaches from FastText to LLMs
[NO] 1265/1561 | Robust Event-Driven Control with Fixed-Time Convergence for Group Consensus in Multi-Agent Systems over Directed Graphs
[NO] 1266/1561 | Progressive Fine-Tuning for Robust Multimodal Image Captioning
[NO] 1267/1561 | A Method for Predicting Typical Daily Load Curves of Distributed Photovoltaics Considering Weather Impacts
[NO] 1268/1561 | Machine Learning Parameter Optimization in Virtual Desktops
[NO] 1269/1561 | Low Cost Water Filtration System: Working and Data Science Integration
[NO] 1270/1561 | Multi-Terminal Protection Method for Offshore Wind All-DC Series-Parallel Collection Network Based on Cumulative Deviation Area
[NO] 1271/1561 | A Hybrid Transformer–RNN Framework with Mathematical Modeling for Sequential Context-Aware Text Summarization
[NO] 1272/1561 | Interpretable Deep Learning for Early Detection of Diabetic Retinopathy using Lightweight Vision Transformers
[NO] 1273/1561 | COVID-19 Pandemic Detection and Prevention Using Gans and Their Variants: A Comprehensive Study on Techniques and Applications
[NO] 1274/1561 | Automatic Examination of Fundus Images for Disease Detection: An Analysis with ResNet Model
[NO] 1275/1561 | A Secure and Transparent Cold Chain Shipment Monitoring System Leveraging IoT and Blockchain
[NO] 1276/1561 | Electricity Distribution Resilience Improvement to Severe Events through Energy Storage
[NO] 1277/1561 | Real-Time Flood Monitoring and Resource Allocation Using AI-Driven UAVs in Disaster-Prone Areas
[NO] 1278/1561 | TransStar-DehazeNet: A Global-Local Hybrid Network with Multi-Input Star Fusion for Image Dehazing
[NO] 1279/1561 | GPU-Accelerated Deep 3D CNNs for Modeling Memory-Related Brain Activity Using Multi-Voxel Pattern Analysis on fMRI Data
[NO] 1280/1561 | Multi-Level Wavelet Shrinkage Network for Magnetic Anomaly Detection
[NO] 1281/1561 | Hybrid VGG19-ResNet50 Network for Brain Tumor Classification using Feature Fusion and Imbalance-Aware Learning
[NO] 1282/1561 | Development of a Predictive Maintenance System for Stand-Alone Photovoltaic Systems in Indonesia’s Seismic Monitoring Stations Using Simulated Data and Machine Learning
[YES] 1283/1561 | Human-Robot Interaction-Integrated Code Review Interface for Collaborative Development
[NO] 1284/1561 | Machine Learning-Driven System for Kannada-to-English Text Translation
[NO] 1285/1561 | Low-Cost Mini Automated Guided Vehicle (AGV) with AI-Powered Multicolor Line Tracking and Slot Detection for Industrial Automation
[NO] 1286/1561 | Artificial Neural Network-Based Prediction of Total Project Cost of Residential Dwellings in Quezon City, Philippines Utilizing Engineering Building Parameters and Site Location Using Python
[NO] 1287/1561 | A Real-Time Integrated Cafeteria Management System for Enhanced Operational Efficiency
[NO] 1288/1561 | MindSync: An Intelligent Journaling Tool for Mental Well-being and Productivity Analysis
[NO] 1289/1561 | Offline Signature Verification with Auto Encoder CNN Hybrid Feature Extraction for Improved Fake Signature Detection
[NO] 1290/1561 | Machine Learning Based Identification of Key Features for Misarticulation Quantification
[NO] 1291/1561 | DDoS Protection System for Cloud: Architecture and Tool
[NO] 1292/1561 | YOLOv8-Driven Multi-Task Vision Framework for Obstacle Avoidance and Path Guidance in Smart Glasses
[NO] 1293/1561 | Multimodal Monocular 3D Object Localization for Human-Robot Interaction
[NO] 1294/1561 | Dyslexia Screening System for Children Using Parental Questionnaire and Eye Tracking with WebGazer and Kolmogorov-Arnold Network
[NO] 1295/1561 | LAP-IIoT: A Latency-Aware Prediction Approach for Enhancing Industrial IoT Performance
[NO] 1296/1561 | Virtual Reality-Based Learning Systems in Vocational Education and Training: A Systematic and Bibliometric Review Toward Future-Oriented Learning Environments
[NO] 1297/1561 | A Parallel Convolutional Neural Network Approach for Classifying Malang Batik Motifs with Image Augmentation Techniques
[NO] 1298/1561 | Determinants of Extended Reality (XR) Adoption in Architecture and Urban Design Education
[NO] 1299/1561 | Enhancing IoT Healthcare Security Through Machine Learning and Game-Theoretic Anomaly Detection
[NO] 1300/1561 | Unveiling Sentiments in Movie Reviews: A Comparative Study of Computational Approaches for Sentiment Analysis
[NO] 1301/1561 | Intrusion Detection Systems for Unmanned Aerial Vehicles: A Comparative Analysis of Machine Learning Approaches
[NO] 1302/1561 | Crypto-Agile Zero-Trust Access for Multi-Cloud via SDN, with PQC-QKD Key Orchestration
[NO] 1303/1561 | Integrating AI in Social Cognitive Theory-Based Character Modeling: A Comparative Study of Behavioral Influence in Hans Christian Andersen's Fairy Tales and Disney Cartoons
[NO] 1304/1561 | Multi Objective Reinforcement Tuning for Responsible Generative AI in Automated Financial Advisory Systems
[NO] 1305/1561 | Transcending Image Generation Paradigms: Fusion of Transformer-Based Latent Diffusion and Semantic Clip Embeddings
[NO] 1306/1561 | Diamond NV Center-Based Quantum Sensors for Electromagnetic and Thermometric Applications
[NO] 1307/1561 | Campus Seeker- Sustainable Admission Insights
[NO] 1308/1561 | A Composite Sentiment Index for Technology Adoption &amp; Investment
[NO] 1309/1561 | Real-Time Adaptive Traffic Signal Control Using FPGA and a Machine Learning
[NO] 1310/1561 | Real-Time Cascaded Pipeline for Drone Detection and Behavior Anomaly Analysis: YOLOv8 Benchmark and ConvLSTM Approach
[NO] 1311/1561 | Bring-Your-Own-Agent: Extending Copilot Across Enterprise and Healthcare Platforms
[NO] 1312/1561 | An NLP - Based Customized and Optimized Offline PDF Summarizer Using Multi - Threading Approach
[NO] 1313/1561 | A Multi-Objective Nonlinear Programming Approach for Reliability-Aware Routing in Rescue Mesh Networks
[YES] 1314/1561 | A Novel Synthetic Dataset for JavaScript Malware Detection
[NO] 1315/1561 | EFashion: Discriminative-Tuned Outfit Generation with Selective History Modeling
[NO] 1316/1561 | TCA-Net for Thangka Colorization with Multi-Axial Attention Fusion and Adaptive Graph Channel Recalibration
[NO] 1317/1561 | MASF-FB: Multi-Attention Spatio-Frequency Fusion for Epileptic Seizure Prediction
[NO] 1318/1561 | Deep Learning Performance Comparision for Plant Dieases on Mobile Devices
[NO] 1319/1561 | Bipedal Robot Running Gait Design Based on Phase Information
[NO] 1320/1561 | Reconstructing 3D Flame Temperature Fields via Light Field Compression, Denoising and Feature Extraction
[NO] 1321/1561 | A Comprehensive Analysis of Efficient Statement Methods for Internet of Things (IoT) Applications
[NO] 1322/1561 | Research on a Hybrid Point Cloud Denoising Method for Mining Tunnels Based on Multi-Feature Fusion and Adaptive Segmentation
[NO] 1323/1561 | Secure Data Governance in JavaScript-Driven Web Systems using Blockchain-based Hybrid Federated Learning
[NO] 1324/1561 | Demand Forecasting with Machine Learning: A Data-Driven Strategy for Market Prediction
[NO] 1325/1561 | Machine Learning Based Prediction of Biomaterial Hardness for Medical Devices
[NO] 1326/1561 | Development of Integrated Shipboard Microgrid for Simultaneous Realization of Emission Reduction and Carbon Neutrality
[NO] 1327/1561 | UniDiff-TTS: Aligner-Free Diffusion Speech Synthesis with Duration Guidance
[NO] 1328/1561 | AI-Driven Feedback Through SpeakTalk: Supporting EFL Speaking Skill Development in Higher Education
[NO] 1329/1561 | A Deformable Shape Design for Radar Stealth Satellite
[NO] 1330/1561 | Traffic and Social Aware Content Caching in Vehicular Social Networks using Taylor Flamingo Shark Optimization
[NO] 1331/1561 | Design and Development of an IoT and Web-Integrated Respiratory Disease Prediction System using Machine Learning
[NO] 1332/1561 | Autonomous Sensor Networks: Future of WSNs with Neural Network Implementations
[NO] 1333/1561 | Speech-Driven Examination Platform for Visually Challenged Individuals using IoT
[NO] 1334/1561 | 2025 2nd International Conference on Artificial Intelligence and Knowledge Discovery in Concurrent Engineering (ICECONF)
[NO] 1335/1561 | Table of Contents
[NO] 1336/1561 | Learning Compact Semantic Information and Reliable Pseudo-labels for Incomplete Multi-View Multi-Label Classification
[NO] 1337/1561 | EFEA 2025 TOC
[NO] 1338/1561 | OnUVS: An Online Motion Transfer Framework with Content-Texture Decoupling for High-Fidelity Ultrasound Video Synthesis
[NO] 1339/1561 | Super-Twisting Sliding Mode Control for ANPC-Driven Permanent Magnet Synchronous Motor with Midpoint Voltage Balancing Strategy
[NO] 1340/1561 | Online Distribution-Based Clustering Algorithm for Condition Monitoring in Rotating Machines
[YES] 1341/1561 | Multi-Criteria Evaluation of Large Language Models (LLMs): Balancing Performance and Security
[NO] 1342/1561 | Multi-Physics Modeling, Analysis, and Validation of Immersion-Cooled Five-Level ANPC Inverters for Electric Propulsion
[NO] 1343/1561 | COSMIC 2025 Cover Page
[NO] 1344/1561 | Large Language Model-Based Gray Wolf Optimization for Near-Field ISAC Networks
[NO] 1345/1561 | Fixed-Time Performance Fault-Tolerant Control for Cluster Synchronization of Spatiotemporal Networks with Sign-Based Coupling
[NO] 1346/1561 | Patterned Assembly of Multi-biological Robots with Global Input
[NO] 1347/1561 | Preface
[NO] 1348/1561 | Research on the Safety of Rearward Launch Separation of Semi-Recessed Wing-Mounted Missiles
[NO] 1349/1561 | An Intelligent Identification Model for Structured Data Security Labeling
[NO] 1350/1561 | Using Artificial Intelligence Algorithms to Determine Important Features for Academic Achievement of High-school Minority Students
[NO] 1351/1561 | Machine Learning-Based Weekly Evapotranspiration Prediction and Monitoring in Rice Fields Using MODIS in Thailand
[NO] 1352/1561 | Intelligent IoT: Leveraging Data Analysis, Computer Vision, and Machine Learning for Smart Systems
[YES] 1353/1561 | Comprehensive Analysis of Mitigation Strategies for Denial-of-Service Attacks on Smart Contracts
[NO] 1354/1561 | Dual-Cross Transformer based on the Frequency Domain for Hyperspectral Image Super-resolution
[NO] 1355/1561 | FVCap: Fact-Verified Image Captioning Model
[NO] 1356/1561 | Conversational Web3: Enabling Human-Like Interactions with the Solana Blockchain via Hey SOL
[NO] 1357/1561 | Dual-Axis Sun Tracking Solar Panel
[NO] 1358/1561 | XAI Powered Social Network Analysis for Improved Friend Recommendation and False News Detection
[NO] 1359/1561 | Hierarchical Scheduling and Resource Optimization in NOMA-Enhanced Smart Grid Edge Networks
[NO] 1360/1561 | Development of an Interactive AI Mentor: A Full-Body Digital Human for Real-Time Conversational Learning
[NO] 1361/1561 | Enhanced Hybrid Deep Learning Model for Cybersecurity Threat Detection Using CNN-Bi-LSTM and Feature Optimization
[NO] 1362/1561 | Blockchain Inspired Key Lineage Framework for Secure Linux Image Builds
[NO] 1363/1561 | IoT-Enabled Street Light System with Adaptive Brightness and Fault Detection for Smart Cities
[NO] 1364/1561 | Evaluating Cyber Risk Insurance Frameworks: Bridging Cybersecurity Threats with Financial Risk Strategies Through Actuarial Modeling and Adaptive Resilience
[NO] 1365/1561 | Hybrid Neural Network-Based Virtual Weighing for Wheat Proportioning
[NO] 1366/1561 | RFID based Smart Shopping Cart
[NO] 1367/1561 | A Prediction Model for Dissolved Gases in Transformer Oil Based on ASVMD-GRU-GCN
[NO] 1368/1561 | Blockchain-Supported Adaptive Hash Verification for Resilient Healthcare Data Integrity
[NO] 1369/1561 | Low-Profile Monopole Antenna Design with Bandwidth Optimization for UWB Communications
