[2026-07-21 22:56:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-20
正在获取论文...
[arXiv] 2026-07-20 | On the Impact of Stability and the Helly Property on the Dominating Set Problem
[NO] 1161/1797 | A WordNet-Based Framework for Singular-Plural Processing in Indian Multilingual MT Systems
[NO] 1162/1797 | 2026 3rd International Conference on Algorithms, Software Engineering and Network Security (ASENS)
[NO] 1163/1797 | Multi-step Industrial Energy Consumption Forecasting with Heterogeneous Feature Grouping and Direct Multi-Output Strategy
[NO] 1164/1797 | Urban Pollutant Source Identification With GCN-Enhanced CityTransformer Method
[YES] 1165/1797 | Research on Network Security Automated Vulnerability Scanning Based on MCP+RAG+LLM
[NO] 1166/1797 | Design of a Low-Cost Retrieval-Augmented Generation System Based on Hybrid API and Local Vector Architecture
[NO] 1167/1797 | Lily: Exploring Role-Playing Generative AI for Emotionally Engaged Shopping List Interaction
[NO] 1168/1797 | Agentic Artificial Intelligence (AI) as Peer Tutor: Experiential Learning for Ethical AI Literacy and Academic Integrity in Education
[NO] 1169/1797 | A Two-Stage Deep Neural Network Approach to Personalized Head-Related Transfer Function Prediction
[NO] 1170/1797 | Electric Field Self-Adaptive Insulating Films via Hydrogen-Bond-Mediated Nanoplatelet Stacking
[NO] 1171/1797 | Reducing Metadata and Page Migration Overheads in CXL-Based Secure Tiered Memory
[NO] 1172/1797 | Robust Lateral Control of a Convoy of Autonomous and Connected Vehicles With Limited Preview
[NO] 1173/1797 | HieraTouch: Anchoring Multimodal Physical Reasoning in Hierarchical Tactile Facts against Visual Deception
[NO] 1174/1797 | Performance Degradation Mechanisms in p-Type Nanosheet FETs: Role of Source/Drain Doping, Stress, and Inner Spacer Interface Traps
[NO] 1175/1797 | Structural Stress as a Predictor of the Rate and Spatial Location of Aortic Growth in Uncomplicated Type B Aortic Dissection_supp1-3714865.docx
[NO] 1176/1797 | Milieu of Feedback Control, Social Acceptance of Pricing, and Project-Based Teaching [About This Issue]
[NO] 1177/1797 | FPGA-based Reservoir Computing with On-chip Learning for MIMO Channel Prediction
[NO] 1178/1797 | The Anatomy of RF Chains: Metrics, Measures, and Operating Efficiency
[NO] 1179/1797 | Automated Periodontitis Segmentation in Dental Images Using Dual-Source Training, UNet++, and a Composite Boundary-Topology Loss
[NO] 1180/1797 | Hybrid Path Planning Algorithm Based on an Improved A* Algorithm and the Artificial Potential Field Method
[NO] 1181/1797 | An Intelligent Topology-Aware Optimization Framework for Safe Multi-Agent Scheduling in Dynamic Hazard Graphs
[NO] 1182/1797 | Cloud Server Replenishment Policy Under Given Demand Satisfaction Rates via Reinforcement Learning With Policy Imitation
[NO] 1183/1797 | IoT Powered Intelligent System Driven by Renewable Energy for the Safe and Efficient Disposal of Medical Wastes
[NO] 1184/1797 | SymDAG-Net: A Symptom-Centric Graph Reasoning Network for Disease Classification from Patient-Generated Medical Text
[NO] 1185/1797 | Author Index
[NO] 1186/1797 | Prescribed Performance Tracking Control for Rigid-Joint Manipulators
[NO] 1187/1797 | Organizing Committee
[NO] 1188/1797 | A Joint Detection Network for Vehicles and Lane Lines in Urban Roads
[NO] 1189/1797 | Causal Intervention based Semi-supervised Learning
[NO] 1190/1797 | A Secure and Scalable Multi-Cloud Intrusion Detection System Using Blockchain-Enabled Federated Learning
[NO] 1191/1797 | pacSTL: PAC-Bounded Signal Temporal Logic from Data-Driven Reachability Analysis
[NO] 1192/1797 | Based on a Two-stage Enhancement Multimodal Dynamic Siamese Attention Fusion Network Model for Plant Trait Prediction
[NO] 1193/1797 | A Direct Method for Reliability Assessment of Stochastic Flow Networks Over All Demand Levels via Sequential State-Space Decomposition
[NO] 1194/1797 | Confidence-Guided Adaptive Multimodal Fusion for Robust Graph-Based Recommendation
[NO] 1195/1797 | Traffic Tripwire Honeypoint:A new deception technique for countering covert attacks
[NO] 1196/1797 | Attention-Based Transformer Framework for Urban Land Cover Classification Using Explainable AI
[NO] 1197/1797 | YOLO11-Based GPR Detection of Cavities and Pipelines with Dual-Branch Feature Enhancement
[NO] 1198/1797 | DBGT: Dual-Branch Gated Transformer for Network Intrusion Detection
[NO] 1199/1797 | An Explainable Transformer Architecture for Electricity Load Forecasting using Correlation Aware Feature Engineering
[NO] 1200/1797 | An Explainable Error Analysis Framework for Heart Disease Prediction Using SHAP and LIME
[NO] 1201/1797 | An Evidence-Based Digital Skills Measurement Instrument to Support E-Government Transformation Maturity in Cimahi City
[NO] 1202/1797 | Hybrid Swin Transformer V2 and ConvNeXt Framework for Accurate Mango Leaf Disease Classification
[NO] 1203/1797 | Electromagnetic Design and Optimization of a 700 W-class Low-Torque-Ripple Outer-Rotor PM Motor for New Energy Vehicle Coolant Pumps
[NO] 1204/1797 | Readiness Assessment for Agile-Integrated ITIL 4 Implementation: Case Study of Government Institution in Indonesia
[NO] 1205/1797 | Design of Ultra-Low-Power LPWAN Sensor Nodes for Environmental Monitoring
[NO] 1206/1797 | Variational Representation Learning with Gaussian Mixture Priors for Positive-Unlabeled Skin Cancer Classification*
[NO] 1207/1797 | Multi-Agent OSINT System: Strategic Planning and Graph-Based Verification
[NO] 1208/1797 | EEG-Based Epileptic Seizure Detection Using CNN-LSTM–Transformer with Explainable AI
[NO] 1209/1797 | Research on an Intelligent Diagnostic System for DR Screening Based on Deep Convolutional Neural Networks
[NO] 1210/1797 | An Illumination-Aware Adaptive Framework (IAA) for Nighttime Person Re-Identification
[NO] 1211/1797 | Differential Privacy in Machine Learning: A Survey from Symbolic AI to LLMs
[NO] 1212/1797 | Using Context-Role-Oriented Programming for Swarms to Alleviate the Micro-Macro Problem
[NO] 1213/1797 | Ripple: A Long-Sighted Self-Adaptation Approach to Retrain Machine Learning-Enabled Systems
[NO] 1214/1797 | New Insights into the Structural Health of Super High-rise Buildings in Severe Convective Weather from Ground-Based Radar Interferometry
[NO] 1215/1797 | ECE-YOLO: An Efficient Detection Model for UAV Remote Sensing Object Detection
[NO] 1216/1797 | Context-Aware and Privacy-Preserving Trust Management Framework for Internet of Vehicles: Formal Models, Adaptive Consensus, and Real-World Validation
[NO] 1217/1797 | Low Complexity Variational Bayesian Inference with Alternating Scalar Inversion for Sparse Joint AoA and ToA Estimation
[NO] 1218/1797 | MuRL: Multi-Resolution Deep Reinforcement Learning for Melanoma Diagnosis From Dermoscopic Images
[NO] 1219/1797 | A Scalable RISC-V Extended Infrastructure for Unstructured SpMM in LLM Inference with Vectorizable Sparse Format
[NO] 1220/1797 | Joint Adversarial and Subdomain Adaptation: A Dual-Strategy Framework for Robust Cross-Domain Modulation Recognition
[NO] 1221/1797 | A Novel Hardware-Efficient Nonlinear Cochlear Model based on the Ergodically Enabled Sequential Logic Biomimetic Electronic Circuit
[NO] 1222/1797 | Video Frame Interpolation via Asymmetric Refinement with the Event-based Reference_supp1-3714455.pdf
[NO] 1223/1797 | A Unified Digital State-Feedback Control Strategy With Explicit Decoupling for a Hybrid Multiport DC–AC Converter in Standalone PV-HESS Applications
[NO] 1224/1797 | Orbital-Informed Prognostics for Batteries Under Variable Operating Conditions
[NO] 1225/1797 | "More Like a Person's Voice": Exploring the Design of Empathetic Virtual Agents for Older Adults
[NO] 1226/1797 | How Authoritative Can Synthetic Voices Sound? Prosodic Manipulation and Perceptual Evaluation Across Two Text-to-Speech Platforms
[NO] 1227/1797 | An Investigation of Trust and Overreliance on Conversational Instructions in Augmented Reality
[NO] 1228/1797 | An Intelligent Intrusion Detection Framework for Securing IoT Networks
[NO] 1229/1797 | Multimodal AI Assistant for Eye Disease Detection: A Deep Learning Approach with Image and Symptom Integration
[NO] 1230/1797 | A Novel Dual-Node Upset Hardened Latch for 14nm FinFET Process
[NO] 1231/1797 | Security in Healthcare: Protecting Sensitive Patient Data
[NO] 1232/1797 | Multi-Objective Optimal Allocation of Shunt Compensators in Distribution Networks Using Artificial Intelligence Techniques
[NO] 1233/1797 | Benchmarking Molecular Descriptors for Predicting DNA-Binding Drugs
[NO] 1234/1797 | Feasibility and performance of quick-opening bypass system designed to minimize unexpected shutdowns for gas turbine system during accidental conditions
[NO] 1235/1797 | Which Stock Price Directions Can Machine Learning Predict? Evidence from the Vietnamese Stock Market
[NO] 1236/1797 | Novel Estimation Approach based on BeiDou Real-Time Kinematic Technology for the Galloping Parameters of Transmission Lines by Interactive Multi-Model-Unscented Kalman Filter-Hilbert Model
[NO] 1237/1797 | A Multi-Layer Coupled Economic Analysis and Robust Break-Even Identification Method for Mechanized Construction of Transmission Lines under Composite Terrain Condition
[NO] 1238/1797 | A Digital Power Measurement System for Electromagnetic Narrow Pulses with Temperature Compensation
[NO] 1239/1797 | Design and Characterization of Half-Bridge Power Modules Based on LTCC Stacked Structure
[NO] 1240/1797 | Zero-FLOP Spatial Context Aggregation Based Low-light Image Enhancement for High Reliability Sensing
[NO] 1241/1797 | Post-Generation Segmentation for GAN based Text-to-Image models using SAM and CLIP
[NO] 1242/1797 | Event-Triggered Queue-Aware UAV Base Station Redeployment with Migration-Aware Local Search
[NO] 1243/1797 | Data-Driven Generation Method for Box-Constrained Economic Operating Region of Power Grid
[NO] 1244/1797 | Machine Learning -Based Fault Detection in Electro-Hydraulic Elevators: A review
[NO] 1245/1797 | Intelligent Queue Based Control for Dynamic Dial A Ride Problem
[NO] 1246/1797 | Expanding the Boundaries of Multimodal Emotion Recognition and Regulation: A Scoping Review from an HCI Perspective
[NO] 1247/1797 | Measurement-Based Performance Analysis of Solder-Mask Coated Patch Antennas for Underwater Wireless Sensors
[NO] 1248/1797 | Joint Beam Hopping and Resource Allocation in Multi-beam Satellite Systems via Hybrid-action Deep Reinforcement Learning
[NO] 1249/1797 | Fault-Tolerant Control Method for Seven-Phase Non-Sinusoidal Motor Based on Zero-Point Voltage Compensation
[NO] 1250/1797 | Throughput–Fairness Trade-Offs in 5G NOMA via Hybrid Genetic Deep Q-Learning
[NO] 1251/1797 | SCOPE: Spatio-Temporal Collaborative Caching and Proactive Transfer in LEO Satellite Networks
[YES] 1252/1797 | WormGuard: Epidemic Modelling and Decentralized Containment of Prompt Worms in AI Agent Networks
[NO] 1253/1797 | Research on Health Condition Early Warning of Tobacco Redrying Motors Based on Deep Learning
[NO] 1254/1797 | Authentication Mechanisms in ARM Architecture Devices
[NO] 1255/1797 | Surface-Dependent Responses of GNSS SNR Amplitude to Rainfall Events: Insights from Simulation and Field Validation
[NO] 1256/1797 | LA-SHEM: A Load-Aware and Signal-Assisted Handover Execution Mechanism for Energy-Efficient UAV Networks
[NO] 1257/1797 | Unsupervised Video Anomaly Detection via Simplex Diffusion Models
[NO] 1258/1797 | Continuous Risk Stratification for Equipment Fault Analysis via Context-Aware Log Modeling
[NO] 1259/1797 | A Link Budget Approach for Shielding Effectiveness Measurements of Cables
[NO] 1260/1797 | Architecture-Aware Multi-Agent Reinforcement Learning for Large-Scale Virtual Power Plant Dispatch: Convergence Optimization and Nash Bargaining Fairness
[NO] 1261/1797 | A Spherical Flying-Rolling Robot With Triaxial Gimbal Mechanism: Gimbal Lock Analysis and Control_supp1-3715026.mp4
[NO] 1262/1797 | Toward Generative AI-Driven FinOps for Cost and Performance Optimization of Big Data Cloud Architectures
[NO] 1263/1797 | Intelligent Fault Diagnosis of Diesel Engine Bearing Abnormal Noise Based on Fuzzy-RBF Fusion Neural Network
[NO] 1264/1797 | Transforming Towards Smart Villages in Indonesia: Information Systems Perspective
[NO] 1265/1797 | EISNet: Lightweight Entropy-Guided Attention and Multi-Scale Group Convolution for Invasive Plant Segmentation
[NO] 1266/1797 | Explainable Artificial Intelligence for Advanced Medical Data Prediction: Methods and Applications
[NO] 1267/1797 | Edge Based Predictive Maintenance Using a TinyML Temporal Convolutional Transformer for NASA Turbofan Remaining Useful Life Estimation
[NO] 1268/1797 | Research on Photoelectric Hybrid Sensing Monitoring Technology for Partial Discharge in Gas-Insulated Switchgear
[NO] 1269/1797 | Real Time Crowd Monitoring System For Stampede Risk Reduction
[NO] 1270/1797 | HieraPower: A Hierarchical SAC-TD3 Framework for Task Scheduling in Computing Power Networks
[NO] 1271/1797 | VEF-Net: A Multimodal Fake News Detection Method Based on Visual Enhancement Fusion
[NO] 1272/1797 | Inverse Design and Performance Enhancement of Linear Fresnel Mirror Fields Using Conditional Variational Autoencoder
[NO] 1273/1797 | Digital Twins for Smart Manufacturing: A structured Review, classification and Research Directions
[NO] 1274/1797 | ECIS 2026 Breaker Page
[NO] 1275/1797 | Competition- and Timeliness-Aware Adaptive Asynchronous Aggregation for Federated Learning in Edge-Assisted Vehicular Networks
[NO] 1276/1797 | Design and Validation of a Four-Dimensional Security Detection Model for Software-Defined Networking
[NO] 1277/1797 | Gross Regional Domestic Product Forecasting Using a Hybrid SARIMAX-Support Vector Regression Model
[NO] 1278/1797 | Predicting Capacity Degradation Trajectory Based on Closed-Form Continuous-Time Neural Networks in Real-Vehicle Data-Missing Scenarios
[NO] 1279/1797 | Hybrid Machine Learning – Particle Swarm Optimization For SPI-Based Rainfall Prediction and Rice Field Management
[NO] 1280/1797 | Lightweight Image Classification Network with Dual-Branch ECA and Multi-Scale Fusion
[NO] 1281/1797 | Adaptive Task Scheduling in Edge-Cloud Systems Via Large Language Model-Based Policy Generation
[NO] 1282/1797 | Decentralized Task Scheduling in Distributed Systems: A Lightweight Multi-Agent Deep Reinforcement Learning Approach with Gossip-Based Consensus
[NO] 1283/1797 | Physical Layer Security Communication for Active Dual-RIS Assisted NOMA Networks
[NO] 1284/1797 | An Improved Genetic Algorithm with Fuzzy Inference for Flexible Job Shop Scheduling
[NO] 1285/1797 | ICC-CNS 2026 Cover Page
[NO] 1286/1797 | Decentralized Intelligence in IoV: A Federated Learning Approach for Behavior Prediction
[NO] 1287/1797 | Analysis and Implementation of Network Security with Router Server Forensics for Flooding Attack Detection Using Live Forensic Method
[NO] 1288/1797 | Beyond the Scope: Security Testing of Permission Management in Team Workspaces
[NO] 1289/1797 | Semantic Communication and Channel Coding Co-Design: From Theoretical Models to Practical Implementation
[NO] 1290/1797 | MD-TLN: A Transformer–LSTM Hybrid Network for Metro Passenger Flow Prediction With Multi-Source Features
[NO] 1291/1797 | Projection Packet Collaborative Denoising: A Vital Sign Signal Reconstruction Solution for UWB Health Monitoring_supp1-3708389.mp4
[NO] 1292/1797 | High-Precision Low-Latency Method and Architecture for Softmax Acceleration in Training-Level AI Applications
[NO] 1293/1797 | Study on Cybersecurity Implications of IoT Deployment in Quad Maritime Operations
[NO] 1294/1797 | Dynamic Optimization of Personalized English Learning Paths Using Big Data and Intelligent Recommendation Models
[NO] 1295/1797 | Copyright and Reprint Permissions
[NO] 1296/1797 | Outlier Removal for 3D Point Clouds via Second Order ℓ
                    <sub>1</sub>
                    Optimization
[NO] 1297/1797 | Cyber Threat Detection in Solar and Wind Energy Systems Using Machine Learning Techniques
[NO] 1298/1797 | Artificial Intelligence Driven Text Analytics for Enhancing English Language Learning and Pedagogical Decision Making
[NO] 1299/1797 | DC-Link Energy-State Based Feedforward Power Shaping for Grid-Forming Photovoltaic Converters Under Sudden Irradiance Variation
[NO] 1300/1797 | Invisible Barrier: Precise Matchmaking Encryption with Keyword Search from Lattices
[NO] 1301/1797 | The 2027 American Control Conference: An Exciting Conference in an Inspiring City [Conference Reports]
[NO] 1302/1797 | Uncrewed Aerial Vehicle-Based Ground-Penetrating Radar for 3D Subsurface Imaging: Electromagnetic modeling, tomographic processing, and open challenges
[NO] 1303/1797 | 3-bit Transmission Mechanism-Based Adaptive Neural Path Following Control of 4DOF Underactuated USVs via Error-Constraint ILOS Approach
[NO] 1304/1797 | LMIRA: Load-balanced Multi-indicator Reputation and Authentication Security Blockchain Framework for Cross-domain Vehicular Data Sharing
[NO] 1305/1797 | CRAFTER: Causality-based Self-Adaptation for Autonomous IoT Systems
[NO] 1306/1797 | Detecting IPv4 Subnets in the Wild
[NO] 1307/1797 | Iterative Joint Detection and ORBGRAND for Massive Multi-User MIMO
[NO] 1308/1797 | Towards Communication Spectrum-Compatible MIMO Radar in Low-Altitude Networks: Discrete-Phase Waveform Design via Liquid Neural Networks
[NO] 1309/1797 | CGFT: Cross-Guided Fusion Transformer for Multi-Modal Multi-View Scene Recognition
[NO] 1310/1797 | ViNL2Vis-FaithBench: A Vietnamese-English Benchmark and Faithfulness Evaluator for Natural-Language-to-Visualization
[NO] 1311/1797 | Corridor-Based Optimal Transition Control Design for Lift+Cruise VTOL Fixed-Wing UAV_supp1-3714382.mp4
[NO] 1312/1797 | Adaptive Quantization for Stable Knowledge Acquisition in Quantization-Aware Continual Learning
[NO] 1313/1797 | Real-Time Radar Sensor Performance Enhancement via Edge Machine Learning for Driver Drowsiness Detection
[NO] 1314/1797 | Reg-APGAN: Registration-Guided Anatomy-Preserving GAN for CT-to-MR Translation
[NO] 1315/1797 | A Systematic Literature Review on Camouflaged Object Detection and Classification in Military Settings
[NO] 1316/1797 | A Rectifying-Branch Admittance Compensation Strategy for Broadband RF-to-DC Power Conversion
[NO] 1317/1797 | ECIS 2026 Cover Page
[NO] 1318/1797 | CRSIT 2026 TOC
[NO] 1319/1797 | 2026 Intelligence in Business and Industry (IBI)
[NO] 1320/1797 | Reinforcement Federated Learning With Clustering Expertise for Privacy-Aware Anomaly Detection
[NO] 1321/1797 | Artificial Noise Assisted Secure ISAC Beamforming Countering Covert Multi-antenna Eavesdropper: A Symbol-level Precoding Scheme
[NO] 1322/1797 | Enhancing Multimodal Compositional Understanding of Vision-Language Models with Semantic Decoupling and Feature Coupling
[NO] 1323/1797 | Practical Prescribed-Time Formation–Containment Control for Nonholonomic Robots
[NO] 1324/1797 | Performance Comparison of Axial Flux Permanent Magnet Machines with Fractional Slot Concentrated Winding and Fractional Slot Distributed Winding
[NO] 1325/1797 | Transient Characteristics Testing of Airborne Inverter Power Supply Based on Fuzzy-PID Control
[NO] 1326/1797 | Artificial Intelligence in the Soccer Domain Practice and Experience
[NO] 1327/1797 | A Q-Learning and Reptile Search-Based Load Balancing Model for Cloud Computing: Multi-Objective Optimization in Task Scheduling to Enhance Sustainable Infrastructure
[NO] 1328/1797 | Moving Target Clustering for 4D Millimeter-Wave Radar Point Clouds Based on Weighted Graphs and the Leiden Algorithm
[NO] 1329/1797 | Adaptive Model-Switching Navigation Method for Underwater Vehicles with Current Compensation
[NO] 1330/1797 | Entropy-Based Linking Mechanisms for Browser Fingerprinting
[NO] 1331/1797 | From Prediction to Policy: An Agentic AI Framework for Telecom Churn with XAI-Driven Validation
[NO] 1332/1797 | An Energy-Aware IoMT-WBAN Framework Using Fire Hawk Optimization for Reliable Healthcare Monitoring
[NO] 1333/1797 | Innovative Applications and Prospects of BeiDou Differential Augmentation Technology in Online Monitoring of Transmission Lines
[NO] 1334/1797 | Multi-sensor fusion in underground confined spaces 3D Reconstruction and Autonomous Exploration Methods
[NO] 1335/1797 | Research on Permanent Magnet Synchronous Motor Based on Improved Sliding Mode Observer
[NO] 1336/1797 | Enhancing Speaker Representations via Graph Attention Networks and Contrastive Learning
[NO] 1337/1797 | Multi-condition optimization of forced convection heat transfer in cross-flow single-tube microchannel Heat exchangers
[NO] 1338/1797 | Achieving Optimal Path Planning for Communication Lines with Graph Convolutional Network GCR-Net
[NO] 1339/1797 | TrajLite PPO: Scalable Reasoning Path Filtering and Alignment for Small Parameter Large Language Models
[NO] 1340/1797 | Techno-Economic Optimization of Green Hydrogen Microgrids via NILM-Based Demand Side Management
[NO] 1341/1797 | A Full-Speed Range Vector Control Strategy for SPMSM Used in Underwater Propulsion Based on Hall Sensors and Sliding Mode Observer
[NO] 1342/1797 | Design of PLC-based control system for extremely cold workpiece clamping robot
[NO] 1343/1797 | IoT Based Smart Box with PID Temperature Control RFID Access and Cloud Monitoring
[NO] 1344/1797 | A Human-in-the-Loop and Explainable AI Framework for Decision Support in Battery Lifecycle Management Using Digital Battery Passports
[NO] 1345/1797 | Hybrid AI-Driven Symptom Analysis and Voice-Enabled Virtual Doctor for Healthcare
[NO] 1346/1797 | Impact of PLL Bandwidth on Fault Current Dynamics of Grid-Connected PV Inverters
[NO] 1347/1797 | Latency and Reliability of Wi-Fi 7 MLO for Cloud VR: An Empirical Analysis
[NO] 1348/1797 | Simulation of water transport in proton exchange membrane fuel cells flow channels
[NO] 1349/1797 | MST-Mamba: Real-time Disentanglement and Detection of Blended Attacks in NDN
[NO] 1350/1797 | Not All Flows are Worth N Packets: Robust Encrypted Traffic Classification via Dynamic Patch-level Feature Learning
[NO] 1351/1797 | AI Echoing in the Backstage: Private AI Consulting May Strengthens Confidence and Limits Depolarization
[NO] 1352/1797 | Is ChatGPT Gender-Neutral? Implicit Stereotyping Persists Over Time and With Experience
[NO] 1353/1797 | More Interactivity, More Open-Mindedness? The Influence of AI-based Chatbot Interactivity on Attitudes Toward Vegans
[NO] 1354/1797 | Less Repetition, Less Energy Cost: A Reinforcement Learning-Based Multiagent Energy-Saving Autonomous Exploration System
[NO] 1355/1797 | Safe Image Generation via Lightweight Concept Erasure in Diffusion Models
[NO] 1356/1797 | Decentralized Primal-Dual Learning over Directed Graphs
[NO] 1357/1797 | Fiber Strain Sensing at Over 75 km Distance Using the Coherently Amplified Pound-Drever-Hall Method
[NO] 1358/1797 | Multi-Process Overlapping HARQ Durations for Periodic Time-Critical Communications under Nonzero ACK Delay
[NO] 1359/1797 | Fiber Strain Sensing at Over 75 km Distance Using the Coherently Amplified Pound-Drever-Hall Method_supp1-3711399.mp4
[NO] 1360/1797 | Design, Optimization, and Indirect Field-Oriented Control of a Concentrated Wound DAB-type High Speed IPMSM
[NO] 1361/1797 | Two-Stage Homotopic Learning for Data-Driven Cluster Consensus in Multiagent Systems
[NO] 1362/1797 | FieldGS: Unsigned Distance Fields in Gaussian Splatting for Enhanced Surface Reconstruction
[NO] 1363/1797 | Robotic Fabric Alignment System for Sewing Using Global Local Weighted ICP
[NO] 1364/1797 | Mechanism Investigation of Thermally Activated Lanthanum Diffusion in Dipole-Last Gate-Stacks
[NO] 1365/1797 | HTR-Accel: An Energy-Efficient AI Accelerator With Hierarchical Temporal Reuse for Streaming Time-Series Signal Classification
[NO] 1366/1797 | Multisource Multilayer Hypergraph Modeling and Self-Supervised Learning for Insulation Condition Evaluation in Cable Terminals of High-Speed Trains
[NO] 1367/1797 | Machine Learning-Based Arrhythmia Classification Using HRV Features Extracted from PPG Signals
[NO] 1368/1797 | Intelligent Detection for Fruit Freshness and Perishability
[NO] 1369/1797 | Wide-field OCT Guided Robotic Laser Ablation for Intelligent Minimally Invasive Theranostics
[NO] 1370/1797 | Predicting Pregnant Women’s Intention to Use Mobile Health Applications Using Theory of Planned Behavior and Comparative Ensemble Learning
[NO] 1371/1797 | A BERT-Based Intelligence-Driven Framework for Monitoring Illicit Activities on the Dark Web
[NO] 1372/1797 | Autonomous Agentic Cloud AI for Self-Healing and Resilient Supply Chain Orchestration
[NO] 1373/1797 | ICIPAI 2026 TOC
[NO] 1374/1797 | Dynamic Resource-aware Synchronous In-Network Aggregation for Federated Learning
[NO] 1375/1797 | Symmetry-Constrained Multi-Scale Physics-Informed Neural Networks for Graphene Electronic Band Structure Prediction
[NO] 1376/1797 | Spectral-Efficient Massive MIMO in 6G: Integrated Classical-Quantum Deep Learning Architectures for Predictive Beamforming and Detection in Real-Time
[NO] 1377/1797 | Enhancing Mapping Consistency for Motion Consistency: Spatio-Temporal Gaussian Process Maps for Autonomous Navigation in Dynamic Environments_supp1-3715028.mp4
[NO] 1378/1797 | Towards Explainable AI for Radiowave Propagation: Integrating Physical Knowledge and Machine Learning
[NO] 1379/1797 | Ionospheric TEC forecasting based on Trans-LSTM Hybrid algorithm
[NO] 1380/1797 | XAI-IDS: An Explainable Deep Learning Framework for Transparent and Trustworthy Intrusion Detection in Medical Internet of Things Networks
[NO] 1381/1797 | The Irreducibility of the Thinking Subject: Epistemological, Neurocognitive, and Ethical Limits to the Prediction of Human Subjective Content by Artificial Intelligence
[NO] 1382/1797 | ML-Restricted QUBO for Multi-User mmWave Beam Selection
[NO] 1383/1797 | Information-Gated Truncated Unscented Kalman Filtering for Latent-State Estimation Under Poor Identifiability
[NO] 1384/1797 | An Interpretable XGBoost Framework for Salary Prediction and Education Impact Analysis
[NO] 1385/1797 | Beyond the Quantum Horizon: Balancing Post-Quantum Security and Real-Time Performance in UAVs
[NO] 1386/1797 | Uncertainty-Guided Iterative Refinement: Retinal Vessel Segmentation with Progressive Attention
[NO] 1387/1797 | Leveraging Artificial Intelligence in International Legal Regulation to Predict Climate Change and Its Impact on Food Security
[NO] 1388/1797 | RAG Based Conversational Agent and Multi Camera Behavioral Scoring for Student Performance Tracking
[NO] 1389/1797 | Deep Learning-Based Cognitive Anomaly Detection Framework for Autonomous Vehicle Sensor Networks
[NO] 1390/1797 | LWE-ZUC: A Hybrid Stream Cipher with LWE Inspired Lattice based State Generation
[NO] 1391/1797 | Analysis of On-Grid Solar Power Plant Energy Production Forecasting at Mercu Buana University Using Polynomial Regression, Random Forest, and ARIMA
[NO] 1392/1797 | DRAM Bank-Aware Memory Allocation for Embedded Real-Time Virtualization
[NO] 1393/1797 | Knowledge Graph Recommendation with Relation-Enhanced Propagation and Multi-View Contrastive Learning
[NO] 1394/1797 | A Neural-Fuzzy Q-Learning Framework for Autonomous Routing in Mobile In-Body Nano-Networks
[NO] 1395/1797 | Design and Evaluation of an AI-Driven Functional Classification Framework for Government Web Page
[NO] 1396/1797 | Hybrid Meta-Heuristic Optimization and Machine Learning Approach for Power Quality Improvement in Multilevel Inverter-Based Renewable Energy Systems
[NO] 1397/1797 | Servo-Delay-Compensated Guidance Algorithm for Radar-Optoelectronic Cooperative Systems
[NO] 1398/1797 | An Intelligent Waste Classification System Using CNN with IoT Integration for Smart Recycling Applications
[NO] 1399/1797 | Robust Heart Disease Diagnosis via Multimodal Fusion of Clinical Records and Time-Series ECG Data
[NO] 1400/1797 | GLEAM: Mitigating Barren Plateaus in Hybrid Quantum Machine Learning via Small-World Entanglement
[NO] 1401/1797 | Research on Improved Q-Learning Algorithm Based on Potential Function Guidance and Gradient Descent Smoothing for Mobile Robot Path Planning
[NO] 1402/1797 | A RAG-Enhanced Multimodal Knowledge Synthesis System for Specialized Video Analysis and Management
[NO] 1403/1797 | Electric Current Field Navigation and Detection for Pulmonary Embolism Vascular Intervention based on Hybrid Electrodes
[NO] 1404/1797 | A 2 × 2 240–270-GHz Transmitter Array With 33 dBm of EIRP in a 0.13-
                    <i>μ</i>
                    m SiGe Technology
[NO] 1405/1797 | Parameter-Robust MPC With Antidisturbance Capability for PMSM Drives Under Local Demagnetization Fault: An Ultralocal Model Approach
[NO] 1406/1797 | Spatiotemporal Ambiguity-Driven System Parameter Design Method for Moon-Based SAR
[NO] 1407/1797 | IEEE Control Systems Society 2025 [CSS Business]
[NO] 1408/1797 | Standardizing AI Trust in Communication Networks: Current Status, Open Issues and Future Directions
[NO] 1409/1797 | Human-Cognitive Inspired Remote Sensing Change Detection Network
[NO] 1410/1797 | Tutorial on Power Side-Channel Attacks on Embedded Systems
[NO] 1411/1797 | Enhancing Robustness of Constant Curvature Graph Convolutional Network with Lipschitz Regularization
[NO] 1412/1797 | AI Is a Harsh Mistress: On Anima Machina, Herd Acceptance, and the Politics of Conscious Machines
[NO] 1413/1797 | Double Whammy: Stealthy Data Manipulation-Aided Reconstruction Attack on Graph Federated Learning
[NO] 1414/1797 | Hierarchical Prompts with Context-aware Calibration for Open-Vocabulary Object Detection
[NO] 1415/1797 | Table of Contents
[NO] 1416/1797 | Breaking Symmetry in Triangular Lattice PCSELs: Coupled Wave Theory Analysis
[NO] 1417/1797 | Partial Discharge and Flashover Characteristics of Stator Winding Bar for Flywheel Energy Storage under Partial Vacuum
[NO] 1418/1797 | Agentic AI-RAN: Enabling Intent-Driven, Explainable and Self-Evolving Open RAN Intelligence_supp1-3711017.pdf
