[2026-07-24 23:02:43] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-23
正在获取论文...
[arXiv] 2026-07-23 | Structure theory of $BV$ functions and finite perimeter sets on Riemannian manifolds
[NO] 1157/1796 | Real-Time CLAHE based Canny Edge Detection using Zynq UltraScale+ MPSoC FPGA Board
[NO] 1158/1796 | Evaluating AP Measures from EVestG as Markers of Gamma tACS Response in Alzheimer's Disease
[NO] 1159/1796 | Graph Neural Networks for Energy Routing Optimization in the Energy Internet: a Supervised Approach
[NO] 1160/1796 | Service-Aware and Distribution-Feasible DSO-to-ISO Bid-Offer Curves using T-D OPF Sweeps
[NO] 1161/1796 | Inverse Optimal Control of Unknown Linear Systems
[NO] 1162/1796 | Detection and Prediction of Demagnetization fault for PMSMs Based on 3D–FEA and AI Technology
[NO] 1163/1796 | Some Aspects of the Distribution of Time Scales at Power Facilities of Electric Grid Companies
[YES] 1164/1796 | HW/SW Co-Verification of an OBI-to-AXI4-Lite Controlled AXI4 DMA Integration using CV32E40P RISC-V Core
[NO] 1165/1796 | Compensation-based Model-Free Adaptive Control for High-Order Nonlinear Systems Under DoS Attacks
[NO] 1166/1796 | Humidity State Observer for Proton Exchange Membrane Fuel Cells Based on Dual Kalman Filter
[NO] 1167/1796 | Multi-Granularity Graph Feature Fusion for Industrial Soft Sensing
[NO] 1168/1796 | Incremental Balance, Position, and Heading Control of a Two-Wheeled Self-Balancing Robot: An Experimental Study
[NO] 1169/1796 | Pooling HPC Resources Across Organizations and Reducing Carbon Emissions with Transparent, User-Centric Meta-Scheduling
[NO] 1170/1796 | A Novel Hybrid Buck Converter with Reduced Ripple and High Efficiency for Low-Power Applications
[NO] 1171/1796 | Multidimensional Frequency Interpolation for Missing Value Imputation of Device Clusters Time Series Data
[NO] 1172/1796 | Electromagnetic Interference Immunity Testing of Quantum Cryptographic Communication System
[NO] 1173/1796 | Universal Edge Core Percolation in Complex Networks
[NO] 1174/1796 | Transformer-CatBoost Serial Hybrid Prediction Modeling for Reheat Steam Temperature Process of Coal-Fired Power Units
[NO] 1175/1796 | Emotional Power and Communicating about Climate Change: Engaging Urban People with Bushfire
[NO] 1176/1796 | Pitfalls of Projection: A study of Newton-type solvers for incremental potentials
[NO] 1177/1796 | Preface
[NO] 1178/1796 | When AI Can Write Everything They Submit: Learning verification in online teaching
[NO] 1179/1796 | Table of Contents
[NO] 1180/1796 | Provable Non-Convex Euclidean Distance Matrix Completion: Geometry, Reconstruction, and Robustness_supp1-3715063.pdf
[YES] 1181/1796 | Doping Enabled Clustering based Class Imbalance Handling for Software Defect Detection using Heterogeneous Stacking_supp1-3716176.docx
[NO] 1182/1796 | Design and Implementation of Computer Aided Human Resource Management System
[NO] 1183/1796 | A Lightweight YOLOv8n-Based Binary Waste Classification Model for Autonomous Garbage-Collecting Robots
[YES] 1184/1796 | Impact of Refactoring Architectural Smells on Quality, Security, and Performance Metrics
[NO] 1185/1796 | Interpretable Degradation Assessment and Service-Life Prediction of Aero-Engine Floating-Ring Graphite Seals Using 2000 h Endurance-Test Data
[NO] 1186/1796 | IEEE Standard for Space System Cybersecurity Design
[NO] 1187/1796 | One-Class LSTM Behavioral Modeling for Insider Threat Detection in Zero Trust Architectures
[NO] 1188/1796 | A differential mass sensor based on two weakly coupled thickness shear resonators
[NO] 1189/1796 | Shielding Effectiveness Improvement of a Conducting Slab via Layering: Effects of Layer Count and Gap Thickness
[NO] 1190/1796 | Protecting Visible Watermarks Against Diffusion-Based Inpainting via Localized, Robust, and Reversible Latent Perturbations
[NO] 1191/1796 | Multi-Level Feature Supervision through Mixup-Driven Hierarchical Self-Knowledge Distillation
[NO] 1192/1796 | Extended Schemes for Sound-Based Sway Angle Estimation for Full-Scale Tower Cranes with No Spatial Aliasing
[NO] 1193/1796 | Comparative Analysis of Monitoring Techniques for Polymeric Insulators under AC and DC Voltage Stresses
[NO] 1194/1796 | External Data-Enhanced Meta-Representation for Adaptive Probabilistic Load Forecasting
[NO] 1195/1796 | Unity-Based Visualization and Analysis of Error Propagation in Multi-Sensor Imaging Systems
[NO] 1196/1796 | Weather-Aware Augmentation for Parking Slot Detection Using Vision-Language Image Editing
[NO] 1197/1796 | PLGNet: A Novel Point-Local-Global Multi-level Collaborative Fusion Method for Hyperspectral and Multispectral Remote Sensing Images
[NO] 1198/1796 | Smartphone-Based Brunnstrom Stage Classification of Hemiparetic Gait via Skeleton-Attention-LSTM-Inception Network
[NO] 1199/1796 | Boosting Semi-Supervised Learning with Entropy-Guided Adaptive Reward Maximization
[NO] 1200/1796 | Multi-Stage Stochastic Reserve Dispatch Via an Adaptive Predispatch-Hazard-Redispatch Framework
[NO] 1201/1796 | Rate Controllable Semantic Communication for BEV Map Transmission
[NO] 1202/1796 | Convexity Modulus in Incremental Neural Network Approximation
[NO] 1203/1796 | Toward Efficient Consistency Models via Variance-Reduced Distillation
[NO] 1204/1796 | Dual Frequency-Space Aware Fusion Network for Face Super-Resolution
[NO] 1205/1796 | Enhancing the Effective Receptive Field of a U-Net-Based CNN for Road Marking Segmentation from Mechanical Spinning Mobile LiDAR-Derived Imagery
[NO] 1206/1796 | An Evaluation of AI-Enabled Social Media Platforms in Enhancing Talent Acquisition Effectiveness
[NO] 1207/1796 | A Reconfigurable Wireless Power Transfer System With Enhanced Angular Freedom
[NO] 1208/1796 | A Review of Digital Educational Platforms Security: A Quantum and Artificial Intelligence-Based Approach
[NO] 1209/1796 | BITMNet: A Degradation-Aware Mixture-of-Experts Framework for Blind Inverse Tone Mapping_supp1-3716204.pdf
[NO] 1210/1796 | Siamese Mask R-CNN: An Explainable Dual-Branch Framework for the Detection and Localisation of Image Splicing
[NO] 1211/1796 | CONTAaC: Continuous Architecting as Code
[NO] 1212/1796 | Electrostatically Engineered Dual-Material Gate Dielectrically Modulated Core-Source Heterojunction TFET for Ultra-Low-Power and Ultra-Sensitive Label-Free Biosensing
[NO] 1213/1796 | Search As You Want: Authenticated Keyword Search on Graphs with Bounded Leakage
[NO] 1214/1796 | Degradation Mechanism of 4H-SiC MOSFET under 10 MeV Proton Irradiation
[NO] 1215/1796 | Helical Bicomponent Fiber-based Actuator for Real-Time Bionic Hand Interaction
[NO] 1216/1796 | Learning Bird Migration Models from Marginals with Site Fidelity and Long-Range Dependencies
[NO] 1217/1796 | Data-Driven Prescribed-Iteration Convergence Control for Discrete-Time Nonlinear Systems via Iteration-Varying Gain
[NO] 1218/1796 | Distributed Maximal Independent Set Computation in Hundred Billion-Edge Graphs
[NO] 1219/1796 | A Fractional-Order Sliding Mode Control Strategy for Thermal Management of Proton Exchange Membrane Fuel Cells
[NO] 1220/1796 | Toeplitz Correlation Matrix Generation for Super-Resolution Angular Estimation of Correlated Array Sources
[NO] 1221/1796 | A Trojan-Resilient FIR Filter Architecture using Redundant Computation for FPGA-Based DSP Systems
[NO] 1222/1796 | Hardware Accelerated Lightweight Rolling Hash Architecture for Secure Data Integrity in RISC-V Systems
[NO] 1223/1796 | Design Validation and Performance Evaluation of Folded Cascode OpAmp by Nondominated Sorting Cuckoo Search Optimization Algorithm
[NO] 1224/1796 | Verilog-Based Systolic Array for Matrix Multiplication and Convolution in CNNs using RISC-V-VP++
[NO] 1225/1796 | Distributed Deep Learning for Decentralized, Bandwidth-limited, Dynamic Networks
[NO] 1226/1796 | Prediction of melt index of batch polypropylene based on data characteristics and regression modeling
[YES] 1227/1796 | A UVM 1.2 Verification Environment for ARMv8-M PACBTI and TrustZone Security Architecture: Implementation and Coverage Analysis
[NO] 1228/1796 | Improved Data-driven Control Based on Incremental PD for Piezoelectric Micro-Scanning Stage
[NO] 1229/1796 | CowPainCheck: Temporal Deep Learning for Postoperative Pain Detection in Cattle with Edge–Fog–Cloud Deployment Considerations
[NO] 1230/1796 | Causal Disentanglement-Driven Robust Adaptive Physics-Informed Neural Network for Trajectory Prediction
[NO] 1231/1796 | Radar single-target detection method based on convolutional neural network
[NO] 1232/1796 | Algorithmic Trading Data Collection and Transformation Process Automation Using DRI for Machine Learning Modelling
[NO] 1233/1796 | A Unified Analytical Model for Dead-Zone PFD and Charge Pump Nonlinearities in Fractional-N PLLs
[NO] 1234/1796 | K-STGCT: A Causal-Enhanced Spatio-Temporal Gated Convolutional Transformer with KAN-based Positional Encoding for Industrial Soft Sensor Forecasting
[NO] 1235/1796 | High Performance 4-bit Quantized CNN Accelerated Array Multiplier Implementation on FPGA
[NO] 1236/1796 | Personalized Course Recommendation Model Based on LightGCN and Learning Behavior Data
[NO] 1237/1796 | Grouping-based Dual-Population Co-evolutionary Algorithm for Constrained Ship Electrical Layout Optimization
[NO] 1238/1796 | Sliding-Mode Control Based on LQR for Markov Jump Systems with Partially Unknown Dynamics
[NO] 1239/1796 | Subject Leakage and Label Circularity in Deep Learning Models for Alzheimer’s Disease Prediction
[NO] 1240/1796 | Authors Index
[NO] 1241/1796 | Cover Page
[NO] 1242/1796 | Copyright Page
[NO] 1243/1796 | Tutorials
[NO] 1244/1796 | IEEE Microwave Theory and Technology Society Information
[NO] 1245/1796 | Introduction: From Pattern Alchemy to Coordination Physics
[NO] 1246/1796 | Experience-Informed Multiobjective Optimization for Fast Charging Design of Lithium-Ion Batteries
[NO] 1247/1796 | Hub-Removal Sparse Hashing for Cross-Modal Retrieval
[NO] 1248/1796 | A Method for Manipulator Motion Planning Based on Constructing Graphs of Convex Sets Via Gaussian Mixture Models_supp1-3716386.mp4
[NO] 1249/1796 | The Evolution of Consumer Financial Complaints Driven by Market Panic Sentiment: A Study Based on Machine Learning and Dirichlet Modeling
[NO] 1250/1796 | Embodied Agentic Intelligence for LAWNs: Joint Collision Avoidance Path Planning and Predictive Beamforming Design
[NO] 1251/1796 | Resilient Shared Subscription Mechanism in MQTT v5.0 for Massive IoT Networks
[NO] 1252/1796 | Comparative Analysis of SDAP and PHA for Two-Stage Stochastic Electricity Market Clearing Problems with Energy and Reserve Co-optimization
[NO] 1253/1796 | Toward Mem-Re-Sensors: Memristor-Like Pinched Hysteresis in an Open-Loop MEMS Resonator Using Third-Order Duffing Nonlinearity
[NO] 1254/1796 | Design and Experimental Validation of an Open-Source IIoT Architecture for Electrical Cabinet Monitoring in Hydroelectric Power Plants
[NO] 1255/1796 | Managing Frequent Two-Level Inter-Cluster Transitions in VANETs
[NO] 1256/1796 | Timing-Fragility–Aware Selective Hardening of RISC-V Soft Processors on SRAM-Based FPGAs
[NO] 1257/1796 | Impact of Photovoltaic Module Technology on the Solar-to-Hydrogen Efficiency of a PV-Powered PEM Electrolyzer System
[NO] 1258/1796 | GoMA-DTA: A Gene Ontology-Guided Multimodal Attention Fusion Model for Drug–Target Affinity Prediction
[NO] 1259/1796 | QoE-Driven Video Streaming Optimization in NDN-Based MANETs using E-Draft Protocol and Hybrid HHGWO Algorithm
[NO] 1260/1796 | Spatiotemporal Analysis of Traffic Incidents in Dubai Using Machine Learning
[YES] 1261/1796 | Continuous Bayesian Machine Learning for High-Dimensional Analog and Mixed-signal Circuit Yield Analysis and Optimization
[NO] 1262/1796 | $\mathcal {H}_{2}$-Optimal Event-Triggered Output Control Design: A Dual-Rate Approach
[NO] 1263/1796 | A Protocol-Aware DAG-Based Multi-Agent Orchestration Framework for Intelligent Tourism Assistants
[NO] 1264/1796 | Large AI Models Empowering Intelligent Manufacturing: Architecture, Evolution, and Prospects
[NO] 1265/1796 | TCF-Net: A target-aware collaborative framework for infrared image correction and small target detection
[NO] 1266/1796 | Multimodal Deep Learning for Human Fatigue Detection and Classification Using Speech and Text Modalities
[NO] 1267/1796 | Towards Fair Federated Edge Learning Through Prototype-Guided Distributed Adversarial Networks
[NO] 1268/1796 | International Advisory Committee
[NO] 1269/1796 | Triple-Interaction Temporal Perception With FDE for Semisupervised Fault Diagnosis in Rod Pumping System
[NO] 1270/1796 | IEEE Transactions on Industrial Electronics Information for Authors
[NO] 1271/1796 | Design and Evaluation of an ML-Driven Technique for UAV Threat Detection
[NO] 1272/1796 | An Open-Quantum-Systems Theory of Quantum-Biological Communication Channels
[NO] 1273/1796 | SDF-YOLOv8: A Lightweight and Robust Object Detection Network for Small Industrial Surface Defects
[NO] 1274/1796 | Design of A Solar Tracking Smart House for Enhanced Energy Efficiency
[NO] 1275/1796 | Lightweight Skeleton-Based Driver Distraction Detection Using Geometric Features and Subject-Independent Learning
[NO] 1276/1796 | When Data Protection Fails to Protect: Law, Power, and Postcolonial Governance in Bangladesh
[NO] 1277/1796 | Foreword
[NO] 1278/1796 | Improved Voltage Reference Feedforward Control with Smaller Overshoot Through Delays
[NO] 1279/1796 | Visual Analytics for Understanding Curriculum Learning and Generalization in PPO Agents
[NO] 1280/1796 | A Privacy-Aware Federated Learning Framework for Decentralized Intrusion Detection in IoT Networks
[NO] 1281/1796 | A Differentiable Oblique Decision Tree for Interpretable Interval Prediction of Photovoltaic Power
[NO] 1282/1796 | Optimization of List-Based Reed-Solomon Decoding via Deep Learning
[NO] 1283/1796 | GNSS RTK Measurements Spatial Filtering for Accuracy Increase in NLOS Scenario
[NO] 1284/1796 | Multidimensional Analysis and Prediction Model for University Student Sources Based on AdaBoost
[NO] 1285/1796 | PID-MFAILC Hybrid Speed Regulation for the Rotary Mechanism of Hydraulic Bolt Drills
[NO] 1286/1796 | Evolution Analysis of Global Governance Initiative Principles and Values Using Multi Source Text Data and Topic Modeling
[NO] 1287/1796 | Wireless Infrastructure On-Demand: A UAV-Based Cell-Free Network with Realistic Environment Conditions
[NO] 1288/1796 | Iterative learning control of position-constrained permanent magnet synchronous motor servo systems under varying iteration lengths
[NO] 1289/1796 | FedWeaver: Weaving Specialist Threads into a Resilient Global Model for Parameter-Efficient Federated Domain Generalization
[NO] 1290/1796 | Comparative Evaluation of PPO and SAC for Robust Autonomous Low-Thrust Transfers in Cislunar Space
[NO] 1291/1796 | Probing and Mitigating Identity Leakage in Audio Deepfake Detection Using Artifact-Centric Learning
[NO] 1292/1796 | Ultra Low Power Safety Aware Elevator Controller ASIC with Near-Zero-Skew Clocking
[NO] 1293/1796 | Implementation of High-Performance ALU using Dual-Mode Differential Cascode Voltage Switch Logic
[NO] 1294/1796 | Title Page
[NO] 1295/1796 | Preface
[NO] 1296/1796 | Epilogue: Wisdom
[NO] 1297/1796 | A Privacy-preserving Edge-cloud Video Analytics System via Policy-based Frame Transformation
[YES] 1298/1796 | Neural Coding as Software Engineering Augmentation, Not Abdication
[NO] 1299/1796 | Transient Scheduling of Dual-armed Cluster Tools with Concurrent Processing: an MIP Model and a Fast Heuristic_supp1-3716644.pdf
[NO] 1300/1796 | AdaSFMNet: Adaptive Spatial-Frequency Mamba for HSI-LiDAR Joint Classification
[NO] 1301/1796 | A Human-Centric Multimodal Framework for Continuous and Interpretable Driver Fatigue Quantification in Autonomous Vehicles
[NO] 1302/1796 | Message from General Chairs
[NO] 1303/1796 | Quantum Computing at the Crossroads: A Structured Analysis of Applications, Scalability Challenges, and Future Research Directions
[NO] 1304/1796 | Lightweight Voice Deepfake Detection for Smart Mobility Using Multi-Feature Ensemble Learning
[NO] 1305/1796 | RF Fingerprint-Based Drone Controller Classification Using Feature Engineering and Machine Learning
[NO] 1306/1796 | Development of a High Uniformity Subsonic Calibrator for Nanoscale Hot-Wire Probes
[NO] 1307/1796 | Dipole Reflectivity Inversion Based on Non-convex Group-sparse Regularization and Even-odd Atoms Reselection
[NO] 1308/1796 | Multimodal Deep Learning for Real-Time Estimation of Excitation Temperature of Transferred Arc Thermal Plasma
[NO] 1309/1796 | A Low-Profile and Broadband Circularly Polarized Folded Transmitarray Antenna Using Metasurfaces
[NO] 1310/1796 | Enhancing Autonomous Transportation Systems Safety: Integrating AI and Cybersecurity for Near-Real-Time Anomaly Detection
[NO] 1311/1796 | Research on the Application of Internet of Things Technology in Environmental Control and Automated Management of Pig Farms
[NO] 1312/1796 | Towards Efficient Hybrid Beamforming: Optimization and Learning Synergy for Wideband mm-Wave MU-MIMO
[NO] 1313/1796 | TinyML-based Wearable ECG Monitoring Systems: State-of-the-Art Survey on Architectures, Optimizations and Deployment Challenges towards Future Directions
[NO] 1314/1796 | Optimal Pressure Management for Water Distribution Systems Using Accurate Quadratic Pipe Friction Model
[NO] 1315/1796 | A Novel RSSI Fingerprint Localization Method Based on Feature Learning
[NO] 1316/1796 | Retraction Notice: Optimizing Large Railway Vision Models for Efficient In-Context Learning
[YES] 1317/1796 | Doping Enabled Clustering based Class Imbalance Handling for Software Defect Detection using Heterogeneous Stacking_supp8-3716176.docx
[NO] 1318/1796 | Multiple-Gain Model to Estimate Runtime of Evolutionary Algorithms for Constrained Discrete Optimization_supp1-3715876.pdf
[NO] 1319/1796 | Student Challenges in Advanced SQL: Misconceptions and Misapplications
[NO] 1320/1796 | A Tool of One’s Own: Motifs, Abduction and Non-Generative World-Building
[NO] 1321/1796 | Dialectical Analysis and Developmental Considerations of the 'Cat-and-Mouse Game' in AI-Generated Text Detection
[NO] 1322/1796 | On the Superiority of Ontario Electricity Demand Forecasting with Lagged Predictors
[NO] 1323/1796 | Hybrid Wavelet Neural Network–ANN–Kalman Filter Framework with Dynamic Ensemble Weighting for Short-Term Load Forecasting
[NO] 1324/1796 | Optimization Method for Regional Defense Resource Deployment Based on Fusion Potential Field Model
[NO] 1325/1796 | Research on a Handwritten Chinese Font Generation Algorithm Based on a Heterogeneous Attention Mechanism
[NO] 1326/1796 | Fusion and Hybrid CNN-BiLSTM Models for Battery State-of-Charge Estimation
[NO] 1327/1796 | A Cooperative Structural Defect Detection Method Based on Homogeneous MFL-EMAT
[NO] 1328/1796 | Multi-Target Allocation Based Reinforcement Learning for Cooperative Defense of USVs
[NO] 1329/1796 | Range and Velocity Tracking: a Parameter-Based Approach for Block Time-Varying Channels
[NO] 1330/1796 | Energy Efficient Reversible Carry Tree Adder
[NO] 1331/1796 | Dynamic Equivalencing of WECC Induction Motors A–C via a Unified Induction Motor–ZIP Model
[NO] 1332/1796 | Application of Dft With a Two-Fold Reduction in Conversion Time for the Phase Increment Frequency Measurement Method
[NO] 1333/1796 | Vision-Language-Guided UAV Navigation in Dynamic Coastline Environments
[NO] 1334/1796 | Enhancing Mobility in Cellular Networks by Utilizing AI/ML-based Measurement Prediction
[NO] 1335/1796 | Techno-Economic Optimisation of Green Mobile Energy Services in Bucharest
[NO] 1336/1796 | DCAL: Dual-Temporal Contrastive Adversarial Learning for Cross-Subject EEG Sleep Analysis
[NO] 1337/1796 | Vehicle-as-Code: Enabling Reproducible Automation and Toolchain Interoperability in Software-Defined Vehicles
[NO] 1338/1796 | KORDI: A Framework for Real-Time Performance and Cost Optimization of Apache Spark
[NO] 1339/1796 | Design and Implementation of a Hybrid AI Mobile Application for Motorcycle Weather Decision Support
[NO] 1340/1796 | Secure Self-Triggered Impulsive Control of Stochastic Complex Networks Under Deception Attacks
[NO] 1341/1796 | Borehole imaging-based subsurface structural assessment of the Dazu Thousand-handed Guanyin rock carvings
[NO] 1342/1796 | Editorial From the Incoming Editor-in-Chief
[NO] 1343/1796 | Radar-Based Semi-Supervised Human Activity Recognition With Multichannel Scattering Separation
[NO] 1344/1796 | Hybrid Analytical Modeling of Surface-Mounted Permanent Magnet Machines with Ferromagnetic Shielding Cylinder and Arbitrary Magnet Shapes
[NO] 1345/1796 | CMDiff-Reg: Geometry-Enhanced Diffusion Intermediate Representations for Unsupervised Cross-Modality Remote Sensing Registration
[NO] 1346/1796 | Enabling Lightweight and Accurate SOC Estimation through Load Self-regulation for Massive IoT Devices
[NO] 1347/1796 | Bayesian full waveform inversion with learned prior using deep convolutional autoencoder
[NO] 1348/1796 | A Machine Learning Approach to Benchmarking Social Debt
[NO] 1349/1796 | Semantic-Aware Adaptive Networking for Immersive Sports Broadcasting Over 6G Networks
[NO] 1350/1796 | Calibratable Disambiguation Loss for Multi-Instance Partial-Label Learning_supp1-3712701.pdf
[NO] 1351/1796 | On covering radius of generalized Zetterberg codes
[NO] 1352/1796 | Traffic Flow Prediction Based on Multi-Scale Graph Convolution Enhanced Large Language Model
[NO] 1353/1796 | Smart Parking Occupancy Detection Using Computer Vision and Edge AI
[NO] 1354/1796 | Toward Real-World RAW Blind Super-Resolution: A Novel Metadata-Integrated Approach and Benchmark
[NO] 1355/1796 | On Geometric Shaping of Intensity-Modulated Signals for MIMO Optical Wireless Communications
[NO] 1356/1796 | MSCFMamba: Lightweight Mamba Model with Transfer Learning for Continuous Cuffless Blood Pressure Monitoring Using PPG and BCG
[NO] 1357/1796 | BlockRaFT: A Distributed Framework for Fault-Tolerant and Scalable Blockchain Nodes
[NO] 1358/1796 | Fuzzy-Adaptive Bayesian Hyperparameter Optimization Method for XGBoost
[NO] 1359/1796 | SHRD: A Scalable Scheme for Hierarchical File Sharing with Rank-Aware Dissemination
[NO] 1360/1796 | E-NERVE: An Edge-Adaptive, NAF-Empowered, Resource-Efficient Versatile AI Inference Engine
[NO] 1361/1796 | Comparative Analysis of Incremental Conductance and Kalman Filter Approaches for Optimizing Photovoltaic Water Pumping Systems
[NO] 1362/1796 | SAR-Inspired Adversarial Diffusion for Optical-to-SAR Image Translation
[YES] 1363/1796 | Layout-Dependent Ringing and EMC Analysis in DC-DC Converters via AC Simulation
[NO] 1364/1796 | Socially Compliant Autonomous Navigation of a Unicycle Robot in Human Crowded Environments
[NO] 1365/1796 | A Multi-Stage Transformer-Based Pipeline for Patient-Friendly Interpretation of Handwritten Medical Prescriptions
[NO] 1366/1796 | Safety-Critical Bias: Assessing Demographic Disparities in SAM2 for Autonomous Vehicle Applications
[NO] 1367/1796 | Beyond Net Present Value: A Practical Framework for De-Risking Strategic Technology Investments
[NO] 1368/1796 | Developing an Integrated Machine Learning and Digital Twin Model for Predicting Traffic Signal Phasing and Timing Information
[NO] 1369/1796 | Warehouse Safety and Security Monitoring with Computer Vision
[NO] 1370/1796 | Frequency-Scalable Design and Experimental Validation of SOLR Microstrip Bandpass Filters at 2.4, 3.5, and 5.8 GHz
[NO] 1371/1796 | PatternForge: A Multi-Agent Generative AI Framework for Catalog-Driven Orchestration Across Enterprise CRM and Hyperscaler Cloud Platforms
[NO] 1372/1796 | SD-Acc: Accelerating Stable Diffusion through Phase-aware Sampling and Hardware Co-Optimizations
[NO] 1373/1796 | RA-EKF Integrated Method of Pure SINS and Improved Dual-Axis RINS for Long Endurance
[NO] 1374/1796 | A New Method for Inductance Matrix Calculation in Circular Multi-Conductor Transmission Line Models of Transformer Windings
[NO] 1375/1796 | Bangladesh AI Readiness: Gaps in Curriculum, Infrastructure, and Governance
[NO] 1376/1796 | Toward Faith-Aligned Mental Health Chatbots: Understanding Muslim Users' Expectations and Design Needs
[NO] 1377/1796 | When Tutorials Become Infrastructure: Bangla Developer Vlogs, Learning Access, and Precarious Digital Labor in Bangladesh
[NO] 1378/1796 | Design and Simulation of a Broadband 0.5–5 MHz Ultrasound Probe for Lung Disease Diagnostics and Therapeutic Monitoring
[NO] 1379/1796 | SCT-5GC: Self-Conditioned Transformer for Mobile Core Network Telemetry Anomaly Detection
[NO] 1380/1796 | Practical Fixed-Time Synchronization of Disturbed Complex Networks via Aperiodically Intermittent Control
[NO] 1381/1796 | Role-Oriented History-Aware Transformer for Spatio-Temporal Traffic Flow Forecasting
[NO] 1382/1796 | Kinematic Error Analysis and Compensation for Improving Surgical Robot Registration Performance
[NO] 1383/1796 | Plant-Oriented Rolling Day-Ahead Scheduling Under Rigid Monthly Targets for Hydrometallurgical Zinc Production
[NO] 1384/1796 | IoT based Crop Predictor and Water Irrigation System using Machine Learning
[NO] 1385/1796 | Enhanced Semantic Segmentation of Road Cracks and Potholes based on Improved SegNeXt
[NO] 1386/1796 | Detection of Replay Attacks in Networked Control Systems Based on Segmented Weighted Smoothing Watermark
[NO] 1387/1796 | Jointly Optimizing Reconstruction and Prediction for Unsupervised UAV Anomaly Detection
[YES] 1388/1796 | Design and Implementation of FPGA Based Smart Vending Machine using VHDL
[NO] 1389/1796 | Comparative Analysis of Flash ADC using Various Architectures
[NO] 1390/1796 | Can Microbenchmark-Derived Insights Guide Energy-Efficient Execution of Real Applications on Asymmetric Multicore Processors?
[NO] 1391/1796 | Stability and Hopf Bifurcation Analysis of a Complex Network Model with Heterogeneous Gamma-Distributed Delays
[NO] 1392/1796 | An Improved Neural Field-Based Coverage Path Planning Algorithm for Quadruped Robots
[NO] 1393/1796 | A DC Arc Fault Diagnosis Method for Photovoltaic Systems Based on Convolutional Neural Networks and Attention Mechanisms
[NO] 1394/1796 | MACE: A Physics-Informed Multi-modal Large Language Model for Strategic UAV Swarm Confrontation
[NO] 1395/1796 | Author Index
[NO] 1396/1796 | DDCLS 2026 Breaker Page
[NO] 1397/1796 | VLSI SATA 2026 Preface
[NO] 1398/1796 | Spectral Characteristics of a Linear Phase-Locked Loop Model with an Additional Frequency Feedback Loop
[NO] 1399/1796 | Design of a Knowledge Base Question Answering Algorithm
[NO] 1400/1796 | EER RF Power Amplifier Envelope Path PWM Modulator Functional Units Constructing Methods
[NO] 1401/1796 | Introduction to the Special Section on USENIX ATC 2024
[NO] 1402/1796 | Table of Contents
[NO] 1403/1796 | Coordinated Optimization of Last Train Timetables in Urban Rail Transit Incorporating Dynamic Passenger Flow and Traction Energy Consumption
[NO] 1404/1796 | Reorienting the Frozen Space: Training-Free Test-Time Adaptation by Geometric Transformation
[NO] 1405/1796 | Frequency-Spatial Dual-level Selective Alignment for Domain Adaptive Object Detection in Remote Sensing
[NO] 1406/1796 | Long-tailed Approaching Cross-modal Hashing with Multi-expert Collaborative Learning
[NO] 1407/1796 | A Hybrid Optimized WOA Parameter Extraction Algorithm of Perovskite Solar Cells’ Three-Diode Core Equivalent Circuit Model
[NO] 1408/1796 | Automated Detection and Removal of Pacing Artifacts from ECG Signal: CRIC and Cleveland Clinic Cohorts
[NO] 1409/1796 | Dynamic Event-Triggered Adaptive Fuzzy Control for Robotic Manipulators with Prescribed Performance
[NO] 1410/1796 | Asymmetrical ISOP LLC Resonant Converter with Integrated Reconfigured Inductors and Current-Balanced Rectifiers
[NO] 1411/1796 | Design and Demonstration of a Six-Degree-of-Freedom Heterodyne Grating Interferometer for Atomic-level Precision Measurement
[NO] 1412/1796 | TRAG-DPO: Enhancing Visual Question Answering in Tomato Disease Diagnosis via Hybrid Retrieval and DPO-based Preference Alignment
[NO] 1413/1796 | IEEE Transactions on Terahertz Science and Technology Information for Authors
[NO] 1414/1796 | Integral Backstepping Control for Permanent Magnet Synchronous Motor Drives: Design, Stability Analysis, and Simulation Validation
[NO] 1415/1796 | Question Answering Over Knowledge Graphs: The DBpedia Case Study
[NO] 1416/1796 | MEVION: Low-Cost Open-Source Data Collection System for Powerful and High-Speed Dual-Arm Manipulation
[NO] 1417/1796 | A Memory-Efficient Tile-Based Architecture for Real-Time UHD Stereo Rectification
[NO] 1418/1796 | Hybrid Beamforming Optimization for mmWave Vehicular Communications with Fluid Antenna Systems
[NO] 1419/1796 | Low-Sidelobe Independently Controllable Multi-beamforming Time-Modulated Array with Arbitrary Stepped Waveforms
[NO] 1420/1796 | SoftmaxPIM: An HBM-Based PIM Architecture for Accelerating GeMV–Softmax Execution Pipeline
[NO] 1421/1796 | Governance-Aware AI-Assisted Developer Productivity Evaluation in Hybrid Work Environments
[NO] 1422/1796 | Hybrid SA-PSO/Taylor based Sensor Node Localization for Underwater Acoustic Networks
[NO] 1423/1796 | A Retrieval-Augmented Generation Based Hybrid Question-Answering System for Turkish Hotel Information: A Pilot Study on Antalya Hotels
[NO] 1424/1796 | Modeling and evaluation of resilience in 5G critical communications using composite metrics and Multi-Access Edge Computing architectures
[NO] 1425/1796 | AHA-JEPA: Articulated Hand-Aware JEPA for Leak-Free Gloss-Conditioned Sign Pose Generation
[NO] 1426/1796 | Design and Evaluation of a Personal-Fit Control System for Vehicle Systems
