[2026-08-12 22:40:02] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-11
正在获取论文...
[arXiv] 2026-08-11 | Stay or Stray - A Dynamical Systems Viewpoint of Popularity Bias
[NO] 1342/1877 | Retraction Notice: Sign Language Converter Using Hand Gestures
[NO] 1343/1877 | WaveBlock: Hybrid Discrete Wavelet Transform and Block Truncation Coding Based Video Compression Architecture for Resource-Constrained Embedded Systems
[NO] 1344/1877 | Retraction Notice: Analysis of Collaborative and Convenient E-Learning on Cloud Computing
[NO] 1345/1877 | The Schur Complement-Based Covariance Intersection Method
[NO] 1346/1877 | CausalTune: Causal Learning based Automated Cellular RAN Configuration Tuning Framework
[NO] 1347/1877 | Open the Floodgates in a Digital Twin: Experiences of Building Spillway for 100M+-User Signaling Storms in Cellular Core Network
[NO] 1348/1877 | IntentP4: Bridging P4 Temporal Specifications and Executable Network Tests
[NO] 1349/1877 | Odin: Rethinking Congestion Control under All-to-All Traffic
[NO] 1350/1877 | DynamiQ: Accelerating Gradient Synchronization using Compressed Multi-hop All-reduce
[NO] 1351/1877 | LLM-Assisted Indoor Scene Assembly with Rule-Based Spatial Validation for Emergency Navigation
[NO] 1352/1877 | AI-Based Autonomous, Energy-Efficient and Resilient O-RAN Architecture for 5G and 6G Networks
[NO] 1353/1877 | Dynamic Task-Based Urban Routing with IoT Telemetry
[NO] 1354/1877 | Evolutionary Optimization of Gait Stability for Three Spoke Wheg Rovers via Discrete Element Method
[NO] 1355/1877 | DeepChequeNet: A Hybrid Ensemble for Default Risk Scoring in Cheque Factoring
[NO] 1356/1877 | 2007 IEEE Electric Ship Technologies Symposium
[NO] 1357/1877 | Recommendation-as-Experience: A Framework for Context-Sensitive Adaptation in Conversational Recommender Systems
[NO] 1358/1877 | Comparative Analysis of Pose Estimation Model for Mobile Motion Tracking Application
[NO] 1359/1877 | IREF-VITON: Input Representation Enhancement and Fusion in Image-Based Virtual Try-On Systems
[NO] 1360/1877 | Voltage Predictive Control Strategy for CLLC Resonant Converters Based on Simplified TimeDomain Model
[NO] 1361/1877 | A Comparative Study of Visual Appearance-Based Screening Methods for Pediatric Adenoid Facies
[NO] 1362/1877 | Precise Positioning Soot-Blowing Control Using Virtual Feedback in DCS
[NO] 1363/1877 | Temperature-Induced Carrier Frequency Offset Variability in LoRa Devices: An Experimental Study
[NO] 1364/1877 | Smart Computing for Data Science: Brain–Computer Interface
[NO] 1365/1877 | From Homogenized Hyperbolic to Nonlocal Heat Conduction in Periodic Media
[NO] 1366/1877 | Optimization of Multi-Robot Cooperative Inspection Path Planning for Chemical Plants with Energy Constraints
[NO] 1367/1877 | Artificial Intelligence–Driven Healthcare with Enhanced Data Security and Patient Privacy
[NO] 1368/1877 | CEPIN: Contrastive Entity-Pair Interaction Network for Financial Relation Classification in Chinese Corporate Annual Reports
[NO] 1369/1877 | AI-Assisted Detection and Prognosis of Rheumatoid Arthritis from Joint Imaging and Genomic Data
[NO] 1370/1877 | Coordinated Sizing of Multi-Type Energy Storage Systems for Remote Microgrids Considering Resilience Constraints Under Extreme Events
[NO] 1371/1877 | Voice Evaluation System Based on Sensor Data Acquisition and Acoustic Feature Extraction
[NO] 1372/1877 | High-Precision Semantic Segmentation System with Feature Fusion Enhancement for UAV Inspection Scenarios
[NO] 1373/1877 | Agentic RAG for Structure Aware Long Document Reasoning
[NO] 1374/1877 | Research on Transmission Line Mast Posture Monitoring Technology Based on Mechanics-Data Fusion
[NO] 1375/1877 | A Large-Language-Model-Oriented Dual-Channel Agent Framework for Intelligent Generation of Simulation Scenarios
[NO] 1376/1877 | Network-Induced Asynchronous Fuzzy Control for SPMSM Servo System Against Nonlinear Friction
[NO] 1377/1877 | The Cost/Value of High Angle Conveying
[NO] 1378/1877 | PR-GVAE: Property-Controllable Molecular Generation via Conditional Graph Variational Autoencoder
[NO] 1379/1877 | Contingency Assessment of a Renewable-Integrated Multi-Terminal HVDC Grid
[NO] 1380/1877 | Research on the continuous overvoltage characteristics of submodule and suppression strategy of VSC-UHVDC system
[NO] 1381/1877 | Vision-Based Plant Disease Prediction and Intelligent Control Mechanism for Cotton Crops Plants
[NO] 1382/1877 | Visual Design Literacy in Logistics 4.0 Education: Rethinking Design Styles for Intelligent Decision Support System
[NO] 1383/1877 | The Berth Allocation Optimization Based on Robust ICSA for Low-Carbon Ports
[NO] 1384/1877 | Deformation Behavior of Single-Crystal Al
                    <sub>0.3</sub>
                    CoCrFeNi Hea Alloy with Various Inclusion Materials During the Tensile Process
[NO] 1385/1877 | Improvement and Mechanism Study of a Mechanical Reinforcement Scheme for Large-Mass CQFP Devices in Aerospace Applications
[NO] 1386/1877 | A Stealthy False Data Injection Attack Detection Method Based on the Integration of Deep Learning and Statistical Process Control
[NO] 1387/1877 | Optimizing Agricultural Logistics and Market Access Using Machine Learning Models
[NO] 1388/1877 | Edge Computing for Radar-Based Contactless Vital Signs Monitoring in Smart Healthcare
[NO] 1389/1877 | Identification of Pathophysiological Indicators in CKD Classification Using SHAP
[NO] 1390/1877 | Edge-Aware Transformer Encoder for UAV-Based Power Grid Defect Detection
[NO] 1391/1877 | An AI-Based Smart Waste Reporting and Pickup System for Urban Environments
[NO] 1392/1877 | Research on Single-End Detection Method for RJ45 Connector Quality Based on Micro-positioning Grating and LC Impedance Spectroscopy
[NO] 1393/1877 | Evolutionary Genetic Optimization of Deep Learning for Scalable Cloud-Fog System
[NO] 1394/1877 | AI-Driven Smart Energy Management System for Renewable Power Optimization
[NO] 1395/1877 | Robust Hand-Eye Calibration Based on Optimized Dual Quaternions
[NO] 1396/1877 | Teacher Well-Being on Online Systems: Perspectives and Practices
[NO] 1397/1877 | To what extent does driving style and head pose dynamics impact safety critical events under disrupted traffic flow: A computer vision and machine learning approach
[NO] 1398/1877 | Hierarchical Adaptive MPC for Autonomous Vehicle Lane Changing Via PSO and GWO
[NO] 1399/1877 | HiHPO: Multimodal Hierarchical Graph Learning for Predicting Missing Protein-Phenotype Associations_supp1-3722695.pdf
[NO] 1400/1877 | Trading Vector Data in Vector Databases
[NO] 1401/1877 | Enhanced Hybrid Models for Accurate Brain Tumor Prediction from Medical Imaging Data
[NO] 1402/1877 | A Method for Generating Synthetic Cellular Data Using Rules, Variational Modeling, and Explainable Artificial Intelligence
[NO] 1403/1877 | Investigating the Integration of Dimensionality Reduction Techniques with Machine Learning to Enhance Financial Time Series Forecast for Price Prediction
[NO] 1404/1877 | Design and Parameter Analysis of Specified Duration Input Shaping for Space Manipulator Pre-Capturing
[NO] 1405/1877 | Optimal Containment of Multiagent Systems With Multistep Policy Gradient Reinforcement Learning
[NO] 1406/1877 | X-Band Series-Fed Microstrip Antenna Array for CubeSat
[NO] 1407/1877 | Automated Auditing of Hospital Discharge Summaries for Care Transitions
[NO] 1408/1877 | Machine learning based prediction and optimization of power output in ZnO based functionally graded thermoelectric device
[NO] 1409/1877 | A Pedagogical Framework of Gamified Interactive Visualization for Enhancing Learning Outcomes in Programming Styles and Paradigms Education
[NO] 1410/1877 | A Novel Hybrid Meta-Heuristic Optimization Approach for Plug-in Electric Vehicles Charging Stations Placement in Smart Cities
[NO] 1411/1877 | Artificial Understanding as Recursive Causal-Mechanistic Explanation: A Formal Framework
[NO] 1412/1877 | TORE-NET: A Task Replication and Offloading Strategy in Reliable and Energy-Efficient Mobile Edge Computing Networks
[NO] 1413/1877 | Toward Additive Manufacturing of Microsystems Enabled by Laser-Processed Dielectric Microstructures and Direct Graphene Conversion
[NO] 1414/1877 | TransLGX: A Self-Contained Model to Predict the Entire Lifecycle and Complete State of Logistics Package Trajectories
[NO] 1415/1877 | AI Conversational System in Higher Education: Adoption Insights for Smarter E-Learning
[NO] 1416/1877 | Non-Drilled Half-Mode Vivaldi Photonic Antenna
[NO] 1417/1877 | Green Finance Decision Support System: ML and XAI-based Loan Assessment for Renewable Energy and Smart Infrastructure
[NO] 1418/1877 | Scalable Multimodal Price Prediction for E-Commerce: A Data-Driven Ensemble Approach
[NO] 1419/1877 | Architecture of an Academic Security Operations Center Based on Threat Intelligence and STIX/TAXII Standards
[NO] 1420/1877 | Reproducibility and Robustness of Large Language Models for Mobility Functional Status Extraction
[NO] 1421/1877 | A Compact Dual-Band Antenna Integrated into the Camera Module for Wi-Fi 7 Mobile Devices
[NO] 1422/1877 | Concept and Feasibility Study of Flight Software Reprogramming for Next-Generation Satellites
[NO] 1423/1877 | Low-Latency Stateful Stream Processing Through Timely and Accurate Prefetching
[NO] 1424/1877 | Generative AI Tool Use in Higher Education: A Mixed-Methods Analysis of Student Experiences and Educational Impacts
[NO] 1425/1877 | Recurrent Self-Organizing Interval Type-2 Quantum Fuzzy Neural Network for Nonlinear Dynamic System Identification
[NO] 1426/1877 | IEEE Guide for the Interpretation of Gases Generated in Silicone-Immersed Transformers
[NO] 1427/1877 | Latency-Minimizing Joint Resource Allocation for Cloud-Edge-Terminal Collaborative Home Companion &amp; Care Robots
[NO] 1428/1877 | Hyperbolic Riemannian Game Theory for Privacy-Preserving Threat Detection in Cloud-Edge 6G-IoT Wireless Networks for Smart Healthcare_supp1-3722670.pdf
[NO] 1429/1877 | Blockchain as a Tool for Transparency in Financial Auditing and Training for Future Accountants
[NO] 1430/1877 | A Structure-Preserving UPML Formulation for Multisymplectic FDTD Methods
[NO] 1431/1877 | Secure MCP-Based Tool-Augmented RAG for Industrial IoT Diagnostics Under Indirect Prompt Injection, Retrieval Poisoning, and Modality Outages
[NO] 1432/1877 | Phenotype Reliability Weighting for Knowledge Graph-Based Drug Repurposing
[NO] 1433/1877 | Developing an Immersive Visual Space as an Innovative Interior Design Teaching and Learning Tool
[NO] 1434/1877 | Efficient Traffic Forecasting on Large-Scale Road Network by Regularized Adaptive Graph Convolution
[NO] 1435/1877 | An Empirical Study of Generative AI Usage in Student Data Analysis and Visualization Projects
[NO] 1436/1877 | An IoT Architecture for Monitoring Cocoa Fermentation Parameters: A Small-Scale Case Study
[NO] 1437/1877 | Analysis of Semantic Relations in Adverbial Phrases: Uzbek-Turkish Comparative Study
[NO] 1438/1877 | Design and Co-Optimization of a 27-31 GHz CPW-Based Integrated Filtering Power Divider
[NO] 1439/1877 | Comparative Evaluation of Opencv and COCO-SSD Prototypes Versus the YOLOv8 Model in Surveillance Within Farming Environments
[NO] 1440/1877 | Artificial Intelligence-Based CNN-LSTM Intrusion Detection and Prevention System for Modern Network Security
[NO] 1441/1877 | Microwave Flaw Detector for Polymeric Materials in Electronics Industry
[NO] 1442/1877 | 2026 17th International Conference on E-Education, E-Business, E-Management and E-Learning (IC4e)
[NO] 1443/1877 | Expanding the IEEE Geoscience and Remote Sensing Society Footprint in East China: Fudan University Student Branch Chapter Hosts Academic Workshop and Promotes Regional Growth [Chapters]
[NO] 1444/1877 | Adaptive Robust Stochastic Planning of PV, Wind, and BESS with Time Scale Decoupled Uncertainty
[NO] 1445/1877 | Multipath Exploitation in Highly Reflective Environments for Enhanced Microwave Imaging via Inverse Source Reconstruction
[NO] 1446/1877 | Compensation of Distortions in a Two-Dimensional Spatial Spectrum Estimated as a Combination of Two One-Dimensional Spectra Arising from Multiple Objects within a Range Resolution Cell
[NO] 1447/1877 | A Machine Learning Approach to Lithium-Ion State of Charge (SoC) Time Series Forecasting in Battery Management Systems (BMS)
[NO] 1448/1877 | Confidence-Gated Implicit Q-Learning for Stable Long-Horizon Visuomotor Control
[NO] 1449/1877 | Improving NEAT for Constrained Workload Scheduling via Adaptive Dual-Space Neuroevolution (NEADS)
[NO] 1450/1877 | CT-Derived Patient-Specific Digital Twin Representations for Estimating Sensor-to-Skin Path Length and Tissue Dependent RF Attenuation
[NO] 1451/1877 | A High-Throughput Deep-Discharge System for Cylindrical Lithium-Ion Cells Used in Battery Recycling
[NO] 1452/1877 | Pareto-Optimal Parametric Design Method for PMSM Applied to eVTOL UAV
[NO] 1453/1877 | Auditing Instruction–Trajectory Mismatches in Multimodal Robot Demonstrations
[NO] 1454/1877 | A Reduced-Order Impedance Model of the Quasi-Resonant Harmonic Wave-Suppression and Current Monitoring Strategy for the PMSM Systems
[NO] 1455/1877 | Neural Network Module for Robust Tracking of Dynamic Objects
[NO] 1456/1877 | Is Quantum Computing Ready for Real-Time Database Optimization?
[NO] 1457/1877 | Neural Cognitive Fingerprint Network (NeuroPrint-Net)
[NO] 1458/1877 | E-Management Framework for Sustainable Geophysical Survey Methods in Resource Management
[NO] 1459/1877 | Enhancing Indonesian Sentiment Analysis via LLM Driven Sarcasm Detection and Ensemble Learning
[NO] 1460/1877 | PointDiffuse: A Dual-Conditional Diffusion Model for Enhanced Point Cloud Semantic Segmentation
[NO] 1461/1877 | Lookahead Bit Flipping Decoding for Low-density Parity-check Codes
[NO] 1462/1877 | Observer-Based Dynamic Event-Triggered Reliable Reachable Set Synthesis of Networked Semi-Markov Jump Systems Against DoS Attacks and Actuator Faults
[NO] 1463/1877 | Fixed-Time Convergent Resilient Critic-Learning Control With Asymmetric Input-State Constraints Under Hybrid FDI–DoS Attacks
[NO] 1464/1877 | Digital Predistortion for Non-Differentiable Nonlinear Systems: A Reinforcement Learning Framework with Transfer Learning
[NO] 1465/1877 | Adaptive H-Refinement Method of Integral Equation Method for Multiscale Problems
[NO] 1466/1877 | Enhancing XSS Attack Identification Through Character-Level Feature Engineering and Hyperparameter Optimization
[NO] 1467/1877 | Convolutional Encoder-Decoder-Based Electric Field Intensity Solver for TGV Chip Arrays
[NO] 1468/1877 | Identifying Complementary Therapeutic Relationships for Drug Repurposing via Spectral–Spatial Graph Contrastive Learning
[NO] 1469/1877 | Relevance Matters: A Multi-Task and Multi-Stage Large Language Model Approach for E-Commerce Query Rewriting
[NO] 1470/1877 | p-th Moment Exponential Convergence for Markovian Switching Systems Via Event-Triggered Impulsive Control
[NO] 1471/1877 | A Controlled Comparative Study of RAG and KG-RAG for Explainable Asset Maintenance Recommendations
[NO] 1472/1877 | Joint Spectrum, Association, and Deployment Optimization for UAV Swarm-Assisted ISAC Networks
[NO] 1473/1877 | A Factor Graph Optimization Method with Initial Velocity Bias Estimation for GINS Initial Alignment
[NO] 1474/1877 | Drift-Adaptive Synchronization for Energy–Fidelity Tradeoffs in Digital Twin IoT Systems
[NO] 1475/1877 | A Spectrally Optimized Tetrahedral Operator Paradigm for Electromagnetic–Thermal–Mechanical Analysis of High-Power Microwave Devices
[NO] 1476/1877 | AI Literacy For Lower Secondary Education
[NO] 1477/1877 | OmniPath Ping: Active Network Measurement in the Era of Packet Spraying
[NO] 1478/1877 | Elastispec: Formalizing Enterprise Firewall Management with Informal and Elastic Specifications
[NO] 1479/1877 | Planogram: A Multi-dimensional Physical Location Planning System for DC Networks
[NO] 1480/1877 | POSTER: Beyond Probabilistic Data Structures for AI/ML Workload Monitoring
[NO] 1481/1877 | Network System Performance Insights Through Graph Signal Smoothness
[NO] 1482/1877 | Retraction Notice: Energy-Efficient Routing Algorithms for Wireless Sensor Networks in Precision Agriculture
[NO] 1483/1877 | Flush Air Data Sensing via Two-Branch Neural Network Incorporating Dimensionless Features from the Triples Algorithm
[NO] 1484/1877 | Enabling Space Datacenter Connectivity via Satellite Constellations
[NO] 1485/1877 | Short-Term Load Forecasting for Distribution Networks via Sample Entropy-Guided Secondary Decomposition and Deep Learning
[NO] 1486/1877 | Retraction Notice: Detection of Brain Tumor from the MRI Images using Deep Hybrid Boosted based on Ensemble Techniques
[NO] 1487/1877 | Utility Maximization in Multi-Functional UAV- and IRS-Aided SWIPT-MEC Networks: A Dynamic Feature Extraction-Based Optimization Approach
[NO] 1488/1877 | Retraction Notice: Development of Raspberry Pi Based Embedded Scheme for Power Theft Monitoring
[NO] 1489/1877 | Comparative Analysis of Hyperparameter Optimization Techniques in Obesity Classification
[NO] 1490/1877 | Retraction Notice: An Enhanced Blockchain Technology with AES Encryption Security System for Healthcare System
[NO] 1491/1877 | Mechanism Design for Federated Learning with Non-Monotonic Network Effects_supp1-3717853.pdf
[NO] 1492/1877 | IRS-assisted Energy-Efficient IoT Communication in UAV-based Smart Agriculture
[YES] 1493/1877 | Detecting Breaking Changes in PROFINET GSDML Files Using Hybrid LLM and Deterministic Analysis
[NO] 1494/1877 | Performance Analysis of Vision-Language-Action Models: Evaluating Turkish Command Understanding in OpenVLA
[NO] 1495/1877 | Contrastive Representation Learning for Stock Trading Classification: A TS2Vec Approach with Technical Indicators
[NO] 1496/1877 | A Reliable Data Annotation Framework for Suicidal Ideation Detection
[NO] 1497/1877 | Illumination-Aware Local Texture and Edge Preservation for Visible-Infrared Image Fusion
[NO] 1498/1877 | An Explainable and Attention-Mechanism-Based Deep Learning Framework for Reliable Plant Disease Detection
[NO] 1499/1877 | A Lightweight Method for Multiple Signal Direction Estimation with Adaptive Notch Filters
[NO] 1500/1877 | Real-Time Cockpit CO
                    <sub>2</sub>
                    Monitoring Using a Triboelectric Nanogenerator Supported Embedded System
[NO] 1501/1877 | On the Tunability of Hyperparameters in Support Vector Regression
[NO] 1502/1877 | Comparative Performance Analysis of Different Machine Learning Models for an X-Band Metamaterial Absorber
[NO] 1503/1877 | Spiking Neural Networks for Efficient Effect Prediction in Robotic Manipulation
[NO] 1504/1877 | MoAUXNet: An Attention-Enhanced Mixture-of-Experts Approach for Low-SNR Modulation Classification
[NO] 1505/1877 | Comparison of CAF Methods for Radar EW
[NO] 1506/1877 | Machine Learning-Based Performance Prediction and Analysis of UAV Propellers under Step-Throttle Conditions
[NO] 1507/1877 | Energy-Controllable Time Integration for Elastodynamic Contact
[NO] 1508/1877 | A Prediction-Driven Inference Offloading and Risk-Aware Session Orchestration and Reselection Mechanism for 6G UE Agents
[NO] 1509/1877 | Risk-Aware Graph MAPPO with a Decoupled Safety Shield for Multi-Ship Collision Avoidance
[NO] 1510/1877 | Evaluation of Deep Learning-based Models for ADHD Detection using Electroencephalography Signals
[NO] 1511/1877 | Semantic Search and Retrieval of Legal Judgments Using Transformer-Based Language Models
[NO] 1512/1877 | A Degradation-Aware Dispatch Model for a Wind-Hydrogen-Storage System with Mode-Dependent Ageing Updates of Electrolysers
[NO] 1513/1877 | Modeling and Simulation Analysis of Motor- Generator Frequency Converter for Flexible Low Frequency Transmission System
[NO] 1514/1877 | Swin-FRCAN: A Multi-Module Enhanced Transformer Approach for Facial Expression Recognition in Performing Arts
[NO] 1515/1877 | EchoAI: A Real-Time Platform for Multimodal Meeting Intelligence
[NO] 1516/1877 | E-Krishi: Intelligent Soil Analytics for High-Yield Farming
[NO] 1517/1877 | A Multi-Channel Image Encoding Method for Genomic Structural Variation Detection from Long-Read Sequencing Data
[YES] 1518/1877 | Research on an Integrated Verification System for Satellite Camera FPGA software
[NO] 1519/1877 | AI-Powered Climate Monitoring System for Real-Time Environmental Prediction and Analysis
[NO] 1520/1877 | Development of an Artificial Intelligence Training Platform for Overseas University Students aimed at collaborative control of multiple intelligent agents
[NO] 1521/1877 | An Indicator Selection Method Based on Robust Fractal Autoencoder
[NO] 1522/1877 | Harris Hawks Optimization–Based Deep Learning for Resource-Aware Cloud–Fog Computing
[NO] 1523/1877 | TOXIPRED: A Machine Learning Platform for Phototoxicity Prediction Across Multi-Assay QSAR Models
[NO] 1524/1877 | Elucidating Isoform-Specific Binding Mechanisms of Apolipoprotein E with LDL Receptor Through Molecular Docking
[NO] 1525/1877 | Bilateral Adaptive Grid-Forming Control of Islanded Photovoltaic Hydrogen Production System Based on DC Voltage Dynamics
[NO] 1526/1877 | Artificial Intelligence–Enabled Healthcare Ecosystems for Predictive, Preventive, and Personalized Medicine
[NO] 1527/1877 | Edge Computing-Driven Cross-Domain Small Target Detection and Tracking for Maritime and Aerial Scenarios
[NO] 1528/1877 | Data-Driven Magnetic Core Loss Prediction and Surrogate-Assisted Operating-Condition Recommendation for High-Frequency Magnetic Components
[NO] 1529/1877 | AI-Enhanced Fault-Aware Safety Filtering for Embedded Autonomous UAV Flight
[NO] 1530/1877 | Trust, Risk, and User Experience in Digital Investing: Evidence from Stockbit App Reviews
[NO] 1531/1877 | Spatio-Temporal Spiking Transformer for Epileptic Seizure Detection on EEG Signals
[NO] 1532/1877 | Thermo-Mechanical FEM Analysis of Early-Age Behavior in Mass Concrete: Effects of Cement Type and Autogenous Shrinkage
[NO] 1533/1877 | The Impact of Storage Location Assignment on Warehouse Efficiency Through Digital Twin-Based Simulation in an Electrical Product Manufacturing Company
[NO] 1534/1877 | Melanoma Skin Cancer Classification Using Transfer Learning with EfficientNet-B7: A Deep Learning Approach
[NO] 1535/1877 | Integrated Visual Evaluation of UAV Swarm Forest-Fire Monitoring for Route Efficiency and Fire-Area Mapping
[NO] 1536/1877 | Modeling Human-Centered Information Quality for Trust and Sustainability in Intelligent Mobility
[NO] 1537/1877 | Design and Implementation of a Hybrid Ontology-NLP Autonomous Web Agent for Intelligent Information Interaction
[NO] 1538/1877 | MRT-LBM Study on Ground Effect Aerodynamics and Wingtip Vortex Dynamics of a Flying Car
[NO] 1539/1877 | Accelerating Lanczos- and DCT-Based Realistic Sparse Matrix Generation Using CUDA and OpenMP
[NO] 1540/1877 | M-FxLMS Adaptive Control Method for Propeller Noise Based on Residual Modal-Error Updating
[NO] 1541/1877 | Multi-Scene Coupled and Collaborative Optimization Scheduling of Virtual Power Plants in Multiple Markets
[NO] 1542/1877 | Interference-resistant Design of the MR Headset Localization Module in Complex Cable Channel Environments
[NO] 1543/1877 | Edge AI-Based Lightweight Deep Learning Model for Disease Detection and Control in Chili Plants
[NO] 1544/1877 | Robustness Comparison of Classical and Deep Learning-Based Methods for q-Space Interpolation in Diffusion MRI
[NO] 1545/1877 | Adapting the Self-Distillation Transformer for Vietnamese Multimodal Emotion Recognition
[NO] 1546/1877 | Data, Discourse, and Power: Communication Dynamics in Governing Sustainable Urban Mobility Indonesia
[NO] 1547/1877 | A Hybrid Machine Learning System for Early Autism Prediction in Fragile X Syndrome
[NO] 1548/1877 | Quantum Machine Learning for Solar Power Generation Forecasting
[NO] 1549/1877 | Updatable Balanced Index for Fast on-Device Search with Auto-Selection Model
[NO] 1550/1877 | UzAgriNER: Domain-Specific Named Entity Recognition for Uzbek Agricultural Texts via mT5 and XLM-R Architectures
[NO] 1551/1877 | Scale-Normalized Multi-Scale Spectral–Geometric Invariants for Robust 3D Shape Analysis
[NO] 1552/1877 | A Compact Frequency-Scanning Coupled-Patch Antenna with High Scanning Rate for Integrated Sensing and Communication
[NO] 1553/1877 | e-Registrar: A Blockchain-Driven Framework for Secure and Rapid Academic Credential Verification
[NO] 1554/1877 | SNI-GNN: SmartNIC-Assisted Full-Graph GNN Training with In-Network Embedding Prediction
[NO] 1555/1877 | Turning Experience Into Digital Power Through Crystallized Intelligence and Job Performance of Generation X in SMEs
[NO] 1556/1877 | Solar Social Club, an Optimized Self-Consumption Approach for French Energy Market
[NO] 1557/1877 | Students Preference on Learning Modalities Using Artificial Intelligence-Natural Language Processing: The Case of Information Technology Program
[NO] 1558/1877 | End-to-End Ground-Up Vision Transformer for Skin Disease Detection
[NO] 1559/1877 | AI-Enabled What-If Prediction of Indoor Electromagnetic Load from Radiated RF Measurements
[NO] 1560/1877 | Intelligent Load Forecasting: Leveraging Machine Learning for Accurate Demand Estimation
[NO] 1561/1877 | Feasibility Study on Micro Friction Stir Spot Welding for Multilayer Aluminum Foils
[NO] 1562/1877 | Predicting AI-Integrated Performance from Perceived AI Literacy Among Senior High STEM Learners
[NO] 1563/1877 | Limit-of-Detection-Aware Probabilistic Regression for THz-TDS Gas Analysis
[NO] 1564/1877 | Controller Design for a Strength Test Bench with Assigned Error and Phase Margin
[NO] 1565/1877 | Saturation and Active Region Operation of SiC MOSFETs and Si-IGBTs: A State-of-the-Art Review and Future Directions
[YES] 1566/1877 | Integrating Security Assurance, Threat Detection, and Automated Certification Gates in Modern Software Delivery Systems
[NO] 1567/1877 | Application of Kaczmarz Algorithm to Sources Reconstruction Method for Antenna Diagnostics
[NO] 1568/1877 | Generating Synthetic Data for EV Charging Station Events
[NO] 1569/1877 | Table of Contents
[NO] 1570/1877 | Impact of Structural Parameters and Strain on the Dielectric Properties of Hybrid-Thread Textiles for Antenna Applications
[NO] 1571/1877 | Beyond Individual Prediction: A Population-Level Digital Twin for Lung Cancer Survivorship Capacity Planning
[NO] 1572/1877 | Navigating Ethical, Legal, and Security Challenges of IoT in the UAE: A Multi-Dimensional Analysis
[NO] 1573/1877 | Preliminary Modeling of LED-Based Irradiation in a Portable Disinfection Chamber
[NO] 1574/1877 | Research on Path Planning and Trajectory Tracking Control Methods for SCARA Robots in Obstacle Environments
[NO] 1575/1877 | Resource-Aware Scheduling of Graph Partitions for Distributed Graph Computing in Heterogeneous Clusters
[NO] 1576/1877 | Throughput and Latency Benchmarking of Backend Web Frameworks Under Resource-Constrained Environments
[NO] 1577/1877 | Recognition of Volleyball Setting Phases Based on Multiple Sensors
[NO] 1578/1877 | Mitigating LLM Policy-Induced Bias in Sexual Orientation Identification Using Cue-Augmented Fine-Tuning
[NO] 1579/1877 | A NER-Augmented Deep Learning Framework for Karakalpak Medical Text Classification
[NO] 1580/1877 | Robust Index Benefit Estimation via Hierarchical and Two-Dimensional Feature Representation
[NO] 1581/1877 | Towards a Realistic Approach for an Automatic Question Generation System
[NO] 1582/1877 | FaScalSQL: A Fast and Scalable GPU-Accelerated SQL Query Engine for Out-of-Memory Tables
[NO] 1583/1877 | Mathematical Modelling via Autonomous Blocks Method for Digital Twins of Microwave Devices
[NO] 1584/1877 | Development of Higher-Order Convolution PML (CPML) for the Conservative High-Order Modified FDTD (2,4) (CM24) Method
[NO] 1585/1877 | Transfer Learning of Joint Speech-Text Embeddings for Mispronunciation Detection and Diagnosis
[NO] 1586/1877 | Cascading Relevance-Driven Recommendation Network for CTR Prediction in Trigger-Introduced Recommendation
[NO] 1587/1877 | Experimental Verification of Power Loss Reduction in Processor Power Supplies Using Adaptive Efficiency Control with Online Power Estimation Parameter Optimization
[NO] 1588/1877 | Supervised Learning-Based Control Scheme for Security Applications in PMSG-Based Wind Energy Conversion System
[NO] 1589/1877 | What Drives Impulsive Buying in the Context of Online Gaming Platforms?
[NO] 1590/1877 | Strengthening YOLOv5 Backbone for Improved Feature Extraction
[NO] 1591/1877 | A CITIGOV-Based Assessment Tool for Service-Oriented Management
[NO] 1592/1877 | An AI-Based Climate Scenario Framework for Proxy Thermal Exposure Assessment in Urban Districts: A Synthetic-Benchmark Proof-of-Concept Study for St. Petersburg
[NO] 1593/1877 | HyperMolFusion: A Hypergraph-Enhanced Multi-Modal Fusion Framework for Accurate Molecular Property Prediction
[NO] 1594/1877 | Unveiling Semantically Cohesive Structures: Maximal Meta-Path Clique Enumeration in Heterogeneous Graphs
[NO] 1595/1877 | From 2D Flat Maps to 4D Living Models: A review of UAV remote sensing in agriculture
[NO] 1596/1877 | Research on FDTD Subgrid Techniques Based on Tree Data Structures
[NO] 1597/1877 | Exploring Social Digital Platform for Micro- Entrepreneurship Empowerment: System Architecture and PLS-SEM Approach
[NO] 1598/1877 | A Comprehensive Evaluation of the Phi Family of Small Language Models in Healthcare
[NO] 1599/1877 | Target Geometric Parameter Recognition Based on Coupled Microstrip Dipole Antennas
[NO] 1600/1877 | Assistive Functions in Robot-Assisted Vitreoretinal Surgery: A User Study from Phantom to In Vivo_supp1-3722339.mp4
[NO] 1601/1877 | FlashEKGR: Fast Embedding-Based Knowledge Graph Reasoning Models Training
[NO] 1602/1877 | Inserting Punctuation in Uzbek Texts Via POS Tagging
[NO] 1603/1877 | Multimodal Slice Interaction Network Enhanced by Transfer Learning for Precise Segmentation of Internal Gross Tumor Volume in Lung Cancer PET/CT Imaging
[NO] 1604/1877 | Improving Survival Prediction of Head and Neck Cancer Patients by Modeling Long-term Symptom Burden
