[2026-06-16 23:23:55] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-15
正在获取论文...
[arXiv] 2026-06-15 | NeuronFabric: A Software Reference Architecture for On-Chip Transformer Training with Local Adam
[NO] 914/1985 | Optimal Multiscale Learning of Linear Operators
[NO] 915/1985 | Fixed-quadrupole static tidal response of Schwarzschild black holes in a cubic Weyl effective field theory
[NO] 916/1985 | LESS Is More: Mutual-Stability Sampling for Diffusion Language Models
[NO] 917/1985 | Analytic results for slow-roll curved-space inflation and exponential potentials
[NO] 918/1985 | LOPAL: Local Performance-Aware Active Learning from Imperfect Demonstrations
[NO] 919/1985 | SGM-SLAM: Scene Graph Matching for Data-Efficient Distributed SLAM
[NO] 920/1985 | ExoTraj: A General Lower-limb Exoskeleton Assistance Policy for Complex Environments
[NO] 921/1985 | Morphology-resolved scrambling in a chaotic quantum billiard
[NO] 922/1985 | Tidal Rock Grinding as a Source of H2 on Enceladus
[NO] 923/1985 | Video-Based Optimal Transport for Feedback-Efficient Offline Preference-Based Reinforcement Learning
[NO] 924/1985 | Robust Dual-Signal Fusion: Hybrid Neuro-Symbolic Gating with Compressed Chain-of-Thought Refinement for Irony Detection in Social Media Texts
[NO] 925/1985 | The cosmic tetrarchy: four estimators breaking the assumption degeneracy in cosmological distance tensions
[NO] 926/1985 | Data-Driven Decoding of Russell's Circumplex Model of Affect
[NO] 927/1985 | Does Traversal Order Matter? A Systematic Study of Tree Traversal Methods in Transformer Grammars
[NO] 928/1985 | Tying the Loop -- Tied Expert Layers in Mixture-of-Experts Language Models
[NO] 929/1985 | From Morphology to Variability: Radiative Cooling Effects on Horizon-Scale Polarization in Two-Temperature GRMHD Simulations
[NO] 930/1985 | GIST-CMTF: Goal-State Inference for Causal Minimal Tool Filtering in LLM Agents
[NO] 931/1985 | Connecting Speech to Words through Images
[NO] 932/1985 | Some Remarks About Saturation of Ideals
[NO] 933/1985 | The maximum number of cycles of a given length in a nonhamiltonian graph
[NO] 934/1985 | AI+CAD Data Representation Architecture: From AI+CAD Solid Modeling to AI+CAD Industrial-Grade Parametric Feature Modeling
[NO] 935/1985 | WaveDINO: Learning-Based Atmospheric Correction of Unwrapped InSAR Interferograms Validated by GNSS: Results at Laguna del Maule and Campi Flegrei Volcanoes
[NO] 936/1985 | DataLadder: A Simulation-Enabled Interconversion Toolchain for the Embodied Data Pyramid
[NO] 937/1985 | OpenClaw-Skill: Collective Skill Tree Search for Agentic Large Language Models
[NO] 938/1985 | Restriction estimates for surfaces with negative curvature in $\mathbb R^3$
[NO] 939/1985 | A Validated LBM Dataset and Pipeline for Surrogate Modeling of Turbulent 3D Obstructed Channel Flows
[NO] 940/1985 | Automated jailbreak attack targeting multiple defense strategies
[NO] 941/1985 | Structure-aware Knowledge-guided Heterogeneous Mamba for Zygomaticomaxillary Suture Assessment
[NO] 942/1985 | MyPCBench: A Benchmark for Personally Intelligent Computer-Use Agents
[NO] 943/1985 | Set Shaping Theory Applied to Universal Coding
[NO] 944/1985 | Scalable generation of heralded single photons via active feed-forward switching of a fiber delay line
[NO] 945/1985 | Robust and Automated Reconfiguration of Byzantine Wide-Area Replication
[NO] 946/1985 | A counterexample to the near-quadratic Elekes--Rónyai expander conjecture over $\mathbb R$
[NO] 947/1985 | The Algebra of Units: From Buckingham's Pi-grec Theorem to Latent-Variable Learning
[NO] 948/1985 | A First-Principles Derivation of LLM Policy Optimization: From Expected Reward to GRPO and Its Structural Extensions
[NO] 949/1985 | On the pertubations of E-depth, Ef-depth and sequentially Cohen-Macaulay locus
[NO] 950/1985 | Too Few or Too Many? Sample Size Estimation for Differential Abundance Studies
[NO] 951/1985 | Organizational Cohesion in Microservice Architectures: A Multi-Project Empirical Study
[NO] 952/1985 | Uniform stability of higher-order inverse spectral problems
[NO] 953/1985 | On the Representation Theory of Non-Admissible $W$-Algebras: Part I
[NO] 954/1985 | Determinant majorization for hyperbolic polynomials on Euclidean Jordan algebras
[NO] 955/1985 | Context-Aware RL for Agentic and Multimodal LLMs
[NO] 956/1985 | Nitsche-based FEM for the Laplace eigenvalue problem: spectral approximation and a posteriori error analysis
[NO] 957/1985 | A constant-factor approximation of the Gromov-Hausdorff distance in the plane
[NO] 958/1985 | The Importance of Phase in Neural Representations: An Internal Oppenheim-Lim Test of Image Classifiers
[NO] 959/1985 | Sharpe Ratio and Return-VaR Ratio Maximization for Option Portfolios with Skew-Elliptical $t$ Underlying Returns
[NO] 960/1985 | HAMON: Passive Optical Sequence Mixing for Long-Horizon Forecasting
[NO] 961/1985 | Filtered Conformal Ellipsoids for Graph-Native Time Series
[NO] 962/1985 | Data-Driven Personalization of Automated Insulin Delivery
[NO] 963/1985 | The stability index and Yau's conjecture for Carlotto-Schulz minimal hypertori, part II
[NO] 964/1985 | Task-Error Residual Learning for Real-Robot Five-Ball Juggling
[NO] 965/1985 | When Should a Robot Replan? Regret-Guided Update Scheduling in Time-Varying MDPs
[NO] 966/1985 | How Many Shots Are Enough for a Quantum Circuit?
[NO] 967/1985 | SurroundNEXO: Ego-Centric Metric Bridging for Spatially Consistent Geometry in Autonomous Driving
[NO] 968/1985 | Fair Division by Contribution: A Shapley Value Perspective
[NO] 969/1985 | Spectral dimension determines criticality in nonreciprocal phase oscillators
[NO] 970/1985 | DataGuard: Guaranteeing Private Training in Systolic-array Based Accelerators
[NO] 971/1985 | Homomorphisms to Hook Specht Modules over Quiver Hecke Algebras of Type C
[NO] 972/1985 | Latent space mapping of interpretable structural coordinates from stochastic single-molecule signals
[NO] 973/1985 | How Much Can We Trust LLM Search Agents? Measuring Endorsement Vulnerability to Web Content Manipulation
[NO] 974/1985 | MVM-IOD: An Industrial Object-Centric Benchmark Dataset for the Evaluation of 3D Reconstruction Methods
[NO] 975/1985 | Dual-Granularity Orthogonal Disentanglement for Generalizable Audio Deepfake Detection
[NO] 976/1985 | The Rapid ASKAP Continuum Survey (RACS) VIII: total intensity and circular polarization images and catalogues at 887.5 MHz from RACS-low2
[NO] 977/1985 | Satellites and telescopes: a concordance Formula for bordered Floer homology
[NO] 978/1985 | BRDFusion: Physics Meets Generation for Urban Scene Inverse Rendering
[NO] 979/1985 | Topological entropy in continuous orbit equivalence of one-sided topological Markov shifts
[NO] 980/1985 | Bayesian joint modelling using semiparametric accelerated failure time approaches
[NO] 981/1985 | Non-linear stability of the matter dominated universe
[NO] 982/1985 | The Integrator Advantage: Controlled Agentic AI for Small and Medium-Sized Companies
[NO] 983/1985 | The difference of the sums of odd and even parts of restricted partitions
[NO] 984/1985 | Real-space spectral functions of three-dimensional billion-size topological non-Hermitian matter with tensor networks
[NO] 985/1985 | Carleman estimates for backward Cahn-Hilliard-reaction-diffusion problems
[NO] 986/1985 | Robustness Limits of Claim-Only Fact Verification: A Controlled Comparison of Classical, Neural, and Transformer Models
[NO] 987/1985 | PDC Place: A Collective Envisioning of the Next Chapter of Community-Based Research in Central Kentucky. We Are the Change We Have Been Waiting for in Kentucky
[NO] 988/1985 | Agent-as-an-Asset: A Virtual Marketplace on Blockchain for Distributed Agentic Workflows
[NO] 989/1985 | A Pruning-based Question-Answering for Interactive Video Search: A Simple Baseline
[NO] 990/1985 | CurvedTouch: Effects of Surface Curvature and Cursor Mapping Method for XR Touch Input on Curved Surface
[NO] 991/1985 | CB-CV: A Cluster-Based Cross-Validation Benchmark for Multimodal Video Out-of-Distribution Detection
[NO] 992/1985 | LTA-Gait: In-Network Temporal Activation of Large Vision Models for Gait Recognition
[NO] 993/1985 | RFHNet: Relational and Frequency-Aware Hashing Network for Large-Scale Fine-Grained Food Image Retrieval
[NO] 994/1985 | TG-MUNet: A Lightweight Text-Guided Mamba Unet for Semi-Supervised Medical Image Segmentation
[NO] 995/1985 | CCRA: A Cross-modal Complementary Representation Alignment Framework for Bridging the Modality Gap
[NO] 996/1985 | Multi-Scale Perception and Channel-Gated Fusion Network for Aerial Image Detection
[NO] 997/1985 | HSAMoE: Hemiparetic-Side-Aware Mixture of Experts for EEG-Based Motor Imagery Classification in Stroke Patients
[NO] 998/1985 | Relational Retrieval: Leveraging Known-Novel Interactions for Generalized Category Discovery
[NO] 999/1985 | NeRAG: Neuro-Explicit Retrieval-Augmented Generation for Real-Time Interaction in Digital Humans
[NO] 1000/1985 | Beyond Optical Flow: Latent Micro-Motion as Visual Evidence in UAV Video
[NO] 1001/1985 | Benchmarking MLLM-based Web Understanding: Reasoning, Robustness and Safety
[NO] 1002/1985 | IVEC 2026 TOC
[NO] 1003/1985 | Rotation of uniaxial magnetic anisotropy induced by interface roughness in polycrystalline Co/Ru/Co multilayers
[NO] 1004/1985 | Compress Magnetic Sensing for ITSC Fault Diagnosis of Induction Motor by Reinforcement Learning and Reduced Order Modeling
[NO] 1005/1985 | Efficient UV-A MSM Photodetector with High Performance Based on a ZnS Nanowire
[NO] 1006/1985 | Tractable Approximation of Labeled Multi-Object Posterior Densities_supp1-3702946.pdf
[NO] 1007/1985 | Photonics-based Broadband MIMO Radar with Segmented Digital Beamforming Enabling Beam Squint-Free Fast Imaging
[NO] 1008/1985 | Wearable Sensor-Based Knee Joint Angle Estimation: Modalities, Modeling, and Applications
[NO] 1009/1985 | Event-Triggered Control for Safety-Critical Buck DC–DC Converters Using Robust Barrier Lyapunov Functions
[NO] 1010/1985 | Evaluation of Feature Selection Techniques for LSTM- and GRU-Based Lower Limb Joint Angle Prediction Using Multimodal Biomechanical Data
[NO] 1011/1985 | SleepXNet: DeepSeek-Guided Hybrid Transformer Model for Clinically Interpretable EEG-Based Sleep Stage Classification_supp1-3692556.pdf
[NO] 1012/1985 | Enjoying What You are Reading?
[NO] 1013/1985 | Octopus-Inspired Embodied Tactile Intelligence: A Universally Calibrated Miniature Vision-Based Suction Cup_supp7-3694100.mp4
[NO] 1014/1985 | Octopus-Inspired Embodied Tactile Intelligence: A Universally Calibrated Miniature Vision-Based Suction Cup_supp8-3694100.mp4
[NO] 1015/1985 | Adaptive DBSCAN-Enhanced Oversampling for Imbalanced Network Intrusion Detection: A Boundary-Aware Approach
[NO] 1016/1985 | ML-Enabled Dynamic Duplexing for Diverse Traffic Scenarios: A Deep Reinforcement Learning Approach
[NO] 1017/1985 | Fully-Actuated Inverse Reinforcement Learning Control for Satellite Formation
[NO] 1018/1985 | Path Following of Quadrotor UAVs Based on High-Order Fully Actuated System Approach
[NO] 1019/1985 | VKS-8250A Klystron Upgrade for TRADEX for Improved Power Output, Bandwidth, and Reliability
[NO] 1020/1985 | Fault-Tolerant Control of Nonlinear Robotic Manipulators Based on Fully Actuated System Approach
[NO] 1021/1985 | Output Feedback Control of Discrete-Time Nonlinear High-Order Fully-Actuated Systems with Input and Output Delays
[NO] 1022/1985 | 2026 Permanent Magnet Supply Chain Update From Permag
[NO] 1023/1985 | Development of High-Power Ku Band Transmitter for Mobile Troposcatter System
[NO] 1024/1985 | Dielectric-Loaded Miniaturized EBG Structure with Enhanced High-Voltage Endurance
[NO] 1025/1985 | Trajectory Tracking of Glide-Phase Hypersonic Vehicles Via Nonsingular Fast Terminal Sliding Mode Control with HSMO-DO Under Multi-Source Disturbances
[NO] 1026/1985 | Distributed Adaptive Containment Control of High-Order Fully Actuated Multiagent Systems with Actuator Attacks
[NO] 1027/1985 | Using TFE-Based MGAWE Method for Traveling-Wave Tube With input/output Structure
[NO] 1028/1985 | Asymptotic Full Actuation Control for Rail-Less Electric Bus Trains
[NO] 1029/1985 | Trajectory Tracking of Robotic Manipulators Via a Fully-Actuated System Combined with Control Barrier Functions Strategy
[NO] 1030/1985 | ACL-SSA Optimized Particle Filtering for UWB/LiDAR Fusion-Based Indoor Localization Under NLOS Conditions
[YES] 1031/1985 | Threat Detection in Ethereum Smart Contracts Using a Hierarchical Depthwise Graph Convolutional Neural Network
[NO] 1032/1985 | Vector Envelope Spectrum Estimator: A Source Double-Channel Feature Extraction Method for Planetary Gearbox Fault Detection
[NO] 1033/1985 | Deep Reinforcement Learning for Adaptive Power Allocation in ISAC Systems With Mobile Target
[NO] 1034/1985 | Non Iterative Fault Location Approach for Transmission Lines with Parameter Estimation
[NO] 1035/1985 | Meteorology-Driven Self-Correcting LLM Priors for Smart Grid Outage Prediction and Bayesian Fault-Chain Risk Analysis
[NO] 1036/1985 | XOV-Action: Towards Generalizable Open-Vocabulary Action Recognition
[NO] 1037/1985 | Physics-Informed Prognostic Assessment of Transformer Oil Aging via Ultrasonic Sensing and an Integro-Difference Framework
[NO] 1038/1985 | Fission: A Unified FHE Accelerator Supporting Variable Bit-Widths
[NO] 1039/1985 | Modeling, Identifying, and Ultra-High‑Precision Trimming of Mass Imperfection in Hemispherical Resonator
[NO] 1040/1985 | A Wideband and High Gain Stacked Dielectric Resonator Antenna With Cavity Backing Based on SISL for Millimeter-Wave Applications
[NO] 1041/1985 | Federated Analytics Assisted Semantic Alignment for Secure and Privacy-preserving Image Classification
[NO] 1042/1985 | A Real-Time and Energy-Efficient 3D Gaussian Splatting-based Geometric and Semantic Mapping Processor with 2-level Redundancy Handling for Embodied Agents
[NO] 1043/1985 | OA-SSM Net: Organ-Aware State Space Modeling for Abdominal Multi-Organ Segmentation
[NO] 1044/1985 | Semantic Anchor-Based Localization and Failure Recovery for Indoor Mobile Robots
[NO] 1045/1985 | Characterization of Delamination Fatigue Damage of SiC
                    <sub>f</sub>
                    /SiC Composites Based on Cyclic Cohesion Model
[NO] 1046/1985 | Hybrid Semantic–Bit Networks for Asymmetric Industrial WNCSs: Resource Optimization with Peak Age of Semantic-Enabled Loop
[NO] 1047/1985 | DL-DETR: Drone-based Lightweight Detection Models
[NO] 1048/1985 | Massive Digital AirComp with Vector Quantization and Bidirectional Links for FEEL
[NO] 1049/1985 | Attention and Curiosity Based Reinforcement Learning Approach for Drone Collision Avoidance
[NO] 1050/1985 | Incorporating Measurement Uncertainty into Uncertainty-Aware GANs: A Metrology-Driven Approach
[NO] 1051/1985 | RewardHackingAgents: Benchmarking Evaluation Integrity for LLM ML-Engineering Agents
[NO] 1052/1985 | Exploring Capabilities of Vision Language Models to Perform Explainable Face Image Quality Assessments
[NO] 1053/1985 | Low-Code/No-Code Automation Framework for Library Prep Automation in Next Generation Sequencing (NGS) for Methylation Workflows
[NO] 1054/1985 | Table of Contents
[NO] 1055/1985 | 5GC-Bench: A Framework for Stress-Testing and Benchmarking 5G Core VNFs
[NO] 1056/1985 | Multi-Target Imaging with OFDM Transmission for Low-Altitude Wireless Networks
[NO] 1057/1985 | Signal Augmentation and Pseudo-Labeling for Semi-Supervised Automatic Modulation Classification
[NO] 1058/1985 | Advancing Smart City Transformation: Using Connected and Intelligent Vehicular Systems as Resources
[NO] 1059/1985 | A Spatial-Temporal Topological Decoupling Method in Battery-Free Sensor Networks
[NO] 1060/1985 | On the Performance of Cognitive RSMA-Enabled Large-Scale MEC Networks
[NO] 1061/1985 | Rotor Micro-Doppler Extraction in Protocol-Driven TDD ISAC With Periodic Sparse Sampling
[NO] 1062/1985 | Novel Relationship Between Breakdown Voltage and Specific On-Resistance of Accumulation-Mode VDMOS
[NO] 1063/1985 | Satellite NOMA for Direct-to-Cell Communications: Fundamentals, Protocols, and Opportunities
[NO] 1064/1985 | Integrated by Design: A Hybrid Robotic Palm Fusing a Functionally-Dense Compliant Matrix with an Actuated Skeleton
[NO] 1065/1985 | Dynamic Analysis and Compensation Strategy for Power Generation Optimizing in PM-A Reluctance Starter/Generator in MEA
[NO] 1066/1985 | A Metaloop Rectenna with Integrated Solar Cell for Compact RF-Solar Hybrid Energy Harvesting
[NO] 1067/1985 | ViChan: A Dataset Generation Framework for Vision-aided Channel Estimation with Deep Learning
[NO] 1068/1985 | An HESS-Based Grid-Forming Equipment for Voltage Sag Ride-Through in Distribution Networks
[NO] 1069/1985 | Impact of Metallization on Quality Factor of Fused-silIca Shell Resonators
[NO] 1070/1985 | Research on the Improvement of Image Defect Detection Method Based on DINO
[NO] 1071/1985 | AI Based Textual Analysis Framework: Unlocking Patterns in Literary Works
[NO] 1072/1985 | Primary – Secondary Coordinated Active Power Support Strategy for Grid-Following/Grid-Forming Hybrid Renewable Power Plants
[NO] 1073/1985 | A Study on Synchronization of Multi-Modal Services Over 5G: From Application Layer to RAN
[NO] 1074/1985 | Time Series Prediction of Wind and Solar Power in Power Generation Stations Based on the KNN-BiLSTM Model
[NO] 1075/1985 | VLM-TAU: Traffic Accidents Understanding with Vision-Language Models
[NO] 1076/1985 | RLCVP: Collaborative Vehicular Perception Against Data Fabrication Attacks
[NO] 1077/1985 | A Graph Deep Learning Approach for Ethereum Phishing Scam Detection
[NO] 1078/1985 | Reconfigurable Bandstop Surface for Beyond 5G/6G Applications
[NO] 1079/1985 | Insulator Defect Detection Algorithm Based on Optimized Yolov8-Attention Mechanism
[NO] 1080/1985 | When Security Aligns: Security Concord as a Determinant of Senior Mhealth Adoption
[YES] 1081/1985 | Estimation of Jitter Using Knowledge-Based Bidirectional Mamba Architecture for XDR Systems
[NO] 1082/1985 | LLM-NER Driven Parametric Completion for Aircraft Assembly Order Document
[NO] 1083/1985 | Modeling and Parameter Estimation of Air-to-Ground Channels Using a Mixture of Skew Normal Distributions
[NO] 1084/1985 | Detection of Tobacco Stem Conditioning Atomization State Based on Swin Transformer
[NO] 1085/1985 | Reserve Capacity Optimization Method for New-Type Power Systems Considering Reliability
[NO] 1086/1985 | Kernel robust manifold nonnegative matrix factorization with local similarity learning
[NO] 1087/1985 | Research on SMA Compaction Degree Monitoring Method Based on BP Neural Network
[NO] 1088/1985 | Hybrid Lyapunov-Based Scheduling for Heterogeneous Traffic in 5G Industrial Environments
[NO] 1089/1985 | Few-Shot Augmentation of Wind and Solar Power Data under Cold Wave Weather Condition
[NO] 1090/1985 | Semantically Guided Temporal Action Segmentation for Industrial Assembly Operations
[NO] 1091/1985 | A PSO-SVM Operating Condition Identification Method for Natural Gas Pipelines Oriented to Energy and Carbon Perception
[NO] 1092/1985 | End-to-End Compressed Learning Using a Dual Attention Residual Network at Low Sampling Rates
[NO] 1093/1985 | Synchronization-Aware Cooperative MIMO for Kappa-Mu Faded Underwater Channels Using Hybrid Acoustic and Magnetic Induction
[NO] 1094/1985 | Artificial Intelligence in E-Learning: Shaping Personalized Education through Adaptive Systems
[NO] 1095/1985 | DRL-Based Multi-AUVs Cooperative Path Planning Under Acoustic Field Constraint
[NO] 1096/1985 | Spatial Phase Compensation Based on 3D Spherical Wavefront Equivalence and Its Application Expansion in Spatial Curved Surfaces
[NO] 1097/1985 | PurifyFD: Mining Latent Domains for Trustworthy Single-Domain Fault Diagnosis Under Open-World Shifts_supp1-3696400.pdf
[NO] 1098/1985 | Spectrum Aware Illumination Estimation Using Multispectral Image_supp2-3701975.pdf
[NO] 1099/1985 | A Multimodal Model for Fault Diagnosis in Induction Motors Using Thermal Images and Large Language Models
[NO] 1100/1985 | ProtoGEN: A Prototype-Guided Emotion Network for Multimodal Speech Emotion Recognition
[NO] 1101/1985 | Physics-Informed Optimal Placement of Receivers for Indoor Localization via IQ Snapshots
[NO] 1102/1985 | Continuous Super-Resolution of Copernicus Atmosphere Images Using a Graph-Based Diffusion Model
[NO] 1103/1985 | W-Diffusion: A Probabilistic Generative Framework for Traffic Forecasting via Shallow Diffusion Mechanism
[NO] 1104/1985 | One to Rule Them All: Reinforcement Learning Policy Selection with Closed-Loop Sensitivity_supp1-3703237.mp4
[NO] 1105/1985 | Hierarchical Progressive Transform with Learnable Prior for Hyperspectral Image Super-Resolution
[NO] 1106/1985 | Detection of Submerged Heritage: Application of an Unmanned Surface Vehicle Equipped with a High-Resolution Multibeam Echosounder
[NO] 1107/1985 | Benefiting From OOD Samples in Open-Set Semi-Supervised Object Detection
[NO] 1108/1985 | Table of Contents
[NO] 1109/1985 | Cumulative Damage Simulation and Self-learning Response Surface-Based Non-intrusive Online Monitoring of Random Wear Degradation for Shaft Products
[NO] 1110/1985 | Visiting De Pastorie
[NO] 1111/1985 | Safe Space beyond Body: A Situated Action of Co-Creative Choreography through Drawing
[NO] 1112/1985 | Virtue-Based Thai Folktale Recommendation with Ensemble LLMs
[NO] 1113/1985 | A comparison of local LLMs in paragraph decomposition context
[NO] 1114/1985 | Digital Transformation Maturity Model for Higher Education Institutions: A Qualitative Analysis of Assessment Frameworks
[NO] 1115/1985 | PIGDAssess: Wearable Dual-Task Sensing for Self-Administered PIGD Assessment in Parkinson's Disease
[NO] 1116/1985 | RF-HeartSSL: Self-Supervised Learning for RF-Based Cardiac Sensing
[NO] 1117/1985 | VAR-3D: View-aware Auto-Regressive Model for Text-to-3D Generation via a 3D Tokenizer
[NO] 1118/1985 | MultiSoundGen: Video-to-Audio Generation for Multi-Event Scenarios via SlowFast Contrastive Audio-Visual Pretraining and Direct Preference Optimization
[NO] 1119/1985 | Real-Time Retrieval-Free Camera Pose Estimation via Sparse Cross-Modal 2D–3D Matching with Projection-Guided Refinement
[NO] 1120/1985 | LDCS-Net: Local Dual-Context Attention Network for 3D Semantic Segmentation
[NO] 1121/1985 | GMAE: Gated Multi-signal Adaptive Ensemble for Targeted Transfer Attacks on Commercial Large Vision-Language Models
[NO] 1122/1985 | Sparse Implicit Connectivity Graphs with Scheduled Emotion History Sampling for Multimodal Emotion Recognition in Conversation
[NO] 1123/1985 | Engineering Students’ Critical Engagement With ChatGPT: Effects of Output Accuracy on Answers and Confidence in a Real-World Probability Context
[NO] 1124/1985 | TrackNetV6: A Unified Framework for Lightweight and Robust Fast-Moving Tiny Ball Tracking
[NO] 1125/1985 | Molecular Dynamics Simulations for Benchmarking Electron Emission Theories in Nonplanar Nanoscale Devices
[NO] 1126/1985 | A Multimodal Brain Tumor Segmentation Method Based on Multiscale Feature Enhancement and Saliency Modeling
[NO] 1127/1985 | Sliding Mode Fault-Tolerant Control for Nonlinear Fully Actuated Systems with Mismatched Disturbances
[NO] 1128/1985 | Imitation Learning for Continuous Layered Ditch Excavation Trajectory Planning Based on DMP
[NO] 1129/1985 | DuCCA: Dual-domain Cross-coupled Coordinate Attention for Reliable Visible Cues in RGB–IR Fusion Detection
[NO] 1130/1985 | Design and Research of an Intelligent Package Station Entry Robot System Based on Jetson Orin Nano
[NO] 1131/1985 | MNCS Lab: A Mobile-Enabled Remote Laboratory Platform with Easy Integration of Control Experiment Units
[NO] 1132/1985 | Further Results on the Fully Actuated System Approach to Tracking Control of Cart-Pole Pendulum System
[NO] 1133/1985 | Disturbance Interval Observer-Based Flight Control for Unmanned Helicopter Using Fully Actuated System Approach
[NO] 1134/1985 | Finite-iteration Tracking for Discrete-time Linear High-order Fully Actuated Systems
[NO] 1135/1985 | Structure-Preserving Virtual-Input ZVD Shaping for Fully Actuated Flexible Spacecraft Attitude Control
[NO] 1136/1985 | GPU-Native Multi-Area State Estimation via SIMD Abstraction and Boundary Condensation
[NO] 1137/1985 | Improving Datacenter IT Capacity, Cooling Efficiency and Lifetime with Underground Thermal Energy Storage Systems
[NO] 1138/1985 | CarbonX: An Open-Source Tool for Computational Decarbonization Using Time Series Foundation Models
[NO] 1139/1985 | Efficient Design Optimization of a Helix TWT Using Adjoint Equations
[NO] 1140/1985 | New Theory of Emission for Scandate Cathodes
[NO] 1141/1985 | A C-Band Parallel Coupled High Gradient Accelerating Structure
[NO] 1142/1985 | Takeover Response Time Prediction Model Based on Observable Behavior
[NO] 1143/1985 | Optimal Grid-Tied Charging Station Configuration Considering Representative Traffic Flow
[NO] 1144/1985 | Vacuum-Channel Silicon Edge Emitter for Light-Assisted Electron Emission
[NO] 1145/1985 | PACOX: A FPGA-based Pauli Composer Accelerator for Pauli String Computation
[NO] 1146/1985 | COOL-Splat: A HW/SW Co-optimized Online 3D Gaussian Splatting Modeling Accelerator for Energy-Efficient 3D Modeling on Mobile Devices
[NO] 1147/1985 | Short-term Scheduling Model for Cascade Hydro-PV Complementary Systems Considering Power Output Stability
[NO] 1148/1985 | Patterning Trenches with Vertical Sidewalls
[NO] 1149/1985 | Atomic Diffusion Bonding of Wafers Using W Films in Relation to Initial Film Growth
[NO] 1150/1985 | A Comprehensive Review of Thermal Management Systems for Electric Vehicle Batteries
[NO] 1151/1985 | Design of near-ML Performance PAC Codes with Moderate SCL Decoding Complexity
[NO] 1152/1985 | Study on Method of Data Induction for Aero Engine Vibration Test Flight
[NO] 1153/1985 | Dual-arm Collaborative Compliance Manipulation Technology for Space Robots and Ground Testing
[NO] 1154/1985 | Exponential Stability via Hybrid Switching Strategy for Impulsive Switched T-S Fuzzy Systems With Delays
[NO] 1155/1985 | A Deterministic Bridging Multi-hop Question Answering Synthesis Method for Vertical Domains
[NO] 1156/1985 | Blank Page
[NO] 1157/1985 | Time Domain and Reflectivity Properties of Gas Discharge Tubes in Microwave Pulse Compression Cavities
[NO] 1158/1985 | Heterogeneous Ensemble Learning-Based Soft Sensor Modeling Method for Silicon Content Prediction in Blast Furnace
[NO] 1159/1985 | Successive Cancellation Decoding For General Monotone Chain Polar Codes
[NO] 1160/1985 | Uniair: A Unified AI Framework for Multi-Task Joint Optimization Over the Air Interface
[NO] 1161/1985 | Suppression Effect of Electron Beam on Partial Discharge in Vacuum
[NO] 1162/1985 | A Novel Voltage-Divider-Based Defect Test Architecture for Post-bond Through Silicon Vias
[NO] 1163/1985 | A General Approach to Visualizing Uncertainty in Statistical Graphics
[NO] 1164/1985 | New Guideline of Variational Mode Decomposition for Compound Rotating Machinery Fault Diagnosis
[NO] 1165/1985 | Characterisation of an Open-Ended Capacitive Sensing System
[NO] 1166/1985 | Quantitative Evaluation of Thermal Camera Thermal Sensitivity and Spatial Resolution on Internal Defect Detection in CFRP Using Laser Thermography
[NO] 1167/1985 | Unified Fault Tolerant Control of Bearingless Multi-Three Phase Permanent Magnet Synchronous Machines
[NO] 1168/1985 | Look-Up Table Optimization for Kolmogorov-Arnold Networks on Microcontrollers
[NO] 1169/1985 | Robust Multiping Forward-Looking Sonar Coherent Detection
[NO] 1170/1985 | A C-band phase-controlled feedback laser approaching 60-GHz bandwidth and tailorable low-noise/flat-response characteristics
[NO] 1171/1985 | Implementation of Digital Twin for Optical Mesh Networks: Field Demonstration and Case Studies
[NO] 1172/1985 | Dynamic Sparse Attention and Frequency-Spatial Complementary Network for SAR Ship Detection
[NO] 1173/1985 | LSMNet: A Lightweight Local-State Modeling Network for Tiny Object Detection in Aerial Images
[NO] 1174/1985 | Discrete Trajectory Tracking Control of Planar Cable-Actuated Platform via Recurrent Neural Network With Disturbance Rejection
[NO] 1175/1985 | Abnormal Sound Detection for Microfans Based on Persistence-Guided Interpolation Resampling
[NO] 1176/1985 | From CSI to BFI: Calibration for Wi-Fi Sensing
[NO] 1177/1985 | A2RAG: Adaptive Agentic Graph Retrieval for Cost-Aware and Reliable Reasoning
[NO] 1178/1985 | Using Machine Learning Techniques and Pose Estimation for Elderly Fall Detection
[NO] 1179/1985 | A Novel Ray-Tracing Channel Model with Full-Wave Simulations for THz Communication Systems
[NO] 1180/1985 | Acoustic Emission-based Lift-Off Detection in Gas Foil Bearings using Contact Voltage Labels
[NO] 1181/1985 | Packaging and Integration of a Dual-Polarized MIMO Antenna with Pattern Diversity for Dual-Camera Wireless Capsule Endoscopy
[NO] 1182/1985 | Dynamic Training Strategies for Domain Generalization in Self-Supervised Anomaly Sound Detection
[NO] 1183/1985 | Sliding Mode Robust Control of a Novel Tendon-Sheath Driven Knee Exoskeleton Based on Feedforward Compensation
[NO] 1184/1985 | Weighted Bipartite Graph-Based Topology Derivation Method of Single-Stage Multiport Inverters
[NO] 1185/1985 | Cognitive Spectrum Sharing in Space-Air-Ground Integrated Networks: Optimizing Beamforming and AAV Trajectories with Two-Layer RSMA
[NO] 1186/1985 | Online Temperature Estimation of Three-Phase SCIM Using Low-Order LPTN Model
