[2026-02-28 09:14:59] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-27
正在获取论文...
[IEEE] 2026-2-27 | Prediction of the Breast Cancer in Histopathology Images using JAYA-Optimized Deep Network
[NO] 583/1000 | Performance Analysis of Cross-Medium Link for Air-Sea CV-QKD Based on Monte Carlo Simulation
[NO] 584/1000 | Neural Factorization-based Bearing Fault Diagnosis
[NO] 585/1000 | Blockchain-Enabled, Machine Learning-Driven Validation of BIM Models in Secure Project Information Management
[NO] 586/1000 | Blockchain-Driven Traceability and Quality-Assured Procurement for Sustainable Fishery Supply Chains
[NO] 587/1000 | Novel Bandpass Filter Employing Hybrid Circular and Cambered SIW Resonators
[NO] 588/1000 | Dual-Method Stability Improvement for Voltage-Controlled DC-DC Converters Interfaced with Constant Power Loads in DC Microgrids
[NO] 589/1000 | Switched Resonant Branch Self-Balancing DC Transformer with Backflow Power Optimization
[NO] 590/1000 | Learning Dynamic Non-Prehensile Object Reorientation via Reinforcement Learning
[NO] 591/1000 | Controller Design for Enhancing Transient Overcurrent Capability in Grid Following Converters via Switching Frequency Adjustment
[NO] 592/1000 | Sharpness-aware Second-order Latent Factor Model for High-dimensional and Incomplete Data
[NO] 593/1000 | An Upper-Limb Endpoint Stiffness Estimation Method for High-Load Tasks
[NO] 594/1000 | 2025 1st International Conference on Emerging Trends in Information Systems and Informatics (ICETISI)
[NO] 595/1000 | Safe Fairness Guarantees Without Demographics in Classification: Spectral Uncertainty Set Perspective_supp1-3664937.pdf
[NO] 596/1000 | IEEE Standard for Intelligent Electronic Devices Cybersecurity Capabilities--Corrigendum 1
[NO] 597/1000 | Toward Following Changes in a Human’s Posture: Stroking Motion Generation Using a Mobile Manipulator and an RGB-D Camera
[NO] 598/1000 | Hydraulic and Electrical Design for Lightweight Modular Mountain Intelligent Cranes
[NO] 599/1000 | Feshdock: A Divide-and-Conquer Protein–Protein Complex Conformation Prediction Algorithm
[NO] 600/1000 | Image Diffusion Models with Multimodal Conditional Control in Zero-shot Semantic Segmentation Synthesis
[NO] 601/1000 | SLNeRF: Joint Optimization of Structured Light and NeRF
[NO] 602/1000 | Four-in-Three-Out Coupling Serial Spherical Photoelectric Stabilization Platform and Its Adaptive Antidisturbance Control
[NO] 603/1000 | Fast Diffusion-Based Camouflaged Object Detection via Asynchronous Denoising and Linear Attention
[NO] 604/1000 | PEXP: A Scalable Parallel Tree-Based Framework for Interpreting Models on Big Data
[NO] 605/1000 | Compact In-Band Full-Duplex Antenna for Deeply Implantable Biomedical IoT Applications
[NO] 606/1000 | O band TO optical switch based on silica platform
[NO] 607/1000 | Deep Neural Network-Based High-Precision Identification of Weak Stability Boundary Structures
[NO] 608/1000 | IEEE Transactions on Artificial Intelligence Publication Information
[NO] 609/1000 | Occlusion-Aware Diffusion Model for Pedestrian Intention Prediction
[NO] 610/1000 | 2019 AAAI/ACM SIGAI Dissertation Award Winner - Jiajun Wu
[NO] 611/1000 | Balancing Global Majority AI Ambitions with Environmental Considerations
[NO] 612/1000 | A Cloud–Edge Manufacturing Service Combination Collaborative Optimization Method Based on Federated Learning Framework
[NO] 613/1000 | Design and Evaluation of a Direct-Solar Pumping System for Automatic Drip Irrigation of Gramineous Forages
[NO] 614/1000 | Transcriptomic Signatures and Pathway Pertubations in Wilson Disease Liver Tissue: an in-Silico Approach
[NO] 615/1000 | Design and Analysis of a Synchronous Reluctance Motor with Low-Cost Ferrite Magnets for EVs
[NO] 616/1000 | A SysML v2-Based Framework for Multi-Disciplinary System Virtual Integration
[NO] 617/1000 | Real-Time Detection of Driver Distraction Due to Alcohol and Fatigue
[NO] 618/1000 | Deep Learning-Powered Weapon Detection and Classification System using Efficientdet for Public Safety
[NO] 619/1000 | Real Time Vitals Monitoring Using STM32F429 Microcontroller
[NO] 620/1000 | Calibration Method for Mixed-mode Return Loss Parameters of Network Cable Analyzer
[NO] 621/1000 | Deep Learning Approaches for Sentiment Analysis: Comparative Insights into Sequential, Convolutional, and Transformer Architectures
[NO] 622/1000 | Analysing Social Media as a Digital Tool for Inclusive Higher Education in India
[NO] 623/1000 | DeepMarineSegNet: A Multi-Scale Attention-Enhanced Network for Underwater Semantic Segmentation
[NO] 624/1000 | Artificial Intelligence Powered Cyber Threat Detection and Defence Mechanism Using Blockchain Security for Financial Attack Based on Deep Feature Engineering
[NO] 625/1000 | Evaluation of AC Loss Characteristics of MgB
                    <sub>2</sub>
                    Coil Under Rotating Magnetic Field Generated by PM Rotor
[NO] 626/1000 | WaterSplat-SLAM: Photorealistic Monocular SLAM in Underwater Environment
[NO] 627/1000 | Wireless Power Transfer and IoT in EV Charging: Opportunities, Challenges, and Future Directions
[NO] 628/1000 | IEEE Control Systems Society Publication Information
[NO] 629/1000 | Hierarchical Trajectory Planning of Floating-Base Multi-Link Robot for Maneuvering in Confined Environments
[NO] 630/1000 | Context Modeling with Multimodal Prompts for Emotion Recognition in Conversation
[NO] 631/1000 | A Hybrid Fractional Chebyshev–Legendre Spectral Collocation Method for Hamilton–Jacobi–Bellman Equations
[NO] 632/1000 | Enhancing Fine-Grained Sketch-based Image Retrieval through Contextual Information
[NO] 633/1000 | Communication Specific Emitter Identification Based on Deep Convolutional Feature Matching
[NO] 634/1000 | Modeling, Evaluation, and Comparison of Battery Equalizers Based on the Conservation of Energy
[NO] 635/1000 | A ROS-Based Hardware Abstraction Layer for Multifunction End-Effector Integration
                    <sup>*</sup>
[NO] 636/1000 | Design of a Gate Drive Circuit for Thyristor Performance Enhancement
[NO] 637/1000 | Hybrid Analog-Digital SVPWM Strategy for High-Frequency Three-Phase Buck PFC Converter
[NO] 638/1000 | Role of AI in Breast Cancer Detection by Using CNN Model
[NO] 639/1000 | RNA Transcription and Splicing Dysregulation in the Prefrontal Cortex of Huntington’s Disease
[NO] 640/1000 | A Common Mode Voltage Suppression Method for Five-Level Neutral Point Clamped Inverter Based on Modified Carrier-Overlapped PWM strategy
[NO] 641/1000 | A Novel Wideband Phase Shifter Based on Pin-Controlling of Gap Waveguide
[NO] 642/1000 | RGB-D Fusion for Wide Field of View User Feedback in Teleoperation Context
[NO] 643/1000 | Improved YOLOv10 with ScConv and FLA for Real-Time Cast Pipe Character Detection
[YES] 644/1000 | FPGA-Based Secure Automated Car Parking System Using FSM and VHDL
[NO] 645/1000 | Development of Mamdani Fuzzy Rule-Based System Using the Gray Wolf Optimizer (GWO) Algorithm for Maritime Safety Prediction
[NO] 646/1000 | Handwritten Input Using a Palm as a Writing Medium in MR Environments
[NO] 647/1000 | Health State Assessment of IGBT Bonding Wires Based on GWO-AAKR Under Varying Operating Conditions
[NO] 648/1000 | An Edge-Assisted Architecture for Context-Aware Matching in Real-Time Goods Transportation Systems
[NO] 649/1000 | A CPS-PWM Approach Based on Second-order Voltage Injection for Hybrid Modular Multilevel Converters Under Over-modulation Conditions
[NO] 650/1000 | Modelling and Current Control of Supercapacitor Controller for Lightweight Robots
[NO] 651/1000 | Automatic Sewing Pattern Generation from Garment Images Using Segmentation and Conditional GANs
[NO] 652/1000 | Semantic-Integrated Topological Mapping with Factor Graph Optimization for Small Robots in Unknown Environments
[NO] 653/1000 | An Object Placement Optimization System for Efficient and Unbiased Imitation Learning Data Collection
[NO] 654/1000 | Recognition Method Based on Time–Frequency Features of Intermittent Sampling Repeater Jamming
[NO] 655/1000 | A Wide-Frequency Output Control Strategy for Three-Phase Inverters Based on GaN HEMTs*
[NO] 656/1000 | A Review on Compact Circular Polarized Microstrip Patch Antenna for 6G Application
[NO] 657/1000 | Secure Supervisory Control of Discrete Event Systems using Homomorphic Encryption
                    <sup>*</sup>
[NO] 658/1000 | Optimized Design of Grid-Connected Pre-Synchronization for Virtual Synchronous Generator Based on Adaptive Control
[NO] 659/1000 | Fake News Detection and Knowledge Verification on Social Media Using Deep Attention Networks
[NO] 660/1000 | Design of a Communication and Monitoring System for Underwater Acoustic Sensor Networks Based on Multimodal Perception and Deep Reinforcement Learning
[NO] 661/1000 | Progressive Query Pruning for Object Detection
[NO] 662/1000 | Balancing Efficiency and Accuracy in Image Classification Using CNNs
[NO] 663/1000 | Noise-Robust Speech-Based Severity Assessment for Emergency Calls
[NO] 664/1000 | Three-dimensional Knee Joint Load Estimation System During Walking Using IMU Sensors for the Prevention of Knee Osteoarthritis: A Fundamental Study
[NO] 665/1000 | A Simplified Time-domain Model Based Feedforward Control Strategy for LLC Resonant Converters with Wide Operation Range
[NO] 666/1000 | Ultra-Compact KANSpotter with Noise Robustness for Voice-Controlled Exoskeletons
[NO] 667/1000 | Brain Tumor Classification using Hybrid Deep-Wavelet Feature Fusion with Probabilistic PCA-based Feature Reduction
[NO] 668/1000 | Learning-Based Real-Time Shape and Force Estimation for Continuum Robots Using FBG-Embedded Actuation Cables_supp1-3659518.mp4
[NO] 669/1000 | Towards Battery-Free Environmental Monitoring: A High-Efficiency Energy Harvesting System from Low-Intensity RF Signals
[NO] 670/1000 | 2025 5th International Conference on Mechanical Automation and Electronic Information Engineering (MAEIE)
[NO] 671/1000 | IEEE Standard for Testing Faulted Circuit Indicators
[NO] 672/1000 | Cavity-Grate Integrated All-Fiber Optic High Temperature Pressure Sensor with Enhanced Contrast and Sensitivity_supp1-3667231.pdf
[NO] 673/1000 | A Text-to-3D Framework for Joint Generation of CG-Ready Humans and Compatible Garments
[NO] 674/1000 | A Self-Powered and Temperature-Sensitive Photodetector Based on VO
                    <sub>2</sub>
                    Films With Reversible Dark Current Polarity
[NO] 675/1000 | How Do Market Signals Drive Carbon Emissions in Indonesia? A Predictive Modeling Perspective
[NO] 676/1000 | Design of a SDRAM-Based Program Running Method for DSP6713
[NO] 677/1000 | Sustainable Digital Tourism through Social Media: A TAM-Based Study on Food Waste Reduction in Hospitality
[NO] 678/1000 | A Supercapacitor-Enhanced Grid-Forming SVG with Fault Ride-Through Strategy for Symmetrical Fault
[NO] 679/1000 | Independent Phase Current Control Strategy for Modular Multilevel Matrix Converter Fault Conditions
[NO] 680/1000 | A Multi-Source Data Feature Fusion Method Based on FCN and Residual Attention Mechanism for Remaining Life Prediction of Gas Turbine
[NO] 681/1000 | Development of a Compliant Mechanism for Series Elastic Actuators
[NO] 682/1000 | Performance of Multilayer Perceptron Models for Fetal Health Assessment
[NO] 683/1000 | Experimental Verification of Vibration-Based Release for a Sticky-Food Handling Gripper
[NO] 684/1000 | A Single-Phase Symmetric-Bipolar Buck-Boost AC-AC Converter With Continuous Input-Output Current
[NO] 685/1000 | Spatial Characteristics and Controlling Factors of Permafrost Deformation in the Qinghai-Tibet Plateau Revealed Through InSAR Measurements_supp1-3664223.docx
[NO] 686/1000 | Data-Driven and Automated AIOps for IP Network Management
[NO] 687/1000 | Reliability Enhancement of a 2.2 kV
                    <i>β</i>
                    -Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    Schottky Barrier Diode With Junction Termination Extension Under High-Temperature Storage Stress
[NO] 688/1000 | Investigating the Optimal Assistive Strategy for Freezing of Gait: A Comparison of Unilateral and Bilateral Artificial Muscle Assistance
[NO] 689/1000 | The Influence of Blockchain Understanding on Cryptocurrency Usage Intentions Among Young People
[NO] 690/1000 | Extreme Programming Implementation for Diabetes Mellitus Early Detection Expert System Using Forward Chaining Method
[NO] 691/1000 | Wide Voltage Range Non-isolated Three-port Converter Based on Multi-voltage Mode Modulation
[NO] 692/1000 | Fully Automated CAD/BIM Modeling of Pipe Structures from Plant Environment 3D Point Cloud
[NO] 693/1000 | Safety and Comfort-Aware Multi-Agent Reinforcement Learning Framework for Critical Scenarios Generation Towards ADS Testing
[NO] 694/1000 | Research on Two - stage Detection Method Based on Wide - band Signals
[NO] 695/1000 | Photonic Crystal Sensors in Microfluidics for Realtime Chemical Reaction Monitoring
[NO] 696/1000 | Soil Quality Analysis and Yield Prediction Using Remote Sensing and Machine Learning
[NO] 697/1000 | Advances and Open Challenges in Small Object Detection for UAV Imagery: A Deep Learning Perspective
[NO] 698/1000 | A Single-Stage Isolated Modular Multilevel Resonant DC-DC Converter for Wide-Range High Step-Down Applications
[NO] 699/1000 | SiC MOSFET Bidirectional Crosstalk Suppression Method Based on low Impedance Branch and Negative Voltage Modulation
[NO] 700/1000 | Secgenai: A Security-Enhanced Generative AI Framework for Healthcare Chatbots
[NO] 701/1000 | A Novel Correction Strategy for High-Precision Testing of Power Devices Based on Real-Time Delay and Offset Compensation
[NO] 702/1000 | SII 2026 Commentary
[NO] 703/1000 | AdSig-Detector: Adversarial Signal Detection Based on Wavelet and Variational Mode Decomposition
[NO] 704/1000 | ML-Driven Adaptive Resource Allocation for High-Performance Ultra-Dense WDM-Based Hybrid FSO/FTTx Networks Under Diverse Weather Conditions
[NO] 705/1000 | Optimization for Collection System of Offshore Wind Farm Based on Particle Swarm Optimization With Simulated Annealing Strategy
[NO] 706/1000 | Neuromorphic Image Processing for Enhancing Simulated Prosthetic Vision
[NO] 707/1000 | Lung Cancer Detection and Classification using Deep Learning Methods: A Comparative Study
[NO] 708/1000 | Design and Implementation of a Lightweight Platform Independent Ring Oscillator PUF for IoT Applications
[NO] 709/1000 | Thin-Film Thermal Discoloration Sensor for Distributed Material Identification
[NO] 710/1000 | Design Concept and Applications of Inflatable Robots: Single and Dual-Arm with Internal Drop-Stitch Structure and Rigid Joints
[NO] 711/1000 | Hybrid Deep Learning Model to Enhance Intrusion Detection Systems in PySpark Big Data Framework
[NO] 712/1000 | Blockchain Based Peer-to-Peer Power Trading: An Analysis in India
[NO] 713/1000 | NAIS: A Modular ROS 2 Framework for Real-Time Scene Graph Construction and Language-Guided Navigation
[NO] 714/1000 | A Data-Driven Learning-from-Demonstration Framework for Robotic Grasping
[NO] 715/1000 | Soft Switching in the Resonant Buck Converter Systems
[NO] 716/1000 | A Comparative Study on Segmentation Techniques for Context-Aware Safe Landing of UAVs
[NO] 717/1000 | Design of a Wireless Communication-Based Intelligent Wearable System for Mining Applications
[NO] 718/1000 | Research on the Positioning of Flanges Based on Mapping Projection Method
[NO] 719/1000 | Design of Active Simulation Equipment for Radar Targets Based on Neural Network
[NO] 720/1000 | GaN-Based High Efficiency Flying Capacitor 6-level Bidirectional AC-DC Converter
[NO] 721/1000 | Privacy-Preserving Federated Transfer Learning for Secure Cross-Domain Knowledge Sharing in Healthcare
[NO] 722/1000 | Exploring Power Electronic Interfaces for Minimizing Torque Ripple in SRM Systems - A Review
[NO] 723/1000 | Research on Time Slot Allocation in Wireless Body Area Networks Related to Delay
[NO] 724/1000 | Trajectory Tracking Control of Industrial Robotic Manipulators Based on FOPID with Improved BAS-PSO Algorithm
[NO] 725/1000 | BigCounter: A Bidirectional-guided Network with Scene-Semantics Driven Fusion for RGB-Thermal Crowd Counting
[NO] 726/1000 | Novel medical image compression/decompression technique based on bicubic interpolation with matrix reduction algorithm
[NO] 727/1000 | mTIPs: Multimodal Time-Series Imaging and Prediction System for Early Differentiation of Retinal Organoids_supp1-3668206.pdf
[NO] 728/1000 | Predicting Situation Awareness From Physiological Signals_supp1-3647796.docx
[NO] 729/1000 | Preference-Aware Multimodal Contrastive Learning Recommendation
[NO] 730/1000 | Time Series Classification on Eye Tracking for Identification of Sequential-Global Cognitive Styles
[NO] 731/1000 | Manageable Convex Region Iteration without Half-Plane Optimization for Robot Navigation in 2D Cluttered Scenes
[NO] 732/1000 | Neural Network-Aided Differential Evolution With Double Q-Learning for Dynamic Optimization
[NO] 733/1000 | Improved the High-temperature Energy Storage Performance of PI Films via Multi-scale Optimization of Electrodes and Interface Engineering_supp1-3668744.docx
[NO] 734/1000 | SyMFood: Synergistic Multi-Modal Prompting for Fine-Grained Zero-Shot Food Detection_supp1-3668226.pdf
[NO] 735/1000 | Payload Vision: A Nanosatellite Payload System for Efficient Data Transmission
[NO] 736/1000 | Speak Sign: ISL to Multilingual Speech Using Deep Learning Framework
[NO] 737/1000 | Real-time Path-recovery Method for Open-fiber-cross-connect-based Networks
[NO] 738/1000 | Task Placement Optimization of Redundant Robots Using Reliability Maps under Locked Joint Failures
[NO] 739/1000 | Cross-Domain Knowledge Distillation for Low-Resolution Human Pose Estimation
[NO] 740/1000 | Simulation-Based Optimization of Highway Active Traffic Management Strategy Designs
[NO] 741/1000 | A Fast Double Null Control Concept Enabling Compact Fusion Reactors_supp1-3662750.pdf
[NO] 742/1000 | Table of Contents
[NO] 743/1000 | Anomaly Detection in Electricity Consumption Based on a Hybrid CNN-LSTM Neural Network
[NO] 744/1000 | A Study on Rapid and Smooth Path Planning for UAVs in Multi-Obstacle and Narrow Environments
[NO] 745/1000 | Research on the Buffering Characteristics of the Electromagnetic Repulsion Mechanism
[NO] 746/1000 | The Role of Artificial Intelligence in Game Design and NPC Behaviour
[NO] 747/1000 | Investigation of Composite ESS with Hybrid Controller for Restructured AGC System
[NO] 748/1000 | A Hybrid CEEMDAN-CorrInformer Model for High-Accuracy Wind Power Prediction
[NO] 749/1000 | Innovative Hybrid Strategy for Energy-Efficient Clustering and Routing in Wireless Sensor Networks
[NO] 750/1000 | Enhancing Credit Risk Assessment with Sentiment Analysis and Feature Engineering
[NO] 751/1000 | Collision Avoidance in Healthcare Robotics Using mm-Wave Radar Fusion: A Hygienic and Fail-Safe Approach
[NO] 752/1000 | Hybrid Quantum-Classical Agentic AI for Resource-Efficient Optimization of National Power Grids
[NO] 753/1000 | PayGuard: An Event-Driven, Policy-Graph-Guided AI Pipeline for Real-Time Payroll Risk Detection and Conformal Remediation
[NO] 754/1000 | Data-Driven Dynamic Parameter Learning of manipulator robots
[NO] 755/1000 | Low-Latency Space-Air-Ground Integrated Networks Access Control Considering Time-Domain Holes
[NO] 756/1000 | Real-Time Wildlife Intrusion Detection Using YOLOv8 and OpenCV
[NO] 757/1000 | Comparative Machine Learning Approaches to Permafrost Probability Mapping in the Western Himalaya’s Jhelum Basin
[NO] 758/1000 | A Comprehensive Review on SOC Estimation Techniques of Batteries
[YES] 759/1000 | Enhancing Contextual Retrieval and Generation of Text through RAG and Knowledge Graph with Custom Cosine Similarity
[NO] 760/1000 | AI-Driven Sign Language Translation for Real-Time Interaction
[NO] 761/1000 | Optimal Design of Passive Link Systems and Sensor Fusion for Precise Position Measurement of Robot End-Effector
[NO] 762/1000 | Zig-RAPM: A Cost Effective Zigbee-driven Realtime Remote Air Pollution Monitoring System in Industrial Belt, an Experimental Approach with Field Survey
[NO] 763/1000 | An Analysis of Employee Engagement in IT Enterprises in Digital India: A SEM Based Approach
[NO] 764/1000 | Hybrid Ag-Al Grating based D-Shaped Optical Fiber Surface Plasmon Resonance Sensor
[NO] 765/1000 | Visual and Linguistic Fusion: Building Effective Image Caption Generator
[NO] 766/1000 | Overload Current Suppression Strategy for Voltage-Source Inverters under Impact Loads
[NO] 767/1000 | A Decentralized Framework for Inter-Domain Authentication Using Blockchain
[NO] 768/1000 | Multi-Object Loco-Manipulation Using Body Holding Primitives for Humanoids
[NO] 769/1000 | Junction Temperature Measurement Method for Multi-Chip Welded IGBT Power Modules Based on Fluorescent Fiber-Optic Probes
[NO] 770/1000 | ZMP Estimation from Wearable Sensor Using Deep Learning for Gait Analysis
[NO] 771/1000 | Data-Efficient Real-Time Control of an Artificial-Muscle-Driven Continuum Robot with Physics-Informed Koopman Operator
[NO] 772/1000 | A Survey on Formal Methods for Railway Interlockings: From Relays to Satellite-Based Moving Block Signaling
[NO] 773/1000 | Gait Planning &amp;#x0026; Adaptive Impedance Control for Turning Walk Based on a Self-Balancing Lower Limb Exoskeleton_supp1-3668388.pdf
[NO] 774/1000 | Sustainability in FinTech: A UTAUT-Based Analysis of E-Wallet Continuance Intention Among Gen Z Users
[NO] 775/1000 | Federated Meta-Transfer Learning Framework for Privacy-Preserving Anomaly Detection in Low-Voltage Distribution Networks
[NO] 776/1000 | Capacity Exploitation: A Distillation Framework for Black-Box Watermark Removal
[NO] 777/1000 | Design and Implementation of a Virtual Simulation Platform for Physics Experiments Supported by Digital Twin Technology
[NO] 778/1000 | Beyond Transformers: Dendritic State-Space Models
[NO] 779/1000 | A Transient Power Angle Reshaping Control Strategy for Grid Forming Converters
[NO] 780/1000 | Vector Flow Imaging in Layered Models With a High Speed of Sound Contrast Using Pulse-Echo Ultrasound and Photoacoustics
[NO] 781/1000 | Gender Prediction Based on Large Language Models: An Analysis of Output Patterns and the Impact of Artificial Intelligence
[NO] 782/1000 | NNP-NET: Accelerating t-SNE Graph Drawing for Large Static and Dynamic Graphs by Neural Networks
[NO] 783/1000 | IWSA 2025 Copyright Page
[NO] 784/1000 | Collision-Free Navigation of Mobile Robots via Quadtree-Based Model Predictive Control
[NO] 785/1000 | Design and Implementation of LLC-DCX With 1A/mm2 Current Density for High-Current XPU Power Systems
[NO] 786/1000 | Control Strategies for Dual-three-phase Motors at Low Switching Frequencies
[NO] 787/1000 | Research on Planar Magnetic Integration Technology for Aerospace Half-Bridge LLC Resonant Converters
[NO] 788/1000 | Leveraging Explainable AI based Classifiers for Localizing Road Damage with Drone Imagery
[NO] 789/1000 | Current States of Modern Electric Vehicle Wireless Power Transmission. A Review!
[NO] 790/1000 | Comparisons of Different Transient Damping Strategies for Grid-Following Inverters based on Phase-Locked Loop Modifications
[NO] 791/1000 | Study on Actuation Speed Improvement of Pneumatic Artificial Muscle with Exhaust Mechanism
[NO] 792/1000 | A High Voltage Gain Pulse Power Supply Based on Sepic-Marx Circuit
[NO] 793/1000 | A Zero-shot framework Applied in the Object Detection Task of Unmanned Laboratory Scenarios
[NO] 794/1000 | Common-Mode EMI Suppression Method for Four-Level Inverters under Full Modulation Index
[NO] 795/1000 | RANSAC-Integrated Root-MUSIC: A Hybrid Algorithm for High-Precision BLE CS Ranging
[NO] 796/1000 | A High-Efficiency Reconfigurable Metasurface Unit for UAV Wireless Charging Systems
[NO] 797/1000 | Indirect Torso Posture Control and Force-Guided Singularity Avoidance for Humanoid Teleoperation System using Exoskeleton Cockpit
[NO] 798/1000 | IoT-Based CO
                    <sub>2</sub>
                    Gas Air Pollution Monitoring System In Residential Areas
[NO] 799/1000 | Classification Systems of Lenke Scoliosis Using Moment Invariant and Decision Tree Method
[NO] 800/1000 | WECAR: An End-Edge Collaborative Inference and Training Framework for WiFi-Based Continuous Human Activity Recognition
[NO] 801/1000 | AI Ethics &amp; Policy Column: Top AI Ethics and Policy Issues of 2025 and What to Expect in 2026
[NO] 802/1000 | A Systematic Comparison of Machine Learning Regressors for PM2.5 Concentration Forecasting: An AutoML-Driven Approach
[YES] 803/1000 | Toward Hybrid LLM-Assisted Vulnerability Detection for Continuous Integration: A Bias-Free Framework with a Context-Rich Dataset
[NO] 804/1000 | Power Balance Droop Control Strategy for DC Interconnection Energy Router in Low Voltage Distribution Station
[NO] 805/1000 | Self-Healing Autonomic IoT Security: A Multiclass Ensemble-Based Intrusion Detection System
[NO] 806/1000 | Digital Resonant Controller and Notch filter Design for LCL-Type Three-Phase PWM Rectifiers
[NO] 807/1000 | Utilizing Knowledge in Vision-Language Model for Robotic Grasp Force Estimation through Robot-to-Human Image Translation
[NO] 808/1000 | Quantum Subroutine for Efficient SVD in Block-Diagonalized Precoding with fewer ancilla qubits
[NO] 809/1000 | Using Eye Gaze and Body Location to Organize and Retrieve Information in Mixed Reality
[NO] 810/1000 | EfficientNet-B0 Based Deep Transfer Learning for Diabetic Retinopathy Classification
[NO] 811/1000 | SMARC: A State-Repairing Multi-Agent Resilient Consensus Scheme
[YES] 812/1000 | Advanced Database Testing and Verification Using Automated Tools and Vulnerability Analysis
[NO] 813/1000 | Fuzzy-Adaptive Force-Compliant Control and Sensorless Estimation of a Hybrid Aerial Manipulator for Contact-Based Pipeline Repair
[NO] 814/1000 | Voltage Control and Common-Mode Interference Suppression for Flying Capacitor Four-Level NPC Inverter
[NO] 815/1000 | Virtual direct power control for half-bridge-active-clamp converter with wide voltage gain and fast transient response
[NO] 816/1000 | Flexible State-Aware Planning for Robust Object Placement in Home Tidy-Up with Autonomous Mobile Manipulators
                    <sup>*</sup>
[NO] 817/1000 | Exploring Factors Influencing Cybersickness and Workload in VR Robot Teleoperation Systems under Spatial and Temporal Noise
[NO] 818/1000 | FEM-Based Optimization of the Mechanical Properties of a Soft Robotic Neck
[NO] 819/1000 | Soft-Switching Analysis and Distortion Suppression of SWISS Rectifier Considering C
                    <sub>oss</sub>
                    Nonlinearity of the Switches
[NO] 820/1000 | Enhancing Semi-supervised Texture Defect Detection with Pseudo-Label Optimization: An Improved SoftTeacher Approach on DAGM2007
[NO] 821/1000 | Delay Optimized Hybrid 4 to 1 DGM-MUX Using Novel DGM-OR Gate at 180nm
[NO] 822/1000 | Design and Optimization of a Stand-Alone Hybrid Renewable Energy System for off-Grid Health Centers
[NO] 823/1000 | Ride-Through Control Strategy of Wind and Solar Energy Storage Grid-Connected System Based on Power Control Loop Coefficient Optimization
[NO] 824/1000 | Semantic-Aware Obstacle Tracking and Avoidance for Ceiling-Mounted Healthcare Robots
[NO] 825/1000 | Role of Sampling Frequency in BiLSTM-Driven ECG Heart Disease Diagnosis
[NO] 826/1000 | State Estimation and Linear Discrete Model Predictive Control for the Hydration Process in a Lime-Based Thermochemical Energy Storage System
                    <sup>*</sup>
[NO] 827/1000 | A Data-Assisted Method for Control Parameters Optimization of Series Resonant DAB Converters
[NO] 828/1000 | Multi-Attribute AI-based Storytelling Framework with IoT Deployment for Real-Time Narration: A Parameter-Efficient Approach
[NO] 829/1000 | ShoesMimic: One-Policy Whole-Body Control for Multi-Shoe Humanoid Locomotion
[NO] 830/1000 | DeepSense++: Robust HAR with Missing Data
[NO] 831/1000 | Smart Automated Irrigation System with Pest Control &amp; IoT Monitoring
[NO] 832/1000 | Tissue Engineering: Integrating IoT and Nanotechnology for Tissue Repair and Regeneration
[NO] 833/1000 | Research on Low-Voltage Ride-Through of Large-Capacity Photovoltaic Grid-Connected System Based on Cascaded Power Electronic Transformer
[NO] 834/1000 | Simulation of Vehicle-to-Grid (V2G) and Grid-to-Vehicle (G2V) Converter
[NO] 835/1000 | High-SNR Comparison of Linear Precoding and DPC in RIS-Aided MIMO Broadcast Channels
[NO] 836/1000 | Hierarchical Causal Decoupling Pose Estimation Model for Special Operations Behavior Monitoring_supp1-3667957.mp4
[NO] 837/1000 | Safe and Economical UAV Trajectory Planning in Low-Altitude Airspace: A Hybrid DRL-LLM Algorithm With Compliance Awareness_supp1-3668209.pdf
[NO] 838/1000 | Geometric Model Predictive Path Integral for Agile UAV Control with Online Collision Avoidance
[NO] 839/1000 | A Two-Stage Methodology Combining Clustering and Predictive Models to Estimate the Levels of Participants’ Empathy and Other Affective States During Virtual Reality Sessions
[NO] 840/1000 | Robust and Arbitrary Rotation Invariant Local Descriptor Learning
[NO] 841/1000 | LDT: Efficient Scalable Video Generation Using Linear Diffusion Transformer
[NO] 842/1000 | Diffusion Contrastive Learning Model for Multi-Behavior Recommendation
[NO] 843/1000 | Dynamic Spatio-Temporal Imputation for Robust UWB Ranging in Urban Subway Localization
[NO] 844/1000 | Energy-Efficient Federated Learning in Mobile Edge Computing via Fine-grained Energy Planning Client Selection
[NO] 845/1000 | A Generic Construction of Efficient Oblivious Signature Protocols
[NO] 846/1000 | QST-Fed: Quantum-Secure Spatiotemporal Federated Learning for Cross-Region 5G Traffic Forecasting
[NO] 847/1000 | Emittance Reduction of Relativistic Electron Beam Using Optical Bessel Beam
[NO] 848/1000 | Spatial Equity Analysis of JakWifi Infrastructure in DKI Jakarta Using the K-Means Clustering Algorithm
[NO] 849/1000 | Online Magnetorheological Damping Modulation of a Robotic Tuna for Enhanced Speed and Efficiency
[NO] 850/1000 | Spatiotemporal Prediction Model for Water Radiolysis Product Concentration Based on Swin Transformer and Hierarchical Window Attention
[NO] 851/1000 | LVM-OCR: A Transformer-Based Architecture for Context-Aware Document Understanding
