[2026-07-17 22:50:52] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-16
正在获取论文...
[arXiv] 2026-07-16 | Expanding the Lexicon of Ge'ez Based African Languages: A Comparative Study of Amharic and Tigrinya
[NO] 534/1846 | Probabilistic Physics-Informed Neural Networks for Estimating Heterogeneous Elastic Properties from Low-Resolution and Noisy Displacement Data
[NO] 535/1846 | Beyond Archimedean Intelligence: Toward an Intrinsic p-Adic Theory of Learning
[NO] 536/1846 | Impact of Expert-Following Strategies in Financial Asset Recommendation
[NO] 537/1846 | Consistent Variance Estimation for Q-Function Estimators in Finite-Horizon MDP Tree Search
[NO] 538/1846 | Answer-Conditioned Chains of Thought Degrade Verifiable-Reasoning Distillation in Large Language Models
[NO] 539/1846 | World-Model-Aware Responsibility Allocation in Heterogeneous Logistics Systems
[NO] 540/1846 | Bifurcations of periodic and antiperiodic orbits near an equilibrium in autonomous differential delay systems with one or two delays
[NO] 541/1846 | Probabilistic redshift estimation of unresolved galaxies from multi-band background light maps
[NO] 542/1846 | Structure-Aware Variational State Preparation for Quantum Basket Option Pricing
[NO] 543/1846 | Beyond the Riemann Hypothesis bounds: A pair-correlation approach to the least prime in arithmetic progression and the smallest quadratic non-residue
[NO] 544/1846 | VTM-Nav: Hierarchical Visual-Topological Memory for Cross-Episode Object-Goal Navigation
[NO] 545/1846 | RetroAgent: Harnessing LLMs to Search Over Structured Memory for Agentic Retrosynthesis Planning
[NO] 546/1846 | Non-vacuous Generalization Bounds for Reinforcement Learning with Verifiable Rewards
[NO] 547/1846 | Physical Reservoir Signal Acquisition for Sub-Nyquist Waveform Reconstruction
[NO] 548/1846 | Transverse Optomechanical Interaction Mediated by Mechanically Induced Symmetry Breaking: Hamiltonian Dynamics
[NO] 549/1846 | Reinforcing Egocentric Spatial Perception in Multimodal Large Language Models via Ego Scene Augmentation
[NO] 550/1846 | Parameter Scan of Multi-Fluid Equilibria in Rotating p-11B Plasmas: Effects on Fusion Power and Bremsstrahlung Losses
[NO] 551/1846 | Full-data accuracy with fewer labels for training and fine-tuning machine-learning force fields
[NO] 552/1846 | Step-Level Preference Learning for Generative Agents in Social Simulations
[NO] 553/1846 | Scheduler-Agnostic Adaptive-FEC for MPQUIC: Field Evaluation over Commercial Cellular Paths
[NO] 554/1846 | BioTIER: A Refusal Benchmark for Targeted Biological Risk Mitigation
[NO] 555/1846 | One-Shot Generative Design for Disordered Metamaterials via Self-Organizing Neural Cellular Automata
[NO] 556/1846 | Semitotal domination in unit disk graphs
[NO] 557/1846 | Precise sample covariance spectral norm error -- an RDT view
[NO] 558/1846 | Simply Typed Reverse-Mode AD with Variants: Denotational Correctness via Idempotent Completion
[NO] 559/1846 | Revisiting Data Quality Control and Multiple-star Modeling in Wide Binary Gravity Tests: Confirmation of MOND-type Gravitational Anomaly at Low Acceleration
[NO] 560/1846 | Cotton-SF YOLO: Learning Structural and Frequency Cues for Early Cotton Square Detection in Complex Field Environments
[NO] 561/1846 | Tactile: Giving Computer-Using Agents Hands and Feet
[NO] 562/1846 | Counterexamples to additivity of minimum output $p$-Rényi entropy of quantum channels for $p>3/4$ and $0\leq p<1/4$
[NO] 563/1846 | Diffusioosmosis of electrolyte solutions in axisymmetric channels
[NO] 564/1846 | Emergent d-wave altermagnetism in chlorine-adsorbed FeSe monolayer
[NO] 565/1846 | Detecting clear-air turbulence via beam broadening in a Rayleigh-scattering lidar system
[NO] 566/1846 | On the geometry of Coulomb branches
[NO] 567/1846 | Indirect Variational Inference: Applications to Earnings Dynamics
[NO] 568/1846 | Unified framework of optical thermodynamics and optical pressure
[NO] 569/1846 | Quantum spin correlations in $Z^\prime$-mediated $t\bar{t}$ production at future lepton colliders
[NO] 570/1846 | Grokipedia vs Wikipedia: An LLM-Based Audit of Political Neutrality along Ideologies
[NO] 571/1846 | Semiclassical estimates near threshold energies and resonance counting on Schwarzschild black holes
[NO] 572/1846 | Ray-based phase error correction for miniaturized DOE projector-based FPP under single-directional hyperbolic projection
[NO] 573/1846 | A Bombieri-Vinogradov theorem for exponential sums over products of k primes
[NO] 574/1846 | Platform Choice, Trust, and Privacy in the Consumer AI Assistant Market
[NO] 575/1846 | Catch, Throw, Repeat: Planning for Human-Robot Partner Juggling
[NO] 576/1846 | DAPGNet: Dynamic Adaptive Physics-Guided Graph Diffusion Network for Hyperspectral Image Classification
[NO] 577/1846 | On-board AI-based Channel Estimation for LEO NTNs
[NO] 578/1846 | Spacelike-Collinear Scattering by the Method of Regions
[NO] 579/1846 | Quantum Lock-In Detection via Successive Adiabatic Evolution
[NO] 580/1846 | Zeros of one-forms and the topology of algebraic maps
[NO] 581/1846 | Transformation of vector modes by the Faraday effect in strong magnetic fields
[NO] 582/1846 | Towards Hierarchical Structure Understanding of Newspaper Images
[NO] 583/1846 | Evaluating covariate balance for long time horizon Markov decision processes
[NO] 584/1846 | SQD-Enabled Circuit Compression for Resource-Efficient Quantum Chemistry
[NO] 585/1846 | Mitigation of Initial Transients in Total-f Gyrokinetic Turbulence Simulations Using Neoclassically Relaxed Distribution Function
[NO] 586/1846 | Substitution and quotient of the isotropy group action
[NO] 587/1846 | Learning the Fermion sign structure in path-integral Monte Carlo
[NO] 588/1846 | Female participation in science in the past 125 years: An analysis of the Matilda effect over time
[NO] 589/1846 | The study of bulk damage of high gamma-irradiated $n^+$-in-$p$ silicon diodes
[NO] 590/1846 | Deep Scene-Driven Ordering of Hadamard Basis for Single-Pixel Spectral Imaging
[NO] 591/1846 | Low-Frequency VLBI Network Using SKA-LOW
[NO] 592/1846 | Double $L$-values of Negative Weight Admitting Series Representations
[NO] 593/1846 | Fully discrete least-squares splitting scheme for the Monge-Ampère equation: finite element analysis and convergence
[NO] 594/1846 | When AI Blurs the Boundaries of Contribution: An Empirical Study of Authorship Calibration
[NO] 595/1846 | SMC-ES: Automated synthesis of formally verified control policies
[NO] 596/1846 | The World Cup in space: Finding ionised buckyballs in the ISM with CARMENES
[NO] 597/1846 | Modeling the Fatigue Behavior of Amorphous Polymers
[NO] 598/1846 | Isomer-specific excitation of formic acid in collisions with helium atoms
[NO] 599/1846 | Testing the Isotropy of the Universe with the CHIME/FRB Catalog I
[NO] 600/1846 | On Success and Simplicity: A Second Look at Transferable Vision-Language Attack Pipeline
[NO] 601/1846 | The Goldilocks Molecule: H$_{2}$ Emission Lines Can Identify Elusive Dwarf AGN
[NO] 602/1846 | Latent Trajectory Discrimination for AI-Generated Text Detection
[NO] 603/1846 | Gluon GTMDs in the exclusive electroproduction of heavy-quark pairs
[NO] 604/1846 | Statistical Modelling of Planetary Boundary Layer Height and Its Measurement Uncertainty Using GRUAN Profiles
[NO] 605/1846 | Avoiding Dilution: Using Diffusion and Vision Transformers to resolve Majorana Features in Nanowires at High Temperature
[NO] 606/1846 | Introspective Attention Modulation for Safe Text-to-Image Generation
[NO] 607/1846 | Learning-Driven Channel Representation for Wireless Localization: From Channel Observations to Location Inference
[NO] 608/1846 | VideoChat3: Fully Open Video MLLM for Efficient and Generalist Video Understanding
[NO] 609/1846 | DD4AO control law for RISTRETTO: robustness, real-time performance, and on-sky validation with PAPYRUS
[NO] 610/1846 | Random Access to LZ-End: Faster and Deterministic
[NO] 611/1846 | Show Me How You Reason and I'll Tell You Who You Are: Reasoning Graphs for Robust LLM Authorship Attribution
[NO] 612/1846 | The VST ATLAS Survey -- IV: Galaxy, LRG and QSO bias and HODs via ACT CMB Lensing
[NO] 613/1846 | OASIS-Map: Object-Level Change Detection in Multi-Session Mapping using Semantic Correspondence Matching
[NO] 614/1846 | Selectivity Drives Efficiency: Dataset Pruning for Visual Place Recognition
[NO] 615/1846 | Domain Adaptation of Mismatched Proximal Denoiser for Plug-and-Play Image Reconstruction
[NO] 616/1846 | Sizable Ligand-Mediated Bond-Dependent Interactions in a Spin-1 Triangular Antiferromagnet NiI$_2$
[NO] 617/1846 | Sharp decay thresholds in weighted $L^\infty$ for wave kinetic equations with power-law dispersion
[YES] 618/1846 | Proof-or-Stop: Don't Trust the Agent, Trust the Evidence -- Loop Engineering for Verifiable Evidence-Gated Lifecycle Control
[NO] 619/1846 | Analytical study of the optimal combination of binary classifiers based on classifiers-induced partitioning of the training set
[NO] 620/1846 | A Geometric Theory of Fermion-to-Qubit Encodings
[NO] 621/1846 | Ball Covering Property on Operators and Calkin Algebra
[NO] 622/1846 | PAC Learning in Turn-Based Stochastic Games with Reachability Objectives: A Decentralized Private Approach via Expected Conditional Distance
[NO] 623/1846 | One-for-All Adaptive Radiotherapy Planning Agent: A Foundation Framework for Daily CBCT-guided Radiotherapy
[NO] 624/1846 | A framework for producing harmonic maps
[NO] 625/1846 | Modeling and Validation of Quality of Control for Edge-Offloaded Collaborative Navigation
[NO] 626/1846 | On Matrix Product Factorization in Association Schemes
[NO] 627/1846 | A flexible DAQ system for the Timepix4 ASIC in the 4DPHOTON project
[NO] 628/1846 | D-coloring of planar graphs
[NO] 629/1846 | Monopole Spin Density Wave States in Magnetic Weyl Semimetals
[NO] 630/1846 | Blurring Modal Boundaries: A Unified Survey from Single- to Multi-Modal Person Re-ldentification
[NO] 631/1846 | Evaluating Epistemic Uncertainty: Beyond OOD Detection and Active Learning
[NO] 632/1846 | Post Hoc Inference for Component Attribution in Multivariate Change-Point Detection
[NO] 633/1846 | Strong error analysis of a temporal approximation for stochastic Korteweg-de Vries equation with small additive noise
[NO] 634/1846 | The distribution of eccentricities in random regular graphs
[NO] 635/1846 | Valinor: Architectural Support for Fast, Energy-Efficient and Programmable Physical Memory Allocation
[NO] 636/1846 | Kernelization for $H$-Packing Revisited
[NO] 637/1846 | SEED: Self-Evolving On-Policy Distillation for Agentic Reinforcement Learning
[NO] 638/1846 | Elliptic Range-Doppler Mapping for OFDM-ISAC under IQ Imbalance
[NO] 639/1846 | Boson peak and medium-range elastic heterogeneity in calcium silicate hydrate probed by terahertz spectroscopy and low-temperature calorimetry
[NO] 640/1846 | Component Modalities of Quantum Logic
[NO] 641/1846 | AI vs Human Expert Reasoning: Assessing Agreements in Building Typology Predictions based on Street View Imagery
[NO] 642/1846 | 3D scanning microscopy through scattering surfaces using the optical memory effect
[NO] 643/1846 | WanSong v1.0 Technical Report
[NO] 644/1846 | Understanding of Task-specific and Subject-specific Components in Surface EMG
[NO] 645/1846 | Sharp lifespan estimates and a Huygens-type effect for one-dimensional Nakao's problem
[NO] 646/1846 | Dense sets without large sumsets
[NO] 647/1846 | SceneBind: Binding What and Where Across Vision, Audio and Language
[NO] 648/1846 | Bridge Evidence: Static Retrieval Utility Does Not Predict Causal Utility in Multi-Step Agentic Search
[NO] 649/1846 | ARMOR++: Agentic Orchestration of a Multi-Domain Primitive Set for Transferable Attacks on Deepfake Detectors
[NO] 650/1846 | Adaptive Sampling for Spatiotemporal Anomaly Monitoring in Wireless Sensor Networks
[NO] 651/1846 | Catalytic Crosstalk: Cooperative Enzyme Dynamics in Artificial Crowded Environments
[NO] 652/1846 | In-Place Tokenizer Expansion for Pre-trained LLMs
[NO] 653/1846 | Data Driven Block Replacement Scheduling
[NO] 654/1846 | The Kővari-Sós-Turán theorem for $\operatorname{GF}(q)$-representable matroids
[NO] 655/1846 | Structural-Semantic Reciprocal Learning for Unsupervised Visible-Infrared Person Re-Identification
[NO] 656/1846 | Next-to-next-to-leading order QCD corrections to pion (kaon)-induced exclusive Drell-Yan process
[NO] 657/1846 | Steering Robustness into World Action Models via Mechanistic Interpretability and Optimal Control
[NO] 658/1846 | Locality of deep thermalisation through the lens of entanglement teleportation
[NO] 659/1846 | Optimal complexity of adaptive FEM for second-order linear elliptic PDEs driven by non-residual estimators, Part I: Symmetric PDEs
[NO] 660/1846 | NavCMPO: Critic-Guided MeanFlow Policy Optimization for Adaptive Navigation
[NO] 661/1846 | Anchored Nash inequalities and heat kernel bounds for a class of random conductance models with long-range jumps
[NO] 662/1846 | DriftWorld: Fast World Modeling through Drifting
[NO] 663/1846 | CoTu at EXACT 2026: Neuro-Symbolic Reasoning for Transparent Educational QA
[NO] 664/1846 | Autoregressive Modeling of Film with Applications in Video Montage
[NO] 665/1846 | Stochastic binary networks with asymmetric and time-delayed interactions
[NO] 666/1846 | Superadditivity for Entanglement-Assisted Communication
[NO] 667/1846 | The radial action for massive particles in spherically symmetric geometries: Exact resummation at any PM order
[NO] 668/1846 | On Hyperbolic Stochastic Galerkin Projections of Shallow Water Linearised Moment Equations
[NO] 669/1846 | AutoSynthesis: An agentic system for automated meta-analysis
[NO] 670/1846 | Accelerated descriptor-free path sampling for protein-ligand binding kinetics
[NO] 671/1846 | Still image and spatial-temporal tomato data enabling detection, segmentation, tracking, and video-instance segmentation using strong and weak labels
[NO] 672/1846 | Fermion-doubling problem in Chiral discretizations of Quantum field theory: Definitive proof, Fixing, and Computation of two-point correlation function
[NO] 673/1846 | The Spine: A Supersingular Highway
[NO] 674/1846 | Atmospheric evolution through outgassing and escape on young molten rocky exoplanets
[NO] 675/1846 | Sulfur photochemistry observationally traces mantle redox states of rocky planets
[NO] 676/1846 | A Thermodynamically Consistent Manifold Model for Premixed Deflagrations & Detonations
[NO] 677/1846 | Equidistribution and the torsor method
[NO] 678/1846 | G$^2$SR: Geometric Methods for Fast and Memory-Efficient Gaussian-based Surface Reconstruction
[NO] 679/1846 | Perturbation Analysis of Maximal Quantum Leakage
[NO] 680/1846 | Fractional quantum ferroelectric control of spin-valley locking and valley Hall effects in altermagnetic monolayer Cr2S2
[NO] 681/1846 | Quantum correlations of tripartite mixed states in the black hole quantum atmosphere
[NO] 682/1846 | Interlayer sliding direction as a symmetry selector in altermagnetic bilayer Fe2WS4: Switchable anomalous Hall and anomalous valley Hall effects
