[2026-06-01 23:27:14] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-05-31
正在获取论文...
[ACM] 2026-6-1 | Poster: Data-Free One-Shot Federated Learning with Fixed Classifiers for LEO Constellations
[NO] 535/1000 | Smart grids on MV/LV Distribution: From Transformer Substation to Intelligent Energy Management Node
[NO] 536/1000 | Automated Pothole Detection for Smart Road Infrastructure Using YOLOv8s and Cross-Dataset Learning
[NO] 537/1000 | A High-Speed Omnidirectional Ceiling Mobile Robot Using a Synchronized Crawler-Hanging Mechanism
[NO] 538/1000 | DST-Planner: Diffusion-Augmented Sequential Topological Planning for Robotic Exploration in Complex Environments
[NO] 539/1000 | Defrag: Reducing Resource Fragmentation in Large-scale Heterogeneous GPU Clusters
[YES] 540/1000 | Feasibility Study of Programming Compliant Bimanual Tasks with Reasoning LLMs
[NO] 541/1000 | DTMOS-Based Third-Order Quadrature Ring Oscillator
[NO] 542/1000 | Verification of the Tightening of an Aluminium Flat Bar Using a Convolutional Neural Network
[NO] 543/1000 | An Ultra-Compact 64–98GHz Power-Combining Frequency Doubler with Magnetic-Enhanced Harmonic Reflectors
[NO] 544/1000 | A Caterpillar-Type Miniature Robot for Adaptive Locomotion and Exploration of Tiny Rigid/Soft Pipes_supp5-3697140.mp4
[NO] 545/1000 | Front cover
[NO] 546/1000 | AgriPred: An Image-Based Rice Disease Classification System with Inference-Time Text Assistance and Advisory Support
[NO] 547/1000 | Sequential Modulated Predictive Voltage Control of an
                    <i>LC</i>
                    -Filtered Neutral-Point Clamped Inverter With Reduced Computational Burden
[NO] 548/1000 | Reducing Pilots in Channel Estimation with Predictive Foundation Models
[NO] 549/1000 | LAPS: Improving Incremental LiDAR Mapping using Active Pooling and Sampling for Neural Distance Fields
[NO] 550/1000 | Spatial Clustering and Controlling Factors of Active Landslides in the Upper Yellow River: Insights from SBAS-InSAR and XGBoost–SHAP Modeling
[NO] 551/1000 | MRP-LLM: Multitask Reflective Large Language Models for Privacy-Preserving Next POI Recommendation
[NO] 552/1000 | VOGUE: A Multimodal Dataset for Conversational Recommendation in Fashion
[NO] 553/1000 | EdgeWisePersona: A Dataset for On-Device User Profiling from Natural Language Interactions
[NO] 554/1000 | MMGCF: Multimodal Graph Collaborative Filtering for Recommendation with Graph Convolutional Networks
[NO] 555/1000 | Eyes Can’t Always Tell: Fusing Eye Tracking and User Priors for User Modeling under AI Advice Conditions
[NO] 556/1000 | Demo: NunaPin: Automatic Scenario Recognition and Intent Extraction for Wearable Audio
[NO] 557/1000 | Scaling Mobile Agent Systems: From Capability Density to Collective Intelligence
[NO] 558/1000 | Breaker Page
[NO] 559/1000 | Halbach-Based Magnetic Configuration for Reduced Instrument Interference in Minimally Invasive Surgery
[NO] 560/1000 | Electromagnetic Field and Temperature Analyses of the Welding Transformer
[NO] 561/1000 | Advanced Real-time Contactless Human Heart Rate Detection with IR-UWB Radar in Multiperson Environment
[NO] 562/1000 | Deep Learning–Based Subtype Classification of Non-Hodgkin’s Lymphoma from Histopathological Images
[NO] 563/1000 | PerLiFuse: Per-Frequency Beta–Liouville Fusion Networks for Fake News Detection
[NO] 564/1000 | Power Supply Management Using Dynamic Logic Automatic Transfer Switch (ATS)
[NO] 565/1000 | Problems and Ways of Improving the Calculations of Overhead Power Lines
[NO] 566/1000 | Enhancing Federated Learning via Robust Client Behavior Eccentricity Analysis
[NO] 567/1000 | Frequency-selective beamforming and single-shot beam training with dynamic metasurface antennas
[NO] 568/1000 | PainFedMVL: A Federated Multi-View Learning Approach for Multi-Level Pain Recognition
[NO] 569/1000 | Automated Chunking of Clinical Video Interviews: A Case Study in Multimodal Suicide Risk Assessment
[NO] 570/1000 | Cross-household Transfer Learning Approach with LSTM-based Demand Forecasting
[NO] 571/1000 | FraudTransformer: Time-Aware GPT for Digital Payment Fraud Detection
[NO] 572/1000 | Utilizing WAMS Data for AI-Based Transmission System Operation and Control
[NO] 573/1000 | 2026 International Scientific Conference on Electric Power Engineering (EPE)
[NO] 574/1000 | Effect of annealing methods on structure and magnetism of Fe-N thin films
[NO] 575/1000 | A Reusable J48-Targeting Python Backend for scikit-learn Workflows: Differential Validation Against WEKA J48
[NO] 576/1000 | From Neural Endophenotypes to Secure Human–Machine Interaction: Identifying Empathy-Related Vulnerabilities from Resting-State qEEG using Deep Learning
                    <sup>*</sup>
[NO] 577/1000 | Automated Feature Engineering Meets Automated Machine Learning: An Empirical Evaluation for Cell Culture Process Monitoring
[NO] 578/1000 | Synthetic Craquelure Generation for Unsupervised Painting Restoration
[NO] 579/1000 | KARINA: Knowledge-Augmented Representation for Ingredient-level Nutrition Analysis from Food Images
[NO] 580/1000 | ASTFNet: An Adaptive Spatio-Temporal Fault Prediction Framework for Dynamic Edge Networks
[NO] 581/1000 | Spatial Temporal Self-Compensating Graph Convolutional Network for Skeleton-Based Action Recognition under Data Constraints
[NO] 582/1000 | Novel Alternating Dual Direction SCR for On-Chip ESD Protection of 58 V CAN Bus in Automotive Electronics
[NO] 583/1000 | An Online 3D Modeling Method Based on Skeleton-Guided Decomposition and Model-Driven Assembly
[NO] 584/1000 | Engineering Favorable Propagation: Near-Field IRS Deployment for Spatial Multiplexing
[NO] 585/1000 | Diffusion-based data augmentation for short-term multivariate energy prediction in data-scarce scenarios
[NO] 586/1000 | Back Cover Page
[NO] 587/1000 | 2026 International Symposium on Medical Robotics (ISMR)
[NO] 588/1000 | Home Sound Uroflowmetry as an Alternative to Conventional Uroflowmetry Using Convolutional Neural Networks
                    <sup>*</sup>
[NO] 589/1000 | Evolving Multimodal Models for Physical Dynamics: A Multi-objective Neuroevolution Approach
[NO] 590/1000 | Context-Aware Hybrid Neural Models for Low-Resource Bodo Language Named Entity Recognition
[NO] 591/1000 | IEEE Transactions on Circuits and Systems--I: Regular Papers Publication Information
[NO] 592/1000 | Concatenated Codes for Burst Insertion/Deletion Channels: Capacity Bounds and Detection Algorithm Design
[NO] 593/1000 | Impact of the Frequency Support Provided by Grid-Forming DFIG-Based Wind Turbine on Power System Ultra-Low Frequency Oscillation
[NO] 594/1000 | Adaptive Fuzzy Control for Nonlinear 5-DOF Tower Crane Systems with State Constraints
[NO] 595/1000 | A Two-Layer Malware Propagation Model with Cross-Diffusion and Its Optimal Control in UAV-Assisted IoV_supp1-3688535.pdf
[NO] 596/1000 | Hybrid meta-heuristic optimization for enhanced spam website detection using GWO-based feature selection and ACO-optimised XGBoost and Random forest
[YES] 597/1000 | Optimizing an IDE for an Evolving Language Ecosystem
[NO] 598/1000 | Identifying Misinformation Spreaders through Multi-Source User Modeling
[NO] 599/1000 | Towards Student Profiles for Personalized Social Comparison in Learning Interfaces
[NO] 600/1000 | Investigating Preference Elicitation Strategies in Conversational Recommender Systems
[NO] 601/1000 | Explanation Demand as a Trait, Not a State: Implications for User Modeling in Adaptive Systems
[NO] 602/1000 | Inferential and Causal Principles for Better Understanding Interactive Systems.
[NO] 603/1000 | ParaAdapt: Parametric User Modeling &amp; Adaptation for Navigating Complex Interactive Domains
[NO] 604/1000 | Towards Automated, Resilient, and Robust AIoT
[NO] 605/1000 | Poster: MicroMesh - A Zero-Configuration Educational Mesh Network for the BBC micro:bit
[NO] 606/1000 | Field-Validated Accelerometer-Based Tension Estimation for Overhead Distribution Lines
[NO] 607/1000 | Maintaining Stability in Renewable-Integrated Grids: The Vital Role of Frequency Support
[NO] 608/1000 | Transmitter Identification via Volterra Series Based Radio Frequency Fingerprint
[NO] 609/1000 | Current-State Opacity Verification in Petri Nets Using Fusion-Based Opacity Analysis and Graph Isomorphism Networks
[NO] 610/1000 | Accuracy of Quantifying Hypotension During Surgery Using Physiological Sensor Data_supp1-3698197.pdf
[NO] 611/1000 | AutoStress Benchmark: Evaluating Factors that influence Cross Dataset Generalizabilty in Stress Recognition
[NO] 612/1000 | Matrix Product States as a framework for efficient simulation of quantum kernel methods for classification
[NO] 613/1000 | WheelArm-Sim: A Manipulation and Navigation Combined Multimodal Synthetic Data Generation Simulator for Unified Control in Assistive Robotics
[NO] 614/1000 | Machine Learning-Assisted Simulation and Parameter Prediction System for Optoelectronic Oscillators
[NO] 615/1000 | Physically Guided Diffusion Framework With Neural Information Bottleneck Regulation for Robust Small Object Detection
[NO] 616/1000 | Design, Simulation, and Validation of a Self-Compensating ALTP Sensor for High-Speed Heat Flux Measurement
[NO] 617/1000 | Performance–Efficiency Tradeoff of Deep CNN Models for Brain Tumor MRI Classification on Edge Devices
[NO] 618/1000 | Exploratory Machine Learning Modeling of Cyanobacteria and Cyanotoxin Transport in the Raritan Basin of New Jersey
[NO] 619/1000 | High School and Undergraduate Students’ Integrative Thinking in Educational Robotics
[NO] 620/1000 | Remission of Torque Pulsations in Power System Using UPFC Including PI and Fuzzy Controllers
[NO] 621/1000 | Trajectory-Aware Deformable Transformer for Contextual Video Prediction
[NO] 622/1000 | A Distributed Cooperative Control for Islanded DC Microgrids Incorporating Time Delays
[NO] 623/1000 | SwiNNEt-Galaxy: Hierarchically Constrained and Rotation-Aware Hybrid CNN-Transformer for Galaxy Morphology Regression
[NO] 624/1000 | Quantum Möbius Transform via Block Encoding
[NO] 625/1000 | Development of the Methodology for Technical and Economic Justification of the Storage Batteries Selection for Electric Power Objects
[NO] 626/1000 | Using Unified Power Flow Controller to improve the KSA network performance with RES integration
[NO] 627/1000 | FedALL: Minimizing Variance of Partial Participation in Federated Learning
[NO] 628/1000 | Inside front cover
[NO] 629/1000 | From Interpretable Learning to Actionable Decisions: A Bounded Preference Neural Network for Multi-Attribute Optimization
[NO] 630/1000 | CTS-PLL: A Robust and Anytime Framework for Collaborative Task Sequencing and Multi-Agent Path Finding
[NO] 631/1000 | Appearance-Based Cyberbullying Detection in Dialectal Arabic: A New Gulf Body-Shaming Benchmark and MARBERTv2-based Classification Framework
[NO] 632/1000 | Performance-Based 3D Object Generation for Engineering under Limited Data
[NO] 633/1000 | Generalizable Machine Learning for Corporate Bankruptcy Prediction: An XGBoost-Based Framework
[NO] 634/1000 | Emotion-Aware Voice Monitoring: Mapping Continuous VAD to Operationally Interpretable Affect Levels
[NO] 635/1000 | Test Stand for Tentative Determination of Criterion Levels of Damage to Radio-Electronic Components Under the Influence of Powerful Pulses of Electromagnetic Energy
[NO] 636/1000 | Innovative Approaches to the Formation of Electricity Tariffs: Challenges and Opportunities for the Ukrainian Market
[NO] 637/1000 | Harmonization of Standards in the Field of Communication Networks and Systems for Automation of Electric Power Enterprises. Applied Modeling Approach
[NO] 638/1000 | Single-Layer Low-Profile Wideband Antenna Based on Non-Uniform Radiating Elements
[NO] 639/1000 | Predictive Beamforming and Resource Allocation for High-Mobility Cell-Free UAV Networks
[NO] 640/1000 | DiagConTA: Continual Test-Time Domain Adaptation for Industrial Fault Diagnosis Under Dynamic Working Conditions
[NO] 641/1000 | NMPC-Based Dual-Channel Resilience Against False Data Injection in Pursuit–Evasion Games of Autonomous Surface Vehicles
[NO] 642/1000 | Evaluating the Generalizability of Deep Learning Models for Acoustic Impedance across Diverse Process-based Sedimentary Stratigraphic Simulations
[NO] 643/1000 | Joint Optimized Supervised and Self-Supervised Embedding Learning for Legal Compliance in documents for Public Companies
[NO] 644/1000 | Sustainable Horizons: Energy Efficiency in B5G Space-Air-Ground Integrated Networks
[NO] 645/1000 | Get the MOST out of LEO Satellite Constellations Topology Design
[NO] 646/1000 | Unified Optimization of STAR-RIS-Assisted Uplink Multiple Access in Near- and Far-Field
[NO] 647/1000 | Poster: EdgeCitadel - Hybrid NATS-MQTT Orchestration for Edge Multi-Agent Systems
[NO] 648/1000 | Scaling LoRa to Massive IoT: A Physical Layer Approach
[NO] 649/1000 | Enabling Practical Full-Duplex Wireless: From Circuits to Software
[NO] 650/1000 | User Modelling and Adaptation in Immersive Preventive Health Interventions: A Systematic Review and Evidence Map
[NO] 651/1000 | From Understanding to Anchoring: Informal Caregivers' Mental Models of Generative Artificial Intelligence-based Conversational Agents for Problem-Solving
[NO] 652/1000 | The Stars Align: Modeling User Rating Calibration with Sparse Semantic Review Features
[NO] 653/1000 | Multi-Dimensional Evaluation of Sustainable City Trips with LLM-as-a-Judge and Human-in-the-Loop
[NO] 654/1000 | Contextual Risk-Driven Input Structuring for Probing (CRISP) at the DeepTest 2026 Tool Competition
[NO] 655/1000 | A Narrow-band Force Rebalance Control Method Based on a Band Pass Filter and Temperature Self Compensation for a MEMS Gyroscope
[NO] 656/1000 | A Survey on End-to-End Autonomous Driving Training From the Perspectives of Data, Strategy, and Platform
[NO] 657/1000 | DMT-CPP: A Delaunay-Graph-Based Framework for Real-Time Multi-Robot Online Target Coverage
[NO] 658/1000 | Pushing physical limits and uncovering motion templates of spine-based quadruped locomotion via reinforcement learning_supp7-3697171.mp4
[NO] 659/1000 | Evaluation of the Support Actions for Energy and Blue Economy Start-Ups
[NO] 660/1000 | Deep Neural Network and LLM-Based Decision Framework for Climate-Smart Tree Plantation Planning in Punjab, India
[NO] 661/1000 | A Compliant Force Control Strategy for On-Orbit Assembly: Design, Implementation, and Reinforcement Learning-Based Optimization
[NO] 662/1000 | LNeRV: Disentangled Latent Representation for Semantic-Aware Video Dynamics Modeling_supp1-3698339.pdf
[NO] 663/1000 | Rethinking the Global Knowledge of CLIP in Training-Free Open-Vocabulary Semantic Segmentation
[NO] 664/1000 | Fluid Antenna Systems Empowered Integrated Communication and Over-the-Air Computation
[NO] 665/1000 | Predicting high-resolution root-zone soil moisture using an analytical relationship between satellite-derived soil water content and soil properties for drought monitoring
[NO] 666/1000 | Towards a Novel Wearable Robotic Vest for Hemorrhage Suppression
[NO] 667/1000 | Optical Intelligent Reflecting Surface-Aided Visible Light Positioning via CRLB Optimization
[NO] 668/1000 | Demonstration of EOT Scaling in Si NSFETs Using Dead-Layer-Suppressed HfZrO
                    <sub>2</sub>
                    /ZrO
                    <sub>2</sub>
                    Stacks Near Morphotropic Phase Boundary
[NO] 669/1000 | A Novel DOA Estimation Algorithm for Directional Borehole Radar Based on the Subspace Method and Full-Wave Simulation
[NO] 670/1000 | Don’t Judge From a Single Perspective: LVLM-Based Multiview Multimodal Fake News Detection
[NO] 671/1000 | Determinants of Forecasting the Development of Renewable National Energy Industry of Ukraine
[NO] 672/1000 | Numerical Analysis of Quantum Bit Error Rate and Secure Key Rate under Realistic Communication Parameters
[NO] 673/1000 | An Optimization-Based Consensus Approach for Distributed Density Regulation of Swarms
[NO] 674/1000 | Voltage Vector Combination Sampling Method Using a Single Current Sensor for DTP-PMSM Six-Phase Current Reconstruction
[NO] 675/1000 | Design of Magnetic Continuum Robots with Tunable Force Response Using Rotational Ring Pairs
[NO] 676/1000 | Heat Learning and Rationale-Aware SSL: Boosting Recommender Systems with Residual Graph Transformers
[NO] 677/1000 | A Fast Algorithm for Matrix-Variable Triconvex Optimization with Application to Blind Image Deblurring
[NO] 678/1000 | High-Stability Grasp Pose Estimation Method for Unknown Objects Based on Hybrid Constraint Mechanism
[NO] 679/1000 | Development of a High-Precision Temporal Interference Stimulation System with Multi-Device Synchronization and Concurrent EEG
[NO] 680/1000 | Dynamic Temporal Attention Enhanced Multi-scale Hierarchical Network for Micro-expression Recognition
[NO] 681/1000 | OAMP-Aided Joint Channel Estimation and Data Detection for ODDM Systems
[NO] 682/1000 | Modeling of Synchronous Generators for Power Quality Analysis of Electrified Ship Propulsion Systems
[NO] 683/1000 | Learning to Select Like Humans: Explainable Active Learning for Medical Imaging
[NO] 684/1000 | Decoupled Current-Transformation Control Design for a Dual-Rotor PMSM Drive with Integrated Winding
[NO] 685/1000 | A Privacy and Security AR Framework for Consumer-Centric Digital Twins Supporting Digital Well-Being in Healthcare 5.0
[NO] 686/1000 | Deep Reinforcement Control for Precipitation Prediction and Cloud Seeding Decisions in Morocco and the Iberian Peninsula
[NO] 687/1000 | Assessment of the Reduction of Economic Losses From Faults in Medium Voltage Networks Due to the Installation of Devices for Determining the Location of a Single-Phase-To-Earth Fault
[NO] 688/1000 | Gender Fairness in Audio Deepfake Detection: Performance and Disparity Analysis
[NO] 689/1000 | MSCloudCAM: Multi-Scale Context Adaptation with Convolutional Cross-Attention for Multispectral Cloud Segmentation
[NO] 690/1000 | Peculiarities of Technical Operation of Ship's Unified Electric Power Systems
[NO] 691/1000 | In-Network Retransmissions for Encrypted Transport Protocols
[YES] 692/1000 | Proceedings of the 3rd ACM/IEEE International Workshop on Integrated Development Environments
[NO] 693/1000 | In-IDE Toolkit for Developers of AI-Based Features
[NO] 694/1000 | Virtual User Lab: An Interactive System for Simulating User Perspectives with AI Personas for Ideation and Evaluation
[NO] 695/1000 | Visual or Textual: Effects of Explanation Format and Personal Characteristics on the Perception of Explanations in an Educational Recommender System
[NO] 696/1000 | Transformer-Based Non-Sparse Wideband Monitoring
[NO] 697/1000 | Beyond the Black Box: Programmable AI and Explainable Text Analysis for Trustworthy Social Intelligence
[NO] 698/1000 | AI Adoption in Livestreaming Supply Chains: How to Outperform Humans?
[NO] 699/1000 | Computational-Efficient False Large-Scale Scene Generation against SAR Using Spatial-Domain Reconstruction and Approximate Compensation
[NO] 700/1000 | Finding Clarity in the Battle With Crohn’s Disease
[NO] 701/1000 | Toward Fair Federated Graph Learning
[NO] 702/1000 | A Distributed Spatio-Temporal Deep Q-Network for On-Demand Ridesharing
[NO] 703/1000 | Electrodynamic Boom-Based Attitude Stabilization for Slender Payloads in Partial Space Elevator Transport
[NO] 704/1000 | Mining Congestion Propagation Patterns in Urban Road Networks: A Reinforcement Learning Method
[NO] 705/1000 | A High-Performance Modular Linear Actuator With Enhanced Compensation of Cogging Torque and Friction_supp1-3687954.mp4
[NO] 706/1000 | Emotion Recognition in Driver-Centered ADAS: A Modular Vision-Based Approach for In-Cabin Monitoring
[NO] 707/1000 | R
                    <scp>AIN</scp>
                    : RDMA-assisted In-Network Scheduling for Microsecond-scale Workloads
[NO] 708/1000 | Dynamic Reconfigurations of Robot Categorization in Children Group Interaction
[NO] 709/1000 | A new early stopping proposal for efficient generative model inversion attacks
[NO] 710/1000 | PersoMoni: A Comprehensive Video-Based Benchmark Dataset for Fine-grained Personality Assessment with 15 Trait Dimensions
[NO] 711/1000 | FocusKG: A Novel Multimodal Knowledge Graph Dataset With Temporal Information for Link Prediction
[NO] 712/1000 | HIVE-6D: Hierarchical Visual-Tactile In-Hand Pose Estimation and Tracking
[NO] 713/1000 | Enhancing Self-Supervised Monocular Depth Estimation via Dual-Branch Local Distillation and Structural Priors
[NO] 714/1000 | A Hierarchical Framework for the Management of Carpooling Using Autonomous Vehicles
[NO] 715/1000 | Dual UAV-NOMA based Covert Communications: A Perspective on Spatio-Temporal-Energy Domain Cooperative Differentiation
[NO] 716/1000 | GPS-PPS Synchronized Ultrasonic Ranging for Low-Cost Compact Drone Swarms
[NO] 717/1000 | SAILS: Segment Anything with Incrementally Learned Semantics for Task-Invariant and Training-Free Continual Learning
[NO] 718/1000 | High-Accuracy Encoder-Based Position Control of DC Gearmotors Using a Low-Cost Embedded Platform
[NO] 719/1000 | Cs
                    <sub>2</sub>
                    AgBiBr
                    <sub>6</sub>
                    Perovskite Solar Cells: Insights from Absorber and Transport Layer Engineering
[NO] 720/1000 | AI-Enabled Smart Blind Stick Using Embedded Sensors: A Comprehensive Review
[NO] 721/1000 | Design of Termination Resistance-Adjusted Passive Equalizer for Low-Power and High-Speed Signaling
[NO] 722/1000 | What Should Physics Foundation Model Benchmarks Measure?
[NO] 723/1000 | Influence of Thermocouple Position and Design Cavities on Temperature Measurement and Heat Distribution during Induction Hardening
[YES] 724/1000 | From LLM Reasoning to Autonomous AI Agents: A Comprehensive Review
[NO] 725/1000 | An Open Simulation Platform for Team Training in Robotic Surgery
[NO] 726/1000 | Identifying Smartphone-Using Pedestrians on Railway Platforms via Deep Learning–Driven Point Cloud Data
[NO] 727/1000 | Predictive Model of Solar Power Plant Generation after Missile Attack
[NO] 728/1000 | Increasing the Energy Efficiency of the Heating System of Substances in Tanks
[NO] 729/1000 | Guest Editorial: Special Issue on Emotion AI and Sentiment Analysis in Social Systems
[NO] 730/1000 | From Robust Networks to AI-Ready Parcel Locker Systems: A Multilayer Perspective on Design, Demand and Resilience
[NO] 731/1000 | Tension-based Dynamic Control for Rope-Driven Robots under Edge Collisions
[NO] 732/1000 | Modeling Mind and Mood with CLAIRE: Neuro-Symbolic Meta-Cognition for Interpretable Emotion Recognition
[NO] 733/1000 | Robust Training of Large Language Models under Non-IID Data in Wireless Ad Hoc Federated Learning
[NO] 734/1000 | Training Data Influence on GPT Models: A Human-AI-Hybrid Analysis
[NO] 735/1000 | Cognitive Load as a Lens for Understanding AI-Augmented Workflows in Agile Teams
[NO] 736/1000 | Trustworthy Neurosurveillance at the Edge: MLLM-Augmented Anomaly Detection and Adversarial-Robust EEG Monitoring for Consumer-Grade Epilepsy Wearables
[NO] 737/1000 | BiIN-LPI: A Bi-directional Intention Network for Predicting lncRNA–Protein Interactions toward Personalized Biomedical Applications in Consumer Electronics
[NO] 738/1000 | A fitting algorithm for HTS cable measurement
[NO] 739/1000 | Poster: Going Beyond the Delegation Architecture of Low-power Wireless Communication
[NO] 740/1000 | Poster: SurakshaNet: Privacy-First, Edge-Deployed Multilingual Abusive Language Detection
[NO] 741/1000 | Poster: Accelerating Offloaded ViT Inference via Progressive Refinement
[NO] 742/1000 | Demo: LightGuard: Transparent WiFi Security via Physical-Layer LiFi Key Bootstrapping
[NO] 743/1000 | Ubiquitous Computational Spectroscopy: Bridging Lab-grade Spectroscopy to Everyday Devices
[NO] 744/1000 | "Voglia di": Supporting Food Choices Through Transient Cravings
[NO] 745/1000 | CAPTURE: A Visual–Conversational Dashboard for Supporting User-Driven Explanations in a Job–Candidate Matching Algorithm
[NO] 746/1000 | AI for active learners: Applying insights from the learning sciences and human-centered AI to educational contexts
[NO] 747/1000 | From emotional hooks to conspiratorial claims: A teen-focused game for reflecting on misinformation interactions
[NO] 748/1000 | What Do Your Eyes Reveal About Learning from Videos? A Dataset Demonstrating the Link Between Gaze Measures, Engagement, and Learning
[NO] 749/1000 | IEEE Transactions on Computational Social Systems Information for Authors
[NO] 750/1000 | Lightweight Machine Learning Models for Pneumonia Detection in Chest Radiographs
[NO] 751/1000 | Front Cover
[NO] 752/1000 | Blockchain-Enabled Machine Learning Framework for Reliable and Intelligent Solar Energy Systems
[YES] 753/1000 | Predictive Artificial Potential Fields for Energy Efficient 3D UAV Navigation
[NO] 754/1000 | Imaging Eyes in Motion: Dynamic Compensation with Robotic Optical Coherence Tomography
[NO] 755/1000 | SeqRisk: Transformer-augmented latent variable model for robust survival prediction with longitudinal data
[NO] 756/1000 | Facilitating Inter-Generational Communication through Virtual Reality: An Investigation of a Culturally Significant Topic (Xiqu)
[NO] 757/1000 | Modern Environmental Problems and Ways to Overcome Them
[NO] 758/1000 | Industry Corner Live With Adaptyx Co-Founder and CEO Vijit Sabnis
[NO] 759/1000 | Early Warning System for Inflation Risks: A Hybrid Forecasting Framework Integrating Triple Exponential Smoothing with GARCH Models for Monetary Policy
[NO] 760/1000 | Reliability of Inverter-Dominated Power Systems: Risks and Mitigation Strategies
[NO] 761/1000 | TrustSearch: Towards Secure and Efficient Reverse Image Search via SGX
[NO] 762/1000 | Back cover
[NO] 763/1000 | Channel-Selected Stratified Nested Cross-Validation for Clinically Relevant EEG-Based Parkinson’s Disease Detection
[NO] 764/1000 | Analysing renewable energy forecasts in smart grids: motivation, challenges, and the road ahead
[NO] 765/1000 | Optimal Design of Efficient Load Frequency Controller for Islanded Microgrid
[NO] 766/1000 | Optimal Energy Management for a Car-Sharing Operator using Clustering Techniques
[NO] 767/1000 | On the Resilience of Direction-Shift Keying Against Phase Noise and Short Channel Coherence Time at mmWave Frequencies
[NO] 768/1000 | QRS Complex Detection Using Machine Learning Approaches: A Survey on Methods, Datasets and Challenges
[NO] 769/1000 | Parameter-agnostic Privacy-preserving Machine Unlearning for Large Language Models
[NO] 770/1000 | Memory-Enhanced Dynamic Self-Attention Communication Mechanism for Multi-UAV Base Stations Trajectory Planning
[NO] 771/1000 | Congruent kinesthetic and tactile haptic rendering accelerates the learning of highly dynamic virtual sensorimotor tasks
[NO] 772/1000 | Hazard-Gated Temporal Transformers for Real-Time Risk Control
[NO] 773/1000 | Heuristic Approaches for Cache Node Placement in Content-Centric Networking under Maximum Link Traffic Minimization
[NO] 774/1000 | Advanced Load Modelling of Electric Vehicles: Static and Dynamic Behavior in Modern Power Grids
[NO] 775/1000 | Deep Learning Approaches for Sustainable Road Safety and Hazard Management : A Comprehensive Review
[NO] 776/1000 | E-Commerce Transaction Fraud Detection Using GNN-Based Feature Embedding and Machine Learning Methods
[NO] 777/1000 | Two-Phase Immersion Cooling for Short-Duration High-Power Electric Motors
[NO] 778/1000 | Towards Efficient Intrusion Detection: Feature Selection in Multiclass CNNs with Numerical Inputs
[NO] 779/1000 | IEEE Transactions on Evolutionary Computation Publication Information
[NO] 780/1000 | Spiking vs. Artificial Neural Networks for Lung Sliding Detection in E-FAST: A Capacity-Matched Low-Data Benchmark*
[NO] 781/1000 | Enhancing Explainable AI for Medical Imaging: Improved LIME Interpretation with Influence Mapping
[NO] 782/1000 | Optimized Scheduling of DAG Tasks on Heterogeneous Multi-Core Platforms with Reliability-Aware Multi-Objective Differential Evolution
[NO] 783/1000 | Autonomous Control for LEO Multi-Satellite Systems via Orbital Edge Computing and Multi-Agent Learning
[NO] 784/1000 | Spectral Extension of Hyperspectral Images with Convolutional Sparse Representation
[NO] 785/1000 | Pushing physical limits and uncovering motion templates of spine-based quadruped locomotion via reinforcement learning_supp2-3697171.mp4
[NO] 786/1000 | Longitudinal Dynamics Modeling and Control of a Wheel-Legged Robot with Tilting Rotor Assistance
[NO] 787/1000 | Automatically Construct Hard Unit Commitment Datasets via Data-Driven Adjustment of Demand Curve
[NO] 788/1000 | Multirotor UAVs Transporting Cable-Suspended Loads: A Literature Review
[NO] 789/1000 | Mid-infrared germanium-on-silicon waveguide sensor for therapeutic drug monitoring of phenytoin
[NO] 790/1000 | Smart Self-Learning Reconfiguration for Partially Shaded PV Arrays
[NO] 791/1000 | Scaling Up Multi-Agent Reinforcement Learning for Large Agent Teams and Long-Horizon Tasks: A Survey
[NO] 792/1000 | Less is More: Optimizing Probe Selection Using Shared Latency Anomalies
[NO] 793/1000 | It's Alive! What a Live Object Environment Changes in Software Engineering Practice
[YES] 794/1000 | Environment-in-the-Loop: Rethinking Code Migration with LLM-based Agents
[NO] 795/1000 | Model-Driven Legacy System Modernization at Scale
[NO] 796/1000 | Proto-ML: An IDE for ML Solution Prototyping
[NO] 797/1000 | OmniSim: A LLM-Powered Open-Source Simulator for Generating Personalized and Adaptive Conversational Recommendation Dialogues
[NO] 798/1000 | Causal Reasoning Augmented Agents for Adaptive and Explainable Knowledge Retrieval
[NO] 799/1000 | Language Embeddings Meet Shallow Autoencoders
[NO] 800/1000 | From Labels to Context: Context-Sensitive User Modeling of Affect with Large Language Models
[NO] 801/1000 | System Support for Reliable Edge Computing under Intermittent Energy
[NO] 802/1000 | Multi-Agent Systems: From Classical Paradigms to Large Foundation Model-Enabled Futures
[NO] 803/1000 | An Orchestration System for Digital Twin Trustworthiness in Industrial Environments
[NO] 804/1000 | Soft-Switching Bidirectional Converter for Electric Vehicle Power Interfaces
[NO] 805/1000 | AttFKAN-DEQ: Attention-Enhanced Fourier Kolmogorov-Arnold Networks Using Deep Equilibrium for Breast Cancer Histopathology Classification
[NO] 806/1000 | DMOC: A Differentiable Model of Optical Camera for High-Accuracy Calibration Under a Fixed Reference Frame
[NO] 807/1000 | Research on Energy Efficient Collaborative Control Method of Autonomous Consistency for Urban Rail Trains
[NO] 808/1000 | Adaptive Extended Autocorrelation Method for Ultrasound Doppler Velocimetry
