[2026-07-18 22:50:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-17
正在获取论文...
[ACM] 2026-7-17 | Holmes: Multimodal Agentic Diagnosis for Mixed-Language Mobile Crashes at Industrial Scale
[NO] 593/1000 | ELNANO 2026 TOC
[NO] 594/1000 | AHRL-PM: Asynchronous Hierarchical Reinforcement Learning Framework for Enhanced Portfolio Management
[NO] 595/1000 | Online Nonlinear Black-box Modeling of DC-DC Converters Using Multiple Local Wiener-Hammerstein Models
[NO] 596/1000 | A Resonant Capacitor-Less Parallel Resonant DC-Link Soft-Switching Inverter
[NO] 597/1000 | Beyond EBL 2025: Introducing the SouthStar Challenge [Empower a Billion Lives]
[NO] 598/1000 | WiSER-X: Wireless Signal-Based Decentralized Multi-Robot Exploration Without Explicit Information Exchange_supp4-3711857.mp4
[NO] 599/1000 | State-Space Time Series Modeling of Long-Term River Flow and Precipitation Trends across Chile (19102015)
[NO] 600/1000 | Enhancing the Voltage Profile and Net Profit of Reconfigured Distribution Networks with the Optimal Integration of EVCS and Capacitor Banks with Chaotic HBA
[NO] 601/1000 | Ontologies in Hearing Impairment
[NO] 602/1000 | A Quasi-LPV Dynamic Output Feedback Stabilizer for Nonlinear Descriptor Systems via Convex Optimization Techniques
[NO] 603/1000 | Privacy Assurance Levels for EUDI Wallets
[NO] 604/1000 | Corrosion Reliability of SnBiAg-xTiO
                    <sub>2</sub>
                    Low-Temperature Composite Solder Joints
[NO] 605/1000 | Method for Measurement Reactive Parameters of Two-Terminal Components with Self-Tuning to a Measuring Value
[NO] 606/1000 | Parametric Identification of Resistive-Reactive Two-Terminal Component Model Using Exponential Excitation
[NO] 607/1000 | Solar Water Heating and Storage through Flat Plate Solar Collectors under Tropical Conditions. A Parametric Study
[NO] 608/1000 | Optimizing WhisperX and Pyannote Integration for Emotional Speech Diarization
[NO] 609/1000 | Fetalinsight: a Multi-Scale Attention-Based Deep Learning Framework for Automated Fetal Health Classification
[NO] 610/1000 | Real-Time Detection of Obfuscated Ransomware Using Optimized Machine Learning for Critical Systems
[NO] 611/1000 | EgyM
                    <sup>3</sup>
                    AV: An Egyptian Dataset of Academic Lectures for Cross-Modal Understanding
[NO] 612/1000 | FIRCE: A Framework for Intrusion Response and Conformal Evaluation
[NO] 613/1000 | Offline Multimodal Learning Systems for Inclusive Child-Computer Interaction: Design and Expert-Based Evaluation in Primary Education
[NO] 614/1000 | Measurement-Driven O-RAN Diagnostics with Tail Latency and Scheduler Indicators
[NO] 615/1000 | CareNav: A Multimodal Framework for Linguistic and Spatial Healthcare Access
[NO] 616/1000 | Voice Augmented Ultrasonic Vibration driven fluidity improvement in sand Casting process
[NO] 617/1000 | Simple and Robust Artificial Neural Network-Based Control for Bidirectional DC-DC Converter in Electric Vehicle Charging System
[NO] 618/1000 | Breath Sensors Based on Modified Silicon Nanowire Array for Human Health Monitoring
[NO] 619/1000 | Reducing Post-Quantum Cryptography Overhead in IoT Networks Using an Epoch-Based Compression Approach
[NO] 620/1000 | End-to-End Framework for Real-Time Drone Detection and Alerting Using Lightweight Deep Learning
[NO] 621/1000 | Federated Multi Media Data Driven Approach for Early Diagnosis of Cardio Vascular Disease Prediction
[NO] 622/1000 | ESP32-Based Edge Mesh: A Resilient Framework for Smart-City IoT
[NO] 623/1000 | Performance Analysis and Harmonic Mitigation of a Grid-Connected Three-Phase UPS Inverter Using SPWM and LC Filter in MATLAB/Simulink
[NO] 624/1000 | A Federated Learning Based Intrusion Detection Method with Multi-Scale Parallel Convolution and Adaptive Soft Prediction Clustering using FedMPC-IDS
[NO] 625/1000 | A Periodic Slow-Wave Microstrip Structure for High-Resolution Microwave Sensing Applications
[NO] 626/1000 | A Marine Vessel Drift Prediction and Trajectory Reconstruction System Using AIS and SAR Data
[NO] 627/1000 | Performance Prediction of RPL-based Healthcare Monitoring System: A Machine Learning Approach
[NO] 628/1000 | Scalable Distributed Query Processing Using Smart Contracts
[NO] 629/1000 | 3D Printed Circuit Boards from Recycled Plastics: Reliability Testing
[NO] 630/1000 | Networked Control Smart Greenhouse with Predictive Climate Control for Remote Precision Farming
[NO] 631/1000 | Quantum Optimized Intrusion Detection Framework using Grover's Algorithm for Secure AI-Driven Smart City Networks
[NO] 632/1000 | Optimization of PDMS Based Passive Daytime Radiative Cooling Materials Using Genetic Algorithms
[NO] 633/1000 | Hydrothermal Synthesis and Characterization of CeO
                    <sub>2</sub>
                    /graphite/Co
                    <sub>0.5</sub>
                    Ni
                    <sub>0.5</sub>
                    Fe
                    <sub>2</sub>
                    O
                    <sub>4</sub>
                    Composite for Tuning Microwave Absorption Performance
[NO] 634/1000 | Agri Prognosis: An Integration of IoT and ML for Crop-Recommendation
[NO] 635/1000 | Generating Realistic and Structured IoT Network Traffic Data with AMC-GAN
[NO] 636/1000 | Optimization of Construction Project Scheduling Using Genetic Algorithms
[NO] 637/1000 | Energy-Efficient Dual-Band Communication: How to Allocate Traffic to Sub-THz Carriers?
[NO] 638/1000 | TransMINLP: A Bi-Level Dynamic Scheduling Framework for Urban Carbon Footprint Mitigation
[NO] 639/1000 | A Multi-Source Data Fusion Model for Assessing the Value of  Marine Cultural Heritage
[NO] 640/1000 | Assessment of River and Lake Health and Evaluation of Influencing Factors: A Case Study of the Smart River Chief System
[NO] 641/1000 | Coordinated Deception: Generative Agents for Multi-Agent Fake News Generation
[NO] 642/1000 | Can LLMs Keep Up? Evaluating Phishing Detection on Telegram
[NO] 643/1000 | From Perception to Cognition: How Latency Affects Interaction Fluency and Social Presence in VR Conferencing
[NO] 644/1000 | <i>TriCooling-CAT</i>
                    : A
                    <u>C</u>
                    arbon
                    <u>A</u>
                    nalysis
                    <u>T</u>
                    oolkit for SoC-Cluster Micro AI Data Center Design
[NO] 645/1000 | EncFormer: Secure and Efficient Transformer Inference over Encrypted Data
[NO] 646/1000 | INSIM-N: A Numerical Transport-Based Interwell Flow Simulator
[NO] 647/1000 | Sequential Detection of Atmospheric Anomalies on Constant-Modulus Optical Inter-Satellite Links via Sparse-plus-Smooth Channel Decomposition
[NO] 648/1000 | 2026 4th Cognitive Models and Artificial Intelligence Conference (AICCONF)
[NO] 649/1000 | 2026 International Conference on Artificial Intelligence and Materials (ICAIM)
[NO] 650/1000 | Real-Time Cyberbullying Detection Using Dynamic and Edge-Enhanced Graph Neural Networks
[NO] 651/1000 | Is Dielectric (Breakdown) Research at a Crossroad? Its Impact on Technology Innovation
[NO] 652/1000 | DSPose: Decoupled Real-Time Pose Estimation from Semantic-RGB Radiance Rays_supp1-3713498.mp4
[NO] 653/1000 | Linearly Solving Robust Rotation Estimation_supp1-3707470.pdf
[NO] 654/1000 | Performance Analysis of VLC Systems Over Random Channels With Signal-Dependent Shot Noise and Relative Intensity Noise
[NO] 655/1000 | AICCONF 2026 Copyright Notice Page
[NO] 656/1000 | Connecting Contemporary Industry and Society with Cultural Heritage Through Semantic Tools for Searching and Visualizing the Content of an Archive that Preserves the Valencian Design Legacy
[NO] 657/1000 | On-Device AI for Mold Detection: Supporting Food Safety for the Visually Impaired People
[NO] 658/1000 | Model Context Protocol (MCP) and Agent-to-Agent (A2A) Protocol for Scalable Agentic AI Systems
[NO] 659/1000 | Logistics Delay Prediction Using Graph Attention Networks and KNN - Based Graph Learning
[NO] 660/1000 | A Blockchain-Based Framework for Tamper-Evident Result Collation in Nigerian Elections
[NO] 661/1000 | Hyperspectral Spectral-Spatial Attention Network (HSSAN): A Novel Deep Learning Approach for Hyperspectral Image Classification
[NO] 662/1000 | On the Negative Differential Capacitance in DNA
[YES] 663/1000 | Impact of Layout Parasitics on a Multi-Branch Current Source
[NO] 664/1000 | A Multi-scale Frequency Spectrum Kernel for Temperature Time Series Anomaly Detection
[NO] 665/1000 | Design and Analysis of a 250 W Multiplier SEPIC Converter with PI Feedback Control
[YES] 666/1000 | Disrupting the Cyber Kill Chain: High-Accuracy Static Malware Detection Using Extreme Gradient Boosting
[NO] 667/1000 | MCS Framework: The Impact of Motivation on Cybersecurity Competence
[NO] 668/1000 | Effect of Copper Slag on the Drying Shrinkage of Concrete and Intelligent Fitting of a Modified Shrinkage Model Using Nonlinear Least Squares
[NO] 669/1000 | AdaMamba: A Mamba-Based Dual-Branch Adaptive Framework for Multivariate Time-Series Forecasting
[NO] 670/1000 | AI-Based Energy Management and Demand Forecasting for Smart Grids with High Renewable Penetration
[NO] 671/1000 | Performance Aware Adaptive Hybrid ARQ for Cross-Layer Optimization in Cognitive Radio
[NO] 672/1000 | Parametric Analysis of Reflecting Intelligent Surface Unit Cells
[NO] 673/1000 | Occlusion-Aware I/Q-Domain Decomposition of Human Micro-Doppler Returns Using a Multi-Task Deep Learning Network
[NO] 674/1000 | Real-Time Social Distancing Monitoring with CLAHE-Enhanced YOLOv8 Detection
[NO] 675/1000 | Anomaly Detection in the Health Monitoring of Satellites Using Machine Learning Techniques
[NO] 676/1000 | Tunable Scattering and Absorption by Graphene-Strip-Loaded Dielectric Cylinder Under Magnetic Line Source Excitation
[NO] 677/1000 | Evaluating the impact of water-repellent Rockwool on enhancing the energy performance of Veneer brick walls
[NO] 678/1000 | Localization at Smart Cities with Dense Environment: An Optimum Anchor Selection
[NO] 679/1000 | Data-Driven Modeling of Antibacterial Performance in Metal-Based Alloys
[NO] 680/1000 | Novel Methodology: Cross-Modal Diffusion with Transformer Encoding
[NO] 681/1000 | CyberPanel: A Distributed Insider Threat Detection System with Integrated GRC Framework
[NO] 682/1000 | Adaptive Homomorphic Encryption-Based Tensor Factorization for Edge-Enabled Privacy-Preserving Systems
[NO] 683/1000 | Blockchain-Enabled Centralized Key Management System for Internet of Health Things Networks
[NO] 684/1000 | TextQ-Melody: Semantically-Conditioned Quantum Variational Circuits for Text-to-Melody Generation
[NO] 685/1000 | Benchmarking Data Efficiency: Vision Language Models Versus Supervised Object Detection In Industrial Inspection
[NO] 686/1000 | ECSNet: Efficient Cross-Attentive Swin Network for Magnification-Independent Multiclass Breast Cancer Histopathology Classification
[NO] 687/1000 | Prediction of Concrete Freeze-Thaw Durability Based on Automated Machine Learning
[NO] 688/1000 | Towards Automated Test Adaptation in Fork Ecosystems via Large Language Models
[YES] 689/1000 | The Role of LLMs in Collaborative Software Design
[NO] 690/1000 | Treating Run-time Execution History as a First-Class Citizen: Co-Versioning Run-time Behavior alongside Code
[NO] 691/1000 | TSGen: Automated Troubleshooting Guide Generation
[YES] 692/1000 | A Log-Centric Overlay on Method Call Graphs
[YES] 693/1000 | Shark2Pit: Automated Test Template Generation for Protocol Fuzzing Based on Packet Parser
[YES] 694/1000 | Evolution but Still Exposed: An Empirical Study of Residual APIs in the ChatGPT Plugin Ecosystem
[YES] 695/1000 | Code Reviewer Recommendation for High Risk Diffs at Scale: Workflow, Recommender, and Live Experiments
[YES] 696/1000 | RIDER: Evolutionary Prompt Optimization with Adaptive Operator Selection for Software Engineering
[NO] 697/1000 | Domain Diversity, Motivation, Inclusion, and Feedback in Software Modelling Education
[YES] 698/1000 | Benchmarking MCP Vulnerability Detection from a Paired Evaluation Perspective
[YES] 699/1000 | Declarative Test-Native Software Fault Injection
[NO] 700/1000 | Machine Learning in the Wild: Early Evidence of Non-Compliant ML-Automation in Open-Source Software
[YES] 701/1000 | LLM-Assisted Repository-Level Generation with Structured Spec-Driven Engineering
[NO] 702/1000 | Measuring Spatial Spillover Effects of Regional Innovation Efficiency Using an Enhanced Graph Attention Network on Provincial Panel Data
[NO] 703/1000 | Intelligent Monitoring and Integrated Control Framework for Urban Underground Pipeline Construction Risk: Numerical Investigation and Field Validation in Complex Geological Conditions
[NO] 704/1000 | Cross-Language Teaching Paradigm Transfer with Multi-Platform Data Mining for Spanish Intelligent Tutoring: A Domain-Adaptive Approach
[NO] 705/1000 | (In)Comprehensible Input and Explicit Instruction: A New Model for Programming Language Acquisition
[YES] 706/1000 | IDPVerifier: Verifying Interrupt-driven Programs Efficiently via Heuristic and Reduced Partial-order Constraints
[YES] 707/1000 | PyMOP: A Runtime Verification Tool for Python
[NO] 708/1000 | Eagle: Leveraging Operations Documents for Comprehensive Benchmark Question Generation
[NO] 709/1000 | Keeping Humans in the Driver’s Seat: A Conceptual Framework for GenAI and Competence Debt
[NO] 710/1000 | LLM Use, Cheating, and Academic Integrity in Software Engineering Education
[YES] 711/1000 | Reliable and Developer-Aligned Evaluation of Agents for Software Engineering
[NO] 712/1000 | Agile Manifesto at Play: Lessons Learned from Student Game Design Teams
[YES] 713/1000 | Mitigating Implicit Inconsistencies in Patch Porting
[NO] 714/1000 | TraceSynth: Generating Production-Quality Kernel Traces with Constraint-Guided Diffusion Models
[NO] 715/1000 | An Agentic Framework for Triaging Incidents in Production Cloud Infrastructure
[NO] 716/1000 | Democratizing Legal Requirements for Context-Aware Software Systems
[NO] 717/1000 | JSProtect: A Scalable Obfuscation Framework for Mini-Games in WeChat
[NO] 718/1000 | OpenMvL: An Attribute-Inspired Dual-Head Framework for Open-Set Multiview Learning
[NO] 719/1000 | ARDVC: Eliminating Semantic Redundancy via Action Retrieval in Dense Video Captioning
[NO] 720/1000 | A Lightweight Geometric Consistency Enhancement for One-Stage Architectural Line Segment Detection
[NO] 721/1000 | Long-Sequence Lower Limb Action Recognition via Action-Specific Attention and Logic Correction for Daily Rehabilitation_supp1-3713524.mp4
[NO] 722/1000 | Multi-Scan Multiple Target Tracking Based on a Node Ranking Message Passing Method
[NO] 723/1000 | Semantic Communication Frameworks for Autonomous Vehicles
[NO] 724/1000 | A unified multimodal time-domain analytical method for power system traveling waves
[NO] 725/1000 | Satellite imagery super-resolution using GANs and aerial images
[NO] 726/1000 | Table of Contents
[NO] 727/1000 | PCSA-UNet: A U-Net with Physiologically Constrained Sparse Attention for Fetal R-Peak Detection
[NO] 728/1000 | An Efficient, Secure, and Privacy-Preserving Communication Protocol for Drone-Assisted Disaster Management in Smart Cities
[NO] 729/1000 | An Extendable Wideband Band-Divided SP
                    <i>n</i>
                    T Switch Topology Based on a Reconfigurable Pole-to-Throw Network
[NO] 730/1000 | 2026 7th International Conference on Communications, Signal Processing, and their Applications (ICCSPA)
[NO] 731/1000 | Node-Centric Systematic Testing for Distributed Systems
[YES] 732/1000 | Cross-Project Bug Severity Prediction Using TF-IDF and Classical Machine Learning Models
[NO] 733/1000 | Real-Time Smart City Decision and Resource Optimization Using 5G-Enabled ML and IoT
[NO] 734/1000 | Bibliometric Analysis of the Mechanical Property of Doped 3D Printed Materials
[NO] 735/1000 | Signal Analysis for Data-Driven Neurocritical Monitoring
[NO] 736/1000 | Dual Denoising Diffusion for Reliable and Adversarially Robust 6G MIMO Channel Estimation
[NO] 737/1000 | Finite Element Simulation of Stress Relaxation in Fe- and Co- Nanoparticle Doped Sn-3.5Ag Solder Joints
[NO] 738/1000 | When Knowledge Centres Think: The Role of AI in Shaping Participatory Cultural Spaces
[NO] 739/1000 | Experimental Validation of the H-Field Distribution Above a Planar Coil
[NO] 740/1000 | Real Time Emotion Recognition Using Edge AI and Wearable Devices
[NO] 741/1000 | Asymmetric Angular Resilience in Near-Field Sub-THz Links: An Experimental Study at 300 GHz
[NO] 742/1000 | A Sustainable AI-Enabled Predictive Maintenance Framework for Smart Industrial Systems Using Industrial IoT Data
[NO] 743/1000 | Blockchain Framework for Digital Certificates in Egyptian SMEs
[NO] 744/1000 | Challenges to the Implementation of Agriculture 5.0: Using a Dematel Model
[NO] 745/1000 | Voice-Based Intelligent Assistant Using Model Context Protocol (MCP)
[NO] 746/1000 | Thermo-electrical Stress Influence over the Reliability of GaN HEMTs
[NO] 747/1000 | Explainable Multi-Objective Optimization Reinforcement Learning for Privacy-Utility Tradeoff Management in IoT Systems
[NO] 748/1000 | BEAF: Blockchain-Enabled Accountability Framework for High-Assurance Clinical AI
[YES] 749/1000 | The Reasoning Gap in Automated Vulnerability Detection: A Comprehensive Benchmark of LLMs, SAST, DAST, and Graph-Based Approaches
[NO] 750/1000 | Explainable AI for Emotion-Aware Humancomputer Interaction Systems
[NO] 751/1000 | Synthesis and Characterization of TiO
                    <sub>2</sub>
                    Nanoparticles for Efficient UV-Protective Coatings
[NO] 752/1000 | Concrete Compressive Strength Prediction for Civil Engineering Applications Using Ensemble Machine Learning Models
[NO] 753/1000 | Performance Analysis of Machine Learning Algorithms for Air Quality Index (AQI) Estimation
[NO] 754/1000 | Measurement-Based Spectrum Utilization Analysis of the 400–900 MHz Band in the Philippines
[NO] 755/1000 | Embedded Electronics Demonstrators on Wool-Reinforced, Sustainable, Biodegradable PLA-based Printed Circuit Boards
[NO] 756/1000 | Similarity-Based Bike Station Expansion via Hybrid Denoising Autoencoders
[NO] 757/1000 | Hermetic Swarm Zero Trust: Dual-Plane Authorization and Assurance for Thinking Swarms
[NO] 758/1000 | A Hybrid Learning Module in Power Electronics within Dual Higher Education
[NO] 759/1000 | Hybrid 5G Terrestrial and Non-Terrestrial Network System for Vehicle-to-Everything Applications
[NO] 760/1000 | Ultra-Narrow Band Conventional and Inverse Polarizer Regimes of Graphene Strip-on-Substrate Grating in the Lattice-Mode Resonances
[NO] 761/1000 | Textile Surface Defect Detection under Low False-Alarm Constraints: CNNs and PaDiM
[NO] 762/1000 | Smart Cyber Learning: A Multi-Agent, AI-Driven Gamified Platform for Cybersecurity Awareness Education
[NO] 763/1000 | DeltaTI: Threat Intelligence Aggregation Platform
[NO] 764/1000 | Hybrid GAn-Based Low-Latency Compression Technique for 6G Communication
[NO] 765/1000 | Geospatial Analysis for Optimizing Emergency Ambulance Response to Road Accidents in Bahrain
[NO] 766/1000 | Benford's Law as a Forensic Tool for Identifying Anomalous Chat Behavior in Instant Messaging Data
[NO] 767/1000 | Malicious Phishing Domains Detection using Graph Neural Networks
[NO] 768/1000 | From Raw Sensor Signals to Calibrated Observables: End-to-End Data Pipelines and Statistical Modeling for Large-Scale Time-Series Analysis
[NO] 769/1000 | Auto-Detecting for PCB Defects Based on YOLOv13
[NO] 770/1000 | Rail Fence Cipher With Hash for Secure University Communication
[NO] 771/1000 | Hardware Implementation of Hybrid Mesh Network Prototype for Smart Metering
[NO] 772/1000 | Localization of Systolic and Diastolic Sounds in a Phonocardiogram using the Sliding Quantile for Threshold Filtering of the Signal
[NO] 773/1000 | Study of Impulse Properties of Indium Antimonide at Strong Electric Fields
[NO] 774/1000 | Aging-Aware Receiver Design Using Machine Learning
[NO] 775/1000 | A Smart Healthcare Monitoring System for Dementia Patients Using Raspberry Pi and IoT
[NO] 776/1000 | Classification of Respiratory Sounds by Respiratory System Condition Using Open-Access Databases
[NO] 777/1000 | MultiModal Emotion Detection
[NO] 778/1000 | Technology based Assessment of Workplace Biomechanical Risk: A Roadmap for Process Improvement
[NO] 779/1000 | Machine Learning Algorithms in Predicting Multi-Diseases
[NO] 780/1000 | Hybrid Force Directed and Simulated Annealing Algorithm with Overlap Ratio Adaptive Forces for Annotation Layout in Railway Subgrade Drawings
[NO] 781/1000 | Urban Health Check-Up: A Five-Dimensional Diagnostic Framework for City Sustainability Assessment with Interpretable Machine Learning
[NO] 782/1000 | An Engineering and Predictive-Validation Framework for Digital Twin-Based Immersive Canal Heritage Systems
[YES] 783/1000 | An Analytical Placement Framework for Advanced Hybrid-Row-Height Circuit Designs
[NO] 784/1000 | BMDC-SS: A Blockchain-based Museum Digital Collections Secure Sharing Scheme with Attribute-Based Searchable Encryption
[NO] 785/1000 | SPARK: Secure Predictive Autoscaling for Robust Kubernetes
[YES] 786/1000 | Stop the Retrieval Thrash: Brain-Guided Episodic Memory for Repository-Scale Coding Agents
[NO] 787/1000 | Technical Briefing on Beyond A/B Testing - Orthogonal and Experimental Designs
[NO] 788/1000 | ScalerEval: Automated and Consistent Evaluation Testbed for Auto-scalers in Microservices
[NO] 789/1000 | Enabling Security Champions With Breakout Action Groups (BAGs) – A Longitudinal Case Study
[NO] 790/1000 | Practical Feasibility of Sustainable Software Engineering Tools and Techniques
[NO] 791/1000 | Sustainable AI Assistance Through Digital Sobriety
[YES] 792/1000 | Monitoring and Diagnosing Software Energy
[NO] 793/1000 | Orthogonal View-Driven Stereoscopic Spatial Distillation for Low-Beam LiDAR 3-D Object Detection
[NO] 794/1000 | ICCSPA 2026 Cover Page
[NO] 795/1000 | WiSER-X: Wireless Signal-Based Decentralized Multi-Robot Exploration Without Explicit Information Exchange_supp2-3711857.mp4
[NO] 796/1000 | Dynamic Resource Allocation for RIS-Assisted Full-Duplex ISAC via Hybrid Lagrangian-DRL Approach
[NO] 797/1000 | StellarGCN: A Star Identification Method Based on Graph Neural Network
[NO] 798/1000 | An Adaptive Mode Selection and Field Reconstruction Method for Multimode Propagation in Evaporation Ducts
[NO] 799/1000 | A Novel Simplified Embedded FEM-DDM for Electromagnetic Scattering
[NO] 800/1000 | 2026 International Conference on Smart Applications, Communications and Networking (SmartNets)
[NO] 801/1000 | Identifying Cancer Driver Genes Based on Vision Transformer and Hierarchical Feature Fusion Module
[NO] 802/1000 | HyperInfer: Accelerating Large Language Model Inference via Importance-Informed Prefix-KV Caching and Prefetching
[NO] 803/1000 | LearnTrack: Learning-based Uncertainty Modeling for Kalman Filter Optimization in LiDAR-Based Multi-Object Tracking
[NO] 804/1000 | Edge-Cloud Collaborative Scheduling for Efficient Lane-Changing of Unmanned Vehicles in Large-Scale Traffic Scenarios
[NO] 805/1000 | TwinChain: Secure Digital Twin–Driven Edge Offloading for Real-Time Consumer IoT Applications
[NO] 806/1000 | Data-Driven Fault-Tolerant Control of Grid-Tied Multilevel PEC Inverter Using Soft Reinforcement Learning Under Switching-Level Transition
[NO] 807/1000 | Wideband Near-Field Velocity Estimation for Terahertz Systems with Sparse Arrays: A Tensor-Based Analytical Approach
[NO] 808/1000 | A Planar Transformer Design Approach Based on Optimal PCB Winding Arrangements for PV-BESS Application
[NO] 809/1000 | Diffusion-Based Quality Control of Medical Image Segmentations across Organs
[NO] 810/1000 | Skillsets on the Chain: A Blockchain-based Zero-Trust Framework for Agentic AI Networking
[NO] 811/1000 | AICCONF 2026 Cover Page
[NO] 812/1000 | Runway Characters: Real-Time Expressive AI Characters from a Single Image
[NO] 813/1000 | Bank Marketing Campaign Prediction
[NO] 814/1000 | Employee Attrition Prediction Using Optimized Ensemble Learning for Engineering Management
[NO] 815/1000 | Towards Human-Centric Network Operations: Leveraging Large Language Models as Unified Interfaces
[NO] 816/1000 | Residual Attention U-Net for Accelerated MRI Reconstruction of Under-Sampled k-Space Data
[NO] 817/1000 | Optical Phenomena in a Dimer of Parallel Long Nanocylinders from the Perspective of Transformational Plasmonics
[NO] 818/1000 | Design of Low Power Analog Signed Sigmoid and Soft-Decision Kernel Multiplication for CNN Application
[NO] 819/1000 | Prediction of Pavement Condition Rating (PCR) Using Interpretable Machine Learning Framework: Evidence From Saudi Arabia
[NO] 820/1000 | Comparing Beam And Greedy Decoding For Accurate And Efficient Handwriting Recognition In Engineering Applications
[NO] 821/1000 | Study of the Effect of Undertray Geometry Variations in Formula Student Cars on Downforce and Drag Coefficient using Computational Fluid Dynamics Method
[NO] 822/1000 | Real Time VPN Traffic Attack Detection and Classification
[NO] 823/1000 | A Scene-Aware Neural Point Field for Directional Wireless Propagation Modeling
[NO] 824/1000 | Transformer Learning for Financial Fraud Detection on Digital Payment Systems
[NO] 825/1000 | A SHAP-based Explainable Machine Learning Framework for Uplink Energy Sustainability in Mobile Wireless Networks
[NO] 826/1000 | Effect of Layer Inversion on the Ordering Process in Nanoscale FePt/FePd and FePd/FePt Films during Annealing in Hydrogen
[NO] 827/1000 | The Reinforcing Cycle of AI Disadvantages: A Systematic Review of Job Displacement, Algorithmic Bias, Privacy Erosion, and Global Inequality
[NO] 828/1000 | GPT-Eval: A Unified Evaluation Framework for Tools and Text Responses
[NO] 829/1000 | Predicting Chronic Medication Adherence Using LightGBM and Patient IoT Monitoring Data
[NO] 830/1000 | Machine Learning–Based Classification and Symptom Forecasting Across the Menopausal Transition Using Longitudinal Self-Reported Data
[NO] 831/1000 | Architectural Interoperability of EHR: A Review Incorporating Ontology-Based Approaches
[NO] 832/1000 | FPGA-based Adaptive Light Control using Thermal Image Sensor
[NO] 833/1000 | Nonlinear Waves in Layered Superconductors in Bilateral Otto Configuration
[NO] 834/1000 | Vital Signs Monitoring of Neonatal in an Infant Incubator
[NO] 835/1000 | Multi-Agent Reasoning Framework for Consumer Sentiment Intelligence
[NO] 836/1000 | Med Predict: An Integrated Machine Learning Approach to Maternal Risk and Fetal Health Prediction
[NO] 837/1000 | Physics-Based Synthetic Data and On-Device SLM Reasoning for Automated IoT Sensor Fault Detection in Offline Edge Environments
[NO] 838/1000 | MLTF-IoT: A Machine Learning-based Trust Framework for IoT
[NO] 839/1000 | XAI-Based Fake News Detection: A Comprehensive Comparative Study Using SVM, LSTM, and DistilBERT
[NO] 840/1000 | Design of the Excitation System for a Helicon Isolator
[NO] 841/1000 | BiLSTM-Attention Powered Adaptive Prediction Framework for Real-Time User Behaviour Analysis in Mobile Applications
[NO] 842/1000 | Integrating DEM-Based Terrain Analysis and Bin-Packing Algorithms for Solar Farm Site Suitability and Land-Use Optimization
[NO] 843/1000 | Simulation Study on Fire Emergency Evacuation of New Energy Battery Factory Considering the Difference in the Causes of Disasters
[NO] 844/1000 | Research on the Mechanism of Digital Finance Empowering Sports Consumption Expansion: An Exploratory Study Based on Badminton Consumption Behavior
[NO] 845/1000 | A Study on the Concentrated and Contiguous Protection of Traditional Villages from the Perspective of Ecosystem Services: A Case Study of the Baimayu River Basin in Wen County
[NO] 846/1000 | Decoupling Economic Growth from Domestic Material Consumption in BRICS Countries: Evidence from Tapio and STIRPAT Models
[NO] 847/1000 | Research on Intelligent Control Technology for Hydrogen-Based Electric-Heat Cogeneration
[NO] 848/1000 | A GIS- and Model-Based Evaluation Framework for Optimizing Healing Plant Allocation in High-Density Elderly Communities: A Case Study of Jinchang Street, Suzhou
[NO] 849/1000 | Design and Implementation of a Railway Wireless Dispatching Command Monitoring System Based on GSM-R Network
[NO] 850/1000 | Decoding the Strategic Logic and Governance Landscape of Sustainable Urban Renewal in China: A Computational Analysis of Policy Texts (2015–2026)
[NO] 851/1000 | Dynamic Virtual Machine Scheduling and Resource Utilization Optimization in Educational Cloud Platforms via DQN Reinforcement Learning
[NO] 852/1000 | The Impact of Supply Chain Uncertainty on Corporate Investment: A Methodology Based on Large Language Models Information Extraction and Semantic Matching
[NO] 853/1000 | Lessons Learned from Co-designing an iPad App and Tangible Toys with Proxies for Supporting Social Skills of Autistic Children in a Low-Resource Region
[YES] 854/1000 | Invisible Strings of Developer Programming Behavior with AI
[NO] 855/1000 | Corrigendum: ‘That’s what girls have to think about all the time’. Board games for civic engagement and perspective-taking
[NO] 856/1000 | FLPBC: A Federated Learning Framework Based on Blockchain for Product Sales Demand Forecasting and Inventory Optimization
[NO] 857/1000 | Proceedings of the 2025 6th International Conference on Blockchain Technology
[YES] 858/1000 | Engineering Pitfalls in AI Coding Tools: An Empirical Study of Bugs in Claude Code, Codex, and Gemini CLI
[NO] 859/1000 | Towards Output Directed Debugging of Finite Model Finders
[NO] 860/1000 | Automated Diagnosis and Testing of Game Compatibility Layers
[YES] 861/1000 | Understanding and Mitigating Hallucinations in Industrial LLM-based Unit Test Generation
[YES] 862/1000 | Quantum-Inspired Intelligence for Software Fault Prediction: A Hybrid Ensemble Learning Approach
[YES] 863/1000 | Autonomous Refactoring for Perfective Maintenance at Scale: The Agentic RACER System and its Empirical Evaluations
[NO] 864/1000 | Persona-Conditioned LLM Interaction for Software Engineering Education (Extended Abstract)
[YES] 865/1000 | AutoChecklist: Automated Checklist Refinement for LLM Judges
[NO] 866/1000 | Research on Restoration Decision-Making and Evaluation of Ancient Buildings Based on Fuzzy Analytic Hierarchy Process and Finite Element Dynamic Simulation
