[2026-06-06 23:04:20] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-05
正在获取论文...
[ACM] 2026-6-5 | Hop-wise Planning with Iterative Explainable Self-Correction for Knowledge Base Question Answering
[NO] 490/928 | MTT Society Awards Nomination Announcement
[NO] 491/928 | RWW 2027 Call for Papers SiRF
[NO] 492/928 | Optimum Load for Efficient Power Transfer [Enigmas, etc.]
[NO] 493/928 | The Construction of Near-Optimal Universal Coding of Integers
[NO] 494/928 | A 65 nm CMOS Readout Channel Based on a Charge Amplifier with DTMOS Feedback for Dynamic Signal Compression
[NO] 495/928 | Wave-to-Watt Modeling of Cyclorotor Wave Energy Converters: From Waves to Annual Electrical Power Generation and Loss Analysis
[NO] 496/928 | [People in Control]
[NO] 497/928 | Deploying MARTe2 and MDSplus for Scalable Real-Time Control Systems: A Proof-of-Concept for the SMART Tokamak
[NO] 498/928 | Evolutionary-Enhanced Ensemble Neural Networks for Maritime Wireless Channel Prediction
[NO] 499/928 | Graph Drawing Stress Model with Resistance Distances
[NO] 500/928 | An Efficient Cooperative Co-Evolutionary Multitask Optimization Framework for Large-Scale Optimization
[NO] 501/928 | A Constant-Time Risk-Adaptive Scheduling Engine for V2X Cooperative Perception on Edge RSUs
[NO] 502/928 | Bilateral Soft Pouch Matrix Actuation for Multimodal Intraluminal Locomotion of Liquid Sampling Robotics
[NO] 503/928 | A Nested-Coaxial Quadrifilar Helix Antenna with Beam-Direction and Beam-Shaping Reconfigurability for Small-Satellite Platforms
[NO] 504/928 | Secure, Smart, Automated, and Privacy-Preserving Cybersecurity Policy Compliance Framework for Sensitive Data Protection
[NO] 505/928 | Accelerating Forward-Forward Learning on Hybrid Transfer Architectures via Adaptive Negative Sampling
[YES] 506/928 | Agentic Code Review: A Multi-Agent Framework with Meta-Cognitive Reflection and Human-in-the-Loop Alignment
[NO] 507/928 | An accurate and computationally efficient SOC estimation in EV batteries using enhanced Deep Neural Networks
[NO] 508/928 | Defending Against Inference-Time Role Drift Attacks on Agentic AI in Healthcare
[NO] 509/928 | Predicting Job Applicant Success Using Machine Learning: A Comparative Study Using Random Forest and SVM
[NO] 510/928 | Saree-Drape: A Deep Learning Framework for Automatic Karnataka Saree Draping Style Classification Using MobileNetV2 and MediaPipe-Based Multi-Person Detection
[NO] 511/928 | StressSnap: Data-Driven Modeling of Physiological Parameters for Wearable Stress Monitoring
[NO] 512/928 | Strengthening Two-Way Multi-Relay Networks' Physical Layer Security
[NO] 513/928 | Proceedings of the 2026 International Symposium on Robotics, Automation, and Mechatronics
[NO] 514/928 | AHFNet: An Adaptive Hybrid Fusion Network for Robust Multimodal Hand Biometrics under Unreliable Modalities
[NO] 515/928 | Author Index
[NO] 516/928 | Optimizing Server Placement for Vertical Federated Learning in Dynamic Edge/Fog Networks
[NO] 517/928 | PL-FBF: A Partitioned Learned Functional Bloom Filter with Adaptive Memory Allocation for Key–Value Stores
[NO] 518/928 | Cram´ er-Rao Bound Minimization for Flexible Intelligent Metasurface-Enabled ISAC Systems
[NO] 519/928 | Dual-branch Single-Image Self-Supervised Denoising Network Based on Laplacian Non-Local Self-Similarity Sampling
[NO] 520/928 | Spatial-Frequency Enhancement and Scale-Decoupled Refinement Network for Salient Object Detection in ORSI
[NO] 521/928 | Unifying Personalization and Generalization in Federated Few-Shot Learning via Complementary Collaboration
[NO] 522/928 | LSTM autoencoder–based real-time anomaly detection for univariate hydraulic turbine time-series data
[NO] 523/928 | A Physics-Informed Neural Network Approach to Modeling Dielectric Response Data
[NO] 524/928 | Bayesian multipath mitigation technique with fully digital phased-array radar
[NO] 525/928 | HypBench: Hyperbolic Benchmark for Graph Neural Network Performance
[NO] 526/928 | Computing Scaled Relative Graphs of Discrete-time LTI Systems from Data
[NO] 527/928 | Federated Driver Digital Twin (FDDT): Secure, Adaptive, and Deployment-Oriented Private Models for Connected Vehicles
[NO] 528/928 | A Tri-Stage LLM-Coordinated Framework for Order-Driven Scheduling of Earth Observation Satellite Tasks
[NO] 529/928 | Investigation of Convective Updrafts (INCUS) Dynamic Microwave Radiometer (DMR) Receiver Design and Pre-Launch Characterization
[NO] 530/928 | Digital Transformation with Metaverse-Based Services: An Exploratory Managerial Framework Using AI-Simulated Stakeholder Dialogues_supp1-3700448.docx
[NO] 531/928 | IEEE CSS Control Education Committee [Technical Activities]
[NO] 532/928 | Demonstration of a Compact Gyrotron with Nonuniform and High-Gradient Magnetic Field
[NO] 533/928 | A Multi-agent Evacuation Model for High-Rise Building Fire Integrating Environmental Perception and Individual Heterogeneity
[NO] 534/928 | Unveiling Inclusiveness-Related User Feedback in Mobile Applications
[NO] 535/928 | CMEF-DSD: Collaborative Multi-Expert Forecasting with Differentiable Scale Decomposition
[NO] 536/928 | Light Fields Lossless Compression via Video Codecs
[NO] 537/928 | Proceedings of the 2026 12th International Conference on Computing and Data Engineering
[NO] 538/928 | Linear-Threshold Network Models for Describing and Analyzing Brain Dynamics: Investigations at the Intersection of Neuroscience and Control Theory
[NO] 539/928 | A Machine Learning Approach for Predicting Term and Preterm Births Using Maternal Data
[NO] 540/928 | Optimizing Profit Scoring in P2P Lending Using Prepayment and IRR Analysis
[NO] 541/928 | The IoMT Security Trilemma: A Systematic Review of Privacy, Utility, and Resource Efficiency in Federated Edge Learning
[NO] 542/928 | Trojan Obfuscation vs. Detection: A Large-Scale Empirical Study of Evasion
[NO] 543/928 | Grade-Specific LSTM-Based Approach for Data-Driven Forecasting of Adike and Patora Arecanut Market Prices
[NO] 544/928 | Advanced Sleep Health Analyzer: A Machine Learning–Driven Approach for Personalized Sleep Quality Prediction and Health Intervention
[NO] 545/928 | Evaluation of Sliding-Mode Position Controllers on Multi-Axis Machine Tools with Compliant Mechanics
[YES] 546/928 | Issue-Oriented Agent-Based Framework for Automated Review Comment Generation
[NO] 547/928 | AeroThreatModel: LLM-Empowered Spatiotemporal Fusion Dynamic Threat Modeling Framework for Air-Space-Ground Integrated Air Traffic Management Networks
[NO] 548/928 | Multi-Frequency Resolution-Oriented Reconstruction for Single-Pixel Terahertz Imaging
[NO] 549/928 | Beyond Static Prompts: Dynamic Token Fusion for Temporal-Align Visual-Language Tracking
[NO] 550/928 | Communication-Pipelined Split Federated Learning for Foundation Model Fine-Tuning in UAV Networks_supp1-3697889.pdf
[NO] 551/928 | Virtual Oscillator Control for Synthesising Virtual Inertia in a Smart Transformer-Based AC Microgrids
[NO] 552/928 | A LiDAR-Inertial SLAM Algorithm for Robot Detection Tasks in Unknown Complex Environments
[NO] 553/928 | Stability Optimization Oriented Real-Time Energy Management System for Turbo-Hybrid Electric Aircrafts
[NO] 554/928 | MTT-S Africa Initiative Visit to South Africa [Around the Globe]
[NO] 555/928 | Masterless Cooperative Control for Modular Parallel Inverters with Accurate Current Sharing and Seamless Fault Transition
[NO] 556/928 | A Data-Driven Approach for EV Load Modeling and Multi-Objective approach for integration of EVCS and DG in Distribution Systems
[NO] 557/928 | Enhanced Ship Routing Through Ensemble Wave Forecasting and Causality-Constrained Departure Windows
[NO] 558/928 | MCPST: A Multi-Phase Consensus and Spatio-Temporal Learning for Few-Shot Traffic Forecasting via Physical Dynamics
[NO] 559/928 | IEEE App
[NO] 560/928 | A Millimeter-Wave Low Profile Dual-polarization Phased Array Operating Under Glass Enclosures with Beamforming Co-Design for 5G IoT Mobile Terminals
[NO] 561/928 | Magnet Segmentation Strategy Considering Electromagnetic Force in Large-Scale Wind Generators with Surface-Mounted Magnets
[NO] 562/928 | Data Visualization for Teenage Teaching: A Review of Current Applications, Pedagogical Strategies, and Impact on Learning
[NO] 563/928 | Polar Code With Parity Check-Assisted Pruning for Error Correction in Modern Flash Memory
[NO] 564/928 | Comparative Analysis of Traditional Machine Learning and Causal Inference Models for ICU Drug Treatment Outcomes
[NO] 565/928 | Harnessing Vision Language Models for Negation Sensitivity in Visual Question Answering
[NO] 566/928 | A Universal Machine-Learning-Based Framework for Detecting and Preventing File Inclusion Attacks in PHP Web Applications
[NO] 567/928 | Pre-ISP Adversarial Patch Detection in RAW Bayer Space for Trustworthy IoT Vision
[NO] 568/928 | A Study of Biases in LLM-Generated Musical Taste Profiles for Recommendation
[NO] 569/928 | Review on the Development of UAV Cluster Intelligent Cooperative Control
[NO] 570/928 | AI-Assisted Forensic Triage of Multilingual Online Gaming Chats Using Large Language Models
[NO] 571/928 | Fake News Detection Using Machine Learning Techniques
[NO] 572/928 | A Scalable and Privacy-Preserving Sealed-Bid Auction Framework for IoT Data Marketplaces
[NO] 573/928 | Improving Rating Accuracy in a Comparative Study of Web and Android Platforms Using a Quantitative Survey of Chef Booking Applications
[NO] 574/928 | Hybrid Ransomware Detection Model Using Dynamic Behavioral
[NO] 575/928 | Physical Evaluation of Naturalistic Adversarial Patches for Camera-Based Traffic-Sign Detection
[YES] 576/928 | PickyRTL: A Static Analysis Tool for Detecting Hardware CWEs at Register-Transfer Level
[NO] 577/928 | Retrieval-Augmented AI Platform for Accessible Legal Support in India
[NO] 578/928 | Identification of Sarcasm, Emoji Utilization, and Aspect Recognition in Feedback Using Sentiment Analysis
[NO] 579/928 | A Hybrid Deep Learning Framework for Brain Stroke Diagnosis Using MRI and CT Scans
[NO] 580/928 | Review of Antenna Engineering and Radio Wave Propagation With MATLAB [Book/Software Reviews]
[NO] 581/928 | Toward Real-time High-fidelity Immersive Robotic Telepresence via Online 3D Gaussian Splatting_supp1-3700426.mp4
[NO] 582/928 | Remembering Fred E. Gardiol [In Memoriam]
[NO] 583/928 | Nonconvex Low-Rank Tensor Representation with Self-Enhanced Structure Penalty for Multi-View Subspace Clustering
[NO] 584/928 | Rank-based No-reference Quality Assessment for Face Swapping
[NO] 585/928 | Hierarchical Channel-aware Optimization Graph Convolution with Contrastive Learning for Emotion Recognition from Body Motion
[NO] 586/928 | Writing Science in the Twenty-First Century: Christopher Thaiss and Ashley Rose Mehlenbacher: [Book Review]
[NO] 587/928 | Regulating Effect of Asynchronous Interruption on Dynamic Voltage Distribution of Series Vacuum Circuit Breaker
[NO] 588/928 | TileInspector-HRD-Net: Efficient Feature Pyramid and Dynamic Head for Real-time High-Resolution Tile Defect Detection
[NO] 589/928 | Synergistic Pixel- and Object-Level Anomaly Detection for Robust Autonomous Driving
[NO] 590/928 | Cross-Modality Fourier Prompt Tuning for Generalizable Visual-Language Tracking
[NO] 591/928 | ${\mathcal{L}}_{\infty}$ Control of Switched T–S Fuzzy Systems Under Relieved Asynchronous Switching: A Zonotope Analysis Strategy
[NO] 592/928 | Wideband Evanescent Mode Bandpass Filter Based on Double Ridge Rectangular Waveguide Partially Loaded With Broadside Printed Strips
[NO] 593/928 | Fusion Embedding for Pose-Guided Person Image Synthesis with Diffusion Model
[NO] 594/928 | PromptCanvas: Composable Prompting Workspaces Using Dynamic Widgets for Exploration and Iteration in Creative Writing
[NO] 595/928 | MultiFPT: Towards Multi-Attribute Fairness in Pre-Trained Graph Neural Networks via Prompt Tuning
[NO] 596/928 | Sense, Think, Act, Reflect: Distilling Fast and Interpretable Decision Functions from LLM-Driven Crowds
[NO] 597/928 | Context-Aware Recipe Recommendations using NLP with Multilingual Support
[NO] 598/928 | Multi-Year Upgrade of Pre-Existing Power System to Support SQKD for Increasing Key rates
[YES] 599/928 | LLM-Assisted Side-Channel Leakage Analysis of AES Power Traces
[NO] 600/928 | Assessment of Grid Voltage Fluctuations on the Performance of a Three-Phase Grid-Integrated Inverter
[NO] 601/928 | Explainable AI Models for Transparent and Ethical Customer Relationship Management Decision
[NO] 602/928 | Secure and Scalable IoT Data Sharing with Dynamic Group Management via Re-Encryption
[NO] 603/928 | Vision Transformers for Accurate Inferior Alveolar Nerve Classification in Cone Beam Computed Tomography
[NO] 604/928 | Real-Time Violence Detection Using Lightweight Deep Learning
[NO] 605/928 | Human is the New Vinyl: Why Human Creativity Still Wins in the AI Revolution: Micah Voraritskul: [Book Review]
[NO] 606/928 | Dog Activity Detection from Accelerometer–Gyroscope Signals Using an Integrated CNN–BiLSTM Model
[NO] 607/928 | A Lightweight Security Framework for Stateless Communication in Low-Power IoT Systems
[NO] 608/928 | ICSHIve: A Framework for Measurable and High-Interactive Honeypots in Industrial Control Systems
[NO] 609/928 | A Sandwich-like Dual-band Shared-aperture Dielectric Lens Antenna with Large Frequency Ratio and Wide Scanning Range
[NO] 610/928 | Dynamic assessment of the competencies and systems-thinking skills of civil aviation personnel in an age of technological breakthroughs
[NO] 611/928 | IEEE Journal of Biomedical and Health Informatics Information for Authors
[NO] 612/928 | Secure Two-Party Matrix Multiplication from Lattices and Its Application to Encrypted Control
[NO] 613/928 | Edge Coordinated 6G IoT System for Autonomous Biomechanical Analysis and Fatigue Perception Performance Optimization in Competitive Sports
[NO] 614/928 | State of Power Prediction for Series-Connected Battery Packs Considering the Inconsistency in State of Health of Cells
[NO] 615/928 | Focus on Tunable Multifunction Filters [From the Guest Editor’s Desk]
[NO] 616/928 | IMWS-AMP 2025 Women in Microwaves: Microwave Convergence: Bridging Disciplines – Frontiers and Challenges [Women in Microwaves]
[NO] 617/928 | IEEE Transactions on Circuits and Systems for Video Technology Publication Information
[NO] 618/928 | A Worm-like Robot for Ferromagnetic Surface Inspection_supp2-3683248.mp4
[NO] 619/928 | Computable Knowledge Discovery in Soft Magnetic Materials via Large Language Model Driven Literature Meta-Analysis
[NO] 620/928 | IEEE Transactions on Electron Devices Publication Information
[NO] 621/928 | Report on Diversity, Outreach, and Development Activities [Diversity, Outreach, and Development Activities]
[NO] 622/928 | News
[NO] 623/928 | Statistical Properties of Closure Phases in SAR Interferometry
[NO] 624/928 | Full Speed Range Sensorless Drive of Nonsalient PMSMs Based on PLL-Type Speed and Position Estimator
[NO] 625/928 | Semi-Supervised Semantic Segmentation of Remote Sensing Images with Foundation Model Distillation and Multi-Level Consistency
[NO] 626/928 | Collaborative Voltage Harmonic Mitigation at a Remote Sensitive Node in Inverter-Based Islanded Microgrids
[NO] 627/928 | Nonintrusive Current Inversion for Paralleled Chips in Press-Pack IGBTs With a Coil Matrix and Data-Driven Modeling
[NO] 628/928 | Joint Beamforming and Position Optimization for IRS-Aided SWIPT with Movable Antennas
[NO] 629/928 | Focused Region Exclusion Learning for Cross-View Geo-Localization
[NO] 630/928 | The Lighter Side of Control Systems
[NO] 631/928 | Text Prompt Controllable Image Exposure Correction
[NO] 632/928 | Improved-PPO-based Adaptive Safety-Critical Control for Orbit-Attitude Takeover of Failed Spacecraft with Cellular Satellites
[NO] 633/928 | Digitally-tunable Mixer Design and Simulation with Modulated Signals within an Adaptive Receiver Front-end and with FPGA-based Demodulation
[NO] 634/928 | Beyond Surface Similarity: Evaluating Structured Output Consistency in Large Language Models
[NO] 635/928 | Collision-Free Output Feedback Distributed Coordination of MASs Under Unreliable Communication Topologies
[NO] 636/928 | Advertisement
[NO] 637/928 | Masthead
[NO] 638/928 | Enabling Multicasting Supports For O-RAN Virtual Function Deployment in Multi-Cloud Environment
[NO] 639/928 | Physics-Data Fusion with FBG Sensing for In-Situ Solid Lubricant Coating Degradation Monitoring under Microgravity Emulation
[NO] 640/928 | Breaking the Vicious Cycle: Coherent 3D Gaussian Splatting from Sparse and Motion-Blurred Views
[NO] 641/928 | A Study of M-Ary Encoding Genetic Algorithm for Closely-Spaced Multipath Parameter Estimation
[NO] 642/928 | Flow-Aware Diffusion for Real-Time VR Restoration: Mitigating Cybersickness with Enhanced Spatiotemporal Coherence_supp1-3697013.pdf
[NO] 643/928 | Collaborative Orthogonal Learning for Constrained Multi-Objective Optimization
[NO] 644/928 | Optimization Output Control of Distributed Lighting System Based on NSGA-II Method and MLP Network
[NO] 645/928 | A Robust CLEAN-like Approach to ISAR Image Decomposition with Non-stationary Signal Components
[NO] 646/928 | Adaptive Resource Allocation and Semantic Priority Control for Multi-UAV-Aided Relaying Systems
[NO] 647/928 | A 120° FOV Angular Diversity Receiver for Underwater Wireless Optical Communications
[NO] 648/928 | MEETINGS AND SYMPOSIA
[NO] 649/928 | Cognera: An Intelligent Tool For Dyslexia Detection And Correction
[NO] 650/928 | Macro-to-TWh: A Log-Stabilized Benchmark of 21 Supervised Regressors for Country-Level Primary Energy Consumption Prediction
[NO] 651/928 | Hybrid Deep Learning Models for Detecting Anomalous Behavior in Peer-to-Peer Payment Systems
[NO] 652/928 | CTGAN-Augmented Stacked Ensemble of Machine and Deep Learning Models for Diabetes Prediction
[NO] 653/928 | Model Predictive Control: A Revisit [Histories of Control]
[NO] 654/928 | Zero-Trust Agentic Federated Learning for Secure Internet of Things (IoT) Defense Systems
[NO] 655/928 | Handloom Saree Classification Using Transfer Learning with MobileNetV2
[NO] 656/928 | Enhancing the Reliability of Sunspot Number Prediction Intervals Using MC Dropout and Isotropic Regression
[NO] 657/928 | A Worm-like Robot for Ferromagnetic Surface Inspection_supp7-3683248.mp4
[NO] 658/928 | Focused ultrasound improves microcirculation to treat painful peripheral neuropathy in type 2 diabetic rats
[NO] 659/928 | A Tightly Coupled EKF for Hardware-Trigger-Free Radar Inertial Odometry based on Dynamic State Retrodiction
[NO] 660/928 | Performance Analysis of Full-Duplex Cooperative NOMA-Enabled ISAC in Heterogeneous Networks
[NO] 661/928 | IEEE Feedback
[NO] 662/928 | Table of Contents
[NO] 663/928 | Lay All Your Morph on UV: 3D Geometry-Aware Canonical UV Representations for Morphing Attack Detection
[NO] 664/928 | FedGB: A Generator-Based Federated Learning Against Reconstruction Attacks
[NO] 665/928 | LLM-guided Adaptive Compensator: Bringing Adaptivity to Robotic Feedback Control with Large Language Model
[NO] 666/928 | Distribution Network Modeling, Parameters, and Metering Data: Test Systems
[NO] 667/928 | Homography-Based Visual Servoing of a UAM for Payload Delivery Onto a Dynamic Target
[NO] 668/928 | Field Evaluation of a MEMS-Based Silicon Resonant Pressure Sensor for Seafloor Pressure Observation
[NO] 669/928 | Towards Secure and Reliable SAGIN: Learning-Driven Multi-Dimensional Resource Scheduling for Multi-RIS Assisted OTFS Transmission
[NO] 670/928 | Uncertainty Quantification: Theory, Implementation, and Applications (Second Edition) [Book Review]
[NO] 671/928 | Graph Neural Networks with Augmented Lagrangian Loss for Energy Efficiency Optimization in Spectrum-Sharing Wireless Networks
[NO] 672/928 | Improving the Offline Dataset on Offline Reinforcement Learning
[NO] 673/928 | Spatially Robust Near-Field SWIPT Using Pinching Antennas: Rate-Energy Tradeoff Bounds
[NO] 674/928 | GaN Schottky Barrier Diodes with a Quasi-Depleted Layer for Ultra-Low Power Microwave Rectification
[NO] 675/928 | MuCamp2: Generating Validated Cyber Campaign Variants via Constrained LLMs for Group Attribution
[NO] 676/928 | Table of Contents
[NO] 677/928 | CondVS4: A Causal Generative Model for Online Imputation of Industrial Process Time-Series Data
[NO] 678/928 | XAI-Driven Input Masking to Mitigating Model Inversion Attacks
[NO] 679/928 | Student Feedback Sentiment Analysis on Textual Data: Comparing Machine Learning and Transfer Learning Approaches in Face-to-Face Courses
[NO] 680/928 | Deepedge+Location: A Location-Based Task Orchestrator for Edge Computing
[NO] 681/928 | Maintaining SDN Controller High Availability Through Heartbeat Links: A Multi-SDN Solution
[NO] 682/928 | A Conceptual Framework for Multiplayer Mixed Reality Training with Biometric Feedback
[NO] 683/928 | Evaluating the Use of LLMs for Documentation to Code Traceability
[NO] 684/928 | The Soft Clock: This Timepiece Merges Electronics and Millifluidics
[NO] 685/928 | Evaluation of power supply capability of microgrids with energy storage system
[NO] 686/928 | A Method for Physical Monitoring of Wireline Communications Based on Compressed Sensing and Spread-Spectrum Signals
[NO] 687/928 | Asin Phase Demodulation for High-resolution FMCW Interferometry
[NO] 688/928 | Multiagent Deep Reinforcement Learning With Long-Term Temporal Dependencies for Microgrid Energy Optimization and Scheduling
[NO] 689/928 | Guest Editorial for Selected Papers From BIOKDD 2024
[NO] 690/928 | Investigation of Inter-turn Voltage Stress in Fractional Slot Concentrated Winding of Inverter-fed Permanent Magnet Synchronous Machines
[NO] 691/928 | CONDEN-FI: Consistency and Diversity Learning-Based Multi-View Unsupervised Feature and Instance Co-Selection
[NO] 692/928 | Flexible Passive LC Pressure Sensor With Impedance-Matched Readout for Extended Wireless Sensing Range_supp1-3697423.docx
[NO] 693/928 | IEEE Feedback
[NO] 694/928 | Fixed-Time Optimal-Power Thrust Control in Distributed Electric Cycloidal Propulsion Using Hybrid Residual Neural Networks
[NO] 695/928 | Wiley
[NO] 696/928 | Field- and Temperature-Induced Drift in Multi-Level Al-Doped HfO
                    <sub>2</sub>
                    RRAM
[NO] 697/928 | Optimizing Task Scheduling in Fog Computing with Deadline Awareness
[NO] 698/928 | Reconfigurable Filters [From the Editor’s Desk]
[NO] 699/928 | NEITH: Networked Evidence Integrity for Telemetry Hashing
[NO] 700/928 | AUTOCTI: Automated Cyber Threat Detection Using AutoML
[NO] 701/928 | Detection of Multiclass Pediatric Congenital Heart Defects using Deep Learning based Stacking Ensemble Method
[NO] 702/928 | Multimodal Fusion with Cross-Modal Attention for Robust MCI-to-AD Prediction
[NO] 703/928 | FairLabeler: Achieving Fairness via Biased Label Detection and Correction
[NO] 704/928 | An Age-Aware Joint Scheduling and Semantic Extraction Approach for IIoT Systems With Multi-AGVs
[NO] 705/928 | Modeling and Modification of Equivalent Planar Unfolding for Post-Type Composite Insulators
[NO] 706/928 | M3T-UAV: Vision-based UAV geolocalization in multimodal, multiscene, and multitemporal scenarios
[NO] 707/928 | AFDM Transceiver Optimization for PAPR Reduction
[NO] 708/928 | Are Drivers Tired? An Edge AI-enabled Drowsiness Detection Framework in IoV
[NO] 709/928 | Sparse ISAR Imaging via Frequency-Selective Atomic Norm Minimization and Accelerated ADMM
[NO] 710/928 | TC-SSFN: Suppressing Seasonal Noise and Enhancing Feature Discrimination for Land Cover Time Series Change Detection
[NO] 711/928 | Physically Consistent Near-Field MISO Communication: Impact of Receiver-to-Transmitter Mutual Coupling on Achievable Rate
[NO] 712/928 | Quantum Machine Learning for Wireless-Powered UAV Positioning in 6G Digital Twin SAGIN with Cooperative Nano-Satellite Constellations
[NO] 713/928 | Guiding Light Beyond sight: AI Powered Object Detection for Blind Navigation
[NO] 714/928 | Bone Fracture Detection Using Vision Transformers: A Comparative Analysis of the Pooling-Based Vision Transformer (PiT) and the Causal Transformer (CaFormer) Models
[NO] 715/928 | Wildlife Detection and Monitoring using Single Shot Detection
[NO] 716/928 | A Comprehensive Review on Handwritten Descriptive Answer Script Evaluation
[NO] 717/928 | ChemStruct: A Real-Time Molecular Visualization Platform for an Interactive Chemistry Learning
[NO] 718/928 | Object Detection and Location Tracking on Water Surface using NVIDIA Jetson Orin Kit
[NO] 719/928 | Food Quality and Authenticity Detection Using Deep Learning and OCR-Based Techniques
[NO] 720/928 | A Holistic Eating Monitoring System Enabled by Textile Strain Sensors and Hierarchical Network
[NO] 721/928 | Table of Contents
[NO] 722/928 | DEMO Divertor Target Mock-Ups With Tungsten-Fiber-Reinforced Tungsten Monoblocks
[NO] 723/928 | Multi-Objective Joint Optimization of Deep Network: For Online Learning of Streaming Data With Concept Drift_supp1-3699402.pdf
[NO] 724/928 | Lie-Algebraic Approach to Geometric Nonlinear Inverse Optimal Attitude Tracking on_supp1-3700377.mp4
[NO] 725/928 | ANN-Cache: Accelerating Approximate Nearest Neighbor Search Via Caching
[NO] 726/928 | TACS: Decentralized per-Task Micro-Slicing for Deadline-Aware Provisioning in Distributed Computing Continuum Systems
[NO] 727/928 | CRISPR-ImmunoPred: A Multi-Stage AI Framework to Predict T-Cell Reactivity and Mitigate Immunogenicity in CRISPR-Cas9 Therapies
[NO] 728/928 | Detection Techniques for OTFS Transmissions Over Doubly-Selective Channels
[NO] 729/928 | Dong Eui Chang [People in Control]
[NO] 730/928 | Programmable Construction Methodology for High-Performance Interleaved Voltage-Multiplier DC–DC Converters via Flux-Balance Adjacency Matrices
[NO] 731/928 | Design, Simulation, and Fabrication of a L-Shaped Folded-Beam MEMS Accelerometer for High-Temperature Applications
[NO] 732/928 | Federated and Reinforcement Learning for Cyber Defense: A Comprehensive Survey of Emerging Intelligent Security Paradigms
[NO] 733/928 | AI-Driven Liver Disease Prediction: A Machine Learning and LSTM-Based Approach with Clinical Data
[NO] 734/928 | Artificial Intelligence Based Prediction of Menopausal Transition Phases from Symptomatology
[NO] 735/928 | Human Karyotype Analysis Using Deep Learning with Chatbot Assistance
[NO] 736/928 | Predicting Student Academic Performance Using Machine Learning Techniques
[NO] 737/928 | A Real-Time Hardware-In-The-Loop Water SCADA Testbed for Cyber-Physical Research
[NO] 738/928 | Evaluating Explainable AI Fidelity in Lightweight Vision Transformers Using Transfer Learning
[NO] 739/928 | RGPKD: Reconstruction-Guided and Prompt-Enhanced Asymmetric Knowledge Distillation for Anomaly Detection
[NO] 740/928 | Exploring Consistency for Data Clustering by Multi-View Multi-Order Graph Decomposition
[NO] 741/928 | IEEE Industrial Electronics Society Publication Information
[NO] 742/928 | A Simple Model-Predictive Control Strategy for Discrete-Time Port-Hamiltonian Boundary Control Systems
[NO] 743/928 | Guidance of a human driver by an automated vehicle: Nonlinear control design via delayed spectral submanifold
[NO] 744/928 | A ROS 2-Based Visual SLAM Navigation Framework: Integrating cuVSLAM and Nvblox with Nav2 Stack for Autonomous Navigation on Mobile Robot
[NO] 745/928 | Model-Free Predictive Controllers for Voltage Source Inverter: A Unified Experimental Benchmarking
[NO] 746/928 | IEEE Foundation
[NO] 747/928 | AI-Enhanced Spatial Cellular Traffic Demand Prediction with Contextual Clustering and Error Correction for 5G/6G Planning
[NO] 748/928 | Rapid Switchable Backdoor Attack on Any CLIP Model with Multiple Target Classes
[NO] 749/928 | Better Hardware Could Turn Zeros Into AI Heroes: Sparse Computing Enables Leaner, Faster AI
[NO] 750/928 | Research on Caching and Power Control Optimization Strategies Based on Vehicular Networking Communication
[NO] 751/928 | A Spatiotemporal Information Extraction-Based FDI Attack Detection and Data Recovery Architecture for Wind Power Prediction Systems
[NO] 752/928 | Mastering Beam Alignment for Satellite WPT: A Predictive ISAC Framework for Sustainable 6G Connectivity
[NO] 753/928 | Comprehensive Investigation of Magnetic Properties of Fe–Si and Fe-Co Alloy Under Alternating and Rotational Magnetizations
[NO] 754/928 | Large Language Model–Driven Feature Weighting for Cross-Device Harmonization of Wearable Data: A Generalizable Framework for Digital Health Models
[NO] 755/928 | A Novel Bidirectional Multiport Converter for Integration of Renewable Energy and Storage Systems
[NO] 756/928 | Decentralized End-to-End Multi-AAV Pursuit Using Predictive Spatio-Temporal Observation Via Deep Reinforcement Learning
[NO] 757/928 | The Path I Didn’t Plan, but Chose: Finding My Place in Engineering [Women in Engineering]
[NO] 758/928 | Overpass Ledger: Full Parallelization and Fast Re-Execution for High-Performance
[NO] 759/928 | Advanced Electromagnetics Methods for Practical Engineering Applications [Guest Editorial]
[NO] 760/928 | FedDD: Combating Federated Noisy Label Learning with Intra- and Inter-Distributional Difference
[NO] 761/928 | HCDi-Fusion: Hybrid-Conditioned Diffusion Model for Cross-Resolution Multimodal Image Fusion
[NO] 762/928 | A Lightweight Chaotic Map-Based Authentication Scheme for Secure Wearable Computing
[NO] 763/928 | SCRAP LINK: Smart Scrap Collection and Trading System : Revolutionizing Scrap Management: A Web-Based Platform for Efficient Scrap Management
[NO] 764/928 | Melanoma Classification using Adaptive Nutcracker Optimization -based Dense Residual Dual-Shuffle Attention Network using skin images
[NO] 765/928 | An Ensembled Deep Learning Approach for Prognosis of Dysgraphia in Children through Handwritten Images
[NO] 766/928 | Text-to-SQL Agent: An Iterative Question Rewriting Framework Based on Reinforcement Learning
[NO] 767/928 | Polarization- and Mutual-Coupling-Aware Rotatable Antennas Enabled Wireless Communications: Modeling, Orientation Optimization, and Prototyping
[NO] 768/928 | Smart Platform for Effortless Assignment Submission and Precision Grading
