[2025-12-16 09:15:41] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2025-12-15
正在获取论文...
[arXiv] 2025-12-15 | Intrinsic Geometry of Operational Contexts: A Riemannian-Style Framework for Quantum Channels
[NO] 810/1806 | Fuzzy Ellipsoidal Clustering Incorporating Compactness and Separation of Clusters
[NO] 811/1806 | Prediction of Chronic Kidney Disease Based on Machine Learning with Personalized Dietary Suggestions
[NO] 812/1806 | Bulk-Driven Rail-to-Rail Comparator with V
                    <sub>DD</sub>
                    of 0.25 V in 65 nm CMOS Technology
[NO] 813/1806 | Utilizing Morpheme-Based Translation Units to Enhance Bidirectional Amharic-Khimtagne Machine Translation with Deep Learning
[NO] 814/1806 | Detection of Potentially Malicious Domain Names for Ethiopic Script (Amharic language): A Machine Learning Approach
[NO] 815/1806 | Improving Object Point Software Effort Estimation Using a Deep Learning Approach
[NO] 816/1806 | Responsive, Resilient, Restored: A Review of the Role of Data Analytics in Healthcare Amidst Disease Outbreaks
[NO] 817/1806 | Internet of Things: Innovation, Threats, and Consequences
[NO] 818/1806 | First inter-comparison of optical to electrical time delay calibrated photodetectors and calibration setup validation
[NO] 819/1806 | Ontologies for Autonomous Agricultural Robots and Implements
[NO] 820/1806 | Fuzzy Logic-Based Smoothing Control for Grid-Connected PV Systems with Lithium-Ion Battery Storage
[NO] 821/1806 | Plant Disease Recognition Using Deep Learning Technique
[NO] 822/1806 | CareerQuest - A Comprehensive Career Guidance Using Machine Learning and Natural Language Processing Techniques
[NO] 823/1806 | DeepNhKcr: Explainable Deep Learning Framework for the Prediction of Crotonylation Sites of Non-histone Lysine in Plants Based on Pre-trained Protein Language Model
[NO] 824/1806 | Double Resampling Architecture for Distance Measurement in FMCW LiDAR with Degraded Transmitter Systems
[NO] 825/1806 | Comparative Life Cycle Assessment of High Voltage Gas Insulated Switchgear
[NO] 826/1806 | Implementation of Research Findings on Corona Noise Propagation into the Teaching Process at Technically Oriented Universities
[NO] 827/1806 | G-UniRouting: A Graph-Based Unified Neural Model for Solving Multi-Attribute Vehicle Routing Problems
[NO] 828/1806 | Investigating Hausdorff Window in Antenna Power Weighting: Preliminary Findings and Practical Implications
[NO] 829/1806 | Non-Invasive Exploration of Archaeological Falaj System: L-Band SAR Tomography Insights
[NO] 830/1806 | Physics Inspired Neural Network for Cortical Electromagnetic Activity of Neonates
[NO] 831/1806 | Edge-Aware Federated AI: Scalable LLM Integration for Privacy-Preserving Big Data Networks
[NO] 832/1806 | Enhancing Home Network Security through a Gamified, User-Centric Intrusion Detection System
[NO] 833/1806 | Detecting and Preventing Data Poisoning Attacks on AI Models
[NO] 834/1806 | Ml-Powered Python Solution for Detecting Faults in Electrical Drives
[NO] 835/1806 | A Parametric Optimization Algorithm Based on the U-Net for Two-Dimensional Electromagnetic Reconstruction
[NO] 836/1806 | Workforce Efficiency in Factories: Computer Vision Approach
[NO] 837/1806 | Experimental Study of Stationary Processes During Injection of Carbon Dioxide into the Reservoir
[NO] 838/1806 | Real-Time Phase-OTDR Signal Processing on FPGA for Enhanced Fiber Optic Sensing
[NO] 839/1806 | DOA Estimation with Uniform Linear Arrays in the Presence of Mutual Coupling via EBG Ladder Shaped Decoupling Structure
[NO] 840/1806 | Enhancing Vision Transformer Performance in LowLight Conditions through Object-Focused Pixel Reallocation
[NO] 841/1806 | Enzyme Classification using Transformer-Based Sequence Embeddings
[NO] 842/1806 | Lightweight Transfer Learning Models for Kerangas Landscape Classification on Edge Devices
[NO] 843/1806 | Dual-State Reinforcement-Learning-Based Dynamic Ensemble Model for Pork Price Forecasting
[NO] 844/1806 | How Effective are Classical Cryptographic Protocols Against Early Quantum Decryption Attempts?
[NO] 845/1806 | A Review of IoT-Enhanced Battery Management Systems for Electric Vehicles: Trends, Architectures, and Industrial Insights
[NO] 846/1806 | Capacity Building for Industrial Decarbonization: An Educational Program on Energy Transition Audits in Greece
[NO] 847/1806 | An Automated Detection System for Aspiration During Sleep Based on Deep Learning
[NO] 848/1806 | Marine Target Detection in Polarimetric SAR Images Based on Three-Component Decomposition and Generalized Likelihood Ratio Test
[NO] 849/1806 | Design of Standing Wave Detection System for High Power Medium-Long Wave Antenna
[NO] 850/1806 | Designing an Automated Seeding Drone System for Soil-Condition-Based Multi-Crop Farming
[NO] 851/1806 | Conference Committee
[NO] 852/1806 | Internet of Behaviors-Based Focus State Classification for Enhancing Educational Engagement
[NO] 853/1806 | Molecular Interactions of Genistein as a Potential Anti-Endometriosis
[NO] 854/1806 | Comparative Modeling of Laguerre-Gaussian and Squared Laguerre-Gaussian Beams in a Turbulent Medium
[NO] 855/1806 | Data Efficient Satellite Image Transformer (DESiT): A Hybrid Transformer Model for Robust Satellite Image Classification in Forest Monitoring
[NO] 856/1806 | Channel-Aware Embedding Strategies for Transformer-Based Multivariate Time-Series Forecasting: A Comparative Study
[NO] 857/1806 | Spatiotemporal Super-Resolution of Weather Radar Observations Using Bidirectional Deformable Convolutional LSTM
[NO] 858/1806 | Toward Multimodal Detection of Harmful Memes in Low-Resource Indic Languages: A Literature-Centric Perspective
[NO] 859/1806 | Advancements and Challenges in Magnetic Coupler Designs for Dynamic EV Wireless Charging
[NO] 860/1806 | Table of Contents
[NO] 861/1806 | ICMLC 2025 Committees
[YES] 862/1806 | Automated assessment of open-ended computer science questions using large language models
[NO] 863/1806 | Analysis of Digital, Competency, and Educational Readiness of Construction Managers for AI Implementation
[NO] 864/1806 | Experimental Evaluation of SOI Micro-Ring Resonators with Different Gap Widths and Radii
[NO] 865/1806 | AI-Enhanced Phishing Attacks: Understanding the Threat Landscape and Defense Strategies
[NO] 866/1806 | Learning Distinguishable Representations in Deep Q-Networks for Linear Transfer
[NO] 867/1806 | Improving Trans-Esophageal Echocardiography: A Miniaturized Cooling System
[NO] 868/1806 | Pseudo-label Guided Multi-task Learning for Abdominal Multi-branch Vascular Segmentation from Partially Labeled DSA Datasets
[NO] 869/1806 | CMOS-Compatible Artificial Optoelectronic Synapse for Neuromorphic Computing
[NO] 870/1806 | Off-Grid DOA and Polarization Estimation for Polarization-Sensitive Arrays under Nonuniform Noise
[NO] 871/1806 | Secure Optimization Method for Cell-Free MIMO STINs
[NO] 872/1806 | Towards Certifiably Robust Face Recognition: Analyses and Improvements
[NO] 873/1806 | BECS: A Privacy-Preserving Computing Resource Sharing Mechanism for 6G Computing Power Network
[NO] 874/1806 | Continuous Authentication in IoT-based Smart Home Application: A Survey and a Design Framework Using Vector Similarity Search
[NO] 875/1806 | Wind Turbine Power Curve Prediction Using Artificial Neural Networks: A SCADA-Based Approach
[NO] 876/1806 | A High-Resolution Channel Estimation Method for ICAN Systems Based on Artificial Perturbation-OTFS
[NO] 877/1806 | Convergent Primal-Dual Plug-and-Play Image Restoration: A General Algorithm and Applications
[NO] 878/1806 | A New Hybrid Reference Vector and Grid-Based Evolutionary Algorithm for Dynamic Many-Objective Optimization
[NO] 879/1806 | Introducing MOSAIC: a Modular, Open-Source Suite for Assistive Intelligent Control
[NO] 880/1806 | TEXterity: Tactile Extrinsic deXterity
[NO] 881/1806 | Simple Self-Organizing Map with Visual Transformer_supp1-3643388.pdf
[NO] 882/1806 | Le Cocon
[NO] 883/1806 | Kamarade
[NO] 884/1806 | Susurros
[NO] 885/1806 | Decision letter for "Learn from Past to Future: Exploiting Self-Training and Curriculum Learning in Remote Sensing Class-Incremental Semantic Segmentation"
[NO] 886/1806 | Energy-Efficient Web Design: Measuring Impact of Front-end Optimizations
[NO] 887/1806 | Knowledge Graph Optimization Method for Credit Evaluation of International Trade Enterprises under Artificial Intelligence
[NO] 888/1806 | Design and Implementation of an Intelligent Guiding System Based on Multimodal Perception
[NO] 889/1806 | Document Digitization Using Deep Learning: Classification, Preprocessing, and OCR Optimization
[NO] 890/1806 | Portfolio Optimization System (POS): A Deep Reinforcement Learning Approach for Market-Adaptive Investment Strategies
[NO] 891/1806 | System sizing for renewable energy driven green hydrogen production with deep reinforcement learning based on proximal policy optimization
[NO] 892/1806 | TinyML-IoE: A Unified Architecture for Integrating TinyML into the Internet of Everythings
[NO] 893/1806 | A Wearable Gait Rehabilitation Device for Parkinson’s Disease: Multi-Sensor Monitoring and Adaptive Assistance
[NO] 894/1806 | Study of Synchronous Reluctance Generator in wind energy conversion system
[NO] 895/1806 | Mitigating Age-Dependent Bias in Parkinson's Disease Classification Using a Stacked Ensemble Architecture
[NO] 896/1806 | Optimized Fractional-Order Control in Doubly Fed Induction Generator Systems under Variable Wind Profiles
[NO] 897/1806 | Tailorable Resonant Emissivity in the Mid-Infrared Range Between 10 μm and 25 μm on Highly Doped Pristine Silicon Gratings
[NO] 898/1806 | ICT4DA 2025 Author Index
[NO] 899/1806 | Sensing the Environment with Analog TV Signals (ATV-Commsense): A Feasibility Analysis
[NO] 900/1806 | A Quasi-Distributed Temperature and Tensile Force Sensing Scheme Based on Bi/Er Co-Doped Fibre
[NO] 901/1806 | Financial Literacy and Knowledge Development in Cloud Accounting Environment: A QuasiExperimental Study
[NO] 902/1806 | Excitation of Electromagnetic Oscillations in Quasioptical Open Resonators by Internal Sources
[NO] 903/1806 | Optimizing Network Influence Blocking via Edge Importance Re-Ranking Algorithm
[NO] 904/1806 | Multimodal Conversational Learning to Improve Mathematics Learning in Low-Resource School Settings in Peru
[NO] 905/1806 | Dual Active Bridge PV System based on LAMDA-SMC Control
[NO] 906/1806 | Electrical Reflectometry: Challenges and Strategies for Technology Transfer to Industrial Applications
[NO] 907/1806 | Enhanced Robust Consensus Control for Uncertain T-S Fuzzy Multi-Agent System
[NO] 908/1806 | Efficient Metamaterial Synthesis Using Iterative Refinement and Content-Based Filtering
[NO] 909/1806 | AI-Assisted Missing Person Identification
[NO] 910/1806 | 2025 International Conference on Emerging eLearning Technologies and Applications (ICETA)
[NO] 911/1806 | 2025 IEEE International Symposium on Precision Clock Synchronization for Measurement, Control, and Communication (ISPCS)
[NO] 912/1806 | Time-Modulated Wire Media with High-Precision Resolution
[NO] 913/1806 | Mix Activation Functions Multi-Hidden-Layered LSTM Model for Logistic Vehicle Dispatching
[NO] 914/1806 | Study on Universal Approximators for the EFVIE Solution of Inhomogeneous Dielectric Objects
[NO] 915/1806 | Triple-Band Pass Filter Using Substrate Integrated Waveguides with Open Loop Resonators for Ku/K Band Applications
[NO] 916/1806 | Calibration of the trapped ion quantum computer
[NO] 917/1806 | Optimal Operation Strategy of a Multi-Energy Integrated System for Minimizing Renewable Energy Curtailment
[YES] 918/1806 | Prompt Inject Detection with Generative Explanation as an Investigative Tool
[NO] 919/1806 | Influence of Superconducting Fault Current Limiter Operation on Power Transformer
[NO] 920/1806 | Surface Plasmon Resonance Excited by Twisted Fiber for Highly Sensitive Refractive Index Sensing
[NO] 921/1806 | Cost-Effective scheduling and flexibility provision of EV aggregators under departure uncertainty
[NO] 922/1806 | Heuristic Settings of Virtual Orders of Class Labels for Nominal Classification
[NO] 923/1806 | The Safe and Smart Use of AI at Comenius University
[NO] 924/1806 | An Enhanced Probabilistic Optimal Power Flow Analysis for Power System using Zhao’s Point Estimation Method with Nataf Transformation
[NO] 925/1806 | UPEC 2025 Author Index
[NO] 926/1806 | A Multiplatform Application for Personalized Educational Materials in Special Needs Education
[NO] 927/1806 | Semiconductor Memories for Low-Power and Low-Compute Hardware-Oriented Artificial Intelligence System
[NO] 928/1806 | Dense Supervised Contrastive Learning for Few-Shot Remote Sensing Scene Classification
[NO] 929/1806 | Enhancing Dermatological Diagnosis with Few-Shot Learning
[NO] 930/1806 | Laser Scattering Measurement of AC Electric Field-Induced Dynamic Characteristics of Transformer Oil-Water Interfaces
[NO] 931/1806 | Quantum Federated Learning: A Comprehensive Survey
[NO] 932/1806 | Shared Switched Capacitor Multi Output Hybrid Converter for High Conversion Ratio Applications
[NO] 933/1806 | Chronic Kidney Disease Classification: A Random Forest Approach with Optimized Preprocessing
[NO] 934/1806 | Development of Improved Gyrotron-based System for CVD Diamond Synthesis
[NO] 935/1806 | Biomarker-Based Prediction of Parkinson’s Disease Onset Using Machine Learning
[NO] 936/1806 | A Compact Broadband 10 GHz Quadrature Modulator for Millimeter-Wave Systems
[NO] 937/1806 | Band-Aid Backdoor: A Dual-Branch Framework for Physical Backdoor Attacks on Face Recognition Systems
[NO] 938/1806 | Highly-Efficient Near-Field Thermophotovoltaics Based on Nanowire Metamaterials for Low-Grade Heat Recovery
[NO] 939/1806 | Multimodal Emotion Recognition Using Speech and Facial Information Based on Late Fusion
[NO] 940/1806 | Challenges of Fault Current Analysis using IEC 60909 and ENA G74 in Grids Dominated by Converter Fed Generation
[NO] 941/1806 | Extending Nvidia Omniverse for Industrial Computer Vision Tasks: Direct 3D Mesh Manipulation and Ageing for Enhanced Fault Detection and Packaging Processes
[NO] 942/1806 | Exploiting Phase Singularities in Metasurfaces Design
[NO] 943/1806 | Classification of Monofloral and Polyfloral Honey using Near-Infrared Spectroscopy and Chemometric Techniques
[NO] 944/1806 | Sparse Transformer for Anomaly Detection with Association Discrepancy
[NO] 945/1806 | Crystal structure of the new photonic high-index material Wurtzite GaP
[NO] 946/1806 | Fundamental and Generalized Solutions of Maxwell's Equations at Moving Emitters of Electromagnetic Waves
[NO] 947/1806 | Study on Shielding Effect of Brushless Motor Chassis
[NO] 948/1806 | Traque: Streamlining College Bus Operations with Real-Time Tracking and Management
[NO] 949/1806 | Ground Penetrating Radar-Assisted Multimodal Robot Odometry Using Subsurface Feature Matrix
[NO] 950/1806 | Bootstrapping Heterophily Graph Representation Learning via a Large Language Model-Based Approach
[NO] 951/1806 | Research on the Complexity of Epilepsy EEG Signals
[NO] 952/1806 | Experimental Comparative Analysis of Power Losses and THD in BLDC Drives Using Different Inverter Platforms
[NO] 953/1806 | FastPoint: Super Lightweight Keypoint Detection, Description and Depth Estimation Framework
[NO] 954/1806 | Assessment of of CO
                    <sup>2</sup>
                    Pollution Reduction Through a Photovoltaic System
[NO] 955/1806 | Hyperparameter Tuning of Classification Algorithms with a Hyper-Heuristic Framework - the Nested Markov Hyper-Tuner
[NO] 956/1806 | Assessment and Prediction of Carbon Emissions Associated with Grid Electricity
[NO] 957/1806 | Super Mario A-Star Agent Reloaded
[NO] 958/1806 | A Noval Fault Diagnosis Algorithm Based on Optimal Minimum Entropy Morphological Deconvolution
[NO] 959/1806 | A Novel Wideband 180
                    <sup>°</sup>
                    Power Divider With High Isolation Network
[NO] 960/1806 | Task-Oriented Reliability Modeling and Analysis of Federated Learning-Enabled Intelligent Manufacturing Systems
[NO] 961/1806 | Optimization of Spectrum Resource Allocation for Vehicle Platoon in V2X Networks Based on Deep Reinforcement Learning
[NO] 962/1806 | MESA: Effective Matching Redundancy Reduction by Semantic Area Segmentation
[NO] 963/1806 | Longitudinal study on Higher Education Engineering students: How their competency-evaluations evolve?
[NO] 964/1806 | Voltage Sharing Between MOSFETs in a SiC-Based Two-Switch Flyback
[NO] 965/1806 | Adaptive Large Language Model for Task Orchestration in 6G Space-Air-Ground Integrated Computing Power Networks
[NO] 966/1806 | Efficient Intrusion Detection for Edge Network via Multi-Stage Few-Shot Class-Incremental Learning
[NO] 967/1806 | The origin of gate degradation under HTRB operation: Buffer engineering to suppress impact ionization in GaN HEMT
[NO] 968/1806 | Miniatured In-Ear Sensor for Motion Artifact-Free Real-Time Vital Sign Monitoring_supp1-3641229.docx
[NO] 969/1806 | Collision Risk Minimized Multi-Vehicles Cooperative Path Planning in Open-Pit Mine Unloading Areas
[NO] 970/1806 | Subsurface Rough Fractures Detection by Borehole Radar: Numerical Simulation and Analysis
[NO] 971/1806 | Dual-Inverter Driven Inductive Power Transfer System With Variable Reactance Network for Enhanced Misalignment Tolerance
[NO] 972/1806 | Bayesian-based correction of SAR electronic pointing error for ocean surface radial current velocity retrieval in the open ocean
[NO] 973/1806 | An Incipient Fault Diagnosis Scheme via Multi-stable Stochastic Resonance and Improved VMD
[NO] 974/1806 | Multiple-Constrained Adaptive Relative Pose Human-Machine Shared Control for Manned Spacecraft Cooperative Closed-Range Rendezvous and Docking Missions
[NO] 975/1806 | Table of Contents
[NO] 976/1806 | Improvement of underwater waste target detection based on YOLOV10
[NO] 977/1806 | Task Offloading for CAVs Edge Computing Environment: Taxonomy, Critical Review, and Future Road Map
[NO] 978/1806 | GBA-UBF: A Large-Scale and Fine-Grained Building Function Classification Dataset in the Greater Bay Area
[NO] 979/1806 | Effects of Subject's Motion Status, Finger's Measurement Site, and Variation in Light Wavelength on the Dynamics of Photoplethysmogram
[NO] 980/1806 | Ontology-Guided Hybrid Loss for Fault Classification in Oil &amp; Gas
[NO] 981/1806 | A Robust Metric for Evaluating the Quality of Synthetic Tabular Data
[NO] 982/1806 | Dual-Spectrum All-Sky camera Cloud Classifier by means of Computer Vision Models
[NO] 983/1806 | Evaluation of Induced Voltages and Currents in 400kV Double Circuit Tunnel Power Cables
[NO] 984/1806 | Integration of renewable energies in community buildings: a solution to the energy needs of "El Mirador"
[NO] 985/1806 | ICDIR 2025 Author Information Page
[NO] 986/1806 | Virtual Drive with a BLDC Motor
[NO] 987/1806 | The Influence of Environmental Parameters on Optical Signal Attenuation in Underwater Wireless Communication Systems
[NO] 988/1806 | Improving 5G/B5G Network Performance with RFID-Enabled Resource Management Systems
[NO] 989/1806 | BERT-GRU: A Deep Learning Framework for High-Accuracy Antimicrobial Peptide Recognition
[NO] 990/1806 | A Comparative Study of Different Magnetic Gap Modeling Methods Based on PEEC
[NO] 991/1806 | MedESM: Improving Clinical Note Readability with a Lightweight Structured Summarization Language Model
[NO] 992/1806 | Advancing TDR Technique for Oil Leakage Detection
[NO] 993/1806 | SCALAR: Self-Calibrating Adaptive Latent Attention Representation Learning
[NO] 994/1806 | GLAD-CSC: Global-Local Attention with Dynamic Confusion Management for Chinese Spelling Correction
[NO] 995/1806 | ICMLC 2025 Author Index
[NO] 996/1806 | Multivariable Optimization of Voltage Transformer Design Using Evolutionary Techniques
[NO] 997/1806 | Secure Communications and Computations based on Quantum Technologies
[NO] 998/1806 | Table of Contents
[NO] 999/1806 | Short-Term Prognostication of Energy Yield from Wind Power Plants
[NO] 1000/1806 | Unraveling Co-Heritability of Antibiotic Resistance in Tuberculosis Evolution
[NO] 1001/1806 | A Framework for Hybrid Set-Theoretic and Numerical Problem Solving
[NO] 1002/1806 | Strengthening Organizational Cybersecurity Using Gamification in the Employees’ Learning and Development
[NO] 1003/1806 | Attribute-Guided Zero-Shot Activity Recognition in Wearable Health Systems
[NO] 1004/1806 | Video Traffic Classification in the 5G Open RAN Network
[NO] 1005/1806 | Microwave Photonics-Based Reflectometry for PCB Defect Detection
[NO] 1006/1806 | Guiding Evolutionary Molecular Design: Adding Reinforcement Learning for Mutation Selection
[NO] 1007/1806 | Real-Time Detection of Malicious IP Addresses using Graph Neural Networks: A Cross-Protocol Machine Learning Approach
[NO] 1008/1806 | Auction-Based Approach for Pickup and Delivery Problem with Time Windows
[NO] 1009/1806 | High-Performance CMOS OTA Design for Sub-6 GHz RF Applications: Optimizing Efficiency-Linear Trade-Offs in 65 NM Technology
[NO] 1010/1806 | GNS3aaS: Networking lab in OpenStack
[NO] 1011/1806 | ICETA 2025 Ad Page
[NO] 1012/1806 | Harmonising Safety Paradigms: Energy-Aware Control of Active Response and Passive Compliance for Safety-Critical Robotic Tasks_supp1-3643285.mp4
[NO] 1013/1806 | Robust Design for RIS-Aided Integrated Wireless Sensing and Power Transfer System
[NO] 1014/1806 | Adaptive Fault-Tolerant Perimeter Control for Two-Region Networks With Actuator Faults
[NO] 1015/1806 | Interdisciplinary Dialogues on Surgical Data Science: Revising its Benefits for Surgical Stakeholders and Patients
[NO] 1016/1806 | CoDeepCL-Based Oscillation-Adaptive and Label-Free Instability Detection Approach for DC Power Electronic Systems
[NO] 1017/1806 | Decision-Making-Based Multiobjective Direct Speed Predictive Control Without Weighting Factors
[NO] 1018/1806 | A Soft Switched Multimode Domestic Charger for Plug-in and Wireless EVs
[NO] 1019/1806 | Adaptive Scale Fusion via Uncertainty Estimation for Visual Grounding in Remote Sensing Images
[YES] 1020/1806 | Safety-Oriented Evaluation of Embedded C Coding Methodologies for Automotive Software Using MISRA C and ISO 26262 Standards
[NO] 1021/1806 | Design Guidelines for an LRS-Enabled Electronic Voting System Using Cryptowallet Identities
[NO] 1022/1806 | Enhancing ATM Security Via Deep Transfer Learning-Based Face Recognition
[NO] 1023/1806 | Adaptive EEG Artifact Space Reconstruction Based on the Support Vector Estimation in Dynamic Motion Conditions
[NO] 1024/1806 | Video Enhancement Using a Hybrid Deep Learning and Reinforcement Learning Approach
[NO] 1025/1806 | A Spatiotemporal and User-Centric Assessment of 5G Enhanced Mobile Broadband Service in Addis Ababa
[NO] 1026/1806 | Message - Director
[NO] 1027/1806 | Performance of Transformer-Based Models in Dholuo-Swahili Translation for Low-Resourced Language
[NO] 1028/1806 | Acceleration of Optical Link Recovery for Optical-Switched Data Center Networks via Clock and Protocol Co-Optimization
[NO] 1029/1806 | Dynamics of Collective Group Affect: Group-level Annotations and the Multimodal Modeling of Convergence and Divergence_supp1-3643752.pdf
[NO] 1030/1806 | Coordinated Decision Making for High-Speed Railway Train Timetable Rescheduling and Trajectory Control: Architecture, Algorithms, Simulation, and Applications
[NO] 1031/1806 | Performance Analysis and Optimization of Non-Orthogonal Multiple Access Enabled Hybrid Satellite-Terrestrial Relay Networks
[NO] 1032/1806 | IEEE Transactions on Plasma Science Special Issue on Discharges and Electrical Insulation in Vacuum
[YES] 1033/1806 | AI-Powered System Cybersecurity Operations and Incident Response
[NO] 1034/1806 | Integrating AI in Management Education: Applications &amp; Challenges
[NO] 1035/1806 | IDSPS Program for Future of Semiconductor industry in India
[NO] 1036/1806 | 2025 60th International Universities Power Engineering Conference (UPEC)
[NO] 1037/1806 | Enhancement in Performance of Embedded Linux Through Study of Memory Management Algorithms of Swapping
[NO] 1038/1806 | 2025 International Conference on Electrical Systems &amp;amp; Automation (ICESA)
[NO] 1039/1806 | Data-Driven Carbon Footprint Estimation in Software Systems Using AI and Deep Learning
[NO] 1040/1806 | DFUGCN: Image Classifying Technique for Localizing of Diabetic Foot Ulcers
[NO] 1041/1806 | Guest Editorial: Special Section on Reliability and Stress-Induced Phenomena in Microelectronics
[NO] 1042/1806 | Multimodal Sentiment Analysis Using Deep Learning and Attentive Mechanism
[NO] 1043/1806 | Harmonizing Hindi Horizons: Assessing Transformer Variants for News Translation and Abstraction
[NO] 1044/1806 | Robust Federated Video-based Remote Physiological Measurement for Heterogeneous Multi-source Data
[YES] 1045/1806 | TinyML vs LLMs: A Survey of Extreme Scales in Machine Learning
[NO] 1046/1806 | Comparative Analysis of High-Resolution Phase Measurement Principles for Picosecond Clock Synchronization
[NO] 1047/1806 | Emerging Trends in Artificial Intelligence for Digital Accessibility: A Topic Modeling Analysis
[NO] 1048/1806 | Towards an Event-Level Analysis in Hadronic Physics Using Generative AI-Based Surrogates
[NO] 1049/1806 | A Mobile-Based Metaverse for Enhancing Space Visualisation and Decision Making in Traditional Interior Design and Real Estate
[NO] 1050/1806 | RRM: A fast edge rewiring algorithm for supply chain resilience
[NO] 1051/1806 | Simulation of Supply Chain Equilibrium Optimization Management of Multi-level Logistics Storage Facilities Based on Internet of Things
[NO] 1052/1806 | An adaptive machine learning based network traffic anomaly detection system
[NO] 1053/1806 | 3OTSO: Three-Objective Task Scheduling Optimization for CPU-GPU Heterogeneous Cloud Environments
[NO] 1054/1806 | Intelligent Data Mining Method Based on Adaptive Weighted Clustering and Deep Representation Learning
[YES] 1055/1806 | A Survey of Machine Learning Approaches in Logic Synthesis
[NO] 1056/1806 | Masked Autoencoders for Ultrasound Signals: Robust Representation Learning for Downstream Applications
[NO] 1057/1806 | Class $\Phi$ Resonant Gate Driver with Waveform Shaping for SiC-based VHF Power Conversion
[NO] 1058/1806 | Multi-Task Surrogate-Assisted Search With Bayesian Competitive Knowledge Transfer for Expensive Optimization
[NO] 1059/1806 | IF-TEM based Detection for Spike Communications with RLL Encoding
[NO] 1060/1806 | Table of Contents
[NO] 1061/1806 | An Intelligent Mobile Sink-based Fault Detection and Data Collection Scheme for Consumer IoT-enabled Sensor Networks
[NO] 1062/1806 | High-Gain Circularly Polarized Foldable Reflectarray for 3U CubeSat
[NO] 1063/1806 | A Novel Technique to Rank-Order Occupational Injury Claims for Return-to-Work Prediction
[NO] 1064/1806 | Decentralized Approach to 4G Identity Management Using Self-Sovereign Identity and Blockchain
[NO] 1065/1806 | High-Resolution Recommender System for Metamaterial Synthesis
[NO] 1066/1806 | AI Image and Text Generation for Students in Higher Education
[YES] 1067/1806 | Automated Answer Paper Evaluation (AAPE)
[NO] 1068/1806 | Remote Monitoring of Pasture Biomass and Vegetation Health in Free-Range Cattle Systems Using Block-Based RGB Drone Imagery Classification and the Excess Green Index
[NO] 1069/1806 | Enhancing Parkinson’s Diagnosis with Deep Learning and Speech Features
[NO] 1070/1806 | Identification of Equipment Failure Behavior Through Comparative Analysis of Statistical and Theoretical Methods
[NO] 1071/1806 | OEMLLM: Ophthalmology Expert MLLM for Various Fundus Disease Assisted Diagnosis
[YES] 1072/1806 | Design and Verification of Programmable UART with AXI in Application-Specific Integrated Circuits
[NO] 1073/1806 | Integrating Vision-Language Models and Multimodal Retrieval for Real-Time Emergency Response in Healthcare
[NO] 1074/1806 | Root Nodule Estimation Using a Non-Destructive Machine Learning Approach
[NO] 1075/1806 | Universal Laboratory Model: Prognosis of Abnormal Clinical Outcomes based on Routine Tests
[NO] 1076/1806 | Multipole Analysis of Metasurfaces Exhibiting Toroidal Resonances
[NO] 1077/1806 | Energy-Efficient Smart Irrigation Using Edge AI and Forecast-Driven Scheduling
[NO] 1078/1806 | Towards Design of Questionnaire to Study the Role of LCA Tool to Foster the Eco-Innovations in Agrifood Sector
[NO] 1079/1806 | Pelican Optimization Algorithm Performances for Harmonic Parameters Estimation of a Synthetic Power Signal
[NO] 1080/1806 | A Multiband Circularly Polarized SIW-Horn Antenna for Sub-Theraherz Frequencies
[NO] 1081/1806 | Quantum Machine Learning for EV Mobile Charging Prediction
[NO] 1082/1806 | Improving Stool Segmentation in Abdominal X-Rays using Gas Mask Guidance with U-Net
[NO] 1083/1806 | Design and Development of a High Performance Two-Element MIMO Antenna for 5.9 GHz Vehicular Communication
[NO] 1084/1806 | New Resonant Converter Design for Low Coupling Wireless Power Transfer Applications
[NO] 1085/1806 | A Fast Transient Response LDO with Dynamic Adjustment Circult for Slew Rate
[NO] 1086/1806 | Investigation of Quantitative and Qualitative Methods for Risk Assessment in Agricultural Management
[NO] 1087/1806 | PyDivDyn: A High-Performance Python Toolkit for Machine Learning Analyses of Macro-Evolutionary
[NO] 1088/1806 | Anomaly Detection in Electric Vehicle Charging Stations Using Federated Learning
[NO] 1089/1806 | Proactive TSCA Detection via Real-Time Thermal Signature Modeling on Low-Power IoT Devices
[NO] 1090/1806 | Digital Industrial Solutions for Enhancing Student Motivation and Prepare Them for Industry 4.0
[NO] 1091/1806 | GCAIoT 2025 Cover Page
[NO] 1092/1806 | Explaining Time Series Classification Predictions via Causal Attributions
[NO] 1093/1806 | Automated Bus Scheduling and Route Management
[NO] 1094/1806 | Towards High-Performance Quantum-Based LEDs: Optoelectronic Modulation of 2D Silicon Carbide for Tunable and Efficient White Light Emission
[NO] 1095/1806 | Software managed 5G service centric for Time-Sensitive Networking
[NO] 1096/1806 | Data-driven real-time assessment of the hosting capacity for distribution networks under large-scale electric vehicle penetration
[NO] 1097/1806 | An Improved Module of Bidirectional Feature Pyramid Network Based on YOLOv11 for Underwater Object Detection
[NO] 1098/1806 | Teaching Thinking in the Course Mathematics for Computer Science
[NO] 1099/1806 | Mechanical Strain Monitoring Using Filter-Based Fiber Bragg Grating Interrogator
