[2026-02-12 09:35:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-11
正在获取论文...
[arXiv] 2026-02-11 | Initial Guesses for Multicomponent Mean-Field Methods: Assessment and New Developments
[NO] 911/1776 | Modeling and Control of a Dual-Tilt Birotor UAV
[NO] 912/1776 | Estimating daily wet Nitrate deposition across China considering under-cloud and in-cloud scavenging effects from satellite observations
[NO] 913/1776 | PGVMS: A Prompt-Guided Unified Framework for Virtual Multiplex IHC Staining with Pathological Semantic Learning
[NO] 914/1776 | SEM-CLIP 2.0: Precise Zero-/Few-Shot Learning for Nanoscale Defect Detection in SEM Image
[NO] 915/1776 | Prediction and Image Formation for Serendipitous Resident Space Object Underflights of Landsat 8
[NO] 916/1776 | Investigation into the Mechanisms of Negative Sequence Current Distribution Among Grid-Forming Sources
[NO] 917/1776 | Retraction Notice: Retrieve Content Images using Color Histogram, LBP and HOG
[NO] 918/1776 | NPPC: Neural Parametric Planning Cost for End-to-end Autonomous Driving
[NO] 919/1776 | MIMO OFDM Waveform-Based State Estimate of Multiple Mobile Devices for 6G ISAC Systems
[NO] 920/1776 | Phased-MIMO Radar Beamforming for Integrated Multi-User Communication and Multi-target Sensing Over High-Frequency Bands
[NO] 921/1776 | Hierarchical Motion Planning for MASSs: A COLREGs-Compliant Framework Integrating Offline Trajectory Optimization and Real-Time Coupled Course-Speed Decision-Making_supp4-3662992.mp4
[NO] 922/1776 | A Passive Network Storage Covert Channel for the Internet of Things
[NO] 923/1776 | Decoding Public Reactions to Tax Policy Reforms Using BERT-Based Sentiment Analysis
[NO] 924/1776 | Smart Summarization of Terms &amp; Conditions: Making Legal Jargon User-Friendly
[NO] 925/1776 | Learning Beyond Price: A Hybrid RL Approach Leveraging Financial Reports and Evolving Sentiment
[NO] 926/1776 | Digital Twins in Surgery as a Real-Time Decision Support System: A Multi-Layered Framework
[NO] 927/1776 | Multi-Criteria Rake Link Optimization in a Dense Suburban Railway Network
[NO] 928/1776 | ICCR 2025 Author Index
[NO] 929/1776 | Machine Learning - Based Analysis of Driving Performance and Fatigue - Induced Behavioral Factors
[NO] 930/1776 | Disturbance Analysis with Super-Twisting Sliding Mode Control for UAVs
[NO] 931/1776 | Efficient Multi-designated Receiver Authenticated Broadcast Encryption for Group Messaging
[NO] 932/1776 | A Method for Generating Elevator Detection Video Texts Based on Semantic Recognition
[NO] 933/1776 | Reinforcement Learning-Based Adaptive Voltage Support for Grid-Forming Converters
[NO] 934/1776 | Value-Based Reinforcement Learning for Mapless Navigation of a Mobile Robot
[NO] 935/1776 | A Style Transfer-Based Method for Land Cover Segmentation in Power Grid Project Remote Sensing Images
[NO] 936/1776 | A High Parameters Tolerance CPT System with Constant Voltage Output
[NO] 937/1776 | Decoupling Analysis of Carbon Emissions and Economic Growth in the Power Sector
[NO] 938/1776 | Assessing the Probability of Detection in a Frequency-Selective EMD Detector: A Design Perspective
[NO] 939/1776 | Beyond Black Boxes: Trustworthy and Energy-Efficient IoT Systems for Extended Lifespan and Reduced Bias in Remote Health Monitoring
[NO] 940/1776 | Modeling and Control of an H-Configuration Quadrotor with Foldable Arms
[NO] 941/1776 | Prompt Complexity and Plan Stability: Benchmarking On-Device Language Planning for Robots
[NO] 942/1776 | Research on Efficiency Optimization and Constant Voltage Output Composite Control of WPT System Based on Topology Switching
[NO] 943/1776 | A Hierarchical Combined Fault Injection-Based Resilience Evaluation Method for Heterogeneous Power Terminals
[NO] 944/1776 | Safety Certification in the Latent space using Control Barrier Functions and World Models
[NO] 945/1776 | Machine Learning-Based SoC and RUL Estimation Applied to an Electric Bus Fleet
[NO] 946/1776 | Criticality Metrics for Relevance Classification in Safety Evaluation of Object Detection in Automated Driving
[NO] 947/1776 | Label Anything, Train Nothing: 2D Zero-Shot Annotation via Generative VLMs, Zero-Shot Object Detectors and Foundation Models
[NO] 948/1776 | Towards Holistic Safety Engineering for Automated Driving via the Scenarios as Specification Approach
[NO] 949/1776 | Multi-Objective Path Planning of Robots in Nuclear Environments Based on Improved Ant Colony Algorithm
[NO] 950/1776 | Multi-Pass Streaming Lower Bounds for Approximating Max-Cut
[NO] 951/1776 | IEEE Transactions on Circuits and Systems for Video Technology Publication Information
[NO] 952/1776 | Design and Implementation of an ADS1299-Based Electrophysiological Signal Acquisition System
[NO] 953/1776 | Research on Coupling Task Scheduling for Four-Way Shuttle-Based Systems
[NO] 954/1776 | Zonotopic Stability Conditions via Set-Invariance for Delay Difference Equations
[NO] 955/1776 | Cyber-Secure Self-healing Secondary Voltage Control Method in Isolated AC Microgrids under FDI Attacks on Communication Links
[NO] 956/1776 | Near-Optimal Analytical Terminal Descent Guidance for Lunar Landers under State and Control Constraints
[NO] 957/1776 | Preface
[NO] 958/1776 | Table of Contents
[NO] 959/1776 | SGC 2025 Authors Index
[NO] 960/1776 | Adaptive Hybrid Prediction-Correction with Trust-Region and Dynamic Line Search for AC/DC Load Flow
[NO] 961/1776 | Retraction Notice: Histogram based Human Computer Interaction for Gesture Recognition
[NO] 962/1776 | A 0.29 pJ/b 5.27 Tb/s/mm UCIe Advanced Package Link With 2.5-D CoWoS Interposer and a 0.52 pJ/b 0.448 Tb/s/mm UCIe Standard Package Link With Organic Substrate in 3 nm FinFET
[NO] 963/1776 | ARViP: Adversarial Regularization in Visuomotor Policies for Robotic VLA Purpose
[NO] 964/1776 | The inNuCE Research Infrastructure and the Neuromorphic MLOps for AIoT prototyping
[NO] 965/1776 | SCAW: Exploring Semantic Structures of Radio Signals via Soft Top-k Contrastive and Adaptive Consistency with Wavelet Refinement
[NO] 966/1776 | IoT Service Orchestration in Edge-Cloud Continuum with 6G: A Review
[NO] 967/1776 | Game Plot Design With an LLM-Powered Assistant: An Empirical Study With Game Designers
[NO] 968/1776 | SFTCN: Scale Fusion Temporal Convolutional Network for Time Series Forecasting
[NO] 969/1776 | Smooth Spatiotemporal Tube Synthesis for Prescribed-Time Reach-Avoid-Stay Control
[NO] 970/1776 | ICCR 2025 Cover Page
[NO] 971/1776 | Tube-Based Robust Obstacle Avoidance and Following Control for Vehicle Formations
[NO] 972/1776 | Automation of Machine Learning Model in Dynamic Production Environment
[NO] 973/1776 | Cross-View Trace Link Prediction with Multi-Feature GNNs: Creating and maintaining Traceability from Requirements to Components
[NO] 974/1776 | Reviewers: ICNSC 2025
[NO] 975/1776 | IoT-Enabled Sleep Monitoring and Cognitive Assessment for Evaluating Teacher Well-Being
[NO] 976/1776 | Load Profile Estimation of Power Distribution Transformers Based on Limited Smart Meter Data
[NO] 977/1776 | Integrating Sentiment Analysis and Technical Indicators for Stock Price Prediction Using Machine Learning Techniques
[NO] 978/1776 | ShipSense: Live Shipment Monitoring and Alerting via Mobile-Integrated IoT System
[NO] 979/1776 | Secure Framework for Privacy and Risk Mitigation in IoT-Enabled Health Insurance
[NO] 980/1776 | An Ensemble Approach to Stock Price Prediction: LSTM and Random Forest Integration
[NO] 981/1776 | Weighted Eligibility-Based Product Recommendation System
[YES] 982/1776 | Automated EARS-Based Requirements Generation with Lightweight Large Language Models
[NO] 983/1776 | A Comprehensive Survey of Underwater Image Enhancement: Trends in Physics-Based, Visual Prior, Data-Driven, and Hybrid Approaches
[NO] 984/1776 | An Adaptive $L_{1}$-And- $L_{2}$-Normed Latent Factorization of Tensors Model for Imputing Water Quality Monitoring Data
[NO] 985/1776 | CPED-NCBFs: A Conformal Prediction for Expert Demonstration-based Neural Control Barrier Functions
[NO] 986/1776 | A Non-intrusive Load Monitoring Using a VMD-EMD Signal Processing and BiGRU-BiLSTM Deep Learning Approach
[NO] 987/1776 | Algorithm of Data Generation for Transmission to the Operator During Manipulation Operations with a Limited-Bandwidth Communication Channel
[NO] 988/1776 | Dry Hot Rock Geothermal Energy Development and Utilization Technology:A Patent Landscape Review
[NO] 989/1776 | Copyright Page
[NO] 990/1776 | Research on Equivalent Inertia Prediction Method for Wind Turbine Generators Based on Temporal Convolutional Network and Multi-Head Attention Mechanism
[NO] 991/1776 | Research on Inertia and Additional Power Compensation Control of Photovoltaic Energy Storage DC Microgrid
[NO] 992/1776 | Energy Management for Fuel-Cell-Range-Extender Buses Based on Dynamic Programming and Neural Network
[NO] 993/1776 | Virtual Decomposition Based Safety-Critical Control with Joint Position Constraints for Multi-DOF Robotic Manipulator
[NO] 994/1776 | DynaRyde: Optimizing Public Transit with Dynamic Routing and User Requests
[NO] 995/1776 | Predefined time consensus of leader-follower multi-agent systems under reward mechanism
[NO] 996/1776 | UPEDM: Underground Parking Entrance/Exit Detection Method Based on Multi-Source Non-Visual Sensor Fusion
[NO] 997/1776 | Service Disruption of a Vehicular ECU Through UDS Extended Diagnostic Requests
[NO] 998/1776 | Benchmarking Transformer Models for Fine-Grained Assamese Hate Speech Detection in Social Media
[NO] 999/1776 | Program Committee
[NO] 1000/1776 | Instance-Optimal Uniformity Testing and Tracking
[YES] 1001/1776 | Bug Hunting in the RISC-V SoC: The 1
                    <sup>st</sup>
                    Integrated Circuit Security Challenge
[NO] 1002/1776 | On the Impossibility of SNARGs with Short CRS : (or: Revisiting Gentry-Wichs Barrier in the Non-adaptive Setting)
[NO] 1003/1776 | How Global Calibration Strengthens Multiaccuracy
[NO] 1004/1776 | NNUF: Nearest Neighbor Union-Find Decoder for Quantum Error Correction
[NO] 1005/1776 | Learning quantum Gibbs states locally and efficiently
[NO] 1006/1776 | A Throughput-Enhanced Voltage-Domain Non-Volatile CIM Architecture with Pipelined Compute-Quantize Operation and Two-Step Sub-Ranging ADC
[NO] 1007/1776 | A High-Voltage, High-Output-Current Rail-to-Rail Operational Amplifier with Integrated Protection Circuits
[NO] 1008/1776 | Advanced Review of Technological Explainable AI (XAI): Innovations, Applications, and Prospects in Medical Sciences
[NO] 1009/1776 | Influence of digital marketing strategies and customer loyalty in an entertainment company in Trujillo
[NO] 1010/1776 | Interannual Dynamics of Thermal Conditions in the Kuril Islands Region And Changes in Sardine And Saury Aggregation Site Formation
[NO] 1011/1776 | Digitalisation in Reverse Logistics: Risk Strategies for Circular Supply Chains
[NO] 1012/1776 | Evaluating Deep Learning Architectures for Decision Support in Early CRC Detection
[NO] 1013/1776 | Modification of the Inverse Dynamics Algorithm for an Underwater Multilink Manipulator
[NO] 1014/1776 | Non-Invasive Diagnosis of Huntington's Disease Through EEG Signal Interpretation and Deep Learning
[NO] 1015/1776 | Artificial Intelligence and Customer Experience: A Systematic Review Across Industries 2021 - 2025
[NO] 1016/1776 | Aggregator Scheduling and PV Utilization Optimization Strategies for Low-Density EV Regions
[NO] 1017/1776 | A Source–Grid Coordinated Planning Model Integrating Grid Strength Constraints
[NO] 1018/1776 | Multi-electrode suction cup based probe with surgical margin visualization for minimally invasive surgery
[NO] 1019/1776 | AgriBot: A Hexapod-Based Autonomous Robot for Precision Agriculture and Sustainable Farming
[NO] 1020/1776 | A Resilient Federated Learning Framework for Privacy-Preserving Smart Cities
[NO] 1021/1776 | ‘DAANSETU’ a Machine Learning-Based Platform for Enhancing NGO-Donor Interactions
[NO] 1022/1776 | EEG-Powered Brain-Computer Interface for 3D Hand Gesture Control
[NO] 1023/1776 | Faster Mixing of the Jerrum-Sinclair Chain
[NO] 1024/1776 | Breaking a Long-Standing Barrier: 2-ε Approximation for Steiner Forest
[NO] 1025/1776 | Modular NAS Protocol Design for 6G
[NO] 1026/1776 | DeepRS: LLM-Driven Deep Reasoning for Multi-Granularity Remote Sensing Scene Interpretation
[NO] 1027/1776 | Multi-Scale Attention and Adaptive Loss for Blood Cell Detection
[NO] 1028/1776 | FOOOF-Based EEG Spectral Parameterization for Automated Consciousness Assessment
[NO] 1029/1776 | Transfer Learning for LiDAR-based Roadside 3D Object Detection by Leveraging Multi-Source Vehicle-Side Detectors
[NO] 1030/1776 | CRAR: Coherent Risk-Aware Regulation for DRL-Based Mapless Robot Navigation
[NO] 1031/1776 | Human-Agent Collaborative Wargame Decision-Making Via Reinforcement Learning
[NO] 1032/1776 | A Differential Game Approach to Collision-Aware Multi-Agent Target Defense in 3D UAV Systems
[NO] 1033/1776 | Analytical Derivation of the Permissible Initial Position Error Region of a Cylindrical Part for Grasping with a Rotary Chuck-type Three-Fingered Hand
[NO] 1034/1776 | Deep Reinforcement Learning based Control Design for Aircraft Recovery from Loss-of-Control Scenario
[NO] 1035/1776 | Rapid Fault Detection Strategy for Synchronous Generators Connected to The Power Grid
[NO] 1036/1776 | Edge-Aware Dual-Stream Dynamic Fusion Network for Building Extraction in Remote Sensing Images
[NO] 1037/1776 | An Efficient Fast Beamforming Algorithm for Sidelobe Suppression and Gain Loss Limitation
[NO] 1038/1776 | S
                    <sup>2</sup>
                    -DETR: Hierarchical Sparse-to-Spatial Attention Enhanced DETR for Traffic Participant Detection in Sparse Autonomous Driving Scene
[NO] 1039/1776 | Tracking Fast by Learning from Slow: An Event-based Hand Tracker Leveraging Knowledge in RGB Domain
[NO] 1040/1776 | Construction of a diagnostic model for Osteosarcopenia based on metabolomics-imaging feature fusion and biomarker screening
[NO] 1041/1776 | AI-Based Personalized Correction for Refractive Errors through Integration with Refractive Surgery
[NO] 1042/1776 | Forecasting Population Trends and Socioeconomic Impacts in Asian Tiger Economies Using Stochastic and Machine Learning Models
[NO] 1043/1776 | Black Start of the Islanded Microgrid with Grid-forming PMSG-based Wind Turbines As Main Power Sources
[NO] 1044/1776 | HDFE-net: A Novel Approach for Medical Skeletal Point Cloud Registration
[NO] 1045/1776 | Retraction Notice: Prevention of Rushing Attack in AOMDV using Random Route Selection Technique in Mobile Ad-hoc Network
[NO] 1046/1776 | Retraction Notice: Advancements in Cloud-Based Solution for Medical Imaging: A Survey
[NO] 1047/1776 | Retraction Notice: A Robust medical data sharing application with a collaborative hypothesis and Elastic net regression model
[NO] 1048/1776 | Multi-objective Optimization of Energy Hubs and Pareto Front Decision Making Using Large Language Models
[NO] 1049/1776 | Combining Variable Admittance with Finite-Time Sliding Mode Control for a Pediatric Gait Exoskeleton: A Human-in-the-Loop Framework
[NO] 1050/1776 | Blockchain-Enabled and Multiple Linear Regression-Assisted Energy Trading Framework for Electric Vehicles in Next-Generation Smart Grids
[NO] 1051/1776 | Event-Triggered Polynomial Model Predictive Control for Multi-Agent Navigation
[NO] 1052/1776 | Relative Side-Bearing Angle-Based Circumnavigation of a Target Using Unmanned Aerial Vehicle with Boundary Constraints
[NO] 1053/1776 | Securing the Industrial Control Systems: A Layered Perspective on Cyber Threats and Countermeasures
[NO] 1054/1776 | A review of the role of smart metering systems in electricity distribution networks in Isfahan province, situations and challenges
[NO] 1055/1776 | Retraction Notice: Proficient energy hole prevention scheduling in Wireless Sensor Networks
[NO] 1056/1776 | Retraction Notice: Analysis of the Data from the Twitter account using Machine Learning
[NO] 1057/1776 | Preface
[NO] 1058/1776 | OmniHD-Scenes: A Next-Generation Multimodal Dataset for Autonomous Driving
[NO] 1059/1776 | HFLAD: AI-Driven Hierarchical Fusion Learning for Predictive Anomaly Detection in Consumer-Centric Systems
[NO] 1060/1776 | Neural Network Augmented Koopman Explicit Model Following Control for Robotic Manipulators
[NO] 1061/1776 | A Novel Filtering Antenna via Electric and Magnetic Coupling on a Transversal Topology
[NO] 1062/1776 | Bézier Curve-Based Optimization Framework for Multirobot Motion Planning in Unknown Environments
[NO] 1063/1776 | A hybrid classical quantum framework for electromagnetic interference analysis and optimization in network cables
[NO] 1064/1776 | A High Efficiency Doherty Power Amplifier MMIC with Active Second Harmonic Injection Technique
[NO] 1065/1776 | Query-Efficient Fixpoints of ℓ
                    <sub>p</sub>
                    -Contractions
[NO] 1066/1776 | Predictive Modelling for Chronic Kidney Disease
[NO] 1067/1776 | Forecast-Based Decision Support System Design for Small-Scale Agriculture: A DMADV Case Study from Northern Thailand
[NO] 1068/1776 | Research on Transient Characteristics Simulation Test and Field Test of Grid-forming SVG
[NO] 1069/1776 | Method for Correcting the Position, Orientation and Velocity of End-Effector of Underwater Multilink Manipulators
[NO] 1070/1776 | Smart Public Toilet with Solar Power for Sustainable and Energy-Efficient Operation
[NO] 1071/1776 | Facial Expression-Driven Music Recommendation Using Convolutional Neural Networks and Gradio Interface Integration
[NO] 1072/1776 | Automated X-Ray Image Stitching for Enhanced Medical Diagnostics and Visualization
[NO] 1073/1776 | Solar Powered Automatic Farming Sling with an Inbuilt Irrigation System
[NO] 1074/1776 | Diabetic Retinopathy Detection: An Approach Using Different CNN Architectures
[YES] 1075/1776 | Resilience-by-Design: Challenges and Practitioner Needs in the Design of Resilient Automotive Systems Architectures – Findings from a Qualitative Interview Study
[YES] 1076/1776 | Self-Adaptive Defect Prediction in Software Systems Using Deep and Reinforcement Learning
[NO] 1077/1776 | Joint Identification of Encoders and Interleavers Using Deep Learning with Hardware Validation
[NO] 1078/1776 | Coverage-Aware Federated Learning in Multi-Hop Drone Networks via Distributed Participant Selection
[NO] 1079/1776 | CR-LSO: Convex Neural Architecture Optimization in the Latent Space of Graph Variational Autoencoder With Input Convex Neural Networks
[NO] 1080/1776 | Undirected Multicast Network Coding Gaps via Locally Decodable Codes
[NO] 1081/1776 | Overcomplete Tensor Decomposition via Koszul-Young Flattenings
[NO] 1082/1776 | Towards True Work-Efficiency in Parallel Derandomization: MIS, Maximal Matching, and Hitting Set
[NO] 1083/1776 | PASAformer: Cerebrovascular Disease Classification with Medical Prior-Guided Adapter and Pathology-Aware Sparse Attention
[NO] 1084/1776 | Output Feedback Asynchronous Fuzzy SMC of Nonlinear Markov Jump Systems via Hidden Mode Detections
[NO] 1085/1776 | Optimizing Deep Learning Architectures for Diabetic Retinopathy Detection: A Comparative Study of CNN and ResNet-50 with ADAM and SGDM
[NO] 1086/1776 | A Visual-Loss Reconstruction and Re-Initialization SLAM Algorithm Fusing IMU and Wheel Encoder Data
[NO] 1087/1776 | Non-Singular Terminal Sliding Mode Tracking Control Technology of Piezopositioning Stages
[NO] 1088/1776 | An Airborne based Electricity Verification System for Transmission Lines under Contactless Conditions
[NO] 1089/1776 | Experimental System for Full-Lifecycle Performance Evaluation of Elevator Brakes
[NO] 1090/1776 | PG-TAF: Perceptually-Guided Graphs and Type-Aware Fusion for Multi-Agent Trajectory Prediction
[NO] 1091/1776 | Spiral Bionic Soft Robot: A Novel Bionic Grasping System Based on Logarithmic Spiral Structure and Adaptive Control
[NO] 1092/1776 | Research on RBF Neural Network-Based Adaptive PD Control for Rapid and Precise Cooperative Control of Underwater Dual-Manipulators
[NO] 1093/1776 | Advantages of E-Trailers
[NO] 1094/1776 | Leader-follower Joint Optimization of Processing Machines and Overhead Hoist Transfer Based on Nested Genetic Algorithm
[NO] 1095/1776 | Resilient PID Control for Power Grids under Decentralized Stochastic Event-Triggered scheme
[NO] 1096/1776 | Characterisation of Multilayer PVC Gel Actuator for Resting Tremor
[NO] 1097/1776 | Fault Diagnosis for Power Converters via Dual-channel Time-frequency Transform and Machine Learning
[NO] 1098/1776 | Tabular Data Adapters: Pseudo-Labeling Unlabeled Private Tabular Data for Outlier Detection
[NO] 1099/1776 | Adaptive Edge-Guided Fusion Network for Remote Sensing Image Change Detection_supp1-3662709.docx
[NO] 1100/1776 | Explaining customer churn through unified perturbation-based XAI soft computing
[NO] 1101/1776 | FairRFL: Fair and Robust Federated Learning in the Presence of Selfish Clients
[NO] 1102/1776 | NeuroCLIP: A Multimodal Contrastive Learning Method for rTMS-treated Methamphetamine Addiction Analysis
[NO] 1103/1776 | Adaptive Selecting in Clustered LEO Systems: Direct or Cooperative Communication?
[NO] 1104/1776 | Adaptive Co-Operative Prompting and Uncertainty-Aware Implicit Knowledge Enhancement for Cross-Modal Retrieval
[NO] 1105/1776 | Online Edge Coloring: Sharp Thresholds
[NO] 1106/1776 | Towards Reliable Skin Cancer Screening: A Multi-Model Deep Learning Approach on Dermoscopic Images
[NO] 1107/1776 | Accelerating Neural Convergence via Quantum-Classical Hybrid Feature Embedding
[YES] 1108/1776 | A Context-Aware Gray Box Framework for Hybrid Mobile Application Testing
[NO] 1109/1776 | The Nexus of SME Supply Chain Finance and Blockchain technology: A Grounded Theory approach
[NO] 1110/1776 | Explanation of the Poultry Disease Recognition Model Using VGG19 with Grab-CAM
[NO] 1111/1776 | 3D Object Detection with ToF-Sensorfusion for Human-Robot Collaboration
[NO] 1112/1776 | Domain Knowledge-Based Prompt with Anomaly Saliency MAP for Anomaly Detection in Medical Imaging
[NO] 1113/1776 | Cyclic Analysis of Collaborative Scheduling for Load Lock Modules in Cluster Tools With Equipment Front-End Module
[NO] 1114/1776 | Conference Committee
[NO] 1115/1776 | Harnessing Artificial Intelligence for Strategic Management: Transforming Decision-Making, Agility, and Competitive Advantage
[NO] 1116/1776 | AI Metaverse in Healthcare: Opportunities, Challenges, and Future Directions
[NO] 1117/1776 | Advancements in Hybrid Deep Learning for Stroke Classification: A Comprehensive Review of Genetic Algorithms and Bilstm Networks
[NO] 1118/1776 | Deep Learning in Healthcare
[NO] 1119/1776 | A Framework for Emergency Situational Awareness: Formal Representation, Modeling and Validation
[NO] 1120/1776 | Enhancing Automation in Robotic Coreless Filament Winding through Camera-based Teach-in
[NO] 1121/1776 | ICOS 2025 Cover Page
[NO] 1122/1776 | Estimation of Steady-State Speed of AUV Motion Based on Rotation Frequency of Cruise Thrusters
[NO] 1123/1776 | Intelligent YOLOv11 Multi Sensor Image Analysis for Maritime Search and Rescue on Unmanned Surface Vehicles
[NO] 1124/1776 | Understanding Stakeholder Perspectives on Online Education: A Data-Driven Approach
[NO] 1125/1776 | Evaluating Sequential Deep Learning Networks for Next Word Prediction: A Focus on LSTM and RNN
[NO] 1126/1776 | Exploring circular economy and business models across countries: A Systematic Review
[NO] 1127/1776 | X-Change: An RGB-Inspired Spectral-Aware Framework for Multi-Task and Explainable Change Captioning
[NO] 1128/1776 | BoostTransformer: A Lightweight Transformer for Remote Sensing Image Captioning
[NO] 1129/1776 | Inverse Reinforcement Learning via a Modified Kleinman Iteration Approach
[NO] 1130/1776 | MeG-DiffSAR: Diffusion-Guided Synthesis of Realistic SAR Sea-Ship Scenes
[NO] 1131/1776 | Semiconductor Manufacturers Feel the Heat
[NO] 1132/1776 | ARXPUF: A Modeling Attack Resilient Lightweight Strong PUF based on Add-Rotate-Xor
[NO] 1133/1776 | Voltage Sensing Based Open Switch Fault Detection in Five Level Modified CHB Multilevel Inverter
[NO] 1134/1776 | Solar-Powered Electrolyzer for Green Hydrogen: Design, Integration, and Experimental Evaluation
[NO] 1135/1776 | Impact Angle and Input Constrained Guidance Against Stationary Targets
[NO] 1136/1776 | The Role of Touch: Towards Optimal Tactile Sensing Distribution in Anthropomorphic Hands for Dexterous In-Hand Manipulation
[NO] 1137/1776 | Multi-UAV Path Planning in Complex 3D Terrain Using Genetic-Enhanced Nutcracker Optimization
[NO] 1138/1776 | Some Limitations of Structure-Based Methods for Deadlock Detection Problems of $\mathrm{S}^{4} \text{PR}$
[NO] 1139/1776 | Modeling the Effect of Angular Velocity on Volleyball Serve Accuracy with Magnus Effect
[NO] 1140/1776 | Analysis of a High-Boost DC-DC Circuit Featuring a Coupled Inductor for Renewable Energy Applications
[NO] 1141/1776 | Toward a Next-Generation Data Center Management System: Enabling Application-Aware Integration
[NO] 1142/1776 | An Improved Current Sharing Method in Two-Phase Interleaved LLC Resonant Converter
[NO] 1143/1776 | Retraction Notice: Generative Adversarial Network (GAN): a general review on different variants of GAN and applications
[NO] 1144/1776 | Field Validation of a Heat-Optimized Active Battery Balancing Architecture With Integrated Communication for Grid Energy Storage Systems
[NO] 1145/1776 | Ontological Reasoning Mechanism for Medical Knowledge
[NO] 1146/1776 | Retraction Notice: Device Free Human Body Fall Detection to Aid Senior Citizen
[NO] 1147/1776 | Smart Hospitals: Integrating IoT, Automation, and AI to Redefine Patient Care – an Indian Perspective
[NO] 1148/1776 | Determinants of Financial Inclusion in Morocco: The Role of Digital Financial Services
[NO] 1149/1776 | A systematic mapping review on usage of artificial intelligence in project stakeholder management
[NO] 1150/1776 | Enhancing Financial Decision-Making Loan Approval Prediction Using Machine Learning
[NO] 1151/1776 | AI-Driven Tuberculosis Detection in Chest Radiographs
[NO] 1152/1776 | Continuous Multimodal Biometric Authentication using Face and Iris with Periodic Validation
[NO] 1153/1776 | Constant Approximation of Arboricity in Near-Optimal Sublinear Time
[NO] 1154/1776 | Fine-Tuned Large Language Models for Equitable and Accurate Document Analysis in Recruitment
[NO] 1155/1776 | Solving Linear Inequalities over the Space of Convex Sets &amp; its Applications to Cryptography and Hydrodynamics
[NO] 1156/1776 | 2025 5th International Conference on Conference on Robotics, Automation and Intelligent Control (ICRAIC)
[NO] 1157/1776 | Protecting Deep Learning Channel Estimation in Wireless Networks with Defensive Distillation Against Adversarial Attacks
[NO] 1158/1776 | Mediation model of Strategic Foresight influencing Innovation Ambidexterity
[NO] 1159/1776 | Crime Investigation Tracker with Suspect Prediction
[NO] 1160/1776 | An Auto-profiling Side-Channel Attack against NTT Hardware Implementations
[NO] 1161/1776 | A Mobile Robot Tracking Control Method based on Admittance Second Order Nonlinear Active Disturbance Rejection
[YES] 1162/1776 | Efficient Regression-Based Verification Methodology for Hardware-in-the-Loop Simulation Models
[NO] 1163/1776 | Mechanism Modeling and Simulation of a 300 MW Compressed Air Energy Storage System
[NO] 1164/1776 | Sensor Importance towards Observability Degree via Shapley Values
[NO] 1165/1776 | A Comparative Analysis of Time-Series Deep Learning Forecasting Models for Peak Electric Load Demand
[NO] 1166/1776 | Switching-Based Network Topology for Enhancing Cybersecurity in Distributed Control of AC Microgrids
[NO] 1167/1776 | Retraction Notice: Sensors in Transportation for Security Using RFID
[NO] 1168/1776 | Formal Guarantees for Incremental Stability in Piecewise Smooth Cascaded Switched Systems
[NO] 1169/1776 | Retraction Notice: Preventing web Application to avoid Illegal Entry of Hackers-a Review
[NO] 1170/1776 | Retraction Notice: Credit Card Fraud Detection Using Local Outlier Factor &amp; Isolation Forest Algorithms: A Complete Analysis
[NO] 1171/1776 | Exploring Barriers to Digital Inclusion in Indian Agriculture: Designing a Platform for Farmer Empowerment
[NO] 1172/1776 | Distributionally Robust Optimization for Scrap Blending in EAF Steelmaking
[NO] 1173/1776 | A Multi-Charging Station Coordinated Scheduling Optimization Model for the Stable Operation of Distribution Networks and Simulation Analysis
[NO] 1174/1776 | Automated Defect Detection in Pulse Compression Favourable Gaussian Windowed Frequency Modulated Thermal Wave Imaging
[NO] 1175/1776 | Active Alignment Control for Contact-Based Inspection with a Single Range Sensor on Micro Quadrotors
[NO] 1176/1776 | Enhanced-Control-Set Model Predictive Control for DC-DC Converters with Improved Dynamic Performance in DC-Microgrids
[NO] 1177/1776 | Accelerated Lifetime Testing and Statistical Analysis of Adhesive-Coated Strips Using Arrhenius-Normal model
[NO] 1178/1776 | Rigid Body Attitude Control with a Time-Varying Morse Function
[NO] 1179/1776 | Comprehensive Optimization Framework for Smart Distribution Networks with Multi-Resource Integration
[NO] 1180/1776 | Real-Time Control of Battery-Integrated Modular Multilevel Converters Using Extended Kalman Filter-Based Estimation for Transportation Applications
[NO] 1181/1776 | Safe Indoor Exploration and Sparse Topological Mapping with Integrated Planning and Control
[NO] 1182/1776 | Coupled vs. Decoupled Motion Planning for Four-Robotic Arm Manipulation in a Shared Workspace: An Empirical Study
[NO] 1183/1776 | An Improved Polar Format Algorithm with Out-of-Plane Motion Compensation for Earth-based Radar Imaging of the Moon
[NO] 1184/1776 | A Novel Fusion Attention-Based Lightweight Model for Pipeline Weld Multiscale Defect Detection
[NO] 1185/1776 | Multi-view Contrastive Learning with Tensor Low-Rank Factorization for Integrated Clustering
[NO] 1186/1776 | Direct Product Theorems for Randomized Query Complexity
[NO] 1187/1776 | Adaptivity Gaps for Stochastic Probing with Subadditive Functions
[NO] 1188/1776 | Constant Rate Codes for Adaptive Broadcasts Do Not Exist
