[2026-09-11 23:53:58] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-10
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202609100000+TO+202609102359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ReadTimeoutError("HTTPSConnectionPool(host='export.arxiv.org', port=443): Read timed out. (read timeout=20)"))
[ACM] 2026-9-10 | Research on Intelligent Logistics Information Sensing Method Based on RFID Anti-interference Coding
[NO] 574/1000 | Highly Linear Voltage-Boosted Constant-Slope DTC with Extended Delay Range
[NO] 575/1000 | MTM-EBG Inspired Dual-Band 1-Bit Transmissive Metasurface
[NO] 576/1000 | CPDC-DoS Attack-Resilient T-S Fuzzy LFC Strategy for Power Systems based on BiOpt-ADAM
[NO] 577/1000 | A Filter-Technique Assisted Design of Dual-Band Dual-Polarized Transmitarray Antenna Using Cross-Slot and Ring-Slot Resonators
[NO] 578/1000 | Author Index
[NO] 579/1000 | An Effective Re-ranking Framework for Fine-grained Ship Recognition with Mutual Guidance of Global-Local Features
[NO] 580/1000 | Low-Sidelobe Beamforming and Precise Beam Steering Method Based on PSO-SQP Hybrid Optimization
[NO] 581/1000 | Bidirectional Charging and Computation for Moving and Parked Electric Vehicles in Edge Computing Networks
[NO] 582/1000 | Accurate Threshold Voltage Extraction Circuit using gm/I
                    <sub>d</sub>
                    Method
[NO] 583/1000 | Maximum Energy Capture of Direct-Drive Wave Energy Conversion: An Improved Complex-Conjugate Control Strategy with Displacement Constraint
[NO] 584/1000 | A Consumer-Owned Edge Node for Verifiable, Privacy-Preserving Personalized Health
[NO] 585/1000 | Efficiency-Aware Cooperative Path Planning for Truck-UAV Power Line Inspection
[NO] 586/1000 | Dynamic Mode Decomposition of Photoacoustic Sensor Data for Blood Classification
[NO] 587/1000 | Proposing a Quantitative Framework for Persona Set Diversity Measurement as a Pathway to Inclusive User Representation
[NO] 588/1000 | A Robust Keypoint-Based Machine Learning Framework for Audio Copy-Move Forgery Detection Using Time-Frequency Representations
[NO] 589/1000 | Adaptive Extended ETDAC Transforms Using Discrete Trigonometric Transforms
[NO] 590/1000 | 5-DoF Manipulation of Magnetic Capsule Robots Using Nonorthogonal Maxwell-Helmholtz Coils_supp2-3724330.mp4
[NO] 591/1000 | Evaluating Load-Conditional Convergence in Lithium-Ion Battery Degradation: A Matched-Group Statistical Framework
[NO] 592/1000 | Space-Based Solar Power [Green RF Engineering]
[NO] 593/1000 | The Relationship between Human Values, Job Satisfaction, and Well-being among Thai IT Employees in Thailand: An Exploratory Study
[NO] 594/1000 | A Miniaturized Bandpass Filter Using Thin-Film Dual-Layer Resonator Units for Compact UWB RF Front-End Systems
[NO] 595/1000 | Polarization Insensitive Wideband Metamaterial Absorber for low Frequency loaded with Lumped Resistors
[NO] 596/1000 | Greentwin: a Cloud-Native Digital Twin Architecture for Citizen-Centric Green Interventions in Smart Cities
[NO] 597/1000 | Design of E-Band Wideband High-Selectivity SIW Bandpass Filter Based on TSV Technology
[NO] 598/1000 | Nonlinear Macromodeling of RF Power Amplifiers Using A Data-Driven Artificial Neural Network
[NO] 599/1000 | A Novel Surrogate Model-Based Approach for Accelerating Model Parameter Extraction
[NO] 600/1000 | Design of a Broadband Reflection-Type Phase Shifter with Amplitude Balance
[NO] 601/1000 | G-Band All-Metal Butler Matrix for 6G Terahertz Communications
[NO] 602/1000 | Beyond the Code: Evaluating Alternative Assessment Strategies for Integrity and Authentic Learning in AI-Influenced Programming Tasks
[NO] 603/1000 | Design of a High-Gain Full-Angle Leaky-Wave Antenna based on SSPPs
[NO] 604/1000 | A Periodic Contact-Region Modeling Method for Infinitely Biperiodic Structures Involving Connected Open Metallic Surface
[NO] 605/1000 | A High-Q Hetero Dielectric Inductor
[NO] 606/1000 | Generative AI-Enabled Interdisciplinary Innovation and Entrepreneurship Education: Synergy Mechanisms from a Structural Equation Model
[NO] 607/1000 | FMINet: A Mask-Constrained Inpainting Framework via Flow Matching for SAR RFI Mitigation
[NO] 608/1000 | Modeling Uncertainty in Physical Therapy Queueing Systems Using Triangular Fuzzy Numbers and M/M/s Model
[NO] 609/1000 | A Low-Frequency-Ratio Shared-Aperture Dual-Band Dual-Circularly Polarized Phased Array
[NO] 610/1000 | A Novel Dual-Band Power Amplifier Using a Dual-Path Impedance Matching Structure
[NO] 611/1000 | An Ultra-Low Phase-Noise X-Band LC VCO Using Transformer-Coupled Tank in 28-nm CMOS Technology
[NO] 612/1000 | Design of a Dual-Band High-Efficiency Filtering Power Amplifier Based on Parallel T-junction and Three-Section Transformer
[NO] 613/1000 | A Covariance-Based Tilt Angle Estimation Method for Self-Calibration of Wind Profiling Radar
[NO] 614/1000 | A Dual-band 2-Bit Programmable Metasurface for Beam-scanning
[NO] 615/1000 | Online Detection System for Fabric Defects Based on Unsupervised Learning
[NO] 616/1000 | High-Integration Ka-Band Active Antenna With GaAs Power Amplifier
[NO] 617/1000 | Flat-Top Beam in Terahertz Holographic Impedance Metasurface via Phase-Factor Modulation
[NO] 618/1000 | A Novel Bidirectional Leaky-wave Antenna with Broadside Radiation for Point-to-Point(P2P) Communication
[NO] 619/1000 | Study on High-Frequency Structure of X-Band High-Efficiency Klystron
[NO] 620/1000 | Impact Analysis of Loss Functions on Deep Learning-based Microwave Imaging Enhancement
[NO] 621/1000 | An Ultra-Broadband V/W-Band Tripler in 0.1-μm GaAs pHEMT Process
[NO] 622/1000 | Research on Digital Restoration of Dunhuang Murals Based on Diffusion Models
[NO] 623/1000 | Towards an Asset Administration Shell Maturity Model
[NO] 624/1000 | Temporal Specification Oriented Fuzzing for Trigger-Action-Programming Smart Home Integrations
[NO] 625/1000 | An Empirical Study of Knowledge Distillation for Code Understanding Tasks
[NO] 626/1000 | RISE: Rule-Driven SQL Dialect Translation via Query Reduction
[NO] 627/1000 | Designing Abandabot: When Does Open Source Dependency Abandonment Matter?
[NO] 628/1000 | LLM4Perf: Large Language Models Are Effective Samplers for Multi-Objective Performance Modeling
[NO] 629/1000 | On the Robustness of Fairness Practices: A Causal Framework for Systematic Evaluation
[NO] 630/1000 | Are Humans and LLMs Confused by the Same Code? An Empirical Study on Fixation-Related Potentials and LLM Perplexity
[NO] 631/1000 | Semantic-Aware Intelligent Request Routing in Multi-Model LLM Backend Gateways
[NO] 632/1000 | Below-Cutoff Propagation in a Metasurface-Cladded Waveguide
[NO] 633/1000 | Numerical Analysis of Absorber Collar Geometry and Orientation Effects on Near-Field Probe Performance
[NO] 634/1000 | Table of Contents
[NO] 635/1000 | REMIX-PUF: A Temporal Response Mixing PUF Design Resistant to Machine Learning Attacks
[NO] 636/1000 | Experimental Study on Half-Select Disturb and Wake-Up Effects in 3D 2T2C FeRAM Arrays
[NO] 637/1000 | Hardware Validation of CMOS Inverter PUF Using Commercial Integrated Circuits
[NO] 638/1000 | A High-PSRR Bandgap Reference for FeRAM Applications
[NO] 639/1000 | Real-time Optimization of a Dynamic System (PV-BESS) integrated into a Building for Self-Consumption
[NO] 640/1000 | Influence of ISSG Gate Oxide Process on NBTI Reliability in 28nm HKMG p-MOSFETs
[NO] 641/1000 | Phase Center Normalization of a Multi-Mode Fixed Reception Pattern Antenna
[NO] 642/1000 | When Linearity Suffices: Lightweight Linear Alignment for Video-Text Retrieval
[NO] 643/1000 | Study on the Influence Mechanism of Gradient Porous Media Microstructure on the Melting Characteristics of Phase Change Materials for Thermal Energy Storage
[NO] 644/1000 | A 16-Bit High-Accuracy R-2R DAC Using Auxiliary-DAC-Assisted Bit-by-Bit Calibration
[NO] 645/1000 | Suppressing Crosstalk in Electrochemical Sensor Arrays with Potentiostat and Electrode Co-design
[NO] 646/1000 | Design of a Multi-Level Adjustable Constant-Temperature-Difference Control Circuit for a MEMS Thermal Gas Flow Sensor
[NO] 647/1000 | ECC-Free MCU-Based SRAM-PUF Reliability and Error-Tolerance Analysis
[NO] 648/1000 | CI-UIUNet: A Context Interaction Enhanced UIU-Net for Infrared Small Target Detection
[NO] 649/1000 | A Compact Four-Element Frame MIMO Antenna with Defected Ground Structures for WiFi 7 Applications
[NO] 650/1000 | MECHO: Development of a Modular Collaborative Robot for Research and Education
[NO] 651/1000 | Study on Melting Characteristics of Phase Change Material Composites with Gradient-Porosity Porous Media: A Parametric Analysis at the REV Scale
[NO] 652/1000 | International Validation of FDC as a Sizing tool for Small Hydropower Plants: Study case in Romania and Spain
[NO] 653/1000 | High-Gain Wide-Bandwidth Low-Side MOSFET Current Sensor for DC-DC Buck Converter Applications
[NO] 654/1000 | Table of Content
[NO] 655/1000 | A 10-kV Double-Sided Cooling SiC MOSFET Power Module with Integrated Common-Mode Screen and Enhanced Thermal Performance
[NO] 656/1000 | Investigation of a Complementary Dual-Band On-Off Keying Microwave Modulator
[NO] 657/1000 | Design Space Exploration for ReRAM-based Architectures to Address Scaling Non-idealities
[NO] 658/1000 | A Multi-Functional Passive Magnetic Metasurface for Wireless Power Transfer Applications
[NO] 659/1000 | Task-Aware Dynamic LoRA for Multiple-Choice Environmental Audio Question Answering
[NO] 660/1000 | GAR-Tracker: Target-Visible Trajectory Planning for a Ground Assistant Robot
[NO] 661/1000 | Cavity-Backed Magneto-Electric Dipole as a Feed for Dielectric Lenses
[NO] 662/1000 | An Ultra-Wideband Compact Tri-Polarized Antenna with Stable Radiation Patterns for Communication and Sensing Applications
[NO] 663/1000 | A High Supply-Noise-Suppression Ring-Amplifier Capacitor-Less LDO Using Replica Biasing
[NO] 664/1000 | Unit Cell Design for Space-Wave to Surface-Wave Coupler Enabled Transporting Metasurfaces
[NO] 665/1000 | Seamless Grid-Connected and Islanded Transition Control of a Grid-Forming V2G Charging System for Critical Load Support
[NO] 666/1000 | Corrections to “Improving Interaction and Assessment in Hybrid Educational Environments: An Integrated Approach in Microsoft Teams With the Use of AI Techniques”
[NO] 667/1000 | Design and Analysis of a Low-Profile Center-Fed Slot Antenna for S-Band Applications
[NO] 668/1000 | Cloud-Native Big Data Analytics for Optimizing Antibody-Drug Conjugates (ADCs) Clinical Trial Design in Pancreatobiliary Cancers
[NO] 669/1000 | Optimization of Pixelated RIS Unit Cells for Wide-Angle Stability and Bandwidth Enhancement
[NO] 670/1000 | Aptamer-Based Detection of Dengue NS1 Protein Using a CSRR Microwave Sensor
[NO] 671/1000 | A Tile-Based Passive RFID Control Architecture for Scalable Reconfigurable Intelligent Surfaces
[NO] 672/1000 | Design of a Flexible SSPP Band-Selective Filter on Denim Textile Substrate for Wearable Applications
[NO] 673/1000 | Sub-Millimeter-Wave Transmitarrays for Near- and Far-Field Applications: Design and Experiments
[NO] 674/1000 | AeroLink: Decentralized Service Discovery for UAV Swarms via Logical Links
[NO] 675/1000 | Digital Elevation Model from UAS-SAR Single-pass Interferometry
[NO] 676/1000 | Identical-Azimuth Secure Communications via Element-Wise Time-Modulation FD-RIS: A Stackelberg Game Approach
[NO] 677/1000 | Learning-Based Generation of High-Resolution Microwave Contrast Sources for Biomedical Imaging
[NO] 678/1000 | Welcome Message From the General Co-Chairs
[NO] 679/1000 | Self-Diplexing Antenna Incorporating Motion-Sensing Functionality
[NO] 680/1000 | Reconfigurable Wave Manipulation Through Passive RF Control: Recent Advances and Perspectives
[NO] 681/1000 | Localization of Electromagnetic Signals Generated by Underground Sources
[NO] 682/1000 | A Curved Plasma Jet Line Based on a Dielectric Anapole Resonator
[NO] 683/1000 | A Novel Hybrid Amplitude Tapering Method for Linear Array Antennas: Theory and Performance
[NO] 684/1000 | Versatile Exoskeleton Control Supports Elderly Joint Energetics During Hip-Intensive Tasks_supp1-3732581.mp4
[NO] 685/1000 | A Dual-Band Wi-Fi Monopole Antenna System with a Compact Parasitic Structure for Enhanced Isolation
[NO] 686/1000 | An Efficient ResNeXt-Based Deep Learning Model for Motion Activity Intensity Recognition Using Smartwatch Accelerometer
[NO] 687/1000 | Proceedings of the 2026 International Symposium on AI-Enabled Information and Communication Systems
[NO] 688/1000 | Research on Dynamic Pricing and Domestic Demand Expansion in Consumer Markets Under Reinforcement Learning
[NO] 689/1000 | Research on Cross-Domain Gesture Recognition Method Based on WiFi CSI and Deep Learning
[NO] 690/1000 | Predictive Analytics Using Machine Learning to Monitor and Enhance Engineering Students’ Academic Performance
[NO] 691/1000 | SCDiff: Structure-Consistency Enhanced Diffusion for Unpaired Visible-to-Infrared Image Translation
[NO] 692/1000 | Three Churches and a Cricket Pitch: Survey of Thetford Grammar School Playing Fields Using a 3D CWSF GPR Multi-Channel Antenna Array
[NO] 693/1000 | Pattern Inversion-Based In-orbit Failure Analysis for Spaceborne Phased Array
[NO] 694/1000 | Design of a Waveform Selective Antenna for High-intensity Short-pulse Radiation Fields Prevention
[NO] 695/1000 | Text Classification of Oilfield Safety Hazards Based on RoBERTa-TextCNN
[NO] 696/1000 | A Lightweight Self-Supervised Monocular Depth Estimation with Directional Structural Priors for Ancient Architecture Scenes
[NO] 697/1000 | Design of a Broadband Low-RCS Phased Array Antenna with 2-bit Coding
[NO] 698/1000 | Low-profile ultra-wideband wide-angle scanning tightly coupled Vivaldi antenna array for X band applications
[NO] 699/1000 | Automated Construction of Medical Indicator Knowledge Graphs Using Retrieval Augmented Large Language Models
[NO] 700/1000 | Poisoning Detection in Textual Datasets Using RNN and SVM with Federated Learning
[NO] 701/1000 | 1.2–1.5 GHz High-Power High-Efficiency Quasi-Monolithic Power Amplifier
[NO] 702/1000 | Peak Frequency Migration of Terahertz Rain Attenuation Spectra
[NO] 703/1000 | An Ontology-Based Recommendation Engine for Domain-Specific Language Discovery
[NO] 704/1000 | A Dual-band Dual-Circularly-Polarized Shared-Aperture Antenna Based on Laminated Structure
[NO] 705/1000 | SEResNet-GCN A Multi-View 3D Model Classification Framework with Adaptive View Selection
[NO] 706/1000 | A Multibeam Fully Metallic Geodesic Gutman Lens Antenna
[NO] 707/1000 | Extrapolation Modeling of Microwave Filters Utilizing Bidirectional Deep Recursive Neural Networks
[NO] 708/1000 | Non-Unique Effective Permittivity Obtained from the Existing Babinet Principle for Complementary Antennas in a Dielectric Half-Space
[NO] 709/1000 | Spherical-Wavefront EVM Bias in Near-Field OTA Testing of mmWave Arrays
[NO] 710/1000 | A Wideband Dual-Circularly Polarized Magneto-Electric Dipole Antenna for Millimeter-Wave Communications
[NO] 711/1000 | A 2D Inverse-Design Method for Lens Antenna Based on Physics-Informed Neural Network
[NO] 712/1000 | Deep Learning-Based Reconstruction of Characteristic Mode Currents on Perforated PEC Patches
[NO] 713/1000 | Enhancing Lightweight Models for Edge-Device Mineral Classification through Multi-Strategy Knowledge Distillation
[NO] 714/1000 | Behavior Driven Vehicle to Grid Scaling at Fleet LevelFrom driver uncertainty to trustworthy aggregated V2G capacity.
[NO] 715/1000 | A Fast Near-Field Scanning Visualization Method Based on Machine Vision
[NO] 716/1000 | A Low-Profile High-Gain Metasurface Antenna Based on Characteristic Mode Analysis
[NO] 717/1000 | Low-RCS 1-bit Reconfigurable Intelligent Surface Using Trapezoid Cross Units
[NO] 718/1000 | Toward Enthymeme Reconstruction: A Neuro-Symbolic Interface
[NO] 719/1000 | Enhancing Students’ Mastery of Cellular Structure and Function through Augmented Reality-Based Instruction
[NO] 720/1000 | New Design Method Based on High Loss Transmission Line Theory for Microwave-Heating
[NO] 721/1000 | 3D GPR Tracking of Water Leak in Plastic Pipes
[NO] 722/1000 | PGT-SAC: A Physics-Guided Graph Transformer Soft Actor-Critic Framework for Six-DOF Robotic Arm Control
[NO] 723/1000 | High-Efficient Topological Tapered Coupler for Terahertz On-Chip Transmission
[NO] 724/1000 | Progressive Neural Network for Dynamic Digital Predistortion of RF Power Amplifiers
[NO] 725/1000 | Responsible Generative AI Governance in Enterprise and Healthcare Environments
[NO] 726/1000 | A K-Band Wideband Circularly Polarized Phased Array Antenna for Millimeter-Wave Applications
[NO] 727/1000 | High Isolation Design for Transmit-Receive Separated Phased Arrays: From Polarization Port to Inter-Array Isolation
[NO] 728/1000 | Near-Field Focusing Pattern Synthesis for Linear Antenna Array with Dynamic Range Ratio Reduction
[NO] 729/1000 | Topology-Aware Bayesian Optimization for Automated RF Limiter Synthesis
[NO] 730/1000 | A Fuzzy Set-Based Precision Dimming System for Energy-Saving Heat Preservation Lamps
[NO] 731/1000 | Approach Fully Automated Optimization Method for Ku-band Microstrip Filters based on Differential Evolution
[NO] 732/1000 | Study on Mining Terminology and Multi-Module Teaching Resources from the Perspective of International Chinese Smart Education
[NO] 733/1000 | Evaluating the Effectiveness of the Thailand NCSA Cyber Boardgame in Promoting Cybersecurity Awareness and Threat Perception Among Primary School Students
[NO] 734/1000 | Empowering Student Innovation through End-of-Semester Project Exhibitions in Embedded Systems and AI Courses
[NO] 735/1000 | Harnessing Kinetic Energy From Vehicles for Sustainable Power: Potential and implementation challenges
[NO] 736/1000 | Reconfigurable Mechanical Modes of Folded Metamaterial for Beam Steering and Manipulation
[NO] 737/1000 | A Large-Scale Empirical Study of Secret Key Leakage in Hugging Face Spaces
[NO] 738/1000 | Breaking Single-Tester Limits: Multi-Agent LLMs for Multi-User Feature Testing
[YES] 739/1000 | Memory-Efficient Large Language Models for Program Repair with Semantic-Guided Patch Generation
[NO] 740/1000 | Towards Supporting Open Source Library Maintainers with Community-Based Analytics
[NO] 741/1000 | Testora: Using Natural Language Intent to Detect Behavioral Regressions
[YES] 742/1000 | Think Like Human Developers: Harnessing Community Knowledge for Structured Code Reasoning
[NO] 743/1000 | PromiseTune: Unveiling Causally Promising and Explainable Configuration Tuning
[NO] 744/1000 | Introduction to FPL 2026 Journal Track
[NO] 745/1000 | CISAT 2026 TOC
[NO] 746/1000 | I Can See Your Secret: a Side-Channel Attack via Commercial Power Bank
[NO] 747/1000 | Securing UAVs Under Electromagnetic Interference: A CELR-Net Framework for Effect Mitigation and Experimental Verification
[NO] 748/1000 | Research on Wear Metal Identification of Mechanical Equipment Based on LIBS Combined With GWO-CNN-SVM
[NO] 749/1000 | <b>Lightweight Dynamic Modeling of Cable-Driven Continuum Robots Based on Actuation-Space Energy Formulation</b>
[NO] 750/1000 | Adaptive Frequency Sweep Using Query by Committee: A Comparative Study with Vector Fitting Based AFS
[NO] 751/1000 | Strengthening Global Participation With Regional Engagement and Student Empowerment: An Overview of IEEE MTT-S Broadening Participation Efforts in 2025 [Broadening MTT's Reach]
[NO] 752/1000 | Distributed Adam for Nonconvex Optimization on Time-Varying Directed Networks
[NO] 753/1000 | USIT 2026 Cover Page
[NO] 754/1000 | FluidTac: A Vision-Based Arrayed Artificial Lateral Line Sensor for Underwater Ego-Motion Estimation_supp1-3732929.mp4
[NO] 755/1000 | Sponsors
[NO] 756/1000 | Research on Performance Detection and Quality Grading of SoC Chips Oriented to CMOS Process Variations
[NO] 757/1000 | A Mapping Method for Field-Coupled Nanocomputing
[NO] 758/1000 | Meta quest 3’s hand-tracking accuracy for tracking the index fingertip during a movement is not spatially homogeneous
[NO] 759/1000 | Welcome Page
[NO] 760/1000 | A Maturity Model for Industry Cloud Operation Portals
[NO] 761/1000 | Intersection Traffic Flow Estimation Using Distributed Acoustic Sensing on Buried Road-Crossing Telecommunication Fibers
[NO] 762/1000 | ARGUS: Budgeted Vehicular Intrusion Prevention via Calibrated Uncertainty and Conformal Risk Control
[NO] 763/1000 | Benchmarking MultiGLODS Optimization for Electromagnetics Applications
[NO] 764/1000 | Impact of Ground Station Antenna Diameter and Elevation Angle on X-Band Cubesat Downlink Performance
[NO] 765/1000 | Rethinking Omni Spatial-Frequency Representation for Efficient Face Super-Resolution
[NO] 766/1000 | An Embedded Ultra-Wideband Low-Profile Omnidirectional Antenna
[NO] 767/1000 | A 2-Bit Varactor-Based RIS with Compact Unit Cells for 5G mmWave Applications
[NO] 768/1000 | MoST-SAM: A Multimodal Self-Training Framework for Annotation-Efficient Basal Cell Carcinoma Segmentation in Reflectance Confocal Microscopy
[NO] 769/1000 | Wideband Substrate Integrated Waveguide Fed Dielectric Resonator Antenna for Mm Wave 5G Applications
[NO] 770/1000 | A Novel PVC-Based Methodology for Non-Destructive Localization and Analysis of Subtle Gate Oxide Damage
[NO] 771/1000 | IGBT Protection Circuit Design Based on ACPL-332J
[NO] 772/1000 | Adaptive Photoreceptor for False Event Suppression of Event-Based Sensors
[NO] 773/1000 | Author Index
[NO] 774/1000 | Research on Design of 3D Electromagnetic Bandgap Structures Based on Through-Silicon Via
[NO] 775/1000 | Tinyml-Driven Resource-Efficient MPPT Model for STM32f767
[NO] 776/1000 | Dual-Mode Adaptive Control Strategy for Modulation Frequency Drift Compensation in Field Mill Sensors
[NO] 777/1000 | Physics-Driven Deep Unrolling for Differential Microwave Imaging of Splenic Hemorrhage
[NO] 778/1000 | Correlation Study in 3D Multi-Probe OTA Setup for Massive MIMO in FR3 Bands
[NO] 779/1000 | Deconstructing Floating-Point Compute-in-Memory: A Systematic Review of Circuit Slices and Dataflow Architectures for XR Systems
[NO] 780/1000 | A Multi-World Collaborative Approach for Evolutionary Analysis of APT Attack Behaviors
[NO] 781/1000 | <b>TRaIL-Odom: Tightly Coupled Continuous Time Radar-IMU-LiDAR Odometry With Adaptive Doppler Weighting</b>
[NO] 782/1000 | From Hidden to Harmful: Connecting Implicit and Explicit Hate Through Implied Statements
[NO] 783/1000 | Wideband RF Spectrum Monitoring and Signal Localization via Networked 3D-Printed Luneburg Lens Sensors
[NO] 784/1000 | Null Synthesis for Modulated Metasurface Antennas
[NO] 785/1000 | Continual Learning Via Gradient-Regularized Based Dynamic Expansion Model
[NO] 786/1000 | Attention-Enhanced Hybrid Deep Learning for Stress and Emotion Recognition from Wearable Biosignals
[NO] 787/1000 | A Few-Shot Fault Diagnosis Method for PMSM Based on Multi-Source Information Fusion and Unrelated Information Suppression
[NO] 788/1000 | Facial-Relevant Dermatology Image Datasets for AI: Biases, Benchmarking, and Readiness for Vision-Language Models
[NO] 789/1000 | Joint Range-Azimuth Finding Using Irregular Arrays
[NO] 790/1000 | Acoustic Emission-Based Measurement and Weak Fault Identification of Hydro-Turbine Runners Using a CNN-GRU Framework
[NO] 791/1000 | Artificial Magnetic Conductor Frame to Improve Impedance Matching and Radiation Symmetry in $2 \times 2$ Array for 6G Applications
[NO] 792/1000 | 2.5D FDTD Modeling for Dielectric Slab Waveguides via a Two-Step Effective Index Method
[NO] 793/1000 | Near-Field Probe Analysis of Glioma Contrast and Depth Sensitivity in 603–814 Ghz Band
[NO] 794/1000 | A Low-Profile Wideband Antenna With a Low-Loss Feed Network for Satellite Navigation System
[NO] 795/1000 | Analyzing and Counteracting Mutual Coupling Effects for Adaptive Beamforming in a Double-Cross Dipole Array
[NO] 796/1000 | A Wideband Input-Matched Common-Gate CTLE with Active Inductor Load in 28-nm CMOS
[NO] 797/1000 | High Fidelity Modelling: Recent Advancements in Improving the Accuracy and Efficiency of Method of Moments-Based Algorithms
[NO] 798/1000 | Grid-Side Communication Requirements for Small Modular Reactors as Ancillary Service Providers in the Smart Grid
[NO] 799/1000 | MINES: Explainable Anomaly Detection through Web API Invariant Inference
[YES] 800/1000 | Synthetic Repo-level Bug Dataset for Training Automated Program Repair Models
[NO] 801/1000 | Toward Efficient Package Maintenance: An Empirical Study of Patch Sharing across Four Linux Distributions
[NO] 802/1000 | On LLMs’ Internal Representation of Code Correctness
[YES] 803/1000 | RefAgent: A Multi-agent LLM-based Framework for Automatic Software Refactoring
[NO] 804/1000 | Ultra-Wideband Ridged Biconical Multibeam Antenna Using Ridge Gap Waveguide
[NO] 805/1000 | Controlled Crystalline Orientation of BAMAPbI Low-n 2-D Perovskite for Self-Powered Photodetectors With High On/Off Ratio_supp1-3725196.docx
[NO] 806/1000 | Particle Transformer: A Physics-Informed Transformer for Real-Time Fluid-Structure Interaction Simulation
[NO] 807/1000 | A Two-DOF Untethered Self-Moving Piezoelectric Actuator With High Carrying/Positioning Capability by Actively Adjusting Acoustic Power Flow_supp1-3725388.mp4
[NO] 808/1000 | Physics-Informed Neural Networks for the Time-Domain Maxwell Equations with Split-Field Perfectly Matched Layers
[NO] 809/1000 | Direct-Learning Based DPD using 1.2 pJ/Correlation Analog Computation of DPD Coefficients
[NO] 810/1000 | Application of Directional Nested Hierarchical $\mathcal{D} \mathcal{H}^{2}$-Matrix Framework for Three-Dimensional Vector Electromagnetic Problems
[NO] 811/1000 | Capacitive Vs. Galvanic HBC for Consumer Electronics
[NO] 812/1000 | 2.5D Root of Trust: Securing the Chiplet Ecosystem
[NO] 813/1000 | Lost in Code Generation: Reimagining the Role of Software Models in AI-driven Software Engineering
[NO] 814/1000 | Typed Edits, Reviewable Models: Toward LLM-Supported Blended Co-Modeling
[NO] 815/1000 | Understanding Modelling Assistance in Low-Code/No-Code Tools: An Empirical Study and the AssiStarMe Framework
[YES] 816/1000 | LLM-Based Instance Model Generation via Code Synthesis
[NO] 817/1000 | 120 GHz FMCW Radar for Automated Detection of Apnea, Gasping, and Normal Breathing Using a CNN-BiLSTM Framework
[NO] 818/1000 | Training-Free Video Anomaly Detection via Uncertainty-Guided Hierarchical Retrieval with Vision-Language Models
[NO] 819/1000 | CORE: Suppressing Spurious Similarity via Confidence-Aware Prototypes for Few-Shot Medical Image Segmentation
[NO] 820/1000 | LazyDM: A Machine Learning-Empowered Hot Data Management to Mitigate Premature Migration in High-Density Hybrid SSDs
[NO] 821/1000 | Autonomous Collaborative Navigation for Craniotomy Surgical Robots Under Self-Occlusion
[NO] 822/1000 | Copyright Page
[NO] 823/1000 | An Efficient Medical Image Encryption/Decryption Accelerator using 16-point Fast Cosine Number Transform
[NO] 824/1000 | Toward Scalable and Efficient In-Network Fine-Tuning of Large AI Models
[NO] 825/1000 | Multi-Granularity Decomposition and Hierarchical Semantics Learning for Domain Adaptation Retrieval
[NO] 826/1000 | Author Index
[NO] 827/1000 | Prototype-guided Diffusion Model for Multi-class Unsupervised Anomaly Detection
[NO] 828/1000 | INADS: Network-Level Protection for Web Infrastructure Through Hierarchical Multilayer Intrusion Detection
[NO] 829/1000 | A Ka-Band Low-Power Compact Multifunction Chip Based on 3D Heterogeneous Integration Technology
[NO] 830/1000 | Generation of Long-Range Non-Diffracting Bessel Beams Based on Huygens Metasurfaces
[NO] 831/1000 | Inverse Design of Metasurface Absorbers Based on Physics-Constrained Deep Convolutional Generative Adversarial Network
[NO] 832/1000 | A Compact Dual-Polarized Broadband Magnetoelectric Dipole Antenna
[NO] 833/1000 | Enhancing Ka-Band Efficiency in GaN-on-Si HEMTs Through Two-Step Gate Etching
[NO] 834/1000 | A Design of Wideband Millimeter-Wave Array Antenna with Wide Beam
[NO] 835/1000 | A Adaptive Confocal Microwave Image Reconstruction Approach Based on Dual-Metric Cooperative Optimization
[NO] 836/1000 | Manipulating Degrees of Freedom of Electromagnetic Channel with Engineered Scattering Space
[NO] 837/1000 | Thermal Analysis of a Novel Hybrid Circuit for W-Band Gyro-TWT
[NO] 838/1000 | Design and Implementation of 3–8 GHz MMIC Low Noise Amplifier
[NO] 839/1000 | Intangible Cultural Heritage Spatial Pattern Generation Based on Retrieval-Augmented and Controllable Diffusion
[NO] 840/1000 | SEAR-QLoRA for Evidence-Contrastive Adaptive Rank Allocation in Stroke Literature Question Answering
[NO] 841/1000 | Dual-Polarized Leaky-Wave Antenna With Wide-Angle Scanning Based on Symmetric Bilateral Spoof Surface Plasmon Polariton Lines
[NO] 842/1000 | A Compact and Transparent Four-Port MIMO Antenna with Super-Wideband Characteristic
[NO] 843/1000 | An Integrated Approach to Natural Language Processing in Artificial Intelligence Recommender Systems
[NO] 844/1000 | Research on Precision Monitoring Strategies for Power-Oriented Computing Networks
[NO] 845/1000 | Phase-only Multi-Airy Beam Synthesis for Linear Arrays via Projected Gradient Descent
