[2026-09-15 23:59:06] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-14
正在获取论文...
[arXiv] 2026-09-14 | On the number of solutions to $S$-unit equations
[NO] 1318/2000 | Monitoring Teaching Quality and Validating Educational Equity in Public Art Education
[NO] 1319/2000 | Large Language Model Based Knowledge Graphs and Industry Maturity Assessment for Vocational Industry Education Integration
[NO] 1320/2000 | CT-GraphMAS: A Knowledge Graph-Enhanced Three-Layer Multi-Agent Programming Tutoring System for Computational Thinking
[NO] 1321/2000 | MoC-KT: Mixture of Convolutions for Knowledge Tracing
[NO] 1322/2000 | Design Space Exploration of Accelerating Monolith Hash on Hardware for STARK
[NO] 1323/2000 | Hierarchical AI-Based Deep Reinforcement Learning for Multi-Objective Water and Heat Optimization in Sustainable Data Centers
[NO] 1324/2000 | Cross-Feature Integrated Deep Learning Framework for Accurate Supratentorial Brain Tumor Classification
[NO] 1325/2000 | MIS-SAM: A Structure-Guided Dual-Head Perception Framework for Pixel-Mask-Free Instrument Segmentation and Real-Time Surgical Assistance
[NO] 1326/2000 | Design and Implementation of Power-Efficient RISC-V Processor
[NO] 1327/2000 | TransDerm-Net: A Transferable Deep Learning Framework for Cross-Dataset Skin Cancer Classification
[NO] 1328/2000 | Implementation of Energy-Aware Leach Protocol Using Intelligent Cluster Head Selection and Adaptive Re-Clustering in Wireless Sensor Networks
[NO] 1329/2000 | SPINA: Semantic-Priors-Informed Network-Agnostic Algorithmic Pipeline for Microwave Medical Imaging
[NO] 1330/2000 | From Waterfall to Agile: Measuring Organizational Maturity Factors Influencing Software Quality for Sustainable Enterprise-Scale Transformation
[NO] 1331/2000 | Designing Collaborative Methodologies for Industry 4.0 Integrating Cyber-Physical Systems, Digital Twins, and IoT for Enhanced Manufacturing
[NO] 1332/2000 | AI-Driven Adaptive Phishing Mitigation in SOAR-Orchestrated Systems
[NO] 1333/2000 | Learning Equality Constraints from Trajectory Demonstrations_supp1-3733514.mp4
[NO] 1334/2000 | A Phygital Game Prototype to Support Speech-Therapy-in-the-Loop AI in Pediatric Rehabilitation
[NO] 1335/2000 | Toward Native ISAC Support in O-RAN Architectures for 6G
[NO] 1336/2000 | XDP_CLONE: Efficient In-Driver Packet Duplication for eBPF-Accelerated Systems
[NO] 1337/2000 | ICGSP 2026 Contributor Page
[NO] 1338/2000 | Air-Ground Collaborative ISAC for LAE: UAV Swarms as Virtual Aerial Arrays for 3D Observability and Seamless Mobility
[NO] 1339/2000 | ICGSP 2026 Copyright Page
[NO] 1340/2000 | Research on an AI-Supported Personalized Learning System for Rule of Law Education
[NO] 1341/2000 | Construction of the standards system for safety and emergency mannagement in highway reconstruction and expansion projects based on knowledge graph
[NO] 1342/2000 | Risk Factor Analysis and Cluster Validation of Artificial Intelligence in Certification Audits
[NO] 1343/2000 | Ethical Risk Governance of AI in Education
[NO] 1344/2000 | Bidirectional Transformer Representations for Transferable Statistical Language Models
[NO] 1345/2000 | Evaluation of Users Opinion on Pregnancy and Child Growth Mobile Application
[NO] 1346/2000 | A Big-Data Driven Diagnostic Framework for Expressway Network Performance and Investment Prioritization
[NO] 1347/2000 | Personalized Learning in Computer Science: A Retrieval-Augmented Generation (RAG) Framework for Data Structures Tutoring
[NO] 1348/2000 | An AI-Enabled Multimodal Communication Framework for Manufacturing-Oriented City Branding: A Case Study of Dongguan
[NO] 1349/2000 | Optimization of Coastal Fuel Bunkering Vessels Scheduling Considering Customer Satisfaction
[NO] 1350/2000 | A Reflexive Retrieval-Augmented Generation Framework for Optimizing Natural Disaster Emergency Decision-Making
[NO] 1351/2000 | Distributed model predictive control of lateral-longitudinal vehicle dynamics
                    <sup>†</sup>
[NO] 1352/2000 | Impact of RTK Augmentation and INS Integration on GNSS Positioning Accuracy and Continuity: A Benchmarking Study on Inland Waterways
[NO] 1353/2000 | Subjective Decision-Making in Multi-Agent Reinforcement Learning with Cumulative Prospect Theory and Social Value Orientation
[NO] 1354/2000 | Practical and Scalable Multi-Agent Motion Planning for Planar Mover Systems
[NO] 1355/2000 | Fault Diagnosis of Industrial Robot Joints with Information Fusion of CNN and Enhanced D-S Evidence Theory
[NO] 1356/2000 | Intelligent Hierarchical Coordinated Control for Off-Road Series Hybrid Electric Vehicles Energy Management and Electric Power Response
[NO] 1357/2000 | CauPri: Causal Prior Guided Diffusion Model for Thermal Power Monitoring Imputation
[NO] 1358/2000 | Research on Human-AI Collaborative Design Innovation Based on C-K Theory
[NO] 1359/2000 | Mapping Research Trends and Hotspots of Artificial Intelligence in Wildlife Conservation: A Bibliometric Analysis
[NO] 1360/2000 | DCF Control Method Based on Digital Control and Its Stability Analysis
[NO] 1361/2000 | A Fault Diagnosis Method for Wind Turbine Gearboxes Based on Time-Frequency Feature Extraction
[NO] 1362/2000 | Dissimilarity-Based Persistent Coverage Control of Multi-Robot Systems for Improving Solar Irradiance Prediction Accuracy in Solar Thermal Power Plants
[NO] 1363/2000 | Financial Risk Early Warning Using Big Data Analytics and Machine Learning: Evidence from Chaotic Fractal Analysis
[NO] 1364/2000 | Research on pulse flow adaptive control of digital hydraulic system based on deep reinforcement learning
[NO] 1365/2000 | Quantitative Evaluation of Collaborative Education Effect Between Red Resources and Ideological and Political Teaching Teams Based on Attention Mechanism Improved Random Forest Algorithm
[NO] 1366/2000 | Evaluating a POA-Based Blended Teaching Model in College English Listening and Speaking Using Random Forest
[NO] 1367/2000 | Adaptive Hybrid Retrieval-Augmented Generation with Cascaded NLI Verification for University Regulation Question Answering--Adaptive Hybrid RAG for University Regulation QA
[NO] 1368/2000 | An Interpretable Deep Representation Study on the Formation Mechanisms of Film Scene Complexity through the Integration of Narrative Semantics and Production Structure
[NO] 1369/2000 | Design of a Four-Step Cyclical Teaching System for Python and SPSS Integrated with OBE-PBL
[NO] 1370/2000 | An Empirical Analysis of GenAI's Impact on the Effectiveness of Project-Based Learning Among Vocational Students
[NO] 1371/2000 | Emergency Response Coordination Mechanism for Fire Accidents in Urban Rail Transit Systems
[NO] 1372/2000 | A Comparative Study of Sunspot Prediction Using Tree Models and Deep Learning
[NO] 1373/2000 | Design and Implementation of Intelligent Traffic License Plate Information Recognition System Based on YOLOv5 and PaddleOCR
[NO] 1374/2000 | Research on the Construction of an “AI Employee” Matrix for Dongguan Cross-border E-commerce Based on Large Language Models and Intelligent Agent Orchestration
[NO] 1375/2000 | Structure and Drivers of the Global Oil Trade: A Complex Network Dependency Approach
[NO] 1376/2000 | Analysis of the Coupling and Coordination Relationship between Digital Economy and High-Quality Development of Tourism in Five Northwestern Provinces
[NO] 1377/2000 | Research on the Construction of Regional Digital Talent Competency Index and Type Differences—A Case Study of Deyang City
[NO] 1378/2000 | Spatio-temporal Evolution of China's High-quality Foreign Trade Development under the “Innovation-Green-Institution” Framework
[NO] 1379/2000 | Research on an Intelligent Assessment Method for Industrial Value Chain Resilience Based on Machine Learning
[NO] 1380/2000 | Classification and Prediction of Enterprise Credit Risk Based on Machine Learning Algorithm
[NO] 1381/2000 | A 340-GHz 7 × 2 Radiator Array With Coupled-Line-Based Mode-Decoupling Harmonic Enhancement and Chip-to-Waveguide Interface
[NO] 1382/2000 | Circumferentially Distributed Multi-Segment Layer Jamming Brake for Soft Robotic Applications_supp2-3733545.mp4
[NO] 1383/2000 | LECTP: Lightweight and Efficient Cooperative Trajectory Planning for Multi-CAV At Unsignalized Intersections
[NO] 1384/2000 | Convolutional Neural Network-Based Adaptive Modulation and Coding in Vehicle-to-Vehicle Wireless Communications Systems
[NO] 1385/2000 | A Federated WGAN-Transformer Framework for Privacy-Preserving Financial Risk Prediction and Legal Compliance Automation
[NO] 1386/2000 | Comparative Analysis of SF
                    <sub>6</sub>
                    , Vacuum, and Air Circuit Breakers for Energy Consumption Reduction Based on Electromechanical Characteristics
[NO] 1387/2000 | Decentralized Response and Emergency Ambulance Management System: A Blockchain and Smart Contracts Based Framework on Polygon
[NO] 1388/2000 | YieldSense-X: Temporal Deep Learning Framework for Crop Yield Prediction Using Climate and Soil Dynamics
[NO] 1389/2000 | Miniaturized Eccentric Tube Robot for Combined Endoscopic Imaging and Fluid Deposition
[NO] 1390/2000 | Early Exit Neural Networks: A Comparative Study Against Static Models and Dynamic Models Across Multi-Domain Datasets
[NO] 1391/2000 | A Drift-Resilient Adaptive Learning Model for Continuous Early Diabetes Prediction Using Clinical and Behavioral Data Streams
[NO] 1392/2000 | PQSI-Driven Hybrid Machine Learning Framework for Skin Lesion Severity Assessment
[NO] 1393/2000 | Causal Temporal Fusion Transformers for Robust Remaining Useful Life Prediction in Aero-Engines
[NO] 1394/2000 | AGA-ANET: A Fully Attentional Activation Network with Adaptive Global Attention for Single Channel Speech Enhancement
[NO] 1395/2000 | An FPGA-Based Architecture for Video Encoding with Resource Utilization Analysis
[NO] 1396/2000 | A Comprehensive Analysis of Lightweight CNN for Fall Detection in Hallway Monitoring
[NO] 1397/2000 | Sentiment Analysis of Mobile Legends Google Play Reviews: A Comparative Study of Traditional Machine Learning and Transformer-Based Models
[NO] 1398/2000 | CPRE64-CZT: A Low-Noise 64-Channel Front-End ASIC With Energy and Timing Readout for CdZnTe Detectors
[NO] 1399/2000 | Attention-Enhanced CNN–LSTM Integration for Rapid Detection of Aviation DC Series Arc Faults
[NO] 1400/2000 | Sparse and Invisible Backdoor Attack via Adaptive Gradient Calibration
[NO] 1401/2000 | Balancing immersion and usability in virtual reality training: Effects on self-efficacy and user experience in mass casualty incident simulation
[NO] 1402/2000 | Visual Storytelling for Knowledge Sharing in Co-Design Workshops on Urban Air Mobility
[NO] 1403/2000 | A Systematic Review of Convolutional Neural Network-Based Crack Diagnostics &amp; Predictive Repair Using GGBFS Geopolymer Mortar: Correlating Crack Metrics with Strength and Durability
[NO] 1404/2000 | PatchTST-Fusion: Additive Attention-Based Cross-Channel Fusion for High-Frequency Rolling Volatility Forecasting
[NO] 1405/2000 | Performance Optimization and System Construction of Lateral Insulation Layers for ZnO Varistors
[NO] 1406/2000 | Data Mining Technologies in the Age of Artificial Intelligence: Empowering Educational Management Research
[NO] 1407/2000 | Multi-Model Fusion Framework for Coal Market Analysis and Forecasting Based on Adaptive Decomposition and Attention Mechanisms
[NO] 1408/2000 | OCS-Net: Object Detection Network for Complex Underwater Scenes
[NO] 1409/2000 | Robust Navigation Trajectory Reconstruction for Combine Harvesters Based on Multi-Criteria Reliability Evaluation
[NO] 1410/2000 | A Multi-Agent and RAG-Based Framework for Amazon Book Review Rating Prediction
[NO] 1411/2000 | Obstacle Avoidance of Dual-Arm Space Robots via Nonlinear Model Predictive Control and Velocity Dampers
[NO] 1412/2000 | Underwater Formation Model-Guided Spectral Channel Attention Network for Underwater Image Enhancement
[NO] 1413/2000 | Bi-Level Distributed Optimal Scheduling of Multi-Microgrid Systems Based on P2P Trading and Stackelberg Game
[NO] 1414/2000 | A Hierarchical MPC–DDPG Collaborative Optimization Method for Distributed Energy and Energy Storage Scheduling
[NO] 1415/2000 | A Deep Learning Framework for Forecasting Tourist Demand in Guangzhou Using Search-Behavior Data
[NO] 1416/2000 | Optimizing Vote Weighting Algorithms in Competitive Shows via Bayesian Inference and Machine Learning Analysis
[NO] 1417/2000 | A Neural-Network-Assisted Multi-Value Settlement Framework for Long-Term Hydropower PPAs Under Renewable-Dominated Power Systems
[NO] 1418/2000 | Supplier Net Tone and Corporate Financial Risk Early Warning--Supplier Tone and Financial Risk Early Warning--Empirical Evidence from Machine Learning Approaches
[NO] 1419/2000 | Planning and Development of Coastal Lagoons for the Northern Regions of Oman- An AI Integrated Approach
[NO] 1420/2000 | Digital Financial Inclusion and Green Fintech: Impact Pathways, Paradoxes and Future Directions
[NO] 1421/2000 | AI-Driven Hybrid Ensemble Framework for Predictive and Real-Time Network Anomaly Detection in Intelligent Digital Infrastructure: Implications for Cybersecurity Education
[NO] 1422/2000 | Explainable Random Forest Models for Short-Horizon Stock Direction Prediction in Indian Equity Market
[NO] 1423/2000 | Design of an Energy-Efficient Vlsi-Based Ecg Signal Processing System for Real-Time Health Monitoring
[NO] 1424/2000 | A Critical Analysis on Approximate and Reconfigurable Architectures for Energy-Efficient Edge Computing
[NO] 1425/2000 | LightGuardNet: Lightweight Explainable XGBoost-Based Intrusion Detection System Framework for IoHT Cyberattacks
[NO] 1426/2000 | A Hybrid model for Analysis of Distress Signals in Chinese Social Media Comments
[NO] 1427/2000 | Research on High-Quality Workplace Health Management Practices in Enterprises Based on Full-Lifecycle Risk Assessment Model
[NO] 1428/2000 | E-commerce User Repurchase Prediction Based on Multi-dimensional Feature Engineering and Sequential Modeling
[NO] 1429/2000 | Analysis of the Correlation between Digital Interaction Trajectory and Professional Identity of Teacher Trainees Based on Temporal Behavioral Algorithm
[NO] 1430/2000 | Social Media Rumor Detection Based on Bidirectional Graph Attention and Temporal Fusion
[NO] 1431/2000 | A Dual-Channel BiGRU Recommendation Model with Time-Aware Gating and Attention-Based Fusion
[NO] 1432/2000 | Noncontact Planar Manipulation of Magnetic Particles by Minimum Number of Electromagnets
[NO] 1433/2000 | Shaping Energy Exchange with Gyroscopic Interconnections: a Geometric Approach
[NO] 1434/2000 | Context-Aware Mode-Dependent Alarm Analytics for Multimode Industrial Processes
[NO] 1435/2000 | Experimental Validation of ISSf-HOCBF-Based Cooperative Transport for Multiple UAVs under Disturbances
[NO] 1436/2000 | Oil Sands Hopper Level Estimation Using Task-Oriented Image-to-Image Domain Translation
[NO] 1437/2000 | Selection-Based Kernelized Data-Enabled Predictive Control for Nonlinear Systems
[NO] 1438/2000 | Explicit Bounds on the Hausdorff Distance for Truncated mRPI Sets via Norm-Dependent Contraction Rates
[NO] 1439/2000 | Closed-Loop Control with Rule-Aligned Small Language Models and Multi-Agent Self-Correction
[NO] 1440/2000 | STGNN-Based Supply Chain Disruption Risk Prediction for Inventory Optimization Decision-Making in Manufacturing Enterprises
[NO] 1441/2000 | Research on cross-border e-commerce traceability system of Kashgar Ziyang selenium-rich tea based on blockchain technology
[NO] 1442/2000 | Explainable Artificial Intelligence for Agricultural Supply Chain Risk Prediction and Determinant Identification: An XGBoost-SHAP Approach
[NO] 1443/2000 | A Bi-level Programming Approach for Emission Reduction in Transportation Systems Considering Travel Demand Assignment and System Design with Machine Learning Integration
[NO] 1444/2000 | Multi-model Learning and Error-driven Optimization in Industrial Vision Scenarios
[NO] 1445/2000 | A Source Aware Multi Source Data Fusion and Explainable Learning Analytics Model for Teacher Teaching Competence Evaluation in Applied Universities
[NO] 1446/2000 | Federated Meta-Learning for Cross-Institutional Real Estate Project Management Education: Overcoming Data Silos in Risk Analytics
[NO] 1447/2000 | Evaluating Biopharmaceutical Course Reform Using Logistic Regression, Random Forest, and SVM
[NO] 1448/2000 | Research on the Construction of an Interactive Video Teaching Platform for Career Guidance Oriented toward Counselors
[NO] 1449/2000 | Design and Application of Virtual Instrument Teaching Resources Based on VR Technology
[NO] 1450/2000 | Modeling the Impact of AI Technology-Mediated Learning Experiences on Professional Identity: AI Self-Efficacy as a Key Psychological Mechanism in Pre-service Teachers
[NO] 1451/2000 | Design and Application of Intelligent Construction Methods and Monitoring and Early Warning Systems Under Digital Twin Technology
[NO] 1452/2000 | Personalized Shuffled Differential Privacy for Set-Valued Data
[NO] 1453/2000 | Securing Creativity in Digital Economy with an Art ID Registry Framework for Artists with DID:ART and DID.ART in Hong Kong
[NO] 1454/2000 | The Impact of Big Data Technology on Collaborative Innovation within Industrial Technology Alliances and the Design of Incentive Mechanisms: Based on Intelligent Algorithm Optimisation
[NO] 1455/2000 | A Machine Learning-Enhanced Entropy-TOPSIS Framework for Measuring the Safe Development Level of China's Manufacturing Industry in the Digital Economy Era
[NO] 1456/2000 | Optimization of Fresh Agricultural Product Supply Chain Considering Preservation Sensitivity of Deterioration Rate
[NO] 1457/2000 | Self-Supervised Backdoor Defense Based on Neuron Pruning
[NO] 1458/2000 | RSI-Boost: A Hierarchical Interpretable Risk Rule Mining Framework via Residual Sequential Induction
[NO] 1459/2000 | Conjugate Bayesian Evidential Learning for Uncertainty-Aware Nasopharyngeal Carcinoma Segmentation
[NO] 1460/2000 | Bridging the Gap in Ophthalmic AI: MM-Retinal-Reason Dataset and OphthaReason Model toward Dynamic Multimodal Reasoning
[NO] 1461/2000 | IEEE MultiMedia
[NO] 1462/2000 | A Latent-Diffusion-Based Inverse Model for Generating High-Resolution BPF Geometry Images
[NO] 1463/2000 | CGGF-NFHSTA Framework for Imbalance-Aware Stroke Risk Prediction with Explainable Hybrid Sampling
[NO] 1464/2000 | Wind-Induced Phase Perturbation Analysis in UAV-Towed VLF Distributed Transmitting Arrays: A Multiphysics and Monte Carlo Approach
[NO] 1465/2000 | GraphTempGAN: Graph Temporal Neural Network Assisted Generative Adversarial Network for Enhanced Prostate Cancer Image Resolution
[NO] 1466/2000 | Domain Adaptive Generative AI for Enhancing Technical and HR Interview Excellence
[NO] 1467/2000 | Adaptive Tube-MPC for Safe Intravascular Navigation of Magnetic Microrobots Under Pulsatile Disturbances
[NO] 1468/2000 | Deep Learning Approach for Inventory Stock Prediction Using LSTM Networks
[NO] 1469/2000 | Entrepreneurship and Innovation Enablement Through AI-Integrated Cloud Enterprise Platforms
[NO] 1470/2000 | Miniaturized Eccentric Tube Robot for Combined Endoscopic Imaging and Fluid Deposition_supp1-3733103.mp4
[NO] 1471/2000 | CyberShield IDS: A Privacy-Preserving Network Intrusion Detection System with Robust Evaluation on the NSL-KDD Dataset
[NO] 1472/2000 | FairMoE-Health: Fairness-Aware Mixture of Experts for Equitable Multimodal Clinical Prediction_supp1-3733584.pdf
[NO] 1473/2000 | FairMoE-Health: Fairness-Aware Mixture of Experts for Equitable Multimodal Clinical Prediction
[NO] 1474/2000 | CAMPUS HIRE: Your Personal Guide for Campus Recruitment
[NO] 1475/2000 | Global Reach, Local Impact: IEEE Sensors Council Seasonal Schools Program Empowers Future Innovators [News From the Council]
[NO] 1476/2000 | D
                    <scp>eter</scp>
                    V: Verifying Deterministic Parallel Execution
[NO] 1477/2000 | ICGSP 2026 TOC
[NO] 1478/2000 | Dual-Constraint Optimization of Mouse V1 Modeling: Integrating Sparsity and Excitation–Inhibition Balance for Improved Representational Similarity With DNNs
[NO] 1479/2000 | WSES 2026 Contributor Page
[NO] 1480/2000 | ICGSP 2026 Content Announcement Page
[NO] 1481/2000 | Research on the “Five-Education Integration” Digital-Intelligent Talent Cultivation Model under the Comprehensive Development Education Theory: An Empirical Analysis Based on XGBoost Algorithm and SHAP Framework
[NO] 1482/2000 | A Systematic Data Processing Pipeline for Large-Scale UWB Indoor Positioning Data in Early Childhood Behavioral Research
[NO] 1483/2000 | Research on Credit Card Customer Segmentation Based on K-means, GMM and Hierarchical Clustering Algorithms
[NO] 1484/2000 | Experiment on Load Balancing Strategies in Cyber-Physical Systems: A Case Study of Cloud-Enabled Robots
[NO] 1485/2000 | Architecture of Virtual Virtual Collaborative Training and Multidimensional Evaluation System for Engineering Education Based on G-CDIO Living lab--G-CDIO Living Lab for Engineering Education--A Systemic Framework Integrating Generative AI, Cyber-Physical Systems, and LLMAssisted Formative Assessment
[NO] 1486/2000 | CR-MAD: A Multi-Agent Debate Framework Based on Core Agents and Reflective Mechanisms
[NO] 1487/2000 | Research on Artificial Intelligence-Empowered College Physics Teaching Based on Bayesian Knowledge Tracing, FDTD Simulation, and Graph Personalization
[NO] 1488/2000 | Policy Instrument Configurations Shaping the Implementation Readiness of Industry-Education Integration Practice Centers: Evidence from Policy Texts
[NO] 1489/2000 | Research on an Interactive System for Guiding Preschool Computational Thinking Based on Speech-Vision Fusion
[NO] 1490/2000 | Lightweight Classroom Behavior Recognition and Concentration Assessment in Occluded Scenes
[NO] 1491/2000 | Research on the Relationship between Digital Economy and Regional Integrated Innovation Based on Machine Learning: Empirical Evidence from Random Forest and Panel Model
[NO] 1492/2000 | A Tunnel Complexity Assessment Method Based on Demand-Driven Automated Driving Road Testing
[NO] 1493/2000 | Budgeted Two-Stage DeePC for Reducing Tracking Errors and Output-Constraint Violations
[NO] 1494/2000 | Detectability of Internal Short Circuits in Parallel-Connected Lithium-Ion Cells
[NO] 1495/2000 | Optimal Secure Estimation Strategy of Cyber-Physical Systems Based on Auxiliary System Redundancy
[NO] 1496/2000 | Optimizing Machine Learning Models for Real-Time Threat Prioritization in SME SOCs: A Comparative Review
[NO] 1497/2000 | Identification of Hotspot Areas for Traffic Accidents and Analyzing Drivers' Behaviors. A Case Study of Muscat
[NO] 1498/2000 | VUT Path Verification Method for Active Safety Turning Scenarios Based on Virtual-Real Integration
[NO] 1499/2000 | Automation Parking Management System UsingSmart Technologies at Middle East College
[NO] 1500/2000 | Digital Transformation and Corporate Green Innovation: Empirical Evidence from the Random Forest Model
[NO] 1501/2000 | Security-By-Design Automation for Resource-Constrained Healthcare Facilities: A Systematic Review of Cyber Threats, Open-Source Tools, and Mitigation Gaps
[NO] 1502/2000 | What Makes a Good Meta-Feature? Comparing Statistical, Embedding-Based, and Landmark Features for Automated Model Selection in Abstractive Summarisation
[NO] 1503/2000 | Corrosion Analysis of Aluminum Alloy
[NO] 1504/2000 | Investigation of Droplet Evaporation Characteristics for Thermal Management in Clean Energy Power Generation Equipment
[NO] 1505/2000 | Research on the Construction and Empirical Effects of the “AIED+” Multi-intelligent Teaching Model
[NO] 1506/2000 | Efficient Power Flow Calculation for Large-Scale Power Systems Based on Residual-Adaptive Multi-Stage Holomorphic Embedding
[NO] 1507/2000 | Research and Design of an Intelligent Flowerpot System
[NO] 1508/2000 | A Text Classification Method for Telecom Fraud Based on Fusion of TF-IDF Feature Extraction and BERT Model
[NO] 1509/2000 | Multi-Task Generalization Control for Bipedal Robots Leveraging Hierarchical Curriculum Learning and Optimized Experience Replay
[NO] 1510/2000 | A Second-Order State-Sensitivity Propagation Method for Inertial Navigation Error Analysis Under Static-Base Conditions
[NO] 1511/2000 | Design of an English Translation Correction System Based on Intelligent Machines
[NO] 1512/2000 | Image Classification Using Computer Vision and Deep Learning for Shelf Monitoring
[NO] 1513/2000 | Energy Transition and Employment from the Perspective of Just Transition: Evidence from China's Urban Electric Power Sector
[NO] 1514/2000 | Control Strategy for Two-Phase Orthogonal/Three-Phase Multiplexed Electromagnetic Stirring Power Supply
[NO] 1515/2000 | Beyond Binary: A 6-ary Coprime Encoding and Thompson Sampling Approach for Directional Neighbor Discovery
[NO] 1516/2000 | CMTformer: Heterogeneous Symmetry and Dynamic Cross-Attention Fusion for Traffic Prediction
[NO] 1517/2000 | Construction and Application of a Multidimensional Measurement Model Based on Parallel Coordinates
[NO] 1518/2000 | Comparative Analysis of Convolutional Neural Network and Support Vector Machine for Uveal Melanoma Detection from Ocular Images for Good Health
[NO] 1519/2000 | Deep Learning Model for Prediction of Bio-Control Agent Selection for Crop Pests
[NO] 1520/2000 | Task-Oriented and Fog-Severity-Stratified Evaluation of Image Dehazing for UAV Object Detection
[NO] 1521/2000 | Disturbance Observer-Based Finite-Time Antidisturbance Control for Power Systems Against Deception Attacks and Actuator Faults
[NO] 1522/2000 | Development of Webapp for Bone Cancer Detection Using CNN and Hybrid Deep-Learning Architecture
[NO] 1523/2000 | Tri-Axial Reliability-Aware Fusion Network for Cross-Working Condition Bearing Fault Diagnosis
[NO] 1524/2000 | Zero-Data AI Framework for Real-Time Micro-Ecosystem Anomaly Detection in Urban Vertical Farming
[NO] 1525/2000 | IEEE Guide for Acceptance and Maintenance of Insulating Liquids in Transformers and Related Equipment
[NO] 1526/2000 | Multi-Scale Radiomics Fusion with Transformer Networks for Early Flare Prediction in Inflammatory Bowel Disease
[NO] 1527/2000 | Lightweight GAN-Assisted Attention U-Net with Transformer Bottleneck for Accurate Brain Tumor Segmentation
[NO] 1528/2000 | Multi-PINet: A Physics Informed Net of Multi-Agent System for a Non-Cooperative Target Consensus Tracking
[NO] 1529/2000 | Voltage-Sensing Current-Compensating Active EMI Filter With Boosted Capacitance Amplification for Common-Mode EMI Attenuation
[NO] 1530/2000 | Domain Elastic Transform: Bayesian Function Registration for High-Dimensional Scientific Data
[NO] 1531/2000 | An Intelligent Multi-Model Machine Learning Framework for Online Shopping Rating Prediction
[NO] 1532/2000 | Physics-Inspired AI for Interpretable Leukaemia Diagnosis Using Cell Mechanics and Morphology
[NO] 1533/2000 | Development of IoT Integrated Water Quality Monitoring System
[NO] 1534/2000 | A Comparative Study of Deep Learning Models on Benchmark Datasets
[NO] 1535/2000 | Prioritized Adaptive Dual-Critic Deep Reinforcement Learning Approach for Electric Vehicle Charging Optimization
[NO] 1536/2000 | A Robust Machine Learning Framework for Stock Price Forecasting Using Feature Optimization and Neural Networks
[NO] 1537/2000 | Incorporating BS Sleeping into Clustered Cell-Free Networking Improves not only Energy Efficiency but also Sum Rate
[NO] 1538/2000 | Optimization and Application of Embodied Intelligence in Intelligent Sorting
[NO] 1539/2000 | RoBCtrl: Attacking GNN-Based Social Bot Detectors via Reinforced Manipulation of Bots Control Interaction
[NO] 1540/2000 | Research on the Iterative Strategy of Online Guodian Products Based on Intelligent Decision Support
[NO] 1541/2000 | Enhancement method of small sample financial time series data based on generating countermeasure network
[NO] 1542/2000 | Digital Transformation, Green Marketing Dynamic Capabilities, and Corporate Sustainable Competitive Advantage: A Monte Carlo Simulation Approach
[NO] 1543/2000 | A Computational Modeling and Prediction Study on the Synergistic Effect between Higher Vocational Education and Regional Economy in China
[NO] 1544/2000 | Do Hedonic Aspects of Context Bias UX Evaluation? Evidence from Controlled Virtual Environments
[NO] 1545/2000 | Proceedings of the 2026 European Conference on Cognitive Ergonomics
[NO] 1546/2000 | CISR 2026 Conference Committees
[NO] 1547/2000 | Proceedings of the 14th Workshop on Programming Languages and Operating Systems
[NO] 1548/2000 | An Analytical Analysis of the Coupling Between Wave Energy Control (Single &amp; Array) and Wave Excitation Force Estimation Under Model Errors
[NO] 1549/2000 | Multi-Class Machine Learning Models for the Classification of Age-Related Cognitive Impairment
[NO] 1550/2000 | A Power Load Forecasting Method Based on CEEMDAN and Attention Hybrid Deep Networks
[NO] 1551/2000 | Training Stability and Hyperparameter Analysis of PPO-based RLHF for Sentiment Alignment
[NO] 1552/2000 | Research on the Optimization of AI-Based Smart Hotel Customer Service System
[NO] 1553/2000 | Privacy-Preserving Targeting in a Cookieless Era: Federated Learning for On-Device Ad Personalization
[NO] 1554/2000 | Robust Zonotopic Control
[NO] 1555/2000 | Responsibility-Driven Growth: Optimization of the Chain Mechanism Between Teacher-Student Relationships and Academic Performance Based on Structural Equation Modeling and Machine Learning-Mediated by Ideological and Political Integrated Learning Engagement and Self-Esteem
[NO] 1556/2000 | Research on the Spatial-Temporal Evolution Characteristics of the Scale of China's Graduate Enrollment
[NO] 1557/2000 | Research on Multimodal Resource Modeling and Intelligent Retrieval for Appreciating Chinese and Foreign Piano Works
[NO] 1558/2000 | Design of an Intelligent Question Answering System for Universities Integrating Knowledge Graphs and Large Language Models
[NO] 1559/2000 | A Generative AI-Based Framework for Intelligent Teaching Assistance Systems in Smart Education
[NO] 1560/2000 | Gongshi: Formula Recognition and Analysis for Education via a Locally Deployed, CPU-based Lightweight Large Language Model with TexTeller
[NO] 1561/2000 | User Experience Analysis of Gamification Elements in Online Learning Platforms
[NO] 1562/2000 | Research on Performance Evaluation Prediction for Subordinate Units of Provincial Grid Companies Based on Machine Learning Algorithms
[NO] 1563/2000 | Campus Fresh Food Demand Prediction via Graph-Based Spatio-Temporal Encoding and Gated Feature Fusion with Multi-Order Kolmogorov-Arnold Network
[NO] 1564/2000 | Construction of a Competency Framework for International Chinese Teachers in Vocational Colleges Based on Policy Text Lexical Network Analysis
[NO] 1565/2000 | Research on an Evaluation and Optimization Model for Marxist Theory Dissemination Effectiveness Empowered by Large Language Models
[NO] 1566/2000 | Digital Economy Platform Construction and Operation Driven by Big Data
