[2026-04-24 22:39:26] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-04-23
正在获取论文...
[arXiv] 2026-04-23 | pygridsynth: A fast numerical tool for ancilla-free Clifford+T synthesis
[NO] 1315/1766 | An Algorithm-Centric Computational Framework for Near-Scope 3 Carbon Diagnostics: Fixed-Effects Learning, PSO-NN Ensemble Forecasting, and Uncertainty-Aware Scenario Analytics
[NO] 1316/1766 | Effective Missing Data Imputation Techniques Utilizing Regression Methods
[NO] 1317/1766 | Personalized Federated Learning for Sovereign Personal AI Agents: A Review
[NO] 1318/1766 | Effect of Rotation on MHD Peristaltic Flow With Heat Transfer in a Tapered Wall
[NO] 1319/1766 | A Novel Low-PAPR Waveform for Integrated Communication and Navigation in LEO Satellite Systems
[NO] 1320/1766 | Research on Optimization of Logistics Network Inspection Path Based on Genetic Algorithm
[NO] 1321/1766 | Research on the Design of Information Network Security Defense System Based on GABP Neural Network Algorithm
[NO] 1322/1766 | AIGC Enhanced Anomaly Detection in Industrial Internet of Things
[NO] 1323/1766 | Quantitative Evaluation Method for Well integrity Risk in Heavy Oil Steam Stimulation Wells
[NO] 1324/1766 | ICECCO 2026 Reviewers
[NO] 1325/1766 | Research on Evaluating the Operational and Maintenance Development Level of Smart Grids under the Generation-Grid-Load-Storage Environment
[NO] 1326/1766 | Research on Missile-Borne Micro-Inertial/BeiDou Scalar Depth Integrated Navigation Technology
[NO] 1327/1766 | 2026 International Conference on Semantic Computing (ICSC)
[NO] 1328/1766 | Teleoperating Autonomous Vehicles over Commercial 5G Networks: Are We There Yet?
[NO] 1329/1766 | MetaFlex: A Flexible Architecture for Efficient Packet Scheduling and Memory Allocation
[NO] 1330/1766 | Consolidated Fe/FeSi Mixtures for Applications Requiring Increased Frequency Stability of Magnetic Properties_supp1-3686591.pdf
[NO] 1331/1766 | A Multi-Strategy Enhanced Zebra Optimization Algorithm and Its Application
[NO] 1332/1766 | RLMToT: A Thought Tree-Based Model for Sentiment Triplet Extraction from MOOC Reviews
[NO] 1333/1766 | Once Rolling Hashing is Enough: Exploiting Rolling Hash Reuse in Delta Compression
[NO] 1334/1766 | Scheduling Cloud Block Storage Proactively and Reactively with Omar
[NO] 1335/1766 | PASS: A Power Adaptive Storage Server
[NO] 1336/1766 | EMVOD: Elastic Multi-Path QUIC Scheduling for CDN Video-on-Demand Service
[NO] 1337/1766 | Accelerating Transactional Execution via Processing-In-Memory
[NO] 1338/1766 | PPSplitFed: Privacy-Preserving Splitfed Learning via Functional Encryption
[NO] 1339/1766 | An INS/DVL/PS Integrated Underwater System Based on NLS-Transformer-LSTM Velocity Prediction Model
[NO] 1340/1766 | Development of a Low-Cost Flex-Sensor and Machine Learning Based Sign Language Interpreter
[NO] 1341/1766 | Influences of bending degree on non-contact gap and pressure measurements by using eddyingized conductive polymer composite
[NO] 1342/1766 | Fringe projection profilometry method based on dual-epipolar and phase constraint
[NO] 1343/1766 | DRL-Assisted Null Space Aware (DNSA) Framework for MU-MISO ISAC Systems
[NO] 1344/1766 | Scheduling Training-Inference Co-Location in Demand Response for Sustainable Edge AI
[NO] 1345/1766 | Construction of Teachers' AI Competence Framework — A New Dimension of Empowerment in Mental Health Education
[NO] 1346/1766 | Blow based collaboration in a digital art virtual environment
[NO] 1347/1766 | HMA: A Hierarchical Multi-Agent System for Document Question Answering
[NO] 1348/1766 | A Digital Intelligence-Empowered Framework for Fundamental Information Systems Courses
[NO] 1349/1766 | An Intelligent Visualization Framework for Enhancing Data-Driven Creativity in Urban and Rural Planning Education
[NO] 1350/1766 | MAFR-Net: A Multimodal Multi-scale Attention Fusion Network for College Student Micro-expression Recognition in Smart Education
[NO] 1351/1766 | Research on the design method of Yangliuqing woodblock print production technology based on artificial intelligence diffusion modeling
[NO] 1352/1766 | Data-Driven and Intelligent Estimation of Aircraft Aerodynamic Parameters via a Transformer-BiLSTM Network
[NO] 1353/1766 | Performance Regressions Prediction using Time Series Classification: A Case Study
[NO] 1354/1766 | QualITA26 Workshop Organizers Welcome
[NO] 1355/1766 | Technical Perspective: Rel
[NO] 1356/1766 | Reinforcement Learning-Based Bio-Inspired Control for Stability Enhancement in Autonomous Vehicles
[NO] 1357/1766 | Estimation of Skin Surface Voltage Distribution Due to Stenosed Brachial Artery Using Numerical Technique
[NO] 1358/1766 | Early Detection of Dyslexia Based on the Analysis of Handwritten Images
[NO] 1359/1766 | RegEase: Simplifying Insurance Compliance
[NO] 1360/1766 | Deep Learning Based Vegetable Price Forecasting for Nepalese Markets: An STL Attention LSTM Approach
[NO] 1361/1766 | AI-Powered Health Monitoring Using IoT Devices and Wearable Technologies for Continuous Patient Assessment
[NO] 1362/1766 | Steering Committee
[NO] 1363/1766 | Multi-Modal Fusion Approach Combining LSTM and CNN Models for Parkinson’s Detection from Speech and Handwriting Data
[YES] 1364/1766 | A Parallel Hardware Architecture for the Twiddless Fast Fourier Transform (TFFT)
[NO] 1365/1766 | Modeling Adoption Intention of Generative AI Chatbots in Higher Education: A Quantitative Decision-Oriented Analysis
[NO] 1366/1766 | The Limits of Macroscopic Analysis in Global Protest Dynamics: Evaluating Static Clustering vs. Microscopic Complexity
[NO] 1367/1766 | Remarks on the Relevance of Privacy Expectations for Default Opt-out Settings
[NO] 1368/1766 | Introduction
[NO] 1369/1766 | Discrete Tokenization for Multimodal LLMs: A Comprehensive Survey_supp1-3676982.pdf
[NO] 1370/1766 | Efficient Algorithm for Early Stage Detection of Breast Cancer for Microwave Imaging
[NO] 1371/1766 | Analysis of Discord-Based Remote Access Threats: Detection and Prevention
[NO] 1372/1766 | AI-Augmented Threat Intelligence Framework for Proactive Vulnerability Assessment in Evolving Enterprise Networks
[NO] 1373/1766 | Energy-Aware Dynamic TDD Scheduling in 5G RAN Using Deep Reinforcement Learning
[NO] 1374/1766 | Automated Kidney Disease Classification Using Transfer Learning with VGG19 on Ultrasound Images
[NO] 1375/1766 | Bulk-Driven high gain OTA using Quasi-Floating Gate Method for Low Frequency Application
[NO] 1376/1766 | AI-Powered Rockfall Prediction for Open-Pit Mines
[NO] 1377/1766 | COVID-19 Detection from CT Scans Using Hybrid CNN-SNN Deep Learning
[NO] 1378/1766 | A Feature-Optimized Machine Learning Approach for Accurate Heart Disease Prognosis
[NO] 1379/1766 | Optimization of 3D Reconstruction Algorithm for Virtual Reality Environment Based on Computer Vision
[NO] 1380/1766 | Enhancing U-Net with Attention-Guided Decoders and Atrous Spatial Pyramid Pooling for Tomato Plant Disease Segmentation
[NO] 1381/1766 | Hybrid Model for Enhanced Crypto Currency Forecasting: Polygon (POL) Price Prediction with XGBoost GRU and BiLSTM
[NO] 1382/1766 | Artificial Intelligence based Behavior Adaptive Authentication Model in Solving Security Problems of Cloud Computing Systems
[NO] 1383/1766 | NDVI-Driven Forest Depletion Analysis: A Remote Sensing Framework for Evaluating Cement Industry Impacts on Vegetation
[NO] 1384/1766 | Smart Video Surveillance System with Intruder Identification and Behavioural Anomaly Detection using YOLOv8
[NO] 1385/1766 | Privacy-Preserving Cross-Chain Federated Blockchain for Carbon-Credit Management
[NO] 1386/1766 | An Adaptive Hybrid Disk Scheduling Algorithm for Fair and Efficient Storage Systems
[NO] 1387/1766 | VAE-Based Feature Extraction for Lung Nodule Diagnosis
[NO] 1388/1766 | Generative AI and Ethical Integration in Higher Education: Navigating Innovation and Responsibility
[NO] 1389/1766 | Research on Cooperative Sensing of Multi-Modal Signals and Structural Health Identification Algorithm for Power Transmission and Distribution Equipment Foundation
[NO] 1390/1766 | Application of Machine Vision Technology in Tobacco Quality Inspection System
[NO] 1391/1766 | The Integration of Big Data Technology in Transformer Condition Monitoring and Detection
[NO] 1392/1766 | Research on modeling and optimization of front-end orchestration tool based on low code engine in power system service convergence
[NO] 1393/1766 | Automatic Generation Technology for Distribution Network Protection Settings Based on Integrated Graph Data Model Approach
[NO] 1394/1766 | Mechanical Design of Auto Feeder for Poultry and Livestock in Smart Agriculture
[NO] 1395/1766 | Learning Adaptive Routing Policies Under Stochastic Service Times
[NO] 1396/1766 | Ontology Evolution via Renormalization in Latent Semantic Space
[NO] 1397/1766 | A Multi-View Deep Representation Learning Approach for Drug Discovery and Target Affinity Estimation
[NO] 1398/1766 | Construction of a Retrieval-Enhanced and Dynamically Updated Collocation Knowledge Base System for Second Language Learning
[NO] 1399/1766 | Fault-Tolerant Operation of Micro-Hydro and PV-BSS-based Standalone Microgrid using Predictive Control
[NO] 1400/1766 | Learning Disentangled Representations for Generalized Multi-view Clustering
[NO] 1401/1766 | Mapping Banana Plantation Distribution and Their Establishment Years: A Phenology-Based Approach Using Multi-sensor Satellite Imagery
[NO] 1402/1766 | Derivation of Three-Dimensional Surface Displacements in Mining Areas Using Farneback Optical Flow Method with LuTan-1 Ascending and Descending SAR Imagery
[NO] 1403/1766 | Autonomous Fixed-Time Model Predictive Control for Decentralized Coordination and Stabilization of Hybrid Fuel Cell/Battery/Supercapacitor Systems
[NO] 1404/1766 | Integrating Aesthetic-Driven Hierarchical Semantics for Image Quality Assessment
[NO] 1405/1766 | Health-aware Economic Model Predictive Control of Wave Energy Converters Based on a Reliability Metric
[NO] 1406/1766 | Differentially Private Reward Functions in Markov Decision Processes: Policy Synthesis and Tradeoffs
[NO] 1407/1766 | Enhancing Integrity Verification of Convolutional Neural Network Predictions in a Malicious Model
[NO] 1408/1766 | DCGFI: Robust and Interpretable Failure Identification Using Dual Causal Graph for Microservices on Multimodal Observability Data
[NO] 1409/1766 | Unsupervised Domain Adaptation based Cross-Type Deepfake Image Detection
[NO] 1410/1766 | Risk-Assessment and Visual Perception of Autonomous Microrobots using Model-free Reinforcement Learning to Cope with Multi-challenging Environments
[NO] 1411/1766 | Multispectral Demosaicking using Bilinear Decomposition with Multichannel Structural Regularization
[NO] 1412/1766 | Time-Scale-Adaptable Spectrum Sharing for Hybrid Satellite-Terrestrial Networks
[NO] 1413/1766 | Optimization Design and Mechanical Analysis of a 5 T Iron-Based Superconducting Insert Coil for High Field Application
[NO] 1414/1766 | Dual Event-Triggered Remote Information-based State Estimation with Measurement Outliers
[NO] 1415/1766 | Multi-Priority Reactive Motion Control for Safe and Coordinated Dual-Arm Manipulation in Dynamic Environments_supp1-3686598.mp4
[NO] 1416/1766 | Low-Light Salient Object Detection via Representation Decoupling
[NO] 1417/1766 | Wiener-Deconvolution-Driven Event-Based Deblurring for Low-Light Imaging
[NO] 1418/1766 | Crimson: Collaborative Parameter Updates for Efficient Pipeline Training of Large Language Models
[NO] 1419/1766 | AdaServe: Accelerating Multi-SLO LLM Serving with SLO-Customized Speculative Decoding
[NO] 1420/1766 | Carbon-Aware Continuous Learning for Sustainable Real-Time Machine Learning Analytics
[NO] 1421/1766 | Prediction of Yogurt Quality Attributes from Hyperspectral Images using Deep Learning
[NO] 1422/1766 | Research on Key Technology of High-quality Scientific and Technological Achievements Screening and Evaluation Based on Deep Learning
[NO] 1423/1766 | Uncovering Research Trends in Machine Learning Applications for $\text{CO}_{2}$-Equivalent Emissions
[NO] 1424/1766 | Zero-Shot Autonomous Dialogue Agent for Efficient Electric Power Data Inquiry
[NO] 1425/1766 | Rearchitecting Programmable Networks For In-Network Computing: From Hardware To Language
[NO] 1426/1766 | Practical Application of Blended Learning in English Translation Instruction
[NO] 1427/1766 | Deep Learning-Driven Personalized Dance Therapy Plan Generation System Research
[NO] 1428/1766 | Research on Automation of Scaled User Management and Teaching Resource Scheduling for Online Education Platforms
[NO] 1429/1766 | Public Safety Science Education for College Students in the Era of Artificial Intelli-gence: Operational Mechanisms, Innovative Practices and Reform Directions
[NO] 1430/1766 | Proceedings of the 2025 4th International Conference on Artificial Intelligence and Education
[NO] 1431/1766 | An Empirical Investigation of Factors Affecting Subscription to Udemy Accounting Courses Using XGBoost and Sobol Sensitivity Analysis
[NO] 1432/1766 | Research on Optimizing Ideological and Political Classroom Teaching Processes Based on Data Mining
[NO] 1433/1766 | A Study on the Path of AI Empowering College Curriculum Teaching Based on PCA and K-means Clustering
[NO] 1434/1766 | Factor-Graph-Based Contact Force Pre-integration Estimation for Humanoid Robots
[NO] 1435/1766 | Towards a CDIO Teaching Model for Software Testing Courses under the Bidirectional Empowerment of Artificial Intelligence
[NO] 1436/1766 | WEPPE26: 6th Workshop on Education and Practice of Performance Engineering
[NO] 1437/1766 | Evaluating CNN Architectures in Multi-Agent PPO for Cooperative Snake Gameplay
[NO] 1438/1766 | Hardware-Implementable Tunable Synaptic Weight for Neural Networks
[NO] 1439/1766 | DKT based AR framework for predictive color learning assessment in children with autism in Nepal
[NO] 1440/1766 | Optimizing Muller C Element Behavior for Robust Bayesian Inference
[NO] 1441/1766 | Real-Time Super-Resolution Ultrasound Imaging using the Erythrocytes_supp2-3683326.pdf
[NO] 1442/1766 | Optimizing Electric Vehicle Scheduling in Smart Grids: Strategies for Cost Savings, Alleviating Congestion, and Promoting Sustainable Car-to-Grid Integration
[NO] 1443/1766 | Mitigating Optimism Bias in Fast Antimicrobial Susceptibility Testing via Imbalance-Aware Kernel-KNN and SMOTE-NC
[NO] 1444/1766 | Real-Time Prosthetic Hand Control Using Forearm EMG Signals
[NO] 1445/1766 | An fNIRS - Enabled Memory Game Device
[NO] 1446/1766 | Facial EMG Controlled Wheelchair - A Simulated Mobility Assistance for Quadriplegia
[NO] 1447/1766 | Enhanced Video Surveillance Framework Using Improved Faster R-CNN ResNet101 and LP-SIFT for Robust Object Detection and Tracking
[NO] 1448/1766 | Securing Industry 5.0 Financial Workflows with Blockchain-AI Convergence: A Framework for Resilient Cyber-Physical Systems
[NO] 1449/1766 | ICASST 2026 Author Index
[NO] 1450/1766 | Green Innovation and Technology Readiness: Sustainable Development in the Global South
[NO] 1451/1766 | Future Trends of Design Management in the Hospitality Industry: An AI-Driven Perspective on Intelligence, Sustainability, and Interdisciplinary Integration
[NO] 1452/1766 | Temperature-Aware Modelling of MOSFET Characteristics for Sustainable Circuit Design
[NO] 1453/1766 | Gen-AI Assisted Machine Learning Framework for Early Heart Disease Risk Prediction
[NO] 1454/1766 | Optically Navigated Surgical Robotic System for Automated In Situ Bioprinting in Confined Anatomical Spaces_supp3-3680970.mp4
[NO] 1455/1766 | Technical Perspective: Diva: Dynamic Range Filter for Var-Length Keys and Queries
[NO] 1456/1766 | Mlops Model Deployment System for Multi-Cloud Environments and Improvement of Commercial AI Service Availability
[NO] 1457/1766 | Renewable Energy Integration with Battery Energy Storage System for Electric Vehicle Charging Stations (EVCS) using HOMER Software at Ambedkar Nagar, Uttar Pradesh, India
[NO] 1458/1766 | Performance Analysis of IRS-Enabled Cognitive Radio Networks over Composite Fading Channels
[NO] 1459/1766 | Retrievable Data Perturbation and Third-Party Auditing Frameworks: An Analytical Review for Secure Public Cloud Environments
[NO] 1460/1766 | Smart Grid Framework Leveraging Advanced Semiconductor Nodes and RISC Nodes with Agentic AI, Machine Learning, Blockchain, Quantum Computing, and Next-Generation 6G/7G Communication Architectures for Sustainable and Autonomous Energy Systems
[NO] 1461/1766 | AI in LegalTech: Automating Contract Analysis and Fraud Detection
[NO] 1462/1766 | Environmental Factors Influencing Noise in Voice Signals
[NO] 1463/1766 | TinyML for Edge Devices: Current State, Technological Advancements, and Future Opportunities
[NO] 1464/1766 | Optimizing Quantum-Inspired Machine Learning Models for Energy-Efficient Computing
[NO] 1465/1766 | Intelligent Healthcare Security Architecture Using Deep Learning and Predictive Analytics
[NO] 1466/1766 | Adaptive Duty-Cycled Cooperative Clustering Model for Energy-Harvesting Wireless Sensor Networks
[NO] 1467/1766 | A Comparative Analysis of BERT and LLM Models for Advanced Phishing Detection
[NO] 1468/1766 | Automated Eye Disease Diagnosis Using Random Forest Classifier for Clinical Decision Support
[NO] 1469/1766 | Symbiotic Minds: HyperFused Emotion Recognition Models for Adaptive Human–AI Interaction
[NO] 1470/1766 | Machine Learning Models Employing Data Implications for Diabetes Prediction
[NO] 1471/1766 | Effect of Ground Plane Variation and Defected Ground Structures on the Multiband Response of a Fork-Shaped Microstrip Antenna
[NO] 1472/1766 | Deep Learning based Automated Diabetic Retinopathy Classification
[NO] 1473/1766 | Environmentally Resilient Crop Prediction Framework using Digital Twin and XGBoost and Remote Sensing Data
[NO] 1474/1766 | Emoticare+: A Proactive and Personalized Emotion-Aware Conversational Agent for Mental Health Support
[NO] 1475/1766 | Analysis and Comparison of Cloud Data Storage Services with a Practical Study on Google Drive
[NO] 1476/1766 | When Bodies Resonate in Sound: Sonifying Interpersonal Movement Dynamics in Dance
[NO] 1477/1766 | Tabular Data Augmentation for Machine Learning: Progress and Prospects of Embracing Generative AI
[NO] 1478/1766 | Graph of Agentic Thoughts: Bridging Agentic Reasoning and Explainability through Graphs
[NO] 1479/1766 | Adaptive Financial Sentiment Analysis for NIFTY 50 via Instruction-Tuned LLMs ,RAG and Reinforcement Learning Approaches
[NO] 1480/1766 | The Datafied Child: A Systematic Literature Review and Research Agenda on Sharenting, Privacy, and Social Media
[NO] 1481/1766 | Proceedings of the 6th Workshop on Challenges and Opportunities of Efficient and Performant Storage Systems
[NO] 1482/1766 | Amazon’s Quiet Overhaul of the Trademark System
[NO] 1483/1766 | Multipath Collective Communication Beyond Scale-up Networks in GPU Clouds
[NO] 1484/1766 | LCAG: a Lightweight Consensus Algorithm Based on Graph for the Internet of Things
[NO] 1485/1766 | Coordinated Defense Allocation in Reach-Avoid Scenarios with Efficient Online Optimization
[NO] 1486/1766 | Adversarial Optimization of the $\delta$-TriBound Objective for Robust Community Detection Attacks Across Multiple Graphs
[NO] 1487/1766 | A Multi-timescale Learn-to-Optimize Method for Unit Commitment with Renewable Power
[NO] 1488/1766 | Forgettable Federated Linear Learning With Certified Data Unlearning_supp1-3683398.pdf
[NO] 1489/1766 | DL-based Robust Learning Fuzzy Tracking Control with Vibration Suppression for Flexible Morphing Hypersonic Vehicles under Dynamic Flight Environments
[NO] 1490/1766 | Prescribed Performance based Alpha-Matrix Adaptive Model-free Control for Operational Quadrotor with Manipulator
[NO] 1491/1766 | Tunable Vernier Effect in Dual Fabry–Perot Interferometer Temperature Sensor
[NO] 1492/1766 | HEIRS-PS: Hybrid Three-dimensional RRAM- and SRAM-CIM for Pipelined Sparse Multi-Task Transformer Acceleration
[NO] 1493/1766 | Turbo Equalization for Flexible PAM-2/4 Passive Optical Networks
[NO] 1494/1766 | PiLLM: Resource-Efficient LLM Inference Using Workload Prediction
[NO] 1495/1766 | Enhanced Collision Avoidance in Quadrotor Surrounding Control via Adaptive APF and Event-Triggered MPC
[NO] 1496/1766 | Event-Triggered Adaptive Dynamic Programming for Path Tracking Control of Autonomous Ground Vehicles via Generalized Fuzzy Hyperbolic Models
[NO] 1497/1766 | Tendon-Driven Robotic Shoulder Joint With Passive Stabilization for Large Workspace
[NO] 1498/1766 | WiseOWL: A Methodology for Evaluating Ontological Descriptiveness and Semantic Correctness for Ontology Reuse and Ontology Recommendations
[NO] 1499/1766 | Gene-Disease Association Extraction Based on PiSSA Fine-tuning of Qwen3-8B
[NO] 1500/1766 | Research on Intelligent Modeling and Algorithm Inference Method for Multi source Data of Food and Drug Environmental Intellectual Property
[NO] 1501/1766 | Exploring the Effect of Virtual Reality (VR) Simulation to Disaster Preparedness of Children
[NO] 1502/1766 | Early Prediction of Student Academic Status Using SMOTE-Driven Multiclass Classification
[NO] 1503/1766 | Utilizing Reinforcement Learning to Overcome the Challenge of Muscle-Specific EMG Placements for Musculoskeletal Modeling
[NO] 1504/1766 | PC-RLNet: A High-Precision PM2.5 Prediction Framework via Residual Fusion of Pretrained LSTM and Lightweight Transformer
[NO] 1505/1766 | Statistical Characteristics and Forecasting of Electricity Market Trading Price Volatility Based on ARIMA-GARCH and Hybrid Deep Learning Models-A Case Study of the Liaoning Electricity Market
[NO] 1506/1766 | LLM-Enhanced Reinforcement Learning for Time Series Anomaly Detection
[NO] 1507/1766 | Deepandable AI: A Generative Defense Against Voice-Based Intrusion for Voice-Controlled Services
[NO] 1508/1766 | Performance Implications of Node Graph Complexity in Real-Time Shader Systems
[NO] 1509/1766 | Edge-aware Efficient Diffusion Model for High-Fidelity Sketch-to-Product Generation
[NO] 1510/1766 | Knowledge-Distilled Time-Series LLM for General Performance Parameter Prediction in Optical Transport Networks
[NO] 1511/1766 | Reproducibility of Legacy ROS-based Research Code through Transparent Docker Integration
[NO] 1512/1766 | Dynamic Search Depth Allocation for Patent Prior Art Search: An Empirical Study of Retrieval Limitations in 64-Dimensional Embeddings
[NO] 1513/1766 | Real-Time Voice Liveliness Detection for Securing Voice Assistants from Deepfake Audio Attacks
[NO] 1514/1766 | Reducing the GPU Memory Bottleneck with Lossless Compression for ML
[NO] 1515/1766 | Research on the English Teaching Evaluation Algorithm Based on Data Mining Technology
[YES] 1516/1766 | AI-Enhanced Digital Logic Teaching: A Case Study of Large Model-Assisted Practice Courses
[NO] 1517/1766 | Research on Risk Level Prediction and Analysis of Enterprise Security Hidden Dangers Based on Machine Learning
[NO] 1518/1766 | A Study of Factors Influencing College Students' Online Cramming for Finals: An Emerging Norm in the IT-Enabled Learning Context with Random Forest Analysis
[NO] 1519/1766 | AI-Empowered Innovation and Entrepreneurship Education in Universities: A Development Path and Ecosystem Framework
[NO] 1520/1766 | Knowledge Graph-Enabled Digital and Intelligent Construction of Electromagnetic Field and Microwave Courses
[NO] 1521/1766 | Evaluation and Feedback of Generative AI in College English Writing Teaching
[NO] 1522/1766 | Design and Implementation of a Digital Opera Teaching Platform Based on Virtual Reality Technology
[NO] 1523/1766 | Artificial Intelligence Empowering College Counselors in Precision Education: Logical Framework and Practical Approach
[YES] 1524/1766 | LEGEND: An LLM-Driven Soft-Constraint Adaptive Heuristic Search Framework
[NO] 1525/1766 | SweetSpot: An Analytical Model for Predicting Energy Efficiency of LLM Inference
[NO] 1526/1766 | LSTC: Large-Scale Triangle Counting on Single GPU
[NO] 1527/1766 | Feature-Based Retinal Image Analysis for Diabetic Retinopathy Detection using Optical Coherence Tomography Angiography and Fundus Imaging Techniques
[NO] 1528/1766 | SEGA-Net: LLM-Guided Semantic-Enhanced GAN Augmentation Network for Low-Resolution Image Classification
[NO] 1529/1766 | Predictive Machine Learning Models for Optimizing the Financial Close Process
[NO] 1530/1766 | An Explainable Machine Learning Based Clinical Decision Support Framework for Early Heart Disease Risk Stratification
[NO] 1531/1766 | Reliability Assessment of Early Exit Deep Convolutional Neural Networks
[NO] 1532/1766 | Memory-Bounded A/RED: Scalable Active Detection of Rare Relevant Events in Indefinite Length Streams
[NO] 1533/1766 | Experimental Study on Condensation Heat Transfer Enhancement under Non-Uniform Electric Fields_supp1-3685987.pdf
[NO] 1534/1766 | A Motion Control Algorithm of Wheel-Legged Robot via Adaptive Dynamic Programming and Data-Driven Value Iteration_supp1-3685946.mp4
[NO] 1535/1766 | Deep Learning-Based Process Control of Microrobot Swarms Guided by Phase Diagrams_supp4-3686187.mp4
[NO] 1536/1766 | Machine Learning–Driven Failure Prediction in Large-Scale Cloud Systems
[NO] 1537/1766 | Swarm Intelligence for Real-Time Traffic Flow Prediction in Urban Mobility Networks
[NO] 1538/1766 | AI-Powered FinTech Analytics for Transactional Transparency and Fraud Mitigation in Industrial IoT Ecosystems
[NO] 1539/1766 | Policy-Aware Adaptive Data Processing Framework for Multi-Tenant Cloud Analytics Platforms
[NO] 1540/1766 | Interactive Machine Learning can recognise complex movements but does it make us happy?
[NO] 1541/1766 | Beyond Deterministic Mappings: Audiovisual Correspondence in Movement-Controlled Generative Music
[NO] 1542/1766 | Teams of Sport Science and Computer Engineering Students Learning Together
[NO] 1543/1766 | Moving Contexts: How Culture, Context, and Movement Histories Shape Whole-Body Interaction in Aesthetic Environments
[NO] 1544/1766 | Optimizing Agentic AI Applications Under Budget Constraints
[NO] 1545/1766 | LoRaWAN and Arduino based Smart Campus Energy Monitoring
[NO] 1546/1766 | Monitoring and Mitigating Data Drift in Batch-based Machine Learning Systems using Adaptive Retraining
[NO] 1547/1766 | KisanConnect: A Unified Smart Service Platform for Farmers and Rythu Seva Kedram
[NO] 1548/1766 | Smart Coastal Erosion Monitoring using IoT
[NO] 1549/1766 | Predictive Maintenance of Power MOSFETs with a Baseline RUL Prototype
[NO] 1550/1766 | Evaluation of Deep Learning Architectures for Network Intrusion Detection
[NO] 1551/1766 | Weed Recognition Using Deep Learning Techniques: A Review
[NO] 1552/1766 | Optimizing Supervised Learning via Entropy Regularization
[YES] 1553/1766 | Vulnerability Discovery Modeling in multi-version software using Weibull- Logistic distribution
[NO] 1554/1766 | IoT-Driven Innovations in Food Processing for Sustainable Industry 4.0 Development
[NO] 1555/1766 | Optimized YOLOv8 with Spatial Path Guidance for Reliable Outdoor Navigation Assistance for Visually Impaired Individuals
[NO] 1556/1766 | Hybrid GRU-Attention Network for Multi-Dimensional Mental Health Risk Prediction: A Comparative Deep Learning Analysis
[NO] 1557/1766 | An Efficient Underwater Acoustic Sensor Network with Delay-Aware Error Analysis and CNN-based Energy Management
[NO] 1558/1766 | Real-Time Image Processing Technology for Robotic Vision Systems in Precision Agriculture
[NO] 1559/1766 | Facial Expression Recognition Using Fine-Tuned ResNet-50 Model
[NO] 1560/1766 | Chemical Potential Driven Transition from Single Band to Dual band Resonance in Graphene Hybrid Reconfigurable THz Antenna for 6G Applications
[NO] 1561/1766 | Airspeed Sensor Reliability Assessment for Robust UAV Control
[YES] 1562/1766 | Automated Vulnerability Scanning and Bug Detection for Secure Web Applications
[NO] 1563/1766 | An Adaptive Edge-Cloud Task Offloading Framework using Reinforcement Learning for Latency-Sensitive AI Applications
[NO] 1564/1766 | OpenStack Release Evolution: Enabling Practical Upgrade Choices for Cloud Operators Through Benchmarking
[NO] 1565/1766 | Large Language Models for Explainable and Self-Service Business Intelligence in Large Enterprises
[NO] 1566/1766 | ProcessChat: A Dataset for Business Process Grounded Dialogs
[NO] 1567/1766 | Self-Supervised Contrastive Learning for Individual and Collective Outlier Detection in Semantic Trajectories
[NO] 1568/1766 | Garen: Reliable Cluster Management with Atomic State Reconciliation
[NO] 1569/1766 | HARP: Orchestrating Automated Parallel Training on Heterogeneous GPU Clusters
[NO] 1570/1766 | Automated End-to-End Model Serving with Cooperative Compilation and Scheduling
[NO] 1571/1766 | FicusDB: Scalable Multi-Versioned Authenticated Archival Storage
[NO] 1572/1766 | CHARM: Chiplet Heterogeneity-Aware Runtime Mapping System
[NO] 1573/1766 | Research on 3D Reconstruction of Pick-and-Hang Robot Workspace Based on Binocular Vision and IMU Fusion
[NO] 1574/1766 | A Dual-Branch Feature Enhancement Approach for Unsupervised Person Re-identification
[NO] 1575/1766 | Medical Image Volumetric Arbitrary Scale Super-Resolution Via Learnable Adaptive Upsampling and Weight Dynamic Balancing
[NO] 1576/1766 | FAST-RTFM: Fast RGB–Thermal Fusion for Point Cloud Mapping in Low-Light Environments
[NO] 1577/1766 | Development of a Unified Resilience Metric for Microgrids and Its Improvement Through Building Energy Management Systems
[NO] 1578/1766 | Effects of Displacement Damage on the Structural and Electrical Properties of Ferroelectric Hafnium Zirconium Oxide Capacitors
[NO] 1579/1766 | Cybersecurity in eHealth: A Scoping Review of Current Research and Trends
[NO] 1580/1766 | Post-Disaster Mobile Network Resilience Through Variance-Aware Framework with Population Weighting
[NO] 1581/1766 | Context-Aware Multi-Agent Coordination Framework for Intelligent Electric Vehicle Charging Optimization
[NO] 1582/1766 | Efficient Attribute-Based Searchable Encryption with Dual Privacy Protection_supp1-3686439.pdf
[NO] 1583/1766 | A Comparative Study of Lightweight Convolutional Models for Visual Surface Material Classification
[NO] 1584/1766 | Introducing Graph Attention Network to Improve Wang Zhengfei Semi-Empirical Model for Accurately Simulating Forest Fire Spread in Western Guizhou Province
[NO] 1585/1766 | Temporal Evolution Prediction of TCM Syndromes in Anorexic Children Based on LSTM-CNN Hybrid Network
