[2026-09-10 23:45:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-09-09
正在获取论文...
[arXiv] 2026-09-09 | Stencil Computation at the Intersection of AI and HPC
[NO] 1529/1997 | Extrapolation Modeling of Microwave Filters Utilizing Bidirectional Deep Recursive Neural Networks
[NO] 1530/1997 | A 2D Inverse-Design Method for Lens Antenna Based on Physics-Informed Neural Network
[NO] 1531/1997 | Introduction to FPL 2026 Journal Track
[NO] 1532/1997 | Low-profile ultra-wideband wide-angle scanning tightly coupled Vivaldi antenna array for X band applications
[NO] 1533/1997 | A Multibeam Fully Metallic Geodesic Gutman Lens Antenna
[NO] 1534/1997 | Design of a Waveform Selective Antenna for High-intensity Short-pulse Radiation Fields Prevention
[NO] 1535/1997 | PGT-SAC: A Physics-Guided Graph Transformer Soft Actor-Critic Framework for Six-DOF Robotic Arm Control
[NO] 1536/1997 | Enhancing Students’ Mastery of Cellular Structure and Function through Augmented Reality-Based Instruction
[NO] 1537/1997 | CISAT 2026 TOC
[NO] 1538/1997 | <b>TRaIL-Odom: Tightly Coupled Continuous Time Radar-IMU-LiDAR Odometry With Adaptive Doppler Weighting</b>
[NO] 1539/1997 | An Ontology-Based Recommendation Engine for Domain-Specific Language Discovery
[NO] 1540/1997 | 3D GPR Tracking of Water Leak in Plastic Pipes
[NO] 1541/1997 | Adaptive Frequency Sweep Using Query by Committee: A Comparative Study with Vector Fitting Based AFS
[NO] 1542/1997 | Strengthening Global Participation With Regional Engagement and Student Empowerment: An Overview of IEEE MTT-S Broadening Participation Efforts in 2025 [Broadening MTT's Reach]
[NO] 1543/1997 | Distributed Adam for Nonconvex Optimization on Time-Varying Directed Networks
[NO] 1544/1997 | Facial-Relevant Dermatology Image Datasets for AI: Biases, Benchmarking, and Readiness for Vision-Language Models
[NO] 1545/1997 | A Fuzzy Set-Based Precision Dimming System for Energy-Saving Heat Preservation Lamps
[NO] 1546/1997 | A Fast Near-Field Scanning Visualization Method Based on Machine Vision
[NO] 1547/1997 | A K-Band Wideband Circularly Polarized Phased Array Antenna for Millimeter-Wave Applications
[NO] 1548/1997 | Securing UAVs Under Electromagnetic Interference: A CELR-Net Framework for Effect Mitigation and Experimental Verification
[NO] 1549/1997 | Responsible Generative AI Governance in Enterprise and Healthcare Environments
[NO] 1550/1997 | Research on Wear Metal Identification of Mechanical Equipment Based on LIBS Combined With GWO-CNN-SVM
[NO] 1551/1997 | From Hidden to Harmful: Connecting Implicit and Explicit Hate Through Implied Statements
[NO] 1552/1997 | Toward Enthymeme Reconstruction: A Neuro-Symbolic Interface
[NO] 1553/1997 | <b>Lightweight Dynamic Modeling of Cable-Driven Continuum Robots Based on Actuation-Space Energy Formulation</b>
[NO] 1554/1997 | Harnessing Kinetic Energy From Vehicles for Sustainable Power: Potential and implementation challenges
[NO] 1555/1997 | Attention-Enhanced Hybrid Deep Learning for Stress and Emotion Recognition from Wearable Biosignals
[NO] 1556/1997 | Automated Construction of Medical Indicator Knowledge Graphs Using Retrieval Augmented Large Language Models
[NO] 1557/1997 | Three Churches and a Cricket Pitch: Survey of Thetford Grammar School Playing Fields Using a 3D CWSF GPR Multi-Channel Antenna Array
[NO] 1558/1997 | High Isolation Design for Transmit-Receive Separated Phased Arrays: From Polarization Port to Inter-Array Isolation
[NO] 1559/1997 | Study on Mining Terminology and Multi-Module Teaching Resources from the Perspective of International Chinese Smart Education
[NO] 1560/1997 | Opening Remarks
[NO] 1561/1997 | Keynote: The Emerging Renaissance: Communiversity Science
[NO] 1562/1997 | Wrap-up: What's next?
[NO] 1563/1997 | Highly Sensitive pH Sensors based on Double-Gate 3D-ITZO Thin-Film Transistors
[NO] 1564/1997 | GBSK: Skeleton Clustering via Granular-ball Computing and Multi-Sampling for Large-Scale Data_supp1-3719825.pdf
[NO] 1565/1997 | Organizing Committee: IRI 2026
[NO] 1566/1997 | MIEFormer: Multi-band Iterative Refinement via Progressive Residual Learning for Low-Light Enhancement
[NO] 1567/1997 | Clustering-Guided Spatial-Spectral Mamba for Hyperspectral Image Classification
[NO] 1568/1997 | Neuro-Symbolic Robotics: Capabilities, Limitations, and Challenges
[NO] 1569/1997 | Exploiting Product Codes for Efficient Wide Stripe Generation with Repair Efficiency Guarantee
[NO] 1570/1997 | An X-band Filtering Folded Reflectarray AntennaWith Out-of-Band Absorption
[NO] 1571/1997 | A DPC-GJC Matrix Enabling Independent Reconfigurable 2-D Multibeam Scanning
[NO] 1572/1997 | Substrate-Integrated Waveguide Dual-Band Bandpass Filter and Diplexers With Large Frequency Ratios
[NO] 1573/1997 | Coherent linking of 698 nm and 1542 nm lasers via an optical frequency comb with automated control
[NO] 1574/1997 | ANN-Based Microwave Transistor Modeling
[NO] 1575/1997 | From Empathy to Engineering: A Pedagogical Framework and its Authentic mHealth Implementation
[YES] 1576/1997 | Large Language Models for Code Refactoring
[NO] 1577/1997 | Y-Map: A Multi-Encoder Y-Architecture for Predicting Performance-Aware Object-Relational Mappings
[NO] 1578/1997 | What Do We Architect When We Architect LLM Agent Systems?
[NO] 1579/1997 | Bridging Theory and Practice: Ethical AI User Story Generator - Translating Ethical AI Requirements into Ethical User Stories
[NO] 1580/1997 | Efficient On-Board Processing of Oblique UAV Video for Rapid Flood Extent Mapping_supp1-3729310.mp4
[NO] 1581/1997 | Adaptive Guard Design with Low-Power Control-Layer Feedback for AFDM over Doubly-Selective Channels
[NO] 1582/1997 | Organizing Committee: RE 2026
[NO] 1583/1997 | Automated Passive Interoperability Testing for Cellular V2X
[NO] 1584/1997 | Design And Verification of SRAM Controller With AXI Interface Using ECC
[NO] 1585/1997 | Visualization-Guided Debug Methodology for Verification of GPU Fixed-Function Pipelines Under Stall Scenarios
[NO] 1586/1997 | TrAFSP: Trace-Retrieval Augmented Few Shot Prompting for Link Generation
[NO] 1587/1997 | IOChain: A Decentralised Framework for Neural Network Inference on Untrusted Nodes
[NO] 1588/1997 | RecGPT: A User Intent-Centric Next-Generation LLM-Powered Recommender System in Industrial Practice
[NO] 1589/1997 | LazyDM: A Machine Learning-Empowered Hot Data Management to Mitigate Premature Migration in High-Density Hybrid SSDs
[NO] 1590/1997 | Autonomous Collaborative Navigation for Craniotomy Surgical Robots Under Self-Occlusion
[NO] 1591/1997 | Design of a Low-Profile High-Efficiency Cavity-Backed Array Antenna
[NO] 1592/1997 | Speed perception bias for objects approaching from behind and its implications for robot motion design
[NO] 1593/1997 | Confusion-Pair Loss for Mitigating Structural Confusion in Military Aircraft Detection_supp1-3732303.docx
[NO] 1594/1997 | Confusion-Pair Loss for Mitigating Structural Confusion in Military Aircraft Detection
[NO] 1595/1997 | Physics-Informed Degradation Kernel Estimation for Mosaic-Based Hyperspectral Fusion Imaging
[NO] 1596/1997 | Development of Spatially Variant Apodization for Near-Range SAR Sidelobe Suppression
[NO] 1597/1997 | A Design of Wideband Millimeter-Wave Array Antenna with Wide Beam
[NO] 1598/1997 | A Adaptive Confocal Microwave Image Reconstruction Approach Based on Dual-Metric Cooperative Optimization
[NO] 1599/1997 | A K band multifunction chiplet design
[NO] 1600/1997 | A Rolling Bearing Fault Diagnosis Method Based on Optimized VMD and 1DCNN-BiGRU
[NO] 1601/1997 | A Shared-Aperture Base Station Antenna with High Isolation for U6G Applications
[NO] 1602/1997 | Bayesian and Partially Bayesian Neural Networks for Static Tabular Classification: A Review and Benchmark
[NO] 1603/1997 | mmWDensePose: A High-Quality mmWave Point Cloud Benchmark for 3D Human Pose Estimation
[NO] 1604/1997 | Manipulating Degrees of Freedom of Electromagnetic Channel with Engineered Scattering Space
[NO] 1605/1997 | Dual-Polarized Leaky-Wave Antenna With Wide-Angle Scanning Based on Symmetric Bilateral Spoof Surface Plasmon Polariton Lines
[NO] 1606/1997 | A 170 GHz Balanced Doubler Based on Planar Schottky Diodes
[NO] 1607/1997 | A Compact Dual-Polarized Broadband Magnetoelectric Dipole Antenna
[NO] 1608/1997 | Research on Precision Monitoring Strategies for Power-Oriented Computing Networks
[NO] 1609/1997 | Enhancing Ka-Band Efficiency in GaN-on-Si HEMTs Through Two-Step Gate Etching
[NO] 1610/1997 | Occlusion-Resilient Autonomous Driving via Vision-Language Models and Cooperative Perception
[NO] 1611/1997 | Generation of Long-Range Non-Diffracting Bessel Beams Based on Huygens Metasurfaces
[NO] 1612/1997 | Beyond Compliance: Emerging Practices and Opportunities for Generative AI in Student Support and Success in Higher Education
[NO] 1613/1997 | An E-band Low Insertion Loss Passive Vector-Modulated Phase Shifter with Resonant Compensation Inductor
[NO] 1614/1997 | An Integrated Approach to Natural Language Processing in Artificial Intelligence Recommender Systems
[NO] 1615/1997 | Design and Implementation of 3–8 GHz MMIC Low Noise Amplifier
[NO] 1616/1997 | A Ka-Band Low-Power Compact Multifunction Chip Based on 3D Heterogeneous Integration Technology
[NO] 1617/1997 | A Magnetic Field Measurement System based on Improved Prandtl-Ishlinskii Hysteresis Model
[NO] 1618/1997 | Research on Perception Optimization of Embodied Intelligent Robots with Vision-Tactile Fusion
[NO] 1619/1997 | Prediction of Path Loss Based on CNN and XGBoost at Millimeter-Wave Chanel in an Indoor Corridor
[NO] 1620/1997 | SEAR-QLoRA for Evidence-Contrastive Adaptive Rank Allocation in Stroke Literature Question Answering
[NO] 1621/1997 | Side-Polished Optical Fiber Detection System with Optical-Harvesting and RF Dual Power Supply
[NO] 1622/1997 | Thermal Analysis of a Novel Hybrid Circuit for W-Band Gyro-TWT
[NO] 1623/1997 | A Metric-learning-based Prototypical Network for Few-shot Action Recognition
[NO] 1624/1997 | Phase-only Multi-Airy Beam Synthesis for Linear Arrays via Projected Gradient Descent
[NO] 1625/1997 | An 8-16 GHz Push-Push VCO with Tapped-Inductor Technique for Broadband Impedance Matching
[NO] 1626/1997 | Inverse Design of Metasurface Absorbers Based on Physics-Constrained Deep Convolutional Generative Adversarial Network
[NO] 1627/1997 | The Research and Design of a Miniaturized Multi-Port Frequency Sources Based on Ping-Pong Structure
[NO] 1628/1997 | Intangible Cultural Heritage Spatial Pattern Generation Based on Retrieval-Augmented and Controllable Diffusion
[NO] 1629/1997 | Wideband End-Fire Antenna Array with Enhanced Port Isolation via Coupling Cancellation
[NO] 1630/1997 | A Wideband 77 GHz Power Amplifier with High Figure of Merit Based on 65nm CMOS Technology
[NO] 1631/1997 | 120 GHz FMCW Radar for Automated Detection of Apnea, Gasping, and Normal Breathing Using a CNN-BiLSTM Framework
[NO] 1632/1997 | Controlled Crystalline Orientation of BA
                    <sub>2</sub>
                    MAPb
                    <sub>2</sub>
                    I
                    <sub>7</sub>
                    Low-n 2-D Perovskite for Self-Powered Photodetectors With High On/Off Ratio
[NO] 1633/1997 | INADS: Network-Level Protection for Web Infrastructure Through Hierarchical Multilayer Intrusion Detection
[NO] 1634/1997 | Training-Free Video Anomaly Detection via Uncertainty-Guided Hierarchical Retrieval with Vision-Language Models
[NO] 1635/1997 | CORE: Suppressing Spurious Similarity via Confidence-Aware Prototypes for Few-Shot Medical Image Segmentation
[NO] 1636/1997 | Copyright Page
[NO] 1637/1997 | Power Quality in Grid-Connected Photovoltaic Inverters: A Systematic Review of Critical Parameters, Standards, and Mitigation Strategies
[NO] 1638/1997 | An Efficient Medical Image Encryption/Decryption Accelerator using 16-point Fast Cosine Number Transform
[NO] 1639/1997 | A Compact and Transparent Four-Port MIMO Antenna with Super-Wideband Characteristic
[NO] 1640/1997 | A Sequential Stalk-Based Manipulation Strategy for Post-Harvest Broccoli Orientation
[NO] 1641/1997 | Toward Scalable and Efficient In-Network Fine-Tuning of Large AI Models
[NO] 1642/1997 | Motion Planning for Dual-Robot Coordination Based on Deep Reinforcement Learning
[NO] 1643/1997 | Multi-Granularity Decomposition and Hierarchical Semantics Learning for Domain Adaptation Retrieval
[NO] 1644/1997 | Author Index
[NO] 1645/1997 | Prototype-guided Diffusion Model for Multi-class Unsupervised Anomaly Detection
[NO] 1646/1997 | BTBR: A Bayesian-Theory-Driven Probabilistic–Fuzzy Framework for Implicit Bias Removal in Large Language Models
[NO] 1647/1997 | Power Dispatch Optimization of Wind Farm Control for Stability Improvement Based on Reduced-Order Impedance
[NO] 1648/1997 | Front Cover
[NO] 1649/1997 | Task-Uncertainty-Aware Video Restoration for Time-varying Unknown Degradations
[NO] 1650/1997 | Organizing Committees
[NO] 1651/1997 | Corrected State-of-Health Representation for Lithium-Ion Battery Degradation Forecasting via Model-Parameter Identification and Multi-Source Health Indicator Fusion
[NO] 1652/1997 | Robust Radio Frequency Fingerprint Identification via Multi-Scale Complex-Valued Learning and Balanced Domain Alignment
[NO] 1653/1997 | Preserving our Software Heritage and its Stories
[NO] 1654/1997 | Four-Source Voxel-Level 3D-CNN with Hierarchical Feature Fusion of rs-fMRI and sMRI Derivatives for ADHD Classification
[NO] 1655/1997 | Representation-Learning GANs for Stealthy FDI Attacks on AC Power System State Estimation
[NO] 1656/1997 | Additional Reviewers
[NO] 1657/1997 | Distributed Inference Path Optimization for Pre-Deployed Split AI Models in IoT Networks
[NO] 1658/1997 | Dynamic Impedance Matching for Ultrasonic Motors Using Switched Inductors and Real-Time Control
[NO] 1659/1997 | Hedge-Algebra Linguistic State Clustering for Interpretable Physical-State Monitoring in UAV-Enabled ISAC
[NO] 1660/1997 | Human-Centric Integration of Large Language Models into Software Engineering Tasks
[NO] 1661/1997 | DBcover: A White-box SQL Test Generation Framework for Coverage Improvement
[YES] 1662/1997 | Toward a Multi-Agent System for Reliable Mocking of Static Methods and Continuous Integration
[YES] 1663/1997 | Comprehensibility-guided Automated Code Refactoring
[NO] 1664/1997 | Execution-Aware Code Documentation through Semantic Data Differences
[NO] 1665/1997 | MNC 2026 Cover Page
[NO] 1666/1997 | Dissipativity-based event-triggered control for 2-D CPSs under denial-of-service attacks
[NO] 1667/1997 | Proceedings
[NO] 1668/1997 | Engineering Doping Profiles in SiN Waveguide-Coupled Horizontal Silicon SPADs for Enhanced Single-Photon Detection and Low Dark Noise_supp1-3728083.pdf
[NO] 1669/1997 | Lightweight Women's Top Classification and Personalized Recommendation System Based on YOLOv8
[NO] 1670/1997 | Knowledge Graph Modeling and Relationship Mining Research on the Evolution of the General Aviation Industry Ecosystem
[NO] 1671/1997 | Design of a Low-Power Area-Efficient Approximate Multiplier Architecture for Error-Resilient Digital Signal Processing Applications
[NO] 1672/1997 | End-point Smart Functional Integrity Verification and Fault Mitigation in Aerospace Radiation Tolerant Microelectronics
[NO] 1673/1997 | Forecasting Individual NetFlows using a Predictive Masked Graph Autoencoder
[NO] 1674/1997 | Use-Case-Guided Text-to-SQL for Network Measurement via Natural Language Querying
[NO] 1675/1997 | AI-Driven Valorization of a Large Repository of Raw Industrial Network Recordings Using NL2SQL
[NO] 1676/1997 | An Heterogeneous Multi-Sensor Platform for Structural Health Monitoring
[NO] 1677/1997 | Bridging the Gap: Tool-Support to Identify Cultural Influences on Requirements Engineering Activities
[NO] 1678/1997 | Machine Learning Evaluation of Generative AI Debugging Feedback Plausibility for Introductory Python Programming
[NO] 1679/1997 | Understanding the Limitations of Machine Learning for IoT Anomaly Detection Under Extreme Class Imbalance
[NO] 1680/1997 | MobileTransfer: Cross-Dataset Transfer Evaluation for Mobile-Money Fraud Detection
[NO] 1681/1997 | When Stakeholder-Centric Requirements Engineering is not Enough: An Action Research Study on Legacy System Modernisation
[NO] 1682/1997 | Millimeter-Wave Multibeam Antenna Based on Large-Plate-Spacing Discrete Geodesic Luneburg Lens
[NO] 1683/1997 | Roblox-Based Game learning for Thai Poetry Learning: Development and Effectiveness Evaluation for Grade 4 Students
[NO] 1684/1997 | A Hybrid TCN–Transformer Model for ECG Time Series Forecasting
[NO] 1685/1997 | Robustness Evaluation and Denoising Optimization of Deep Learning Models for Brain Tumor MRI Classification Under Noisy Conditions
[NO] 1686/1997 | An 89~102 GHz Single Layer Coplanar Waveguide to Waveguide Transition
[NO] 1687/1997 | Artificial Intelligence-Driven Digital Twin Metaverse Architecture for Enhancing Smart Worker Competency in Work-Integrated Learning
[NO] 1688/1997 | A Radar Anti-Jamming Decision-Making Method Based on the Stackelberg Game
[NO] 1689/1997 | Robot-FedTrust: A Trusted Federated Learning Framework for Multi-Robot Collaboration
[NO] 1690/1997 | Comparison of Si-Doped Double-Channel and Graded GaN HEMTs for High-Linearity RF Power
[NO] 1691/1997 | Diffusion-based Reinforcement Learning for Automated Parameter Synthesis of Analog/RF IC
[NO] 1692/1997 | A Flexible Dual-Band Metasurface Absorber Based on Ring–Cross Resonators
[NO] 1693/1997 | An Area-Efficient 28-GHz LNA Using Triple-Coupled Transformer Achieving 2.97-dB Noise Figure
[NO] 1694/1997 | Hyperspectral Remote Sensing Image Automatic Target Recognition based on a Dual-Branch Spatial-Spectral Graph Convolutional Network
[NO] 1695/1997 | Tunable dual-band topological edge states in a valley Hall photonic crystal
[NO] 1696/1997 | PointGPTv2: Universal Auto-regressively Generative Pre-training Framework for Point Clouds_supp1-3732227.pdf
[NO] 1697/1997 | Wide-Stopband Bandpass Filter Based on Spoof Surface Plasmon Polaritons and Short-Circuited Stubs
[NO] 1698/1997 | 3D-Printed Terahertz Wideband Horn Antenna Arrays with a Single-Layer Feed Network
[NO] 1699/1997 | Wideband Coupling Reduction of Dual-Layer Coupled Patch Arrays with Array-Antenna Decoupling Surface
[NO] 1700/1997 | Accelerated Design of Microstrip Band-Stop Filters via GPIOSM
[NO] 1701/1997 | A CMOS Circulator Broadens Isolation Bandwidth via Feedthrough Capacitors in Switch-Transmission-Lines Topology
[NO] 1702/1997 | Emissivity-Tunable Liquid Metamaterial for Dynamic Brightness Temperature Regulation
[NO] 1703/1997 | RF Large-signal Demonstration of InAlN-Based Coupled-Channel HEMTs with Novel Ohmic Process
[NO] 1704/1997 | 2026 21st International Conference on Ground Penetrating Radar (GPR)
[NO] 1705/1997 | Intelligent Recognition of Rotary Mechanical Water Meter Readings by Fusing Multi-Object Spatial Topology and Color Semantics
[NO] 1706/1997 | Single-Layer Reconfigurable Frequency Selective Surface with Dual-Passband and Wide-Angle Stability
[NO] 1707/1997 | A Review of Large Language Models in the Field of Mathematical Problem Solving
[NO] 1708/1997 | A Fast Computation Method for SBR Electromagnetic Scattering Based on MPI Parallel Track
[NO] 1709/1997 | Frequency-Informed Positional Encoding: An Enhanced Transformer for Vessel Trajectory Prediction
[NO] 1710/1997 | Two-Phase Interleaved Buck Converter with Trajectory Tracking Control
[NO] 1711/1997 | YOLOv11-VTRQS: An Algorithm for Improved Cable Defect Detection
[NO] 1712/1997 | Design of 3×3 Nolen Matrix with 360° Continuous Progressive Phase Shift
[NO] 1713/1997 | SparseBits: Sparse Ternary LLM Acceleration with
                    <i>
                      L
                      <sub>1</sub>
                    </i>
                    -regularized Cluster-aware Sparsification
[NO] 1714/1997 | Modeling Earth Skin Temperature Using Semiparametric Time Series Regression: Insights from Spline, Fourier Series, and Mixed Additive Spline–Fourier Estimators
[NO] 1715/1997 | Contrastive Learning for Aspect Representation Towards Explainable Recommendation
[NO] 1716/1997 | Design of a Passband Reconfigurable Energy Selective Surface for High-intensity Radiation Fields Prevention
[NO] 1717/1997 | An Aging Monitoring Method for IGBT Module Bond Wires Based on Frequency Characteristics of Transformer Neutral-Point Voltage
[NO] 1718/1997 | STRAP: A Task-Level Autonomous Suture-Thread Pulling System for Robot-Assisted Minimally Invasive Suturing
[NO] 1719/1997 | A Resistor-Free Power Divider With Wideband High-Isolation for Multilayer MIMO Applications
[NO] 1720/1997 | Yeeping-Eco: A Knowledge Graph RAG Framework with Predictive PM2.5 Routing
[NO] 1721/1997 | Turning Noisy Auxiliaries into Valuable User Preferences: Uncovering False Negatives via Positive-Unlabeled Learning
[NO] 1722/1997 | Special Issue on Arts and Robotics [From the Guest Editors]
[NO] 1723/1997 | Design and Linearization of a Power Amplifier Module with MCU-Controlled Biasing Sequence
[NO] 1724/1997 | Addressing Multi-Agent Interoperability: An Approach for Distributed Multi-Language Encoded Intelligent Agents
[NO] 1725/1997 | Prescribed-Time Adaptive Proportional-Integral Consensus Control of Mutiagent Systems via Reinforcement Learning
[NO] 1726/1997 | IEEE Industry Activities Board Standards Meeting Held in Vienna in Conjunction With ICRA 2026 [Standards]
[NO] 1727/1997 | Comparative Efficacy of GPR in a Carbonate Formation: A Case Study for Detecting Subsurface Hazards in North of Riyadh, Saudi Arabia
[NO] 1728/1997 | Discrete Layered Entropy, Conditional Compression and a Tighter Strong Functional Representation Lemma
[NO] 1729/1997 | Personalized Carotid Hemodynamic Modeling Using Non-Invasive Ultrasound Data
[NO] 1730/1997 | Design of a Transmission Phase Control Metasurface for Achieving Antenna Beam Control
[NO] 1731/1997 | Latent Diffusion Models for Probabilistic Permittivity Inversion and Structural Segmentation of Ground Penetrating Radar Images
[NO] 1732/1997 | Ψ-Vortex: Structure-Regularized Recurrent Learning for Latent Thermal-Coupling Inference and Verilog-A Compact Modeling of Three-Dimensional Neuromorphic Devices
[NO] 1733/1997 | Derivative-free Evolutionary Search with Stochastic Approximation and Brownian Repulsion_supp1-3730903.pdf
[NO] 1734/1997 | Cross-Morphology Motion Transfer with Semantic Style Alignment_supp1-3729292.mp4
[NO] 1735/1997 | Towards a Causally-inspired Evolving World Model for Vision-and-Language Navigation in Continuous Environments_supp1-3728426.pdf
[NO] 1736/1997 | Generative Graph Diffusion Model for Wireless Power and Fronthaul Bandwidth Allocation in Low-Altitude Assisted Cell-Free Networks
[NO] 1737/1997 | Broadband V-Band Frequency Doubler With Resonant Mode-Filter in 130 nm SiGe BiCMOS
[NO] 1738/1997 | Sponsors
[NO] 1739/1997 | Proxy Model-Guided Reinforcement Learning for Client Selection in Federated Recommendation
[NO] 1740/1997 | Nonlinear impulsive control for stability of fractional systems
[NO] 1741/1997 | Three-Dimensional Imaging Method for Directional Borehole Radar Combining Migration and Radon Transform
[NO] 1742/1997 | A Reliability-Oriented Benchmark for Sentence-Level Medical Information Extraction on CADEC
[NO] 1743/1997 | Ordinary Kriging as a Tool for Spatial Modeling of RF-EMF Exposure in the Environment
[NO] 1744/1997 | The Multi-Modal Frontier: Synergizing Proteomics and Imaging for Precision Diagnostics and Mechanistic Discovery in Alzheimer's Disease
[NO] 1745/1997 | Annotation Requirements to Annotation Errors: A Causal Modelling Analysis for AI-Enabled Perception Systems Development
[NO] 1746/1997 | Agentic Validation of AI System Requirements: A Hybrid Architecture for Regulatory Compliance
[NO] 1747/1997 | Scientific AI Agents Must Learn and Share
[NO] 1748/1997 | Correlation Between Simulated and GCN-Calibrated Raman Spectra Characteristics in Graphene-Based Gas Sensor System
[NO] 1749/1997 | Evaluating LLM-Based Test Refactoring with a Behavior-Preserving Composite Metric
[NO] 1750/1997 | Reinforcement Learning from Testing Targets for Effective SLM Test Generation
[NO] 1751/1997 | Interpretable AI with MLIR (IAM):A Unified Framework for Neural Network Transparency
[NO] 1752/1997 | All-fiber femtosecond source at 1600 nm with a tunable multi-GHz repetition rate
[NO] 1753/1997 | Learning to Adapt: Instance-Level Visual and Semantic Adaptation for Generalized Zero-Shot Learning
[NO] 1754/1997 | A Molecular Language Model Driven Genetic Algorithm for Multi-Objective Molecular Generation_supp1-3729853.pdf
[NO] 1755/1997 | A High-Efficiency and Stable-Operating Single-Stage Half-Bridge AC/DC Resonant Converter
[NO] 1756/1997 | A Multi-Objective Antenna Optimization Method Based on Dual Network-Assisted Differential Evolution with Surface Current-Driven Strategy
[NO] 1757/1997 | Next-Gen Trends in Design, Testing, and Security
[NO] 1758/1997 | DemoChain: Decoupled Motion-Chain for Multi-Action Video Generation
[NO] 1759/1997 | Proceedings
[NO] 1760/1997 | Deep Channel Estimator for Superimposed Pilot-Aided MIMO-OFDM Systems
[NO] 1761/1997 | Lifetime-Enhancing Model Predictive Control for a Direct-Drive Wave Energy Converter With Hybrid Energy Storage System
[NO] 1762/1997 | High-Performance and Low-Energy NoC Mapping for Real-Time Heterogeneous Parallel DSP
[NO] 1763/1997 | A Novel Differential Protection and Fault Localization Scheme for Symmetrical Dual-Core Phase-Shifting Transformers
[NO] 1764/1997 | Distributed Safety-Aware Motion Planning for Dual-Arm Systems Via Gaussian Belief Propagation With Application to Catenary Dropper Assembly
[NO] 1765/1997 | Follow-Up Question Modeling for Open-Retrieval Conversations with WH-Questions
[NO] 1766/1997 | MAB-PGC: Multiagent Mutual Awareness Belief via Progressive Graph Construction
[NO] 1767/1997 | Glacier Internal Structure Revealed by 3D UAV- GPR
[NO] 1768/1997 | Transformers for Low-Resource Religious Hate Speech Detection: A Comparative Study on Bangla Social Media Discourse
[NO] 1769/1997 | XATF: A Carrier-Binding Verification Profile with Typed Failure Attribution for AI-Agent Evidence over X-Road
[NO] 1770/1997 | Dual Delayed Routing enhanced Niching Genetic Programming-Assisted Deep Reinforcement Learning for Dynamic Flexible Scheduling_supp1-3732230.pdf
[NO] 1771/1997 | Fault Estimation for T-S Fuzzy Fractional-Order Systems With Multiple Faults Based on Adjustable-Order Observer
[NO] 1772/1997 | Sponsors
[NO] 1773/1997 | Right-Sizing Recommendations (RSR): Cloud Workload Conformal Prediction for Virtual Machines in Data Center Operations
[NO] 1774/1997 | Beyond the Critical Point: Microgrid Security Assessment
[NO] 1775/1997 | Efficient Graph Neural Networks for Multicarrier Wideband Hybrid Beamforming Optimization
[NO] 1776/1997 | TEMPO-mRS: An Explainable Multi-Task Ordinal Deep Learning Model for Predicting 30-, 60-, and 90-Day mRS After Intravenous Thrombolysis in a Chinese Cohort
[NO] 1777/1997 | ITEC 2027 Call for Papers
[NO] 1778/1997 | Mutual Protein-Molecule Hash Learning for Targeted Drug Virtual Screening
[NO] 1779/1997 | ISAR Imaging and Inversion of Anomaly Target in the THz Band Based on TV-RPCA and RANSAC
[NO] 1780/1997 | A Low-Frequency Enhanced Vivaldi Antenna with Elliptical Slots for Deep GPR Applications
[NO] 1781/1997 | Robust Beamforming for Low-Altitude Wireless Networks with Outage Guarantee
[NO] 1782/1997 | 5-DoF Manipulation of Magnetic Capsule Robots Using Nonorthogonal Maxwell-Helmholtz Coils
[NO] 1783/1997 | Safety-Critical Tracking Control of Self-Organizing Swarm for Unmanned Surface Vehicle Based on Identifier–Critic–Actor Reinforcement Learning
[NO] 1784/1997 | Safety-Aware Goal-Oriented Semantic Sensing, Communication, and Control for Robotics
[NO] 1785/1997 | Distribution-Robust Reranking for Conversational Music Recommendation: PoliBaJukebox at the ACM RecSys Challenge 2026
[NO] 1786/1997 | Foldable and Reconfigurable Textile Reflectarray Antenna
[NO] 1787/1997 | Optimization of Cu/Sn Microbump Interconnection Process in Flip-Chip Packaging
[NO] 1788/1997 | Machine Learning-Based Efficient Inspection of Manufacturing Tolerances in Via-Interconnects for High-Frequency Circuits: An Artificial Neural Network-Genetic Algorithm Synergistic Approach
[NO] 1789/1997 | Electromagnetic World-Model-Driven 3D Environment Reconstruction for 6G Wireless Communications
[NO] 1790/1997 | Dual-Frequency Cooperative Sensing and Scattering Manipulation Using a Reconfigurable Metasurface
[NO] 1791/1997 | A Knowledge Representation Learning and Reasoning Model Integrating Graph Neural Networks and Generative Artificial Intelligence
[NO] 1792/1997 | Design and Experimental Validation of a DC-67 GHz Micro-Coaxial Vertical Interconnection
[NO] 1793/1997 | Dataset Text Quality and Machine Learning Trigger Warning Classification
[NO] 1794/1997 | Wideband Millimeter-Wave Circularly Polarized Patch Antenna Array with Two-Dimensional Beam Scanning Capability
[NO] 1795/1997 | An Integrated Metasurface Radome for High-selectivity Frequency-Polarization Filtering and Broadband RCS Reduction
[NO] 1796/1997 | A 10–15 GHz Wideband High-Gain Quadrature Up-Conversion Mixer for 6G FR3
[NO] 1797/1997 | Design and Implementation of a SIP Module Applied to X-band Up/Down Conversion System
[NO] 1798/1997 | Course-Aligned AI Teaching Support for Transnational Engineering Education: Design Conjectures, System Architecture, and Formative Deployment Evidence
