[2026-06-27 23:02:59] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-26
正在获取论文...
[ACM] 2026-6-26 | VFDelta: A Framework for Detecting Silent Vulnerability Fixes by Enhancing Code Change Learning
[NO] 444/845 | Hybrid Navigation Model of a Mobile Manipulator Robot: Combination of Global Planning and Local Dynamic Optimization
[NO] 445/845 | Deep Learning Recommender System for Profit and Demand Optimization in E-Commerce
[NO] 446/845 | AI in Palm Oil Yield Production, Disease Détection, and Process Optimisation: A Systematic Review
[NO] 447/845 | Cloud Based AI-Enabled Data Analytics for Electronic Waste Reuse and Refurbishment
[NO] 448/845 | From Usability Heuristics to Human–AI Interaction: A Comparative Analysis of 30-Years of Design Guidelines
[NO] 449/845 | When [Almost] Nothing Fails: The Data Paradox in Reliability Engineering
[NO] 450/845 | AlphaFold Transforms System Prediction using Advanced AI Algorithm
[NO] 451/845 | Consequences Of Big Data Analytics for Knowledge Management the Mediating Role of Organizational Resilience
[NO] 452/845 | An AI-BIM Based Predictive Framework for the Optimization of Construction Waste Recycling in Saudi Arabia
[NO] 453/845 | A Particle Filter With LSTM for Stock Market Price Forecasting
[NO] 454/845 | Multi-Device Shallow Water Simulations on CPUs, GPUs, and FPGAs with SYCL
[NO] 455/845 | A System-Level Performance Analysis of On-Device Learning on an Ultra-Low-Power Edge System
[NO] 456/845 | Robot Few-Shot Manipulation Skills Learning Based on Meta Imitation Learning and Mixture of Experts Model
[NO] 457/845 | A 23.5–46.5 GHz
                    <i>G</i>
                    <sub>m</sub>
                    -Boosting Feedback LNA With 2.7-dB NF and 14-mW Pdc in 28-nm CMOS
[NO] 458/845 | Neuroadaptive Fuzzy Dynamic Optimal Tracking Control in Wastewater Treatment Aeration Process
[NO] 459/845 | Physical Model for Discharges in Long Air Gaps Containing a Floating Conductor Under Positive Switching Impulses
[NO] 460/845 | Linear Filter for Discrete-Time Systems Driven by Fractional Noises
[NO] 461/845 | Table of Contents
[NO] 462/845 | DIMQ: Distribution-Induced Multi-Peak Quantization for Deep Neural Networks
[NO] 463/845 | Snap-Snap: Taking Two Images to Reconstruct 3D Human Gaussians in Milliseconds_supp2-3701298.mp4
[NO] 464/845 | Performance Evaluation of Social Learning
[NO] 465/845 | TMUNet: A UNet with Torsion-Based Local Geometry and State Space Global Modeling for Remote Sensing Semantic Segmentation
[NO] 466/845 | A Novel Framework to Design Tactical Level Controllers for Surface Vehicles Performing Trajectory Tracking Missions
[NO] 467/845 | SAIGFormer: A Spatially-Adaptive Illumination-Guided Network for Low-Light Image Enhancement
[NO] 468/845 | A Self-Correcting Pole Climbing Robot for Pulsed Eddy Current Inspection with Stable Lift-Off Distance Control
[NO] 469/845 | Cyber-Resilient Coordinated QV Control in Grid-Connected Inverters via Disturbance Observer-Augmented Control Barrier Function
[NO] 470/845 | FSCA-YOLO: A Recognition and Detection Algorithm for CT Images of PCB Drilling
[NO] 471/845 | Lightweight and Robust Hyperspectral Image Classification via Cyclic Heterogeneous MNF1-Guided Spectral-Band Filtering
[NO] 472/845 | Mapping Gestures Performed with Tangible Cubes to System Commands
[NO] 473/845 | A Longitudinal Analysis of Gamification in Untappd: Ethical Reflections on a Social Drinking Application
[NO] 474/845 | The Moral Consistency Pipeline: Continuous Ethical Evaluation for Large Language Models
[NO] 475/845 | Enhancing User Engagement and Personalization in Virtual Reality for Cultural Heritage Using a Dual-Layer Fuzzy-Based Approach
[NO] 476/845 | Nemobot Games: Crafting Strategic AI Gaming Agents for Interactive Learning with Large Language Models
[NO] 477/845 | A High-Efficiency Circularly Polarized Transmitarray with Integrated Wideband Filtering Responses
[NO] 478/845 | Wideband Dual-Polarized Metasurface Antenna with Fan Beams for Outdoor Wi-Fi Applications
[NO] 479/845 | Serial Shrinkage Attention-ResNet Based Efficient Photovoltaic Fault Diagnosis Under Similar I–V Signals
[NO] 480/845 | Beyond Polarity: A Scalable Transformer-Based Emotion Intelligence Framework with Distributed Big Data Optimization
[NO] 481/845 | AURORA-IDS: Agent-Guided Routing-Deformable Attention for Robust Semi-Supervised Intrusion Detection on Tabular Traffic Data
[NO] 482/845 | Efficient Simulation of Doppler-Broadened Rydberg Quantum Receivers via Monte Carlo Wave Functions
[NO] 483/845 | Snap-Snap: Taking Two Images to Reconstruct 3D Human Gaussians in Milliseconds_supp5-3701298.mp4
[NO] 484/845 | Use of RPNIs and Implanted Electrodes for Prosthetic Wrist and Multi-Grip Hand Control during Functional Tasks: A Case Study
[NO] 485/845 | Region-based Progressive Alignment Network for Multimodal Remote Sensing Object Detection
[NO] 486/845 | AvatarVTON: 4D Virtual Try-On for Animatable Avatars_supp1-3705812.pdf
[NO] 487/845 | A Performance-Portable, Massively Parallel Distributed Nonuniform FFT
[NO] 488/845 | POSTER: Hardware Acceleration for Graph Neural Networks
[NO] 489/845 | Quantum Walks for Collision-Based Information Set Decoding
[NO] 490/845 | BlockKD3A: A Web3-Native Framework for Decentralized Collaborative AI and User-Generated Model Assets
[NO] 491/845 | Short Video Recommendations and Impulse Buying Intention Among University Students in Can Tho City, Vietnam
[NO] 492/845 | Road Cleanliness Classification Using Deep Learning and Vision Transformer with LIME-based Explainability
[NO] 493/845 | 6G Edge-Enabled Smart Museum System for Adaptive Navigation and Visitor Experience Optimization
[NO] 494/845 | The Role of Digital Content and Digital Marketing Practices in Shaping Customer Engagement
[NO] 495/845 | Cyber Security Challenges in Digital Banking: Perspectives from Financial Institutions and Customers
[NO] 496/845 | Improved U-NET Based Deblurring for Dynamic Scenes
[NO] 497/845 | Shaping AI-Based Energy-Efficient Buildings for Sustainable Cities
[NO] 498/845 | IoT Based Smart EPS Lab Automation &amp; Energy Management System
[NO] 499/845 | Enhancing Large Language Model (LLM) Reliability: A Comparative Analysis of RAPTOR, GraphRAG, and Agentic Strategies for Domain Specific QA
[NO] 500/845 | MMK: A Hybrid Scheduling Framework for Fine-Grained GPU Sharing for Deep Learning Applications
[NO] 501/845 | Traversing the Untraversable: Enabling UAV Navigation in the Extremely Dense Wild by Contact-driven Adaptation_supp6-3705701.mp4
[NO] 502/845 | Quantum Sensors: A Comprehensive Review and Future Perspectives
[NO] 503/845 | A Multi-Modal Framework for Phage-Host Interaction Prediction Using Multi-View Contrastive Learning_supp1-3707293.docx
[NO] 504/845 | Electrically Tunable Waveguide Digital Phase Shifter Based on Artificial Electromagnetic Materials
[NO] 505/845 | Front Cover
[NO] 506/845 | A Survey on 3D Gaussian Splatting Applications: Segmentation, Editing, and Generation_supp1-3704980.pdf
[NO] 507/845 | Integrated Sensing and Communications in Low-Altitude Wireless Networks via Distributed Extremely Large-Scale Antenna Arrays
[NO] 508/845 | Visible-to-Infrared Image Translation via Disentangled Imaging Attribute Transfer
[NO] 509/845 | An Algorithm for Feature Extraction from Large Scale Meteorological Data Stores on Irregular Grids
[NO] 510/845 | Subwavelength-Thick Liquid-Crystal-Embedded Metal Meshes for Terahertz Retarder
[NO] 511/845 | AD-DAE:
                    <b>A</b>
                    lzheimer's
                    <b>D</b>
                    isease Progression Modeling with Unpaired Longitudinal MRI using
                    <b>D</b>
                    iffusion
                    <b>A</b>
                    uto-
                    <b>E</b>
                    ncoders
[NO] 512/845 | GEN-CSAF: A Generative Autonomy Framework for End-to-End Task Scheduling in Container-Based Systems_supp1-3707138.docx
[NO] 513/845 | Table of Contents
[NO] 514/845 | Toward Trustworthy Federated Unlearning for Mobile Autonomous Systems
[NO] 515/845 | Real-Time Obstacle Detection and Motion Analysis for Visually Impaired Navigation with Audio Feedback
[NO] 516/845 | Dynamic Line Modeling and Cyclic-Small-Gain Synthesis for Plug-and-Play Fault Detection in Islanded Microgrids
[NO] 517/845 | Security Control of Switched T-S Fuzzy Systems Under Denial-of-Service Attacks
[NO] 518/845 | A Low-Power 2
                    <sup>nd</sup>
                    -Order ΔΣ Modulator with a Single Current-Starving FIA
[NO] 519/845 | Accelerated Safety Evaluation for Autonomous Vehicles Using Markov Chain Score Ascent-Based Adaptive Importance Sampling
[NO] 520/845 | Snap-Snap: Taking Two Images to Reconstruct 3D Human Gaussians in Milliseconds_supp4-3701298.mp4
[NO] 521/845 | IoT-Based Real-Time Monitoring and Anomaly Detection in Smart Ports and Maritime Infrastructure
[NO] 522/845 | Multimodal AI Model for Predicting System Performance Using Satellite Data, Weather Time Series, and Sensor Networks in Maritime Operations
[NO] 523/845 | Hybrid Neural Architectures for E-commerce Personalization: Balancing Accuracy and Diversity through GNN-Transformer Integration
[NO] 524/845 | Multilevel Converters for High Power Wind Energy Systems: A Review
[NO] 525/845 | Machine Learning Algorithms for Adaptive Optimization of Industrial Automation Systems in Smart Factories
[NO] 526/845 | Artificial Intelligence-Based Fractional Modeling for Solar and Wind Energy Forecasting in Smart Grids
[NO] 527/845 | Implementation of Artificial Intelligence in the Accounting Context
[NO] 528/845 | MRI Based Vision Transformer Framework for Brain Tumor Classification in Medical Imaging
[NO] 529/845 | A Universal MMED-based Power Allocation Algorithm for NOMA Satellite-Terrestrial Networks
[NO] 530/845 | An Active Cooling Method for Fast Actuation of a Millimeter-Scale Shape Memory Alloy-Based Bending Joint_supp1-3694411.mp4
[NO] 531/845 | Healthy Limb Driven Prediction for Real Time Control of Unilateral Exoskeletons in Gait Rehabilitation
[NO] 532/845 | Mapping of the Liao River Delta wetland from 2016 to 2024 based on the Dynamic Spatiotemporal Fusion Model
[NO] 533/845 | MMGC-AttnNet: A Multi-level Multi-modal Cross-Attention Network for High-Resolution Remote Sensing Image Segmentation
[NO] 534/845 | Informed-Exploration Reinforcement Learning for Automated Virtual Coronary Intervention Planning
[NO] 535/845 | Mitigating Power Fluctuations of Large Language Model Training via Hybrid Energy Storage Systems in Renewable-Powered Computing Centers
[NO] 536/845 | IEEE Robotics and Automation Society Information
[NO] 537/845 | Analysis of Green Supply Chain Management Performance in UKM Tuna Tofu Processed Using the Green SCOR Method
[NO] 538/845 | Hybrid CNN-Transformer model for early detection of powdery mildew in wheat using multispectral UAV imagery
[NO] 539/845 | Local Mean RSS Estimation in Indoor Multipath Fading Channels
[NO] 540/845 | Bridging Classical and Colloquial Bangla: Using Large Language Models for Sadhu–Cholit Register Classification
[NO] 541/845 | SVM-Based Stress Detection in Nurses Using Wearable Physiological Sensor Data
[NO] 542/845 | AZNet: An Efficient Convolutional Neural Network for Alzheimer's Disease Classification
[NO] 543/845 | Topology and Reliability Aware Qubit Mapping for Quantum Core Systems
[NO] 544/845 | Proceedings of the Platform for Advanced Scientific Computing Conference
[NO] 545/845 | Inline Lossy Compressed MPI Communications in GPU-based Plasma Turbulence Simulations
[YES] 546/845 | An Open-Source Distributed Simulation Framework for RISC-V Systems incorporating Vector and Cryptographic Extensions
[NO] 547/845 | SMX: A RISC-V ISA Extension for Scale-Adaptive Quantized Softmax
[NO] 548/845 | SABRE: A Compression-Aware BF16 Accelerator for Neuromorphic Attention
[NO] 549/845 | A Multi-Modal AI Decision Framework for Video Content Moderation Using FNSS, Deep Learning, and NLP
[NO] 550/845 | Gradient Boosting Model for Integrative Analysis of ECG and Clinical Data in Predicting Coronary Heart Disease
[NO] 551/845 | An On-Device Deep Learning Framework for Real-Time Pothole Detection and Geo-Localized Road Condition Monitoring
[NO] 552/845 | A Cause-Aware Graduation Outcome Prediction Framework for Academic Decision Support
[NO] 553/845 | Edge AI system for real-time detection of Colorado potato beetle in potato fields using low-power embedded cameras
[NO] 554/845 | Intelligent Medical Agent: Automatic Extraction and Structuring of Clinical Data from Voice
[NO] 555/845 | From AI Enabled Upskilling to Employee Retention in Engineering Project Environments: Empirical Evidence from the Mekong Delta, Vietnam
[NO] 556/845 | Machine Learning-Based Prediction of Emissions in Maritime and Transportation Systems Using Environmental Sensor Data
[NO] 557/845 | Sheleen: Building the Bahasa Sug Language Model Using Recurrent Neural Networks
[NO] 558/845 | Real-Time Adaptation and Continuous Learning in LLMs: A Systematic Review
[NO] 559/845 | Personalized Outfit Color Recommendation Using Machine Learning and Virtual Compatibility Analysis
[NO] 560/845 | Fourth Workshop on Engineering Interactive Systems Embedding AI Technologies
[NO] 561/845 | Proceedings of the 8th Workshop on Modeling and Simulation of Software-Intensive Systems
[NO] 562/845 | COA-Tuning: Collaborative Adapter Tuning with Prompt Enhancement for Class-Incremental Medical Image Learning
[NO] 563/845 | Improving Viewpoint Robustness for Visual Recognition via Adversarial Training_supp1-3705256.pdf
[NO] 564/845 | AMBER: Robust Federated Learning Based on Client Verification
[NO] 565/845 | A Propulsion System Integrated Inductive Wireless Charger for Electric Vehicles
[NO] 566/845 | Towards a High-Throughput Automated Materials Experimentation Platform: Hybrid-Automata-Inspired Modeling and Equipment Configuration Optimization_supp1-3702087.mp4
[NO] 567/845 | ATASR: Air-to-Air Scene Reconstruction
[NO] 568/845 | SAA-U-Net: A Novel Architecture for Accurate QoT Prediction in Optical Networks
[NO] 569/845 | An Overview of Potential Medical Applications of Microwave Kinetic Inductance Detectors
[NO] 570/845 | Risk-Aware Link Adaptation Architecture for Ka-Band LEO Downlinks Under Ionospheric Disturbances
[NO] 571/845 | Table of Contents
[NO] 572/845 | Quad-Level Inshore Awareness for Automatic Marine Ship Surveillance Using Satellite SAR System
[NO] 573/845 | Toward Intelligent Earth Observation: Hierarchical Feature Fusion and a Drone Dataset for UAV-Based Fire Detection_supp1-3702209.pdf
[NO] 574/845 | MSAF-Net: An adaptive prediction model for shape parameters in MQ-RBF interpolation
[NO] 575/845 | Spectrally-Enhanced Policy Gradient Reinforcement Learning for Maximizing Connectivity Robustness in Dynamic Communication Networks
[NO] 576/845 | Physics-Aware Multi-Task Learning for Atmospheric Turbulence Parameterization: Auxiliary Tasks versus Architectural Conditioning
[NO] 577/845 | A Tri-branch Cascaded Context-aware Fusion Network for Multispectral Object Detection in Remote Sensing
[NO] 578/845 | Decoding High-Rate Nodes in Polar Codes via Matrix Constraint
[NO] 579/845 | Global gross primary production data fusion by Triple Collocation Analysis from 1992 to 2018_supp1-3707237.docx
[NO] 580/845 | BERTO: Intent-Driven Network Time Series Forecasting via Natural Language Operator Preferences_supp1-3707434.pdf
[NO] 581/845 | PersonalityLLM: A Zero-Shot Detection Method for Big Five Personality Traits From Social Avatars
[NO] 582/845 | Evaluation Integrity in Hybrid Quantum-Classical Skin Lesion Classification: A Data-Leakage Audit and Lesion-Level Correction on HAM10000
[NO] 583/845 | CaRLi-V: Camera-RADAR-LiDAR Point-Wise 3D Velocity Estimation_supp2-3702579.pdf
[NO] 584/845 | IEC/IEEE International Standard Time-Sensitive Networking Profile for Industrial Automation
[NO] 585/845 | Hadamard-Based Recursive Aperture Decoded Ultrasound Imaging (READI) With Estimated Motion-Compensated Compounding ( EMC ) Using Top-Orthogonal to Bottom Electrode (TOBE) Arrays_supp2-3704971.mp4
[NO] 586/845 | Distributionally Robust Optimization for Location-Inventory-Allocation and Evacuation Planning Under Demand and Facility Disruption Uncertainties in Humanitarian Logistics
[NO] 587/845 | Fault Tolerant Control for Heterogeneous UAVs-UGVs Coordinative System with Adaptive Safety Switching based on DMPC
[NO] 588/845 | Torso-Mounted Pedestrian Dead Reckoning Using Nadir-Based Zero-Cycle Heading and Differential Accelerometry
[NO] 589/845 | On the Assessment of the Field Radiated by Base station Antennas
[NO] 590/845 | Rest Tremor and Dyskinesia Assessment in Parkinson’s Disease Using Wearable Sensors
[NO] 591/845 | The Impact Of Accountability And Autonomy On The Efficiency Of Preparing And Implementing University Budgets
[NO] 592/845 | Disease Identification Device for Tomato Health Monitoring Using Lightweight Convolutional Neural Networks
[NO] 593/845 | Zero-Trust Security Architecture Powered by AI for Cloud Environment
[NO] 594/845 | Travel Rover: A Personalized Tourist Itinerary Generation for Exploring the Philippines Using a Multi-agent System
[NO] 595/845 | AI-Driven Digital Transformation of University Admission Systems: Overcoming Trust, Accessibility, and Equity Barriers in Online Enrollment Services
[NO] 596/845 | Ada-Store: An Adaptive Load-aware Hybrid Storage Architecture for Bursty Workloads
[NO] 597/845 | EnsembleHealer: Autonomous Recovery from Model Poisoning in Decentralized Federated Learning
[NO] 598/845 | Evaluating Real-Time Adaptive Interfaces through EEG-derived and Self-reported Mental Workload Indicators
[NO] 599/845 | A Taxonomy of Bad Practices in Software Performance Testing: Insights from Gray Literature and Practitioner Validation
[YES] 600/845 | Boosting DBMS Test Coverage via LLM-Driven SQL Generation
[NO] 601/845 | XOR Bidding and Knapsack Formulations for HPC Network Resource Allocation
[NO] 602/845 | A high-performance elliptic solver for plasma boundary turbulence codes
[NO] 603/845 | Impact of Perceived Personalization AI on Advertisement Attitude Toward E-Shopping Intention in Mekong Delta
[NO] 604/845 | Developing the work of government institutions in the field of future technology and artificial intelligence applications
[NO] 605/845 | Machine Learning Based Real-Time Cyberbullying Detection in Multilingual-Mixed Language Tweets Using Federated Learning: A Systematic Review
[NO] 606/845 | Performance Study of Supervised ML Algorithms for Bangla Fake News Detection with Low Resource Utilization
[NO] 607/845 | A Comprehensive Review of DG Hosting Capacity in Modern Distribution Systems: Technical Barriers and Evaluation Techniques
[NO] 608/845 | Digital Accounting Information Systems (AIS) Overview: A Conceptual Study
[NO] 609/845 | A Lightweight Baseline-Relative Spectral Framework for Subject-Independent EEG Emotion Recognition on the DEAP Dataset
[NO] 610/845 | Artificial Intelligence-Based Hybrid CNN–LSTM Framework for Predictive Analytics of Transformer Overheating Using IoT Sensor Data
[NO] 611/845 | Seamless Integration and Implementation of Distributed Contact and Contactless Vital Sign Monitoring via Microwave Photonics
[NO] 612/845 | DQN-Based Beam Tracking Using Reward-Aware Exploration Without Additional Signaling
[NO] 613/845 | A Trustworthy Heterogeneous Ensemble Network Incorporating Multiple Clinical Features for Cirrhosis Staging Prediction in the Internet of Medical Things
[NO] 614/845 | Reference-Channel-Free Passive Radar Imaging Employing Distributed Antennas
[NO] 615/845 | Design and Experimental Evaluation of SINDy-Based Modeling and Adaptive NMPC for USVs
[NO] 616/845 | Parameter-Efficient and Imbalance-Aware Fine-Tuning for Rhetorical Role Classification in Legal Judgments
[NO] 617/845 | Compact Thermal and Power Models for Manycore Multichiplet Architectures: A Case Study on Intel Sapphire Rapids Processor
[NO] 618/845 | On the Performance of THz Wireless Systems over $\alpha$-$\mathcal {F}$ Channels with Beam Misalignment, Mobility and Hardware Impairments
[NO] 619/845 | Farsighted or myopic strategy in a low-carbon supply chain: the roles of government subsidies
[NO] 620/845 | How Blockchain Technology Adoption Affects the Bullwhip Effect in Manufacturing Supply Chains: An Institutional Theory Perspective
[NO] 621/845 | Engineering Socially-Interactive AI
[NO] 622/845 | Accelerate Radiative Transfer Simulations for the Cosmic Epoch of Reionisation
[YES] 623/845 | LENA: Llama-based Embeddings of Neutralized Assembly for Cross-compiler/optimization Binary Code Similarity Detection_supp1-3705321.pdf
[NO] 624/845 | Collaborative Direct Model Predictive Control for Back-to-Back Converters With Enhanced Power Response and DC-Link Voltage Stability
[NO] 625/845 | Mobile Pedipulation for Object Sliding Via Hierarchical Control on a Wheeled Bipedal Robot_supp1-3707348.mp4
[NO] 626/845 | Cross-view Multimodal Vision-Based Assessment Framework for Traditional Chinese Medicine Rehabilitation Training_supp1-3705649.mp4
[NO] 627/845 | Multi-Dimensional Excretion Perception Using a Laser Dot Matrix Sensor
[NO] 628/845 | Front Cover
[NO] 629/845 | Human-Voxel-Based Analysis of UWB TDoA Extraction Methods for Localization of the Wireless Capsule Endoscopy in an IoMT Environment
[NO] 630/845 | Operator’s Perspective on 6G ISAC: From Standards to Services
[NO] 631/845 | Pine Bark Adsorbents for Cerium(III) Removal from Water
[NO] 632/845 | LSTM-Based Prediction of Environmental Dynamics for IoT-Driven Optimization in Maritime and Transportation Systems
[NO] 633/845 | The role of Artificial Intelligence in Tax and Customs Administration
[NO] 634/845 | Design for the Foot Robotic Lower Limb Prosthetic for Human/Humanoid Locomotion
[NO] 635/845 | Edge computing architecture for real-time weed classification using UAV video streams
[NO] 636/845 | Zero-Trust Security Architecture for Microservices-Based Software Systems
[NO] 637/845 | Introduction to the Special Issue on Query Performance Prediction
[YES] 638/845 | LLM-Driven Optimization for High-Level Synthesis
[NO] 639/845 | LSFAF: A Layer-Sharing and FPGA-Accelerated Framework for Fast Collaborative Inference in Edge Scenarios
[NO] 640/845 | HMix : An Efficient Hardware Accelerator for Quantized MLP-Mixer Inference
[NO] 641/845 | POSTER: A Chip-level Monitoring Framework for Enhancing PCIe Observability
[NO] 642/845 | Kokkos Comm: Performance Portable Communication for Distributed Kokkos Applications
[YES] 643/845 | Exploring Sustainability in Scientific Software through Code Quality &amp; Test Coverage Metrics
[NO] 644/845 | A Comparison of Massively Parallel Performance Portable Particle-in-Cell schemes for electrostatic kinetic plasma simulations
[NO] 645/845 | A Novel Hybrid Mode for Hemispherical Resonator Gyroscope Inertial Navigation Systems: Principle and System-Level Calibration Method
[NO] 646/845 | Analysis of droplet motion characteristics on the surface of silicone rubber sample based on ellipsoidal notch droplet model
[NO] 647/845 | Walking a Private Road: Direction-Guided Perturbation for Trajectory Data under Local Differential Privacy
[NO] 648/845 | Snap-Snap: Taking Two Images to Reconstruct 3D Human Gaussians in Milliseconds_supp1-3701298.pdf
[NO] 649/845 | Autonomous Artificial Egg for Natural Incubation Mimicry and Monitoring in_supp1-3704053.mp4
[NO] 650/845 | Coated FBG Sensor with Enhanced Temperature Sensitivity for Cryogenic Liquid Level Detection
[NO] 651/845 | Synthesis of Dipole-Rotated Planar Array with Dual Circular-Polarization Reconfigurable Shaped Patterns
[NO] 652/845 | QuDSim: An Open-Source 3D Finite Element Simulation Tool for Nanoscale Devices_supp1-3707416.pdf
[NO] 653/845 | A Novel One-Step Small Object Detector for Autonomous Aerial Vehicles
[NO] 654/845 | A Local–Global Domain Adaptation Framework for Industrial Fault Diagnosis Under Variable Operating Conditions
[NO] 655/845 | Raising the Bar in Graph OOD Generalization: Invariant Learning beyond Explicit Environment Modeling
[NO] 656/845 | Learning Where, What and How to Transfer: A Multi-Role Reinforcement Learning Approach for Evolutionary Multitasking_supp1-3707341.pdf
[NO] 657/845 | 2026 International Conference on Information Science and Communication Technology (ICISCT)
[NO] 658/845 | Artificial Intelligence Technology in Mathematical and Engineering Applications
[NO] 659/845 | The Nexus Between Workplace Ostracism and Employees’ Work Alienation in the Digital Business Era
[NO] 660/845 | Prediction of Self-Compacting Concrete J-Ring and Strength Using RSM and Machine Learning
[NO] 661/845 | The Moderating Role of Digital Transformation on the Relationship between Board Gender Diversity and Tax Avoidance: Evidence from Jordan
[YES] 662/845 | Class Model Generation from Requirements using Large Language Models
[NO] 663/845 | A Differentially Private Weighted Empirical Risk Minimization Procedure and its Application to Outcome Weighted Learning_supp1-3707445.pdf
[NO] 664/845 | Large AI Model and ISAC-Enhanced UAV Network Optimization Through DRL
[NO] 665/845 | 2-DOF Transformable Wheel Preserving Circular Projection During Radius Variation
[NO] 666/845 | Instruction Error Detection with Bloom Filters: Architecture, Radiation Testing and Fault Injection
[NO] 667/845 | Analysis and Design of Dual-Passband Energy Selective Surface with Joint Diode Control for Electromagnetic Protection
[YES] 668/845 | Can Large Language Models Reason About Complex Execution Paths? An Empirical Study on Python
[YES] 669/845 | DIRT: Database-Integrated Random Testing
[NO] 670/845 | Sampling Parallelism for Fast and Efficient Bayesian Learning
[NO] 671/845 | MTGKT: Multi-scale Temporal Graph Knowledge Tracing
[NO] 672/845 | Machine Learning for Wearable Sensor–Based Human Movement Rehabilitation: A Five-Year Systematic Review
[NO] 673/845 | Reinforcement Learning based Multivariate Nonlinear Model Predictive Controller Validation on a Lab Scale Batch Reactor
[NO] 674/845 | An Intelligent Edmonton Obesity Staging System Mobile Calculator
[NO] 675/845 | Intelligent UAV-Mounted Laser Systems for Optimized Data and Energy Coverage in Large-Scale IoT
[NO] 676/845 | The Nexus between Tax Revenues, Government Spending, and Economic Growth in Jordan: Evidence from Dynamic Causality Analysis
[NO] 677/845 | Sustainable Technology in Supply Chains: The Impact of Big Data Analytics on Enhancing Logistics Sustainability through Data-Driven Decision Making
[NO] 678/845 | MRAC with RL-Based Reference Model Estimation for Humanoid Gait Cycle Tracking
[NO] 679/845 | AI-Driven Fault Zone Detection in Medium-Voltage Distribution Grids Using Graph Attention Networks and SCADA Big Data Analytics
[NO] 680/845 | Bond Graph Modeling and Simulation of an Embedded Controller for 3D Printers
[NO] 681/845 | Environmental Monitoring in IoT Systems Using a Random Forest-Based Predictive Model
[NO] 682/845 | Artificial Intelligence in Financial Decision-Making: Intellectual Capital and Financial Performance
[NO] 683/845 | Circular Economy in Modular Construction
[NO] 684/845 | Machine Learning–Based Intelligent Parking Availability Prediction for Sustainable Smart Cities
[NO] 685/845 | Predicting Heart Disease Using SMOTE-Based Data Balancing and Ensemble Learning
[NO] 686/845 | Edge AI System for Real-Time Object Detection in Maritime Environments Using Low-Power Embedded Vision Sensors
[NO] 687/845 | AI-Enabled Adaptive Learning for Workforce-Ready: A Bibliometric Analysis using VosViewer
[NO] 688/845 | StAccato: Reducing the Performance Penalty of Randomness
[NO] 689/845 | POSTER: Security and Cost Trade-offs of Side-Channel Countermeasures for AES Software on RISC-V SoCs
[NO] 690/845 | POSTER: Bypassing Blocking Instructions to enable Out-Of-Order Execution in GPGPUs
[NO] 691/845 | Frequency-Spatial Co-designed Tx/Rx Bidirectional Reflectionless CP Filtering Antenna Based on All-Pass Microwave Dual-Band Hilbert Transformer
[NO] 692/845 | Accurate Synthesis of Wavefront-Modulated Beam for High-Resolution Radar Forward-Looking Imaging
[NO] 693/845 | Progressive Conditional Coding for Integrated Human-Machine Vision
[NO] 694/845 | Exploring the Applicability of Automated Child Speech Assessment Using Model-generated Indicators Referring to Normative Patterns
[NO] 695/845 | CLASH-CTTA: Class-Wise Shift-Aware Hierarchical Continual Test-Time Adaptation
[NO] 696/845 | Every Breath You Take (I’ll Be Logging You): Detecting Metric Gaming in Educational Software Projects
[NO] 697/845 | Adaptive Algorithmic Methods for Energy-Efficient Control of Industrial Electromechanical Systems
[NO] 698/845 | A Systematic Comparison of YOLO Architectures for Automated Multi-Class Safety Equipment Detection on Construction Sites
[NO] 699/845 | Federated learning for distributed crop yield prediction on smart farms using heterogeneous sensor data
[NO] 700/845 | Cloud-Native Real-Time Fraud Detection Using Multimodal AI and Event-Driven Architectures
[NO] 701/845 | Empowering AI-Powered Industrial Design Software: Introducing Constraint Satisfaction Problem for Requirement Alignment
[NO] 702/845 | Design and Performance Evaluation of Wideband Dual Polarized Aperture-Coupled Microstrip Patch Antenna Element for Wi-Fi 8 Applications
[NO] 703/845 | Author Index
[NO] 704/845 | Traversing the Untraversable: Enabling UAV Navigation in the Extremely Dense Wild by Contact-driven Adaptation_supp1-3705701.mp4
[NO] 705/845 | Traversing the Untraversable: Enabling UAV Navigation in the Extremely Dense Wild by Contact-driven Adaptation_supp5-3705701.mp4
[NO] 706/845 | Periodically Grounded Trench Bottom Shielding in SiC Trench MOSFET for Enhanced Single-Event Gate Oxide Damage Hardness
[NO] 707/845 | Mitigating Cross-Modality Interference in Remote Sensing Detection with Uncertainty-Aware Mixture-of-Experts
[NO] 708/845 | Stackelberg Game with Zero-Determinant Strategy for Incentive Mechanism Design in Socially Aware Mobile Crowdsensing
[NO] 709/845 | Outside the Box in the Age of AI
[NO] 710/845 | Predictive Models of Typing Performance in Novel Keyboards
[NO] 711/845 | A Comprehensive Survey of Deep Learning for Entity Resolution
[NO] 712/845 | POSTER: Towards a RISC-V-based SmartNIC Architecture on FPGA
[NO] 713/845 | Accelerating Electrostatically-Embedded Fragmentation Methods using Graphics Processing Units
[NO] 714/845 | GPU Halo Replay: Lossless Twin Simulations for Flexible In Situ Analysis of Stencil-Based Solvers
[NO] 715/845 | A Novel Isolated Bidirectional DC Converter with Soft Turn-on and Turn-off in the Full Load Range by Using Modified Triangular Modulation
