[2026-08-11 22:41:13] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-10
正在获取论文...
[arXiv] 2026-08-10 | Carnot: Interpretable, Interactive, and Optimized Execution of Deep Research Queries
[NO] 1103/1968 | Table of Contents
[NO] 1104/1968 | HGKAN: Hypergraph Kolmogorov-Arnold Networks for Interpretable Prediction of Herb–Symptom Associations
[NO] 1105/1968 | High Frame Rate iToF-Flow-Based Depth Imaging Enabled by Local Linear Transfer
[NO] 1106/1968 | CPAD: Cross-Modal Physics-Aware Disentanglement for Robust Acoustic Sensing in Gesture Recognition
[NO] 1107/1968 | Drone Sound Source Localization Using Distributed Microphone Arrays
[NO] 1108/1968 | Geo-Distributed Workload Scheduling of Cloud Data Centers through Consensus-Based Asynchronous Decentralized Algorithm_supp1-3721771.pdf
[NO] 1109/1968 | Open Challenges for Secure and Scalable Wi-Fi Connectivity in Rural Areas
[NO] 1110/1968 | GCR-RL: Gradient Control Reward Shaping for Reinforcement Learning
[NO] 1111/1968 | Copyright Page
[NO] 1112/1968 | Understanding the Behavioral Intention of Generative AI among Art and Design Students: An Integrated Framework of Self-Determination Theory and Technology Acceptance Model
[NO] 1113/1968 | Methodology and Case Study of Energy Efficiency Retrofit Measurement and Verification (M&amp;V) for Data Centers Based on Standard Framework
[NO] 1114/1968 | Zero-Output Temperature Compensation Method for a MEMS Electric-Field Sensor Based on GA-LSSVM
[NO] 1115/1968 | A fault detection and location method for HVDC transmission lines based on distributed multi-pulse sources
[NO] 1116/1968 | Design and Implementation of a Cloud-Based Remote Monitoring and Prediction System for Greenhouse Environments
[NO] 1117/1968 | Ultrawide Bandgap Semiconductors: State of the Art and Technological Challenges
[NO] 1118/1968 | BoxSegUS: A Spatial Consistency Box Supervised Multi-Class Segmentation with Prior and Boundary Constraint for Ultrasound Images
[NO] 1119/1968 | Physics-Guided FE Surrogate CDNN with Grouped Attention and Monotonicity Constraints for Solder Joint Thermal Fatigue Life Prediction
[NO] 1120/1968 | Simultaneous State and ZMP Tracking Model Predictive Control for Balanced Quadrupedal Gaits
[NO] 1121/1968 | On Asynchronous Bipartite Consensus Over Quasi-Structurally Balanced Signed Networks
[NO] 1122/1968 | Relation-aware Domain Alignment and Pseudo-labeling for Cross Domain Object Detection
[NO] 1123/1968 | Reliability and Traffic Aware Resource Allocation for UAV-assisted Vehicular O-RAN
[NO] 1124/1968 | Retraction Notice: A Review on Detection and Analysis of Psychological Disorders Using Machine Learning
[NO] 1125/1968 | Hawk-Pigeon Potential Game Collaborative Control for MAV-UAV Swarm Formation
[NO] 1126/1968 | Automated Leaf Disease Classification via Three-Way Information-Guided Knowledge Distillation with Feature Interaction Maximization
[NO] 1127/1968 | Compressed Sensing via Sequential Majorization-Minimization and Collaborative Neurodynamic Optimization_supp1-3710065.pdf
[NO] 1128/1968 | Structure Pruning with LLMs for Knowledge Graph Question Answering
[NO] 1129/1968 | Distributional Deep Reinforcement Learning for Adaptive Dosing in Combined Chemotherapy and Anti-Angiogenic Therapy
[NO] 1130/1968 | Retraction Notice: Analysis of Predicting Bitcoin Price using Deep Learning Technique
[NO] 1131/1968 | An Alternating Iterative Optimization Method for Sparse Arrays in Distributed Arrays
[NO] 1132/1968 | Noise Unknown EM Based Transfer Identification for Dynamic Systems With Limited Target Data
[NO] 1133/1968 | A Drug-Target Affinity Prediction Model Based on Bayesian Meta-Learning and Uncertainty Fusion
[NO] 1134/1968 | Driver Fatigue Estimation Using Multimodal Deep Learning with EEG and EOG Signals
[NO] 1135/1968 | Raw-Observation-Based Monitoring and Evaluation of Smartphone GNSS Positioning Performance for Urban Service Domains
[NO] 1136/1968 | Comparison of Slow-Time Coded MIMO and Phased Array Radar Systems Under Phase Noise
[NO] 1137/1968 | Renewable Power Scenario Generation With WGAN-GP and Transformer
[NO] 1138/1968 | Learning Hierarchies in Robotic Manipulation: Asymmetries in Sequential Pushing and Grasping
[NO] 1139/1968 | Early Fire and Smoke Detection for Small-Scale Objects Using YOLOv8
[NO] 1140/1968 | An FPGA Accelerator Based on Improved ACO for Real-Time Dispatch of DG-Integrated Networks
[NO] 1141/1968 | Explainable AI-Based Credit Default Risk Modeling on Multi-Table Data
[NO] 1142/1968 | Hardware-Aware Federated Learning for Speech Emotion Recognition
[NO] 1143/1968 | Key Technologies for Anti-icing and De-icing of Transmission Lines
[NO] 1144/1968 | Microcarrier Cell Sheets from Decellularized Tissue for Articular Cartilage Regeneration
[NO] 1145/1968 | A Residual U-Net GAN Framework for Robust Segmentation of Cardiac MRI
[NO] 1146/1968 | Adoption of Blockchain Technology in Micro, Small, and Medium Enterprises Business Dynamics: A Literature Review
[NO] 1147/1968 | Investigation of Concentrated Power Ultrasonic Transducers' Electro-Mechanical Characteristics with Comsol Multiphysics Software
[NO] 1148/1968 | Sleep-Enabled LoRaWAN Gateway via Spreading-Factor Clustering
[NO] 1149/1968 | Evolution and Future Prospects of Cloud Computing for Machine Learning: Innovations, Challenges and Emerging Trends
[NO] 1150/1968 | Robust Trajectory Tracking of an Underwater Robot via Disturbance-Observer-Based Adaptive Sliding Mode Control
[NO] 1151/1968 | 3D Path Following of Underactuated AUV via Line-of-Sight Guidance and Backstepping Control
[NO] 1152/1968 | An intelligent home drain pipe cleaning system based on MCU STM32
[NO] 1153/1968 | Channel-Aware Lightweight Neumann Unfolding Network for MIMO Detection over Correlated Channels
[NO] 1154/1968 | The Effect of Freezing and Thresholding Selection in Transfer Autoencoders on Time Series Anomaly Detection
[NO] 1155/1968 | Optimal Iterative Learning Control with Neighboring Correction for Multi-Agent Systems
[NO] 1156/1968 | PPO-Based JPEG Quantization Table Optimization
[NO] 1157/1968 | A Lightweight Hybrid Encryption Architecture for High-Telemetry Constrained IoT Devices
[NO] 1158/1968 | Input Quality Validation for Clinical NLP Tradeoffs Between Accuracy and Latency
[NO] 1159/1968 | Design of an Edge-Computing-Based Embedded Real-Time Wireless Signal Processing System
[NO] 1160/1968 | Data-Driven Governance and Stakeholder Mapping in Edutourism Development: Evidence from Abandoned Oil Wells in Blora
[NO] 1161/1968 | Alzheimer-OCT Dataset and Detection of Alzheimer’s Disease using Deep Learning
[NO] 1162/1968 | Multi-source Remote Sensing Image Classification Based on Differential Feature Extraction and Cross-Attention
[NO] 1163/1968 | Classification Model Selection Using a Mahalanobis Based Multi Criteria Decision Making Metric
[NO] 1164/1968 | Research on temperature closed-loop control and thermoelectric coupling simulation of hightemperature superconducting cables
[NO] 1165/1968 | Knowledge-Enhanced Graph Neural Network for Traffic Flow Prediction
[NO] 1166/1968 | FS-RTDETR: An Enhanced RT-DETR for Infrared LSS Target Detection
[NO] 1167/1968 | A Comparative Study of Embedded and Client- Server DBMS (SQLite, MySQL, and PostgreSQL) in Edge-Cloud Smart City and Digital Twin Systems
[NO] 1168/1968 | Zero-Shot versus Few-Shot Prompting for Complex Intent Recognition in E-Commerce Dialogue Systems: An Evaluation on an Adversarial Dataset
[NO] 1169/1968 | Research on Key Technologies of Large-Capacity Long-Distance Power Transmission
[NO] 1170/1968 | FUSE-RAG: A Unified Architecture for Retrieval-Augmented Generation
[NO] 1171/1968 | Soybean Seeds Quality Identification Through Image Classification Using Machine Learning
[NO] 1172/1968 | Automated Medical Information Retrieval via Agentic Filter-and-Refine Pipeline
[NO] 1173/1968 | Prediction Method for Circuit Breaker Contact Ablation State Based on Dynamic Resistance and Arc-Contact Vibration Features
[NO] 1174/1968 | Public Sentiment of Indonesian Society Toward the Coretax Application
[NO] 1175/1968 | Assessing the Impact of Foundation Model Features and MIL Aggregators for HER2 Status Prediction from Whole-Slide Images
[NO] 1176/1968 | Attention-Guided Deep Learning for Brain Tumor Biopsy
[NO] 1177/1968 | 2026 34th Signal Processing and Communications Applications Conference (SIU)
[NO] 1178/1968 | Attention Guided Hybrid CNN Transformer Framework for Multi Disease Detection and Severity Stratification
[NO] 1179/1968 | Resource and Location Optimization with GA in UAV-Supported Multicellular Networks: A Comparison of Greedy and Local Search
[NO] 1180/1968 | Target Localization for Robotic Arm Grasping Based on Deep Reinforcement Learning
[NO] 1181/1968 | An End-to-End Machine Learning Framework for Credit Card Fraud Detection Using Imbalance Handling and Ensemble Models
[NO] 1182/1968 | Research, Design, and Fabrication of a Drop-Test Device for Evaluating the Damping Characteristics of Motorcycle Shock Absorbers: A Comparative Study Between Brand-New and 3-Year Service States Under Vietnam's Climatic Conditions
[NO] 1183/1968 | Comparative Performance Analysis of Deep Learning Architectures for Oral Cancer Detection Using Histopathological Images
[NO] 1184/1968 | Comparison Analysis of Deep Learning, Classical ML and Hybrid Models for American Sign Language Alphabet Recognition
[NO] 1185/1968 | LEVELLER: Fair Communication Scheduling via Progress-Rate Awareness in Multi-Tenant Training Clusters
[NO] 1186/1968 | Accelerating Resilient Geo-Distributed LLM Training via Photonic-Computing-Assisted Vandermonde-Orthogonal Multiplexing
[NO] 1187/1968 | Steering AI Tutors Through System Prompts: A Crossover Study on Self-Regulated Learning and Cognitive Engagement Scaffolds in CS1
[NO] 1188/1968 | Recursion vs Iteration: Activity-Sensitive differences across Use–Modify–Create Tasks in CS1
[NO] 1189/1968 | TriPST-Net: Phase-Aware Lightweight Tri-Branch Spatio-Temporal Graph Neural Networks for Traffic Sequence Forecasting
[NO] 1190/1968 | Automated Heuristic Generation with Large Language Models for 3D UAV Inspection Routing
[NO] 1191/1968 | Skeleton-Based Action Recognition for Complex Dance Motion Using Graph Neural Networks
[NO] 1192/1968 | Alert: An Augmented Reality Intelligent Learning System for Environmental Robotics Education
[NO] 1193/1968 | Industrial Big Data-Oriented Missing-Aware Intelligent Fault Diagnosis Under Incomplete Vibration Signals
[NO] 1194/1968 | TGFS-YOLONet: Frequency–Spatial Dual-Enhancement Network for Tea Geometrid Detection in Complex Tea Plantation Backgrounds
[NO] 1195/1968 | TinyCAN-LLM: A Lightweight Language Model Framework for CAN Bus Intrusion Detection in Internet of Vehicles
[NO] 1196/1968 | YOLOv11s-ARC: A Lightweight Detector for Insulators and Anomalies on Transmission Lines
[NO] 1197/1968 | Distilling Domain Knowledge into Smaller LLMs using RAG-Assisted Fine-Tuning
[NO] 1198/1968 | MoneyQuest: A Gamified Life-Scale Personal Finance Platform with AI Driven Coaching and Embedded Tax Compliance
[NO] 1199/1968 | An Optimal Configuration Method of the Hybrid Energy Storage System for Zero-Carbon Power Systems Based on Improved Particle Swarm Optimization Algorithm
[NO] 1200/1968 | Intellectual Smart Hybrid AI System for Real-Time Threat Intelligence in the Internet
[NO] 1201/1968 | Data-Driven Collaborative Perception and Predictive Control for Humanoid Robot Swarms in Unstructured Environments
[NO] 1202/1968 | Design of an 80-Channel High-Precision Frequency Meter Based on FPGA Quadrature Phase Interpolation
[NO] 1203/1968 | Free Component Analysis-Based Non-Invasive Power Decomposition for Enhanced Grid Situation Awareness
[NO] 1204/1968 | A DSL-Based Agent Framework for Reliable LLM Arithmetic using Model Context Protocol
[NO] 1205/1968 | A Study on the Optimization of the XGBoost Model for Short-Term Traffic Flow Forecasting
[NO] 1206/1968 | DCE: Dual Clustering for Temporal Heterogeneity and Channel Correlation in Multivariate Time Series Forecasting
[NO] 1207/1968 | Knowledge Distillation and Improved ViT Based Disease Recognition of Apple Leaf
[NO] 1208/1968 | Adapting FlexLLMGen to Qwen3 Dense and Mixture-of-Experts Models
[NO] 1209/1968 | Self-Supervised Hybrid Vision Transformer with Adaptive Token Selection for Early Lung and Colon Cancer Detection
[NO] 1210/1968 | Federated Learning Computational Cost Analysis
[NO] 1211/1968 | A multi-modal missing bearing fault diagnosis method based on missing proxy and multi-constraint learning
[NO] 1212/1968 | Lifecycle Energy Reduction for Spatio Temporal GNNs via Sparse Aware Training and Continual Learning
[NO] 1213/1968 | Explainability-Driven Decision Gating for Risk-Controlled Algorithmic Trading
[NO] 1214/1968 | Gain Improvement of Antenna-Radome System Based on Phase Compensation Scheme Using Transmissive Metasurface
[NO] 1215/1968 | Research on Industrial Weld Defect Detection Based on EfficientNetB0 and Spatial Attention Mechanism
[NO] 1216/1968 | From Trust to Lock-In: Human-Centered AI for Understanding Investment Fraud Narratives in Indian Digital Communities
[NO] 1217/1968 | An Adaptive Dead-Time Control Strategy for Soft-Switching Three-Phase Inverter Based on SiC MOSFET Turn-Off Transient Model
[NO] 1218/1968 | Lightweight Convolutional Neural Networks for Wheat Disease Detection and Classification: A Review and Comparative Study from Field to Storage
[NO] 1219/1968 | Steering Committee
[NO] 1220/1968 | Event-Triggered Output Feedback Lyapunov-Based Distributed Model Predictive Control for Large-Scale Nonlinear Systems
[NO] 1221/1968 | Pathfinder: Efficient Snow Depth, Stratigraphy and Uncertainty Determination From Radar Measurements
[NO] 1222/1968 | Bidirectional Resonance Wireless Power Transfer Module for Portable Devices
[NO] 1223/1968 | Extending the Linear Modulation Range of a Nine-Level Inverter Drive Fed From a Quasi-Square Wave Inverter and a Switched Capacitor Sourced Inverter From the Other End as a Harmonic Filter
[NO] 1224/1968 | Derivative-Free Emergent Optimization via Local Rules and Cellular Automata
[NO] 1225/1968 | Single-Phase Power Electronics Transformer with Wide Input Range Voltage Regulation and High Power Density Capability
[NO] 1226/1968 | Vector-Space Projection and Unified Complex-Valued Acceleration for Scaling Matrix-Based Brain-Inspired Representations
[NO] 1227/1968 | Demo Abstract: An Energy-Efficient Crossbar-Free Oscillatory Neural Network Accelerator for Near-Sensor Edge AI
[NO] 1228/1968 | Low-Profile Circularly Polarized Dielectric Patch Antenna and Array for Millimeter-Wave Bands
[NO] 1229/1968 | Guest Editorial: T-ED Special Issue on Reliability of Advanced Nodes
[NO] 1230/1968 | IEEE Open Access Publishing
[NO] 1231/1968 | Three-Dimensional Surrogate Modeling and Extrapolation Based on Physics-Aware Machine Learning
[NO] 1232/1968 | DeepBSS++: A Hybrid Framework Integrating Transfer Learning, Spatiotemporal Transformers, and Graph Neural Networks for Blind Source Separation of Electroencephalogram Signals
[NO] 1233/1968 | EDRIC: Embracing 1D Autoencoder for Real-time Lossy LiDAR Reflectance Compression_supp1-3719469.pdf
[NO] 1234/1968 | Compact High Turns Ratio Superconducting Transformer: Comparison between Cu and REBCO winding materials
[NO] 1235/1968 | Slant-Precoded OTFS-Like Waveform for PAPR Reduction under Affine Doppler Drift
[NO] 1236/1968 | Quantitative synthetic aperture radar inversion
[YES] 1237/1968 | Fabric-Native Hardware Assurance for AI Infrastructure
[NO] 1238/1968 | Poster: EPIC - When Learners Disagree, Campaigns Speak; Perceiving Structure in Unfolding SSH Episodes
[NO] 1239/1968 | Networked Agent Memory and Causality Representation: Experiences towards Interpretable Cloud-Scale Root-Causing
[NO] 1240/1968 | TurboBus: Pooling PCIe Bandwidth for LLM Workloads via Scale-Up Fabrics
[YES] 1241/1968 | Anytest: Localizing the Root Cause of Hardware Transport Performance Anomalies
[NO] 1242/1968 | Copyright Page
[NO] 1243/1968 | Urban Expansion Monitoring Using Integrated SAR and Optical Remote Sensing Data
[NO] 1244/1968 | FedMineMT: Personalized Federated Learning with Local EMA Teachers for Robust Foreign Object Detection in Coal Mines
[NO] 1245/1968 | Fault Detection on Electronic Boards with MSPRT
[NO] 1246/1968 | Explainable AI-Based Phishing Website Detection Using Feature-Driven Analysis
[NO] 1247/1968 | Multimodal Framework for Early Detection of Alzheimer's Disease from Handwriting and Speech Recognition Using Deep Learning
[NO] 1248/1968 | A Musical Robot on a Six-Axis Arm: From Numbered Musical Notation to Real-Time Xylophone Performance
[NO] 1249/1968 | A Study on 3D Motion Control of a Manta Ray Robot Based on the TD3 Deep Reinforcement Learning Algorithm
[NO] 1250/1968 | PSD Estimation in Artifact-Contaminated HRV Signals: A Methodological Comparison
[NO] 1251/1968 | Table of Contents
[NO] 1252/1968 | A Cubic Nonlinear Price-Elasticity Model of Demand Response with Temperature Correction and Distributionally Robust Parameter Inference
[NO] 1253/1968 | Structured CT Imaging Artefact Assessment using Vision-Language Models
[NO] 1254/1968 | RGB2HSI Spectral Reconstruction on NEON Tree Canopy Data
[YES] 1255/1968 | Optimization of Sub-threshold Bandgap Reference Circuit with Immune Plasma Algorithm
[NO] 1256/1968 | Integrated Acoustic Localization and State Recognition for UAVs Under Background Noise
[NO] 1257/1968 | Edge-ViT: Real-Time, Edge-Optimized ViT System for Deepfake Detection
[NO] 1258/1968 | Manifold-Regularized Self-Organizing RBF Networks with Event-Driven Structural Evolution
[NO] 1259/1968 | BIM-IFC Information Organization and Lifecycle Data Interoperability for Reinforced Concrete Structures
[NO] 1260/1968 | A TCN-GCN Based Channel Selection Method for MEG Motor Imagery
[NO] 1261/1968 | Underwater Localization using Forward-Looking Sonar and Artificial Object References
[NO] 1262/1968 | Preface
[NO] 1263/1968 | A Knowledge Distillation Framework for Edge-Aware Optimization of Intelligent Data
[NO] 1264/1968 | Semantic Relevance Detection of Visual Content in Corporate Reports Using Layout-Aware Vision-Language Models
[NO] 1265/1968 | Robust Fractional Estimation of Lithium-Ion Battery SOC and Capacity with Information Gating
[NO] 1266/1968 | Hybrid DV-Hop Localization in Wireless Sensor Networks Using Black Kite Algorithm and Mountain Gazelle Optimizer
[NO] 1267/1968 | Task-Oriented Navigation with Semantic Perception for Monocular Camera-Based Mobile Robots
[NO] 1268/1968 | A Hybrid Framework: Dwell Time and Demand- Driven Zoning in Port-Base CKD Warehouses
[NO] 1269/1968 | MiRTS:
                    <u>S</u>
                    cheduling of
                    <u>M</u>
                    ixed
                    <u>R</u>
                    eal-
                    <u>T</u>
                    ime
                    <u>T</u>
                    asks on Accelerator-based Heterogeneous Architectures
[NO] 1270/1968 | Non-Reciprocal RIS-Aided Self-Interference Cancellation in Full-Duplex Communications
[NO] 1271/1968 | A Unified LCDI-FDTD Scheme for General Dispersive Media Based on CCPR Representation
[NO] 1272/1968 | Retraction Notice: Paint / Writing Application through WebCam using MediaPipe and OpenCV
[NO] 1273/1968 | p-Type Sensing in Sulfur-Doped SnO
                    <sub>2</sub>
                    Quantum Dot Films for Sensitive and Selective NH
                    <sub>3</sub>
                    Detection at Room Temperature
[NO] 1274/1968 | HADR-UNet: An Image Segmentation Network for Blasted Ore in Open Pit Mines (June 2026)
[NO] 1275/1968 | Resilient coherent optical transmission against-lightning induced ultrafast polarization dynamics via optical-electrical synergy strategy
[NO] 1276/1968 | Comparison of Real and Imagined Movements in EEG Signals: Feature and Channel Based Analysis
[NO] 1277/1968 | Disturbance-Observer-Based Control for 2-D Semi-Markov Jump Roesser Systems Under Constrained Signal Transmission
[NO] 1278/1968 | Design of a 2D Image Cross-Section Method for Estimating Mass and Volume of Vietnamese Avocado 034 in Arbitrary Poses and Positions
[NO] 1279/1968 | Towards Breathable Distributed Systems: An Architecture for Cross-Platform Task Migration
[NO] 1280/1968 | Kinematic and Performance Investigation of Two 3- RPS Parallel Mechanisms
[YES] 1281/1968 | Simulation Design of 555 Timer based on Cadence virtuoso
[NO] 1282/1968 | Automated Processing of Professional Text with Respect for the Intellectual Property of the Authors of the Sources Used
[NO] 1283/1968 | Extended AI Architectures for Wearable-Driven and Remote Healthcare Systems
[NO] 1284/1968 | System-Level Evaluation of Control, Optimization, and AI/ML Methods in Maritime Power Systems: An IEEE TIA Perspective
[NO] 1285/1968 | Continuous Monitoring in Implantable Cardiac Devices: Electro-Quasistatic Human Body Communication– Challenges and Opportunities
[NO] 1286/1968 | Retraction Notice: Automatic Fracture Detection in Hand Bone Using MATLAB and Image Processing
[NO] 1287/1968 | FedDiDC: Federated Diffusion Learning with Dual-Side Calibration for Data Heterogeneity
[NO] 1288/1968 | A Level-Decoupled FHE Accelerator With Intra-Stage Iteration and Inter-Stage Pipelining Architecture
[NO] 1289/1968 | Retraction Notice: Liver Disease Prediction using Semi Supervised based Machine Learning Algorithm
[YES] 1290/1968 | AI-Assisted Radio-Frequency and mm-Wave Layout Using Electromagnetic Surrogates and Frequency-Adaptive Rules
[NO] 1291/1968 | Retraction Notice: Biometrics based Smart and Secured Electronic Voting Machine
[NO] 1292/1968 | Electric Vehicle Battery Swapping Demand Prediction Based on Adaptive Multi-Scale Temporal Feature Fusion Network
[NO] 1293/1968 | Effects of Seamounts and Islands and Reefs on Constructing topography from SWOT Satellite Gravity anomaly: A Case of South China Sea
[YES] 1294/1968 | Progressive Knowledge-Driven Defect Detection Based on Invariants
[NO] 1295/1968 | AeroSurf-Net: A Dual-Task Hybrid Framework for Airport Object Detection and Surface Condition Assessment Using Deep Learning and Texture Analysis
[NO] 1296/1968 | EfficientNet-B4 Based Deep Learning Framework for Rice Nitrogen Deficiency Classification
[NO] 1297/1968 | A Comparative Analysis of MLP and Kolmogorov-Arnold Networks (KAN) for Faster-than-Nyquist (FTN) Signaling Detection
[NO] 1298/1968 | Switching to Low-Carbon Fuels through Modeling
[NO] 1299/1968 | Human–AI Collaboration and Creativity: The Impact of ChatGPT Use Among Copywriters in the Digital Creative Industry
[NO] 1300/1968 | Sustainable Application of Waste Silica Sludge as a Fine Aggregate Replacement in Alkali-Activated Mortars
[NO] 1301/1968 | Explainable Machine Learning Framework for Early Detection and Classification of Kidney Infections Using Clinically Relevant Features
[NO] 1302/1968 | Development of CMS an Application of ES for Fighting Against the Tomato Plant Disease for the People of Chhattisgarh Especially Tribal Population
[NO] 1303/1968 | Flexible Control Strategy for EV Charging Stations Based on MMD-K-means and Congestion Risk Index
[NO] 1304/1968 | A Synthetic Benchmark and Fair Evaluation Protocol for Industrial Load Modeling with Production-Scheduling-Generated Labels
[NO] 1305/1968 | Deep Learning-Based Activity and Posture Recognition Using mmWave Radar Data
[YES] 1306/1968 | Design and Implementation of a Self-Closed-Loop Stimulus-Response Test System for Unknown Circuits with Circuit Classification
[NO] 1307/1968 | CAGE-Rank: Criticality-Aware Graph Evidence Ranking for Passive Cybersecurity Perception in Oil and Gas Stations
[NO] 1308/1968 | CNN-TA-Based Buy and Sell Signal Generation via Fusion of Technical Analysis Images and News Sentiment
[NO] 1309/1968 | Modeling Wind Power Uncertainty Using the D-Vine Copula and a Variable-Window Rolling Ellipsoid
[NO] 1310/1968 | Adaptive Differential Protection with Positive- and Negative-Sequence Fusion for Active Distribution Networks with Unmeasurable Branches
[NO] 1311/1968 | Fronthaul Compression and RIS Beamforming Design for Cloud-RAN: Active RIS vs. Passive RIS
[NO] 1312/1968 | Task-Oriented Intelligent Bundle Protocol in Large-Scale Heterogeneous Satellite Networks: A Large Language Model Approach
[NO] 1313/1968 | Message from the Program Chairs
[NO] 1314/1968 | AESS Engineering_Scholarship Recipients
[NO] 1315/1968 | IEEE Open Access Publishing
[NO] 1316/1968 | Development of an In-Situ Permanent Magnet Switching System for Ferrofluid Robot Locomotion and Deformation Control_supp2-3715362.mp4
[NO] 1317/1968 | On the Low-Frequency Limit of Widescreen Aperture Compact Range
[NO] 1318/1968 | A Novel Highly Selectivity Full-Frequency Protection Ultra-Wideband Polarization, Frequency, and Energy Selectivity Integrated Surface
[NO] 1319/1968 | Kernel Based Grid Search SVM in FO Integrated Medical Devices for Maintenance in Hospital
[NO] 1320/1968 | Blank Page
[NO] 1321/1968 | Characterizing Functions of Pseudo-$n$-Uninorms with Continuous Underlying Functions
[NO] 1322/1968 | ICBDSE 2026 Cover Page
[NO] 1323/1968 | EMG-based personalization of robotic ankle-foot orthosis assistance using Human-in-the-Loop optimization during squatting
[NO] 1324/1968 | EITCE 2026 Author Information Page
[NO] 1325/1968 | In-Vehicle OTA Systems: Update Schemes, and Recall Analysis Under Evolving E/E Architectures
[NO] 1326/1968 | Resource Allocation in Multi-Fog/Cloud Systems Using Reinforcement Learning
[NO] 1327/1968 | YOLOv8s with Deep-Stage Multi-Head Self-Attention and Bayesian Optimization for Caries Localization in Periapical Radiographs
[NO] 1328/1968 | Automated Image Restoration via Blind PnP-ADMM and Structural-Weighted Residual Refinement
[NO] 1329/1968 | Comparative Study on NBIS Reliability of Top-Gate a-IGZO TFTs with Different Gate Insulator Processes
[NO] 1330/1968 | Hierarchical Intent-Aware Shared Control for RCM-Constrained Surgical Robot Manipulation
[NO] 1331/1968 | Transmission Line Equipment Defect Detection Based on an Improved RT-DETR
[NO] 1332/1968 | Low-cost closed-loop speed control for a Coreless motor using MT6816 magnetic encoder
[NO] 1333/1968 | Data-Driven Visual Perception and Trajectory Planning for AprilTag-Based Precision Landing of eVTOL Aircraft
[NO] 1334/1968 | Adaptive Task Scheduling for Edge Large Language Models Based on Multi-Source Sensing Context
[NO] 1335/1968 | Research on Non-Interruption Ice Melting Method for Distribution Network Based on Heat-Resistant Conductors
[NO] 1336/1968 | Enhanced Dual-Compensation Tracking Differentiator for Linear Active Disturbance Rejection Control of PMSM Position Servo System
[NO] 1337/1968 | A Hybrid Deep Learning and Forensic Feature Analysis Framework for Automated Currency Authentication
[NO] 1338/1968 | A lightweight Vision Transformer with enhanced Background Suppression for GPR-Based Pavement Interlayer Distress classification
[NO] 1339/1968 | Rapidity and Stability Control Strategy of PMSM Based on a Novel B-ADRC
[NO] 1340/1968 | Stacking Ensemble Network Intrusion Detection Model Based on 1D-CNN and Attention Mechanism
[NO] 1341/1968 | Direct Position Determination Algorithm Based on Matrix Reconstruction for Decorrelation
[NO] 1342/1968 | Design and Implementation of a PD Controller on an STM32 Microcontroller for a Dual-Rotor Thrust-Balancing Platform
[NO] 1343/1968 | Energy Efficiency of SIMD-Vectorized Li-ion Battery Cluster Simulation on a Hybrid-Core CPU
[NO] 1344/1968 | Reusable Battery-Free Hand Warming Gloves Based on Exothermic Crystallisation
[NO] 1345/1968 | Multi-Terminal Secure Transmission Method for Due Diligence Data Based on the Present Block Cipher
[NO] 1346/1968 | Research on Initial Alignment of Maritime Ships Based on Active Disturbance Rejection Control Technology
[NO] 1347/1968 | Sparsity-and-Variance Driven Neural Network Algorithm for Large-scale Task Scheduling
[NO] 1348/1968 | Research on Planning Layout of Phase Modification Retrofit for Thermal Power Units and Power Grid Stability Improvement
[NO] 1349/1968 | The Impact of Introducing a Computer Science Course in Flemish Secondary Education on the Prior Programming Knowledge of Engineering Students
[NO] 1350/1968 | Recommendation-as-Experience: A Framework for Context-Sensitive Adaptation in Conversational Recommender Systems
[NO] 1351/1968 | Guest Editorial: Introducton to the 2025 EMBC Special Issue of the IEEE Transactions on Biomedical Engineering
[NO] 1352/1968 | A Spectrally Optimized Tetrahedral Operator Paradigm for Electromagnetic–Thermal–Mechanical Analysis of High-Power Microwave Devices
[NO] 1353/1968 | From Pneumonia to Multi-Disease: Interpretable and Uncertainty-Aware Semi-Supervised Learning Strategies for Chest X-Ray Classification
[NO] 1354/1968 | Joint Spectrum, Association, and Deployment Optimization for UAV Swarm-Assisted ISAC Networks
[NO] 1355/1968 | Drift-Adaptive Synchronization for Energy–Fidelity Tradeoffs in Digital Twin IoT Systems
[NO] 1356/1968 | Compressed Sensing via Sequential Majorization-Minimization and Collaborative Neurodynamic Optimization
[NO] 1357/1968 | Fixed-Time Convergent Resilient Critic-Learning Control With Asymmetric Input-State Constraints Under Hybrid FDI–DoS Attacks
[NO] 1358/1968 | TORE-NET: A Task Replication and Offloading Strategy in Reliable and Energy-Efficient Mobile Edge Computing Networks
[NO] 1359/1968 | Fuzzy-clustering Attentive Network with Context-aware Enhancement for Image Denoising
[NO] 1360/1968 | PointDiffuse: A Dual-Conditional Diffusion Model for Enhanced Point Cloud Semantic Segmentation
[NO] 1361/1968 | Multinomial Logistic Regression for Interpretable Multiclass Decision Systems: A Systematic Review and Integrated Research Framework
[NO] 1362/1968 | Observer-Based Adaptive Estimation for Time Delay Hyperbolic PDE Systems With Application to Traffic Dynamics
[NO] 1363/1968 | DynamiQ: Accelerating Gradient Synchronization using Compressed Multi-hop All-reduce
[NO] 1364/1968 | CausalTune: Causal Learning based Automated Cellular RAN Configuration Tuning Framework
