[2026-07-06 23:07:45] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-05
正在获取论文...
[ACM] 2026-7-5 | JunoBench: A Benchmark Dataset of Crashes in Python Machine Learning Jupyter Notebooks
[NO] 484/1000 | An Extension of Bamboo Forest Growth Optimization Algorithm
[NO] 485/1000 | IoT-Integrated Edge-AI Ultrasound Framework for Standardized Lymph Node Assessment
[NO] 486/1000 | Design of Gamification to Enhance Knowledge Sharing in Public Sector Knowledge Management System
[NO] 487/1000 | Design, Comparative Analysis, Simulation, and Hardware Test of a Five-Level Hybrid T-Type/H-Bridge Multilevel Inverter
[NO] 488/1000 | Mitigating Affective Polarization while Preserving Ideological Conflict in Decentralized and Structured Social Media
[NO] 489/1000 | May We Know You? Operationalizing Co-Design Within African Communities: A Scoping Review
[NO] 490/1000 | Rotating Universal Radiometer for Planetary Boundary Layer Observations
[NO] 491/1000 | Topology Aware FeedForward Bottleneck Networks for Grid-Tied PV Inverter Impedance Modeling
[YES] 492/1000 | LINC-SQL: A Collaborative Framework for Robust Text-to-SQL Generation
[NO] 493/1000 | Table of Contents
[NO] 494/1000 | TTP-MAS: A Collaborative Multi-Agent System for Uncertainty-Aware TTP Extraction
[NO] 495/1000 | Natural Language-Based Control of Integrated Aerial Platform Using Large Language Models
[NO] 496/1000 | Deep Reinforcement Learning (DRL) for Predictive Traffic Flow Optimization in IoT - Enabled Urban Mobility
[NO] 497/1000 | Efficient Structured Knowledge Injection into LLMs for Precise Interpretation of Culturally Loaded Words
[NO] 498/1000 | A Deep Reinforcement Learning Approach for Hybrid Flow Shop Scheduling with Inline Production Quality Feedback and Stochastic Processing Times
[NO] 499/1000 | Navigator: A Knowledge Graph and Agent-based Framework for Guiding Large Language Models toward Accurate and Reliable Medical Reasoning
[NO] 500/1000 | UtiliNet: A Utility-Centric Framework for Modeling Network Resilience
[YES] 501/1000 | Evaluating and Enhancing Memory Safety in LLM-Generated Code on CHERI
[NO] 502/1000 | FACFL: Fine-grained Information Matrix-based Adaptive Clustered Federated Learning
[NO] 503/1000 | FedMAS: Personalized Federated Learning with Importance-Aware Multidimensional Adaptive Aggregation and Dynamic Representation Alignment
[NO] 504/1000 | HarSER: Learning Harmony Relationship via Phonatory Orchestration Modeling for Speech Emotion Recognition
[NO] 505/1000 | Through the Looking Glass: A Dual Perspective on Weakly-Supervised Few-Shot Segmentation
[NO] 506/1000 | Generative Adversarial Self-Imitation Learning With Large Language Model Feedback for Robot Control and Navigation
[NO] 507/1000 | Group Activity Recognition Using 2D and 3D Pose Features
[YES] 508/1000 | SecMutBench: Evaluating LLM-Generated Security Tests via Mutation-Based Vulnerability Detection
[YES] 509/1000 | AI-Assisted Programming Learning
[NO] 510/1000 | Epistemic Programming as a Scientific Field: Building a Community of Practice and an Interaction-Based Framework
[NO] 511/1000 | Documenting K-12 CS Education Around The World
[NO] 512/1000 | Mapping the Research on Collaboration in Computing Courses
[YES] 513/1000 | To Tab or Not to Tab: Measuring Critical Engagement in AI Code Completion Tools Using Behavioral Signals and Attention Checks
[NO] 514/1000 | Beyond One-Size-Fits-All Exercises: Personalizing Computer Science Worksheets with Large Language Models
[NO] 515/1000 | REfact: Growing with Movement – A Hybrid Performance
[NO] 516/1000 | Virtual Theatre: Producing Live Theatre on Virtual Stages
[NO] 517/1000 | Chemistry Context Programming Activities for CS1
[NO] 518/1000 | Beyond Make-and-Model: Simplifying IoT Network Management with Behavioral Metaclasses
[NO] 519/1000 | Distributed Target-Enclosing Formation Maneuver Control for Multiple AUVs With Prescribed Convergence Time
[NO] 520/1000 | Performance Analysis for Random Network Access Delay of Single Hop Ad Hoc Network under Saturation Conditions
[NO] 521/1000 | Model-Based SMC Strategy for Speed Control with a sensorless Load-Torque SM Observer: Analysis and Experimental Validation Using an IM
[NO] 522/1000 | Accurate and Efficient Privacy-Preserving TPE-Image Retrieval in Cloud-assisted Internet of Things
[NO] 523/1000 | 3-D Pose Estimation With 1-D AOA Measurements Under Linear Array Imperfections
[NO] 524/1000 | Threefold Consensus-Driven Anchor Alignment for Efficient Multi-View Clustering
[NO] 525/1000 | Dual-Objective Optimization-Based Current Mitigation for Five-Phase PMSM with Inter-Turn Short-Circuit Fault
[NO] 526/1000 | A Compact, Low-Power Voltage-Gap-Based Power-on-Reset Circuit With a Programmable Trip Point for Near-
                    <i>V</i>
                    <sub>TH</sub>
                    Computing Applications
[NO] 527/1000 | Semi-Supervised Video-SAR Multi-Shadow Tracking via Spatiotemporal Dynamics
[NO] 528/1000 | Dual-Output Hybrid Direct AC-AC Converter Based on Boost Converter and Switched-Capacitor with Voltage Doubling Capability
[NO] 529/1000 | Online Virtual Impedance Optimization Based Grid Current Harmonics Suppression Strategy for Electrolytic Capacitorless PMSM Drives
[NO] 530/1000 | Optimized Hybrid Triple Phase Shift Modulation With Indirectly Reduced RMS Current and Extended ZVS Range for DAB Converters
[YES] 531/1000 | Passive Lossy Transmission Line Model Based on the Generalized Method of Characteristics
[NO] 532/1000 | Structured Random Models for Phase Retrieval with Optical Diffusers
[NO] 533/1000 | AI-Enhanced Self-Optimizing Networks (SON) for Next-Generation 5G/6G Architectures
[NO] 534/1000 | A Dual-source Fusion Enhancement method for Question Answering on Acute Mountain Sickness
[NO] 535/1000 | Intervention of Blockchain Based Secured Predictive Analytics in Early Detection of Alzheimer's Disease Using AI &amp; ML Techniques
[NO] 536/1000 | ORI : Ordinal-feedback for Refining and Instructing LLMs toward Alignment
[NO] 537/1000 | Adaptive Ads Moderation under Evolving Policies via Policy-Aligned Question Answering
[NO] 538/1000 | AdaAttack: Energy-Guided Adaptive Strategy Coordination for Query-Efficient Black-Box Adversarial Attacks
[NO] 539/1000 | Multi-UAV Cooperative Scheduling under Urgent and Constrained Time Windows
[NO] 540/1000 | Grouped Robust Secure Aggregation Scheme for Cross-Device Federated Learning
[NO] 541/1000 | Bimodal Enhanced Knowledge-Guided Prompt Alignment for Multi-Modal Prompt Learning
[NO] 542/1000 | Multi-Task Multimodal Learning for Fake News Detection in Multi-Image Social Media Content
[NO] 543/1000 | MAFnRL: A Cross-Modal Semantic Fusion for Malware Classification
[NO] 544/1000 | An Adaptive Multipopulation Ant Colony System Approach for Multiobjective Carpool Dispatch
[NO] 545/1000 | MME: An Efficient Multi-objective Evolutionary Algorithm for Multi-workflow Scheduling in JointCloud Environments
[NO] 546/1000 | A Hybrid Metaheuristic-Hierarchical Approach for PDF Document Clustering Using Orca Predation Algorithm and Agglomerative Clustering
[NO] 547/1000 | A Causality-Aware Multi-Agent Framework for Fault Diagnosis and Tolerance in TSN
[NO] 548/1000 | A Lightweight Residual Quantum Deep Learning Model for Grading of Age-related Macular Degeneration
[NO] 549/1000 | FairFarm: Attention-Driven MobileNet Architecture for Banana Leaf Disease Detection and Intelligent Selling Framework
[NO] 550/1000 | Vertical Profiles of Cloud Properties at the ENEA Lampedusa Station for Climate Observation Derived from Cloudnet Retrieval
[NO] 551/1000 | An Efficient Secured Augmented Reality Model with H2O Deep Learning Algorithm in Energy Efficient Internet of Things Environment
[NO] 552/1000 | AI-Domain-Specific Summarization of Documents Composed of Text and Graphics and PPT Generation with Using BERT,LSTM
[NO] 553/1000 | ICCTWC 2026 Schedule
[NO] 554/1000 | A Compact Quad-Element Sub-6 GHz MIMO Antenna with Enhanced Isolation for 5G Applications
[NO] 555/1000 | A Scalable AI-Driven Intelligent System for Monitoring and Responding to Digital Harassment
[NO] 556/1000 | An Adaptive Multi-Scale Fusion Model Based on Mamba for Skin Lesion Image Segmentation
[NO] 557/1000 | HerCraft: A Digital Platform for Women Entrepreneurs Integrating E-Commerce, Community, and Skill Development
[YES] 558/1000 | MultiCAD: A Continual-Learning-Based Multi-Class Anomaly Detection Method
[NO] 559/1000 | Diversity Regularized Global-local Feature Learning for Osteoporosis Diagnosis
[NO] 560/1000 | YOLOv8-BDL: An Improved YOLOv8-Based Segmentation Network for Disease Detection in Earthen Archaeological Sites
[NO] 561/1000 | Scheduling of a Single-Arm Cluster Tool for Processing Two Types of Wafers with Parallel Processing
[NO] 562/1000 | A Sentiment-Enhanced Multimodal Synergistic Fusion Scheme for High-Performance Rumor Detection
[NO] 563/1000 | Dual Input High Step up Converter with Magnetic Coupling for EV Power Interfaces
[NO] 564/1000 | Enhancing Bird Species Recognition Through Dynamic Augmentation Optimization
[NO] 565/1000 | Secure Cloud Computing in Distributed Network Using Deep-Q-Learning
[NO] 566/1000 | Cargo Box Detection Algorithm Based on Cross-Domain Adaptation and Contrastive Learning
[NO] 567/1000 | Energy-Efficient Automation Control System Using AI-Powered Digital Twins for Industrial Process Monitoring
[NO] 568/1000 | A Multi-Layer Model Based on Domain-Adaptive Pre-Training for Entity Recognition in Open-Source Intelligence
[NO] 569/1000 | Design and Development of Methods for Protecting Copyrighted Images from Unauthorized Use in Generative AI Systems
[NO] 570/1000 | An Agentless Monitoring System for Collaborative e-Learning Platform in Unstable Environments
[NO] 571/1000 | Adaptive Key Segment Selection &amp; Dynamic Encoding for Long-Duration Speech Suicide Detection
[NO] 572/1000 | Design of Dual-Band T-Shaped, U-Shaped and H-shaped Microstrip Antennas for Wireless Applications
[NO] 573/1000 | Gaussian Naïve Byes-Driven Translational Analytics Model for Recommending Optimal Crops: A Model Application Study on Rice, Coffee, Watermelon, Corn
[NO] 574/1000 | MOP: A Multimodal Object-Aware Policy for Robotic Manipulation Via Geometry-Guided Fusion and Trajectory Prediction
[NO] 575/1000 | Synergistic Blood Pressure Estimation via Contactless mmWave Radar and Imaging Photoplethysmography: A Feasibility Study_supp1-3706110.pdf
[YES] 576/1000 | A Dataset of Agentic AI Coding Tool Configurations
[NO] 577/1000 | A Good Rubber Duck Does Not Quack: Designing Socratic Scaffolding in AI Tutors
[NO] 578/1000 | Pre-Recorded 'Vivas' for Assessing Code Understanding Amidst AI-Assisted Programming
[NO] 579/1000 | From Fragmentation to Architecture: A Spiral Curriculum Model for Integrating Data Science into K-12 Education
[NO] 580/1000 | Student Misconceptions and Strategies in Git/GitHub Processes
[NO] 581/1000 | Co-creating Course Expectations with Students in a Computer Science Course
[NO] 582/1000 | Using LLM to Autograde Diagrams
[NO] 583/1000 | Uncertainty-Guided Adaptive Knowledge Distillation for Lightweight Cross-Domain Object Detection
[NO] 584/1000 | IEEE Transactions on Radiation and Plasma Medical Sciences Information for Authors
[NO] 585/1000 | Table of Contents
[NO] 586/1000 | Member Get-a-Member (MGM) Program
[NO] 587/1000 | MA-APD: Multi-Agent Asynchronous Probability-Decomposed Policy Gradient for Time-Constrained Moving Target Search
[NO] 588/1000 | TEPRC: Threshold ElGamal-Based Privacy-Preserving Relay Cross-Chain Protocol
[NO] 589/1000 | MSSA-Det: A Lightweight Multi-Scale Semantic–Spatial Alignment Detector for Micro-Defect Detection in UAV Aerial Images
[NO] 590/1000 | Federated Learning with Dynamic Privacy Budget for Cement Loss on Ignition Prediction
[NO] 591/1000 | Federated Semi-Supervised Learning with Progressive Contrast-to-Consistency Learning
[NO] 592/1000 | Automation at Odds with User Experience: Understanding Public Perceptions of Customer Service Chatbots in China
[NO] 593/1000 | Automated Identification of Agricultural Pests Using CNN and Android Integration
[NO] 594/1000 | Nimbus: An AI Powered Smart Drone Tracking and Neutralization
[NO] 595/1000 | SCE-GAD: Contrastive Learning-based Anomaly Detection in Attributed Graphs
[NO] 596/1000 | AI-Driven Multilingual Legal Advisory Framework with Privacy-Preserving E-Docs and Case Precedent Mining
[NO] 597/1000 | Stereotype-Strategy Interplay: Warmth and Competence as Moderators of Persuasion Effectiveness in Online Communities
[NO] 598/1000 | Enhanced Emotion Recognition with FER+ and EfficientNetV2B1: A Class-Weighted Learning Approach
[NO] 599/1000 | A Curriculum-Guided Multi-Task Learning Fine-Tuning Framework: Enhancing Low-Resource Machine Translation with Large Language Models
[NO] 600/1000 | Towards Semantic Redundancy Mitigation for Medical Image Segmentation
[NO] 601/1000 | PoisonCraft: Practical Poisoning of Retrieval-Augmented Generation for Large Language Models
[NO] 602/1000 | Reconciling Reduced the Sense of Ownership and Agency toward a Virtual Keypad with Enhanced Haptic Experience Using Visually Adjusted Self-Haptics for Key-Input Interaction
[NO] 603/1000 | DGMLA: Gaussian Label Assignment for RatHole Small Object Detection
[NO] 604/1000 | MST-DDF: Multi-scale Spatio-Temporal Dynamic Defense Framework with Uncertainty-Guided Resource Allocation
[NO] 605/1000 | TGTC: A Temporal Graph Neural Network for Encrypted Traffic Classification
[NO] 606/1000 | CNF: A Causality-Consistent Normalizing Flow for Multivariate Time-Series Anomaly Detection
[NO] 607/1000 | A Comparative Evaluation of Machine Learning Models for DDOS Detection in 5G Networks
[NO] 608/1000 | Robust Error Detection and Correction for Low-Power, High-Speed Digital Data Communication
[NO] 609/1000 | List of Reviewers
[NO] 610/1000 | IOTA: Notebook Framework for IoT Analytics at Edge
[NO] 611/1000 | HiLegalSum: Hybrid Extractive Summarization of Long Legal Texts
[NO] 612/1000 | A Vessel-Aware Preprocessing Framework with Deep Neural Networks for Accurate Retinopathy of Prematurity Classification
[NO] 613/1000 | Hybrid ECM and LSTM Approach for State-of-Health Estimation of Lithium-ion Batteries
[NO] 614/1000 | Trifusion-RWKV for Complex Degradation Restoration in Library and Archive Environments
[NO] 615/1000 | Synergistic Solar Photovoltaic and Vertical Axis Wind Turbine Generation
[NO] 616/1000 | Hybrid Gradient Boosting–Based Fraud Intelligence for Secure and Efficient Open Banking Systems
[NO] 617/1000 | Cement Microstructure Image Segmentation Based on an Efficient Hierarchical Multiscale Convolutional Attention Network
[NO] 618/1000 | Modular Energy Management Via Distributed and Predictive Optimization for Fuel Cell-Battery Shipboard Microgrids
[NO] 619/1000 | Transient-RAG: Ephemeral Graph Topology for Dynamic Reasoning
[NO] 620/1000 | HABA: A Heterogeneity-Aware Asynchronous Batch Training Framework for Efficient Distributed Deep Learning
[NO] 621/1000 | SSG-UNet: State-Space-Guided U-Net with Global-Local Context Interaction for Medical Image Segmentation
[NO] 622/1000 | SLAKA-WS: Secure and Lightweight Authentication and Key Agreement Scheme for Wearable Devices Used in Sports-IoT
[NO] 623/1000 | SynaLumi: An Embodied Intelligence Interaction System for the Blind or Low-Vision Populations Based on Large Multimodal Models
[NO] 624/1000 | Breaking the Measurement Range Limit in Micro-wave Photonic Sensing Using Spectral Profiles
[NO] 625/1000 | Dynamic-Memory Event-Triggered Prescribed Performance Optimal Containment Control for Nonlinear Multi-agent Systems under DoS Attacks
[NO] 626/1000 | A Capacitor Voltage Balancing Strategy for Single DC-Source NPC Inverter Fed Symmetrical Six-Phase Induction Motor Drives For Electric Vehicles
[YES] 627/1000 | Kubernetes Misconfigurations in the Wild: Taxonomy, Evolution, and Automated Repair with Large Language Models
[NO] 628/1000 | AttackLogGen: Benchmarking LLMs for generating attack logs
[NO] 629/1000 | Failure is an Option: Growing Student Metacognition and Resilience in Undergraduate CS
[NO] 630/1000 | A Virtual Lab for Learning AI Security and Adversarial Prompt Engineering
[NO] 631/1000 | CS Undergraduate Women's Experiences in the First Year of Study
[NO] 632/1000 | Gendered Perceptions of Success in Computer Science
[NO] 633/1000 | Non-functional requirements: The issues online forum users are discussing about
[NO] 634/1000 | Scale, Concentration, and Entry Timing in the Shopify App Ecosystem
[NO] 635/1000 | COSETO: An Evidence-based AI Approach for Software Component Comparison
[NO] 636/1000 | CPAN: Cyclical Perception-Action Network for Visual Question Answering
[NO] 637/1000 | FHRformer: A Frequency-Enhanced Transformer with Integrated Cumulative Historical Mechanism and Learnable High-Rank Matrix for Multivariate Time Series Forecasting
[NO] 638/1000 | Microring-Based Microwave Generation: Experimental Comparison of Self-Injection Locking Approaches
[NO] 639/1000 | An Efficient and Threshold Private Set Intersection for Privacy-Enhanced Vertical Federated Learning in Consumer Systems
[NO] 640/1000 | Front Cover
[NO] 641/1000 | SFSTrack: Spatial-Frequency Synergistic Transformer for Robust Nighttime UAV Object Tracking
[NO] 642/1000 | Uncertainty-Guided Semi-Supervised Change Detection for Remote Sensing Images
[NO] 643/1000 | Bi-SPLGTNet: A Bidirectional Spatial-Latent Graph Transformer for Traffic Forecasting
[NO] 644/1000 | Dynamic Classification Method for Encrypted Traffic Using Reinforcement Learning and Lightweight Adversarial Training
[NO] 645/1000 | Vehicle Detection in Synthetic Aperture Radar Images with Multi-Scale and Outlook Attention
[NO] 646/1000 | Artificial intelligence and blockchain for achieving supply chain resilience and sustainability: An empirical investigation in the Peruvian coffee supply chain
[NO] 647/1000 | Design of Multi-level Intelligent Agent Collaborative Question Answering System for Libraries
[NO] 648/1000 | MMFNET:A Multi-Scale Multi-Receptive Field Fusion Network for Human Pose Estimation
[NO] 649/1000 | An Adaptive Block-LSTM for Arcing Prediction in Pantograph-Catenary Systems
[NO] 650/1000 | CKG-RAG: Enhancing LLM Reasoning in Medical Domain Using Contextual Knowledge Graphs
[NO] 651/1000 | Cross-Database Micro-Expression Recognition via Domain-Collaborative Disentanglement Network
[NO] 652/1000 | Scenario-Based Predictive Optimization of PV-BESS Systems for Enhanced V2G Flexibility Under Uncertainties
[NO] 653/1000 | Lower Body Trajectory Estimation with Kinematic Constraint Based on Inertial Measurement Units
[NO] 654/1000 | Iformer: Irregular Spatial-Spectral Transformer for Hyperspectral Image Classification
[NO] 655/1000 | Dual-Field Recovery and Distortion Correct for Ultra-High-Definition Image Demoiré
[NO] 656/1000 | Toward Reliable Collective Intelligence in LLM-MAS: Coordination, Challenges, and Future Directions
[NO] 657/1000 | Multi-Dimensional Gram Fingerprinting: A Unified Spectral Geometric Framework for Adversarial Detection
[NO] 658/1000 | 99.7% Efficient 800 V ZVS Partial Power Switched Capacitor Buck Converter with 650 V GaN HEMTs
[NO] 659/1000 | Optimal consensus adjustment mechanism for bidirectional fairness and efficiency in fuzzy social networks
[NO] 660/1000 | DGRN-FGO: A Dual-Grid Relative Navigation Framework Based on Factor Graph Optimization for Multi-UAV System in GNSS-Challenged Environment
[NO] 661/1000 | Siam-VO: A Siamese Network-Based Monocular Visual Odometry for High-Altitude Low-Texture Environments
[NO] 662/1000 | Distributed Conjugate Gradient Tracking with Prescribed Performance for Multi-Agent Convex Optimization
[NO] 663/1000 | TAGame: Multi-Agentic AI Coordinated Game for Task Allocation in Edge Computing Networking
[NO] 664/1000 | TeLL-Drive: Enhancing Autonomous Driving With Teacher LLM-Guided Deep Reinforcement Learning
[NO] 665/1000 | CoLA-Flow Policy: Temporally Coherent Imitation Learning Via Continuous Latent Action Flow Matching for Robotic Manipulation
[NO] 666/1000 | An Asset Management Model for the Ownership and Operation of Personally Owned Vehicles
[NO] 667/1000 | A Certificateless Proxy Re-Signature Scheme with Cryptographic Reverse Firewall for the Internet of Things
[NO] 668/1000 | A Cross-Attention Vision Transformer with Self-Adaptive Multi-Scale Fusion for Fault Diagnosis
[NO] 669/1000 | Green AI Integration for Secure and Sustainable IoT Communications in Wi-Fi 7 Networks: A Comparative Review
[NO] 670/1000 | A Pulse-Derived Resistance Ratio Metric for Rapid Battery State-of-Health Assessment
[NO] 671/1000 | K-Means Algorithm for Optimizing Initialization and Outlier Resistance Based on Density Peak and Gaussian Kernel
[NO] 672/1000 | Self-Tuning Sparse Attention: Multi-Fidelity Hyperparameter Optimization for Transformer Acceleration
[NO] 673/1000 | Exploration and Performance Analysis of F-Type Grid-Connected PV Inverter
[NO] 674/1000 | Precision Prediction of Milnacipran Blood Concentration Via Genetic Programming-Enhanced Xgboost with Multi-Omics Validation
[NO] 675/1000 | Enhanced Turbo Equalization for OTFS with LSMR Aided Initial Signal Detection
[NO] 676/1000 | Deep Learning-Based Early Detection of Dysgraphia in Children Using EfficientNetB0 Architecture
[NO] 677/1000 | GCPDP: A Spatio-Temporal Graph Model for Flight Delay Prediction with Causality and Periodicity
[NO] 678/1000 | Embedding ML-DSA Signatures in JPEG Using Deniable Steganography
[NO] 679/1000 | Robust Data Watermarking and Verification Framework for Tabular Datasets Using Teaching–Learning-Based Optimization (TLBO)
[NO] 680/1000 | Gpu Hierarchy and Memory Optimization Techniques: Focusing on Shared Memory Usage
[NO] 681/1000 | Detection of Augmented Reality Images with Facial Accessories
[NO] 682/1000 | Microservices-Based Architectural Patterns for High-Availability Systems
[NO] 683/1000 | Improving Automatic Medical Coding Performance Through Code Hierarchy and Co-Occurrence
[NO] 684/1000 | Intelligent E-Waste Categorization and Recycling Through CNN
[NO] 685/1000 | Machine Learning Based Smart Grid Energy Optimization on Embedded Edge Systems
[NO] 686/1000 | Smart Railway Safety System Using Al-Based Monitoring and Real-Time Incident Reporting
[NO] 687/1000 | Design and Structure of Autonomous Farming Robot
[NO] 688/1000 | From Raw Multimodal Features to LLM-Driven Semantic Representations for Recommendation
[NO] 689/1000 | FRADA: Robust Federated Recommender Systems based on Adversarial Data Augmentation
[NO] 690/1000 | Vision Based AI Pipeline for Predictive Pedestrian Behavior Analysis and Moving Object Segmentation in Autonomous Vehicles
[NO] 691/1000 | Lightweight PCB Defect Detection via Attention Enhancement and Global Context Fusion
[NO] 692/1000 | Crowdsourcing and Citizen Science in Sanitation and Environmental Health: a Rapid Review
[NO] 693/1000 | Gender Gaps in CS1 Exams: The Role of Biased Question Framing
[YES] 694/1000 | SOSecure: The Wisdom of the Crowd for Safer AI-Generated Code
[NO] 695/1000 | Not Yet for Students: What Current Educator Prompting Practices Reveal About Pedagogical Gaps in LLM-Generated Feedback
[YES] 696/1000 | Learning to Assess Software Quality: A Metric-Guided Peer Code Review Tool for Large-Scale Software
[NO] 697/1000 | When Performance is Not Learning: Evidence from Generative AI Use in Operating Systems Education
[NO] 698/1000 | Hands-On Demonstration of Information Retrieval and Word Embeddings Using a Harry Potter Theme
[NO] 699/1000 | Enabling Student Ownership of LLM-Use through Team Contracts
[NO] 700/1000 | Virtual Reality, Real Challenges: Lessons Learnt from a VR Deployment In-the-Wild
[NO] 701/1000 | Teaching Theory of Computation in the STEM K-12 Curricula Through Impossibility and Undecidability Problems
[NO] 702/1000 | Impact of Instructor Gender on Student Perceptions of Coding Demonstration Videos
[NO] 703/1000 | VR Biosecurity Surveillance Training for Indigenous Rangers
[NO] 704/1000 | Advancing Face-to-Face Emotion Communication: A Multimodal Dataset (AFFEC)
[NO] 705/1000 | Energy-Efficient UAV Path Planning with Adaptive Charging for Smart Agriculture in Remote Areas
[NO] 706/1000 | Tracking Control of Quadrotor UAV under Time-Varying Wind Disturbances
[NO] 707/1000 | Text-Aware Gating Graph Recommendation under Sparse Interactions
[NO] 708/1000 | AdaTile: Adaptive Hybrid Tile Reconstruction for Efficient End-Edge Video Streaming
[NO] 709/1000 | IoTLearner: A model fine-tuning and output calibration method for dual-task analysis of IoT traffic
[NO] 710/1000 | What Drives User’s Participation in Citizen Science Projects Focusing on Crisis Events?
[NO] 711/1000 | Confidence-Guided Emotion-Text Feature Enhancement for Propaganda Detection
[NO] 712/1000 | Chain-of-Thought Calibration via Collaborative Knowledge Synthesis for Psych-Assessment Agents
[NO] 713/1000 | Text-Guided Granularity-Adaptive Medical Image Segmentation
[NO] 714/1000 | Progressive Damage Detection in Prototype Bridge using Magnetostrictive Sensor
[NO] 715/1000 | AE-GNN: An Attention-Enhanced Aggregation Strategy for Encrypted Traffic Classification
[NO] 716/1000 | Research on In-situ Bearing Temperature Measurement Method Based on Soft Magnetic Alloy Thin Film and Eddy Current Sensor
[NO] 717/1000 | Virtual reality Experiential learning System for Ancient Chinese poetry
[NO] 718/1000 | Thangka Image Captioning by Fusing Multi-Scale Features and Attention Mechanisms
[YES] 719/1000 | CCML: Fuzzing with Cross-Course Mutation Strategy Learning
[NO] 720/1000 | Privacy Protection of Energy Transaction Data Based on Blockchain and Homomorphic Encryption
[NO] 721/1000 | A Light-Load Improvement Technique for Three-Phase
                    <i>LLC</i>
                    Resonant Converter by Reconfiguration Circuit
[NO] 722/1000 | Exploring μSiPMs with BGO for Cherenkov time-of-flight in PET
[NO] 723/1000 | EC-LLM: Low-cost, Low-latency, High-quality Large Language Model Inference Based on Edge-cloud Collaboration
[NO] 724/1000 | Group-Level Feature-Aware Hybrid Coding for Adaptive Task-Oriented Tactile Communication
[NO] 725/1000 | Hybrid LASSO-SVQR Framework for Modeling Nonlinear Systemic Risk Dependencies
[NO] 726/1000 | CAF-Det: A Lightweight Coordinate-aware Feedback Detector for Small Objects in High-resolution UAV Imagery
[YES] 727/1000 | LLM-Driven Semantic Consistency Analysis for TRDP Implementations in Train Networks
[YES] 728/1000 | Target-Guided Multi-Agent System for Collaborative Fuzz Driver Generation
[NO] 729/1000 | Mitigating Leakage-Abuse Query Recovery Attack in Dynamic Searchable Symmetric Encryption via Differential Privacy
[NO] 730/1000 | SeasonalViT: A Dual-Scale Temporal Transformer for NDVI Forecasting
[NO] 731/1000 | State-Awareness-Based Adaptive Restoration for Differential-Interconnected MV-LV Distribution Networks
[NO] 732/1000 | Finger Topological Constraints and Depth Directed Multitasking for 3D Hand Pose Estimation
[NO] 733/1000 | Dual-Stream Cross-Modal Mixture of Experts for Multi-Domain Fake News Detection
[NO] 734/1000 | Joint Resource and Trajectory Optimization for Secure Communication with Cooperative Dual-UAV
[NO] 735/1000 | Video Interaction-Enhanced Knowledge Tracing based on Heterogeneous Graphs with Temporal Modeling in E-learning Environments
[NO] 736/1000 | L-BiTMix: A Lightweight Channel-Mix Temporal Convolutional Network for ECG Analysis
[NO] 737/1000 | Ant Colony Optimization for Solving Electric Vehicle Traveling Salesman Problems
[NO] 738/1000 | Digitalization Initiative in Rural Indonesia’s Water Service Management: Exploring the Potential for Transaction Cost Reduction
[NO] 739/1000 | Design and Implementation of a Wireless Power Transfer System for Electric Vehicles
[NO] 740/1000 | SIW Based Ultra Wideband Antenna for IoT and 5G Communication Systems
[NO] 741/1000 | Machine Learning Approaches of WIVERN L2 Products of LWP and IWP and Consequences on Path Integrated Attenuation
[NO] 742/1000 | Smart IoT-Based Terrace Gardening System
[NO] 743/1000 | Session Chairs
[NO] 744/1000 | Harmonic Mitigation in Solar Photovoltaic (PV) Arrays
[NO] 745/1000 | Fingerprint-Based Blood Group Classification Using Hybrid EfficientNetV2-S and ConvNeXt Deep Learning Architecture
[NO] 746/1000 | Fed-STC: Spatio-Temporal Cooperative Optimization for Robust Federated Learning
[NO] 747/1000 | TDIformer: Tri-Dimensional Interaction Transformer for Accurate Traffic Flow Prediction
[NO] 748/1000 | Fault-Aware RUL Prediction for Diesel Engines Using Physics-Motivated Degradation Models
[NO] 749/1000 | Preface
[NO] 750/1000 | Deindexed Bidirectional Parallel Search for Multi-Source Shortest Paths on Dynamic Graphs
[NO] 751/1000 | Unsupervised Multivariate Time-Series Anomaly Detection via Global-Frequency Priors and Guided Reconstruction
[NO] 752/1000 | Enhancing Cognitive Efficiency in Safety-Critical Gas-Powered Generator Operations Using Augmented Reality–Based Training
[NO] 753/1000 | Determination of Job Scheduling for a Flexible Flow Shop with Unrelated Parallel Machines and Non-Uniform Performance
[NO] 754/1000 | How IT Affordances Shape Purchase Intention in Live Streaming Commerce: An Empirical Study of Experience Quality and Trust for OTOP Products
[NO] 755/1000 | Learning-Based Inference of Vehicle Safety Capability from Structural and Performance Attributes
[NO] 756/1000 | Hybrid Machine Learning and Deep Learning Framework for Kidney Stone Detection
[NO] 757/1000 | T-S Fuzzy $H_\infty$ Control for Microbial Fuel Cells
[NO] 758/1000 | A Dual-Task Deep Network for Video Distortion EEG Decoding and Quality Assessment
[NO] 759/1000 | CrowdGraph: Crowdsourcing Positioning Based on Multimodal Graph Attention Model
[NO] 760/1000 | A Compact Interdigital-Structure-Loaded Near-Field Antenna with Low Data Leakage Risk for Metamaterial-Based WBANs
[NO] 761/1000 | Active Calibration of Reachable Sets Using Approximate Pick-to-Learn
[NO] 762/1000 | Where to Put Safety? Control Barrier Function Placement in Networked Control Systems
