[2026-07-22 23:03:15] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-21
正在获取论文...
[arXiv] 2026-07-21 | DBMol: Design of High-Affinity, Target-Specific Small Molecules through Structure Prediction Models
[NO] 1299/1755 | Peer Group Model for Stock Manipulation Detection using Unsupervised Learning
[NO] 1300/1755 | ADGNet: Attention Augmented Depthwise Separable Generative Adversarial Network for Image Dehazing
[NO] 1301/1755 | Study on Phased Array Ultrasonic Testing Technology for Bottom Plate Welds of the PTR Refueling Water Tank in Nuclear Power Plants
[NO] 1302/1755 | Decentralized Cryptographic Governance for Cloud-Based Medical Record Infrastructure: A Distributed Ledger Framework for Cyber-Resilient Healthcare Data Sovereignty
[NO] 1303/1755 | Uncrewed Aerial Vehicle-Based Ground-Penetrating Radar for 3D Subsurface Imaging: Electromagnetic modeling, tomographic processing, and open challenges
[NO] 1304/1755 | Coordinated Optimization of Source-Grid-Load-Storage in Zero-Carbon Parks Based on Direct Green Power Connection and Economic Benefit Analysis
[NO] 1305/1755 | Minimum Safe Distance and Parametric Study for Rural Road Lighting Impacts on Short-Day Plants
[NO] 1306/1755 | Multi-Time-Scale Scheduling of Multi-Microgrids in Plateau and Cold Regions Considering Rewardpenalty Ladder Carbon Trading
[NO] 1307/1755 | Transparent AI Feedback via Process-Aware Modeling: An Educational Middleware Approach
[NO] 1308/1755 | A Comprehensive Study on IoT Based Real-Time Data Processing in 5G-Enabled Autonomous Vehicle Communication Networks: Enhancing Connectivity, Latency Reduction, and Safety Mechanisms
[NO] 1309/1755 | HAGS: A Hand and Glove Segmentation Dataset for Collaborative Assembly
[NO] 1310/1755 | Global Ionospheric Scintillation During the May 2024 Super Geomagnetic Storm Observed by TianMu-1 GNSS-R
[NO] 1311/1755 | Extended-Range Beam Tracking Based on Beam Multiplexing for Multiuser Millimeter Wave Massive MIMO
[NO] 1312/1755 | Guest Editorial: Introduction to the Special Issue on Navigating Storms and Shaping Horizons: Latin American Businesses Resilience, Innovation, and Transformation in the Wake of the COVID-19 Pandemic
[NO] 1313/1755 | Semantic Communication and Channel Coding Co-Design: From Theoretical Models to Practical Implementation
[NO] 1314/1755 | 99.2%-Efficient Two-Leg Three-Phase Multilevel Flying Capacitor Converter
[NO] 1315/1755 | ASE Based Covert ISAC over Public Optical Channel
[NO] 1316/1755 | An Efficient Deep Learning Detector for Index Modulation in Low-Altitude Wireless Networks
[NO] 1317/1755 | Impact of Intelligent Technologies on IoV Security: Integrating Edge Computing and AI
[NO] 1318/1755 | Hello Computer: HPC in the Agentic Era
[NO] 1319/1755 | Toward an Integrated Theory of Adaptive Scheduling in High Performance Computing: A Queuing-Theoretic and Computational Learning Perspective.
[NO] 1320/1755 | Evaluating Deep Learning–Based Performance Prediction for UltraScan Workflows Under Temporal and Observability Constraints
[NO] 1321/1755 | AI Echoing in the Backstage: Private AI Consulting May Strengthens Confidence and Limits Depolarization
[NO] 1322/1755 | Is ChatGPT Gender-Neutral? Implicit Stereotyping Persists Over Time and With Experience
[NO] 1323/1755 | More Interactivity, More Open-Mindedness? The Influence of AI-based Chatbot Interactivity on Attitudes Toward Vegans
[NO] 1324/1755 | Not All Flows are Worth N Packets: Robust Encrypted Traffic Classification via Dynamic Patch-level Feature Learning
[NO] 1325/1755 | MST-Mamba: Real-time Disentanglement and Detection of Blended Attacks in NDN
[NO] 1326/1755 | Fiber Strain Sensing at Over 75 km Distance Using the Coherently Amplified Pound-Drever-Hall Method_supp1-3711399.mp4
[NO] 1327/1755 | IEEE Control Systems Society 2025 [CSS Business]
[NO] 1328/1755 | ICIPAI 2026 TOC
[NO] 1329/1755 | Enhancing Mapping Consistency for Motion Consistency: Spatio-Temporal Gaussian Process Maps for Autonomous Navigation in Dynamic Environments_supp1-3715028.mp4
[NO] 1330/1755 | Beyond the Quantum Horizon: Balancing Post-Quantum Security and Real-Time Performance in UAVs
[NO] 1331/1755 | Deep Learning-Based Cognitive Anomaly Detection Framework for Autonomous Vehicle Sensor Networks
[NO] 1332/1755 | LWE-ZUC: A Hybrid Stream Cipher with LWE Inspired Lattice based State Generation
[NO] 1333/1755 | The Irreducibility of the Thinking Subject: Epistemological, Neurocognitive, and Ethical Limits to the Prediction of Human Subjective Content by Artificial Intelligence
[NO] 1334/1755 | Symmetry-Constrained Multi-Scale Physics-Informed Neural Networks for Graphene Electronic Band Structure Prediction
[NO] 1335/1755 | GLEAM: Mitigating Barren Plateaus in Hybrid Quantum Machine Learning via Small-World Entanglement
[NO] 1336/1755 | XAI-IDS: An Explainable Deep Learning Framework for Transparent and Trustworthy Intrusion Detection in Medical Internet of Things Networks
[NO] 1337/1755 | An Interpretable XGBoost Framework for Salary Prediction and Education Impact Analysis
[NO] 1338/1755 | DRAM Bank-Aware Memory Allocation for Embedded Real-Time Virtualization
[NO] 1339/1755 | Leveraging Artificial Intelligence in International Legal Regulation to Predict Climate Change and Its Impact on Food Security
[NO] 1340/1755 | RAG Based Conversational Agent and Multi Camera Behavioral Scoring for Student Performance Tracking
[NO] 1341/1755 | Design and Evaluation of an AI-Driven Functional Classification Framework for Government Web Page
[NO] 1342/1755 | Servo-Delay-Compensated Guidance Algorithm for Radar-Optoelectronic Cooperative Systems
[NO] 1343/1755 | Hybrid Meta-Heuristic Optimization and Machine Learning Approach for Power Quality Improvement in Multilevel Inverter-Based Renewable Energy Systems
[NO] 1344/1755 | A Neural-Fuzzy Q-Learning Framework for Autonomous Routing in Mobile In-Body Nano-Networks
[NO] 1345/1755 | A RAG-Enhanced Multimodal Knowledge Synthesis System for Specialized Video Analysis and Management
[NO] 1346/1755 | Analysis of On-Grid Solar Power Plant Energy Production Forecasting at Mercu Buana University Using Polynomial Regression, Random Forest, and ARIMA
[NO] 1347/1755 | Predicting Pregnant Women’s Intention to Use Mobile Health Applications Using Theory of Planned Behavior and Comparative Ensemble Learning
[NO] 1348/1755 | Research on Improved Q-Learning Algorithm Based on Potential Function Guidance and Gradient Descent Smoothing for Mobile Robot Path Planning
[NO] 1349/1755 | Intelligent Detection for Fruit Freshness and Perishability
[NO] 1350/1755 | Machine Learning-Based Arrhythmia Classification Using HRV Features Extracted from PPG Signals
[NO] 1351/1755 | Spectral-Efficient Massive MIMO in 6G: Integrated Classical-Quantum Deep Learning Architectures for Predictive Beamforming and Detection in Real-Time
[NO] 1352/1755 | Robust Heart Disease Diagnosis via Multimodal Fusion of Clinical Records and Time-Series ECG Data
[NO] 1353/1755 | An Intelligent Waste Classification System Using CNN with IoT Integration for Smart Recycling Applications
[NO] 1354/1755 | A BERT-Based Intelligence-Driven Framework for Monitoring Illicit Activities on the Dark Web
[NO] 1355/1755 | Autonomous Agentic Cloud AI for Self-Healing and Resilient Supply Chain Orchestration
[NO] 1356/1755 | Knowledge Graph Recommendation with Relation-Enhanced Propagation and Multi-View Contrastive Learning
[NO] 1357/1755 | A Composable and Modular Framework for Protein Structure Prediction on HPC
[NO] 1358/1755 | A Quantitative Framework for Comparing Classical and Quantum Algorithms for the Traveling Salesman Problem
[NO] 1359/1755 | From Chatbot to Workflow: Technical Solutions for AI-Assisted Legislative Budget Analysis
[NO] 1360/1755 | HTR-Accel: An Energy-Efficient AI Accelerator With Hierarchical Temporal Reuse for Streaming Time-Series Signal Classification
[NO] 1361/1755 | Electric Current Field Navigation and Detection for Pulmonary Embolism Vascular Intervention based on Hybrid Electrodes
[NO] 1362/1755 | Parameter-Robust MPC With Antidisturbance Capability for PMSM Drives Under Local Demagnetization Fault: An Ultralocal Model Approach
[NO] 1363/1755 | Less Repetition, Less Energy Cost: A Reinforcement Learning-Based Multiagent Energy-Saving Autonomous Exploration System
[NO] 1364/1755 | IEEE Transactions on Plasma Science information for authors
[NO] 1365/1755 | EMR IEEE Journal of Practice
[NO] 1366/1755 | Stochastic Process Mining: Characteristics and Challenges_supp1-3715402.pdf
[NO] 1367/1755 | On Shor’s conjecture on the accessible information of quantum dichotomies
[NO] 1368/1755 | Mechanism Investigation of Thermally Activated Lanthanum Diffusion in Dipole-Last Gate-Stacks
[NO] 1369/1755 | Standardizing AI Trust in Communication Networks: Current Status, Open Issues and Future Directions
[YES] 1370/1755 | Tutorial on Power Side-Channel Attacks on Embedded Systems
[NO] 1371/1755 | Spatiotemporal Ambiguity-Driven System Parameter Design Method for Moon-Based SAR
[NO] 1372/1755 | Human-Cognitive Inspired Remote Sensing Change Detection Network
[NO] 1373/1755 | Short-Circuit Ratio Constrained Robust Unit Commitment with Grid-Forming Energy Storage: A Filter-Column-and-Constraint Generation Algorithm
[NO] 1374/1755 | A 2 × 2 240–270-GHz Transmitter Array With 33 dBm of EIRP in a 0.13-
                    <i>μ</i>
                    m SiGe Technology
[NO] 1375/1755 | Dual-Image Fusion with Attention Optimization for Composite Power Quality Disturbances Recognition: A BiFusion-Attention framework
[NO] 1376/1755 | Two-Stage Homotopic Learning for Data-Driven Cluster Consensus in Multiagent Systems
[NO] 1377/1755 | Design and Control Framework of Passive Back Support Exoskeletons for Agricultural Applications
[NO] 1378/1755 | Multi-Process Overlapping HARQ Durations for Periodic Time-Critical Communications under Nonzero ACK Delay
[NO] 1379/1755 | Adaptive Anti-Misalignment Control Strategy for EV Wireless Power Transfer System Based on P&amp;O Algorithm
[NO] 1380/1755 | Short-Term Electricity Load Forecasting Based on CNN-BIGRU-Attention Model with PCC and MIC Feature Screening
[NO] 1381/1755 | Isolated communities and the effectiveness of masks in controlling epidemic dynamics: an agentbased modeling study
[NO] 1382/1755 | Design and Key Applications of a Coal Mine Data Middle Platform Architecture
[NO] 1383/1755 | PID Tuning of Hydraulic Turbine Governor Using Tangent-Based Random Parameter PSO Algorithm
[NO] 1384/1755 | Image-Based Food Volume Estimation Using Monocular Depth Prediction
[NO] 1385/1755 | Lightweight DGA Domain Name Detection Model Based on Multi-Dimensional Feature Fusion and Attention Mechanism
[NO] 1386/1755 | Topology-Diversified Planning-Stage Siting of Grid-Forming Inverters With Post-Event Current-Proxy Feasibility Checks
[NO] 1387/1755 | Comparison of Oriented Si-Steel and Fe-Based Amorphous Alloy Core Transformers Under DC Bias
[NO] 1388/1755 | ML-Restricted QUBO for Multi-User mmWave Beam Selection
[NO] 1389/1755 | A High-Gain, Low-Noise Amplifier for W-Band Radar Applications
[NO] 1390/1755 | Assessment of Electric Load Flexibility at Shortprocess Steel Plants for Peak Shaving Services
[NO] 1391/1755 | Research on Multimodal Human-Computer Interaction Intent Recognition Algorithm Based on Deep Learning
[NO] 1392/1755 | A Novel Edge-Cloud Collaborative Framework for Real-Time Machine Learning in IoT Ecosystems: Performance Optimization and Security Analysis
[YES] 1393/1755 | A Unified Optimization Strategy for Area, Wirelength, and TSV Count Reduction in the Design of High-Density 3D Integrated Circuits
[NO] 1394/1755 | Continuous Control Set Model Predictive Current Control Based on Newton-Raphson Optimization in EV Application
[NO] 1395/1755 | A Study on Human-Machine Collaboration Models in Substation Operation and Maintenance
[NO] 1396/1755 | Hybrid Deep Learning Ensemble Framework for Early Detection and Classification of Blood Cancer
[NO] 1397/1755 | Research on Real-Time Multi-Vehicle Path Planning Method Integrating Multimodal Prediction
[NO] 1398/1755 | Analysis of Voltage-Frequency Coupling Characteristics of Sending-End System Under DC Faults
[NO] 1399/1755 | Synthetic Data for Training &amp; Evaluation in Financial Fraud Detection: An Oversampling-Powered KAN-XGBoost Framework with SHAP Interpretability
[NO] 1400/1755 | Sky vote: elevating elections to the cloud
[NO] 1401/1755 | VAST-Blockchain: Hybrid Ledger Anchoring for Verifiable Governance and Auditability of Aligned AI
[NO] 1402/1755 | Covariance-Aware Continuous Ranked Probability Score with Multiscale Ewma Monitoring for Industrial Process Faults
[NO] 1403/1755 | Hindi-English Machine Translation: A Comprehensive Comparative Analysis of Paradigms and Systems
[NO] 1404/1755 | When Does Quantum Computing Provide Advantage for Malware Detection? Structural Complexity and the Intermediate Complexity Window
[NO] 1405/1755 | Olfactory–Gustatory Changes Across the Lifespan and Healthy Aging
[NO] 1406/1755 | Information-Gated Truncated Unscented Kalman Filtering for Latent-State Estimation Under Poor Identifiability
[NO] 1407/1755 | The Impact of Intelligent Systems on Restructuring the Family Unit within Contemporary Societies
[NO] 1408/1755 | Design of a Two-Layer Concentric Ring Interdigital Capacitor (CRIDC) Chipless RFID for Soil Moisture Monitoring
[NO] 1409/1755 | Automatic Chart Generation in Rhythm Games Using Deep Learning: A Case Study on “Taiko no Tatsujin”
[NO] 1410/1755 | A Miniaturized Mm-Wave 38 GHz 5G Antenna Designed for IoT Applications with SAR Analysis
[NO] 1411/1755 | Evidence-Verified Root Cause Localization for Microservice Incidents under Tool and Telemetry Noise
[NO] 1412/1755 | Hybrid Physics-Informed and Stochastic Modeling for Nonlinear System Prediction: A Modular Algorithmic Framework
[NO] 1413/1755 | Uncertainty-Guided Iterative Refinement: Retinal Vessel Segmentation with Progressive Attention
[NO] 1414/1755 | A High-Concurrency Inference Service Framework for Large Language Models Based on Service Mesh and Model Pooling
[NO] 1415/1755 | Retraction Notice: Facial Recognition-Application and Future: A Review
[NO] 1416/1755 | Query Optimization in the Wild: Realities and Trends
[NO] 1417/1755 | Application of Large Language Model-Based Data Augmentation in Short Text Classification
[NO] 1418/1755 | KPCA-RAG: Kernel Principal Component Analysis for improved Retrieval-Augmented Generation
[NO] 1419/1755 | Robust Point Cloud Registration by Selecting the Highest Possibility
[NO] 1420/1755 | Analysis of Critical Electromagnetic Force Orders and Their Modulation Issues in Auxiliary Drive Induction Motors for Electric Vehicles
[NO] 1421/1755 | Authorship Attribution for Turkish Texts Using Transformer-Based Large Language Models and Deep Learning Approaches
[NO] 1422/1755 | Quantitative Modeling of Network Security Awareness via Questionnaire Analysis and Dimensionality Reduction Techniques
[NO] 1423/1755 | PGA-Track: Perception-Guided Asynchronous Fusion for Vessel Tracking via AIS and Video Modalities
[NO] 1424/1755 | GluConv: Toward Trustworthy Convolutional Modeling for Sequential Signal Forecasting
[NO] 1425/1755 | AI-Assisted Threat Scoring for Network Intrusion Detection Using Python-Based Lightweight Models
[NO] 1426/1755 | Method for Designing Lightweight Convolution Modules Based on Structural Reparameterization
[NO] 1427/1755 | Multi-Objective Multi-Verse Optimization of FreeSpace Optical Communication for 6G Networks
[NO] 1428/1755 | Adversarial Machine Learning Attacks and Defense Mechanisms in Renewable Energy System
[NO] 1429/1755 | Do Macroeconomic Indicators Consistently Improve AI-Based Market Direction Prediction? A Walk-Forward Comparison of XGBoost, LSTM, and TFT on the S&amp;P 500
[NO] 1430/1755 | Self-Supervised Contrastive Representation Learning for Multi-Stage Dental Caries Classification with Explainable AI
[NO] 1431/1755 | A multi-person pose recognition model based on YOLOv8-Pose
[NO] 1432/1755 | A Comparative Analysis of Machine Translation Tools for Technical and UI Texts
[NO] 1433/1755 | Development of the Sleepy Chatbot as an Interactive Medium for Sleep Quality Monitoring
[NO] 1434/1755 | Membership and Property Inference Attacks on text Data in Transfer Learning
[NO] 1435/1755 | Enhancing Cryptographic Pseudo-Random Number Generation with Generative Adversarial Networks and Post-Processing Techniques
[NO] 1436/1755 | Vision Model Scaling and Fusion for High-Precision UAV-Based Human Detection
[NO] 1437/1755 | AI Chatbot Effectiveness in Answering Student Inquiries for Academic Assistance
[NO] 1438/1755 | Multi-Center Generalization in Breast Ultrasound Deep Learning: Patient-Level Data Leakage and Cross-Dataset Evaluation
[NO] 1439/1755 | Decentralized Blockchain-Based Incident Reporting with Map-Based Visualization and AI Assistance
[NO] 1440/1755 | A Genetic Algorithm Approach to the Vehicle Routing Problem with Simultaneous Pickup, Delivery, and Cargo Loading (VRPSPD-CL) for Capacity Utilization and Distance Reduction in City Logistics
[NO] 1441/1755 | A Multi-Layer Intelligent Cyber Defense Mechanism Integrating Zero-Trust Principles for Secure Digital Payments
[NO] 1442/1755 | Effect of Visual Input on Postural Control Under Vestibular Degradation During Unstable Standing
[NO] 1443/1755 | Privacy-Aware Distributed RAG with Confidence-Aware Retrieval Routing
[NO] 1444/1755 | Mixed Methods Evaluation and Recommendations for ERP Accounts Payable Success and Maturity in a Multi-Business Company
[NO] 1445/1755 | Balancing Accuracy and Efficiency in Two-Stage Object-Level Waste Recognition: YOLOv11-Based Cropping with EfficientNet-B0 vs MobileNetV2 Classification
[NO] 1446/1755 | Semantic Co-creation Model in AI-Based Interactive Art: Redefining Human-Machine Collaboration in the Chinese Cultural Context
[NO] 1447/1755 | Automatic Lightning Detection from VIIRS/DNB Nighttime Low-Light Imagery Based on Deep Learning
[NO] 1448/1755 | A Circular Bounding Box Detection Algorithm Based on Improved YOLOv8 for Dense Fruit Images
[NO] 1449/1755 | A Comparative Research on Psychoacoustic Parameters of Asynchronous Motor Noise in New Energy Vehicles Collected by Microphone and Digital Artificial Head
[YES] 1450/1755 | Intelligent Bug Detection and Code Clone Identification for Efficient Software Development
[NO] 1451/1755 | A Comprehensive and Cohesive Multi-Stage Framework for Enhancing Data Quality in Medical Data Analysis
[YES] 1452/1755 | ML and Adaptive Pseudorandom Pattern Generator Based on LFSR for Built-In Self-Test
[NO] 1453/1755 | DSAF-YOLOv8: A Behavior Detection Algorithm for Dense and Occluded Multi-Person Scenes
[NO] 1454/1755 | Design and Phantom-Based Evaluation of a Compact UWB Vivaldi Antenna for Breast Microwave Sensing
[YES] 1455/1755 | Integrating Large Language Models into Cybersecurity: Prompt-Based Code Analysis
[NO] 1456/1755 | AegisPath: Privacy-Preserving Interdomain Data-Plane Verification with Versioned Verifiable Evidence
[NO] 1457/1755 | Embodying the Disney Method: A Multi-Avatar Conversational Interface for Structured Brainstorming
[NO] 1458/1755 | Comparing Intent Communication Modes for Instruction-based Image Editing
[NO] 1459/1755 | A Real-Time Voice Agent for Delivering Individual Cognitive Stimulation Therapy to Persons Living with Dementia
[YES] 1460/1755 | Code for Machines, Not Just Humans: Quantifying AI-Friendliness with Code Health Metrics
[YES] 1461/1755 | PIChecker: Automatic Privacy Detector for Third Party Libraries in Android Apps
[NO] 1462/1755 | A Linux Test Question Generation Method for Knowledge-Enhanced Large Language Models
[NO] 1463/1755 | The ADCB Pedagogical Framework for Supporting Learning in Heterogeneous PGT Computer Science Cohorts
[YES] 1464/1755 | Type-aware LLM-based Test Generation for Python Programs
[NO] 1465/1755 | Author Index
[NO] 1466/1755 | The SpiNNaker2 chip: a many-core platform for flexible and scalable brain-inspired computing_supp1-3714974.pdf
[NO] 1467/1755 | HPCC Benchmark Performance and Cost Analysis Across Commercial Cloud Spot Instances
[NO] 1468/1755 | A New Life: Stampede 2 Lives On In Uganda
[NO] 1469/1755 | MindRouter: Open-Source LLM Inference Gateway for Institutional AI Sovereignty
[NO] 1470/1755 | Variable-Center Robust Kernel Adaptive Filtering Based on the Maximum Generalized Cauchy Kernel
[NO] 1471/1755 | Software Defined Waveform for Interference Mitigation in Integrated Satellite-Terrestrial Networks
[NO] 1472/1755 | GWLSTM: A Spatial–Temporal Fusion Graph Wavelet LSTM for Trustworthy Open-Set Fault Diagnosis
[NO] 1473/1755 | Feel with Seeing: Cognition-Inspired Emotion Recognition via Multi-patch-based Attention Flow
[NO] 1474/1755 | An Accelerated Mixed Weighted-Unweighted MMSE Approach for MU-MIMO Beamforming
[NO] 1475/1755 | LSCENet-Based Channel Estimation for RIS-Assisted ISAC Systems
[NO] 1476/1755 | Enhancing Surface Water Quality Classification Performance Using Recursive Feature Elimination with Cross Validation
[NO] 1477/1755 | Optimal Operation of a Combined Heat and Power Microgrid Considering Sand Thermal Energy Storage
[NO] 1478/1755 | Design of a T-Network-Based Resonant Converter with Dual-Frequency CC/CV Operation for Battery Charging
[NO] 1479/1755 | Sensorless Control of Brushless Doubly-Fed Machines: A Review
[NO] 1480/1755 | An Extended κ-μkappa–mu Shadowed Fading Model with Cluster Imbalance
[NO] 1481/1755 | Trustworthy Predictive Maintenance: Physics-Informed XAI for Probabilistic RUL Estimation
[NO] 1482/1755 | A HybridBERT and Metadata Deep Learning for Robust Detection of Twitter Bots
[NO] 1483/1755 | Preface
[NO] 1484/1755 | FusionNet-GLD: A Dual-Backbone CNN Model Combining Xception and Inception for Grape Leaf Disease Recognition
[NO] 1485/1755 | Building an Open-Source PID Control System for Cryogenic System
[NO] 1486/1755 | Research on Machine Translation Model Construction Based on Feature Fusion of Pre-Trained Models
[NO] 1487/1755 | A Mean-Reverting Conditional Diffusion Model for Pulmonary LDCT Image Denoising
[NO] 1488/1755 | HardTVAE: Hardness-Aware Generation and Multi-View Fidelity Evaluation of Synthetic Tabular Data for Imbalanced Learning
[NO] 1489/1755 | AI-Driven Smart Travel Companion for Intelligent Tourism Assistance in Sri Lanka
[NO] 1490/1755 | Research on the Evaluation Method of Moisture State of Oil-Paper Insulation Based on Frequency Domain Dielectric Response Method *
[NO] 1491/1755 | Study on the AC Loss Characteristics of Quasi-Isotropic Superconducting Strands Based on an 8s+4c Square-Wire Configuration
[NO] 1492/1755 | Behavioral Fingerprint Analysis for Insider Threat Detection
[NO] 1493/1755 | Detection and Prevention of Spam, Phishing, and Misbehavior in Social Systems Using Machine Learning
[NO] 1494/1755 | Crop Evapotranspiration Forecasting for IoT-Based Smart Irrigation via a Data Science Review of Statistical, Machine Learning and Deep Learning Methods
[NO] 1495/1755 | Research on the Element Classification of Testing Scenarios for Automated Vehicles Based on the Deep Learning Method
[NO] 1496/1755 | Analysis of the Impedance Response of GrO–AgNP-Based Glucose Biosensor Strips Using the Randles Model
[NO] 1497/1755 | Electrocardiogram-Based Myocardial Infarction Detection System Using Ensemble Learning
[NO] 1498/1755 | Early Warning Assessment Method for Power and Energy Balance Based on Multi-Time-Scale Operation Simulation Under Uncertain Scenarios
[NO] 1499/1755 | Optimization of Monitoring Sensors and Development of Low-Power Wireless Multi-Source Data Acquisition Device for Steam Turbine Valves
[NO] 1500/1755 | System-Level Performance Analysis and Hardware Acceleration of Pre-processing in Edge AI Object Detection Pipelines
[NO] 1501/1755 | <i>G1Stack</i>
                    : A Learning-Assisted Scheduler Framework for Interactive and Batch Workload Co-location with High Resource Efficiency
[NO] 1502/1755 | Adversarial Robustness in Zero-Shot Learning: An Empirical Study on Class and Concept-Level Vulnerabilities
[YES] 1503/1755 | Configuration-Driven RTL Port Initialization with LLM-Assisted Inference
[NO] 1504/1755 | Logarithmic Chirp Identification and Decoupled Analytical Active Damping for Mid-Low Frequency Resonance in Dual-Inertia Servo Systems_supp1-3715682.mp4
[NO] 1505/1755 | Comparing the Ideation Quality of Humans With Generative Artificial Intelligence
[NO] 1506/1755 | Condition-Enhanced Guided Diffusion for Image Super-Resolution
[NO] 1507/1755 | Environment-Aware Jamming-Resilient UAV Routing Against Gray-Hole Attacks in Maritime Networks
[NO] 1508/1755 | An Enhanced Ultraviolet-Visible Photodetector Based on the All-In-One Integration of a Broadband Absorber and a-IGZO Thin Film Transistor
[NO] 1509/1755 | Power and Performance Scaling Trends in Modern Intel Xeon Server CPUs
[NO] 1510/1755 | A Scenario-Driven Evaluation of Wireless Sensor Network-Based Early Warning Systems for Landslide and Ground Subsidence Monitoring
[NO] 1511/1755 | An Assessment of Educators’ Digital Competence for Enhancing Sustainable Teaching and Learning Using the DigCompEdu Framework
[YES] 1512/1755 | From Hotspots to Path-Weighted Timing Exposure: A Cross-Layer Reliability-Exploration Framework for Systolic-Array Accelerators
[NO] 1513/1755 | Safeguarding Currency Integrity: A Deep Learning Approach to Counterfeit and Damage Detection
[NO] 1514/1755 | Learning-Based Ranking Models for Information Retrieval
[NO] 1515/1755 | AI-Enabled Digital Platforms for Infant Nutrition and Growth Monitoring: A Public Health Perspective
[NO] 1516/1755 | Resource-Efficient Task Placement and Offloading in Vehicular Fog-Cloud Environment
[NO] 1517/1755 | Crisis Management Models for Cyberattacks Leveraging ML-Driven Detection Mechanisms
[NO] 1518/1755 | Asthma Attack Prediction Using Deep Learning on Multimodal Time-Series Data
[NO] 1519/1755 | Policy-Aligned Autonomous Data Pipelines in Higher Education: A Governance-First Approach to Self-Healing Systems
[NO] 1520/1755 | ACC6G 2026 Cover Page
[NO] 1521/1755 | Analysis of Factors Influencing Utilization Rates of EV Charging Stations in Thailand
[NO] 1522/1755 | Towards An Agentic Architecture for the Governance of Heterogeneous and Multimodal Data
[NO] 1523/1755 | Active Frequency Support Control for Offshore Wind farms Integrated via Hybrid MMC in Series with Diode Rectifier Converter
[NO] 1524/1755 | Multiplier-Free LLM Linear Layers via Weights-Only Power-of-Two QAT
[NO] 1525/1755 | Impact of Electronic Submission Format on Pharmaceutical Regulatory Approval Timelines
[NO] 1526/1755 | LLM-Enhanced Transformer Self-Learning Framework for Dynamic Power Allocation in High-Throughput Satellite Communications
[NO] 1527/1755 | Intra-Foot Energy Recycling Enhances Gait Economy in a Low-Profile Passive Foot Exoskeleton_supp2-3715671.docx
[NO] 1528/1755 | A Hybrid Dynamic Subarray Architecture for Efficient DOA Estimation in THz Ultra-Massive Hybrid MIMO Systems
[NO] 1529/1755 | Blockchain-Driven Framework for Secure and Transparent Supply Chain Operations
[NO] 1530/1755 | Research on Improved PointNet++ for Multi-Scale 3D Modeling in Live-Line Work Scenarios
[NO] 1531/1755 | Research on Intelligent Optimization and Fault Prediction of Thermal Management System for New Energy Vehicles Integrating Digital Twin and Transfer Learning
[NO] 1532/1755 | AI-Driven Channel State Prediction and Dynamic Resource Allocation Method for 5G-A Sensor-Sensing Integration
[NO] 1533/1755 | ShadowGuard: An Agentic Edge Framework for On-Device Detection of Mobile Dark Patterns
[NO] 1534/1755 | A Long-Short Term Synergistic Trading Optimization Model for Northern Heating-Type Integrated Energy Systems Considering Basic Energy Supply
[YES] 1535/1755 | Shazam4Code: An explainable method for detecting derivative clones for ensuring code providence
[NO] 1536/1755 | A Blockchain Anomaly Transaction Detection Method Based on GCN and SE Attention Mechanisms
[NO] 1537/1755 | Multi-Output Object Detection Network for Automated Categorization and Grading of Steelmaking Defects
[NO] 1538/1755 | Temperature Variation Characteristics of Water Wall Outlet Temperature During Cold Start of a 1000 MW Ultra-Supercritical Boiler
[NO] 1539/1755 | Building an Efficient Recommender System Using AI and Dynamic Multi-Preference for Structural Balance
[NO] 1540/1755 | Optimized Resource Allocation for Profit Maximization in Vehicular Fog and Edge Computing Systems
[NO] 1541/1755 | Adaptive Virtual Impedance Voltage Support Strategy of Grid-Forming Energy Storage for Mountainous Weak Distribution Networks
[NO] 1542/1755 | Spatial Mineral Distribution Analysis of Tooth Enamel Using Micro-XRF and Dental Imaging for Early Caries
[NO] 1543/1755 | XPLAIN: A Proactive Scaffold Across Speech Processing Stages---Supporting Non-Native Speakers in Real-Time AI-Mediated Turn-Taking
[NO] 1544/1755 | Reminiscences on Influential Papers
[NO] 1545/1755 | 2026 5th International Symposium on New Energy Technology Innovation and Low Carbon Development (NET-LC)
[NO] 1546/1755 | VTLoc: Learning-Based Tactile Contact Localization in Visual Point Clouds_supp1-3715029.mp4
[NO] 1547/1755 | A Semi-Active Ankle Prosthesis with Automatic Transitions Between Passive and Active Modes_supp4-3713999.pdf
[NO] 1548/1755 | Effect of Microneedle-Induced Pore Architecture on Electrochemical Performance of Dry-Processed NMC811 Cathodes_supp1-3714399.docx
[NO] 1549/1755 | NET-LC 2026 Content Announcement Page
[NO] 1550/1755 | BDPC 2026 Cover Page
[NO] 1551/1755 | ICIPAI 2026 Author Information Page
[NO] 1552/1755 | Development and Characterization of an Acoustic Levitation-Based Self-Rotated Transportation System_supp3-3711444.mp4
[NO] 1553/1755 | Shielding Mobile Battery from Middlebox Timeouts via Server-Driven Zero-Wakeup Keep-Alives
[NO] 1554/1755 | Rethinking MoE Routing for Commodity GPUs
[NO] 1555/1755 | TurboLearn: Harnessing Accurate and Line-Rate Deep Learning on Programmable Switches
[NO] 1556/1755 | Measuring Machine Learning Systems: Deep Learning Recommendation Model Performance
