[2026-04-01 22:38:16] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-03-31
正在获取论文...
[arXiv] 2026-03-31 | Industrial Policy with Network Externalities: Race to the Bottom vs. Win-Win Outcome
[NO] 1476/1933 | Analyzing the Impact of Time-Marked Twitter Sentiment on Intraday Stock Prices Using ARIMA Models: A Case Study of Nvidia and Microsoft
[NO] 1477/1933 | Leveraging Synthetic Multimodal Health Data and Federated Learning to Develop Explainable ML Models for Population-Level Precision Medicine
[NO] 1478/1933 | Bio-Inspired Ultra High Frequency (UHF) Sensor Design for Partial Discharge Measurement in High Voltage Apparatus
[NO] 1479/1933 | Temporal-Aware Crowd Anomaly Detection Framework for Violence Recognition Under Video Frame Discontinuities
[NO] 1480/1933 | Research on Wireless Communication Based on Quantum Cryptography Technology
[NO] 1481/1933 | Experimental Investigation to Find the Potential of Regenerative Suspension System Using Piezoelectric Energy Harvester
[NO] 1482/1933 | StarGS: Towards Real-Time Dynamic Scene Rendering via Gaussian Splatting with Spatiotemporal-Aware Density Control
[NO] 1483/1933 | A Framework for Digital Twin Runtime and Lifecycle Management
[NO] 1484/1933 | SRE-Med: A Saliency-Aware Illumination Preprocessing Pipeline for Medical Imaging AI Models
[NO] 1485/1933 | Detection of False Data Injection Attacks in Interconnected Power Networks Using Hybrid Deep Learning Approach
[NO] 1486/1933 | Research on Automatic Verification of Safety Risks of Secondary Operation Equipment in Smart Substation
[NO] 1487/1933 | Joint Passive Beamforming and Power Control for Full-Duplex Two-Way Wireless Systems Aided by Intelligent Reflecting Surface
[NO] 1488/1933 | Evaluating Digital Twin Visualizations for Safety and Trust in Robot-Assisted Dressing
[NO] 1489/1933 | XRFlow: Visualizing Metrics and Insights for Extended Reality
[NO] 1490/1933 | A Multi-modal Fusion Approach for Drug Discovery and Efficacy Prediction
[NO] 1491/1933 | Explainable AI-Driven Smart Home Surveillance for Real-Time Anomaly Detection
[NO] 1492/1933 | Dynamic Portfolio Allocation in Algorithmic Trading Using Sentiment Analysis
[NO] 1493/1933 | Performance Analysis of Biosensor of Inverted T Stack Gate Dielectric GaAs Based FinFET
[NO] 1494/1933 | Research on Sports Digital Quality Monitoring Algorithm Based on Deep Learning
[NO] 1495/1933 | A Hybrid Spatial-Frequency Approach for Writer-Specific Handwriting Generation
[NO] 1496/1933 | CNN-Based Automated Diagnosis and Grading of Diabetic Retinopathy from Fundus Images
[NO] 1497/1933 | Measurement of Electrical Conductivity of Pressurized Gaseous Helium at Cryogenic Temperature
[NO] 1498/1933 | Semi-AI Approach for RSRP Prediction with Closed-Form Coverage Preservation in Cellular Networks
[NO] 1499/1933 | FITS in Electric Bicycle
[NO] 1500/1933 | A Survey on DQN-Based MAC Protocols for Wireless Networks
[NO] 1501/1933 | CS-UNet++: A Cell Segmentation Network Based on Attention Mechanism
[NO] 1502/1933 | Feline Emotion Recognition Using Deep Learning: A Comprehensive EfficientNet-B0 Framework for Multi-Class Sentiment Analysis in Domestic Cats
[NO] 1503/1933 | TSAFN: Temporal Spatial Attention Fusion Network of Alzheimer's Disease Classification in MRI
[NO] 1504/1933 | Design of Fuzzy Sliding Mode Observer with Saturation Function for Sensorless PMSM
[NO] 1505/1933 | Research on the Adaptive Mechanism of Ui Visual Interaction Integrating Computer Vision and User Behavior Analysis
[NO] 1506/1933 | Enhancing Occupational Safety Through Yolov12-Based Ppe and Hazard Detection
[NO] 1507/1933 | Reinterpreting ECG Signals as Images: A Vision-Centric Approach to Cardiac Health Assessment
[NO] 1508/1933 | Prediction Correction Enabled Power-Angle Stability Analysis for Stochastic Excitations-Disturbing OMIB Power System
[NO] 1509/1933 | From Digital Business Strategy to Consumer Loyalty: A Bibliometric Mapping of the Engagement Landscape
[NO] 1510/1933 | Automatic segmentation of temporal lobe epilepsy resection Cavity based on deep learning model
[NO] 1511/1933 | Review of AI-Based Lane and Obstacle Detection Techniques for Embedded Automotive Systems
[NO] 1512/1933 | Archives of Low-Illumination Image Enhancement Methods Based on Generative Adversarial Networks
[NO] 1513/1933 | Design of Intelligent Shopping Cart Control System
[NO] 1514/1933 | A Dual-Branch Network for Classifying Pulmonary Disease Using Flow-Volume Loops
[NO] 1515/1933 | Dimensionality and randomness
[NO] 1516/1933 | AGInformer: Adaptive Graph-Informer Framework for Stock Return Prediction
[NO] 1517/1933 | Research on Pricing and ESG Investment in the Apparel and Textile Supply Chain Considering Nash bargaining Fairness Concerns under the Context of Consumer Down-scaling
[NO] 1518/1933 | Practical AI Approaches for Community Infection Early Warning: From Public Data to Actionable Insights
[NO] 1519/1933 | From “Technical Tools” to “Governance Embedding”: Research on the Construction of a Trusted Ecosystem for AI-Enhanced Community OA Collaborative Governance
[NO] 1520/1933 | Research on the integrated development of intangible cultural heritage and tourism in northern Guangxi based on DBSCAN clustering
[NO] 1521/1933 | A review of the methods for Qiaopi digital management
[NO] 1522/1933 | Enhancing University Teachers’ Digital Literacy through K-Means Clustering and Data-Driven Grouping
[NO] 1523/1933 | Cyberattack Detection and Classification using New Custom Filter Design and Explainable-Deep Learning in Cyber-Physical Systems
[NO] 1524/1933 | Deep-Q-Learning-Based Proportional-Integral Event-Triggered Fuzzy Output Control of Variable Speed AGVs Via Proportional-Integral Observer
[NO] 1525/1933 | Switching Constrained OCO with Predictions and Feedback Delays
[NO] 1526/1933 | ICAFT 2025 Copyright Page
[NO] 1527/1933 | Proceedings
[NO] 1528/1933 | Cover Page
[NO] 1529/1933 | IGDMRec: Behavior Conditioned Item Graph Diffusion for Multimodal Recommendation
[NO] 1530/1933 | Chemical-Disease-Gene Association Prediction based on Pretraining-Prompt-Finetuning Heterogeneous Graph Neural Network for Drug Discovery
[NO] 1531/1933 | IEEE Society on Social Implications of Technology
[NO] 1532/1933 | Machine Learning Models for Analyzing FBG Pressure Sensor Data in Monitoring Leak in Water Pipeline
[NO] 1533/1933 | Standalone Augmented Reality Neuronavigation System for Accurate Pulse Delivery in Transcranial Magnetic Stimulation
[NO] 1534/1933 | Dictionary Multi-Modal Temporal Graph Learning
[NO] 1535/1933 | KICGPTv2: Large Language Model with Knowledge in Context for Knowledge Graph Completion_supp1-3674507.pdf
[NO] 1536/1933 | Enhanced Approaches for Anomaly Detection in Streaming Data: Coupling Gaussian Distributions with Space Trees and Adaptive AutoEncoders
[NO] 1537/1933 | A Lightweight GBM Based Approach for Dynamic QoS Management in Embedded Systems
[NO] 1538/1933 | Data-Driven Forecasting for Drug Control Through Predictive Modeling of Heroin Cases in Sri Lanka
[NO] 1539/1933 | Multi Class ECG Arrhythmia Detection Using Scalogram and Deep Learning
[NO] 1540/1933 | A Purechain-Protected Ai-Based Misbehaviour Detection System for Iov
[NO] 1541/1933 | A Comprehensive Authenticated Dataset of Brahmi Script Characters for Recognition
[NO] 1542/1933 | Study and Implementation of a Partial Discharge Detection System: An Optimized Front-End Circuit for Continuous Monitoring
[NO] 1543/1933 | Estimation of Metal Concentration from Hyperspectral Data Using a Convolutional Neural Network
[NO] 1544/1933 | Research on Collaborative Optimization Scheduling of Energy Storage and New Energy Based on Particle Swarm Optimization Algorithm
[NO] 1545/1933 | ProDoKE: An LLM-Guided Prompt Chaining with Domain Knowledge for Depression Detection
[NO] 1546/1933 | Evolutionary Optimization for Low-Voltage, Wide-Temperature Range SRAM Cell Designs
[NO] 1547/1933 | SocraTeach: AI Powered Personalized Mentor for Socratic Learnings
[NO] 1548/1933 | A Lightweight Vehicle Detection Model for Complex Traffic Scenarios
[NO] 1549/1933 | Spiking neural P system with voltage-gated ion channels
[NO] 1550/1933 | TuckerDiff: Fusing Tucker Decompositi on in Diffusion Model for High-Fidelity Radar Point Cloud Generation
[NO] 1551/1933 | Multi Variant Deep Transfer Learning Analytics Model for Improved Health Care Solution Using Big Data
[NO] 1552/1933 | A Modified RRT-Connect-Based Approach to Motion Planning for Manipulators
[NO] 1553/1933 | Complexity vs. Prevalence Assessment for Prediction Steps for VVenC Encoding Profiles
[NO] 1554/1933 | A Predictive Framework for Fault Vulnerabilities in Edge Hardware Accelerators
[NO] 1555/1933 | Anomaly Detection Methods in Social Networks
[NO] 1556/1933 | Edge-Accelerated Monocular Depth Estimation: A Quantized U-Net on Kria KV260 for Real-Time Interior Scenarios
[NO] 1557/1933 | Nonlinear Control of a Rigid Multi-Degree-of-Freedom Electromechanical Plant
[YES] 1558/1933 | A Short Review of Buffer Overflow Attack and its Prevention
[NO] 1559/1933 | Design and Performance Evaluation of a Compact Dual-Band Patch Antenna for IoT-Enabled Smart Wireless Applications
[NO] 1560/1933 | The Future of Cloud Data Engineering: Multi-Tenant, Multi-Region Pipelines Leveraging LLM-Powered Data Governance
[NO] 1561/1933 | Hybrid Quantum-Attention Fusion Network for Stroke Lesion Segmentation and Explainable Prognosis Using CT–MRI Integration
[NO] 1562/1933 | Cooperative Multi-LiDAR Deployment Using Decentralized Multi-Agent Reinforcement Learning
[NO] 1563/1933 | Research on Excitation Waveform Classification and Core Loss Prediction Based on Random Forest Model
[NO] 1564/1933 | Comparative Analysis of Silkworm Incubator Based on Arduino UNO and Spartan-3E
[NO] 1565/1933 | Method for Determining the Polarization of LFM Probing Pulses of Airborne Radars in an Autocorrelation Receiver of Information and Control Systems
[NO] 1566/1933 | Rate Maximization for RIS-Aided System Based on Step Size Prediction Networks
[NO] 1567/1933 | Uncovering Hidden Biases in Hydropower: Why Detailed Inflow Data is Crucial for Energy System Optimization Models
[NO] 1568/1933 | Agentic AI in Network Slicing
[YES] 1569/1933 | An LLM-Assisted Fuzz Testing Framework for Unmanned System Software
[NO] 1570/1933 | IoT-Based Real-Time Gesture Talk System for Hand Sign Recognition in Speech and Hearing Impairments Using Cloud Computing
[NO] 1571/1933 | The Use of Virtual Reality for Training Automated Control System Operators on Digital Twins
[NO] 1572/1933 | Compressor-Based Adaptive Approximate Multiplier with MFA and Clock Gating for Reduced Latency in Neural Network Applications
[NO] 1573/1933 | Algorithmic Midwifery: Benchmarking Machine Learning Models for Intelligent Fetal State Classification
[NO] 1574/1933 | INTELLI-BDC: Intelligent Bidirectional DC—DC Converter for Optimized EV Battery Management
[NO] 1575/1933 | Advanced Feature Engineering and Machine Learning for Simultaneous Cyber Attack Detection in Smart Digital Substations
[NO] 1576/1933 | GraphDistill-TI: A Temporal-Structural-Aware Data Distillation Framework for Fine-tuning Threat Intelligence LLMs
[NO] 1577/1933 | Review of Cyber Security Challenges &amp; Solutions in Cloud Networks
[NO] 1578/1933 | CRESS 2025 Contributor Page
[NO] 1579/1933 | Resilient Reinforcement of CPSs against Sparse Sensor Attacks by Prior Information Decomposition
[NO] 1580/1933 | MindMorph: An Integrated Framework for Myers-Briggs Personality Classification Through Multi-Source Data Fusion and Advanced Ensemble Techniques
[NO] 1581/1933 | TEE-Based Privacy-Preserving Arbitration for Dynamic Heterogeneous Redundancy in Industrial Control Systems
[NO] 1582/1933 | PhysiKKT-Net: A KKT-based Neural Network with Guaranteed Compliance for Real-Time Power Flow Analysis
[NO] 1583/1933 | Section 2. Information Security
[NO] 1584/1933 | Minimizing Total Cost for Power Grid Energy Distribution
[NO] 1585/1933 | Blockchain-Enabled Decentralised Architecture for Biomedical Data Governance
[NO] 1586/1933 | MsGA: Gestational Age Estimation with Multi-plane Unified Measurements Driven by Anatomic Segmentation
[NO] 1587/1933 | The use of artificial intelligence requires increasing criticality
[NO] 1588/1933 | GMPPO: Guided Model Predictive Path Optimization for Mobile Robots in Obstacle-Constrained Environments
[NO] 1589/1933 | RippleVision: Unobtrusive Gaze-Dependent Guidance via Directed Wave Motion in Virtual Reality
[NO] 1590/1933 | Perceive, Adapt, and Interact: An Intelligent Virtual Agent for Education in Mixed Reality
[NO] 1591/1933 | Robust Visual Servo Control with Visibility Constraints for High-Dynamic Landing of Quadrotors
[NO] 1592/1933 | Energy-Conserving Event-Triggered Intermittent Control for Multi-Spacecraft Attitude Coordination
[NO] 1593/1933 | Facial Expression Recognition for Chinese Elderly Using Edge and Semantic Features Dual Path Network With Two-Step Transfer Learning
[NO] 1594/1933 | Anomaly Detection Algorithm for Hyperspectral Images Based on Gabor Constraint Collaborative Representation
[NO] 1595/1933 | Cross-Frequency Implicit Neural Representation with Self-Evolving Parameters
[NO] 1596/1933 | Intrinsic Reward-Driven SAC-IRCNet: A Novel Energy-Saving Control Method for HVAC Systems
[NO] 1597/1933 | Table of Contents
[NO] 1598/1933 | Two-Dimensional Model-Free Off-Policy Optimal Iterative Learning Control for Time-Varying Batch Systems
[NO] 1599/1933 | Photonic Sampler for mmWave Signals up to 70 GHz Using a 1-GHz MLL and a Silicon PIC
[NO] 1600/1933 | A Multi-Scale Perimeter Control and Route Guidance System for Large-Scale Road Networks
[NO] 1601/1933 | Performance Enhancement of the DMS Filter on SiC Substrate Using Intermediate Reflecting Grating
[NO] 1602/1933 | CCTformer: Calibrated Context-aware Transformer for Correspondence Pruning
[NO] 1603/1933 | Comparing the Humanness of Machine-Generated and Human-Authored Text
[NO] 1604/1933 | Redefining Machine Learning Models Performance: What matters?
[NO] 1605/1933 | Characterization of FDSOI Technology for Energy-Efficient Cryo-CMOS Circuits
[NO] 1606/1933 | Novel Switching Frequency Injection Sensorless Control for SPMSM in Finite-Control-Set Deadbeat Predictive Current Control
[NO] 1607/1933 | A Three-layer AI-driven Image Filtering for Efficient LEO Satellite Remote Sensing
[NO] 1608/1933 | Purpose-Driven Data Sanitization for Secure AI/ML Applications in Next Generation Mobile Networks
[NO] 1609/1933 | Data-Driven Motion Planning for Uncertain Nonlinear Systems
[NO] 1610/1933 | Multifocal metalens for photodetector arrays based on material library fitting
[NO] 1611/1933 | Quantifying Computational Reliability of Task Assignment in Extreme Edge Computing
[NO] 1612/1933 | PointRL: Reinforcement Learning-Based Approach for Air-Ground Communications Using Multi-Dimensional Target Sensing Point Cloud
[NO] 1613/1933 | High-Resolution Spatial Downscaling of Multi-Frequency Brightness Temperature in Global Mare Basalts on the Moon
[NO] 1614/1933 | Period-Two Dynamics of an Optically Injected Semiconductor Laser for Range-Sensitive Resonance Detection
[NO] 1615/1933 | Front Cover
[NO] 1616/1933 | Enhanced Dynamic Representation via Gradient-Motion Modeling for Micro-Expression Recognition
[NO] 1617/1933 | A Vibration Suppression Method Based on Anisotropic Wedge for FSCW-PMSMs
[NO] 1618/1933 | Voltage-dependent Capacitance as a Measure of Pore Accessibility of Supercapacitor Electrodes_supp1-3677937.pdf
[NO] 1619/1933 | Message from the General and Program Chairs: CW 2025
[NO] 1620/1933 | Tutorials
[NO] 1621/1933 | Organizing Committee
[NO] 1622/1933 | Blockchain-Based Auditable Power Data Sharing Scheme
[NO] 1623/1933 | Table of Contents
[NO] 1624/1933 | Bias-Compensated Maximum Quaternion Correntropy for Adaptive Filtering
[YES] 1625/1933 | ADODroid: A Static Detection Model for Android Malware Based on GCN and BiLSTM
[NO] 1626/1933 | E-GPT: A Multi-Agent LLM Framework for Intelligent Educational Assistance
[NO] 1627/1933 | AI-based Emergency Help Service
[NO] 1628/1933 | Electricity Price Forecasting Using BiLSTM Model with Carbon Market Correlation
[NO] 1629/1933 | PPDFP: Privacy-Preserving Data Filtering Protocol for Large-Scale ID Alignment of Vertical Federated Learning
[NO] 1630/1933 | Day-ahead Scheduling and Reserve Optimization Strategy for Renewable Energy
[YES] 1631/1933 | Detecting Test Case Smells Using Prompt Engineering: An Empirical Study in Industry
[NO] 1632/1933 | A Multi-Modal AI Framework for Exotic Fruit Classification and Soil Suitability Mapping Using Deep Learning and Agro-Environmental Data
[NO] 1633/1933 | Motion-Robust Vital Signs Detection Using Millimeter-Wave FMCW Radar Based on DCT-Wavelet Compressed Sensing*
[NO] 1634/1933 | Self - Organizing LoRa Network Based Ocean Observation Platform
[NO] 1635/1933 | EfficientNetB0-based Feature Extraction for Single and Double-Hand Mudra Recognition
[NO] 1636/1933 | Computational Applications empowering Sports Education: A Bibliometric study from 2020 to 2025
[NO] 1637/1933 | Enhancing Dental Polymer Formulation through Interpretable Machine Learning: A Comparative Analysis of Feature Selection and Algorithm Performance
[NO] 1638/1933 | Tourism Resource Allocation Optimization in Peak Season Based on Statistical Analysis Methods
[NO] 1639/1933 | Enhancing Food Delivery Efficiency Using Machine Learning and Deep Learning for Predictive Delay Classification
[NO] 1640/1933 | A Tripartite Evolutionary Game Study of Blockchain-Empowered Corporate Greenwashing Governance
[NO] 1641/1933 | Strategic Positioning and Financial Resilience: An Integrated Enterprise Management Framework Using Explainable Machine Learning
[NO] 1642/1933 | Learning User Driving Preference from Intervention Trajectories via an Integrated Inverse Reinforcement Learning and Reinforcement Learning from Demonstrations Framework
[NO] 1643/1933 | Research on Classroom Student Abnormal Behavior Detection System Based on Improved YOLOv10 Model
[NO] 1644/1933 | StyleGAN-CLIP Cross-Modal Generative Model Based Automatic Design and Dissemination Effect Optimization for Regional Culture-Oriented Apparel Patterns
[NO] 1645/1933 | A Transient Stability Assessment Model Based on the Broad Learning System
[NO] 1646/1933 | A Hybrid LSTM-VGG16 and Fuzzy Logic Framework for Illegal Land Occupation and Flood Damage Assessment from Satellite Imagery
[NO] 1647/1933 | MultiMotion: A Scalable Multi-Person Interactive Motion Generation Framework
[NO] 1648/1933 | Stock Trading Prediction Based on the DQN Series Algorithm
[NO] 1649/1933 | Explainable Hybrid PSO-SVM Framework for EEG-Based Cognitive Confusion Detection
[NO] 1650/1933 | A Deep Learning-Based Method for Separating Overlapping ADS-B Signals in Continuous Single-Antenna Reception
[NO] 1651/1933 | Bengali Speech Based Medical Assistant Using Retrieval Augmented Generation for Symptom-Based Diagnosis and Treatment
[NO] 1652/1933 | Numerical Modeling of Radiosonde-Assisted Compact Ranges for Electromagnetic Propagation under Atmospheric Variability
[NO] 1653/1933 | Strengthening Password Security in Virtual Learning Environments: An Analysis of Protocols, Compliance, and User Behavior
[NO] 1654/1933 | Blue Finance Policy for Sustainable Development Goals: An Evidence-Based Approach
[NO] 1655/1933 | An Exploratory Study of User Perceptions of Information Across Social Media Platforms
[NO] 1656/1933 | Parameter-Efficient Federated Multimodal Alignment Tuning for Heterogeneous Clients
[NO] 1657/1933 | Automated Brain Tumor Detection and Segmentation using Rob flow annotation &amp; YOLOv11 Model
[NO] 1658/1933 | Problem Formalization and Benchmarking of Multimodal Learning for Text, Image, Audio, and Video Understanding to Promote Inclusive and Sustainable Knowledge Access
[NO] 1659/1933 | Perceptual Quality Assessment of Compressed Vibrotactile Signals Based on Weber–Fechner Threshold Adjustment
[NO] 1660/1933 | PC-CDS: Real-Time Secure Authentication and Intelligent Steering for Hybrid TN-NTN Networks
[NO] 1661/1933 | A Hybrid Deep Learning-Based Remaining Useful Life Prediction for Industrial Motors
[NO] 1662/1933 | Design and Implementation of a Bifacial Solar-Powered Water Pumping System Using Boost Converter for Off-Grid Homes
[NO] 1663/1933 | Intelligent Resume Analysis and Skill Matching Using NLP
[NO] 1664/1933 | An ML Model to detect Cyber-attacks for Wireless Sensor Networks in Microgrids
[NO] 1665/1933 | Research on Ceramic Product Classification and Localization Algorithm Based on Deep Learning
[NO] 1666/1933 | MMS-DETR: Fusing State Space Model and Mixed Aggregation for Small Object Detection on USVs
[NO] 1667/1933 | An Efficient Anaphora Resolution Framework for Text Summarization
[NO] 1668/1933 | ATPG-Compliant Digital Modeling of MRAM for Cell-Aware Testing
[NO] 1669/1933 | Saliency-Guided YOLO11 for Robust Player Detection in Counterstrike 2 Game Scenes
[NO] 1670/1933 | Benchmarking CNN Components in EZKL: A Layer-Level Analysis for EVM-Compatible Deployment
[NO] 1671/1933 | Study on the Armour Loss of Three-Core Submarine Cables
[NO] 1672/1933 | Study of Fault Location in Distribution Network with Inverter-Based Distributed Power Supply
[NO] 1673/1933 | Dispatch Algorithm for Power Service Repair Resources Based on Multi-Source Data Fusion
[NO] 1674/1933 | Human-Centric Digital Leadership and e-HRM Effectiveness in Emerging Economies: A Post-Digital Transformation Perspective
[NO] 1675/1933 | Improved Droop Control Strategy for Islanded Operation of Energy Storage Converter for Underground Local Ventilation Fan
[NO] 1676/1933 | Comparative Analysis of Classical and Genetic Algorithm Based Portfolio Optimization Using Historical Stock Data
[NO] 1677/1933 | Field Oriented Control of PMSM Drive: A Comparative Study of Sinusoidal and Space Vector Pulse Width Modulation Techniques
[NO] 1678/1933 | Developer Sentiment in Open Source: Effects of Commit Frequency, Time, and Issue Characteristics
[NO] 1679/1933 | Design of a Rehabilitation Device for Hand Grip and Wrist Mobility with an Interactive Interface and IoT Capabilities
[NO] 1680/1933 | A Comprehensive Review of Antenna Metamaterial Structures for Wireless IoT Applications
[NO] 1681/1933 | Design and Implementation of Pulse Signal Analyzer Function on Spectrum Analyzer
[NO] 1682/1933 | Dynamic Spectrum Allocation via Quantum-Driven Learning for Cognitive Radio Systems
[NO] 1683/1933 | Research on Vehicle Multi-Working-Condition Braking Force Detection Platform Based on Particle Swarm Optimization Algorithm
[NO] 1684/1933 | HHM-UNet: Hierarchical Heterogeneous State Space Modeling for Residential Floor Plan Semantic Segmentation
[NO] 1685/1933 | Efficient Spectrum Utilization in Cognitive Radio Networks Using Advanced Cluster-Assisted Spectrum Sensing Techniques
[NO] 1686/1933 | Real-Time Multilingual Chat Translator
[NO] 1687/1933 | Hierarchical Session-Aware Recommendation Model Based on Temporal Reasoning
[NO] 1688/1933 | Research on Multi-Dimensional Prediction Methods Based on Random Forest and Xgboost Algorithms
[NO] 1689/1933 | A Spatial-Temporal Learning Framework for Robust Deepfake Video Detection
[NO] 1690/1933 | Technology Trend Forecasting and Idea Support Incorporating Generative AI Using Patent Information
[NO] 1691/1933 | Visualization and Search Method for Secondary Full Circuit of Substation Based on SDD and Forward-Probing and Backward-Tracking Search Algorithm
[NO] 1692/1933 | A Multidimensional Data Warehouse Approach to Exploring the Poverty's Role in Child Abuse and Teenage Pregnancy in Sri Lanka
[NO] 1693/1933 | Asymmetric Impact of Oil Price Shock on Main Islamic Stock Indices: An MTNARDL Analysis
[NO] 1694/1933 | Research on Chinese News Text Classification Based on Improved TF-IDF and MNB
[NO] 1695/1933 | Phishdet: an Online Phishing Detection System Based on Cnn Model
[NO] 1696/1933 | Blockchain-Enabled Secure Data Sharing in Cyber-Physical Systems: A Comparative Study
[NO] 1697/1933 | A Multi-Model Deep Learning Technique for Detecting Malicious Network Traffic
[NO] 1698/1933 | Deep Learning-Powered Probing Architecture for Intelligent Anomalous Event Tracking
[NO] 1699/1933 | Quantum Computing Approaches for Option Pricing Models
[NO] 1700/1933 | Neural Machine Translation in English to Tamil Using Parameter-Efficient Fine-Tuning
[NO] 1701/1933 | Optimizing the Accuracy of Spam Filtration Techniques Through Q-Learning
[NO] 1702/1933 | Data-Driven Classification and Recognition Algorithm for Traditional Chinese Architectural Styles
[NO] 1703/1933 | Dual-Lane Voice-Preserving Real-Time Speech Translation: A System Architecture for Cross-Lingual Speaker Identity Retention
[NO] 1704/1933 | Thermal Consequences of the 5GHz Wi-Fi Frequency Electromagnetic Field on Humans
[NO] 1705/1933 | Research on Interactive Optimization Model of Educational Robot Based on Speech Recognition in Oral English Teaching
[NO] 1706/1933 | Motion Trajectory Prediction and Multi-View Synthesis Based on CycleGAN
[NO] 1707/1933 | A Hybrid BiLSTM–Transformer–Attention Model for Speech Emotion Recognition
[NO] 1708/1933 | Explainable Heart-Disease Risk Prediction Through Boosting-Based Classification and Shap-Guided Clinical Feature Interpretation
[NO] 1709/1933 | Exploring Spatial Redundancy for Boosting the Performance of Stochastic Adcs in Deep Nanometer Cmos
[NO] 1710/1933 | Research on Decision-Level Fusion Algorithm for Unmanned Surface Vehicle Object Detection
[YES] 1711/1933 | Optimized Arithmetic Architecture in Cryptographic Processor for IoT Embedded System
[NO] 1712/1933 | Transformer-Based NLP Models for Predictive Consumer Behavior Analysis
[NO] 1713/1933 | Comparison of YOLOv8 and RT-DETR for Road Damage Detection
[NO] 1714/1933 | Optimization Model of AIGC Mainstream Ideology Communication Strategy Based on Intent Deconstruction
[NO] 1715/1933 | CSDSM: A Multi-Layered Cybersecurity Framework for Threat Detection and Mitigation in Social Media
[NO] 1716/1933 | Hybrid Blockchain-Assisted Federated Learning Intrusion Detection System for DoS Attacks in UAV Sensor Network
[NO] 1717/1933 | An Adaptive Genetic Algorithm-Based Energy Storage Optimization Method for Microgrids with Dynamic Electricity Pricing and Reliability Awareness
[NO] 1718/1933 | Novel and Efficient Plant Disease Prediction Using ViT and YOLOv8 Deep Learning Models
[NO] 1719/1933 | High-Accuracy Facial Emotion Recognition for Visually Impaired Using Multi-Stage Transfer Learning and Attention-Based CNN
[NO] 1720/1933 | Energy Communities as the Next Step in Smart Grids: A Decision-Making Approach for Decentralized Energy Exchange
[NO] 1721/1933 | A Hyperparameter Exploration of LSTM Models for U.S. Airline Tweet Sentiment Analysis
[NO] 1722/1933 | Closed-form High-order Parameter Estimation for Polarimetric Arrays of Arbitrary Configurations
[NO] 1723/1933 | Neural Signal Compression using RAMAN tinyML Accelerator for BCI Applications_supp1-3674434.pdf
[NO] 1724/1933 | Rethinking Frequency Modeling: Tail-Aware Dynamic Adversarial Training for Long-Tailed Robustness_supp1-3679189.pdf
[NO] 1725/1933 | A Comprehensive Review of Brain Tumor Using Deep Learning
[NO] 1726/1933 | Structured Light-Assisted Optical Biosensor Using Airy–Bessel Excitation for Early Oral Cancer Diagnosis
[NO] 1727/1933 | Architecture and Power-Balancing Effects on Side-Channel Leakage Protection in AES Hardware Implementations
[YES] 1728/1933 | FPGA Implementation of a Fault-Tolerant Low-Latency Reversible ALU Using Hybrid Parity-Preserving IG–NFT Logic Gates in Verilog HDL
[NO] 1729/1933 | Combating Social Bots: Advances in Detection and Prevention
[NO] 1730/1933 | AI-Driven Optimization of Sustainable Hydrogen Transportation Systems in the Global Energy Transition
[NO] 1731/1933 | Semantic fusion of dual perspectives on genomic sequences and quorum sensing for bacteriophage lifestyle prediction
[NO] 1732/1933 | AI-Driven Feature-Enhanced Stacking Ensemble with Global-Context Vision Transformers for Breast Cancer Classification in Ultrasound Images
[NO] 1733/1933 | Closing the UV-Induced Photodegradation Gap Through Global Scale Modeling of Fixed Tilt and Tracking Photovoltaic Systems
[NO] 1734/1933 | Table of Contents
[NO] 1735/1933 | Electromagnetic Analysis of SPM Using Sub-domain Model Based on the Magnetic Scalar Potential Field
[NO] 1736/1933 | Follow the Signs or the Crowd? Effects of Environmental Load and Crowd Dynamics in VR Evacuation
[NO] 1737/1933 | Digital Twin-Based Motion Planning and Virtual-Physical Mapping Control for an OMR Through Narrow Corners
[NO] 1738/1933 | The Standards Landscape in the IEEE Computer Society
[NO] 1739/1933 | IEEE Trial-Use Guide for Testing Methods for Proton Exchange Membrane Fuel Cell Systems in Automotive Applications Using Compressed Hydrogen as Fuel
[NO] 1740/1933 | Standardized Approach for Assessing Wireless IoT Devices in Millimeter-Wave Industrial Work-Cell Channels
[NO] 1741/1933 | Construction of Binary Sequence Having PMEPR Bounded by 4
[NO] 1742/1933 | Modeling of Control and Monitoring Systems for Positioning Workers in a Coal Mine
[NO] 1743/1933 | Analysis of Approaches to Executing Fuzzy Queries to Relational Databases
[NO] 1744/1933 | Section 1. Computing &amp; Processing (Hardware/Software)
[NO] 1745/1933 | Adaptive Model-Based Transfer Learning for Dynamic HVAC Control
[NO] 1746/1933 | An Up to 10-MHz 6.8% Minimum Duty Ratio GaN Driver With Adaptive Short-Pulse High-CMTI Level Shifter and Dual-Switch Bootstrap Techniques_supp1-3676911.pdf
[NO] 1747/1933 | A Reuse-Rate-Driven and Gain-Scheduled MINCO Trajectory Optimization Method for UAV Formations
[NO] 1748/1933 | Neurodynamic Optimization Approaches with Fixed-Time Convergence for Nash Equilibrium Seeking: Theory and Hardware Experiment
[NO] 1749/1933 | LACO-OFDM-Based Optical ISAC System Design and Performance Analysis
