[2026-07-03 23:04:10] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-02
正在获取论文...
[arXiv] 2026-07-02 | Block Preconditioning for Shifted Boundary Method Discretisations of the Stokes Problem
[NO] 922/1969 | BRST-BV approach to fields in Poincare patch of AdS
[NO] 923/1969 | Building the Ipseome: Large, Free, Open, Human Identity Data
[NO] 924/1969 | Interpretation-Oriented Cloud Removal via Observation-Anchored Residual Flow with Geo-Contextual Alignment
[NO] 925/1969 | Learning to Move Before Learning to Do: Task-Agnostic pretraining for VLAs
[NO] 926/1969 | AgentsCAD: Automated Design for Manufacturing of FDM Parts via Multi-Agent LLM Reasoning and Geometric Feature Recognition
[NO] 927/1969 | Curvature-induced host-mediated polarization of active particles
[NO] 928/1969 | Improved Approximation Algorithms for n-Pairs Shortest Paths
[YES] 929/1969 | Reasoning effort, not tool access, buys first-try reliability in agentic code generation: an observational study
[NO] 930/1969 | A Topological Formula for Potts Lattice Gauge Theory Correlations
[NO] 931/1969 | Part bounds for the Sylow permutation characters of $S_n$
[NO] 932/1969 | Self-Auditing Residual Drifting for Pathology-Preserving Accelerated Knee MRI
[NO] 933/1969 | QFedAgent: Quantum-Enhanced Personalized Federated Learning for Multi-Agent Activity Recognition
[NO] 934/1969 | Q-GAIN: A Python Package for Machine Learning and Physically Informed Analysis Applications
[NO] 935/1969 | Copying Quantum States
[NO] 936/1969 | Text-Driven 3D Indoor Scene Synthesis in Non-Manhattan Environments
[NO] 937/1969 | Object-centric LeJEPA
[NO] 938/1969 | Transformer Geometry Observatory TGO-II: Representational Similarity Observatory
[NO] 939/1969 | Representation Distribution Matching for One-Step Visual Generation
[NO] 940/1969 | Learning Spectral and Polarimetric Clues for One-to-Multimodal Novel View Synthesis
[NO] 941/1969 | Deterministic Polynomial-time Exact-root Computation for Sparse Polynomials with Bounded Total Degree
[NO] 942/1969 | GAP-GDRNet: Geometry-Aware Monocular Visual Pose Sensing on a Single-Target Synthetic Spacecraft Dataset
[YES] 943/1969 | Cloak and Detonate: Scanner Evasion and Dynamic Detection of Agent Skill Malware
[NO] 944/1969 | Tracing grain growth in the forming prestellar core L1506C with 3D modeling of Herschel, IRAM, and CFHT observations
[NO] 945/1969 | Kardar-Parisi-Zhang dynamics in an open integrable system: beyond the spontaneous-symmetry-breaking ansatz
[NO] 946/1969 | Sensitivity Analysis and Robust Optimal Control for Coupled Evolution Inclusions with State-Dependent Maximal Monotone Operators
[NO] 947/1969 | SoK: A Taxonomy for Cybersecurity Incident Response Influence Factors
[NO] 948/1969 | Probing Chemical Language Models: Effects of Pre-training and Fine-tuning
[NO] 949/1969 | Partially-Blind Single-Qubit Classification over a Prototype Hybrid Quantum Network
[NO] 950/1969 | Tuning nonlinear waves in nonreciprocal active filaments
[NO] 951/1969 | Conceptual completeness for subgeometric logics
[NO] 952/1969 | Colour evolution in the radio afterglow of GRB 241025A
[NO] 953/1969 | Quantifying angular momentum of coherently driven circular phonons
[NO] 954/1969 | Lower Bounds for Anytime Acceleration of Gradient Descent
[NO] 955/1969 | Aggregation with Exponential Weights is Optimal in Expectation
[NO] 956/1969 | Supersymmetric twists in twistor space and holography
[NO] 957/1969 | Instrumented difference-in-differences under case-control sampling
[NO] 958/1969 | How wrong is too wrong: A numerical study on the relevance of positional memory in the generalized Langevin equation
[NO] 959/1969 | On the growth spectrum of hyperbolic groups
[NO] 960/1969 | Refined Sensitivity Estimates for Single-Molecule Magnet Dark Matter Detectors
[NO] 961/1969 | Mixing times of spin systems on dynamical percolation
[NO] 962/1969 | HCMS: Head-Chunked Multi-Stream Pipeline for Communication-Computation Overlap in Long-Sequence Parallel Attention
[NO] 963/1969 | FlintKV: A Fast Durable Storage Engine for Modern Databases
[NO] 964/1969 | Phonon spectral function of Holstein polaron: Investigation of many-body effects with self-energy and vertex correction
[NO] 965/1969 | Stable Self-Modulating Quantum Fast-Weight Programmers with Bounded Memory Gates
[NO] 966/1969 | Quantum-geometric shift of quasiequilibrium: Origin of nonreciprocal current driven by quantum-metric dipole
[NO] 967/1969 | Automated logical Clifford gadgets for heterogeneous architectures via chain maps
[NO] 968/1969 | Computable measures of fermionic non-Gaussianity from the covariance matrix
[NO] 969/1969 | The Merger-Driven Origin of the Vast Extended Stellar Disc Around the Andromeda Galaxy
[NO] 970/1969 | RL to Control Agile Dynamics of a Single Legged Hopping Robot
[NO] 971/1969 | TO-SoFiT: Topology Optimization of Hydraulic Soft Fish Tail Design for programmable undulating locomotion
[NO] 972/1969 | Autonomous Mobile Robot Navigation Using Double Deep Q-Network: Efficient Goal-Seeking and Obstacle Avoidance
[NO] 973/1969 | WindStencil: Unleashing GPU Potential for High-Order Stencil Computation in High-Performance Inviscid CFD Simulations
[YES] 974/1969 | Automated Framework for Red-Team Prompt Injection Testing of LLMs
[YES] 975/1969 | Leveraging Enhanced Test-Driven Development for Accurate Code Generation in LLMs
[NO] 976/1969 | SAND: Spatially Adaptive Network Depth for Fast Sampling of Neural Implicit Surfaces
[NO] 977/1969 | Technical Debt Approach and Consciousness in Startups Transitioning to the Growth Phase: A Four-Facet Model
[YES] 978/1969 | AI-Assisted Semantic Modeling of Languages for Symbolic Execution Driven Unit Test Generation
[NO] 979/1969 | Strategic Collaborative Uplink for Information Freshness in Rechargeable IoT Devices
[NO] 980/1969 | Lightweight and Adaptive Gear Defect Detection for Embodied Industrial Edge Deployment
[NO] 981/1969 | Impact of Traction Motors Bearings Degradation in Common Mode Current
[NO] 982/1969 | Closed-Form AOA/TDOA Hybrid Target Localization Method under Distance-Dependent Noise
[NO] 983/1969 | Multimodal Emotion Recognition Using Hierarchical Bottleneck Fusion of Audio, Text, and Video
[NO] 984/1969 | From Vision-Based to Multimodal Remote Physiological Monitoring: A Survey of Methods and Evaluation Challenges
[NO] 985/1969 | Execution-free Performance Modeling for Apache Spark
[NO] 986/1969 | A Comparative Analysis of Latency, Security, and Scalability in Heterogeneous Distributed Architectures for Autonomous Vehicles
[NO] 987/1969 | Towards Practical SDN Adoption in Resource-Constrained E-Learning Environments: The Challenges, Readiness, and Deployment Pathways
[NO] 988/1969 | AI-Assisted Learning in Theoretical Electrical Engineering - A Conversational Support Tool for Conceptual Understanding
[NO] 989/1969 | LLMs Explain’t: A Post-Mortem on Semantic Interpretability in Transformer Models
[NO] 990/1969 | Resource-Efficient Streaming Feature Extraction for Real-Time IoT DDoS Detection
[NO] 991/1969 | AI-Driven Proctoring Framework for Online Examinations Using Computer Vision and Behavioral Analytics
[NO] 992/1969 | BlipART: A Multimodal Approach To Detect Aggressive Meme In Low-Resource Language
[NO] 993/1969 | The Effect of AI on the Exam Cheating Threat: Comparing On-Site and Remote Exams
[NO] 994/1969 | From Pixels to Reality: Physical-Digital Patch Attacks on Real-World Camera
[NO] 995/1969 | DWTN: Need-Driven Presence Detection for Multiplexed Encrypted Traffic
[NO] 996/1969 | Post-Disaster Home Energy Management System for Residential Communities Using EV-Based Energy Transportation and Home Battery Coordination
[NO] 997/1969 | Optimizing Neural Networks: Contexts Where Involution Surpasses Convolution
[NO] 998/1969 | Electric Vehicles and Urban Air Quality in India: A Review of Smart Energy and Lifecycle Impacts
[NO] 999/1969 | Efficient Framework for Predicting Renewable Energy using Transformer Model and Dynamic Feature Learning
[NO] 1000/1969 | FRAIT: Framework for Resilient Autonomic IoT
[NO] 1001/1969 | Causal Models Improve Reinforcement Learning for Pervasive and Robotic Tasks
[NO] 1002/1969 | What Drives Issue Resolution Speed? An Empirical Study of Scientific Workflow Systems on GitHub
[NO] 1003/1969 | Online Uplink Scheduling for Multi-User LEO Satellite IoT Networks
[NO] 1004/1969 | Research on the Relationship Between Road Alignment and Accident Types in Accident-Prone Sections
[NO] 1005/1969 | Lightweight Models and Representations for Efficient and Robust Video Copy Detection
[NO] 1006/1969 | Quantum-Assisted Secure Nano-Network Traffic Framework for Real-Time Medical Data Transmission in Smart Hospitals
[NO] 1007/1969 | Fault analysis in a 10 MW wind farm with
[NO] 1008/1969 | LiTransNet: LiDAR Point Cloud Transmission for Autonomous Vehicles Using Deep Learning
[NO] 1009/1969 | Edge-Enhanced XR Teleoperation for Humanoid Robots using Jetson and Real-Time Digital Twin
[NO] 1010/1969 | Automated Harbour Craft Identification and Tracking System
[NO] 1011/1969 | Green Digital Transitions in Engineering Education and the Role of AI in Teaching Ecology for Sustainable Thinking
[NO] 1012/1969 | The AI-Enabled Agile University: A Conceptual Model for Responsive, Data Driven Higher Education
[NO] 1013/1969 | Thermodynamic Performance of a PTSC-LHTES-ORC-HTHP Hybrid Energy System for Combined Power and Process Heat Production
[NO] 1014/1969 | AGU-Net: An Attention and Gating-aided U-Net Model for Breast Ultrasound Lesion Segmentation
[NO] 1015/1969 | Integrating Learnable Spatial Embeddings into Transformers for Traffic Flow Forecasting
[NO] 1016/1969 | IoT-Based Liquid Tank Monitoring-Comparative Evaluation of Lightweight Statistical Anomaly Detection Techniques
[NO] 1017/1969 | Advanced Deep Learning Techniques for Accurate and Interpretable Monkeypox Diagnosis
[NO] 1018/1969 | Beyond Inrush Current: Experimental Study of Wound-Rotor Starting and Simulation-Based Analysis of VFD-Controlled Induction Motors
[NO] 1019/1969 | Design and Multiphysics Analysis of a Compact Air-Cooled Heatsink for GaN/SiC TType Power Converters in Electric Vehicle Applications
[NO] 1020/1969 | Adaptive Energy-Aware Cooperative Micro Drone Swarms for Efficient Large Scale Aerial Mapping
[NO] 1021/1969 | Network Temperature Driven Equilibrium Optimization for Enhanced Intrusion Detection
[NO] 1022/1969 | Design and Analysis of Chirp-Layered Superposition Coding for LoRa
[NO] 1023/1969 | Energy-Efficient INT8 Quantized LeNet Accelerator Using Systolic Arrays for Handwritten English-Arabic Digits Recognition
[NO] 1024/1969 | Robust Movement Detection via Wi-Fi Channel State Information: Real-World Long-Term Validation and Cross-Dataset Generalisation
[NO] 1025/1969 | Application of Genetic Algorithm and Step-wise Evaluation of Multi-Objectives to Optimize Location of Normally Open Points within Meshed Distribution Networks
[NO] 1026/1969 | Microcontroller Implementation of Combined MTPA and LUT Correction of BLDC Motors with Large Stator Inductance and Hall Sensors Misalignment
[NO] 1027/1969 | Performance Evaluation of Multi-Architecture Deep Learning Models for Real-Time Fire Detection on Resource-Constrained Devices
[NO] 1028/1969 | Artificial Intelligence for Modeling Security and Privacy in IoT Networks: Concepts, Frameworks, and Applications
[NO] 1029/1969 | Decoding-Dependent Uncertainty in Large Language Models: Cross-Architecture Sensitivity and Calibration Analysis
[NO] 1030/1969 | Stability Analysis of Networked Control of Generator Excitation Control System
[NO] 1031/1969 | Optimized Acceleration and Braking Dynamics of Heavy Mechanisms Transporting Liquid Loads
[NO] 1032/1969 | Visual Insights into Agentic Optimization of Pervasive Stream Processing Services
[NO] 1033/1969 | Evaluating Machine and Deep Learning Models for Stroke Prediction with Class Imbalance Handling
[NO] 1034/1969 | Self Supervised Contrastive Learning Based Framework for Rare Disease Medical Image Diagnosis
[NO] 1035/1969 | Oh, Be Safe: A Field Study for Crowdsensed Cycling Safety Maps
[NO] 1036/1969 | Secure Biometric Authentication for Resource-Constrained IoT Devices
[NO] 1037/1969 | Accountability Gap: Measuring the Transparency of Bias Mitigation in Educational AI
[NO] 1038/1969 | Design, Development and Testing of a DTx Tool for Pediatric Chronic Pain: Lessons Learned from Early-Testing with Healthy Children
[NO] 1039/1969 | Lines and Minds: Visual Abstraction in Art, Psychology, and Computer Graphics
[NO] 1040/1969 | CORE-BFS: Communication-Optimized REctangular-partitioned BFS Achieving 160.845 TeraTEPS on Frontier Supercomputer
[NO] 1041/1969 | S2VEC: Compiler-Driven Stream Specialization for Linearized Vectorization
[NO] 1042/1969 | SVSIG: Incremental Streaming Graph Processing with Source Vertex Suppression
[NO] 1043/1969 | Disentangled Multimodal Tuning and Interaction for Human Perception Understanding
[NO] 1044/1969 | Leveraging Large Language Models for Generating Research Topic Ontologies: A Multi-Disciplinary Study
[NO] 1045/1969 | GPECOM 2026 Panel Discussion
[NO] 1046/1969 | Welcome from the Workshops Chairs
[NO] 1047/1969 | Mobile Charging Stations in Iov: Joint Optimization of Order Service and Energy Replenishment_supp1-3709175.pdf
[NO] 1048/1969 | Congratulations on 10 Years of Power Electronics
[NO] 1049/1969 | Deep Learning for Intrusion Detection in Satellite Networks: A Survey of Ground Station Internal Traffic and Satellite-Ground Link Security
[NO] 1050/1969 | Energy-Efficient LLM-Based Decompilation via a Two-Stage Pipeline on Constrained Hardware
[NO] 1051/1969 | Information Asymmetry and Governance Failure: Insider Trading in Family Firms and the Implications for Disclosure Systems
[NO] 1052/1969 | $H_{\infty}$ Optimal Output Regulation of Unknown Linear Systems via an Adaptive Dynamic Programming and Internal Model
[NO] 1053/1969 | Bumpless Transfer Filtering for Continuous-Time Switched Systems with Admissible Dual-Modal Persistent Dwell-Time
[NO] 1054/1969 | Model and Data-Driven Off-Grid Sparse Bayesian Learning Network for DOA Estimation
[NO] 1055/1969 | Real-Time Location/Mobility-Aware Resource Allocation in D2D Communications—A Deep Reinforcement Learning Approach
[NO] 1056/1969 | Microscale-Searching Constrained Evolutionary Optimization for Diversity-Distribution-Guided Image Augmentation_supp4-3706679.docx
[NO] 1057/1969 | Interleaved Multiple Chirp Rate Modulation for Satellite Internet of Things Applications
[NO] 1058/1969 | 3D Orthogonal Die Stacking Technology for DRAM-on-GPU Integration Using Contactless Die-to-Die Interface
[NO] 1059/1969 | Spotting Setting-Related UI Display Bugs in Android Apps
[NO] 1060/1969 | A Fault Diagnosis Method for Surge Arresters Based on Distributed In-situ Measurement Technology
[NO] 1061/1969 | Magnetic-Mechanical Response Mechanism and Quantitative Stress Characterization Method for Pipelines under Lateral Landslide Loads
[NO] 1062/1969 | SDNAS: Neural Architecture Search for Self-Supervised Single-Image Denoising Using Genetic Algorithm with Modular Encoding
[NO] 1063/1969 | Distributed Acoustic Sensing for Vehicle Trajectory Tracking: A Model-Based Framework and A Single-Vehicle Field Validation
[NO] 1064/1969 | ESP32 Edge Framework-Based IoT-Powered Smart Battery Monitoring and Safety System with Multi-Sensor Protection
[NO] 1065/1969 | Enhancing Blockchain Robustness through Efficient Feedback-Driven Chaos Engineering
[NO] 1066/1969 | GDE: A Generative Diffusion Equalizer for ICSI-Free Semantic Communications in SAGINs
[NO] 1067/1969 | Flexible Monolithic 3D Integration of RRAM-based CIM, CNT CMOS Circuits and IGZO FET-based Sensor and Display for Augmented Reality Contact Lenses
[NO] 1068/1969 | Custom Spectacle Frame Modeling Recommendation Through Exact Facial Feature Analysis
[NO] 1069/1969 | A 5.7-6.8GHz Capacitively-Coupled Series-Assisted Parallel-Resonance VCO Achieving −148.8 dBc/Hz PN, 193.5 FoM, and 202.0 FoM
                    <sub>A</sub>
                    at 10MHz Offset
[NO] 1070/1969 | Sponsors
[NO] 1071/1969 | Smart-MQTT: QoS-Adaptive MQTT Middleware for Energy Efficient IoT Systems
[NO] 1072/1969 | Device-to-Architecture Co-Design of Monolithic 3D FPGA Using 2D Transistor
[NO] 1073/1969 | Magnetic Force Calculation for Toroidal Inductor Wound With Rectangular Cross Section Wire
[NO] 1074/1969 | Enhancing PV Efficiency: Single-Stage, Five-Level Transformer-Less Inverter with Modular Structure
[NO] 1075/1969 | Highly Available Distributed VPN Architecture in Cloud-Native Environments: 5G Edge Integration Through API-Driven Orchestration
[NO] 1076/1969 | Development of a Deep Anisotropic Reactive-Ion Etching Process for Silicon to Support the Fabrication of Microfluidic Devices
[NO] 1077/1969 | Direct Synthesis of Multi-Stacked Channels and Doped Source/Drains for TMD CFETs
[NO] 1078/1969 | Streamlined Parameter Estimation for Induction Motors Using an Auto-Tuning Approach with DSP Integration
[NO] 1079/1969 | An Interferometric Phase Map Segmentation Algorithm Based on an Adaptive Optimization Tolerance Granularity Space Model
[NO] 1080/1969 | Enhancing Maternal Health Risk Prediction Using Machine Learning–Based Data Augmentation
[NO] 1081/1969 | A Cross-Condition Analysis of Current Profile Impact on Lithium-Ion Battery Model Parameterization
[NO] 1082/1969 | Predicting value of measurement standards using Monte Carlo method
[NO] 1083/1969 | An Efficient Single-Input Multi-Output Forward Converter for Electric Vehicle Charging Applications
[NO] 1084/1969 | Predictive Current Control of H8-CSI-Fed High-Speed PMSM with Reduced Sensor Count and Low DC-Link Inductance
[NO] 1085/1969 | Uniform and Direction-Controllable Metal-Induced Lateral Crystallization for 3D NAND Flash Memory via $\text{NiSi}_{2}(111)$-Oriented Seed Layer Transfer
[NO] 1086/1969 | Fundamental Delay and Reliability Guarantees for Emergency UAV
[NO] 1087/1969 | Intelligent System for Monitoring Copper Content in Slag for Pyrometallurgical Production Based on ML Model Training
[NO] 1088/1969 | Self-Organizing Railway Traffic Management
[NO] 1089/1969 | AP-FrontierNav: Scene-Transition-Driven Frontier Reasoning With Viewpoint-Aware Verification for ObjectNav
[NO] 1090/1969 | Adaptive Dual-Layer DRL-Based AI Model Placement, Task Scheduling, and Resource Allocation for Collaborative Edge Inference and Training
[NO] 1091/1969 | Spatio-temporal Traffic Prediction-Assisted Interruption-Tolerant Backup Routing Algorithm for Large-Scale LEO Satellite Networks
[NO] 1092/1969 | Differential Privacy in Generative AI Agents: Analysis and Optimal Tradeoffs
[NO] 1093/1969 | Learning Event Perturbation Field for Continuous Event Stream-Based Object Tracking
[NO] 1094/1969 | Performance Evaluation of a BGO semi-monolithic detector for preclinical PET imaging
[NO] 1095/1969 | Crip Haptic Jam: Vibrotactile Composition for Disability-Centered Dance
[NO] 1096/1969 | Circle Fitting by a Weighted Least Squares Method: An Analysis and New Improvements
[NO] 1097/1969 | Optimization of a Magnetic Field Modulated Magnetic Lead Screw for Wave Energy Conversion Based on Axial Flux-Concentrating PMs
[NO] 1098/1969 | Pseudo-Label Comprehensive Filtering and Edge Refinement for Semi-Supervised Instance Segmentation in Remote Sensing Imagery
[NO] 1099/1969 | DRAU-Net: Diffusion-based Residual Attention U-Net for Building Image Segmentation_supp1-3708834.pdf
[YES] 1100/1969 | Microwave Monolithic Digital Step Attenuator Sections Layout Synthesis Based on Evolutionary Algorithms
[NO] 1101/1969 | UzbNerCorpus: A Named Entity Recognition Corpus Creation System For The Uzbek Language
[NO] 1102/1969 | A Novel Boundary Aware Semi-Supervised Adversarial Learning Framework for Region-of-Interest Extraction from High Resolution Remote Sensing Images
[NO] 1103/1969 | A Switched Inductor-Capacitor Power Amplifier Supporting 100MHz 256-QAM
[NO] 1104/1969 | EEG-Based Sleep Stage Classification Using Ensemble Method with Cross-Validation
[NO] 1105/1969 | Table of Contents
[NO] 1106/1969 | Inter-Operator Interference Assessment for 5G Networks at 2.1GHz in High-Speed Railway Scenarios
[NO] 1107/1969 | Single-Phase Rectifier for a 3.3 kW Pulse Power Load
[NO] 1108/1969 | Enabling the Robotic Revolution: Bridging Performance Gap Between Present and Future
[NO] 1109/1969 | Communication Prior Guided Multimodal Framework for Open Set Modulation Recognition: A Semantic Perspective
[NO] 1110/1969 | A Dual-Band Bandpass Filter with Two Symmetrically Folded Stepped Impedance Resonators and Two Centrally Protruded Openended Stubs for the Application in WLAN Systems
[NO] 1111/1969 | A $\mathbf{2 n m}$ 37.4 Mbit $/ \text{mm}^{2}$ Dual-Rail SRAM with Row-Access Aware Read Tracking and Write Assist Circuits Enabling 2.28 pJ/Access Energy Efficient Operation
[NO] 1112/1969 | DXInject: GPU-Based Payload Transport and Execution via DirectX Compute Shaders
[NO] 1113/1969 | Title Page
[NO] 1114/1969 | Optical Communication Demands Induced by Front-View Cameras of Intelligent Driving Vehicles
[NO] 1115/1969 | Detection of Myocardial Fibrosis Based on Cardiac Electrophysiological Characteristics
[NO] 1116/1969 | Real-Time Person Re-Identification in CCTV Using YOLOv8, Bytetrack and OSNet
[NO] 1117/1969 | Evaluating the Potential of C-Band Radar as a Substitute for Optical Data to Monitor FAO-56 Crop Coefficients
[NO] 1118/1969 | Compact Modeling of the Capacitance Temperature Dependence of a Hyperabrupt P-N Junction
[NO] 1119/1969 | Scalable and Stackable 2S1M SOT-MRAM Memory Cell Enabled by Two-Terminal Write and Read SNGCT Chalcogenide Selectors
[NO] 1120/1969 | Mapping Burned Areas with Remote Sensing Techniques: A GIS Based Study of the 2025 Monte Sara Forest Fire (Sicily, Italy)
[NO] 1121/1969 | Land Use Approach for High-Resolution Spatial Modeling of Industrial Emissions
[NO] 1122/1969 | A Novel Approach of Wireless Connection in Multichannel Receive MRI Coils
[NO] 1123/1969 | Neural Network Solutions for Forecasting and Managing Workforce Flows for the Russian Arctic Zone: An Integrated Graph-Transformer Approach
[NO] 1124/1969 | Automatic Color Identification System Using Optical Prototype and Artificial Intelligence
[NO] 1125/1969 | Development of Combined Interpretable Topic Classification Algorithm for Uzbek News
[NO] 1126/1969 | Design and Development of z-axis robot based Experimental Setup to assist an Ionic Polymer Metal Composite (IPMC) based E-tongue system
[NO] 1127/1969 | A Novel Neural Architecture With Multilevel Feature Extraction Coordinated by Dendritic Classifier_supp1-3703975.pdf
[NO] 1128/1969 | A data-driven analysis of structural asymmetries in the gTLD registrar market
[NO] 1129/1969 | GPECOM 2026 Cover Page
[NO] 1130/1969 | The CoMoRe-AI 2026 Chairs Welcome
[NO] 1131/1969 | Keynote: Trustworthy Mobility: Designing Cyber-Physical Intelligence People Can Trust
[NO] 1132/1969 | Copyright and Reprint Permission
[NO] 1133/1969 | HPMD: Enabling Hybrid Parallelism with Multi-Dimensional Adaptive DNN Training
[NO] 1134/1969 | Harmonia: Enhancing Data Placement and Migration in Hybrid Storage Systems via Multi-Agent Reinforcement Learning
[YES] 1135/1969 | An MLIR-Based Compilation Framework for Control Flow Management on Coarse Grained Reconfigurable Arrays
[NO] 1136/1969 | Trajectory Tracking of Wheeled Mobile Robots using Model Predictive Control with Integrated Slip Parameters
[NO] 1137/1969 | Resilient Ways of Eating on a Budget: Personal Informatics Use Among People With Low SES
[NO] 1138/1969 | Proceedings of the 2026 Australasian Computer Science Week
[NO] 1139/1969 | A Sensor-Based Framework for Early Hazard Detection of Lithium-Ion Battery Incidents in Smart Waste Collection Fleets
[NO] 1140/1969 | Exploring the Use of AI-based Chatbots to Help Support Armed Forces Veterans’ Mental Health
[NO] 1141/1969 | HoloPathTracer: Fast and Accurate Wave Path Tracing for Holography
[NO] 1142/1969 | SQuadGen: Generating Simple Quad Layouts via Chart Distance Fields
[NO] 1143/1969 | Single-View Holographic Volumetric 3D Printing with Coupled Differentiable Wave-Optical and Photochemical Optimization
[NO] 1144/1969 | Invisible Holographic Window: Full-color 3D Image Reconstruction from Transparent Surface-relief Computer-generated Holograms
[NO] 1145/1969 | RF-THERMO: Empowering Robust Wireless Temperature Sensing Under Motion Scenarios
[NO] 1146/1969 | Deep Reinforcement Learning for Congested Multifunction Radar Task Scheduling
[NO] 1147/1969 | MAGIC-AD: A Lightweight Multi-Scale Anomaly Detection Framework for Industrial Control Systems
[NO] 1148/1969 | Demand-Side Management Based on Fuzzy Logic for Multi-Energy Communities with Hybrid Storage Coordination
[NO] 1149/1969 | Relocate and Emulate: Re-Hosting Android's Application Layer
[NO] 1150/1969 | Multi-objective Optimization of Generation Cost and Carbon dioxide Emission of a Converted Coal-Biomass Cofiring Power Plant using Non-dominated Sorting Genetic Algorithm II
[NO] 1151/1969 | GDPO: Dual Learning for Self-Supervised Code Summarization in the Era of Large Language Models
[NO] 1152/1969 | POSTER: A Dataset Construction Framework for Detecting MitM Attacks on the 5G N3 Interface
[NO] 1153/1969 | Automating Multi-Modal Formative Assessment with Generative-AI Workflows and xAPI Analytics
[YES] 1154/1969 | Preserving Concurrency-Revealing Seeds in Fuzzing of Concurrent Programs via Tuple-Based Coverage Evaluation
[NO] 1155/1969 | Interpretable Deep Learning Approach for Deepfake Face Image Detection using Grad-CAM
[NO] 1156/1969 | Use of Digital Twin and AI in Sport Analytics
[NO] 1157/1969 | Investigating Demographic Bias in Eye-Tracking-based Machine Learning Models for Affective Computing
[NO] 1158/1969 | Cognitive Assessment of Aviation Service Quality: A Multimodal Agent Framework
[NO] 1159/1969 | A Lightweight Two-Stage Semantic Segmentation Pipeline for Pitahaya Plant Disease Quantification
[NO] 1160/1969 | Exploring the Potential of Natural Language Processing For Automating Customer Service
[NO] 1161/1969 | AI Home Instance
[NO] 1162/1969 | Overseas Learning in the Age of AI: Generative AI as a Cognitive Support Tool in Cross-Cultural Learning
[NO] 1163/1969 | Intelligent Multi-Layer Control and Optimal Energy Management for Grid-Connected Hybrid PV-Wind Systems with Flywheel Storage
[NO] 1164/1969 | Blockchain and Zero-knowledge proofs based approach for a Secure E-Voting System
[NO] 1165/1969 | Agentic AI with Emulation-assisted Prevalidation for Edge-Cloud Service Orchestration
[NO] 1166/1969 | Towards Validated MCQ Generation from Source Code: A Thematic Literature Survey and Proposed Architectural Framework
[NO] 1167/1969 | CNNs, GANs, and Transformers for Tomato Disease Detection and Classification: A Review
[NO] 1168/1969 | Multi Model Hate Speech Analysis
[NO] 1169/1969 | Deep Learning-Based Robustness Testing and Defense Mechanism for AI Against Adversarial Threats
[NO] 1170/1969 | ChequeTrak: An Integrated Deep Learning Pipeline for Handwritten Text Extraction and Signature Validation in Indian Bank Cheques
[NO] 1171/1969 | Dynamic Sensor Scheduling for Mid-to-Large Aircraft Platform Rescue: A Recurrent Deep Reinforcement Learning Approach
[NO] 1172/1969 | MineRAF: Residual-Aware Multimodal Trajectory Prediction with Attention-based Fusion in Mining Environments
[NO] 1173/1969 | Confidence-Based Maintenance Optimization in Digital Twins for Aging Sensor Networks
[NO] 1174/1969 | Privacy-Preserving Skeleton-Based Analysis of Visitor Behavior in Museums
[NO] 1175/1969 | Nano Sweep Ocean Cleaner: AI/IoT System for Plastic and Microplastic Detection, Mapping, and Eco-safe Collection
[NO] 1176/1969 | Systemic LUPUS Erythematosus Detection Using Deep Learning
[NO] 1177/1969 | Deep Learning Based Spatial-Temporal Framework for Student Attentiveness Analysis
[NO] 1178/1969 | Multi-level Reliability Analysis of Heavy-duty Robot Based on Modified Expert Evaluation Method
[NO] 1179/1969 | Finite-Time Tracking Control of Underactuated MSVs with Lumped Uncertainties: A Conditional Disturbance Negation–based Strategy
[NO] 1180/1969 | IoT-Enabled Navigation Cane with Adaptive Haptic Feedback for Enhanced Mobility and Safety of Blind Users
[NO] 1181/1969 | CropSure: A Machine Learning-Based Decision Support System for Sustainable Agriculture
[NO] 1182/1969 | Self-Assessment in Robotics – Perspectives of High School Students
[NO] 1183/1969 | An Agentic AI Framework for Conflict-Aware Smart Home Automation via Natural Language
[NO] 1184/1969 | Cybersecurity Challenges in AI-Driven English Language Pedagogy
[NO] 1185/1969 | KITCHAT: Kitchen Inference and Tracking Using Clue-Based Home Assistive Talk
[NO] 1186/1969 | Neural State Estimation for Multi-Operator Power Systems with Fragmented Observability
[NO] 1187/1969 | Enhancing IoT Efficiency with Fog Computing: Reducing Cloud Load through Decentralized Processing
[NO] 1188/1969 | Impact of Time-Series Representation on Emotion Recognition
[NO] 1189/1969 | ProfRCA: LLM-Enabled Fine-Grained Root Cause Analysis with Continuous Profiling Data
[NO] 1190/1969 | Reliability Parameters Modelling in Electric Power Grid Environment
[YES] 1191/1969 | Proceedings of the 14th International Workshop on Genetic Improvement
[NO] 1192/1969 | Advertisers Index
[NO] 1193/1969 | SNR Analysis and Channel Estimation for Multi-UAV Near-field Communications
[NO] 1194/1969 | ISAC Enabled Anti-UAV: Joint Beamforming and Trajectory Design for Multi-UAVs
[NO] 1195/1969 | SIREN: Self-supervised 4D Implicit Representation for Enhanced Radar- and Vision-based Activity Recognition for Ship Watch-Keeping Officers
[NO] 1196/1969 | From Semantics to Paths: Carrier-Aware Global Emergency Routing via Parallel Road Network and Land-Cover Inference
[NO] 1197/1969 | Dynamic Resource Allocation Algorithms in Resource-Constrained Federated Learning Systems
