[2026-02-24 09:38:54] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-02-23
正在获取论文...
arXiv 请求失败: HTTPSConnectionPool(host='export.arxiv.org', port=443): Max retries exceeded with url: /api/query?search_query=lastUpdatedDate%3A%5B202602230000+TO+202602232359%5D&sortBy=relevance&sortOrder=descending&max_results=1000 (Caused by ResponseError('too many 429 error responses'))
[ACM] 2026-2-23 | WiFi-Based Assessment of Scoliosis-Related Spinal Postures
[NO] 492/1000 | Application of Generative AI in Animation Character Creation: A Study on Style Transfer Design*
[NO] 493/1000 | Development and Implementation of a Digital Twin for Power Plants: Enhancing Maintenance and Operational Efficiency
[NO] 494/1000 | A Predictive Framework for Employment Forecasting Through Sectoral Stock Prediction and Portfolio Optimization
[NO] 495/1000 | TAGS: 3D Tumor-Adaptive Guidance for SAM
[NO] 496/1000 | SSFM: A Selective Spatial-Frequency Module for Enhancing the Detection Effect of UAVs
[NO] 497/1000 | Synergistic Optimization of Smart Grids for Renewable Energy Resilience Under Extreme Weather
[NO] 498/1000 | Siamese Network-Based Infrared Dim and Small Object Tracking with Multi-Scale Fusion and Re-Detection Mechanism
[NO] 499/1000 | Improving U-Net Confidence on TEM Image Data with L2-Regularization, Transfer Learning, and Deep Fine-Tuning
[NO] 500/1000 | MedGuardian: AI-Driven Smart Trolley for Patient Assistance
[NO] 501/1000 | Optimization of Computational Fluid Dynamics (CFD) Solver Performance Using Parallel Computing Techniques
[NO] 502/1000 | High-Threshold Precipitation Forecasting Model for Adverse Conditions Based on Improved PredRNN Framework
[NO] 503/1000 | Analysis of NDVI and NDMI Indices for Remotely Sensed Images for Groundwater Zone Identification
[NO] 504/1000 | CLASP: Adaptive Spectral Clustering for Unsupervised Per-Image Segmentation
[NO] 505/1000 | Research on Medical Cloud-Edge Collaborative Scheduling Method Based on MADDPG Integrating JIME and MACE
[NO] 506/1000 | A Noise-Robust Deep Learning Framework for Mechanical Fault Diagnosis Based on STFT and Attention Mechanism
[NO] 507/1000 | Differential Antenna Array Based on Equal Power Division Feed Network
[NO] 508/1000 | Study on Electricity Price Optimization of Rural New Energy-Charging and Storage Coordinated System Driven by Stackelberg Leader-Follower Game
[NO] 509/1000 | Generative AI-Driven Acceleration of Drug Repurposing and Pharmaceutical Development
[NO] 510/1000 | Dynamic Path Pruning-Based Hierarchical Multi-Label Text Classification Model
[NO] 511/1000 | MAYA: Multi-Attack Yielding Augmentation for Unified Face Attack Detection
[NO] 512/1000 | Doc2GraphQA: Document to Knowledge Graph Question Answering System
[YES] 513/1000 | Tensor Program Superoptimization through Cost-Guided Symbolic Program Synthesis
[NO] 514/1000 | HelmetDet: An Efficient Multi-Scale Detection Framework for Electric Vehicle Helmet Wearing
[YES] 515/1000 | LLM-Powered Autonomous Security Agents for Next-Generation Cyber Defence
[NO] 516/1000 | Dual-Trap Ultra-Wideband Filter Using Stepped Butterfly T-Type Resonator
[NO] 517/1000 | Advanced GPS Navigation Systems for Intelligent Transportation: Reliability Analysis and Cost Optimization
[NO] 518/1000 | A Novel Ring Type Quasi-Elliptic Bandstop Filter with Multi-Transmission Zeros and Controllable Equal Ripple Performance
[NO] 519/1000 | A Motion Planning Method for Tube Plate Quadruped Robot Based on Target-Oriented D* Search
[NO] 520/1000 | SYM3D: Canonicalizing Triplanes via Symmetry for Single-View 3D Learning
[NO] 521/1000 | Digital Prototype of 16-Channel W-Band TR
[NO] 522/1000 | UAE’s Public Policy Agenda in the Digital Debates: Insights from Social Networks Analysis
[NO] 523/1000 | Unlocking Python Multithreading Capabilities using OpenMP-Based Programming with OMP4Py
[NO] 524/1000 | Research on Automated Extraction Methods for External Flow Field Data of Hypersonic Vehicles
[NO] 525/1000 | AMS-YOLO: An Improved Object Detection Algorithm for UAV Aerial Images
[NO] 526/1000 | Research on Transient Current Suppression in VSC-HVDC System for Offshore Wind Power Transmission
[NO] 527/1000 | StableGAN: A Hybrid Approach to Mitigate Mode Collapse and Vanishing Gradients
[NO] 528/1000 | A General Framework for Manipulators Combining Vision and Force in Feature Space with Barrier Lyapunov Function
[YES] 529/1000 | Multi-Layered Security Framework for Financial AI Solutions - PISA
[NO] 530/1000 | Multimodal and Multi-task Fusion for Spatial Reasoning
[YES] 531/1000 | Prefix-Tuning for Large Language Models Enhanced with Hierarchical Graph Semantics in CI/CD Workflow Generation
[NO] 532/1000 | HRIT: A Human-Readable Framework for Phishing URL Detection using Large Language Models
[NO] 533/1000 | Multi-channel TRNG based on Scalable Cascaded Full Feedback Ring Oscillator
[YES] 534/1000 | A Step toward Stateful HW-SW Migration: An Architecture-agnostic Checkpointing-rollback Toolchain
[NO] 535/1000 | Proceedings
[NO] 536/1000 | Message from the Steering Chair
[NO] 537/1000 | 2025 6th International Conference on Information Science, Parallel and Distributed Systems (ISPDS)
[NO] 538/1000 | Multimodal Semantic-Similarity Gate for Real-Time Optimized Deepfake Detection
[NO] 539/1000 | Research on the Bending Performance of a Double-layer Tenon–Mortise Modularized Conductor (TMMC)
[NO] 540/1000 | Track-Before-Estimate for Low-Elevation Targets in the Presence of Multipath
[NO] 541/1000 | Writer Identification by Processing Hyperspectral Images using Singular Value Decomposition and Linear Discriminant Analysis
[NO] 542/1000 | A Framework for Encrypted Traffic Classification with Decoupled yet Aligned Information Representation
[NO] 543/1000 | SCMF-Net: Sparse Self-Attention Driven Cross-Modal Fusion for Robust Detection in Complex Road Scenes
[NO] 544/1000 | Fuzzy Matching Data Sharing with Equality Test for Internet of Medical Things
[YES] 545/1000 | Optimizing System Performance for Autonomous Recovery in AI-Native Networks Using Large Language Models
[YES] 546/1000 | Policy-Bound, Verifier-Pluggable Smart Contract Framework for Auditable Healthcare Analytics
[NO] 547/1000 | A Self-Updating Hybrid Meta-Learning Framework for IoT Traffic Classification
[NO] 548/1000 | Generation of High-Coverage Traffic Scenarios for Efficient Simulation Testing of Automated Driving Systems_supp1-3641393.pdf
[NO] 549/1000 | Occupancy Grid Mapping with Uncertain LiDAR Data
[NO] 550/1000 | Maximizing Sum Rate by Joint Sensing and Communication Scheduling for IRS-Assisted Multi-User Downlink Wireless Communications
[NO] 551/1000 | MINNs: MNA Informed Neural Networks for Fast Transient Simulation of Nonlinear Transmission Lines Subject to Parametric Uncertainty
[NO] 552/1000 | Edge-Oriented Events-to-Video Reconstruction for High-Speed Scenarios via Knowledge Distillation
[NO] 553/1000 | An Early Conflict Resolution Mechanism for Blockchain-Based Delay-Sensitive IoT Networks
[NO] 554/1000 | A Smart Ice Monitoring System for Photovoltaic Applications based on Capacitive Graphene Sensors
[NO] 555/1000 | A Novel Multi-layer Task-centric and Data Quality Framework for Autonomous Driving
[NO] 556/1000 | Gravity Gradient Field Transformation by Enhanced Physics-Guided Multi-task Network
[NO] 557/1000 | Robust Multi-View Extrinsic Calibration with Limited Co-observations via Sparse Graph Reprojection and Target-Driven Loop Closure
[NO] 558/1000 | Maximum Correntropy Criterion-Based Robust Fuzzy Adaptive Unscented Kalman Filter for Target Tracking with Model Mismatches
[NO] 559/1000 | Describe Anything Model for Visual Question Answering on Text-Rich Images
[NO] 560/1000 | Learning Generalizable Diabetic Retinopathy Grading by Decoupled State Space Decoding
[NO] 561/1000 | LSSGen: Leveraging Latent Space Scaling in Flow and Diffusion for Efficient Text to Image Generation
[NO] 562/1000 | SCRAMBLe: Enhancing Multimodal LLM Compositionality with Synthetic Preference Data
[NO] 563/1000 | Space-Time Optimisations for Early Fault-Tolerant Quantum Computation
[NO] 564/1000 | Early and Accessible ADHD Screening: A Design Proposal Integrating the Digital EDAH Test with Computer Vision
[NO] 565/1000 | Hoecken-D Hand: A Novel Robotic Hand for Linear Parallel Pinching and Self-Adaptive Grasping
[NO] 566/1000 | Quantum-Inspired Deep Reinforcement Learning for Solving the Traveling Salesman Problem
[NO] 567/1000 | Multimodal AI-Based Robot Autonomous Navigation and Decision Optimization in Complex Dynamic Environments
[NO] 568/1000 | A 0-D Iron-Chromium Flow Battery Model with Parameter Identification: Incorporating Species Crossover and Overpotential Analysis
[NO] 569/1000 | Simulation Verification and Optimized Design of Thermal Runaway Suppression Strategies for Power Battery Modules
[NO] 570/1000 | Design of a Four-Port MIMO Antenna with High-Isolation for 5G Wireless Communication
[NO] 571/1000 | A Low-Profile Ultra-Wideband Dual-Polarization Base Station Antenna for UHF
[NO] 572/1000 | Machine Learning Integration in Loan Decision Systems: Enhancing Kafka-Based Workflows with Predictive Analytics
[NO] 573/1000 | The Design of Ku-Band Kilowatt-Level High-Efficiency Traveling Wave Tube
[NO] 574/1000 | Study on Electromagnetic Field of Autonomous Electric Vehicle Under Different Operating Conditions
[NO] 575/1000 | A Robust Model Predictive Control Framework for Perturbed Discrete-Time Input-Affine Nonlinear Systems
[NO] 576/1000 | Iterative Binary Training
[NO] 577/1000 | Vision Transformer-based OCT Retinal Disease Classification
[NO] 578/1000 | Research on High-Power 48 V to 12 V DC-DC Converters for UPS Systems in Renewable Energy Power Station
[NO] 579/1000 | Application Validation of 28-bit Programmable Data Strobe Parallel-to-Serial Converter
[NO] 580/1000 | A Compact Co-Circularly Polarized Millimeter-Wave Antenna with Dual C-Shaped Resonators Decoupling for In-Band Full-Duplex Systems
[NO] 581/1000 | A Strategy-Based Approach for Bipedal Locomotion Without Prescribed Contact Sequences
[NO] 582/1000 | The Escalator Problem: Identifying Implicit Motion Blindness in AI for Accessibility
[NO] 583/1000 | Optimizing Customer Engagement through IoT Data Integration in CRM Ecosystems
[NO] 584/1000 | A Fusion Approach of Wavelet Denoising and Mutual Verification for Improving Sampled Signal Reliability
[YES] 585/1000 | SOCot: Find Shorter Optimal Chain of Thought Using DPO Training
[NO] 586/1000 | Lightweight Humanoid Locomotion with Minimal Sensing: IRSE X1's Design and Reinforcement Learning Control
[NO] 587/1000 | Economic Impact of AI Adoption in Educational SMEs: A Sectoral Analysis of EdTech Implementation in Emerging Markets
[NO] 588/1000 | A Plug-and-Play Approach for Robust Image Editing in Text-to-Image Diffusion Models
[NO] 589/1000 | Image Servo Control of Ultrasound Scanning Robot for Hemorrhage Examination
[NO] 590/1000 | An Ultra-Wideband Switched-Capacitor Circulator with Clock Boosting Technique Based on a 55 nm CMOS Process
[NO] 591/1000 | AI-Driven Data Architecture: Building Intelligent Analytics Platforms with Azure and Python
[NO] 592/1000 | Decoding Neurodevelopmental Signatures of Autism from EEG Using Deep Learning
[NO] 593/1000 | Development of an Attentive Listening Robot Using Human-Human Conversation Data Weighted by Interaction Scores
[NO] 594/1000 | Automated Classification of Moisture Content in Wood Chips Using UWB Radio Transmission Signals
[NO] 595/1000 | One-Dimensional Particle-Field Simulation Code for Single-Extractor Klystrons Optimization
[NO] 596/1000 | A Keypoint-Based Method for Precise Object Size Measurement Using Improved YOLO11-Pose
[NO] 597/1000 | Large-Scale Constellation on-Orbit Software Update Protocol
[NO] 598/1000 | AIM 2025 Challenge on Robust Offline Video Super-Resolution: Dataset, Methods and Results
[NO] 599/1000 | GXMalDetect: A Hybrid GA–XGBoost Architecture for Malware Detection Using Static Image Features
[NO] 600/1000 | Vibration and Noise Mechanism Analysis and Optimization of Synchronous Reluctance Motors
[NO] 601/1000 | Fuzzy Method for Cluster Tomato Picking with a Robot
[NO] 602/1000 | FreqCross: A Multi-Modal Frequency-Spatial Fusion Network for Robust Detection of Stable Diffusion 3.5 Generated Images
[NO] 603/1000 | Is JPEG AI Going to Change Image Forensics?
[NO] 604/1000 | Dynamic Temporal Gating Networks for Cross-Modal Valence-Arousal Estimation
[NO] 605/1000 | HMVAE: Brain-Inspired Hierarchical Memory for Detail-Aware VAE Reconstruction
[NO] 606/1000 | Emergent Cooperative Pursuit-Evasion Strategies for USV Swarms via Memory-Augmented Reinforcement Learning
[NO] 607/1000 | Parkinson's Disease Detection From Voice Features Using CNN-LSTM with LIME-Based Explainability
[NO] 608/1000 | Modeling and Experimental Verification of an Inflated Tube Robot with External Shaping Joint
[NO] 609/1000 | Bionic Compliant Design and Flying Compliant Control of a BioCM-based CMM End-Effector
[NO] 610/1000 | Oculus: Hierarchical Face Spoof Detection via Frequency-Enhanced Vision Transformers with Group-Aware Classification and Post-Fusion Attention ICCV Proceedings
[NO] 611/1000 | ATR-FTIR Spectroscopy Integrated with Machine Learning: A New Method for Classification of Two Similar Gynecological Disorders
[NO] 612/1000 | Enhancing Identity Preservation in Portrait Generation via Reward Optimization
[NO] 613/1000 | Efficient Depth- and Spatially-Varying Image Simulation for Defocus Deblur
[NO] 614/1000 | ViT-FIQA: Assessing Face Image Quality using Vision Transformers
[NO] 615/1000 | EF-YOLOv11: An Accurate Ceramic Tile Defect Detector via Edge-Guided Context and Adaptive Feature Fusion
[NO] 616/1000 | Planar Antenna with Two Symmetrical Rectangular Rings for X &amp; Ku Band Applications
[NO] 617/1000 | Deep Spatial-Temporal Attention Transformer with Hierarchical Reconciliation for Multi-Granularity Electricity Sales Forecasting
[NO] 618/1000 | Dopamine-Inspired Neuro-Modulated Radiomic Pipeline for Computed-Tomography-Driven Prediction of Immunotherapy Response in Metastatic Cancer Treatment
[NO] 619/1000 | Assessing the Quality of Soccer Shots from Single-Camera Video with Vision-Language Models and Motion Features
[NO] 620/1000 | Research on Multimodal Intelligent Decision-Making Technology for Complex Power Operation Processes
[NO] 621/1000 | GWOGA-Based Path Planning for Mobile Robots in Obstacle Environments
[NO] 622/1000 | Grok-Powered Analysis of Project-Based-Learning Student Feedback
[NO] 623/1000 | Analyzing Closed-Loop Training Techniques for Realistic Traffic Agent Models in Autonomous Highway Driving Simulations
[NO] 624/1000 | A Method for Detecting Surface Defects in Steel Based on an Improved YOLOv10 Algorithm
[NO] 625/1000 | Research on the Early Fault Identification of Transmission Lines Based on Partial Discharge
[NO] 626/1000 | RetailAction: Dataset for Multi-View Spatio-Temporal Localization of Human-Object Interactions in Retail
[NO] 627/1000 | Numerical Simulation of SCR Catalytic Denitrification Based on Heat Storage Function
[NO] 628/1000 | Optimum Design and Stiffness Evaluation of a 3-DoF Parallel Module for a Hybrid Machining Robot
[NO] 629/1000 | Automated Advertising Campaign Generation from Minimal Prompts: An AI-Powered Multi-Component Approach
[NO] 630/1000 | Enhanced Tea Leaf Disease Classification Using Transfer Learning and Continuous Layer with Attention Mechanism
[NO] 631/1000 | Find First, Track Next: Decoupling Identification and Propagation in Referring Video Object Segmentation
[NO] 632/1000 | Optimization Design of Inspection Robot for Granary Temperature and Humidity Based on Deep Learning
[NO] 633/1000 | Advancing Non-Invasive Scoliosis Detection Using Deep Learning
[NO] 634/1000 | Research on Performance Comparison of Different Python PDF Parsion Libraries in Analyzing Protection Setting Lists
[NO] 635/1000 | A Wideband S/X-Band Shared-Aperture Antenna Based on Metasurface
[NO] 636/1000 | A Dual-task Prediction Model for Starlink Maritime Performance
[NO] 637/1000 | Polarn: Polar BEV Representation with Unified Multi-Modal Fusion for 3D Detection
[NO] 638/1000 | Bridging the Black Box: Explainable Anomaly Detection for Critical Infrastructure Systems
[NO] 639/1000 | A Fault-Tolerant State Estimation Algorithm for Unmanned Systems Based on Koopman Operator and Particle Filter Fusion
[NO] 640/1000 | Research on Finite Element Simulation of Wireless Power Transmission
[NO] 641/1000 | Enhancing Domain Diversity in Synthetic Data Face Recognition with Dataset Fusion
[NO] 642/1000 | ERP-Driven Sales Forecasting with AI Techniques: A Predictive Analytics Approach
[NO] 643/1000 | MedSAM-Guided Curriculum Learning for White Matter Tract Segmentation in Block Face Imaging of Fetal Brain
[NO] 644/1000 | A Generalized Two-Stage Approach to Motion Style Transfer
[NO] 645/1000 | A Parallel Fault Diagnosis Framework Based on KNN-Graph Convolution and BiGRU with Global Attention
[NO] 646/1000 | A Raspberry Pi Based Approach to Skin Cancer Detection Through Transfer Learning
[NO] 647/1000 | CSG-Fusion: Consistent Sparse-View Gaussian Splatting via Matching-based Fusion
[NO] 648/1000 | Research on a Lightweight Object Detection Algorithm for Chaotian Peppers Based on YOLOv11s-PSN Network
[NO] 649/1000 | Information Security &amp; Engineering
[NO] 650/1000 | CoSense: Bridging Real-Time Performance and Fine-Grained Detail in mmWave Sensing
[NO] 651/1000 | An Adaptively Sampled HFM Pulsed Radar for Energy-Efficient Multi-Target Sensing
[NO] 652/1000 | Development of an Eight-channel Wearable Olfactory Display for Virtual Reality
[NO] 653/1000 | Task and Interrupt Packing for Efficient CPU Utilization
[NO] 654/1000 | Novelty Detection in Event Surveillance Documents
[NO] 655/1000 | Classification of Hypoxic Ischemic Encephalopathy (HIE) in Neonates Using ECG and a Transformer-Based Model_supp1-3662271.pdf
[NO] 656/1000 | Contactless System for Sleep Prediction in Drivers
[NO] 657/1000 | Suppressing Hexagonal Defects in Ex Situ Remote Plasma Dry Etch Processing
[NO] 658/1000 | Channeling Fairness: Class Imbalance-Aware Skin Disease Recognition via Fair Channel Enhancement Module
[NO] 659/1000 | Active Thermal Control for EV Motor Drives under Stall and Low-Frequency Conditions Using Additional Current Degrees of Freedom
[NO] 660/1000 | Disturbance-Adaptive Data-Driven Predictive Control: Trading Comfort Violation for Savings in Building Climate Control
[NO] 661/1000 | A Systematic Framework for Data Quality Assessment in Industrial Process Monitoring
[NO] 662/1000 | CNN-based Transistor Modeling under Self-Heating Effects
[NO] 663/1000 | IEEE Transactions on Education Publication Information
[NO] 664/1000 | Designing and Evaluating Live Migration of Confidential Virtual Machines for Commodity Arm CCA-based Platforms
[NO] 665/1000 | Information provision strategy of retailers under consumer reference-dependent behavior_supp1-3666760.pdf
[NO] 666/1000 | ICRAI 2025 TOC
[NO] 667/1000 | Beyond Heat Dissipation: Optimizing Diffusion Models in Frequency Domain
[NO] 668/1000 | Gridless Cooperative Coevolutionary Algorithm for Real-Time DOA Estimation in Automotive Radar
[NO] 669/1000 | ArgusSAR: A Multi-dimensional Perception and Robust Detection Method for Multi-scale Objects in SAR Images
[NO] 670/1000 | Temperature, Pressure, and Strain Metamaterial Sensor Based on High-temperature Co-fired Ceramic for Extreme Environment
[NO] 671/1000 | A Novel End-to-End Framework for Low-SNR FID Signal Denoising via Rank-Sequential Truncated Tensor Decomposition
[NO] 672/1000 | Robust Multimodal Learning Framework for Intake Gesture Detection Using Contactless Radar and Wearable IMU Sensors
[NO] 673/1000 | Research on Cooperative Control Strategy for Converter Systems Considering Power Margin and Operating Constraints
[NO] 674/1000 | A Comparison of Data-Driven Shape Quantification Methods for 2D Microscopy Images
[NO] 675/1000 | Application of Youla Parameterization Algorithm Improved by Simulated Annealing in Active Vibration Control
[NO] 676/1000 | SynBalance: Harnessing Synthetic Data in Long-tailed Recognition
[NO] 677/1000 | Are Medical Image Generative Models Biologically Trustworthy?
[NO] 678/1000 | Quo Vadis Handwritten Text Generation for Handwritten Text Recognition?
[NO] 679/1000 | Evolving from Unknown to Known: Retentive Angular Representation Learning for Incremental Open Set Recognition
[NO] 680/1000 | Ensemble-Based Question Classification Using Bloom's Taxonomy
[NO] 681/1000 | Federated Active Learning for Target Domain Generalisation
[NO] 682/1000 | Digital Precognition: Teaching Transformers to Map Cyber Threats Before Analysts Can
[NO] 683/1000 | Sparse Hyperbolic Convolutional Networks with Enhanced Object Localization via GradCAM Analysis
[YES] 684/1000 | Two-Stage Fine-Tuning for Retrieval-Augmented Large Language Models via Retriever and Prompt Optimization
[NO] 685/1000 | Locally Controlled Face Aging with Latent Diffusion Models
[NO] 686/1000 | Leveraging AI for Fraud Detection in the Insurance Industry: A Customer-Centric Research Study
[NO] 687/1000 | Design and Analysis of a Compliant Underactuated Gripper
[NO] 688/1000 | WP-CLIP: Leveraging CLIP to Predict Wölfflin's Principles in Visual Art
[NO] 689/1000 | Generative AI for Cel-Animation: A Survey
[NO] 690/1000 | Robust Deepfake Detection Against Adversarial Attacks Using Feature Fusion and FGSM Defense
[NO] 691/1000 | A Low-Leakage 11T SRAM Cell with Sleep Transistors for Low Leakage and Improved Stability
[NO] 692/1000 | Adaptive ML-Driven Threat Prediction and Authentication Scheme for Fog Environments
[YES] 693/1000 | Toward Low-SWaP Cognitive Agents: Neuromorphic Intelligence and FPGA-Based Deployments of Event Neural Networks
[NO] 694/1000 | RCENet: Recursive Concatenation and Enhancement Network for Real-Time Super-Resolution
[NO] 695/1000 | Improved A* Algorithm Based on Dynamic Heuristics and Safety Penalty
[NO] 696/1000 | Design of Robot Compliance Control Algorithm with Inner and Outer Loops Fusion Based on External Force Observer
[NO] 697/1000 | Breast Cancer Detection with Topological Deep Learning
[NO] 698/1000 | Back Home: A Computer Vision Solution to Seashell Identification for Ecological Restoration
[NO] 699/1000 | A Dual Linearly Polarized Programmable Metasurface Based on PIN Diodes
[NO] 700/1000 | ELDNet: An Eulerian-Lagrangian Decomposed Network for Solving Multiscale PDEs
[NO] 701/1000 | Comparative Analysis of Machine Learning Algorithms for Cervical Cancer Detection with SMOTE and ANOVA Statistical Validation
[NO] 702/1000 | A Backend Optimization Module for Robust Loop Closure Detection in Multi-Agent Neural SLAM
[NO] 703/1000 | Modular Lower-Limb Exoskeleton with Soft Pneumatic Actuators and Deep Reinforcement Learning Control for Personalized Gait Rehabilitation
[NO] 704/1000 | CoT-Pose: Chain-of-Thought Reasoning for 3D Pose Generation from Abstract Prompts
[NO] 705/1000 | AI-Powered Parking Spot Recognition Based on Multimodal Large Models
[NO] 706/1000 | Low-Voltage 9T SRAM in 22 nm CMOS with Optimized Read Path for Reduced Access Time and Enhanced Stability
[NO] 707/1000 | IRLTrees3D: A 3D Reconstruction Dataset of Trees
[NO] 708/1000 | The Future of Precision Medicine and Artificial Intelligence in Drug Discovery: A Comprehensive Analysis of Instruments and Methods
[NO] 709/1000 | Posture Control of a Dual Hemisphere Capsule Robot*
[NO] 710/1000 | Privacy-Preserving Federated Learning for Multi-Tenant CRM Systems
[NO] 711/1000 | Noninvasive Near-Field Sensing for Assessment of Cerebral Blood Flow Variability in Populations with Acute and Adapted High-Altitude Exposure
[NO] 712/1000 | Design and Development of a Lightweight Vivaldi FOPEN Antenna for VHF,UHF and L-Band Defense Applications
[NO] 713/1000 | Modality-Specific Benchmarks and Radar Range-Doppler Envelope Classification for Multimodal Isolated Sign Language Recognition
[NO] 714/1000 | Design of High-Rejection Suspended Microstrip Duplexer with Loaded Non-Resonant Nodes
[NO] 715/1000 | Trajectory Error Prediction of Manipulator Using Seq2Seq Gated and Adaptive Continuous-Time Recurrent Neural Network (S2S-GACTRNN)
[NO] 716/1000 | Robust Anomaly Detection in Industrial Environments via Meta-Learning
[NO] 717/1000 | Research on the Product Carbon Footprint Accounting Method Based on Identification and Resolution System and Blockchain
[YES] 718/1000 | Generative AI for IoT Security: A Review of Attack Detection, Prevention, and Secure Data Transmission Mechanisms
[NO] 719/1000 | Conformal Field Injection for Accurate FDTD Simulation of Off-Grid Planar Transmission Line Structures : (Invited Paper)
[NO] 720/1000 | Multi-Frame RGB-Based Category-Level Object Pose Estimation
[NO] 721/1000 | Multi-Channel Impedance Measurement Method Based on Data Acquisition Card
[NO] 722/1000 | Few-Shot Vision-Language Reasoning for Satellite Imagery via Verifiable Rewards
[NO] 723/1000 | Attitudes of Jordanian journalists towards the Cybercrime Law and its Impact on Freedom of Opinion and Expression
[NO] 724/1000 | Evaluating Variance in Visual Question Answering Benchmarks
[NO] 725/1000 | WLIP-WT Model Based MPC-VMC Hierarchical Control for Wheeled Biped Robots
[NO] 726/1000 | Aerial Target Tracking: Benchmarking Algorithms on an Air-to-Air UAV Dataset
[NO] 727/1000 | Generative AI for Creating Interactive and Adaptive Educational Videos: A Pedagogical Framework
[NO] 728/1000 | Survey of Deep Learning in Melanoma Detection
[NO] 729/1000 | Customized CNN for Detecting Abnormalities in X-Ray and CT Scan Images
[NO] 730/1000 | Adaptive Honeypots using Reinforcement Learning Algorithms DQN and DDQN in Ensemble Framework: A Systematic Literature Review
[NO] 731/1000 | AAO-Grasp: Diffusion-Enhanced Object-Level Grasp All at Once
[NO] 732/1000 | Metaheuristic Optimization for Feature Reduction in Cerebrovascular Disease Detection: A Butterfly Algorithm Approach
[NO] 733/1000 | Privacy-Driven Cloud AI: Federated Learning and Zero-Trust for Secure Multi-Domain Collaboration
[NO] 734/1000 | A 16-Element Broadband High-Gain Linearly-Polarized Array Antenna
[YES] 735/1000 | Synthesizing Specialized Sparse Tensor Accelerators for FPGAs via High-Level Functional Abstractions
[NO] 736/1000 | Modeling and Simulation of Battery Modules and Study of Thermal Runaway Characteristics Based on ANSYS Fluent
[NO] 737/1000 | Cracking the Code of Spotify Hits: The Impact of Data Preprocessing and Machine Learning Models
[NO] 738/1000 | TrafficInternVL: Understanding Traffic Scenarios with Vision-Language Models
[NO] 739/1000 | RG-Attn: Radian Glue Attention for Multi-Modal Multi-Agent Cooperative Perception
[NO] 740/1000 | A Research on Depthwise Separable Convolution Accelerator Based on Tensor Permutation
[NO] 741/1000 | Performance Benchmarking of Multiple Ensemble Classifiers for Predictive Modelling of Chronic Kidney Disease
[NO] 742/1000 | Anomaly Detection for Rare Breast Cancer Subtypes
[NO] 743/1000 | Prediction of Electromagnetic Scattering with a Small Dataset Based on Active Learning
[NO] 744/1000 | Sizing of Feedforward Compensated Operational Amplifiers with TF
[NO] 745/1000 | A Wideband Millimeter-Wave Eight-Way Power Divider Using Substrate Integrated Coaxial Line
[NO] 746/1000 | A Multi-domain Image Translative Diffusion StyleGAN for Iris Presentation Attack Detection
[NO] 747/1000 | An optimal allocation method for reactive power compensation considering both steady-state and transient voltage support
[NO] 748/1000 | Next-Generation Digital Twin Analytics in Smart Manufacturing using Cross-Layered Edge Cloud Deep Learning
[NO] 749/1000 | Optimizing Power System Operation: A Comparative Study of Integrated Power Flow Controller with PI and Fuzzy Logic-Based Controllers During Fault Scenarios
[NO] 750/1000 | A Multi-Directional Dynamic 3D Scanning System for Underwater Pipelines
[NO] 751/1000 | Machine Learning and Deep Learning for Crop Recommendation and Yield Estimation: A Study on Wardha Agricultural Data
[NO] 752/1000 | Differential Privacy-Based Protection Against Web Traffic Analysis Attacks
[NO] 753/1000 | Concentric Circle Modeling and SKC Index for Quantitative Analysis of Water-Induced Ballast Degradation in Heavy-Haul Railways
[NO] 754/1000 | Domain-Aware Enhancements to Vision-Language Models for Urban Traffic Safety Question Answering
[YES] 755/1000 | Graphene: Leveraging Transformers with Control Flow Modalities for Malware Detection
[NO] 756/1000 | Nonlinear Admittance Control Enhanced by Sliding Mode for Collaborative Manipulators
[NO] 757/1000 | A BioCM-Based Multi-Exposure Multi-Focused Target Recognition Approach for LDI Machines
[NO] 758/1000 | Design of Wideband High-Gain Millimeter-Wave Antenna-in-Package Based on LTCC Technology
[NO] 759/1000 | A Robotic Arm Control Method Integrating Hierarchical Reinforcement Learning and Fuzzy Control
[NO] 760/1000 | Leveraging T5 and Recurrent Gans for Improved Sarcasm Generation in Natural Language Processing
[NO] 761/1000 | Design Phase-Locked Loop with ADC and DAC for Gyro Sensing Applications
[NO] 762/1000 | Application of a ResNet50 Model Incorporating Attention Mechanism for Dangerous Driving Behavior Recognition
[NO] 763/1000 | An Efficient Transients Simulation Model of Grid-Connected Battery Energy Storage System
[NO] 764/1000 | Generalizable Sign Language Recognition via Local Temporal Convolutions and Region-Aware Pose Encoding
[NO] 765/1000 | Cybersecurity Architecture for Cloud Database Infrastructure- A Case Study of Oracle Autonomous Database on Microsoft Azure
[NO] 766/1000 | A Fast Simulation Method for Large-Scale Phased Array Antennas
[NO] 767/1000 | A Method for Detecting the Outer Diameter of High-Voltage Cable Joints Based on 3D Point Clouds
[NO] 768/1000 | Research on the Division Method and Optimization Control Strategy of Large Scale Distributed Photovoltaic Clusters
[NO] 769/1000 | A K/Ka-Band Shared-Aperture Antenna for Satellite Communication
[NO] 770/1000 | Design and Visual Attention Assessment of a Decision Support System for Safe Ship Navigation
