[2026-07-16 22:56:42] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-15
正在获取论文...
[arXiv] 2026-07-15 | The spread construction and non-uniqueness of visible Lagrangians
[NO] 798/1751 | Emulation Digital Twin Framework: Case Study on NGAP Attacks in 5G Control Plane
[NO] 799/1751 | Secure Beamforming for Pinching-Antenna Systems
[NO] 800/1751 | Transmit Beampattern Design for Continuous Aperture Array (CAPA)-aided Sensing Systems
[NO] 801/1751 | Packaging and Antenna Design for a 46 -Element Dual-Surface Mmwave Active STAR-RIS Built with CMOS RFICs
[NO] 802/1751 | ClimaStyle: A Climate-Aware Visual Try-On with Prompt-Based Segmentation
[NO] 803/1751 | Factor Graph Optimization Based Data Fusion for Accurate 3-D Positioning Using UWB and IMU
[NO] 804/1751 | Architectural Enhancements for Efficient Sensing Data Utilization in 6G ISAC
[NO] 805/1751 | Evaluation of GenLLM–based Air Traffic Complexity Assessment
[NO] 806/1751 | Distributed Pilot Framework for OTFS: Achieving Interference Whitening and PAPR Reduction
[NO] 807/1751 | A Single-Stage Feedback-Feedforward D-Band LNA in SiGe BiCMOS
[NO] 808/1751 | Towards Inclusive Retrieval-Augmented Generation: Challenges and Opportunities for Cognitively Impaired Users
[NO] 809/1751 | Reasoning-Grounded Intent Injection for Generative Recommendation
[NO] 810/1751 | LLM-based Semantic and ID Representations for Sequential Recommendation
[NO] 811/1751 | DCGL: Dual-Channel Graph Learning with Large Language Models for Knowledge-Aware Recommendation
[NO] 812/1751 | Privacy Preserving Information Retrieval: Defining Privacy Research Pillars for a Future Research Agenda
[NO] 813/1751 | RoTE: Coarse-to-Fine Multi-Level Rotary Time Embedding for Sequential Recommendation
[NO] 814/1751 | Chunk-Wise Quantization for Graph Collaborative Filtering
[NO] 815/1751 | Inductive Subgraphs as Shortcuts: Causal Disentanglement for Heterophilic Graph Learning
[NO] 816/1751 | ADaFuSE: Adaptive Diffusion-generated Image and Text Fusion for Interactive Text-to-Image Retrieval
[NO] 817/1751 | CARD: Non-Uniform Quantization of Visual Semantic Unit for Generative Recommendation
[NO] 818/1751 | Exploring and Improving Cross- and Multi-Domain Personalized Question Answering via a Dual Retrieval Augmentation Approach
[NO] 819/1751 | SECRET: SEarch query Classification with label RETrieval
[NO] 820/1751 | Confidence-Aware Hard-Soft Fused Tree Search for MIMO Detection_supp1-3713356.pdf
[NO] 821/1751 | Retraction Notice: Colorization of Black &amp; White Videos &amp; Photographs
[NO] 822/1751 | A Contemporary Ontology-Based Approach to Geotechnical Knowledge Formalization and Regulatory Compliance_supp2-3713229.xlsx
[NO] 823/1751 | 8DNA: 8D Neural Asset Light Transport by Distribution Learning
[NO] 824/1751 | VidSplat: Gaussian Splatting Reconstruction with Geometry-Guided Video Diffusion Priors
[NO] 825/1751 | Shellular Metamaterial Design via Compact Electric Potential Parametrization
[NO] 826/1751 | Broadband Hyperspectral 3D Imaging using Dispersed Structured Light
[NO] 827/1751 | <i>C</i>
                    <sup>0</sup>
                    Generalized Coons Volumes over Arbitrary Polyhedra
[NO] 828/1751 | GauSmoke: Hybrid Physics-Optical Gaussian Splatting for Sparse Smoke Reconstruction
[NO] 829/1751 | ViewWeaver: Geometry-Grounded Generative Rendering for 3D-Aware Image Customization
[NO] 830/1751 | MAViD: A Multimodal Framework for Audio-Visual Dialogue Understanding and Generation
[NO] 831/1751 | Computational Design of Terrestrial Robots with Anisotropic Friction
[NO] 832/1751 | Autoregressive Modeling of Film with Applications in Video Montage
[NO] 833/1751 | 2026 IEEE International Conference on Software Testing, Verification and Validation (ICST)
[NO] 834/1751 | Agentic-VideoRAG: A Cost-Aware and Explainable Framework for Video Retrieval
[NO] 835/1751 | A Comparative study of Lightweight Deep Learning Frameworks for Plant Disease Detection
[NO] 836/1751 | DroidCleaner: An Android Malware Detector
[NO] 837/1751 | Temporal Defense: Early Detection of Blackhole Attacks in Wireless Sensor Networks using LSTM
[NO] 838/1751 | Adversarial Robustness in Deep Learning-based Network Intrusion Detection Systems: A Defense-Centric Systematic Review
[NO] 839/1751 | A Survey of ML Approaches for Anomaly Detection in cybersecurity With a Recommendation for Practical Deployment
[NO] 840/1751 | LLM-Powered Real-Time Voice Agent for Task-Guided Practice in Serious Games for ASD
[NO] 841/1751 | A 300-GHz 2-D Scalable 4 × 4 Phased-Array Receiver With Half-Wavelength Element Spacing in 65-nm CMOS
[NO] 842/1751 | Message from the AIST 2026 Chairs
[NO] 843/1751 | Adaptive Droop Control For Balanced Power Sharing In Islanded Microgrids Using Battery and Flywheel Energy Storage Systems
[NO] 844/1751 | Early Warning of Performance Degradation in Object Detection Models via Explainable AI
[NO] 845/1751 | Hybrid Table-Assisted and RL-Based Dynamic Routing for NGSO Satellite Networks
[NO] 846/1751 | M-wave Event Stream Transformer for Mechanical Anomaly Detection of GIS Circuit Breakers
[NO] 847/1751 | $\rm {M}^{2}\rm {C-EvDet}$: Multi-Domain Multi-Order Cross-Modal Knowledge Distillation for Event-based Object Detection
[NO] 848/1751 | Isolating Feature Transition Errors in Dynamically Adaptive Systems
[NO] 849/1751 | A Rapid Assessment Method for the Safe Load-Bearing Capacity of Pressure Vessels with Various Defect Types
[NO] 850/1751 | Intelligent Fractional Graph Signal Framework for Multi-Grade Brain Tumor Classification in IoT-Healthcare
[NO] 851/1751 | PV-Integrated Dynamic Voltage Restorer for Disturbance Compensation
[NO] 852/1751 | A Multimodal Approach for Alzheimer’s Disease Prediction Using Vision Transformer and CNN Models
[NO] 853/1751 | Remote Catheter System with Enhanced Haptic Feedback for Use in Endovascular Procedures
[NO] 854/1751 | A Comprehensive Review on Machine Learning Approaches for Zero-Day Attack Detection
[YES] 855/1751 | XPJudge: Explanation-Aware Pairwise Judging for Cost-Effective Code LLM Selection
[YES] 856/1751 | Leveraging Large Language Models for Trustworthiness Assessment of Web Applications
[NO] 857/1751 | Secure Bandwidth Allocation in UASNs via Spatially Correlated Shadowing Compensation and Geometric-Consistency Constraints
[NO] 858/1751 | Enabling Service Monitoring in Industrial IoT: A Knowledge-Integrated Service Status Perception Framework
[NO] 859/1751 | Geometry-Informed Maritime Anomaly Detection Using Probabilistic Roadmaps
[NO] 860/1751 | Semantic-Driven Federated Multi-Task Learning for Low-Altitude UAV Networks
[NO] 861/1751 | Dual-Sphere Structured Fiber Optic Sensor Based on SPR and MZI Principles for Marine Parameter Detection
[NO] 862/1751 | The Expanding Influence of the PSMA Magnetics Workshop [PSMA Corner]
[YES] 863/1751 | Runtime and Memory Performance of Human-Written and LLM-Generated Code: An Empirical Study
[NO] 864/1751 | A Bilingual Hindi–English Speech Emotion Dataset with Benchmark Evaluation
[NO] 865/1751 | The Multivariate Inverse Gamma Distribution and its Application to Wireless Communication Systems
[NO] 866/1751 | A Unified On-Orbit Relative Radiometric Calibration Framework for Optical Remote Sensing Satellites Based on Side-Slither Observations
[NO] 867/1751 | Assessing Vision–Language Models for Perception in Autonomous Underwater Robotic Software
[NO] 868/1751 | Diversity as a Security Primitive for ML-Based Network Intrusion Detection
[NO] 869/1751 | Interval observer for linear discrete-time system: An L
                    <sub>1</sub>
                    -gain characterization approach
[NO] 870/1751 | PEARL - Platform for Expert Annotation of Robotics Learning
[NO] 871/1751 | SVN-NDT: Extending Stein Variational Newton to Probabilistic LiDAR Registration for Surface Vehicle Localization
[NO] 872/1751 | Event-Triggered Decentralized Distillation over Multiagent Networks
[NO] 873/1751 | Design Method of Broad Flat-Top Fan-Beam Complementary Antenna for Radar Applications
[NO] 874/1751 | Physics-based self-supervised learning of a deep network for single-shot in-line hologram reconstruction_supp1-3694142.pdf
[NO] 875/1751 | FLEAT: Energy-Accuracy Trade-off in Federated Learning over Heterogeneous Edge Devices_supp1-3710334.pdf
[NO] 876/1751 | Dual-Stream Autoencoder with Spatial and High-Frequency Feature Interaction for Contactless Fingerprint Presentation Attack Detection
[NO] 877/1751 | Two-Scale Spatial Deployment for Cost-Effective Wireless Networks via Cooperative IRSs and Movable Antennas
[NO] 878/1751 | Domain-Adaptive Self-Supervised Contrastive Hashing for Scalable Chest Radiograph Retrieval
[NO] 879/1751 | LWL-RT-DETR: A Lightweight Collaborative Model for Wildlife Detection
[NO] 880/1751 | Sampled Event-Triggered Distributed Secondary Frequency Control for Islanded Microgrids under Communication Delays
[NO] 881/1751 | Equivalent Circuit Models for Waveguide-Fed, Resonant, Metamaterial Elements
[NO] 882/1751 | Captivity-Escape Games as a Means for Safety in Online Motion Generation
[NO] 883/1751 | Improving Molecular Generation with SELFIES: A Variational Autoencoder Approach
[NO] 884/1751 | Decentralized Machine Learning Frameworks for Agile Team Collaboration in Digital Workspaces
[NO] 885/1751 | Lightweight Multi-Cue Fusion Network for Deepfake Audio Detection
[NO] 886/1751 | A Multidomain Survey of Biological Rhythm Analysis: Integrating Mathematical Modelling, Multiscale Complexity, and Data-Driven Methods
[NO] 887/1751 | Classification Iterative-Interpolated DFT Algorithm for Wideband Oscillation Detection
[YES] 888/1751 | Low Power VLSI Design using Clock Gating Techniques
[NO] 889/1751 | Intelligent Hydrocarbon Flame Detection Method Based on ECANet Attention Mechanism and Multi-modal Decision Fusion
[NO] 890/1751 | Topological Robustness in Formation Flight: A Sensitivity Study
                    <sup>*</sup>
[NO] 891/1751 | Proceedings of the IEEE
[NO] 892/1751 | Wireless Power Transfer Preliminary Validation of a Quasioptical Lunar Solar Power Satellite
[NO] 893/1751 | Ghost ReSTIR: Volumetric Resampling with Ghost Vertices in Null-Scattering Space
[NO] 894/1751 | Improving Ad-hoc Search Effectiveness for Conversational Information Retrieval via Model Merging
[NO] 895/1751 | Can QPP Choose the Right Query variant? Evaluating Query Variant Selection for RAG Pipelines
[NO] 896/1751 | Load-sensitive Selective Pruning in Dense Retrieval
[NO] 897/1751 | Beyond Static Diffusion: Explicitly Modeling Temporal Patterns in Sequential Recommendation
[NO] 898/1751 | Attention Grounded Enhancement for Visual Document Retrieval
[NO] 899/1751 | A Sensitivity-Aware Test Collection for Search Among Personal Information
[NO] 900/1751 | From Top-1 to Top-K: A Reproducibility Study and Benchmarking of Counterfactual Explanations for Recommender Systems
[NO] 901/1751 | From Single- to Cross-Document: Benchmarking Multi-Granularity Event Analysis of Large Language Models
[NO] 902/1751 | Uncertainty Quantification for Retrieval-Augmented Reasoning
[NO] 903/1751 | Retraction Notice: Sports Event Data Acquisition Method Based on Wireless Sensor Technology and BP Neural Networks
[NO] 904/1751 | Copyright Page
[NO] 905/1751 | WS27: International Workshop on Sustainable and Sustainability-Enabling 6G
[NO] 906/1751 | Retraction Notice: Neural Network to detect Cervical Cancer early using Pap smears Images
[NO] 907/1751 | Confused Deputy Attack Against Model Context Protocol
[NO] 908/1751 | Retraction Notice: Content Based Offline Fake News Detection using Classification Technique
[NO] 909/1751 | Retraction Notice: Land Use and Land Cover Classification Using Recurrent Neural Networks with Shared Layered Architecture
[NO] 910/1751 | Potential risk mining of battery systems for electric vehicles: Multi-level screening and statistical analysis of safety features_supp1-3713031.docx
[NO] 911/1751 | Retraction Notice: FPGA Implementation of FBMC Transceiver for 5G Technologies
[NO] 912/1751 | Rigidity-Based Multi-UAV Trajectory Optimization for Rapid Cooperative Emergency Target Localization_supp1-3713188.pdf
[NO] 913/1751 | Having the Heart in the Right Place: Exploring Visual Heartbeat Cues in Virtual Avatar Design_supp1-3712953.pdf
[NO] 914/1751 | PermuteV: A Performant Side-Channel-Resistant RISC-V Core Securing Edge AI Inference
[NO] 915/1751 | Gradient-Based Service Placement for Capacity-Constrained Edge Computing in DTNs
[NO] 916/1751 | IoT Based Driver Drowsiness and Monitoring System for Enhanced Road Safety
[NO] 917/1751 | ZKTrustLLM: IPFS-Anchored Zero-Knowledge Accountability for Secure 5G/O-RAN Edge Multicast
[NO] 918/1751 | Flood Detection and Mapping: A Comprehensive Survey of SAR and Deep Learning Approaches
[NO] 919/1751 | Hybrid Blockchain and AI Based Continuous Authentication Framework for Secure Internet of Vehicles
[NO] 920/1751 | AirBreath Sensing: Toward Robust and Spectrum-Efficient Over-the-Air Distributed Sensing
[NO] 921/1751 | Optimized AI - Driven Autonomous Delivery Robot for Smart Cities
[NO] 922/1751 | Double Balanced Parametric and Resistive Millimeter-Wave Mixers with more than 100 GHz RF-Bandwidth
[NO] 923/1751 | Lighting and Visibility in Table Tennis. Methods for Improvement of Playing Quality
[NO] 924/1751 | Low-Cost Wearable System for Personalized Assistance in Gait Training
[NO] 925/1751 | Adaptive Strategies for Transparent Risk Mitigation in Stock Markets
[NO] 926/1751 | On Extremely Low-Complexity Detection for OTFS via Interference Cancellation
[NO] 927/1751 | Machine Learning-Based Prediction of Heart Attack Risk: A Data-Driven Approach
[NO] 928/1751 | Random Access with Delayed Feedback: Stability, Delay, and Age of Information
[NO] 929/1751 | Automatic Synthesis of Greenhouse Supervisory Climate Control with Integrated Crop Growth Models
[NO] 930/1751 | Planar Ferrite Isolator Combining Edge-Guided Mode and Gyro-Resonance Absorption
[NO] 931/1751 | Bistatic Passive Tracking via CSI Power
[NO] 932/1751 | Load Balancing MPTCP Traffic in Reactive SDN with Multi-Agent Reinforcement Learning
[NO] 933/1751 | Latency-Centric RAN Orchestration with World Model for Satellite-Assisted Mobile Edge Computing
[NO] 934/1751 | A 15.5-46.0 GHz Broadband Power Amplifier with 19.0-22.0 dBm P
                    <sub>sat</sub>
                    and 30.0% Peak PAE
                    <sub>max</sub>
                    in 28-nm Bulk CMOS
[NO] 935/1751 | MTL-Based Framework for Sentiment Analysis, Toxicity Detection, and Bias Identification in Threads App
[NO] 936/1751 | A Novel Compact 200 MHz GaN DC/DC Converter Module for Highly-Efficient PoL Supply
[NO] 937/1751 | Composite Index Modulation for Pinching Antenna Systems
[NO] 938/1751 | A Broadband G-Band Frequency Doubler in $130-\text{nm} \text{SiGe} \text{Technology}$
[NO] 939/1751 | Wideband Bandpass Filter Cell Using a Hybrid BAW-Assisted Topology
[NO] 940/1751 | Detecting Image Splicing Forgery Using a CNN with LIME-Based Explainability
[NO] 941/1751 | From Uncertainty to Insight: Exploring Circuit-Level Privacy Preservation for Healthcare Applications
[NO] 942/1751 | Lending a Hand: Cooperative Active–Passive Uplink Offloading for Low-Power MEC Networks
[NO] 943/1751 | Physical Human-Robot Interaction: A Review From the Guide Robot Perspective
[NO] 944/1751 | Blind-Scan Angle Estimation for Surface-Mounted Antenna Arrays Using a Quasi-Analytical Approach
[NO] 945/1751 | Waveform Design for DCO-OFDM with Null-space Sensing Signal in Optical Wireless ISAC
[NO] 946/1751 | Cloud File Optimizer
[NO] 947/1751 | A Hybrid Electromagnetic Induction and Machine Learning Framework for Digital Transformation
[NO] 948/1751 | Implementation of discrete event systems controllers and supervisors via Statecharts
[NO] 949/1751 | A Hybrid QWOA Optimized PAFPN-SE Framework for Multiclass Structural Defect Segmentation
[NO] 950/1751 | A Compact 4-Bit PCM-Based Hybrid Phase Shifter in $0.18-\mu \mathrm{m}$ SiGe BiCMOS for 28 GHz Phased Arrays
[NO] 951/1751 | State of Charge Estimation in Li-Ion Batteries Using Data-Driven Techniques for EVs
[NO] 952/1751 | A $1-\mathrm{V}, 19.2-\text{mW}, 308-\text{GHz}$ Push–Push Balanced Colpitts Oscillator in $70-\text{nm}$ GaAs pHEMT Technology
[NO] 953/1751 | Hybrid DRL and QUBO-based Optimization Framework for High-Performance Computing
[NO] 954/1751 | A 16 – 50 GHz Cryogenic LNA MMIC with 11.2 K Average Noise Temperature for Radio Astronomy
[NO] 955/1751 | A Ultrawideband Phase-Invariant VGA with Core-Matching Network Co-Design Achieving $&lt;1.38^{\circ}$ RMS Phase Error
[NO] 956/1751 | Smart Object Detection with Audible Navigation for the Visually Impaired
[YES] 957/1751 | Design and Simulation of Security Algorithm (ECC) Using Verilog for IoT Applications
[NO] 958/1751 | Under Water Object Detection Using Deep Learning
[NO] 959/1751 | Sleep Disorders Prediction Using Machine Learning and Deep Learning
[NO] 960/1751 | Influence of Stray Light on Photometric Measurements – a Case Study
[NO] 961/1751 | Intelligent LED Lighting System with Variable Spectral Characteristics for Controlled Indoor Climate Environments
[NO] 962/1751 | Hybrid CNN-BiLSTM Deep Learning Algorithm Based Power Consumption Prediction for Accuracy
[NO] 963/1751 | Fully-Activated GSSK with LFM Waveform for Integrated Sensing and Communication
[NO] 964/1751 | UCB-VG: Virtual-Grid-Based Decentralized Learning for Link Management in LEO Networks
[NO] 965/1751 | A 10-15 GHz BiCMOS Power Amplifier for 6G NR FR3 Band with 27.3 dBm $\mathrm{P}_{\text {SAT }}$ and 33% PAE
[NO] 966/1751 | Intelligent Greenhouse With Control Of Microclimate And Artificial Lighting Parameters
[NO] 967/1751 | See-through: Single-image Layer Decomposition for Anime Characters
[NO] 968/1751 | MoonSplat: Monocular Online Gaussian Splatting with Sim(3) Global Optimization
[NO] 969/1751 | Curvature Space Editing of Highly-Coiled Hair
[NO] 970/1751 | Dichoptic Foveation
[NO] 971/1751 | gCDT: A Highly Parallel GPU Algorithm for Large-Scale Constrained Delaunay Triangulation
[NO] 972/1751 | Robust In-Engine Texture Optimization from Inconsistent Generative Targets
[NO] 973/1751 | VFAvatar: Feed-Forward 3D Avatar Reconstruction from Casual Image Collections
[NO] 974/1751 | The Effects of Early Socio-Technical Decisions on UXDebt
[YES] 975/1751 | Evaluating LLM-based Workflows for Switched-Mode Power Supply Design
[YES] 976/1751 | LLM-Powered Framework for Real-World Exploit Prediction
[NO] 977/1751 | IRS-assisted UAV Secure Communication via Agentic AI
[NO] 978/1751 | TSV: Training Set Verification - Detection of Unauthorized Data Additions to the Training Set of Machine Learning Models Using Out-of-Distribution Technique
[NO] 979/1751 | Long-Sequence Lower Limb Action Recognition via Action-Specific Attention and Logic Correction for Daily Rehabilitation
[NO] 980/1751 | Design and Evaluation of an ML-Based Anomaly Detection System
[NO] 981/1751 | Deep Imbalanced Multi-Target Regression: 3D Point Cloud Voxel Content Estimation in Simulated Forests
[NO] 982/1751 | Constructive Safety-Critical Control of Nonlinear Cascaded Systems with Multiple Constraints and Perturbations
[NO] 983/1751 | Data-Driven Output-Based Approach to the Output Regulation Problem of Unknown Linear Systems via Value Iteration
[NO] 984/1751 | Empowering Autism Care through Conversational AI Agents: Leveraging Large Language Models for Personalized Support
[NO] 985/1751 | Pursuit Strategies for Reach-Avoid Games with Multiple Goal Subregions via Cartesian Ovals
[NO] 986/1751 | Identity-Consistent Face Restoration from Masked Inputs Using Diffusion Models
[NO] 987/1751 | Explainable Multi-Class Mental Health Classification from Social Media Using DistilBERT and Knowledge Graphs
[NO] 988/1751 | Federated Learning–Enabled Zero-Trust SDN Framework for Secure IoT Network Traffic Analysis
[NO] 989/1751 | GIS Based Identification of Optimal Solar Plant Locations in Odisha, India
[NO] 990/1751 | Detection of Adulterated Pork Meat Using YOLOv7-Based Deep Learning and Image Processing Through Color and Texture Analysis
[NO] 991/1751 | Canine Skin Disease Classification using Convolutional Neural Networks through Limited Multispectral Imaging
[NO] 992/1751 | Secure Automotive Intrusion Detection Using Federated GNNs and Explainable AI
[NO] 993/1751 | ICST Tool Competition 2026 – UAV Testing Track
[NO] 994/1751 | 2026 Fourth International Conference on Secure Cyber Computing and Communications (ICSCCC)
[NO] 995/1751 | CVFL-Pro: A Collusion-Resistant Verification Federated Learning Framework with Adaptive Communication Optimization
[NO] 996/1751 | The Computation of Congruential Closures over the Max-Plus Semiring
[NO] 997/1751 | Joint Optimization of User Association and Resource Allocation for Load Balancing With Heterogeneous Fairness
[NO] 998/1751 | First Plan Then Evaluate: Multi-Target Planning With Post-Planning Success Evaluation Improves Learning-Based Grasping Pipelines
[NO] 999/1751 | Koopman-Based Multi-Step Prediction of Nonlinear Body-Velocity Dynamics for an Underwater Vehicle
[NO] 1000/1751 | Get Published in the IEEE Open Journal of Power Electronics
[NO] 1001/1751 | Real-Time Blowing-Snow Visibility Detection and Variable Message Sign Coordination for Highway Operations
[NO] 1002/1751 | Miniaturized Transition-Free Filters With Wide Stopband Rejection Using Integrated Stepped Impedance Slot Rectangular SSPPs
[NO] 1003/1751 | An Efficient Satellite Image Deblurring Model Integrating Deep Learning and Walrus Optimization Algorithm
[NO] 1004/1751 | An Explainable Auto ML Framework for Detecting MQTT CONNECT Flooding Attacks in Healthcare 5.0 IoMT Systems
[NO] 1005/1751 | Analysing a AIML Model to maximize a electric energy efficiency with crop yield improvement to advance agricultural activities
[NO] 1006/1751 | Performance evaluation of ResNet50-Based Deep Learning Approach for Dark Spot Disease Detection in Mango Leaves
[NO] 1007/1751 | Analysis and Mitigation of Measurement Errors in High Flux Tests of Generator Stator Cores via Optimized Trace Winding Arrangement
[NO] 1008/1751 | Message from the Program Chairs
[NO] 1009/1751 | Teleoperated Driving via a Private 5G Network: Demonstration with Remotely-Driven Robots
[NO] 1010/1751 | The Ultimate Source of Knowledge
[NO] 1011/1751 | IEEE Design &amp; Test Publication Information
[NO] 1012/1751 | A robust virtual sensor-based Iterative Learning Control under presence of multiple sensor faults
[NO] 1013/1751 | Model-Based Detection of Anomalous Events in Submarine Cables Using Distributed Deformation Sensing and Kalman Filtering
[NO] 1014/1751 | Clustering Attentional Types in Conditional Automated Driving for Adaptive Take-Over Request Design
[NO] 1015/1751 | Unfolding Myth in Motion: A Multi-Screen Installation
[NO] 1016/1751 | Improving Convergence of Fourier Optical Shading for Nanostructural Diffraction
[NO] 1017/1751 | Transient Polarimetry
[NO] 1018/1751 | Extending Thread Display with XY Blower Actuation for Controllable Passive Aerial Imaging
[NO] 1019/1751 | Retraction Notice: Block Chain Based Identity Authentication System for a Wireless Sensor Networks
[NO] 1020/1751 | Retraction Notice: Comparative Analysis for Prediction and Classification of Mental Health Issues and Challenges Using Hybrid Learning Techniques
[NO] 1021/1751 | Retraction Notice: Setup of Digital Health Care Mechanism for the Smart IPD Booking
[NO] 1022/1751 | Learning What to Solve: Efficient Feature Acquisition with Classifier Dependencies_supp1-3712713.pdf
[NO] 1023/1751 | A Contemporary Ontology-Based Approach to Geotechnical Knowledge Formalization and Regulatory Compliance_supp1-3713229.docx
[NO] 1024/1751 | 2026 IEEE MTT-S Radio Frequency Technology and Techniques Symposium (IMS RFTT)
[NO] 1025/1751 | Temporal-Weighted Transfer Network for Knowledge Graph Extrapolation
[NO] 1026/1751 | Exploring Attention States and Narrative Engagement in an Interactive VR Experience
[NO] 1027/1751 | Deep Learning Framework Testing via Heuristic Guidance Based on Multiple Model Measurements
[NO] 1028/1751 | MMRM: A Multiplex Multimodal Representation Model for Product Ranking in E-commerce Search
[YES] 1029/1751 | Latent Retrieval Augmented Generation
[NO] 1030/1751 | FedMosaic: Federated Retrieval-Augmented Generation via Parametric Adapters
[NO] 1031/1751 | FACE: A Fine-Grained Reference-Free Evaluator for Conversational Information Access
[NO] 1032/1751 | Deletion Isn't Enough: Auditing RAG for Selective Forgetting
[NO] 1033/1751 | GeoSearch: Augmenting Worldwide Geolocalization with Web-Scale Reverse Image Search and Image Matching
[NO] 1034/1751 | ZIPBid: Hierarchical Zero-shot Incremental Spend Planning for Auto-bidding
[NO] 1035/1751 | A Multi-Granularity Game-Theoretic Approach to Weakly Supervised Temporal Article Grounding
[NO] 1036/1751 | A Taxonomy and Catalog of SERP Elements Across Web Search Engines
[NO] 1037/1751 | Automated Image Splicing Detection and Localization Using Mask R-CNN
[NO] 1038/1751 | A 4-Channel Self-Synchronizing Receiver Array Without LO Distribution with Angle-of-Arrival Estimation
[NO] 1039/1751 | A 286-GHz CMOS Amplifier Achieving 56-GHz BW
                    <sub>3dB</sub>
                    via $f_{\max}$-Boosting and Gain-Staggering
[NO] 1040/1751 | Latency Minimization in AirComp-Assisted Split Federated Learning with Layer-Wise Aggregation
[NO] 1041/1751 | Latency-Aware Task-Oriented Multi-Drone Communication for Small Object Detection
[NO] 1042/1751 | Sensing Performance Analysis for Meta-Backscatter Systems: How Much Information Can It Deliver?
[NO] 1043/1751 | Beamforming Design for Pinching-Antenna-Based Integrated Sensing and Communications
[NO] 1044/1751 | Differentiable Semantic ID for Generative Recommendation
[NO] 1045/1751 | Retraction Notice: Anomaly Detection in Cardiac Related Datasets
[NO] 1046/1751 | Retraction Notice: Exploratory Application of Deep Learning in Pharmaceutical Drug Discovery
[NO] 1047/1751 | Retraction Notice: Optimized Construction Project Management Using Ai And Machine Learning
[NO] 1048/1751 | Retraction Notice: Design and Implementation of Block Chain with Cybersecurity Scheme for Fog Based Internet of Things
[NO] 1049/1751 | Retraction Notice: Identification of Plant Species by Embedded Technology Using MatLab
[NO] 1050/1751 | Retraction Notice: Music Genre Recognition Using Short Time Fourier Tranform And CNN
[NO] 1051/1751 | Enhancing User Fairness in Pinching-Antenna Systems-Enabled Multi-User Communications
[NO] 1052/1751 | Digital Twin-Enabled Proactive Resource Management for Connected Robotics
[NO] 1053/1751 | From Waves to Graphs: A Ray-Tracing-Inspired Neural Radio Propagation Model
[NO] 1054/1751 | Switch-DFT: Adaptive Waveform and MIMO Switching for Energy-Efficient Base Stations
[NO] 1055/1751 | Methodology for Vibration Analysis Produced by Heavy Machinery and its Effect on the Human Body
[NO] 1056/1751 | Towards Responsible Ai in Safety-Critical Human-Machine Systems: a Literature-Based Governance Framework
[NO] 1057/1751 | System Level Analysis for Monostatic V2X ISAC
[NO] 1058/1751 | Compact D-Band Differential Single-Inductor Power Divider with 0.0059 mm
                    <sup>2</sup>
                    Silicon Area and 0.35-dB Minimum Insertion Loss
[NO] 1059/1751 | A 6.2-GHz Reference-Feedthrough-Suppressed Type-I Sampling PLL with a Bottom-Plate-Sampling PD Scoring 18.2 fs
                    <sub>rms</sub>
                    Jitter, –258.7-dB FoM and –80.6dBc Reference Spur
[NO] 1060/1751 | A 480-530 GHz Balanced Frequency Quadrupler Based on Schottky Varactor Diodes Integrated on a Micromachined Silicon Membrane
[NO] 1061/1751 | An Enhanced AI-Powered Cybersecurity Framework for Secure Data Transmission in IoT Networks using Federated Learning and Blockchain Integration
[NO] 1062/1751 | Service-Oriented Dynamic Computing Resource Allocation in Software-Defined B5G/6G Systems
[NO] 1063/1751 | Forecasting and Interpreting Inflation Trends: A Machine Learning Framework for Consumer Price Index Analysis
[NO] 1064/1751 | Stuck Fault Diagnosis Method in Probabilistic Discrete Event Systems
[NO] 1065/1751 | Statistical Modeling of Tamil Vowel Usage for Human-AI Collaborative Language Education: A Comparative Study of LDA and Regularized Logistic Regression
[NO] 1066/1751 | Application of Network Monitoring Protocols to Evaluate the Availability and Operability of Connectivity Equipment
[NO] 1067/1751 | Artificial Intelligence-Based Exam Proctoring Device Using Transformers
[NO] 1068/1751 | Doppler-Resilient LEO Satellite OFDM Transmission with Affine Frequency Domain Pilot
[NO] 1069/1751 | Energy-Efficient Federated Learning in Cooperative Communication within Factory Subnetworks
[NO] 1070/1751 | AI-Based Plant Disease Detection and Recommendation Using Sparse Dual-Level Graph Contextual Convolutional Attention Neural Network with Mountaineering Team-Based Optimization
[NO] 1071/1751 | SustainFlow: AI-Driven Behavioral Evolution for Sustainability
[NO] 1072/1751 | DustIQ: Smart Micro Nodes with AI Insights
[YES] 1073/1751 | Design and Simulation of a Reconfigurable Fault-Tolerant Multi-Valued Logic ALU with Power Management
[NO] 1074/1751 | GAN-LSTM Model for Recommendation and Prediction in Fashion Apparel
[NO] 1075/1751 | Optimal Renewable DG Placement for Loss Reduction and Sustainable Distribution System Development
[NO] 1076/1751 | QoS-Aware Multi-Rate SWIPT for Reliable and Sustainable Industrial IoT Communication
[NO] 1077/1751 | Nifty Movement Prediction Using Comprehensive Data Model Based on Nifty Option Chain Data
[NO] 1078/1751 | A Calibration-Free 55-to-70 dBc H1 Rejection, 13.8 % Efficiency, 102-to-120 GHz CMOS Frequency Tripler using Phase-Alignment Technique for Harmonic Recombination
