[2026-07-04 22:57:39] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-03
正在获取论文...
[ACM] 2026-7-3 | SAND: Spatially Adaptive Network Depth for Fast Sampling of Neural Implicit Surfaces
[NO] 529/942 | Load Frequency Control in Renewable Energy Sources Integrated Single-Area Power System
[NO] 530/942 | Modeling, Analysis and Control of Totem-Pole PFC-Based Onboard EV Charger for Third Harmonic Mitigation
[NO] 531/942 | A Class Topper Optimization with Regrouping Strategy Based PI-Controlled Shunt Active Power Filter for Power Quality Improvement
[NO] 532/942 | SmartEstateGPT: A Cost-Efficient Autonomous AI Agent for Real Estate Operations using RAG, Tool Calling, and TurboQuant Optimization
[NO] 533/942 | SkinNetFusion-Attn: A Hybrid Deep Learning Framework with Attention-Guided Feature Fusion for Accurate Skin Cancer Diagnosis
[NO] 534/942 | GDA-LLM: Graph-based Difficulty-Adaptive Large Language Model with Cross-Encoder Re-ranking
[YES] 535/942 | SVAN: Static Analysis System for SystemVerilog Hardware Descriptions
[NO] 536/942 | AI-Based Framework for Comprehensive Monitoring of Forest Degradation in the Sundarban Region Using Multi-Temporal Remote Sensing Data
[NO] 537/942 | A 3.25-Gb/S 0.74-pJ/bit IR-UWB Transmitter Using Edge-Reference Differential Phase Shift Keying (ER-DPSK)
[NO] 538/942 | Study of Oculomotor Control Under Optokinetic Load in Virtual Reality
[NO] 539/942 | A Scalable Distributed Digital LDO Achieving Fast and Accurate Current Balancing
[NO] 540/942 | Voltage Stability Enhancement in Power Systems Using Thevenin-Based D-VAR Placement
[NO] 541/942 | Image Quality Restoration Using Gans for Robust Object Detection in Projection-Based Vision Systems
[NO] 542/942 | A Multimodal Framework for Parkinson's Disease Detection Using Image, Audio, and Clinical Data
[NO] 543/942 | End-to-End Deep Learning Framework for Accurate Arrhythmia Recognition from 12-Lead ECG Signals
[NO] 544/942 | Unit Sizing and Techno-Economical Analysis of a Hybrid PV-Wind-Battery-DG System
[NO] 545/942 | High-Temperature Resilient SiGe Nanosheet PFET RMG Towards Multi-Tiered Sequential Integration
[NO] 546/942 | A Systematic Literature Review on Automata–Driven and ML-Augmented Frameworks for Testing in Web Applications
[NO] 547/942 | Quality-Aware Dynamic Client-Rank Selection for Resource-Constrained Federated LoRA
[NO] 548/942 | An 800 Gbps/Fiber Silicon Photonic Microring-Based DWDM Transceiver in an Open-Cavity Package
[NO] 549/942 | High Yield Sub 20 nm Ru Direct Metal Etch Enabled by Single-Exposure 0.55NA EUV and dry MOR Technology
[NO] 550/942 | Impact of Image Fusion of Optical and Microwave Satellite Imagery Under Cloudy Conditions
[NO] 551/942 | An innovative solution to improve academic performance and student well-being
[NO] 552/942 | AI-based Task Offloading in Vehicular Edge Computing Scenarios
[NO] 553/942 | Automating Gold Market: An N8N LINE Chatbot Approach
[NO] 554/942 | A Study of International Standards for Safe and Responsible AI for the Brazilian National Council of Justice
[YES] 555/942 | Reliable SOC LLM Agent with Workflow Generation
[NO] 556/942 | A Construction of Precision Agriculture for Tea Plantation Using Green Energy Mechanism
[NO] 557/942 | Robust Rule-based Heuristic Assistance Strategy for a Semi-Active Shoulder Exoskeleton Used in Overhead Work
[NO] 558/942 | Multi-Objective Deep Reinforcement Learning for Dimensional Optimization of Parallel Robots_supp1-3709074.mp4
[NO] 559/942 | An Enhanced Three-Cornered Hat Method for Uncertainty Analysis of Soil Moisture Products: Optimization Based on Error Model Improvement
[NO] 560/942 | ComSoc CTN
[NO] 561/942 | Low-Latency Spatial-Provenance Recovery Methods for Privacy-Constrained Vehicular Networks
[NO] 562/942 | Enhancing Volumetric Imaging in Linear-Array Photoacoustic Tomography: multiview fusion with deep learning
[NO] 563/942 | A Collaborative Evolutionary GVAE-Based Dispatch Framework for Partition Power Balance of Microgrid Clusters
[NO] 564/942 | CDC-VSR: Unifying Cross-Domain Continuity for High-Quality Video Super-Resolution_supp1-3709223.pdf
[NO] 565/942 | A Closed-form Expression for the Point Spread Function in Synthetic Transmit Aperture Ultrasound Imaging
[NO] 566/942 | Driver-Perception-Aware Shared Steering Control for Automated Vehicles: Balancing Safety and Comfort
[YES] 567/942 | Optimization of Single Photon Avalanche Diode Design using Surrogate-Reinforcement Learning
[NO] 568/942 | Tuning-Free Latent Diffusion Models for Ultrahigh-Resolution Image Editing_supp1-3707463.pdf
[NO] 569/942 | AI-Driven Restructuring of Employment in the Education Sector and Beyond: A Multi-Model Empirical Analysis
[NO] 570/942 | Untangling Surfaces via Shape and Mesh Repulsion
[NO] 571/942 | GenPIE: A Time-Resolved Plenoptic Imager
[NO] 572/942 | Coding Wagara: Fostering Motivation through Generating Japanese Patterns using SF Symbols
[NO] 573/942 | Bridging Artistic Expression and Game Design through Cross-Cultural Collaboration: An Educational Framework from a Seven-Year Japan–U.S. Program
[NO] 574/942 | Animating Engagement: Connecting Technology, Artistry, and Purpose in a Small Public University
[NO] 575/942 | Tangible Topics: Designing Technology to Enrich the Social Interactions of Older Adults in Community-Based Programs
[NO] 576/942 | Proceedings of the 2026 1st International Workshop on Software Engineering and Research Software
[NO] 577/942 | DVB-T Opportunistic Bistatic Radar Experiment Using a PXIe Receiver Platform
[NO] 578/942 | Real-Time Modulation Classification for Radio Signal Using Spectrograms with YOLOv8
[NO] 579/942 | SLID: Mitigating Unauthorized Covert Communications via Self-Locking Identification
[NO] 580/942 | First Demonstration of Heterogeneous n-IGZO/p-WSe
                    <sub>2</sub>
                    Integration as a Power-Performance Area Booster for BEOL Complementary Gain-Cell Memory
[NO] 581/942 | Deep Reinforcement Learning for Latency and QoS Optimization in Hierarchical V2X Edge Networks
[NO] 582/942 | Universal Dependencies as a unifying mechanism for the electronic corpus “Tugan Tel” and the linguistic portal “Turkic Morpheme”
[NO] 583/942 | Experimental Evaluation of NB-IoT Uplink Limits over GEO
[NO] 584/942 | Safe-EI: Safety-Constrained Offloading for Edge Intelligence in Mixed-Criticality Systems
[NO] 585/942 | Performance of RISC-V SoCs for Secure Edge Applications: A Benchmark-Driven Analysis
[NO] 586/942 | Design and Development of Modified DC-DC Converter for Renewable Energy Applications
[NO] 587/942 | A Wireless Pressure Sensor Implant with MRI-Encoded Data Uplink
[NO] 588/942 | Joint Beamforming and Trajectory Design for Sensing-Centric UAV-Enabled ISAC Systems
[NO] 589/942 | Ensemble Cluster Analysis for Multidimensional Profiling of Engineering Applicants
[NO] 590/942 | Vertically Stacked Five-Word-Line IGZO FeFETs with Dual-Gate-Enabled Stable Erase Toward High-Bandwidth Storage
[NO] 591/942 | Time-Series Forecasting of Household Global Active Power Using Gradient Boosting Algorithms with Explainable AI Interpretation
[NO] 592/942 | Coupling Surface and Deep Electromagnetic Investigations Using Inversion Modeling to Assess Soil Salinization Risk in a Semi-Arid Region: A Case Study from Tunisia
[NO] 593/942 | Record-Performance In
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    FETs with Ultra-Scaled Contacted Gate Pitch: Enabled by Higher-$\boldsymbol{k}$ HZO Linear Dielectric and Novel Ti-Seeded Contact
[NO] 594/942 | Depletion-Mode Iii-V/Si SISCAP Mach-Zehnder Modulator Breaking the Efficiency-Bandwidth Trade-off for Co-Packaged Optics
[NO] 595/942 | Graph Enhanced Multi-Agent DRL for STAR-RIS Assisted ISAC in SAGIN
[NO] 596/942 | Optimal Sizing and Placement of Distributed Generators in Modern Power Distribution Networks Using Multi-Objective Hybrid Optimization Approach
[NO] 597/942 | Energy-Efficient Joint Offloading and Resource Allocation Using Meta Learning in Low-Altitude Edge IoT Networks
[NO] 598/942 | Power Quality Improvement in Distribution System Minimising Harmonics Distortion
[NO] 599/942 | A Novel Five-Level Inverter for Grid-Connected Applications
[NO] 600/942 | Optimization of MPPT in PV System: Effect of Windspeed and Humidity GA-Based Approach
[NO] 601/942 | Performance Analysis of on-Board Charger for Electric Vehicles
[NO] 602/942 | A Comparative Study of Nickel Manganese Cobalt and Lithium Iron Phosphate Batteries in Electric Vehicles
[NO] 603/942 | Dynamic Neural Networks for Manipulability Optimization of Omnidirectional Mobile Redundant Manipulator Under Anti-Input Disturbance
[NO] 604/942 | Directivity Maximization for FAS Antenna Systems
[NO] 605/942 | Backside Power: Enabling Energy-Efficient Performance on Advanced Node Designs
[NO] 606/942 | ANN-Based EV Charging Demand Forecasting in Renewable Microgrids
[NO] 607/942 | Quantum Machine Learning: Bridging Quantum Computing &amp; Machine Learning
[NO] 608/942 | Previs to Final Pixels: Rethinking feature animation production in real-time
[NO] 609/942 | Quantum Hypergraph Partitioning
[NO] 610/942 | Reverse Engineering and Control-Aware Security Analysis of the ArduPilot UAV Framework
[NO] 611/942 | Engineering Empathy: A Blueprint for Interdisciplinary Art and Engineering in K-12 Education
[NO] 612/942 | Rolling Through the Pipeline: A Course Model for Virtual Production Education
[NO] 613/942 | Asiagraphics Workshop on Neural Graphics Processing
[NO] 614/942 | What Do Competitive Players Do With Their Settings? A Multi-Game Esports Configuration Survey
[NO] 615/942 | MUSIC: Learning Muscle-Driven Dexterous Hand Control
[NO] 616/942 | ToF ReSTIR: Time-of-Flight Rendering with Spatio-temporal Reservoir Resampling
[NO] 617/942 | Dynamics of energy costs and emissions in operations: analysis for decision support_supp1-3709537.docx
[NO] 618/942 | A Digital Twin–Enabled Framework for Battery Degradation Management in Electric Vehicles
[NO] 619/942 | CRAM: Cooperative Resource Allocation With Spotlighting for Zero-Interruption ISAC Networks
[NO] 620/942 | Electro-thermal simulation and experimental validation of a platinum heater for gas sensors
[NO] 621/942 | Resilient Secure Tracking Control for Attitude-Orbit Integrated Spacecraft with Aperiodic DoS Attacks: A Fully Actuated System Approach
[NO] 622/942 | IWCMC 2026 Cover Page
[NO] 623/942 | Series Editorial: Network Softwarization and Management
[NO] 624/942 | Fiber-optic Chromatic Dispersion Measurement Based on Enhanced Precision Group Delay Synthesis
[NO] 625/942 | Ensemble based Self-Supervised Meta-Learning for Anomaly Detection in Power Systems
[NO] 626/942 | An Embedded Digital Twin of DC-DC based on Hybrid RLS for Real-Time Condition Monitoring
[NO] 627/942 | AudioLLM-Enabled Semantic Communication for Multi-Task Speech Transmission
[NO] 628/942 | A Cycle-Based Solvability Condition for Real Power Flow Equations
[NO] 629/942 | vSTMD: Visual Motion Detection for Extremely Tiny Target at Various Velocities_supp1-3707792.pdf
[NO] 630/942 | An Autonomous and Model-Guided Sampling Framework for Heavy Metals Monitoring in Drinking Water Sources
[NO] 631/942 | CNN-Based Modelling Reveals Temporal Brain Dynamics of Auditory Intensity Processing_supp1-3709314.docx
[NO] 632/942 | Adversarially Resilient Task-Oriented Semantic Communication for Speech Emotion Classification
[NO] 633/942 | Towards Sustainable Mobility: A Comprehensive Review of EV Battery Optimization via AI and Hardware Management
[NO] 634/942 | Table of Contents
[NO] 635/942 | Technical Program Committee
[NO] 636/942 | Compact, Lightweight, Wireless, and Low-Power Fiber Bragg Grating Interrogator Based on MEMS-VCSEL
[NO] 637/942 | Hybrid-Field Channel Estimation for XL-MIMO via Joint Sparse Recovery With Off-Grid Refinement
[NO] 638/942 | 2026 IEEE Mediterranean and Middle-East Geoscience and Remote Sensing Symposium (M2GARSS)
[NO] 639/942 | Iterative Channel Estimation with IDI Suppression for Rectangular-Shaped Waveform based OTFS in Doubly-Selective Channel
[NO] 640/942 | Performance Analysis of Vertical Grounding Rods Under Lightning Current Excitation in Wind Turbine Installations
[NO] 641/942 | A 3-nm FinFET CMOS PAM-4 Retimer for $\mathbf{8 0 0 - Gb} / \mathbf{s}$ and $\mathbf{1. 6 - T b} / \mathbf{s}$ Optical Modules
[NO] 642/942 | µAgent: A 7nm 404.3mJ/Action Edge SoC for Agentic AI Reasoning with Adaptive Block-Wise Mixed-Format 4-Bit Quantization and Decoupled Access-Execute
[NO] 643/942 | Automated Evaluation of University Student Reports Using Large Language Models
[NO] 644/942 | AI-Driven Earth Observation for Monitoring Archaeological Looting: Advances, Opportunities, and Future Directions
[NO] 645/942 | Three-Level Boost Converters for Solar PV Integration with Bigrid System in EV Charging Applications
[NO] 646/942 | Geomorphometry–Based Mapping and Assessment of Viewpoint Geosites for Geo-Education in Arid Landscapes: Zagora Region (Southeast Morocco)
[YES] 647/942 | Augmenting SPICE Behavioral Models for Simulating Emerging Concepts The Force Extraction IGBT
[NO] 648/942 | A 64-Channel, Low-Power End-to-End Transformer-Based BCI SoC for Efficient Motion Intention Decoding
[NO] 649/942 | THD Analysis of 5-Level Cascaded H-Bridge and Diode Clamped Inverters Driving PMSM and Asynchronous Motors using Different LS-PWM Techniques
[NO] 650/942 | Hydrogen Overflow as a Novel Negative V
                    <sub>th</sub>
                    Shift Mechanism in PBTI Universal to Planar and Vertical IGZO FETs
[NO] 651/942 | A Comprehensive Review of Machine Learning Driven Speech Recognition Techniques and Emerging Research Themes
[NO] 652/942 | The Horizon Europe “Expert” Project for Capacity Building between Space Agencies in Earth Observation Hyperspectral Remote Sensing
[NO] 653/942 | Reduced-Order Model Based Design of PID Controller for Zeta Power Converter Using Jaya Optimization Algorithm
[NO] 654/942 | A 28nm 2GS/s Remote-Sensing On-Chip Oscilloscope Using Charge-Redistributing Voltage Transfer and Time-Domain Stochastic ADC with 1.6mV Resolution
[NO] 655/942 | Morphological Complexity and Neural Machine Translation Quality in Kyrgyz: a Genre-Stratified Evaluation Using chrF
[NO] 656/942 | Adaptive AI-Assisted Model Predictive Control of a Modular Multilevel Active Power Filter for Renewable-Integrated Grids
[NO] 657/942 | Hybrid Evolutionary–Machine Learning Framework for Context-Aware Optimal Route Selection in Dynamic Wireless Sensor Networks
[NO] 658/942 | Attention-Based Spatio-Temporal Feature Fusion for Efficient RGB Face Presentation Attack Detection
[NO] 659/942 | SmartBinX: AI-Driven Intelligent Waste Disposal System
[NO] 660/942 | Enhancing Resource Diversification in Next-Generation Networks: An Integrated Service-Oriented Approach
[NO] 661/942 | Semantic Segmentation of 15 Retinal Biomarkers Using SegFormer with Rare-Class Aware Patch Sampling
[NO] 662/942 | Research on the Demonstration of Intent-Driven Manned-Unmanned Cooperative Communication Networks
[NO] 663/942 | Design and Implementation of Ultra-Capacitor Assisted Hybrid Cell Balancing System Connected DC-DC Converter for Electric Vehicle Applications
[NO] 664/942 | Artificial Intelligence in Groundwater and Water Quality Assessment: A Survey
[NO] 665/942 | Design of Fault Visualization and Intelligent Scheduling System for BIER Multicast Networks
[NO] 666/942 | Covert Communications in High-Mobility Environments Using Pre-Chirp Spreading Index Modulation for AFDM
[NO] 667/942 | Offline Disaster Communication Platform for Reliable Emergency Coordination in Network Deprived Environments
[NO] 668/942 | A Cross-Band Wi-Fi/BLE Passive Tag Demonstrating Battery-Free Standard-Mask Communication with Smartphones and Battery-Free AoA Localization
[NO] 669/942 | An Innovative DTCO for 2 nm GAA Technology with Hyper-Cells in an Extremely High-Density Library for AI/HPC and Mobile SoC Applications
[NO] 670/942 | Performance Evaluation of Thermal Noise-Based Covert Communication for Multi-Scenarios
[NO] 671/942 | Trusted Execution Environments in Systems-of-Systems: A Systematic Mapping Study
[NO] 672/942 | A Toolbox to Understand the Physics of Quantum Data Management
[NO] 673/942 | KPop Chibi Face
[NO] 674/942 | SMART-LEA: Scalable Multipath-Aware Localization Enhancement for IoT and 6G Sensor Networks
[NO] 675/942 | MPUrge-MAP: A White-Box Multipath-Assisted Positioning for Indoor Localization in 6G Networks
[NO] 676/942 | Mixed Material Point Methods for Stiff Elastoplasticity
[NO] 677/942 | Gradient Domain Reconstruction for Monte Carlo PDE Solvers
[NO] 678/942 | Uncertainty-aware geometry processing on Gaussian Process Implicit Surfaces
[NO] 679/942 | The PhaseTree: Multiphase Signed Distance Fields
[NO] 680/942 | Role-Aware Virtual Agents for Navigational Interaction guided by a Multimodal Large Language Model
[NO] 681/942 | Surface Power Diagrams for Knit Singularity Placement
[NO] 682/942 | Efficient Fur and Hair Multiple Scattering Using Volumetric Approximation
[NO] 683/942 | A 3-nm Aging Delay Characterization and Timing Error Resilience Framework for CNN Accelerators
[NO] 684/942 | Generalized Nonuniform Memory Polynomial Model for Digital Predistortion of RF Transmitters
[NO] 685/942 | To Be or Not To Be: Respecting when Socially Interactive Agents Should or Should Not Conform to Expectations
[NO] 686/942 | A Comparative Analysis of Deep Learning Models for Deployment on an Australian Bushfire Detection Satellite
[NO] 687/942 | Teaching OpenGL 4.5/4.6 in Introductory Computer Graphics: A Hidden Sweet Spot in Graphics API Education Accessibility
[NO] 688/942 | Track Page
[NO] 689/942 | 2026 Advanced Topics on Measurement and Simulation (ATOMS)
[NO] 690/942 | Enhanced Logic-based Benders Decomposition and Branch-and-Check Frameworks for Distributed Job Shop Scheduling Problem with Discrete Operation Sequence Flexibility_supp1-3708990.docx
[NO] 691/942 | Boundary Control of Traffic Density Waves Using a Markov-Switching Stochastic Parabolic PDE Model
[NO] 692/942 | An Explainable Machine Learning Framework for Organizational Financial Distress Detection: Evidence from Korean Hospital Panel Data
[NO] 693/942 | Distributed Iterative Learning Model Predictive Control for Unmanned Surface Vehicles
[NO] 694/942 | 360-Degree Video Streaming with Perceptual Tiling and Parallel Reinforcement Learning
[NO] 695/942 | Explainable YOLOv10 Framework for Multi-Class Fault Detection and Severity Estimation in Solar Photovoltaic Modules
[NO] 696/942 | DDQN-enabled Online Edge Inference for Diffusion-based GenAI Applications
[NO] 697/942 | Density-Adaptive Grant-Free NOMA versus Grant-Based OMA for Mobile Massive IoT: A Stochastic Geometry Framework with Performance Threshold Analysis
[NO] 698/942 | Scheduling of Electric Vehicle Charging Considering Grid Profile
[NO] 699/942 | Enhanced Method to Classify and Detect Oral Health Issues from Spectral Imaging Using Artificial Intelligence
[NO] 700/942 | Dynamic Energy Scheduling and Grid Power Regulation in Photovoltaic Integrated Greenhouse Using Sliding Mode Control
[NO] 701/942 | Multitemporal Remote Sensing Data for Multiparametric Drought Monitoring in Agricultural Applications
[NO] 702/942 | Record-Thin $(\sim 2 ~\text{nm})$ Wakeup-Free Hzo Ferroelectric Mfm Via Atomic Layer Etching (Ale): Grain Size Enlargement and Ferroelectric Phase Engineering
[NO] 703/942 | Perceptions on Energy Labels in Household Appliances: An Exploratory Study of Romanian Consumers
[NO] 704/942 | A Modified Current Chopping Control Based Optimized Current Sharing Function for Switched Reluctance Motor in EV Applications
[NO] 705/942 | Impact of P&amp;O and Incremental Conductance MPPT Algorithms on DC-Link Voltage Ripple in Photovoltaic Boost Converter Systems
[NO] 706/942 | NOMA-based PASS-D2D Communications
[NO] 707/942 | Embracing the Cloud: Transforming Higher Education Through Computing Innovation
[NO] 708/942 | Morphological Extraction of Hyponym-Hypernym Relations from the Tatar Language Using Parse Tree Analysis
[NO] 709/942 | A Scalable Vision-Language-Action Edge Processor with Token Filtering and Hybrid Processing-Near-Memory for 6.7-ms Perception-To-Action Latency in Robot Control
[NO] 710/942 | Production-Ready Romanian Text-to-Speech for Commercial Voicebots: A Staged Adaptation Approach
[NO] 711/942 | Goertzel-Based Multi-Wavelength PPG for Non-Invasive Blood Glucose Estimation
[NO] 712/942 | An IEEE 802.15.4z-Compliant IR-UWB System-on-Chip with 27 dB Self-Interference Cancellation and Reconfigurable TIA for Automotive Radar and Ranging
[NO] 713/942 | Improving RSSI Preprocessing for Physical-Layer Secret Key Generation in UAV Networks via Joint Sparse Signal Reconstruction
[NO] 714/942 | A 4Gb 32-Layer 3D NOR Flash Test Chip with Innovative Design Methods Enabling Sub-100ns Low-Latency Read and Robust Retention
[NO] 715/942 | Synergistic SAR - Optical Remote Sensing Framework for Landslide Mapping
[NO] 716/942 | Stages Of Developing Linguistic Resources For The Uzbek English Parallel Corpus Of Official Texts
[NO] 717/942 | Determining the Slope of a Received Signal Using Second Order Oscillating Systems
[NO] 718/942 | Smart Optimization of Hybrid Power Solution for Single-Household Electrification in Lawalong, Chatra, Jharkhand Using HOMER Pro
[NO] 719/942 | A Fully Integrated, GBW-Enhanced Tri-Loop, Maximum Ripple Rejection Tracking Analog LDO Achieving Better Than −25.5dB PSR Up to 1GHz and 13ns Settling Time
[NO] 720/942 | 10-nm-Gate-Length Nanosheet CNFET with Self-Aligned Extension Doping for Ambipolar Leakage Suppression
[NO] 721/942 | LINE Health Today: An n8n Automation Workflow for Accessible Public Health Communication
[NO] 722/942 | End-to-End Building Model Generation and Validation with CITYdata and MetamEnTh
[NO] 723/942 | Improving a Parallel C++ Intel SSE SIMD Linear Genetic Programming Interpreter
[NO] 724/942 | From Cage to Stage: Mapping Aesthetic Dance Movements Onto an Industrial Robot
[NO] 725/942 | Differentiable Physics for Graphics and AI
[NO] 726/942 | Learning a Delighting Prior for Facial Appearance Capture in the Wild
[NO] 727/942 | Woodstock: Interactive Modeling of Fungal Wood Decay
[NO] 728/942 | Implicit Minimal Surfaces for Bijective Correspondences
[NO] 729/942 | MPM Lite: Linear Kernels and Integration without Particles
[NO] 730/942 | Automatic identification of domain expressions to build a LEL glossary from Spanish texts
[NO] 731/942 | Hybrid Physical Layer Authentication in RIS-Assisted V2X Networks
[NO] 732/942 | Microscale-Searching Constrained Evolutionary Optimization for Diversity-Distribution-Guided Image Augmentation_supp1-3706679.docx
[NO] 733/942 | Facilitating Fast Response of the Heterogeneous Vehicle Platoon Based on the Multi-Delay Proportional-Retarded Controller
[NO] 734/942 | Wall-Object Multimodal Encoding for Robust Coarse-to-Fine Relocalization Using LiDAR Signals_supp1-3709534.pdf
[NO] 735/942 | Multi-frequency Terahertz Mueller Matrix Ellipsometry Driven by Neural Network
[NO] 736/942 | Microwave Radar Imaging System with Large Aperture Sparse-Focused MIMO Array for Concealed Object Detection
[NO] 737/942 | USAM: A Unified Safety–Age Metric for Timeliness in Heterogeneous IoT Systems
[NO] 738/942 | IEEE Innovation Testbed
[NO] 739/942 | Pushing the Limits: Unlocking the Potential of Faster-than-Nyquist Signaling
[NO] 740/942 | Fake News Detection Using Machine Learning with Lightweight DistilBERT Deployment
[NO] 741/942 | DRNet: All-in-One Image Restoration via Prior-Guided Dynamic Reparameterization
[NO] 742/942 | Retrospective Simulation of LLM-Guided Smart Contract Policies Using Real IoT Energy Data
[NO] 743/942 | Towards Holistic IoT Systems Profiling: Integrating Energy Consumption with Performance Metrics using SPECTRA
[NO] 744/942 | Anonymous-by-Construction: An LLM-Driven Framework for Privacy-Preserving Text
[NO] 745/942 | Designing AI-Powered Healthcare Applications with No-Code Tools: A Usability Study Using Design Sprint Methodology
[NO] 746/942 | Mitigating Diversity Decline in Low-Resource Text Generation: A Rewrite-and-Select Framework with Training-Time Optimization
[NO] 747/942 | Design of Transistor Microwave Amplifiers Using Ideal Matching Two-Ports
[NO] 748/942 | Method for Determining the Emissivity Coefficient of the Venous Wall to Improve the Accuracy of Temperature Measurement Using Thermal Imaging in ex vivo Studies
[NO] 749/942 | Geo-Environmental Controls on Gully Erosion: A Random Forest Approach in the SROU Basin (Middle Atlas, Morocco)
[NO] 750/942 | Uncertainty-Aware Pneumonia Screening from Chest X-Rays Using Selective Triage and Explainable Deep Learning
[NO] 751/942 | Scaling $V_{DD}$ for P-Type 2D-Material Channel Transistor: what Non-Idealities are Still to be Solved
[NO] 752/942 | Low-Overhead CSI Reporting for Network Energy Saving
[NO] 753/942 | Comparative study of feature grouping strategies on non-cooperative modulation recognition*
[NO] 754/942 | A Multi-Stage Approach for the Analysis of Poetic Texts
[NO] 755/942 | Simulation of the Impact of Design and Technology Parameters on the Threshold and Breakdown Voltages of LDMOS Transistors
[NO] 756/942 | Ultra-Low Drift (4 mV/dec.) and Excellent Write Endurance (&gt; 3×10
                    <sup>10</sup>
                    ) in Heterostructure Te-Based Selector-Only Memory (SOM) with 2D WS
                    <sub>2</sub>
                    Interlayer
[NO] 757/942 | A Single-Stage Solar PV-Fed Sensorless Induction Motor Water Pumping System Using Adaptive Sliding Mode MPPT and Integral Sliding Mode Control
[NO] 758/942 | D2D Performance Analysis in the context of RIS Assisted Communications
[NO] 759/942 | Experimental Performance Evaluation of a Fully Virtualized Open-Source 5G Network using srsRAN
[NO] 760/942 | Design and Simulation of a Textile-Based Wearable Compact Antenna for Wireless Body Area Networks
[NO] 761/942 | DustTransBEV: BEV Transformer Dust Cleaning for Autonomous Driving LiDAR Systems
[NO] 762/942 | LLM-Driven Hierarchical Federated Orchestration for Privacy-Preserving 6G TN-NTN Networks
[NO] 763/942 | An Efficient Quantum Signature Scheme for Secure Wireless Communications in IoT Networks
[NO] 764/942 | Two-Stage Quantum Annealing for Sidelobe Suppression in 2-Bit Quantized Phased Arrays
[NO] 765/942 | 6.5 kV Enhancement-Mode GaN Monolithic Bidirectional Switch (MBDS) Achieving Record Power Figure of Merit
[NO] 766/942 | A 48 V, 25 W, 6.78 MHz Self-Starting Class-D WPT Transmitter with Self-Biasing and Autonomous Clocking Achieving 91% Peak DC-DC Efficiency
[NO] 767/942 | Semi-Asynchronous DAG-Based Federated Learning for Internet of Things
[NO] 768/942 | Stability-Oriented Closed-Loop Control for PV Integated On-Grid Cascaded H-Bridge Multilevel Inverter for Enhanced Dynamic Response
[NO] 769/942 | A $3.2 \text{GS} / \mathbf{s}^{2}{ }^{\text {nd }}$-Order Noise-Shaping-Pipelined ADC with 400 MHz-BW 69 dB-SNDR Featuring Gain/Quantizer-Embedded Parallel Voltage/Time-Domain Loop Filter
[NO] 770/942 | A 10-Bit Source-Driver IC with Mismatch-Resilient Cross-Point DAC Achieving 1223μm
                    <sup>2</sup>
                    /Channel and 4.3 mV DVO for Mobile OLED Displays
[NO] 771/942 | A $\mathbf{1 2 9}$-Gb/s CMOS W-Band Polarization-Modulated Active Relay Transceiver Supporting Concurrent Dual-Polarized Dual-Stream Relay Operation
[NO] 772/942 | TinyNPU: A3nm 0.06-134.36 μJ/Token DCIM-Based Ultra Low Power NPU for Always-On Reasoning on Wearables
[NO] 773/942 | Mixing Colors: Exploring Digital Images through the Bayer Filter
[NO] 774/942 | PQ-Free HD: Priority-Queue-Free Hausdorff Distance for Triangle Meshes on GPU
[NO] 775/942 | Research on Automatic Recognition of Abnormal Behavior of Students on Multimedia Comprehensive Quality Education Platform
[NO] 776/942 | Transformer-LLM Smart Classroom Assessment System: Sequence Labeling and Multi-Task Learning Methods Oriented to Ideological and Political Education in Curriculum
[NO] 777/942 | USBEREIT 2026 Cover Page
[NO] 778/942 | Superconducting Concentrator in a Combined Magnetic Field Sensor
[NO] 779/942 | Beamforming Optimization for Active STAR-RIS Aided Secure ISAC System
[NO] 780/942 | Indoor Wellness Optimization in Smart Buildings Based on Ambient Variable Dimensionality Reduction
[NO] 781/942 | One Prompt, Many Sounds: Modeling Listener Variability in LLM-Based Equalization
[NO] 782/942 | Conference Committees
[NO] 783/942 | GCDance: Genre-Controlled Music-Driven 3D Full Body Dance Generation
[NO] 784/942 | FSTFormer: 2D Transformer Fusing Multi-Scale Fast–Slow Time Features based Adaptive Detection for Radar Targets with Unknown Scattering Centers
[NO] 785/942 | Strategy for Mitigation of Voltage Distortions in Highly Efficient Single-Phase Unfolder Inverters
[NO] 786/942 | Keynoters
[NO] 787/942 | Centimeter-Level Multi-Human Positioning and Tracking Using LiDAR
[NO] 788/942 | A New Human-Likeness and Comfort Index for Robot Movements Along Prescribed Paths
[NO] 789/942 | A Distributed Thermal-Sensing-Driven Hierarchical Warning Framework for 10 kV Distribution Cables
[NO] 790/942 | Transmit Pinching Antenna Systems (T-PASS): Joint Wired And Wireless Communication
[NO] 791/942 | Real-Time Network Behavior Modeling for Collaborative Operations of Low-Altitude UAV Swarms
[NO] 792/942 | A Modified Interleaved Switched-Capacitor Unidirectional DC-DC Converter with Wide Voltage-Gain Range for Integrating Renewable and Energy Storage Systems
[NO] 793/942 | About the Commissioning of the FSUE “VNIIFTRI” Radio Telescope
[NO] 794/942 | Hybrid Terahertz and Millimeter-Wave Communications for High-Capacity 6G HAPS-to-Satellite Links
