[2026-01-27 09:21:01] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-01-26
正在获取论文...
[arXiv] 2026-01-26 | On-chip control of the coherence matrix of four-mode partially coherent light: rank, entropy, and modal Stokes parameters
[NO] 43/816 | Well-quasi-ordered classes of bounded clique-width
[NO] 44/816 | Feature-Indexed Federated Recommendation with Residual-Quantized Codebooks
[NO] 45/816 | An LLM-Agent-Based Framework for Age of Information Optimization in Heterogeneous Random Access Networks
[YES] 46/816 | Deconstructing Instruction-Following: A New Benchmark for Granular Evaluation of Large Language Model Instruction Compliance Abilities
[NO] 47/816 | Unknown Unknowns: Why Hidden Intentions in LLMs Evade Detection
[NO] 48/816 | Resource-Efficient Noise Spectroscopy for Generic Quantum Dephasing Environments
[NO] 49/816 | Validation of a Software-Defined 100-Gb/s RDMA Streaming Architecture for Ultrafast Optoacoustic and Ultrasound Imaging
[NO] 50/816 | What Do Learned Models Measure?
[NO] 51/816 | TEFormer: Structured Bidirectional Temporal Enhancement Modeling in Spiking Transformers
[NO] 52/816 | Exact Controllability for Stochastic First-Order Multi-Dimensional Hyperbolic Systems
[NO] 53/816 | Efficient Rehearsal for Continual Learning in ASR via Singular Value Tuning
[NO] 54/816 | Revisiting Aerial Scene Classification on the AID Benchmark
[NO] 55/816 | Algebraic Phase Theory VI: Duality, Reconstruction, and Structural Toolkit Theorems
[YES] 56/816 | Beyond Retention: Orchestrating Structural Safety and Plasticity in Continual Learning for LLMs
[NO] 57/816 | Co-PLNet: A Collaborative Point-Line Network for Prompt-Guided Wireframe Parsing
[NO] 58/816 | A model for a population of trees structured by phenological traits
[NO] 59/816 | Generative Chain of Behavior for User Trajectory Prediction
[NO] 60/816 | Experimental investigation of wall-pressure fluctuations on a fully appended submarine model at high Reynolds numbers
[NO] 61/816 | HeterCSI: Channel-Adaptive Heterogeneous CSI Pretraining Framework for Generalized Wireless Foundation Models
[NO] 62/816 | UTune: Towards Uncertainty-Aware Online Index Tuning
[NO] 63/816 | Understanding Interface Stability in RENi2/Ni through First-Principles Calculations
[NO] 64/816 | Multi-Perspective Subimage CLIP with Keyword Guidance for Remote Sensing Image-Text Retrieval
[NO] 65/816 | VIBEVOICE-ASR Technical Report
[NO] 66/816 | Rotating black holes in the Hernquist galactic halo and its accretion disk luminosity
[NO] 67/816 | Fine-Grained Emotion Detection on GoEmotions: Experimental Comparison of Classical Machine Learning, BiLSTM, and Transformer Models
[NO] 68/816 | In-depth analysis of bar formation mechanisms of disk galaxies in halos of different concentrations
[NO] 69/816 | Agentic Very Long Video Understanding
[NO] 70/816 | EndoExtract: Co-Designing Structured Text Extraction from Endometriosis Ultrasound Reports
[NO] 71/816 | FP8-RL: A Practical and Stable Low-Precision Stack for LLM Reinforcement Learning
[NO] 72/816 | Enhance the Safety in Reinforcement Learning by ADRC Lagrangian Methods
[NO] 73/816 | Twisted scalar curvature as a moment map
[NO] 74/816 | RareAlert: Aligning heterogeneous large language model reasoning for early rare disease risk screening
[NO] 75/816 | Typhoon-S: Minimal Open Post-Training for Sovereign Large Language Models
[NO] 76/816 | LungCRCT: Causal Representation based Lung CT Processing for Lung Cancer Treatment
[NO] 77/816 | Broadband asymmetric transmission with tunable bilayer silicon nanoarrays: from visible to near-infrared
[NO] 78/816 | Enhancing LLM-based Recommendation with Preference Hint Discovery from Knowledge Graph
[NO] 79/816 | From Struggle to Success: Context-Aware Guidance for Screen Reader Users in Computer Use
[NO] 80/816 | On Extending Type $B$ Parking Spaces
[NO] 81/816 | From Human Speech to Ocean Signals: Transferring Speech Large Models for Underwater Acoustic Target Recognition
[NO] 82/816 | Two-Polariton Blockade via Ultrastrong Light-Matter Coupling
[NO] 83/816 | DRPG (Decompose, Retrieve, Plan, Generate): An Agentic Framework for Academic Rebuttal
[NO] 84/816 | Theoretical study of $f_0(980)$, $a_0(980)$ and $Ξ(1/2^-)$ in the process $Ξ_c^+ \to Σ^+K^+K^-$
[NO] 85/816 | Maximum-Variance-Reduction Stratification for Improved Subsampling
[NO] 86/816 | The effect of collinearity and sample size on linear regression results: a simulation study
[YES] 87/816 | EvolVE: Evolutionary Search for LLM-based Verilog Generation and Optimization
[NO] 88/816 | Differentiable Architecture Search for Adversarially Robust Quantum Computer Vision
[NO] 89/816 | Equivalent computational problems for superspecial abelian surfaces
[NO] 90/816 | Certifying optimal device-independent quantum randomness in quantum networks
[NO] 91/816 | Closing the Modality Gap Aligns Group-Wise Semantics
[NO] 92/816 | Ribbons from Independence Structure: Hypercontractivity, $Φ$-Mutual Information, and Matrix $Φ$-Entropy
[NO] 93/816 | Simultaneous determination of multiple low-lying energy levels on a superconducting quantum processor
[NO] 94/816 | Robust additive bases without minimal subbases
[NO] 95/816 | On the Asymptotic Behavior of Guessing Sequences
[NO] 96/816 | BAIT: Visual-illusion-inspired Privacy Preservation for Mobile Data Visualization
[NO] 97/816 | Fluctuation of fission observables investigated with a Monte Carlo method
[NO] 98/816 | An Audit of Machine Learning Experiments on Software Defect Prediction
[NO] 99/816 | Finite-Aperture Fluid Antenna Array Design: Analysis and Algorithm
[NO] 100/816 | Unstable Interface Dynamics for Gravity Stokes Flow
[NO] 101/816 | Token-level Collaborative Alignment for LLM-based Generative Recommendation
[NO] 102/816 | Geneses: Unified Generative Speech Enhancement and Separation
[NO] 103/816 | Hamiltonian formulation of the $1+1$-dimensional $φ^4$ theory in a momentum-space Daubechies wavelet basis
[NO] 104/816 | GCFX: Generative Counterfactual Explanations for Deep Graph Models at the Model Level
[NO] 105/816 | On the Optimal Message Size in PIR Under Arbitrary Collusion Patterns
[NO] 106/816 | On Extremal Volume Projections of the Simplex and the Cube
[NO] 107/816 | Massless Representations in Conformal Space and Their de Sitter (dS) Restrictions
[NO] 108/816 | Collaposer: Transforming Photo Collections into Visual Assets for Storytelling with Collages
[NO] 109/816 | Superlinear Multi-Step Attention
[NO] 110/816 | Do not be greedy, Think Twice: Sampling and Selection for Document-level Information Extraction
[NO] 111/816 | Efficient Complex-Valued Vision Transformers for MRI Classification Directly from k-Space
[YES] 112/816 | AI Agent for Reverse-Engineering Legacy Finite-Difference Code and Translating to Devito
[NO] 113/816 | Divisible design graphs from Higmanian association schemes
[NO] 114/816 | Symplecticity-Preserving Prediction of Hamiltonian Dynamics by Generalized Kernel Interpolation
[NO] 115/816 | Graphical composition of mapping spaces between modules of configuration-space-type
[NO] 116/816 | Integrating HAPS, LEO, and Terrestrial Networks: A Cost-Performance Study for IoT Connectivity
[NO] 117/816 | On fractional semilinear wave equations in non-cylindrical domains
[YES] 118/816 | Code over Words: Overcoming Semantic Inertia via Code-Grounded Reasoning
[NO] 119/816 | On the Subspace Orbit Problem and the Simultaneous Skolem Problem
[NO] 120/816 | Analytic Incremental Learning For Sound Source Localization With Imbalance Rectification
[NO] 121/816 | Overalignment in Frontier LLMs: An Empirical Study of Sycophantic Behaviour in Healthcare
[NO] 122/816 | A Tumor Aware DenseNet Swin Hybrid Learning with Boosted and Hierarchical Feature Spaces for Large-Scale Brain MRI Classification
[NO] 123/816 | Unusual Dual Flat Bands and two-dimensional Dirac-node Arc State in Kagome Metal Ni3In2S2
[NO] 124/816 | Effect of ballistic re-solution on the nucleation kinetics of precipitates in diluted binary alloys under irradiation. Part 2: Cr-rich alpha' precipitates in Fe-Cr alloys
[NO] 125/816 | A Master Class on Reproducibility: A Student Hackathon on Advanced MRI Reconstruction Methods
[NO] 126/816 | Effect of ballistic re-solution on the nucleation kinetics of precipitates in diluted binary alloys under irradiation. Part 1: Stoichiometric gamma' precipitates in Ni-Al alloys
[NO] 127/816 | A Generative AI-Driven Reliability Layer for Action-Oriented Disaster Resilience
[NO] 128/816 | Laser interferometry as a robust neuromorphic platform for machine learning
[NO] 129/816 | Heat flow of harmonic maps into CAT($0$)-spaces
[NO] 130/816 | SKETCH: Semantic Key-Point Conditioning for Long-Horizon Vessel Trajectory Prediction
[NO] 131/816 | Non-equilibrium symmetry of cyclic first-passage times
[YES] 132/816 | daVinci-Dev: Agent-native Mid-training for Software Engineering
[YES] 133/816 | TAM-Eval: Evaluating LLMs for Automated Unit Test Maintenance
[YES] 134/816 | Handling Scope Checks (Extended Version)
[NO] 135/816 | Scaling up Privacy-Preserving ML: A CKKS Implementation of Llama-2-7B
[NO] 136/816 | Gradient-Informed Machine Learning in Electromagnetics
[NO] 137/816 | RG flows of minimal $\mathcal W$-algebra CFTs via non-invertible symmetries
[NO] 138/816 | Non-Destructive Beam Monitoring via Secondary Radiation Detection with Ce-Doped Silica Fibers
[NO] 139/816 | Probing electromagnetic moments of the tau lepton in PbPb collisions at the FCC-hh
[NO] 140/816 | U-Fold: Dynamic Intent-Aware Context Folding for User-Centric Agents
[NO] 141/816 | VissimRL: A Multi-Agent Reinforcement Learning Framework for Traffic Signal Control Based on Vissim
[NO] 142/816 | Voltage-controlled topological spin textures in the monolayer limit
[NO] 143/816 | The Most Luminous H$β$ Reverberation Mapping of E1821+643 Indicates the Lower Boundary of the Radius-Luminosity Relation
[NO] 144/816 | Depth to Anatomy: Learning Internal Organ Locations from Surface Depth Images
[NO] 145/816 | Tensor-driven geometric phase in nonlinear AlGaAs metasurfaces
[NO] 146/816 | Generative AI in Saudi Arabia: A National Survey of Adoption, Risks, and Public Perceptions
[NO] 147/816 | ShopSimulator: Evaluating and Exploring RL-Driven LLM Agent for Shopping Assistants
[NO] 148/816 | On the Generalized Conditional Gradient Method for Mean Field Games with Local Coupling Terms
[NO] 149/816 | PaperTok: Exploring the Use of Generative AI for Creating Short-form Videos for Research Communication
[NO] 150/816 | Dynamical Mass Loss at the End of TP-AGB stars
[NO] 151/816 | InkIdeator: Supporting Chinese-Style Visual Design Ideation via AI-Infused Exploration of Chinese Paintings
[NO] 152/816 | Smooth, Sparse, and Stable: Finite-Time Exact Skeleton Recovery via Smoothed Proximal Gradients
[NO] 153/816 | A strictly geostrophic product of sea-surface velocities from the SWOT fast-sampling phase
[NO] 154/816 | General tropical convergence of harmonic amoebas
[NO] 155/816 | Lip-Siri: Contactless Open-Sentence Silent Speech with Wi-Fi Backscatter
[NO] 156/816 | A new fine-scale Berry-Esseen-type Gumbel-limit theorem for multivariate maxima
[NO] 157/816 | TempDiffReg: Temporal Diffusion Model for Non-Rigid 2D-3D Vascular Registration
[NO] 158/816 | Functionalities of Au2O, Au2O3, Au2O3-x, and nanosheets, including spontaneous polarization, using DFT and hybrid functional
[NO] 159/816 | Lifecycle Cost-Effectiveness Modeling for Redundancy-Enhanced Multi-Chiplet Architectures
[NO] 160/816 | AttenMIA: LLM Membership Inference Attack through Attention Signals
[NO] 161/816 | Text-Pass Filter: An Efficient Scene Text Detector
[NO] 162/816 | Sparks of Cooperative Reasoning: LLMs as Strategic Hanabi Agents
[NO] 163/816 | Secure Beamforming and Reflection Design for RIS-ISAC Systems under Collusion of Passive and Active Eavesdroppers
[NO] 164/816 | Di-Graphs with tightly connected Clusters: Effective Graph Laplacians and Resolvent Convergence
[NO] 165/816 | Neurocomputational Mechanisms of Syntactic Transfer in Bilingual Sentence Production
[NO] 166/816 | Large Coupling Limits Beyond Definiteness
[NO] 167/816 | REMAC: Reference-Based Martian Asymmetrical Image Compression
[NO] 168/816 | GenAgent: Scaling Text-to-Image Generation via Agentic Multimodal Reasoning
[NO] 169/816 | XFit: Global Optimization and Degeneracy Mapping in X-ray Spectral Modeling
[NO] 170/816 | Evaluating Morphological Plausibility of Subword Tokenization via Statistical Alignment with Morpho-Syntactic Features
[NO] 171/816 | N.E.O.N.-Bridge Geometry Determination: Turbulence Modeling of Individual N.E.O.N.-Bridge Segment
[NO] 172/816 | Scalable Transit Delay Prediction at City Scale: A Systematic Approach with Multi-Resolution Feature Engineering and Deep Learning
[NO] 173/816 | Fibers of phase tropicalizations
[NO] 174/816 | Quantum Key Distribution with a Negatively Charged Quantum Dot Single-Photon Source
[NO] 175/816 | LipNeXt: Scaling up Lipschitz-based Certified Robustness to Billion-parameter Models
[NO] 176/816 | Using Large Language Models to Construct Virtual Top Managers: A Method for Organizational Research
[NO] 177/816 | Imperfect blockade in Rydberg superatoms
[NO] 178/816 | Pointwise-in-time convergence analysis of an Alikhanov scheme for a 2D nonlinear subdiffusion equation
[NO] 179/816 | DV-VLN: Dual Verification for Reliable LLM-Based Vision-and-Language Navigation
[NO] 180/816 | An obstruction to fiberwise Anosov flows over 3-dimensional Anosov flows
[NO] 181/816 | Physics-Informed Hybrid Quantum-Classical Dispatching for Large-Scale Renewable Power Systems:A Noise-Resilient Framework
[NO] 182/816 | Repellent properties of perfect powers on partition functions: a heuristic approach
[NO] 183/816 | Expert Evaluation and the Limits of Human Feedback in Mental Health AI Safety Testing
[NO] 184/816 | Vanishing Compactness Gap and Fermionic Compact Dark Matter in Hořava-Lifshitz Gravity
[NO] 185/816 | Holographic timelike entanglement and subregion complexity with scalar hair
[NO] 186/816 | Data-Efficient Electromagnetic Surrogate Solver Through Dissipative Relaxation Transfer Learning
[NO] 187/816 | tilepy: A Flexible Open-Source Scheduling Engine for Time-Domain and Multi-Messenger Astronomy
[NO] 188/816 | Synchronization and Localization in Ad-Hoc ICAS Networks Using a Two-Stage Kuramoto Method
[NO] 189/816 | Information Hidden in Gradients of Regression with Target Noise
[NO] 190/816 | Robust Learning of a Group DRO Neuron
[NO] 191/816 | Semi-Supervised Hyperspectral Image Classification with Edge-Aware Superpixel Label Propagation and Adaptive Pseudo-Labeling
[NO] 192/816 | Reuse your FLOPs: Scaling RL on Hard Problems by Conditioning on Very Off-Policy Prefixes
[NO] 193/816 | MEGnifying Emotion: Sentiment Analysis from Annotated Brain Data
[NO] 194/816 | Unsupervised Text Segmentation via Kernel Change-Point Detection on Sentence Embeddings
[NO] 195/816 | A Novel Lensed Point Source Modeling Pipeline using GIGA-Lens with Application to SN Zwicky and SN iPTF16geu
[NO] 196/816 | OptiGAN for Crystal Arrays: Physics-Informed Generative Modeling of Optical Photon Transport in PET Detector Arrays
[NO] 197/816 | Col-OSSOS: Investigating the Origins of Different Surfaces in the Primordial Kuiper Belt
[YES] 198/816 | Dep-Search: Learning Dependency-Aware Reasoning Traces with Persistent Memory
[NO] 199/816 | Equality between two general ridge estimators and applications in several linear models
[NO] 200/816 | Two Hornich-Hlawka-type and Buzano-type inequalities
[NO] 201/816 | Learning to Discover: A Generalized Framework for Raga Identification without Forgetting
[NO] 202/816 | From Access Control to Usage Control with User-Managed Access
[YES] 203/816 | $α^3$-SecBench: A Large-Scale Evaluation Suite of Security, Resilience, and Trust for LLM-based UAV Agents over 6G Networks
[NO] 204/816 | HalluGuard: Demystifying Data-Driven and Reasoning-Driven Hallucinations in LLMs
[NO] 205/816 | A Scanning-Based Indoor Optical Wireless Positioning System with Single VCSEL
[NO] 206/816 | One Adapts to Any: Meta Reward Modeling for Personalized LLM Alignment
[NO] 207/816 | On the Stochastic-Quantum Correspondence
[NO] 208/816 | Detection of high-frequency gravitational waves using SRF cavities
[NO] 209/816 | Additive sink subtraction
[NO] 210/816 | Giant Resonant Enhancement of Photoinduced Dynamical Cooper Pairing, far above $T_c$
[NO] 211/816 | SMART: Scalable Mesh-free Aerodynamic Simulations from Raw Geometries using a Transformer-based Surrogate Model
[NO] 212/816 | TEA-Bench: A Systematic Benchmarking of Tool-enhanced Emotional Support Dialogue Agent
[NO] 213/816 | Neural Multi-Speaker Voice Cloning for Nepali in Low-Resource Settings
[NO] 214/816 | LLAMA LIMA: A Living Meta-Analysis on the Effects of Generative AI on Learning Mathematics
[NO] 215/816 | Any Light Particle Searches with ALPS II: first science campaign
[NO] 216/816 | A Unique Inverse Decomposition of Positive Definite Matrices under Linear Constraints
[NO] 217/816 | McSAS3: improved Monte Carlo small-angle scattering analysis software for dilute and dense scatterers
[NO] 218/816 | Impact of Rastall gravity on hydrostatic mass of galaxy clusters
[NO] 219/816 | Learning Real-Life Approval Elections
[NO] 220/816 | Closure models for the feedback of energetic particles on plasma turbulence
[NO] 221/816 | FadeMem: Biologically-Inspired Forgetting for Efficient Agent Memory
[NO] 222/816 | Unheard in the Digital Age: Rethinking AI Bias and Speech Diversity
[NO] 223/816 | TwinPurify: Purifying gene expression data to reveal tumor-intrinsic transcriptional programs via self-supervised learning
[NO] 224/816 | The Compounded BSDE method: A fully-forward method for option pricing and optimal stopping problems in finance
[NO] 225/816 | Splat-Portrait: Generalizing Talking Heads with Gaussian Splatting
[NO] 226/816 | AdaReasoner: Dynamic Tool Orchestration for Iterative Visual Reasoning
[NO] 227/816 | ExoGS: A 4D Real-to-Sim-to-Real Framework for Scalable Manipulation Data Collection
[NO] 228/816 | Spin-redirection Berry phase with planar rays
[NO] 229/816 | Duality in $SIM(2)$ topologically massive models with $B\wedge F$ term
[NO] 230/816 | Broadband tunable narrow-linewidth laser based on scattering-enhanced fiber covering E-S-C-L bands
[NO] 231/816 | Hybrid integrated narrow linewidth laser with external distributed optical feedback from a silicon strip waveguide
[NO] 232/816 | Atmospheric Circulation of High-Obliquity Mini-Neptunes
[NO] 233/816 | Asymptotics of the d'Arcais Numbers at Small $k$
[NO] 234/816 | Radio streaks in the Lighthouse Nebula discovered with MeerKAT -- Particles escaping from the tail and illuminating the ambient magnetic field
[NO] 235/816 | K-Myriad: Jump-starting reinforcement learning with unsupervised parallel agents
[NO] 236/816 | Self-Refining Video Sampling
[NO] 237/816 | Stable Matching with Deviators and Conformists
[NO] 238/816 | Semilinear Diffusion Equations on Infinite Graphs: The Dissipative and Lipschitz Cases
[NO] 239/816 | Enhancing Control Policy Smoothness by Aligning Actions with Predictions from Preceding States
[NO] 240/816 | Dualband OFDM Delay Estimation for Multi-Target Localization
[NO] 241/816 | Latent Knowledge as a Predictor of Fact Acquisition in Fine-Tuned Large Language Models
[NO] 242/816 | Rethinking AI in the age of climate collapse: Ethics, power, and responsibility
[NO] 243/816 | Scaling Behaviors of Evolutionary Algorithms on GPUs: When Does Parallelism Pay Off?
[NO] 244/816 | A coarse Gallai theorem
[NO] 245/816 | Properties of calculus in r-Complexity 2025
[NO] 246/816 | The Quantum Cliff: A Critical Proton Tunneling Threshold Determines Clinical Severity in RPE65-Mediated Retinal Disease
[NO] 247/816 | Nuclear effects on longitudinal-transverse structure function ratio in the deuteron
[NO] 248/816 | A brush problem. Homogenization involving thin domains and PDEs in graphs
[NO] 249/816 | Biorthogonal ensembles of derivative type
[NO] 250/816 | Time-reversed Shannon entropy as a chaos indicator for non-integrable systems
[NO] 251/816 | Refinement and Performance Benchmark for Range-Separated Water Force Field
[NO] 252/816 | Exploring the role of accretion shocks in galaxy clusters as sources of ultrahigh-energy cosmic rays
[NO] 253/816 | Linear Response for Intermittent Circle Maps
[NO] 254/816 | Cohomologically or numerically trivial automorphisms of surfaces of general type
[NO] 255/816 | Estimation of geometric transformation matrices using grid-shaped pilot signals
[NO] 256/816 | Quantum Error Correction on Error-mitigated Physical Qubits
[NO] 257/816 | Analysis of freeze-in scenario with a scalar Leptoquark and a scalar Dark Matter
[NO] 258/816 | Socioeconomic Determinants of the COVID-19 Infodemic
[NO] 259/816 | Hierarchical Text Classification with LLM-Refined Taxonomies
[NO] 260/816 | Potential of Graphene/AlGaN/GaN heterostructures to study the drag and two-stream instability effects
[NO] 261/816 | A short note on $A_α$-eigenvalues for simple graphs
[NO] 262/816 | Making medical vision-language models think causally across modalities with retrieval-augmented cross-modal reasoning
[NO] 263/816 | When Domain Pretraining Interferes with Instruction Alignment: An Empirical Study of Adapter Merging in Medical LLMs
[NO] 264/816 | Maps of Tournaments: Distances, Experiments, and Data
[NO] 265/816 | Q-Bench-Portrait: Benchmarking Multimodal Large Language Models on Portrait Image Quality Perception
[NO] 266/816 | Structural Gender Bias in Credit Scoring: Proxy Leakage
[YES] 267/816 | Agentic Much? Adoption of Coding Agents on GitHub
[NO] 268/816 | PPISP: Physically-Plausible Compensation and Control of Photometric Variations in Radiance Field Reconstruction
[NO] 269/816 | Scalable Repeater Architecture for Long-Range Quantum Energy Teleportation in Gapped Systems
[NO] 270/816 | TC-IDM: Grounding Video Generation for Executable Zero-shot Robot Motion
[NO] 271/816 | Residual Learning for Neural Ambisonics Encoders
[NO] 272/816 | Black Hole Interior and Time-like Entanglement Entropy
[YES] 273/816 | CovertComBench: The First Domain-Specific Testbed for LLMs in Wireless Covert Communication
[NO] 274/816 | Photoexcitation spectroscopy of highly charged ions for application to astronomy using a compact electron beam ion trap (EBIT) at the synchrotron radiation facility SPring-8
[NO] 275/816 | Dicey Games: Shared Sources of Randomness in Distributed Systems
[NO] 276/816 | Contextual Range-View Projection for 3D LiDAR Point Clouds
[NO] 277/816 | Acceleration of Modelling with Physics Informed Learning: Frameworks and Perspectives for Real-Time Control of Electrochemical Devices
[NO] 278/816 | Temp-R1: A Unified Autonomous Agent for Complex Temporal KGQA via Reverse Curriculum Reinforcement Learning
[NO] 279/816 | Noise-Robust Contrastive Learning with an MFCC-Conformer For Coronary Artery Disease Detection
[NO] 280/816 | Closed Eyes and Coil Size -- Effects on Motor Threshold and Intracortical Inhibition, measured with TMS
[YES] 281/816 | Think-Augmented Function Calling: Improving LLM Parameter Accuracy Through Embedded Reasoning
[NO] 282/816 | When Nobody Around Is Real: Exploring Public Opinions and User Experiences On the Multi-Agent AI Social Platform
[NO] 283/816 | Designing large language model prompts to extract scores from messy text: A shared dataset and challenge
[NO] 284/816 | Neural Network Approximation: A View from Polytope Decomposition
[YES] 285/816 | FGGM: Fisher-Guided Gradient Masking for Continual Learning
[NO] 286/816 | BoRP: Bootstrapped Regression Probing for Scalable and Human-Aligned LLM Evaluation
[NO] 287/816 | GenCI: Generative Modeling of User Interest Shift via Cohort-based Intent Learning for CTR Prediction
[NO] 288/816 | A particle on a ring or: how I learned to stop worrying and love $θ$-vacua
[NO] 289/816 | Nonanalytic Structure of Effective Potential at Finite Temperature on Compactified Space
[NO] 290/816 | TechING: Towards Real World Technical Image Understanding via VLMs
[NO] 291/816 | Breakdown of bosonic Thouless pump due to interaction in a quasiperiodic lattice
[NO] 292/816 | HomoFM: Deep Homography Estimation with Flow Matching
[NO] 293/816 | Automated HER2 scoring with uncertainty quantification using lensfree holography and deep learning
[NO] 294/816 | Rhea: Detecting Privilege-Escalated Evasive Ransomware Attacks Using Format-Aware Validation in the Cloud
[NO] 295/816 | Controllability of wave-heat and heat-wave cascades
[NO] 296/816 | Wave functions and k-point functions for the AKNS hierarchy
[NO] 297/816 | Tunneling signatures of interband coherence in dilute exciton condensates
[NO] 298/816 | Lattice determination of the neutrino background for $J/ψ\rightarrow γ+ \textrm{invisible}$
[NO] 299/816 | PaperSearchQA: Learning to Search and Reason over Scientific Papers with RLVR
[NO] 300/816 | Gluing different gravitational models: $f(R)$ case
[NO] 301/816 | MemWeaver: Weaving Hybrid Memories for Traceable Long-Horizon Agentic Reasoning
[NO] 302/816 | DMAP: Human-Aligned Structural Document Map for Multimodal Document Understanding
[NO] 303/816 | SAGE: Steerable Agentic Data Generation for Deep Search with Execution Feedback
[NO] 304/816 | Trajectory-Based RBF Collocation Method for Surface Advection-Diffusion Equations
[NO] 305/816 | Vertex degrees in grid graphs associated with 213-avoiding permutations
[NO] 306/816 | YOLO-DS: Fine-Grained Feature Decoupling via Dual-Statistic Synergy Operator for Object Detection
[NO] 307/816 | Lie algebroid connection and Harder-Narasimhan reduction
[NO] 308/816 | A necessary condition for the logarithmic Minkowksi problem in higher dimension
[NO] 309/816 | Pullback and Direct Image of Parabolic Ample and Parabolic Nef Vector Bundles
[NO] 310/816 | Magnetic field-induced non-trivial Lifshitz transition in TaCo2Te2
[NO] 311/816 | JWST Spectroscopic Census of ALMA Faint Submillimeter Galaxies in the Hubble Ultra Deep Field
[NO] 312/816 | Systematic classification of one-loop models addressing the $b \to s ν\barν$ anomaly
[NO] 313/816 | Neuro-Parametric Spectral Classification of Black Hole and Neutron Star X-ray Binary Systems
[NO] 314/816 | Accelerating Update Broadcasts Over LoRaWAN Downlink via D2D Cooperation
[NO] 315/816 | Heavy Quarkonium Spectrum and Decay Constants from a Neural-Network-Based Holographic Model
[NO] 316/816 | Static stable timelike circular orbits and Aschenbach effect in horizonless solutions of Einstein cubic gravity
[NO] 317/816 | Decentralized Multi-product Pricing: Diagonal Dominance, Nash Equilibrium, and Price of Anarchy
[YES] 318/816 | MalURLBench: A Benchmark Evaluating Agents' Vulnerabilities When Processing Web URLs
[NO] 319/816 | Quasiregular maps of Sierpinski carpet Julia sets
[NO] 320/816 | Beyond Static Datasets: Robust Offline Policy Optimization via Vetted Synthetic Transitions
[YES] 321/816 | Mitigating the OWASP Top 10 For Large Language Models Applications using Intelligent Agents
[NO] 322/816 | Computational Framework for Estimating Relative Gaussian Blur Kernels between Image Pairs
[NO] 323/816 | LatentMoE: Toward Optimal Accuracy per FLOP and Parameter in Mixture of Experts
[NO] 324/816 | "Crash Test Dummies" for AI-Enabled Clinical Assessment: Validating Virtual Patient Scenarios with Virtual Learners
[NO] 325/816 | Physics-Integrated Inference for Signal Recovery in Non-Gaussian Regimes
[NO] 326/816 | Remarks about Connection and Dirac matrices
[NO] 327/816 | CIM-Tuner: Balancing the Compute and Storage Capacity of SRAM-CIM Accelerator via Hardware-mapping Co-exploration
[NO] 328/816 | Design of a Miniature Kibble Balance for Kilogram-Scale Mass Calibration -- KBmini
[NO] 329/816 | BASTION: A Bayesian Framework for Trend and Seasonality Decomposition
[NO] 330/816 | MortalMATH: Evaluating the Conflict Between Reasoning Objectives and Emergency Contexts
[NO] 331/816 | PRECISE: Reducing the Bias of LLM Evaluations Using Prediction-Powered Ranking Estimation
[NO] 332/816 | The Blown Lead Paradox: Conditional Laws for the Running Maximum of Binary Doob Martingales
[NO] 333/816 | Hamiltonian Decoded Quantum Interferometry for General Pauli Hamiltonians
[NO] 334/816 | The Role of Intrinsic Temperature and Vertical Mixing in Characterizing Sub-Neptune Atmospheres
[NO] 335/816 | Anticipation in Action: Evaluating Stimulus-Preceding Negativity as an Implicit Trigger for Adaptive Mixed Reality
[YES] 336/816 | Let's Make Every Pull Request Meaningful: An Empirical Analysis of Developer and Agentic Pull Requests
[NO] 337/816 | Symmetric Proofs of Parameterized Programs
[NO] 338/816 | SNC Kähler-Einstein metrics and RCD spaces
[NO] 339/816 | Benchmarking Machine Learning Models for IoT Malware Detection under Data Scarcity and Drift
[YES] 340/816 | Self-Distilled Reasoner: On-Policy Self-Distillation for Large Language Models
[NO] 341/816 | Optimal Use of Preferences in Artificial Intelligence Algorithms
[NO] 342/816 | Liquid crystals and topological vorticity: smoothness of mild solutions
[NO] 343/816 | Conditioned Generative Modeling of Molecular Glues: A Realistic AI Approach for Synthesizable Drug-like Molecules
[NO] 344/816 | Point transformer for protein structural heterogeneity analysis using CryoEM
[NO] 345/816 | Health-SCORE: Towards Scalable Rubrics for Improving Health-LLMs
[YES] 346/816 | From Fuzzy to Exact: The Halo Architecture for Infinite-Depth Reasoning via Rational Arithmetic
[NO] 347/816 | On the Distance Distribution of Reed-Muller Codes
[NO] 348/816 | ART for Diffusion Sampling: A Reinforcement Learning Approach to Timestep Schedule
[NO] 349/816 | New parameters for star cluster dynamics: observational results
[NO] 350/816 | Counterfactual Explanations on Robust Perceptual Geodesics
[NO] 351/816 | Quasi Monte Carlo methods enable extremely low-dimensional deep generative models
[NO] 352/816 | Non-Markovian non-equilibrium modeling of experimental cell-motion trajectories reveals dependence of propulsion-force correlations on solvent viscosity
[NO] 353/816 | The phase structure of QCD: Fluctuations and Correlations
[NO] 354/816 | S$^2$GR: Stepwise Semantic-Guided Reasoning in Latent Space for Generative Recommendation
[NO] 355/816 | Balancing Privacy and Robustness in Coded Computing Under Profiled Workers
[NO] 356/816 | When Is Self-Disclosure Optimal? Incentives and Governance of AI-Generated Content
[NO] 357/816 | Hamiltonian Analysis of Doubled 4d Chern-Simons
