[2026-06-08 23:12:09] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-06-07
正在获取论文...
[ACM] 2026-6-8 | An Intelligent Assessment of Machine Vision Courses Based on HA-GNN
[NO] 481/1000 | An Intelligent IoT-Enabled Women and Child Protection Device with GPS Tracking and SOS Alert Mechanism
[NO] 482/1000 | Comprehensive Review on Satellite-Based Crop Monitoring and Weed Detection Techniques, Challenges and Future Trends for Smart Agriculture
[NO] 483/1000 | Weighted Ensemble Learning for Defensive Intrusion Detection
[NO] 484/1000 | Optimal User-Driven Performance Governance for Server-Side Rendered Web Applications
[NO] 485/1000 | Learning Context-Aware Neural ODE Dynamics for Adaptive Robotic Control
[NO] 486/1000 | PanSR: An Object-Centric Mask Transformer for Maritime Panoptic Segmentation
[NO] 487/1000 | Event-triggered optimal tracking control for nonlinear networked Markovian switching systems:
                    <i>Q</i>
                    -learning approach
[NO] 488/1000 | Free-space Optical Accelerometer with High Dynamic Range Using Phase Generated Carrier Demodulation Achieved via Integrated Coil Modulation
[NO] 489/1000 | Robust Multiplicative Control in Chemical Reaction Networks
[NO] 490/1000 | Adaptive Sliding Mode Path Following Control for Autonomous Ground Vehicles with Uncertain Mass and Cornering Stiffness
[NO] 491/1000 | A Novel Fractional-Order Second-Order Sliding Mode Control For Nonlinear Systems Under Matched and Mismatched Uncertainties
[NO] 492/1000 | Decentralized AI-Driven Cyber-Resilient Control for Real-Time Intrusion Detection and Mitigation in Inverter-Dominated Grids
[NO] 493/1000 | MIN-Trust: A Minimum Necessary Information Trust Orchestration Framework for Multi-Agent Collaboration
[NO] 494/1000 | Proceedings of the 2026 International Conference on Generative Artificial Intelligence and Education
[NO] 495/1000 | A Hierarchy of Supermartingales for ω-Regular Verification
[NO] 496/1000 | Causality and Semantic Separation
[NO] 497/1000 | MatchBox: A Semantic Foundation for Data Plane Portability
[YES] 498/1000 | The Search for Constrained Random Generators
[NO] 499/1000 | GradInf: Gradient Estimation as Probabilistic Inference
[NO] 500/1000 | Nested Inductive Types: Justified and Usable Nested Inductive Types in Lean and Rocq
[NO] 501/1000 | Equity Analysis of Statewide Longitudinal High School CS Coursework Data: An Application of the CAPE Framework
[NO] 502/1000 | Baseline-Driven Personalized FPA Retraining Using IMU and AR Feedback for Overground Walking
[NO] 503/1000 | The Influence of Context on Learning in a Social VR Historical Fashion Exhibition
[NO] 504/1000 | A Multi-Modal Exploration of Diversity in Visual Media Production Industries
[NO] 505/1000 | “You Figure It Out By Yourself”: Women's Transitions from Computer Science Education to the Workforce
[NO] 506/1000 | The Spiders Perspective: A Multisensory VR Experience to Foster Small Animal Conservation
[NO] 507/1000 | Leveraging a Vintage Radio Interface to Explore Media Recommender Systems
[NO] 508/1000 | Quantifying the Cost of Manual Navigation: A Comparison of Gesture-Based Magnification versus Direct Access Reading in Digital Layout-based Documents
[NO] 509/1000 | Bonsai: Compiling Queries to Pruned Tree Traversals
[YES] 510/1000 | Verifying Array Properties in Pure Data-Parallel Programs
[NO] 511/1000 | Hayroll: A Modular Wrapper for Translating C Macros and Conditional Compilation to Rust
[NO] 512/1000 | Weighted NetKAT: A Programming Language for Quantitative Network Verification
[YES] 513/1000 | Hyper Separation Logic
[NO] 514/1000 | Compiling to Recurrent Neurons
[NO] 515/1000 | A Formally Verified Foundation for Compositional Heterogeneous Coherence
[NO] 516/1000 | A WhatsApp-Based Administrative Chatbot for Academic and Service Processes at Astra Polytechnic
[NO] 517/1000 | Development and performance analysis of a highaccuracy six-axis force sensor
[NO] 518/1000 | Toward an Inclusive Cognitive Banking System: Empathetic Voice Assistants for the Digital Autonomy of Elderly and Visually Impaired People in Africa
[NO] 519/1000 | Fabrication of copper-titanium composite layers on alumina using laser-based powder bed fusion
[NO] 520/1000 | Near-Infrared LED Reflow Soldering for Flexible Hybrid Electronics
[NO] 521/1000 | CKD: Contrastive Knowledge Distillation for Cross-Dataset EEG Classification
[NO] 522/1000 | Multi-Step Knee Joint Angle Prediction for Lower-Limb Exoskeletons Using Temporal Convolutional Networks
[NO] 523/1000 | Untethering EIT: An Integrated Wireless Tactile Interface for Human&amp;#x2013;Machine Interaction_supp6-3688715.mp4
[NO] 524/1000 | Countering AI-Powered Threats in IoV: A Secure Task Offloading and Resource Allocation Scheme with RIS and Quantum Reinforcement Learning
[NO] 525/1000 | FACDA: Federated Learning-based Autonomous Cyber Defense for Edge–Cloud Systems
[NO] 526/1000 | Continuous-Time Stability of Networked Cyber-Physical Systems Under Denial-of-Service Attacks: A Lyapunov–LMI Framework with Sample-and-Hold Control
[NO] 527/1000 | Synthetic Brain Tumour Classification: A Complete Experiment
[NO] 528/1000 | Comparative Study of Deep Transfer Learning Models for Classifying Different Types of Diseases in Paddy
[NO] 529/1000 | Wearable Companion Robot for Assistive Support
[NO] 530/1000 | Autonomous Mobile Robots (AMRs) for Warehouse and Production-Line Logistics
[NO] 531/1000 | Radiobiological framework for pediatric radiotherapy plans using an automated Python-based NTCP modeling tool
[NO] 532/1000 | Omnidirectional Path Finding Algorithm using Single Ultrasonic Sensor for Robotic Cars
[NO] 533/1000 | Research on Cooperative Detection Methods Based on Target Angle Information
[NO] 534/1000 | 2026 2nd International Conference on Big Data &amp;amp; Machine Learning (ICBDML)
[NO] 535/1000 | Sensitivity Analysis-Based Comparative Evaluation of Text Classification Models for Automotive Customer Reviews
[NO] 536/1000 | Simulation-driven polymer selection for eco-efficient plastic tray design
[NO] 537/1000 | Fuzzy Inference-Based Artificial Intelligence Approach for Optimizing Machining of LM25-10 wt.% SiC Composites
[NO] 538/1000 | Descriptor:
                    <i>Two-Way-Ranging-Based Cooperative Localization with an Open UWB Dataset from Bern-University</i>
                    (TWR-CLOUD-Bern)
[NO] 539/1000 | FlowAdapt-GS: Dual Optical Flow Supervision with Adaptive Keyframe Sampling for Endoscopic 4D Reconstriction
[NO] 540/1000 | FLoRA: Fusion-Latent for Optical Reconstruction and Flood Area Segmentation via Cross-Modal Multi-Task Distillation Network
[NO] 541/1000 | NEMO: Neuro Hydrodynamic Model-Based Trajectory Planning for Autonomous Surface Vehicles With Reinforcement Learning
[NO] 542/1000 | Quasi-SMAP: A SMAP-referenced long-term daily surface soil moisture record from 1981 to 2022
[NO] 543/1000 | Non-Enzymatic Glucose Sensing with GO/rGO-Modified Gold Electrodes: Interplay of Surface Functionalization and Conductivity
[NO] 544/1000 | Seizure Prediction Using Channel-Optimized Intracranial EEG with Variable Interictal and Preictal Durations
[NO] 545/1000 | Parallel-Elastic Actuation with Reactive Latch Elevates Robotic Hopping Performance: Jump Height and Continuity
[NO] 546/1000 | A Knowledge-Based Semi-Supervised Crystal Property Prediction Framework with Consistency Regularization
[NO] 547/1000 | Toward Unified Interpretable Decision-Making for Autonomous Driving: A Safety Interval Reserve Approach
[NO] 548/1000 | SpinJORR : Spin actuated Jumping Omnidirectional Rolling Robot
[NO] 549/1000 | StereoMulti3DPose: Multi-Person 3D Pose Estimation via Lightweight Asymmetric Stereo Learning on the Edge
[NO] 550/1000 | Low-Power LECTOR-Based Current-Starved VCO in 90 nm CMOS for Wireless IoT Networks
[NO] 551/1000 | Modeling and Simulation of an Adaptive Cruise Control System for Enhanced Driving Safety and Comfort
[NO] 552/1000 | DCNMNet: A Dynamic Contextual Neural Memory Network for Robust Spatio-Temporal Human Action Recognition
[NO] 553/1000 | When AI Works in Indonesian Workplace: How Technological Self-Efficacy Translates AI Usage into Outcomes under Digital Leadership
[NO] 554/1000 | Economic Load Dispatch with Comprehensive Constraints Using the Vortex Search Algorithm
[NO] 555/1000 | Quantitative Cost Analysis of Multi-stage Power Dispatch Models Under Prediction Errors
[NO] 556/1000 | Automated Noise Source Identification and Screening Method Based on Frequency-Wavenumber Transform and its Application in Surface Wave Imaging
[NO] 557/1000 | Contactless Detection of Atrial Fibrillation in Stroke Patients Based on Bayes Probability Model with Microwave Biomedical Radar
[NO] 558/1000 | Application of cascade control technology in constant power control of thermal equipment
[NO] 559/1000 | Dynamic Pricing Based Home Energy Management for Islanded Operation with Integrated Distributed Energy Resources
[NO] 560/1000 | Privacy Risks in Metaverse and NFTs Ecosystems
[NO] 561/1000 | Digitization of Old Indonesian Documents using YOLO and OCR
[NO] 562/1000 | AI-Optimised Coordinated Control of Ultracapacitors and SSSC for Frequency Stability Enhancement in Renewable-Integrated Interconnected Power Systems
[NO] 563/1000 | CNN2D-Mamba: A Hybrid Deep Learning Architecture for Multi-Temporal SAR Crop Classification in Semi-Arid Regions
[NO] 564/1000 | Leveraging Influencer Marketing and Online Reviews to Enhance Trust in E-Commerce Purchase and Word of Mouth Intentions
[NO] 565/1000 | Federated Learning Driven Liver Cancer Detection in IoMT Networks
[NO] 566/1000 | Generative Artificial Intelligence in Geospatial Applications: From Foundation Models to Physics-Informed Systems
[NO] 567/1000 | Energy-Efficient Protocols and AI-Driven Optimization for Sustainable Green Networking in 6G Communication Systems
[NO] 568/1000 | Linking Physical Models and Immersive Visualization: A Virtual Reality Approach to Projectile Motion
[NO] 569/1000 | Systematic Investigation of Core Insert Breakage in Plastic Injection Molds: A Case Study
[NO] 570/1000 | Sliding K-Means and Progressive Deep Learning for Dynamic Hand Gesture Recognition in Human Computer Interaction
[NO] 571/1000 | Deep Reinforcement Learning–based Robot Path Planning using PPO in 2D Dynamic Environments
[YES] 572/1000 | Artificial Intelligence Visual Studio Code Reviewer
[NO] 573/1000 | XAI-Driven Sleep Apnea Detection: Enhancing Transparency in ECG-Based AI Models
[NO] 574/1000 | Gender Bias in Resume Screening using SHAP and LIME
[NO] 575/1000 | FraudPredictor: A Real-Time Transaction Analysis Machine Learning Model
[NO] 576/1000 | A Privacy-Preserving Federated Autoencoder for Unsupervised IoT Network Traffic Representation Learning
[NO] 577/1000 | EEG-Based Harmful Brain Activity Classification with Hybrid 2D and 3D CNN Ensemble Architecture
[NO] 578/1000 | Kerberos-Blockchain Cross-Authentication: A Smart-Contract Framework for Vehicular Ad Hoc Networks (VANETs)
[NO] 579/1000 | Survey of AI and Cytological Techniques for Cancer Subclassification and Diagnosis
[NO] 580/1000 | Multimodal ResNet-based CNN for Early Autism Spectrum Disorder Detection and Severity Stratification
[NO] 581/1000 | Hybrid Artificial Intelligence Internet of Things Platform for Personalized Healthcare Recommendations and Smart Patient Care Services
[NO] 582/1000 | The influence of EEG noise and filtering strategies on feature extraction for neurological applications
[NO] 583/1000 | Performance Evaluation of a Smart Wearable Tumor Monitoring System for Predictive Chemotherapy Dosing
[NO] 584/1000 | Design and Evaluation of a Chopper-Stabilized Current-Feedback Instrumentation Amplifier for EEG and Biopotential Acquisition
[NO] 585/1000 | Enhancing Pathology Diagnostics with Deep Learning and Feature Attribution
[NO] 586/1000 | Real-Time Identity Verification for 6G Network Slicing Using Blockchain and Machine Learning
[NO] 587/1000 | Smart Portable Chest Worn Respiratory Device for Continuous Health Monitoring
[NO] 588/1000 | Deep Adaptive Perceptual Generative Adversarial Network for Secure Cloud Computing and Big Data Protection to Enable Cyber Threat Prevention
[NO] 589/1000 | Movie Stream
[NO] 590/1000 | Deep Reinforcement Learning Guided by Game-Theoretic Structure for Multi-Agent Resource Allocation and Scheduling
[YES] 591/1000 | Enumerating Ill-Typed Programs for Testing Type Analyzers
[NO] 592/1000 | Neuro-symbolic Hierarchical Learning for Long-Horizon Robotic Tasks
[NO] 593/1000 | Explainable Artificial Intelligence for Crop Yield Prediction Using Agro-Climatic Data
[NO] 594/1000 | Fatigue Life Assessment of Monobloc Railway Wheels Using S–N (Basquin) Method and Hertzian Contact Analysis
[NO] 595/1000 | Federated Learning with Bayesian Optimization for Lightweight IoT DDoS Detection
[NO] 596/1000 | A Piecewise Fuzzy SIER Model for Alzheimer Disease Progression
[NO] 597/1000 | ZIF-8 Deposition on Optical Fibers and Silicon Wafers for Methane Sensing
[NO] 598/1000 | Model of Digital Transformation Resistance in the Auditor Profession
[NO] 599/1000 | Prediction of Thyroid-Stimulating Hormone Control Status Using Interpretable Ensemble Learning
[NO] 600/1000 | Method for Automating the Layout of Wireless Charging Infrastructure for Public Transport Vehicles
[NO] 601/1000 | A Low-EMI Spread-Spectrum Clocking Circuit with Digital Calibration for High-Precision MCU On-Chip Oscillators
[NO] 602/1000 | MASDA: A Multi-Agent System with Dynamic Planning and Adaptive Verification for Automated Data Analysis
[NO] 603/1000 | Machine Learning based Hybrid Technique for Cyber Attack Prediction in VANET
[NO] 604/1000 | Comparison between the Mean-Shift and Spectral Clustering Algorithms for the Classification of Earthen Construction Materials in Essaouira
[NO] 605/1000 | A 78–109-GHz Octupler Using Injection-Locked Phase-Difference Control and a Gilbert Cell With &gt;50-dBc Harmonic Rejection
[NO] 606/1000 | Optimizing Campus Security Systems: Leveraging Ontologies and Large Language Models to Enhance Detection Accuracy and System Reliability
[NO] 607/1000 | On the Use of CTGAN Data Augmentation for Enhancing MLP-based Software Development Effort Estimation using small datasets
[NO] 608/1000 | Toward a Soft Robotic Gripper Integrating High Force Grasping and Dexterous Manipulation: The SOFRo Gripper_supp6-3693142.mp4
[NO] 609/1000 | Defect Redistribution-Induced Leakage Degradation in
                    <i>β</i>
                    -Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    SBDs Under 300 MeV Proton Irradiation
[NO] 610/1000 | SNR-Based Detection of Static and Dynamic Eccentricity in Resolvers
[NO] 611/1000 | Crafting Your Evolving Dreams: Concept-Incremental Versatile Customization
[NO] 612/1000 | Optimum Design of Multisegment Compliant Finger via Fractional Kolmogorov-Arnold Network-Based Parameterization Framework
[NO] 613/1000 | STGBD-Net: Spatio-temporal Gradient Basis Decomposition Network for Infrared Small Target Detection
[NO] 614/1000 | CHA: Physics-Based Dynamics Modeling for Clothing-Editable Human Avatars
[NO] 615/1000 | A Data-Centric SPGT-ConvTransformer Framework for UAV-Based Soybean Disease Classification
[NO] 616/1000 | Detection of Heart Rate and Respiratory Rate from Facial Video Using Eulerian Motion Analysis and Kalman Filtering
[NO] 617/1000 | KINDSHARE: A Smart Financial Budgeting and Resources Monitoring System
[NO] 618/1000 | A Hybrid Framework for Multi-LOD Building Model Reconstruction from Urban Point Clouds
[NO] 619/1000 | Comparative Study of Deep Learning Architectures for Brain Tumor Segmentation
[NO] 620/1000 | Performance Assessment of an Advanced MPPT Technique for Grid-Connected Photovoltaic Systems Using Real Irradiance Data
[NO] 621/1000 | Machine Learning Models for SQL Injection Detection: A Comparative Analysis and Hybrid Framework Proposal
[NO] 622/1000 | IoT-Enabled Multi-Sensor Patient Health Monitoring System for Real-Time Hospital Tracking and Display
[NO] 623/1000 | Cross-Attention Fusion of Molecular Fingerprints and Graph Transformers for hERG Cardiotoxicity Prediction
[NO] 624/1000 | Learning Analytics for Dual Education: A Privacy-Preserving Framework Bridging Campus and Workplace Competencies
[NO] 625/1000 | Automated Nursing Care Plan Creation Based on NANDA-I, NIC, and NOC Standards Using Pre-Trained Transformer Models
[NO] 626/1000 | Experimental Analysis of the application of freezing technologies in desalination: An Overview
[NO] 627/1000 | Federated Learning as a Governance-Aligned Intelligence Paradigm for Pharmaceutical Manufacturing and Research
[NO] 628/1000 | Deep Learning–based Detection of Mango Leaf Diseases and Nutrient Deficiencies using DenseNet-121
[NO] 629/1000 | Hybrid Multi-Scale CNN and Vision Transformer Model for Accurate Skin Lesion Classification
[NO] 630/1000 | AI-Enhanced BIM for Smart City SDGs: Governance and Environment Pillars
[NO] 631/1000 | Multi-Model Time-Series Forecasting Framework for Stock Price Prediction Using Statistical and Deep Learning Techniques
[NO] 632/1000 | Adaptive Channel Learning for Early ADHD Prediction using Attention-based EEGNet
[NO] 633/1000 | Multi-Task Learning Framework for Simultaneous Detection of Crop Disease, Yield Estimation, and Climatic Risk Classification Using Multisource Agricultural Big Data
[NO] 634/1000 | A Review of Reinforcement Learning Frameworks for Adaptive and Privacy-Preserving PDAs
[NO] 635/1000 | Hybrid Symbolic-Neural Framework for Predicting Zero-Divisor Geodetic Indices in Idealization Rings
[NO] 636/1000 | A Comparative Analysis of Machine Learning (ML) and Deep Learning (ML) Models for Epileptic Seizure Detection from electroencephalogram (EEG) Signals
[NO] 637/1000 | Continuous Reformulation of Boltzmann Statistics and Geometric Partition Functions
[NO] 638/1000 | Comparative Analysis of Machine Learning Models for Predicting Chess Outcomes Across Skill Strata
[NO] 639/1000 | A Real-Time Smart Learning Management System with Automated Performance Analytics and Adaptive Content Recommendation
[NO] 640/1000 | Graph Attention Networks Enhance Fine-Grained Academic Performance Prediction in MOOCs by Modelling Structural Relationships
[NO] 641/1000 | Intelligent Dynamic Positioning Strategy for Sensor Networks subject to Information Dropout during Handover Using Wavelet Neural Network
[NO] 642/1000 | Optimization Accuracy of Crime Rate Prediction using K-Mean and Random Forest based Machine Learning
[NO] 643/1000 | Automating Goal-Oriented Modeling with NLP: Extracting Actors, Roles, and Dependencies from Functional Requirements
[NO] 644/1000 | A Blockchain and IoT-Based Framework for Transparent and Traceable Smart Agriculture: AlgroTech
[NO] 645/1000 | Improved Cloud-based Task Scheduling Using Hybrid MCTFFA Model for Enhanced Performance Metrics
[NO] 646/1000 | Spectral Energy Thermodynamics: the exponential spectral case
[NO] 647/1000 | Parallel Genetic Algorithm on Graphics Processing Unit for Distribution Network Planning Considering Harmonics
[NO] 648/1000 | SLRD-IMC: Structured Low-Rank Matrix Decomposition for Magnetic Anomaly Detection with Iteratively Merging Clusters
[NO] 649/1000 | Fréchet Power-Scenario Distance: A Measure for Evaluating Synthetic Data Across Multiple Time-Scales in Smart Grids
[NO] 650/1000 | Adaptive Duty Cycle Calculation for SEPIC Converter Using Bisection Method Under Fluctuating Solar Input Conditions
[NO] 651/1000 | Next-Gen AI-Driven Cybersecurity Framework for Flying Taxis with Intrusion Detection and Secure Command Validation
[NO] 652/1000 | A Confidence-Inference-Based Dual-Layer Robust Elastic Factor Graph Method for Multi-Sensor Fusion Navigation
[NO] 653/1000 | A Touch-Sensing Method Based on Fractal Defected Ground Microstrip Lines and Chaotic Signals
[NO] 654/1000 | Flexible Vivaldi Antennas for Estimating Breast Skin Parameters
[NO] 655/1000 | A Deep-Clustering Fusion Approach for Plant Leaf Disease Classification Using SqueKM-Net
[NO] 656/1000 | SMARTGRID FORECAST: Machine Learningdriven Electricity Price Prediction for Smart Energy Systems
[NO] 657/1000 | Optimal Energy Optimization of Renewable-Assisted AC Microgrid with Hybrid Energy Storage via Lagrange Multiplier
[NO] 658/1000 | Security and Privacy in Connected and Autonomous Vehicles: Architecture and Challenges
[NO] 659/1000 | Inversion of Iron Oxide Abundance Using Hyperspectral Data Based on Wavelet Packet Analysis
[NO] 660/1000 | Spatiotemporal Distribution Prediction of Charging Load at Highway Service Areas Based on Traffic Flow Simulation
[NO] 661/1000 | An Intelligent Hybrid Model of CNN-BiLSTM for Fault Classification in AC Microgrid
[NO] 662/1000 | LVRT Control Strategy for a Grid-Forming Wind-Storage System Based on DC-Link Power-Energy Coordination
[NO] 663/1000 | An AI–IoT Integrated Multi-Modal Deep Learning Framework for Crop Submergence Prediction and Mitigation
[NO] 664/1000 | Adaptive SOC-based equalization charging with flyback converter for battery packs
[NO] 665/1000 | Machine Learning-Based Prediction Modelling of EDM Application on Ti6Al4V Alloy Using 3D-Printed SS316L Electrodes
[NO] 666/1000 | A Method for Inverting Pollutant Concentration in Atmospheric Remote Sensing Images Based on an Improved U-Net Network
[NO] 667/1000 | A Multilayer Perceptron Fitted Simulation Model for 2D Sea Surface Scattering and Doppler Velocity Based on M4S
[NO] 668/1000 | GUIDE: Generalizable Trajectory Prediction Using Intention-Aware Diffusion With Efficiency
[NO] 669/1000 | Recent Advances in Intelligent Energy Management for Design and Operation of Green Hospitals
[NO] 670/1000 | Bearing Fault Diagnosis Using Teager Energy Concentrated Time-Frequency Transforms
[NO] 671/1000 | VIRTUS-FPP: Virtual Sensor Modeling for Fringe Projection Profilometry in NVIDIA Isaac Sim
[NO] 672/1000 | Strain Response Model of CORC Cable Under Transverse Compression and Axial Tension Load
[NO] 673/1000 | Visibility-Constrained Vision-Based Air-to-Air Tracking and Control for Non-cooperative UAVs with Unknown Maneuvers
[YES] 674/1000 | Expecto: Extracting Formal Specifications from Natural Language Description for Trustworthy Oracles
[NO] 675/1000 | A novel asynchronous intermittent communication methodology for multi-agent systems with unmodeled disturbances
[NO] 676/1000 | Beyond Gender: Breadth of Computer Science Education Experiences Predict Motivation to Study Computer Science
[NO] 677/1000 | Training HBCU Undergraduates in Human-Centered AI Research
[NO] 678/1000 | Measuring the Divide
[NO] 679/1000 | Understanding Black Students' Perceptions of Familial and Non Familial Social Capital Entities
[NO] 680/1000 | Decision letter for "End-to-End Depositional Microfacies Identification from Variable-Log Inputs Using CNN and Attention-CRF"
[NO] 681/1000 | Real-Time Computer-Assisted Afrogenic Dance Move Recognition and Analysis
[NO] 682/1000 | Beyond Demographic Labels to Holistic Identity Measures
[NO] 683/1000 | Different Ways of ‘Being a CS Student’: Latent Profiles of Identity and Need Satisfaction, and Their Links to Attitudes and Persistence Intentions
[NO] 684/1000 | Evaluating Multimedia Design Principles for Verbal Content in VRLEs
[NO] 685/1000 | GenX: Device Orchestration for Multimodal Generative Experiences in Ubiquitous Systems
[NO] 686/1000 | Unveiling Hype Patterns in AI Advertising
[NO] 687/1000 | Comparative Analysis of Human vs. AI-powered Support in VRChat Communities on Discord: User Engagement, Response Dynamics and Interaction Patterns
[YES] 688/1000 | An AI-Driven Conversational Platform for the Learning and Assessment of Programming Logic
[NO] 689/1000 | ASIC Implementation of a Multiplier-Less CNN Accelerator
[NO] 690/1000 | Sensorless nonlinear control of flying capacitor multilevel inverter based grid-tied Photovoltaic system with an LCL filter
[NO] 691/1000 | Nutriscan: An Arduino-Based Food Health Classification System
[NO] 692/1000 | MAMNet: A State Space Attention Collaborative Network for Photovoltaic Change Detection
[NO] 693/1000 | Image Dehazing Algorithm Based on Improved AOD-Net
[NO] 694/1000 | Two Types of Errors in the Assessment of Spatial Data Positional Accuracy
[NO] 695/1000 | IRASET 2026 Cover Page
[NO] 696/1000 | AquaXplain: Interpretable Ensemble Learning for Environmental Engineering Aquatic Ecosystem Health Assessment via SHAP Attribution and Physicochemical Correlation Networks
[NO] 697/1000 | Architectural Impact on IVIF: Evaluating the Performance of CNNs vs. Transformers in Infrared-Visible Image Fusion
[NO] 698/1000 | XGBoost-SHAP: Gradient-Boosted Point Cloud Processing with Explainability-Driven Feature Analysis for Urban Road Semantic Segmentation in Surveying Engineering
[NO] 699/1000 | A Compact Wideband CPW-Fed and AMC-Backed $2 \times 2$ Planar MIMO Antenna for Sub-6GHz 5G and WLAN Access Points
[NO] 700/1000 | A Data-Driven Comparison of Classical Statistical and Machine Learning Models for Peatland Fire Prediction
[NO] 701/1000 | A Pragmatic Analysis of Deepfake Image Authentication Using Fine-Tuned ResNet50 and DenseNet Based DNN Models
[NO] 702/1000 | Dynamic sliding mode control of Grid Connected PV system via a series active power filter with a 3-level inverter
[NO] 703/1000 | Electro-Thermal Synergistic Control Strategy for Grid-Forming ANPC Converters under Extreme Overload based on Digital Twin and Loss Reallocation
[NO] 704/1000 | Brain Tumor Segmentation and Personalized Treatment with SL-UNet
[NO] 705/1000 | Comparison of Nonlinear Solution Methods for Seafloor Datum Point Sound Ray Tracing Positioning
[NO] 706/1000 | Up-down Line Current Ratio-based Fault Location Method for Fully Parallel Autotransformer (AT) Traction Power Network
[NO] 707/1000 | Comparative Analysis of 4:2 Compressor for Lightweight CNN-Based Face Recognition
[NO] 708/1000 | XAI-Driven Deep Neural Network Approach for Synthetic Image Identification
[NO] 709/1000 | Object Detection and Classification in Images Using YOLO Algorithm
[NO] 710/1000 | Study on the Vertical Distribution and Dominant Factors of Atmospheric Absorption Coefficients Based on Ground-Based Microwave Radiometers
[NO] 711/1000 | Industrial Anomaly Detection Integrating Graph Attention Mechanism with Graph Deviation Network
[NO] 712/1000 | AI-based Early Alzheimer's Disease Detection using Deep Learning
[NO] 713/1000 | AI-Driven Economic Benefit Measurement Model of Data Assets in Typical Scenarios of the Power Industry
[NO] 714/1000 | Securing Critical Infrastructure Networks Using Blockchain-Assisted Artificial Intelligence: A Survey
[NO] 715/1000 | A Hybrid Neural Network Model for Short-Term Regional Tropospheric Delay Prediction
[NO] 716/1000 | Hybrid PSO–ELM-Based Clinical Decision Support for Heart Disease Diagnosis
[NO] 717/1000 | A Security-Aware Graph-Based Learning Framework for Joint Task Scheduling and Resource Allocation in Cloud Computing
[NO] 718/1000 | A Voting Classifier Approach to Bloom’s Taxonomy: Integrating BERT and Large Language Models for Questions Automatic Classification
[NO] 719/1000 | Hybrid Deep Learning Approaches for Personalized Product Recommendation in Online Retail Systems
[NO] 720/1000 | Smart Learning or Smart Risks? AI in Indian University: A Systematic Review
[NO] 721/1000 | Detection Anomaly Attacks For IoT Devices using Machine Learning and Deep Learning
[NO] 722/1000 | Real-Time Multimodal Sign Language to Speech Translation System
[NO] 723/1000 | Secure Software-Defined Networking (SDN) Using ML-Driven Threat Prediction
[NO] 724/1000 | Blockchain-Enabled Decentralized Recruitment Platform with Verifiable Credentials and Privacy-Preserving Hiring
[NO] 725/1000 | ZoneSep: A Lightweight End-to-End Neural Beamformer with Post-mask Decoder for In-vehicle Multi-zone Speech Separation
[NO] 726/1000 | MobileROS: A Wireless-Native Robot Operating System for Mobile Robotics
[YES] 727/1000 | Uniformity Analysis in the WebGPU Shading Language
[NO] 728/1000 | Robust Initial Alignment for Industrial Autonomous Vehicles Under Severe Vibrations: A Dynamic Kernel VB-MCC-KF Approach
[NO] 729/1000 | An Autonomous Fault Monitoring Method for GEO Satellite Solar Arrays Integrating Physical Models with Data-Driven Techniques
[NO] 730/1000 | Constrained Learning-to-Rank for Controlled Trade-offs in Multi-Objective Ranking Systems
[NO] 731/1000 | Development of MID based fully integrated Radar Systems for the Automotive Industry
[NO] 732/1000 | Multi parameter discrimination using multiple spectral troughs in a cascaded fiber sensor
[NO] 733/1000 | Multi-channel Enhanced Synchro-Reassignment Transform for Robust Identification of Sub/Super-Synchronous Oscillations Using Synchronized Measurements
[NO] 734/1000 | Enhanced U-Net with Prior Disentanglement and global topology enhancement for ROP Vessel Segmentation
                    <sup>*</sup>
[NO] 735/1000 | A novel pneumatic energy storage system: An analysis from the energy perspective
[NO] 736/1000 | Toward a Soft Robotic Gripper Integrating High Force Grasping and Dexterous Manipulation: The SOFRo Gripper_supp3-3693142.mp4
[YES] 737/1000 | SmarTracker: Leveraging LLMs to Automate User Behavior Tracking in Mobile Apps
[NO] 738/1000 | Distributed Retrospective Federated Learning for Microwave Passive Circuit Design
[NO] 739/1000 | Physics-Driven Electromagnetic Inverse Scattering With Limited-Aperture Measurements
[NO] 740/1000 | Crop Dynamic Root Depth Matched High-resolution Multi-layer Soil Moisture Dataset Generated by In-situ-Remote Sensing Data Fusion
[NO] 741/1000 | A Novel Cooperative Positioning Algorithm Based on High-Precision IMU Preintegration and Adaptive Sliding Observation Optimization
[YES] 742/1000 | HF-DGF: Hybrid Feedback Guided Directed Grey-box Fuzzing
[NO] 743/1000 | sUAV-JSL: A Novel Single UAV-Based Jamming Sources Localization Scheme in GNSS and Communication Denial Environment
[NO] 744/1000 | IEEE Consumer Technology Society
[NO] 745/1000 | Prototype-Guided Unsupervised Semantic Segmentation with Explicit Concept Modeling
[NO] 746/1000 | IEEE Consumer Technology Society Board of Governors
[NO] 747/1000 | Comprehensive Optimization of RPMFS Motors Considering Variable Numbers of Slots and Poles
[NO] 748/1000 | SGprAle: Self-Supervised Gaussian Process Regression for Average Localisation Error Estimation in Wireless Networks
[NO] 749/1000 | Detecting SQLi Attacks Using a Compact Transformer-based Machine-Learning Framework
[NO] 750/1000 | Embedded Artificial Intelligence for Intelligent Diagnosis of Skin Lesions Using TinyML
