[2026-07-14 22:56:35] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-07-13
正在获取论文...
[arXiv] 2026-07-13 | Fundamental Limitations of Fixed-Budget Best-Arm Identification
[NO] 1042/1925 | TrustCardio: A Multimodal Large Language Model with Chain-of-Thought Explainability for Personalized Vascular Age Prediction via Edge-Enabled Wearable Devices
[NO] 1043/1925 | SymBOL: A General-Purpose Symbolic Learner for Scientific Discovery Using Bayesian Optimization-Enhanced Large Language Models
[NO] 1044/1925 | Physically Informed Generalized Graph Signal Reconstruction for DoA Estimation in Switch-Based Hybrid Arrays
[NO] 1045/1925 | From Virtual Live Entertainment to Real-Time Telepresence: Interoperable and Latency-Aware End-to-End Avatar Pipelines
[NO] 1046/1925 | A Self-Calibrated Magnetic-Field Detection System Based on AM/FM Dual-Mode Lorentz Force Magnetometer
[NO] 1047/1925 | Generalized Udwadia–Kalaba-Based Robust Control for Humanoid Robot Lower Limbs Under Comprehensive Constraints
[YES] 1048/1925 | SMP-RCR: A Sparse Multipoint Moment Matching Method for RC Reduction
[NO] 1049/1925 | Environment-Aware Path Loss Prediction Using Panoramic Images for Vehicular Communications
[NO] 1050/1925 | Bias correction of satellite precipitation products near the data-scarce region of Al-Ahsa, Saudi Arabia_supp1-3708749.docx
[NO] 1051/1925 | E-Health: AI based Stroke Prediction with Optimized Active Learning using Fog Computing
[NO] 1052/1925 | A Rigid-Flexible Integrated Ankle Dorsiflexion Exoskeleton for Gait Assistance: Design, Control, and Characterization
[NO] 1053/1925 | Reliable LLM-enabled Intent-driven Management: A Validation pipeline for Network Automation
[NO] 1054/1925 | A Coupling Matrix Assisted Multi-Objective Optimization Scheme for Filters With Arbitrary Topology
[NO] 1055/1925 | Design and Sensing Mechanism of Flexible Sensors for Lithium-Ion Battery Energy Storage Safety
[NO] 1056/1925 | Q-Learning for 3D Coverage in VCSEL-based Optical Wireless Systems
[NO] 1057/1925 | VN-Dict: Lightweight Authenticated Spatial Queries over Hybrid-Storage Blockchain
[NO] 1058/1925 | Contribution-Aware Coalition Federated Learning in Edge-Assisted Healthcare Monitoring Systems
[NO] 1059/1925 | Joint Constrained Coding and Iterative Consensus Reconstruction for DNA-Based Molecular Communication
[NO] 1060/1925 | Beyond Carving: Deterministic Deleted File Recovery in Btrfs
[NO] 1061/1925 | Learning to Separate RF Signals Under Uncertainty: Detect-Then-Separate vs. Unified Joint Models
[NO] 1062/1925 | SPSA-Based Successive Beamforming for Mobile Satellite Receivers with Phased Arrays
[NO] 1063/1925 | iFEMG-Based Muscle Function Assessment for Rehabilitation Monitoring after Knee Anterior Cruciate Ligament Repair Surgery
[NO] 1064/1925 | Interference in Spectrum-Sharing Integrated Terrestrial and Satellite Networks: Modeling, Approximation, and Robust Transmit Beamforming
[NO] 1065/1925 | Laser-Induced Gettering Enables Substrate-Free 4H-SiC Radiation Detectors
[NO] 1066/1925 | A series pulse multiplication circuit to reduce the autotransformer rectifier input current THD of electric-powered aircraft
[NO] 1067/1925 | Real-Time Demonstration of 228.48 Pb/s·km Transmission over 5×80-km 7-Core Fiber with 1.2-Tb/s/λ Transceivers across 12-THz C+L Band
[NO] 1068/1925 | MoESEC: A Mixture of Experts Framework for Edge Semantic Communication Networks
[NO] 1069/1925 | Location-Informed Edge Server Selection in Integrated Access Backhaul-Enabled 6G Networks
[NO] 1070/1925 | Scalable User Admission Control in Large-Scale Cell-Free Massive MIMO
[NO] 1071/1925 | Optimized Resource Orchestration for LoRa Networks in CS-enabled SHM
[NO] 1072/1925 | Security Evaluations of Post-Quantum Cryptographic Primitives Against Quantum and AI-Based Attacks
[NO] 1073/1925 | ReFLect: A Reputation-based Client Selection for Federated Learning in Mobile Networks
[NO] 1074/1925 | Optimal Techno-Economic Assessment of Battery–Hydrogen Hybrid Energy Systems Using Genetic Algorithms and LSTM-Based Solar Forecasting
[NO] 1075/1925 | A Risk-Based Stochastic Two-Stage Optimization Framework for Virtual Power Plants: The Role of Energy Storage Systems and Demand Response
[NO] 1076/1925 | Asymmetric Reliability-Enhanced Scheduler Based on Heterogeneous Cellular Networks in Remote Driving Scenarios
[NO] 1077/1925 | BlackSeaCom 2026 Ad Page
[NO] 1078/1925 | Bridging the Reality Gap in Tampered Text Detection: A Human-Crafted Real-World Dataset and a Text-Centric Approach_supp1-3705334.pdf
[NO] 1079/1925 | From Spark to Inferno: Scalable Stylized Fire in Disney and Pixar’s Hoppers
[NO] 1080/1925 | Utilizing Adaptive Gamification in an Intelligent Tutoring System for Software Engineering Education
[NO] 1081/1925 | Agentic Workflows are Serverless Applications, so deploy them that way!
[NO] 1082/1925 | Development and Validation of the Perceived Personal Algorithmic Harms Scale: Algorithmic Stigma, Algorithmic Privacy Harms, Tangible Algorithmic Harms, and Race, Gender, and Disability Differences
[NO] 1083/1925 | A Cabinet of Affective Touches: Building Design Repository Linking Somatic Experience with Soft Robotic Systems
[NO] 1084/1925 | PlaSphere: An Immersive Hybrid Ecology of Plastiglomerates
[NO] 1085/1925 | Temperature-Scaled Confidence Features: An Efficient Inference-Time Framework for Multimodal AI Safety
[NO] 1086/1925 | Cloud-Based Cost Calculator for Multi-Provider Comparison
[NO] 1087/1925 | Design and Implementation of a Low-Cost Signal Conditioning Unit for LM35 Temperature Sensor
[NO] 1088/1925 | Dynamic Placement and Service Provisioning of AI/ML Inference Models in O-RAN Infrastructure
[NO] 1089/1925 | Quantum-Inspired Feature Fusion for Multi-Disease Medical Image Classification
[NO] 1090/1925 | Energy-Efficient TinyML Framework for Real-Time Anomaly Detection in Embedded Electronic Devices
[NO] 1091/1925 | Explainable Multi-Class Industrial IoT Intrusion Detection on the TON-IoT Network Dataset Using Multiple Machine Learning Models
[NO] 1092/1925 | Transfer Learning-Based Beamforming for MIMO Antenna Arrays Using Pre-Trained Neural Network Model
[NO] 1093/1925 | AXI-Based DMA Architecture with Latency Optimization on Small Packet Transfer in PCIe-based FPGA Systems
[NO] 1094/1925 | AI-Based Detection of Psychological Disorders using EEG Signals and Deep Learning
[NO] 1095/1925 | LLM-Driven Usefulness Judgment for Web Search Evaluation
[NO] 1096/1925 | The Blooming Archive
[NO] 1097/1925 | LAMC2026 CFP
[NO] 1098/1925 | CResPIE-ViT: A Compact Vision Transformer-based Framework for COVID-19 Lesion Segmentation and Severity Prediction
[NO] 1099/1925 | A Convenient Modeling Approach for Heavy-Haul Train Traction and Dynamic Braking in Longitudinal Train Dynamics Simulation
[NO] 1100/1925 | Detection and Classification of Foreign Objects in Aqueous Food based on Multi-sensor Surface Electric Potential Sensing with Matched Filtering
[NO] 1101/1925 | Influence of Gate Insulator Modulation on the Electrical and Material Properties of Dual-Gate InGaZnO Thin-Film Transistors
[NO] 1102/1925 | AttGTS: A Lightweight Contrastive-Free Grid-Tagging Model with Scheduled Token-Level Attention for Aspect Sentiment Triplet Extraction
[NO] 1103/1925 | A Psychometrically Optimized Imagery Approach for the Chinese Multifaceted Empathy Test
[NO] 1104/1925 | Sleeper-Encoded Localization Method: A Mileage Precision Localization Approach for Railway Maintenance
[NO] 1105/1925 | Multi-Criteria Optimization of Cu-Modified Screen-Printed Carbon Electrodes Towards Salivary Creatinine PoC Monitoring
[NO] 1106/1925 | Design Optimization of Hemispherical Conformal Phased Array Based on Partitioning and Hybrid Grouping Strategies
[NO] 1107/1925 | Secure Split Offloading and Trajectory Design for UAV-Assisted Multi-Exit Collaborative DNN Inference_supp2-3708394.pdf
[YES] 1108/1925 | Single-Stage Graph-Based Floorplan Generation
[NO] 1109/1925 | RA-SCIC: Region-Aware Screen Content Image Coding Towards Fidelity and Efficiency
[NO] 1110/1925 | Automated Contract Negotiation in Data Spaces: Practitioner Needs Assessment and Negotiation Framework
[NO] 1111/1925 | Linea Viva: A Single-Line Live Score for Embodied Drawing-and-Sound Performance
[NO] 1112/1925 | How Creative Design Teams Make Sense of Contrasting AI Personas
[NO] 1113/1925 | "Illustration of the subconscious mind": Reinterpreting Dream Material as Artistic Creative Workflows Supported by Generative AI
[NO] 1114/1925 | From Answer-First to Decision-First: An Interaction Pattern for Creative Judgment in AI Chat
[NO] 1115/1925 | Language as a Material Interface for Creative LLM Interaction
[NO] 1116/1925 | Cute for Good
[NO] 1117/1925 | Tagus Multispecies Atlas: Fostering affective multispecies interactions through counter-mapping.
[NO] 1118/1925 | Hybrid Precoding for Multi-User MIMO-OFDM Systems with Phase Shifter Impairments
[NO] 1119/1925 | Hybrid Quantum-Classical Coverage Optimization for User-Centric 6G Movable Antenna Systems
[NO] 1120/1925 | Trajectory and Latency-Aware DNN Task Offloading in Vehicular Edge Computing: A Deep Reinforcement Learning Approach
[NO] 1121/1925 | Joint Random Access and MIMO Downlink Optimization via Threshold-Based User Detection
[NO] 1122/1925 | Methods to Reduce AC Loss of ReBCO HTS Coils in Linear Motors for High-Dynamic Motion Applications
[NO] 1123/1925 | A Data-Driven Magnetic Field Model for Halbach Arrays of the Magnetically Levitated Planar Motor with Variable Harmonic Coefficients
[NO] 1124/1925 | A Causal-Interventional and Physics-Disentangled Graph Neural Network Surrogate Model for Dynamic Optimization of Variable Gear Ratio Magnetic Gears
[NO] 1125/1925 | Multiphysics Design Optimization of a Motor-Planetary Gear Integrated Transmission System
[NO] 1126/1925 | Energy-Constrained Rescue Planning for Electric Vehicle and Mobile Charging Station in Charging-Desert Regions
[NO] 1127/1925 | Digital Analytical Model for Management of Comprehensive Utilization of Limestone Screenings in Road Construction
[NO] 1128/1925 | Prototype Implementation and Adaptive PID-Based Precision Position Control of a High-Torque Density Limited Angle Torque Motor
[NO] 1129/1925 | Machine Learning-Driven UEBA for Behavioral Access Control in Zero Trust Client Ecosystems
[NO] 1130/1925 | A Distributed V2X Communication Architecture for Delay-Resilient Route Guidance Systems
[NO] 1131/1925 | Gesture-Based Natural User Interface for Formation Control of Multi-UAV Systems
[NO] 1132/1925 | Low-Latency Federated Learning via Adaptive Batch-Size Control under Device Heterogeneity
[NO] 1133/1925 | Evaluating Class Imbalance Handling Methods for Multi-Class IoT Intrusion Detection: A Comparative Study on the CIC-IoT 2023 Dataset
[NO] 1134/1925 | Hardware-Aware $S E(3)$ Control Barrier Functions for Counter-UAS Interceptors with Directed Energy Payloads
[NO] 1135/1925 | Impact of Hardware Impairments in Multi-Cell Massive MIMO for 5G Networks
[NO] 1136/1925 | Privacy-Preserving Verification of Secure Aggregation for Hierarchical Peer-to-Peer Federated Learning
[NO] 1137/1925 | Applicability of Displacement Damage Equivalence Method in InP/InGaAs Avalanche Photodiodes Under Various Particle Irradiations
[NO] 1138/1925 | Evaluating AFDM-Based Integrated Sensing and Communication in Vehicular Scenarios
[NO] 1139/1925 | A Comprehensive Framework for Robust Laser Stripe Extraction and Restoration on Highly Reflective Metal Surfaces
[NO] 1140/1925 | SENTRY: Saving Energy through Neural Network-based Receiver Systems
[NO] 1141/1925 | Fast and Flexible FEM-Tensor Model for Inter-Turn Short-Circuit Faults in Induction Machines
[NO] 1142/1925 | Visual Analysis of Dynamic Multi-objective Optimisation Problems and Algorithms_supp1-3712491.pdf
[NO] 1143/1925 | HQDL: A Hybrid Quantum-Deep Learning Framework for Real-Time Fire Detection Using UAV Remote Sensing
[NO] 1144/1925 | A Plug-and-Play Data-Centric Training Framework for Efficient Hyperspectral Image Classification
[NO] 1145/1925 | IEEE Potentials Reviewer Appreciation
[NO] 1146/1925 | Adaptive Coded Modulation Assisted ISAC Based AFDM Communication In SAGIN Networks
[NO] 1147/1925 | Randomized Scheduling for PAoI Violation Guarantees in Periodic Multi-Source Systems
[NO] 1148/1925 | A Practical AI-Driven Strategy for Cell On/Off Switching under Adaptable QoS Constraints
[NO] 1149/1925 | AI-Assisted Next-Gen Outdoor Optical Networks: Camera Sensing for Monitoring and User Localization
[NO] 1150/1925 | TTD3-Enhanced Reliable Downlink Communication in Multi-UAV Networks Supported by 6DMA-Assisted Symbiotic Radio
[NO] 1151/1925 | Wi-Fi-based Detection of GNSS Spoofing Attacks
[NO] 1152/1925 | Unlocking Bistatic Target Detection for ISAC: Synergizing Deterministic Pilots and Unknown Random Data Payloads
[NO] 1153/1925 | Language Model-Enhanced Geometric Learning for Metalloprotein Pathogenic Mutations
[NO] 1154/1925 | Internal-Dynamics-Guided Stabilization Framework for MMC-Based Systems
[NO] 1155/1925 | Hybrid Scalar-Product Compression (HSPC): Optimizing Quantization in Vector Retrieval via Hot-Cold Separation
[NO] 1156/1925 | FedAR: Adaptive Client Selection Strategy for Heterogeneous Federated Learning
[NO] 1157/1925 | Edge-Cloud Pulse Diagnosis Platform: Automated Diagnosis through Mechanized Sampling and Deep Time Series Modelling
[NO] 1158/1925 | Strategic Decoy Deployment for Mitigating Poisoning Attacks in Federated Learning
[NO] 1159/1925 | Onboard Power Conversion for Smart Sustainable Propulsion Systems: Architecture, applications, and trends
[NO] 1160/1925 | DualSense: WiFi Sensing and Segmentation of Signal Scatterers For Object Reconstruction
[NO] 1161/1925 | Arena: A Kubernetes-based Testbed for Evaluating Application Deployment across the Computing Continuum
[NO] 1162/1925 | Censored Regression Over Route-Constrained Incremental Adaptive Networks
[NO] 1163/1925 | Physics-Informed AI-driven Cross-Frequency Channel Knowledge Map Construction
[NO] 1164/1925 | An Edge Intelligence Gateway for Smart Metering Nodes with Event-Driven Control and On-Device Optimization
[NO] 1165/1925 | Research on a High-Precision Localization Method for Radiation Sources Based on Heterogeneous Probability Distribution Map Fusion
[NO] 1166/1925 | Impact of Rotor Saliency on Air-Gap Flux Density Distribution and Subsequent Electromagnetic Stress of Permanent Magnet Motors
[NO] 1167/1925 | Reinforcement Learning-based User Association in Sustainable Terrestrial Non-Terrestrial 6G Networks
[NO] 1168/1925 | Direct Measurement of Geometry-Dependent Stress Sensitivity in Near-Zero-Magnetostriction Glass-Coated Microwires
[NO] 1169/1925 | Mechanism of Mortarless ISSB Technology for Sustainable Housing in Lagos State
[NO] 1170/1925 | Few-Shot Transfer Learning for Pneumonia Detection From Chest X-Ray Images
[NO] 1171/1925 | Design of an Electromagnetic Tracking System Using Tunnel Magnetoresistive Sensors
[NO] 1172/1925 | Cryogenically Cooled Stator Design for NASA-CHEETA Motor
[NO] 1173/1925 | A Novel Transcranial Magnetic Stimulation Coil with Bistable Compliant Mechanism Windings for Field Focality Reconfiguration
[NO] 1174/1925 | Serial Magnetic Force Microscopy of Skyrmion Nucleation in Multilayers
[NO] 1175/1925 | Magnetic and Structural Tuning in Nanocrystalline Ni-Zn Ferrites with Potential Biomedical Applications
[NO] 1176/1925 | Intra-Particle Eddy Current Losses in Powder Cores: Comparison Between Analytical Models and Experimental Data
[NO] 1177/1925 | Improvements in CEM's Primary Magnetics Laboratory
[NO] 1178/1925 | Electrical Parameter Estimation of Electrically Excited Synchronous Machine With a Physics Informed Neural Network
[NO] 1179/1925 | A Review of the Impact of Environmental Factors on the Performance of Power Cables
[NO] 1180/1925 | In low altitude range, the study of the de-rated DC link and power for SiC MOSFET-based propulsion inverter in electrical unmanned aerial vehicles
[NO] 1181/1925 | UPS-Powered Wi-Fi System with Authentication and Payment Integration for Campus Networks
[NO] 1182/1925 | Fuzzy Logic Simulation of Temporary Retail Structures: Modeling Economic Resilience in Urban Systems
[NO] 1183/1925 | Phonon-Driven Ultrafast Spin Dynamics in Rare-Earth Orthoferrites Across Spin Reorientation Temperatures
[NO] 1184/1925 | Data-Driven State-of-Charge Prediction Using GPS and Environmental Parameters for Personal Mobility Devices
[NO] 1185/1925 | Doppler-Aware Dynamic Spectral-Correlation Framework for Passive Radio Emitter Tracking
[NO] 1186/1925 | Oblivious Transfer over Discrete Memoryless Broadcast Channels
[NO] 1187/1925 | Dual-Tier IRS-Assisted Mid-Band 6G Mobile Networks: Robust Beamforming and User Association
[NO] 1188/1925 | QLIMB: End-to-End Whole-Body Control for Quadruped Loco-Manipulation and Balance on Complex Terrains
[NO] 1189/1925 | A2-D Broadband Fixed-Beam Leaky-WaveAntenna with Customizable Tilted Beam Directions
[NO] 1190/1925 | Analyzing Performance Limits on Polarization-Specific Gain for UAV Conformal Antennas Using Polarization Decomposition
[NO] 1191/1925 | Anti-Vulnerability Topology Design of LEO Satellite Networks With Node/Link Failure_supp1-3709644.pdf
[NO] 1192/1925 | AI-Generated Fingerprint Forgery Detection for Tiny Partial Fingerprint Sensors Using Multi-Generative Model Framework with Feature Augmentation
[NO] 1193/1925 | Experimental Evaluation of Blockchain-Based Collaborative Intrusion Detection on a Virtual 5G Testbed
[NO] 1194/1925 | Amplitude-Aided PHD Filtering for Unresolved Swarm Tracking
[NO] 1195/1925 | SCALER: Self-Consistent Assessment for SLA Explanation and Resolution in 6G Networks
[NO] 1196/1925 | SAND: The Challenge on Speech Analysis for Neurodegenerative Disease Assessment
[NO] 1197/1925 | Unsupervised Out-of-Distribution Sample Selection for Reliable ML in Wireless Systems
[NO] 1198/1925 | Tobit Recursive Filtering for Networked Nonlinear Systems Against Random Man-in-the-Middle Attacks: An Attack Detection Mechanism
[NO] 1199/1925 | Robotic Compliant Disassembly Strategy for Disassembling Dual Peg-hole with Uncertain Incomplete State: Mathematical Model and Optimization Methods
[NO] 1200/1925 | Temporal Risk Forecasting of Infrastructural Health Using Deep Learning with Attention Mechanism
[NO] 1201/1925 | Diffusion Posterior Sampling with Channel Feedback for Adaptive Semantic Communication
[NO] 1202/1925 | An Energy-Efficient Channel-Wise Segmented Sparse BNN Accelerator With Algorithm–Hardware Co-Optimization for Gesture Recognition
[NO] 1203/1925 | Learning-Based Joint Channel Acquisition and Communication Optimization for Movable Antennas
[NO] 1204/1925 | Towed Movable Antenna Array for Airborne Secure Communications
[NO] 1205/1925 | Non-Contact Broadband Microwave Sensing of Temperature Variations in Biological Tissues Using PCA-Based Feature Analysis
[NO] 1206/1925 | Comparative Study of Textile Based Wearable Antenna Designs for IoT Applications
[NO] 1207/1925 | AI-Driven Turbulence Compensation in Free-Space Optical Links for Sustainable Digital Infrastructure
[NO] 1208/1925 | High Torque-Density Axial-Flux Machine Using Inclined Permanent Magnet Design
[NO] 1209/1925 | A Multi-Phase Deep Learning Framework for Skin Lesion Classification Via Transfer Learning
[NO] 1210/1925 | SiLine: An Intelligent Telemetry-Driven Endurance Line-Following Robot
[NO] 1211/1925 | Evaluating Physics-Informed and Data-Driven Recurrent Networks for Heatwave Prediction
[NO] 1212/1925 | DRAD-AIM: Dynamic Region Anomaly Detection Based on Intersection-Level Anomaly Mining
[NO] 1213/1925 | Electrical Impact of Winding Material Selection on Transformer Design: A Comparison of TEDAŞ and Tier 2 Specifications
[NO] 1214/1925 | Robust $\mathcal{H}_{\infty}$ Controller Design for INDI-Controlled Quadrotor Using Online Parameter Identification
[NO] 1215/1925 | Deep Q-Learning-Based Gain Scheduling for Nonlinear Quadcopter Dynamics
[NO] 1216/1925 | Attribute-Based Bilateral Access Control With Privacy Preservation for IIoT
[NO] 1217/1925 | Intercepting an Agile Target with Net-Carrying Drones Using Competitive Multi-Agent Reinforcement Learning
[NO] 1218/1925 | Energy-Efficient Power Control in Single-User M-MIMO-OFDM System with PA Nonlinearity
[NO] 1219/1925 | How innovativeness of supply chain ecosystem members affects firm standard-setting performance: The moderating role of market competition
[NO] 1220/1925 | “I Value LeetCode Over My Coursework”: CS Students’ Preparation Strategies and Perceptions of Technical Interviews
[NO] 1221/1925 | Integrated Multi-Omics Modeling for Drug Toxicity and Side-Effect Prediction
[NO] 1222/1925 | Performance Analysis of Channel Modeling for 5G Networks
[NO] 1223/1925 | Flexible UWB Antenna for WBAN Applications
[NO] 1224/1925 | XGBoost Classifier Framework for Detection of Multi-Level Vehicle Noise and Emission Violations
[NO] 1225/1925 | Improving CT-Free PET Attenuation Correction via Stable Wasserstein GAN Training and Detection-Based Validation
[NO] 1226/1925 | Predictive Maintenance of Launch Pads Using Machine Learning
[NO] 1227/1925 | Digital Energy Adaptive Twin Ook Transmitter For Uwb Applications
[NO] 1228/1925 | EEG-Based Stress Analysis in Students During Skill Assessment Using Machine Learning Algorithms
[NO] 1229/1925 | QPS-SPS: A Decentralized Reinforcement Learning Framework for Adaptive Semi-Persistent Scheduling in NR-V2X Mode-2 Communication
[NO] 1230/1925 | Toward a Combined View of Intrusion and Evasion: an Adversary-Aware IDS
[NO] 1231/1925 | AI-Native Secure Interoperability Architecture for Smart Food Industry Systems Based on Eclipse Arrowhead Framework
[NO] 1232/1925 | A New 3D Chaotic Map for Encryption of Images
[NO] 1233/1925 | A Multimodal UAV Search and Rescue Dataset: Integrating Thermal and Flight Data with YOLO-based Object Detection
[YES] 1234/1925 | High-Level Synthesis Based DDR4 Memory Controller with Refresh-Aware Optimization for FPGA Systems
[NO] 1235/1925 | Open-Set Domain Adaptation via Free Boundary Optimal Transport With Support Control_supp1-3710193.pdf
[NO] 1236/1925 | Non-population Optimization of Parasitic Pixel Antennas Using an Internal Port Impedance Reversal-Enabled Iterative Modification Technique
[NO] 1237/1925 | On the Dynamic Range for Shielding Effectiveness Measurements Using Dual or Nested Reverberation Chamber
[NO] 1238/1925 | Robust Distributed Predefined-Time Algorithm for Time-Varying Resource Allocation Problem in Multiagent Systems With Disturbances
[NO] 1239/1925 | Ocean Rainfall Identification and Intensity Retrieval from GNSS-R Observations
[NO] 1240/1925 | Motion Blur Information Guided Dual-Domain Fusion Network for High-Quality Image Deblurring
[NO] 1241/1925 | A Femtosecond-Laser-Inscribed, Fully Integrated Optical Fiber Sensor for Simultaneous Salinity and Temperature Sensing in Seawater
[NO] 1242/1925 | High-Isolation Dual-Band Bandpass Filter and Diplexer Based on High-Order Modes of Spoof Surface Plasmon Polaritons
[NO] 1243/1925 | Foundation Models based Scene Graph Generation
[NO] 1244/1925 | Proactive Service Scheduling in Vehicular Networks: An Intelligence-Based Reinforcement Learning Approach
[NO] 1245/1925 | Agentic Designer: Progressive Multi-Agent Collaboration for Structure-Aware Interior Layout Generation
[NO] 1246/1925 | Machine Unlearning Based on Globally Refined Convergent Clustering for Health Survey Data-driven Prediction Model
[NO] 1247/1925 | Diffusion Dynamics in Biofilms with Time-Varying Channels
[NO] 1248/1925 | Trust Quantification on Zero Trust Architecture: A Survey
[YES] 1249/1925 | The Last Mile of Fuzzing: An Efficient Fault Localization Framework for ARM Embedded Firmware
[NO] 1250/1925 | Versatile Potential and Full Well Capacity Modeling of Vertical Pinned Photodiodes
[NO] 1251/1925 | HyperHBM: an End-to-End HBM Optimization Framework on FPGA Platform for High-Throughput FHE Accelerator
[NO] 1252/1925 | IEEE Transactions on Magnetics Publication Information
[NO] 1253/1925 | Reliable Uncertainty Estimation via Discriminative Feature Learning for Evidential Deep Classification
[NO] 1254/1925 | RRTO: A High-Performance Transparent Offloading System for Model Inference in Mobile Edge Computing
[NO] 1255/1925 | Speeding Up Write-Read Orders in Disaggregated Storage
[NO] 1256/1925 | Production-Driven Data Management for a Service-Based Pipeline
[NO] 1257/1925 | Corrigendum: Teaching Algorithm Design: A Literature Review
[NO] 1258/1925 | Beyond Compliance: How AI Could Help Creative Writers by Refusing Them
[NO] 1259/1925 | Making Invisible Change Felt: VR and Olfaction Design for Translating Corrosion
[NO] 1260/1925 | MVSCbench: A Benchmark for Symbolic and Cultural Understanding in Music Videos
[NO] 1261/1925 | Multisensory climate communication: Meaning-making through interactive audiovisual atmospheres
[NO] 1262/1925 | “Everyone notes it differently”: The Challenge of Digitizing the Embodied Cognition of Stage Blocking Data
[NO] 1263/1925 | What does 'instance' mean? The Impact of English Instruction in the Non-Native English Speaking Introductory Computing Classroom
[NO] 1264/1925 | Ranking Passages in Relevant Documents Using LLMs
[NO] 1265/1925 | Pre-stimulus Functional Connectivity Nonlinearly Predicts EEG Responses to Transcranial Magnetic Stimulation of the Motor Cortex
[NO] 1266/1925 | eCF Papers
[NO] 1267/1925 | Ferroelectric-Modulated Spin-Charge Conversion and THz Emission in Bilayer ${\text{WTe}}_{2}$ Heterostructures
[NO] 1268/1925 | Highly Correlated Feature Elimination Algorithm Based Feature Selection for the Internet of Drones Security
[NO] 1269/1925 | Jointly Correlated Dual-Side Fluid Antenna System
[NO] 1270/1925 | Dynamic-Attention Networks for Robust Channel Estimation in Mobility Scenarios
[NO] 1271/1925 | In-Plane Thermal Anisotropy Characterization of β-Ga
                    <sub>2</sub>
                    O
                    <sub>3</sub>
                    (001) Using a Dedicated Thermal Test Device
[NO] 1272/1925 | Theoretical Explanation and Upper Boundary of Model Extraction Attacks
[NO] 1273/1925 | Dual Subspace Representation and Second-order Affinity Graph Collaboration for Partial Multi-label Feature Selection
[NO] 1274/1925 | Transformer and Attention-Based Models for Automated Pain Assessment: A Systematic Review
[NO] 1275/1925 | Movable-Antenna Array-Enhanced Energy-Efficient RSMA Communication Networks
[NO] 1276/1925 | From Plug to Grid: Making bidirectional electric vehicle charging work as infrastructure
[NO] 1277/1925 | Bi-LSTM based Multi-Agent DRL with Computation-aware Pruning for Agent Twins Migration in Vehicular Embodied AI Networks
[NO] 1278/1925 | Terrain-Driven Uplink Localization in Mountainous Environments Based on Moving UAV Anchors
[NO] 1279/1925 | Neutrons and Muons for Topological Quantum Materials: Exploring Magnetic Order
[NO] 1280/1925 | Triad-GAN: Feature-Level Generative Adversarial Network for Multi-Receiver Radio Frequency Fingerprint Identification
[NO] 1281/1925 | Qyn: FPGA-Based Quantum Error Correction with Integrated Quantum Machine Learning
[NO] 1282/1925 | A Hybrid Stacked Graph Attention Convolutional Networks for a Robust Detection of Mental Charge via EEG Signals
[NO] 1283/1925 | Development of Proof-of-Concept Predictive Water Quality Ammonia Level Analytics System for IoT-Based Shrimp Aquaculture
[NO] 1284/1925 | Review of a SiC MOSFET-based propulsion inverter in catenary-free light rail applications by measurement-based simulation
[NO] 1285/1925 | Title Page
[NO] 1286/1925 | Thermomagnetic Properties of Mixed-Valence $\text{La}_{1-x} \text{Sr}_{x} \text{MnO}_{3}$ Manganite Films Near the $x \simeq 0.2$ Morphotropic Phase Boundary
[NO] 1287/1925 | Multimodal Machine Learning Method for Early Identification of Skin Diseases
[NO] 1288/1925 | DRL-based AoI Optimization for Energy Harvesting Human Body Communication ECG Networks
[NO] 1289/1925 | Optimizing Energy Efficiency in Apartment Buildings through Passive Design: A Systematic Review Aligned with Sustainable Development Goals
[NO] 1290/1925 | Tailoring of Magnetic Properties and Giant Magnetoimpedance Effect in Co-Fe-Si-B-Ni-Mo Amorphous Microwires
[NO] 1291/1925 | Feasibility Study of VLC-Based Collective Perception for Vehicular Communication
[NO] 1292/1925 | Automated Long-Answer Grading via Knowledge-Grounded Retrieval and Segment-Level Entailment
[NO] 1293/1925 | AI-Powered Plagiarism and Content Similarity Detection System for Global Digital Creators
[NO] 1294/1925 | A Combined STPA and ISO 26262 Approach for Safety Analysis of an EcoCAR Propulsion System
[NO] 1295/1925 | Smooth Sensorless Startup in PMSM Drives Through Cogging Torque Mitigation
[NO] 1296/1925 | Fidelity Comparison of Time-Bin and Fock State Encoding in Hybrid Quantum Systems Under Channel and Transduction Effects
[NO] 1297/1925 | Application of Satellite Data for Monitoring the Condition of the Caspian Sea Water Areas in Port Zones
[YES] 1298/1925 | Comparative Analysis of Security Vulnerabilities in Ai-Generated Versus Human-Written Python Code: an Automated Static Analysis Approach
[NO] 1299/1925 | Critical Co Thickness for Magnetic-Field-Induced Reorientation of the NiO Néel Vector
[NO] 1300/1925 | Time-Weighted PageRank for Measuring Structural Embeddedness in Large-Scale Bibliographic Coupling Networks
[NO] 1301/1925 | Practical Low-Weight Codes for Energy-Efficient Bus Encoding
[NO] 1302/1925 | A Fast Method for Electromagnetic Force Prediction in Coreless Permanent-Magnet Synchronous Linear Motors Considering Magnet Manufacturing Tolerances
[NO] 1303/1925 | Robust Beamforming for Near-Field Physical Layer Security under Location Uncertainty
